	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"515.2.5mM DTT 045 min"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1249.mec1_plus_gamma_5_min"	"1253.mec1_plus_gamma_45_min"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8210.steady state 33 dec C"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"14946.Hydrostatic pressure (C2 vs P2)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"38155.03II01 batch p11"	"42370.CC PU 3B Phosphate-Uracil Chemostat Comparison"	"42388.CC UL 1A Uracil-Leucine Chemostat Comparison"
"YDR418W"	-1.94	-1.617	-2.789	-3.411	1.215	-0.065	1.21	1.134	-1.894	-3.707	-3.074	-5.866	-2.231	-3.315	-3.181	-2.797	-2.605	-4.449	-2.866	-3.091	-4.066	-0.405	-0.108	0.253	0.211	-0.006	-2.345	-2.74	0.488	-4.005	-3.263	-1.928	0.033	-0.513
"YDR447C"	-2.299	-2.149	-3.242	-3.562	1.205	0.394	1.022	0.931	-2.275	-4.882	-3.659	-5.332	-2.316	-3.574	-3.565	-2.813	-3.129	-4.249	-2.53	-2.625	-3.552	-0.596	0.056	0.176	0.458	0.164	-2.1165	-2.593	0.75	-3.67	-4.358	-2.412	-0.001	-1.318
"YER043C"	-1.519	-1.034	-1.417	-1.897	1.109	-1.037	0.891	0.879	-1.394	-3.945	-4.78	-6.476	-1.214	-2.364	-1.977	-3.096	-3.18	-3.583	-3.31	-4.857	-4.918	-1.369	-0.049	-0.103	0.078	-0.005	-1.415	-2.101	0.578	-3.094	-2.164	-1.655	0.414	1.142
"YGL076C"	-2.09	-1.99	-2.744	-3.119	1.317	0.193	1.147	1.006	-1.633	-3.969	-3.976	-5.667	-2.396	-3.32	-2.996	-2.857	-1.957	-4.142	-2.836	-2.79	-3.782	-0.435	-0.076	-0.016	0.104	-0.013	-1.8735	-2.656	0.321	-4.003	-3.347	-1.4	-0.322	0.548
"YGL191W"	0.865	1.325	1.464	1.522	-0.466	-0.041	-0.208	-0.034	0.498	2.252	3.652	2.215	0.258	1.736	2.578	1.952	2.511	2.806	3.079	2.957	2.465	-0.471	0.199	0.077	0.145	-0.102	1.85	1.23	-0.433	3.825	2.257	2.009	0.397	-0.489
"YGR085C"	-1.952	-2.023	-2.966	-3.664	1.473	-0.128	1.133	1.122	-1.715	-3.713	-3.406	-6.059	-2.19	-3.071	-3.255	-3.013	-2.215	-4.359	-3.306	-3.54	-4.179	-0.377	0.32	0.278	0.311	0.055	-2.156	-2.908	0.511	-4.004	-3.45	-1.866	-0.122	1.095
"YGR148C"	-2.184	-1.777	-2.942	-3.2425	1.076	0.032	0.859	0.933	-2.716	-3.45	-3.884	-5.757	-2.075	-3.141	-3.011	-2.956	-2.722	-5.063	-3.022	-3.649	-4.092	-0.156	-0.325	0.022	0.25	-0.054	-2.7095	-2.591	0.712	-3.53	-3.103	-1.405	0.323	0.061
"YGR183C"	0.8015	1.0275	1.456	1.041	-0.383	-0.184	-0.555	-0.593	0.204	2.516	3.414	2.347	1.116	1.266	1.583	1.511	1.834	2.594	3.301	3.204	2.341	-0.267	-0.012	-0.014	-0.015	-0.094	1.505	1.352	-0.183	2.669	2.247	1.416	1.026	-0.194
"YGR265W"	-1.905	-1.8925	-2.17	-2.296	0.397	0.049	0.331	0.483	-1.341	-1.633	-2.202	-3.223	-0.868	-2.473	-1.883	-1.703	-2.118	-2.827	-2.824	-2.827	-2.343	-0.405	0.208	-0.055	-0.027	0.7	-0.76	-2.1725	-0.254	-2.262	-2.149	-1.021	-0.54	-0.824
"YGR285C"	-1.2065	-1.0655	-1.012	-1.4285	1.014	0.039	0.764	0.578	-1.664	-3.959	-4.078	-6.1	-1.514	-1.648	-1.332	-1.877	-1.393	-3.556	-3.452	-4.07	-4.065	-0.626	-0.17	0.15	-0.0025	-0.043	-2.068	-1.1675	0.77	-2.948	-2.323	-0.679	0.079	-0.51
"YHR064C"	-1.102	-1.0925	-1.2935	-1.5555	0.709	-0.262	0.778	0.557	-1.671	-4.543	-3.329	-5.238	-1.951	-3.074	-2.229	-2.559	-0.22	-2.977	-2.957	-3.678	-3.675	-0.322	0.018	-0.069	-0.0065	0.512	-2.056	-1.472	1.29	-2.793	-2.415	-0.951	0.293	-0.32
"YHR160C"	1.0915	0.9665	1.3915	0.869	-0.585	0.0	-0.401	-0.287	1.16	2.803	5.293	2.099	0.961	1.87	2.171	1.972	0.87	2.914	3.407	3.939	3.173	-0.094	-0.296	0.333	-0.205	-0.17	1.422	1.0445	-0.39	1.524	1.708	0.498	-0.374	NaN
"YHR203C"	-2.0645	-1.915	-2.8785	-3.5975	1.231	-0.005	1.011	0.884	-1.621	-3.926	-3.782	-5.944	-2.51	-3.917	-3.774	-3.412	-3.049	-4.669	-2.575	-3.081	-3.941	-0.423	-0.329	0.264	0.204	-0.14	-2.302	-2.809	0.642	-4.467	-3.717	-2.029	-0.382	-0.483
"YIL018W"	-2.4325	-2.2685	-3.509	-3.965	1.253	-0.021	1.177	1.056	-2.493	-4.365	-3.492	-5.749	-2.754	-3.362	-3.505	-3.056	-3.151	-3.907	-2.661	-3.27	-3.914	-0.295	-0.331	-0.233	0.074	0.179	-2.495	-3.4165	0.642	-4.277	-4.06	-2.419	0.409	0.992
"YIL045W"	1.0975	0.757	1.7175	1.4795	-0.913	-0.072	-0.688	-1.115	0.288	4.837	4.605	5.042	1.688	2.691	2.176	2.2	2.313	4.236	4.139	3.804	2.963	1.01	-0.365	-0.009	-0.215	0.109	2.832	1.9585	-1.057	2.782	3.875	0.788	-1.06	-0.337
"YIL052C"	-2.1565	-1.989	-2.7275	-2.972	1.095	-0.513	0.998	1.136	-2.029	-3.856	-2.895	-6.278	-2.539	-2.82	-2.793	-2.559	-2.622	-4.174	-2.162	-2.5	-3.158	-0.284	-0.274	0.24	0.236	-0.088	-1.743	-2.531	-0.188	-3.32	-2.821	-2.14	-0.022	0.76
"YJL103C"	1.6305	1.3185	1.3855	1.0685	-1.295	0.087	-0.823	0.064	0.315	3.518	4.161	2.248	1.276	1.735	2.684	2.107	1.985	3.108	3.063	3.151	2.006	0.574	-0.309	-0.094	0.129	-0.03	0.352	1.6965	-0.184	1.9115	2.897	0.6665	0.486	-0.754
"YJL148W"	-2.695	-2.0075	-3.2015	-2.403	1.362	-1.014	1.211	1.227	-1.352	-3.572	-2.742	-4.104	-1.997	-3.006	-1.938	-2.149	-1.644	-3.662	-2.998	-3.352	-3.666	-1.451	0.32	-0.06	-0.2685	-0.326	-1.839	-2.967	0.466	-3.568	-3.944	-1.999	-0.064	0.336
"YJL163C"	2.034	1.6395	2.0905	2.1745	-1.158	-0.233	-1.616	-1.191	-0.144	3.842	5.291	3.049	2.03	1.835	1.743	1.552	1.668	3.863	5.26	5.571	4.674	0.743	-0.574	0.036	-0.2405	-0.132	1.213	2.3505	-0.656	1.762	3.147	0.874	-0.237	-1.711
"YJL189W"	-1.8565	-1.73	-2.7325	-2.8195	1.089	-0.03	0.91	0.731	-0.712	-3.545	-2.901	-4.28	-2.473	-2.446	-2.278	-1.716	-1.833	-3.49	-1.577	-2.282	-2.837	-0.377	-0.121	-0.058	0.1395	-0.326	-1.034	-2.3825	0.743	-2.736	-2.888	-1.433	0.134	1.545
"YJL190C"	-2.525	-2.8085	-3.022	-3.838	1.36	-0.218	1.453	1.126	-2.272	-3.794	-3.585	-6.079	-3.053	-3.969	-3.744	-3.536	-3.062	-4.469	-2.941	-3.365	-3.524	-0.265	0.113	0.048	0.2805	0.146	-2.43	-3.7855	0.902	-4.772	-4.874	-2.86	0.669	1.201
"YJR123W"	-2.5565	-1.912	-3.5655	-4.258	1.3	0.016	1.246	1.081	-1.807	-3.844	-4.381	-9.147	-2.017	-3.809	-3.529	-3.442	-3.646	-4.282	-2.639	-3.543	-4.006	-0.155	-0.269	0.56	0.301	0.329	-2.153	-3.445	0.48	-4.305	-3.711	-3.029	0.054	0.062
"YJR145C"	-2.2535	-1.8995	-2.8575	-3.3335	1.17	0.24	1.341	0.963	-1.542	-4.507	-3.54	-6.528	-2.54	-3.551	-3.547	-3.597	-3.707	-4.857	-2.519	-3.105	-3.178	-0.244	-0.179	0.381	0.362	0.38	-2.312	-2.7805	0.686	-4.335	-4.108	-2.894	-0.076	0.08
"YKL056C"	-1.9115	-1.014	-1.3395	-1.483	0.909	0.251	1.083	1.069	-1.194	-3.205	-3.426	-5.119	-1.652	-1.914	-2.359	-2.371	-2.389	-2.468	-2.754	-3.265	-3.483	-0.435	-0.131	0.072	0.2585	-0.435	-1.777	-1.293	0.583	-1.781	-2.472	-1.409	1.263	-1.122
"YLR029C"	-1.874	-1.556	-2.241	-2.238	1.094	0.396	0.903	0.831	-1.74	-3.174	-3.615	-6.877	-1.294	-2.777	-2.809	-2.78	-2.648	-3.178	-2.242	-2.378	-2.987	-0.151	-0.003	-0.158	0.467	0.049	-2.49	-1.757	-0.012	-3.518	-3.637	-2.432	-0.369	0.81
"YLR061W"	-2.212	-1.901	-3.322	-3.851	1.1	0.064	1.127	0.696	-1.3	-4.925	-4.939	-6.591	-2.641	-3.239	-3.818	-3.021	-3.058	-4.326	-3.309	-3.833	-3.91	-0.3	-0.219	0.078	0.465	-0.074	-2.482	-2.697	0.216	-2.468	-4.004	-2.364	-0.225	0.31
"YLR062C"	-2.343	-2.335	-3.557	-4.079	1.164	-0.283	1.05	1.07	-2.004	-4.53	-5.705	-6.896	-2.606	-3.6	-3.985	-3.965	-3.18	-4.96	-4.299	-4.293	-5.234	-0.267	0.198	0.023	0.278	-0.077	-2.675	-3.134	0.188	-3.806	-4.54	-2.878	-0.232	-0.948
"YLR175W"	-3.679	-3.07	-4.552	-4.902	1.215	-0.207	1.304	1.12	-2.244	-5.607	-3.401	-5.468	-3.43	-3.996	-3.068	-3.13	-3.152	-4.678	-3.701	-4.364	-4.96	-1.041	-0.081	0.21	-0.038	-0.285	-2.422	-4.431	1.06	-3.995	-4.338	-2.115	0.415	1.319
"YLR185W"	-1.728	-1.439	-2.305	-2.948	1.047	0.2	1.135	0.922	-1.598	-4.508	-2.578	-5.928	-2.356	-2.94	-2.559	-2.616	-2.445	-4.019	-2.015	-2.479	-3.065	-0.262	-0.18	-0.006	0.187	-0.278	-2.023	-2.487	0.075	-3.712	-3.488	-2.145	0.268	-0.511
"YLR197W"	-4.044	-3.638	-4.76	-5.179	1.23	-0.033	1.252	1.224	-2.358	-5.817	-4.736	-5.242	-3.387	-3.899	-3.238	-3.258	-3.282	-5.671	-4.423	-4.976	-5.033	-0.991	-0.035	0.131	-0.125	-0.253	-2.488	-5.072	1.062	-4.983	-4.545	-2.613	0.117	1.366
"YLR249W"	-3.122	-3.317	-4.232	-4.758	1.359	2.7	1.219	0.978	-1.853	-6.529	-4.146	-6.742	-2.985	-3.879	-4.141	-3.557	-3.199	-4.679	-3.883	-4.549	-4.992	-1.038	-0.531	0.257	-1.1	0.419	-3.421	-4.59	1.193	-5.053	-5.085	-3.456	0.362	0.053
"YLR264W"	-1.77	-1.722	-2.019	-2.178	0.631	-0.508	0.922	0.819	-1.686	-3.105	-2.597	-5.152	-2.413	-2.945	-2.94	-2.616	-2.15	-3.525	-1.649	-2.334	-2.391	0.247	0.586	-0.175	0.246	0.31	-1.833	-1.005	0.63	-3.507	-3.145	-2.33	0.795	0.043
"YLR333C"	NaN	2.152	2.731	NaN	1.149	0.062	0.802	0.708	-2.055	-3.93	-3.011	-5.863	-2.247	-3.538	-3.334	-2.939	-2.483	-4.032	-1.584	-2.45	-2.848	-0.286	0.001	0.246	0.315	-0.169	-1.748	NaN	0.57	-4.086	-3.582	-1.409	0.273	0.709
"YLR372W"	-2.614	-1.814	-2.438	-2.835	0.939	-0.188	1.022	0.965	-1.827	-4.565	-2.731	-4.512	-2.515	-3.069	-2.683	-2.643	2.656	-4.078	-2.844	-3.456	-3.544	-0.67	-0.267	-0.081	-0.066	-0.105	-2.188	-2.623	0.676	-3.386	-3.936	-3.184	0.635	-0.574
"YLR388W"	-2.382	-1.861	-2.879	-3.074	1.213	-0.174	1.145	0.956	-1.937	-3.12	-3.596	-5.506	-2.593	-3.204	-3.058	-2.742	-2.362	-4.025	-2.232	-2.581	-3.193	-0.267	0.191	0.202	0.371	-0.079	-2.034	-2.761	0.324	-3.674	-3.762	-2.133	0.339	0.835
"YLR448W"	-2.009	-1.814	-2.821	-3.482	1.062	-0.152	0.837	0.739	-1.88	-4.815	-3.552	-5.971	-2.157	-3.425	-3.454	-3.179	-2.573	-4.891	-2.668	-3.192	-4.132	-0.692	0.096	0.011	0.184	0.007	-2.337	-2.983	0.38	-4.85	-4.791	-2.737	-0.27	0.162
"YML026C"	-2.104	-1.803	-3.139	-3.539	0.441	-0.577	0.972	1.104	-1.536	-3.811	-4.268	-5.271	-2.504	-3.779	-3.636	-3.131	-3.217	-3.572	-2.898	-2.803	-2.821	-0.312	0.014	-0.067	0.137	-0.372	-1.928	-3.032	-0.168	-4.522	-4.595	-2.439	0.167	0.2
"YMR116C"	-2.562	-2.151	-2.893	-3.016	1.123	0.12	1.09	1.056	-2.189	-3.012	-4.551	-6.865	-2.672	-2.937	-3.905	-3.535	-3.312	-3.586	-2.906	-3.561	-4.003	-0.814	-0.663	-0.542	0.293	-0.291	-2.539	-2.428	0.469	-3.221	-3.169	-3.289	0.793	-0.274
"YMR144W"	-1.109	-0.555	-0.807	-0.898	0.396	-0.959	0.062	0.47	-0.915	-1.052	-1.631	-1.923	0.145	-0.784	-0.5	-0.633	-2.185	-0.852	-1.4	-1.245	-2.197	-0.531	-0.543	-0.143	0.118	0.032	-1.0	-0.565	-0.11	-1.506	-2.487	-1.029	-0.205	-2.238
"YMR217W"	-3.444	-2.705	-2.964	-3.238	1.251	-0.424	1.158	1.301	-2.309	-5.293	-4.735	-5.29	-2.699	-3.48	-2.869	-2.622	-2.591	-4.287	-3.713	-4.205	-4.469	-1.605	-0.071	0.291	-0.132	0.016	-2.4545	-3.402	1.089	-3.621	-4.222	-3.678	0.177	0.42
"YMR235C"	-0.789	-0.903	-0.883	-1.233	0.788	-0.411	0.731	0.601	-0.555	-1.54	-3.534	-5.187	-0.465	-1.622	-1.883	-1.879	-2.052	-1.679	-2.838	-3.21	-3.756	-0.084	0.274	0.196	-0.11	0.22	-1.782	-1.015	0.639	-1.798	-1.982	-1.193	-0.408	0.584
"YMR242C"	-2.539	-1.639	-3.309	-3.708	1.262	0.011	1.333	1.294	-2.14	-4.702	-3.971	-6.226	-2.432	-3.832	-4.338	-3.636	-3.62	-4.84	-2.601	-3.133	-3.475	-0.245	-0.32	0.442	0.19	0.068	-2.4615	-3.054	0.46	-4.158	-4.607	-2.941	-0.006	-0.106
"YNL096C"	-2.093	-1.957	-2.881	-3.202	1.017	-0.097	0.749	0.741	-1.871	-4.113	-4.038	-6.106	-2.454	-3.331	-3.045	-2.761	-3.165	-4.716	-3.644	-4.096	-4.68	-1.045	-0.328	-0.057	0.169	-0.197	-2.8625	-2.812	0.303	-3.52	-3.087	-2.045	-0.243	-0.155
"YNL130C"	0.515	0.852	1.122	1.131	-0.04	0.145	-0.715	-0.869	0.555	-1.538	-1.94	-2.872	-0.512	-1.169	-1.353	-1.383	-1.463	-0.118	-0.934	-1.411	-1.614	-0.288	0.015	0.054	0.122	0.016	-0.314	1.564	0.248	-1.215	-0.793	-1.559	0.052	0.393
"YNL162W"	-2.384	-1.97	-3.17	-3.58	1.123	0.304	1.003	1.055	-1.506	-3.953	-2.858	-6.425	-2.882	-2.86	-2.872	-2.421	-2.763	-3.999	-1.742	-2.487	-3.468	-0.297	0.035	-0.03	0.3	-0.173	-1.852	-2.998	0.148	-2.704	-3.916	-1.942	-0.029	-0.322
"YNR043W"	-1.16	-0.956	-1.305	-1.532	0.34	-0.191	0.308	0.7105	-0.812	-3.5005	-2.934	-5.1565	-1.612	-2.5105	-1.9175	-1.949	-1.8335	-1.36	-2.655	-3.803	-3.856	-0.832	0.186	-0.264	0.057	-0.1335	-1.878	-1.39	0.334	-1.759	-2.193	-1.433	0.017	0.656
"YOR232W"	-0.724	-0.86	-0.887	-1.24	0.982	-0.017	0.691	0.5895	-0.713	-0.035	-1.6365	-2.046	-0.493	-0.606	-0.5265	-1.5795	-1.436	-0.679	-1.334	-1.039	-1.303	0.248	0.346	0.014	0.207	-0.22	-0.664	-1.002	-0.082	-0.762	-0.618	-0.101	-0.011	-0.533
"YOR310C"	-4.365	-3.309	-4.639	-3.004	1.211	-0.564	1.223	1.0465	-1.986	-6.006	-4.7765	-7.1385	-3.101	-3.766	-3.585	-3.5415	-2.603	-5.777	-4.745	-5.099	-4.866	-1.096	0.326	0.202	-0.205	-0.1775	-2.849	-4.948	0.67	-4.564	-5.14	-2.456	-0.192	1.145
"YOR369C"	-2.084	-2.312	-2.946	-2.962	1.029	0.058	1.207	0.9225	-2.11	-3.6225	-3.724	-6.5475	-2.346	-3.0405	-3.6415	-3.752	-3.809	-3.998	-2.456	-2.662	-3.502	-0.53	-0.133	0.217	0.27	-0.0985	-2.309	-2.806	-0.684	-3.362	-3.032	-3.296	0.585	0.436
"YPL079W"	-2.597	-2.277	-3.115	-3.828	0.688	0.096	1.126	0.917	-2.168	-4.616	-3.892	-6.4765	-2.527	-3.085	-3.172	-3.0255	-3.112	-4.735	-3.015	-3.498	-4.547	-0.427	-0.327	0.031	0.143	-0.043	-1.673	-3.135	-0.044	-2.865	-3.573	-2.983	-0.147	-0.697
"YPL081W"	-2.158	-1.543	-2.931	-3.841	0.427	-0.098	0.779	0.714	-0.98	-4.5065	-3.4025	-6.801	-1.497	-2.5355	-2.916	-2.428	-2.3315	-4.022	-2.789	-2.909	-3.725	-0.191	-0.034	0.099	0.171	-0.048	-1.844	-2.52	0.258	-3.083	-3.939	-2.32	0.159	-0.885
"YPL090C"	-2.09	-2.497	-3.529	-3.965	0.955	-0.725	0.871	0.9415	-2.737	-3.9615	-4.364	-6.197	-2.01	-3.398	-3.223	-3.3795	-3.2385	-5.307	-3.292	-3.309	-4.719	-0.203	0.121	-0.045	-0.062	-0.1215	-2.061	-3.272	0.232	-4.244	-4.101	-2.573	0.035	-0.22
"YPL226W"	-3.002	-2.4945	-3.229	-4.183	0.7565	-0.503666666666667	0.906666666666667	0.858	-1.031	-4.86566666666667	-3.95033333333333	-5.67966666666667	-2.472	-3.37333333333333	-2.503	-2.786	-2.922	-4.0095	-3.407	-2.9025	-3.983	0.2405	-0.275	-0.0735	0.0465	0.427333333333333	-1.7375	-3.215	0.369	-2.657	-3.811	-1.898	-0.343	-0.647
"YPR033C"	-1.614	-1.136	-1.452	-1.737	0.789	-0.134	0.6725	0.5805	-1.113	-2.7945	-4.8805	-7.94	-1.4745	-2.32	-2.0735	-2.759	-2.6225	-2.203	-3.951	-4.382	-4.54	0.25	0.37	0.015	0.242	0.16	-2.107	-1.307	0.78	-2.1325	-2.0305	-1.4035	-0.0435	-0.8945
"YPR041W"	-1.1095	-1.354	-1.831	-2.097	0.9545	-0.373	0.966	0.728333333333333	-0.8655	-1.871	-2.36366666666667	-4.07266666666667	-1.46266666666667	-2.403	-2.45	-2.41033333333333	-2.291	-1.646	-1.805	-1.8775	-2.441	-0.374	0.322	-0.1465	-0.031	0.100333333333333	-1.977	-1.955	0.735	-3.035	-3.187	-1.691	0.058	-0.197
"YPR102C"	-2.298	-2.206	-3.37	-4.232	1.367	-0.2645	1.2	1.1555	-1.866	-3.521	-4.045	-6.451	-1.9585	-3.5055	-4.118	-3.673	-3.277	-4.644	-3.352	-3.749	-4.692	-0.234	0.018	0.219	0.435	-0.1255	-2.384	-3.007	0.297	-3.927	-4.015	-2.973	-0.171	-0.536
"YPR110C"	-3.084	-2.507	-3.52	-3.728	0.96	-0.8555	1.068	0.986	-1.61	-5.7185	-3.662	-6.318	-2.6255	-3.01	-3.296	-2.285	-2.0215	-3.88	-2.993	-3.212	-3.358	-0.74	0.098	-0.091	0.102	0.173	-2.108	-3.168	0.106	-2.851	-3.882	-2.622	-0.158	-0.677
"YPR132W"	-1.583	-1.962	-1.788	-3.128	1.079	-0.4615	1.0155	0.901	-1.741	-2.849	-3.1925	-5.805	-2.2135	-2.5895	-3.048	-2.967	-2.8485	-3.788	-1.968	-2.388	-3.151	-0.276	0.197	0.125	0.215	0.115	-2.217	-2.027	0.198	-2.884	-2.903	-2.331	-0.003	-0.484
