	"59.alpha factor release sample013"	"598.29 deg growth"	"651.alpha factor release sample019"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1673.alpha factor release sample021"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"30773.Pomona/Brown Sir3x red"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40956.H2O2_II_100_min"	"40958.H2O2_II_140_min"	"40960.H2O2_II_180_min"	"40965.MD_II_28_min"	"40971.MD_II_77_min"	"40973.MD_II_100_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YDL061C"	0.171	0.38	-0.055	1.013	-3.45	-2.443	-2.323	-2.345	-2.173	-2.665	-3.265	-4.279	-2.81	-1.687	-3.127	-3.44	-2.031	-2.139	-1.095	-0.613	-1.256	0.218	0.739	0.1705	-0.01	0.415	0.02	-0.623	-1.288	-0.755	-0.011	-0.033	0.632	-2.377	-1.085	-1.806	-1.491
"YDL150W"	-0.1395	0.03	-0.355	0.596	-1.991	-1.142	-1.17	-0.601	-0.448	-1.089	-1.728	-3.715	-1.542	-0.97	-0.525	-2.606	-1.402	-1.259	-1.456	-1.824	-1.598	0.206	0.0785	-0.208	-0.157	-0.157	-0.104	0.089	-0.506	-0.334	-0.146	0.445	-0.537	-0.625	-1.353	-0.318	0.284
"YDL185W"	0.278	-0.285	0.017	0.138	-0.209	-0.232	-0.557	-0.571	-0.915	-1.477	-2.522	-4.417	-0.619	-1.308	-2.012	-1.075	-0.395	-0.701	-1.557	-2.084	-3.0	0.113	0.142	0.0325	0.074	0.27	0.201	0.003	-0.109	-0.035	0.095	0.751	-0.22	-0.635	0.052	-1.244	-0.556
"YDR002W"	-0.021	0.183	-0.375	0.587	-1.205	-1.318	-0.892	-1.054	-1.992	-1.109	-2.756	-4.542	-1.43	-1.99	-1.796	-2.073	-1.309	-0.91	-1.672	-2.746	-2.987	0.33	0.396	0.227	0.03	-0.207	0.228	-0.119	-0.319	-0.945	-0.401	0.329	-0.635	-1.395	-0.886	-1.263	-1.881
"YDR023W"	0.001	-0.076	-0.457	0.525	-1.814	-2.122	-1.859	-1.347	-2.164	-2.077	-2.907	-5.745	-1.116	-1.813	-1.696	-3.05	-1.553	-2.313	-3.056	-3.357	-3.85	0.148	0.649	0.1395	-0.019	0.024	0.282	-1.06	-1.233	-0.254	0.057	-0.291	0.184	-0.941	-1.27	-1.436	-1.932
"YDR025W"	0.038	0.028	-0.38	0.806	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-3.356	-3.471	-3.326	-4.504	-1.915	-2.886	-2.503	-2.895	-3.518	0.426	0.648	-0.116	-0.035	0.236	-0.1195	-0.6605	-1.351	-0.3415	0.0745	0.2395	0.015	-1.305	-2.008	-1.104	-2.068
"YDR037W"	0.433	0.04	0.437	0.502	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-5.224	-2.505	-2.756	-2.42	-1.971	-2.681	-2.313	-2.916	-3.368	-3.772	0.091	0.349	-0.058	-0.13	0.385	0.185	0.295	-0.367	-0.943	-0.295	-0.032	0.394	-1.624	-1.801	-1.717	-1.744
"YDR047W"	-0.034	0.024	-0.4	0.081	0.583	1.001	0.225	-0.39	-0.69	-0.866	-1.482	-2.674	-1.869	-0.739	-1.361	0.244	-0.642	-1.08	-0.385	-0.283	-0.484	-0.089	0.276	-0.2055	0.128	0.086	0.177	0.212	-0.042	-0.641	0.024	-0.22	-0.509	-0.269	-1.039	-1.2	-0.376
"YDR050C"	-0.004	0.141	-0.205	-0.628	-0.897	-0.528	-0.132	0.204	-0.663	0.402	-1.84	-5.94	-1.169	-2.158	-2.14	-1.551	-0.162	-0.284	-2.206	-2.643	-3.307	-0.038	0.389	0.388	0.122	0.095	0.232	0.939	0.398	0.416	0.508	0.443	-0.131	-1.18	-1.113	-1.29	-1.449
"YDR064W"	0.17	0.244	0.086	1.04	-3.874	-3.241	-2.585	-2.577	-2.639	-2.597	-3.761	-5.03	-3.138	-2.511	-2.495	-3.65	-2.718	-2.943	-2.527	-2.531	-3.199	-0.147	0.045	-0.106	-0.36	0.137	-0.4825	-0.9055	-1.5475	-0.706	0.041	0.033	0.3425	-1.471	-1.701	-1.751	-1.635
"YDR189W"	-0.281	-0.19	-0.409	0.297	-0.905	-0.795	-0.307	-0.822	-0.735	-0.956	-1.871	-2.842	-0.61	-0.824	-1.156	-0.968	-0.693	-0.704	-1.597	-1.904	-2.063	-0.101	0.056	0.126	-0.041	0.053	0.1835	-1.001	-0.8915	-0.1585	-0.096	-0.116	-0.2675	-1.8095	-1.6005	-2.192	-1.5875
"YDR341C"	-0.079	0.103	-0.267	0.462	-3.559	-2.27	-1.485	-1.763	-1.574	-1.681	-3.212	-5.262	-2.171	-2.134	-2.218	-2.942	-1.942	-2.263	-3.262	-3.294	-3.559	0.17	0.404	0.215	0.1	0.023	0.213	-0.843	-1.313	-0.947	-0.202	-0.716	0.272	-3.202	-3.139	-2.088	-2.352
"YDR382W"	0.133	0.56	-0.108	1.067	-2.138	-2.015	-2.237	-1.342	-1.738	-1.546	-2.459	-5.686	-2.886	-2.776	-2.394	-4.02	-2.897	-2.877	-2.565	-3.137	-3.471	0.27	0.345	0.129	0.555	0.007	0.068	-0.538	-1.09	-0.385	0.251	0.292	-0.764	-2.352	-2.566	-2.43	-2.838
"YDR385W"	0.159	-0.01	-0.251	0.864	-2.252	-1.858	-1.887	-1.775	-1.783	-1.985	-3.158	-5.463	-2.3	-1.065	-2.811	-2.538	-1.431	-1.529	-1.848	-2.214	-3.65	0.107	0.424	0.035	-0.147	0.076	0.366	-1.851	-1.998	-1.198	-0.402	-0.816	-0.95	-3.868	-3.422	-2.877	-2.375
"YDR418W"	0.362	0.291	0.296	1.134	-3.707	-3.13	-2.7	-2.237	-2.192	-2.976	-3.074	-5.866	-3.181	-2.797	-2.605	-4.449	-2.792	-2.82	-2.866	-3.091	-4.066	0.232	0.34	0.21	0.253	0.211	-0.151	-0.432	-1.737	-0.432	0.586	-0.082	0.712	-0.929	-0.306	-1.636	-2.038
"YDR447C"	0.115	0.389	0.034	0.931	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-5.332	-3.565	-2.813	-3.129	-4.249	-2.432	-2.817	-2.53	-2.625	-3.552	0.129	-0.076	-0.139	0.176	0.458	-0.285	-1.784	-1.4305	-1.384	-0.6095	-1.196	-1.217	-2.603	-2.5185	-2.1805	-2.4665
"YEL026W"	0.207	0.385	-0.01	0.932	-3.603	-2.647	-2.87	-2.043	-2.285	-2.905	-3.458	-4.755	-3.357	-1.904	-2.271	-3.331	-2.812	-1.923	-2.288	-3.073	-0.452	0.364	0.413	-0.443	0.059	0.303	0.0495	-1.4165	-2.396	-0.2895	0.724	0.244	0.9245	-2.0995	-2.246	-2.4325	-2.435
"YEL042W"	-0.34	-0.184	0.546	0.856	-1.578	-0.84	-0.254	-0.736	-1.264	-1.261	-3.201	-4.334	-1.439	-1.329	-1.924	-1.851	-1.705	-1.658	-1.896	-2.665	-3.071	0.183	0.072	-0.22	-0.007	-0.001	0.386	0.7305	-0.1255	0.7655	0.773	0.8305	0.72	-1.178	-1.2935	-1.0805	-0.93
"YEL054C"	0.02	0.547	-0.226	1.075	-3.654	-2.711	-2.761	-1.871	-1.511	-2.981	-2.98	-7.056	-3.52	-3.003	-2.232	-3.347	-2.777	-2.579	-2.504	-3.005	-3.554	0.343	0.353	0.166	0.091	0.346	0.1225	-1.1445	-1.233	-0.255	0.232	0.201	-0.034	-1.149	-1.204	-1.1925	-1.677
"YER009W"	0.477	-0.108	0.351	0.524	-1.519	-0.518	-0.602	-0.827	-1.398	-0.688	-2.671	-4.765	-1.222	-2.143	-1.906	-1.108	-1.407	-1.465	-2.034	-2.393	-2.025	0.352	0.279	0.074	-0.029	0.325	-0.173	0.094	-0.1445	-0.1945	0.186	0.074	-0.09	-0.657	-0.3295	-0.589	-0.565
"YER031C"	0.117	0.113	0.269	0.623	-0.898	-1.016	-0.637	-1.025	-1.399	-1.638	-1.835	-4.144	-0.627	-1.251	-1.502	-0.742	-0.58	-0.58	-0.886	-1.885	-1.955	0.424	0.598	-0.096	-0.006	0.285	-0.367	-0.496	-0.987	-0.074	-0.376	-0.226	-0.149	-0.998	-1.07	-1.746	-1.709
"YER086W"	0.262	0.102	0.498	0.82	-3.714	-1.791	-1.128	-1.076	-1.236	-1.424	-3.61	-5.173	-2.152	-2.311	-2.028	-2.719	-1.847	-1.837	-2.624	-2.882	-3.77	-0.04	0.228	-0.12	0.09	0.098	-0.133	NaN	-0.832	1.104	0.761	-0.102	0.869	1.308	1.305	1.88	0.996
"YER102W"	0.682	0.447	0.351	1.107	-3.932	-3.965	-3.177	-2.924	-2.3	-2.578	-3.64	-6.434	-3.625	-3.37	-3.204	-4.286	-2.613	-2.593	-2.579	-3.326	-3.859	0.492	0.606	-0.113	0.299	0.334	0.011	-0.333	-0.956	-0.432	0.075	0.153	0.803	-1.578	-0.828	-1.748	-1.074
"YER131W"	0.428	0.505	0.237	1.25	-2.813	-3.262	-2.7	-2.3	-1.895	-2.47	-3.664	-6.55	-2.795	-2.905	0.589	-4.139	-2.2	-2.498	-2.105	-2.654	-3.304	0.133	0.389	0.158	0.487	0.281	0.0585	-0.875	-0.727	-0.149	0.031	0.61	-0.2355	-0.529	-1.138	-1.3455	-0.9915
"YFR028C"	-0.558	0.041	-0.191	0.282	-1.14	-1.025	-0.58	-0.627	-1.456	-0.875	-2.027	-4.271	-1.222	-1.037	-1.293	-1.141	-1.142	-1.447	-1.092	-1.864	-1.575	-0.152	0.002	-0.144	0.191	0.047	0.1	-0.552	-0.221	-0.7755	-0.544	0.1205	0.536	-0.5045	-1.319	-1.38	-0.713
"YGL022W"	-0.21	-0.014	0.541	0.309	-0.918	-0.544	-0.135	-0.631	-1.034	-0.622	-3.396	-4.268	-0.993	-1.595	-1.742	-1.268	-0.687	-0.699	-1.211	-1.242	-2.176	-0.03	0.113	0.129	0.414	-0.219	0.27	0.266	0.026	-0.679	0.812	0.093	0.004	-0.986	-0.855	-1.086	-1.654
"YGL030W"	0.112	0.358	-0.047	1.037	-3.613	-2.888	-2.582	-1.861	-2.363	-2.008	-3.668	-5.484	-2.751	-2.6	-2.361	-3.284	-2.592	-2.534	-1.668	-2.044	-3.011	0.019	-0.093	-0.268	-0.101	-0.008	-0.534	-0.7535	-0.303	-1.2545	-0.66	0.073	0.189	-1.7925	-2.2635	-2.1535	-1.241
"YGL031C"	0.578	0.339	0.204	1.003	-3.366	-4.285	-3.732	-2.9	-1.846	-3.104	-3.683	-5.763	-2.881	-3.063	-2.704	-5.191	-2.475	-2.899	-2.92	-3.061	-3.473	0.373	0.589	0.23	0.114	0.194	0.142	-1.032	-1.701	-1.288	-1.186	0.277	-0.245	-1.623	-2.49	-1.421	-1.852
"YGL123W"	0.776	0.321	0.481	1.189	-3.781	-3.757	-3.726	-3.265	-2.802	-3.62	-4.004	-5.982	-3.654	-3.701	-3.959	-3.511	-2.414	-2.278	-2.388	-2.65	-3.558	0.508	0.658	0.225	0.027	0.274	0.216	-1.237	-1.047	-1.516	-0.393	-0.402	-0.378	-1.262	-1.944	-2.333	-2.058
"YGL202W"	0.258	0.178	0.073	0.211	-0.928	-0.343	-0.79	-0.668	-1.935	-1.435	-3.334	-4.405	-1.938	-2.233	-1.883	-1.756	-1.963	-2.379	-2.119	-2.237	-2.614	0.286	0.338	0.218	0.433	-0.072	0.223	0.534	0.64	-0.269	0.365	0.493	-0.352	-0.517	-0.726	-1.362	0.066
"YGL221C"	0.319	-0.153	0.246	0.019	-0.697	-0.693	-0.879	-1.086	-0.86	-1.381	-2.49	-4.397	-0.752	-0.726	-1.48	0.139	-0.315	-0.299	-0.541	-0.978	-1.051	0.252	0.238	0.377	0.052	0.241	0.149	-0.018	-0.072	-0.593	0.42	-0.491	-0.97	-0.478	-0.965	-1.426	-1.359
"YGL253W"	0.56	0.202	0.376	0.266	-1.633	-2.041	-1.811	-2.185	-1.924	-0.458	-2.17	-4.666	-0.279	-0.793	-0.699	-0.799	-0.348	-0.677	-1.66	-1.811	-2.803	0.808	0.5	-0.003	0.038	0.264	0.172	0.065	-0.708	-0.702	-0.001	-0.208	0.299	-0.5	-1.217	-1.627	-0.661
"YGR103W"	0.217	0.347	0.254	1.223	-4.825	-3.051	-3.013	-2.66	-2.148	-2.349	-1.948	-5.518	-2.402	-2.149	-1.634	-4.861	-2.918	-2.95	-2.768	-3.578	-3.882	-0.079	0.228	-0.172	0.129	-0.084	0.129	-1.469	-2.261	-1.121	-0.132	0.044	-0.65	-2.206	-3.181	-3.975	-2.5
"YGR118W"	0.373	0.419	0.184	0.996	-2.621	-2.692	-2.681	-2.455	-2.097	-1.993	-2.204	-5.471	-2.209	-2.183	-2.326	-3.851	-1.997	-2.117	-1.76	-2.214	-3.141	0.227	0.378	-0.005	0.229	0.3825	-0.026	-1.2615	-1.5	-1.282	-0.711	-0.318	-0.5525	-1.282	-1.9475	-2.0795	-1.421
"YGR148C"	0.284	0.259	0.132	0.933	-3.45	-3.596	-3.464	-3.033	-2.31	-2.615	-3.884	-5.757	-3.011	-2.956	-2.722	-5.063	-2.508	-2.896	-3.022	-3.649	-4.092	-0.096	0.636	0.411	0.022	0.25	0.117	-1.0135	-1.5625	-0.8635	-0.312	-0.2035	-0.018	-1.5835	-1.8265	-1.6245	-1.9535
"YGR185C"	0.036	0.261	-0.077	0.336	-3.192	-1.697	-1.695	-1.31	-2.13	-2.168	-5.306	-6.361	-1.736	-2.6	-2.266	-2.754	-2.531	-2.944	-4.576	-4.871	-5.006	0.116	0.147	0.193	0.181	0.0675	0.247	0.225	-0.298	0.253	0.355	0.298	0.325	-0.527	0.237	-0.735	-1.672
"YGR234W"	-0.177	0.62	-1.476	1.17	-2.039	2.015	1.269	0.337	-2.175	-2.037	-3.567	-3.847	-0.67	-1.031	-1.788	-1.598	-2.118	-3.518	-3.826	-4.345	-4.526	-1.373	-0.995	0.188	-0.767	0.328	0.153	-0.864	-0.927	0.413	0.221	-0.744	-0.878	-1.861	-2.596	-1.859	-2.417
"YGR254W"	0.391	0.12	0.2625	-0.498	-1.0495	-1.421	-0.347	0.159	0.003	-0.2375	-3.348	-5.012	-0.4965	-1.4645	-0.919	-0.438	1.749	1.81	-1.0355	-1.285	-3.4445	-0.0505	0.4105	-0.0925	-0.006	0.24	0.1695	-0.2415	0.0015	-0.0955	0.1965	0.4085	0.076	-0.383	-1.5105	-1.577	-1.0615
"YGR285C"	0.366	0.061	0.243	0.578	-3.959	-2.444	-2.267	-1.794	-1.645	-1.67	-4.078	-6.1	-1.332	-1.877	-1.393	-3.556	-2.557	-2.811	-3.452	-4.07	-4.065	-0.129	0.323	0.045	0.15	-0.0025	0.188	-0.168	-0.605	-0.935	0.938	0.184	-1.152	-1.194	-0.848	-1.568	-1.913
"YHL033C"	0.208	0.416	0.086	1.093	-3.758	-2.864	-2.635	-1.944	-1.277	-2.205	-3.984	-6.65	-3.153	-3.005	-2.318	-4.25	-2.808	-2.523	-2.601	-2.923	-4.209	0.38	0.429	0.082	0.08	-0.0885	0.265	-1.062	-1.605	-0.45	0.578	0.561	0.272	-1.576	-1.998	-1.936	-2.273
"YHR019C"	0.221	0.039	0.253	0.762	-2.949	-1.631	-1.096	-1.467	-1.831	-2.048	-4.051	-5.077	-2.825	-2.664	-2.76	-2.07	-2.109	-2.06	-3.117	-3.721	-4.387	0.063	0.217	0.227	0.071	0.0315	0.257	-0.536	-0.817	-0.477	-0.915	-0.29	0.257	-0.934	0.45	-1.862	-2.063
"YHR128W"	0.472	-0.008	-0.111	0.683	-4.359	-3.335	-2.68	-3.111	-3.159	-3.742	-4.967	-6.006	-3.988	-3.361	-3.012	-2.2	-3.051	-3.482	-3.191	-3.494	-3.516	0.616	0.627	-0.856	0.062	0.0725	0.141	-1.861	-2.441	-0.851	-0.157	-0.65	-0.986	-2.944	-3.448	-3.711	-4.039
"YHR203C"	0.232	0.133	0.191	0.884	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-5.944	-3.774	-3.412	-3.049	-4.669	-2.437	-2.591	-2.575	-3.081	-3.941	-0.052	0.112	0.137	0.264	0.204	0.138	-2.054	-2.535	-1.071	-1.174	-0.664	-0.071	-2.602	-2.385	-1.792	-2.356
"YHR216W"	-0.34	0.405	-0.6	0.816	-2.62	-2.056	-2.143	-1.201	-1.128	-2.045	-3.15	-4.943	-2.914	-3.038	-2.589	-2.554	-2.088	-2.767	-2.237	-2.621	-2.913	-0.372	-0.023	0.334	0.163	0.1095	0.132	-0.953	-1.362	-0.368	-0.423	0.084	-1.88	-2.531	-3.136	-3.571	-3.232
"YIL018W"	0.182	0.234	-0.197	1.056	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-3.505	-3.056	-3.151	-3.907	-2.218	-2.606	-2.661	-3.27	-3.914	0.226	0.094	-0.056	-0.233	0.074	0.152	-2.249	-2.277	-1.233	-0.51	-1.022	-0.855	-1.447	-2.534	-1.992	-2.409
"YIL075C"	-0.003	NaN	-0.062	NaN	-0.621	-1.138	NaN	1.0	1.222	NaN	4.0	NaN	NaN	NaN	2.263	NaN	NaN	0.554	-1.379	NaN	NaN	-0.049	0.225	0.149	NaN	0.382	0.169	0.213	0.174	0.081	-0.836	-0.485	0.001	0.394	-0.245	-1.812	0.405
"YIL078W"	0.382	0.067	0.174	0.648	-2.907	-2.075	-2.018	-2.219	-2.498	-1.911	-5.192	-6.059	-2.288	-2.5	-2.462	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	-0.011	0.168	0.262	0.141	0.1345	0.351	-1.824	-1.608	0.047	-0.609	-0.992	0.201	-2.063	-2.818	-3.662	-2.433
"YIL103W"	-0.159	0.13	0.431	0.553	-1.36	-0.912	-0.362	-0.878	-0.817	-0.795	-1.284	-2.625	-1.992	-0.902	-1.036	-0.074	-0.715	-0.829	-0.642	-1.033	-0.663	0.138	0.162	-0.083	0.125	-0.094	0.328	NaN	0.438	-0.004	-1.336	-0.034	0.049	1.056	-0.109	-1.15	0.607
"YIL146C"	-0.978	-0.013	-0.557	-0.123	2.334	2.196	2.111	2.234	2.539	2.94	3.637	2.194	0.997	1.658	1.857	2.306	2.177	2.693	3.595	3.491	2.947	-0.792	-0.354	-0.023	0.285	-0.3585	0.374	NaN	0.161	-1.22	-0.69	-0.289	0.998	-1.017	-3.066	-3.25	-0.625
"YJL034W"	0.403	-0.352	0.81	-1.104	-0.72	-0.584	-1.007	-0.954	-0.912	-0.388	-1.542	-3.805	-0.937	-1.051	-1.16	-1.584	-0.463	-0.554	-2.417	-3.286	-3.187	0.317	0.228	0.505	-0.285	0.516	0.509	0.526	-0.017	-0.487	-0.317	-0.286	-0.083	-0.545	-1.368	-1.585	-0.436
"YJL111W"	0.324	-0.035	0.229	0.821	-1.744	-1.717	-1.355	-1.285	-1.375	-1.323	-3.38	-6.57	-1.669	-1.796	-1.988	-1.812	-1.213	-1.305	-1.573	-1.994	-2.239	0.58	0.4	0.041	-0.16	0.1385	-0.05	-1.002	-0.563	-0.479	-0.345	-0.682	-0.055	-0.556	-1.191	-3.106	-2.358
"YJL177W"	0.339	0.311	0.236	0.893	-4.132	-3.846	-3.2	-2.981	-0.605	-2.747	-3.255	-5.49	-3.772	-3.428	-3.164	-5.074	-2.525	-2.421	-1.768	-2.278	-2.905	0.253	0.165	0.324	0.25	0.352	-0.127	-1.201	-1.068	-0.052	0.421	-0.054	-1.183	-3.497	-1.949	-1.541	-1.624
"YJL188C"	0.109	0.586	-0.106	0.709	-2.525	-2.39	-2.043	-1.864	-1.323	-1.808	-2.786	-4.633	-2.745	-2.519	-1.879	-3.453	-1.885	-1.929	-2.169	-2.54	-2.776	0.333	0.261	0.274	0.017	0.2065	0.024	-0.734	-1.724	0.008	-0.51	-0.606	-0.715	-1.485	-1.412	-1.571	-1.667
"YJL190C"	0.061	0.504	-0.144	1.126	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-6.079	-3.744	-3.536	-3.062	-4.469	-3.105	-3.227	-2.941	-3.365	-3.524	0.17	0.182	0.16	0.048	0.2805	0.084	-1.298	-2.517	-0.456	-1.705	-0.944	-1.193	-2.383	-2.905	-1.849	-2.584
"YJR007W"	0.354	0.083	0.069	-0.487	-2.169	-1.704	-1.629	-2.107	-1.68	-2.662	-3.21	-8.057	-1.339	-1.824	-1.91	-1.755	-1.848	-2.051	-2.909	-3.009	-3.616	0.227	0.474	-0.507	-0.054	0.099	-0.02	-1.666	-0.587	-0.661	-0.855	-0.414	0.64	-1.264	-1.182	-1.692	-1.528
"YJR047C"	0.138	0.145	0.348	0.494	-1.68	-1.561	-0.57	-0.362	-0.423	-0.619	-1.06	-3.054	-0.663	-1.522	-1.153	-0.984	-0.923	-1.015	-0.66	-1.285	-2.504	-0.035	0.208	0.158	0.091	0.263	0.079	-0.927	-1.263	-0.757	0.293	0.158	-0.303	-1.483	-1.131	-2.5	-1.709
"YJR123W"	0.296	0.235	0.23	1.081	-3.844	-3.276	-3.279	-3.375	-2.46	-3.124	-4.381	-9.147	-3.529	-3.442	-3.646	-4.282	-2.391	-2.635	-2.639	-3.543	-4.006	0.025	0.192	0.237	0.56	0.301	-0.629	-1.541	-1.531	-0.915	-1.396	-0.681	-0.807	-3.049	-3.256	-3.103	-2.851
"YJR145C"	0.373	0.282	0.239	0.963	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-3.54	-6.528	-3.547	-3.597	-3.707	-4.857	-2.396	-2.336	-2.519	-3.105	-3.178	0.133	0.181	0.066	0.381	0.362	0.106	-1.426	-1.389	-0.738	0.043	-0.28	-1.104	-2.068	-3.796	-2.134	-1.563
"YKL056C"	0.32	0.293	0.37	1.069	-3.205	-2.603	-3.118	-2.355	-1.541	-1.771	-3.426	-5.119	-2.359	-2.371	-2.389	-2.468	-1.741	-2.281	-2.754	-3.265	-3.483	0.148	0.21	0.082	0.072	0.2585	0.125	-1.196	NaN	-0.558	-0.439	0.404	0.098	-1.025	-1.512	-1.958	-2.444
