	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YMR220W"	-1.869	-3.12	-1.468	-2.008	-1.728	-0.845	-0.838	-0.846
"YMR242C"	-3.971	-6.226	-2.601	-3.133	-3.475	1.376	1.593	1.375
"YMR290C"	-3.509	-5.217	-3.219	-3.665	-2.938	1.868	1.893	1.867
"YMR300C"	-3.133	-4.702	-1.803	-2.016	-1.571	1.9	2.243	1.899
"YNL002C"	-2.73	-3.468	-2.277	-2.592	-2.588	1.542	1.896	1.541
"YNL016W"	-1.2125	-3.2085	-1.256	-1.271	-1.9635	0.331	0.66	0.33
"YNL026W"	-1.792	-4.57	-1.742	-1.531	-1.966	0.498	0.5	0.497
"YNL084C"	-1.945	-3.396	-1.386	-1.735	-1.919	0.428	0.623	0.427
"YNL167C"	-1.892	-3.18	-0.561	-1.669	-1.67	-0.77	-0.332	-0.771
"YNL178W"	-4.338	-6.62	-2.958	-3.483	-3.871	1.301	1.455	1.318
"YNL313C"	-3.628	-5.714	-2.01	-2.343	-2.518	0.038	-0.513	0.037
"YOR007C"	-0.729	-3.123	-1.016	-2.096	-2.568	0.221	-0.384	0.2625
"YOR109W"	-2.42	-3.566	-1.1	-1.591	-1.813	-0.06	0.194	-0.062
"YOR117W"	-0.215	-4.538	-0.901	-2.138	-1.922	0.699	0.954	0.698
"YOR128C"	-0.2945	-5.225	-0.947	-0.804	-1.454	1.661	1.932	1.66
"YOR157C"	-1.899	-4.5095	-1.14	-2.012	-1.966	-0.139	0.233	-0.14
"YOR164C"	-2.555	-4.0095	-1.603	-1.956	-2.107	0.484	0.894	0.483
"YOR168W"	-1.984	-4.808	-2.348	-2.353	-2.604	1.35	1.451	1.349
"YOR209C"	-2.998	-6.004	-1.897	-2.681	-2.954	0.477	0.446	0.476
"YOR280C"	-1.883	-4.249	-1.197	-1.828	-1.95	-0.202	0.027	-0.203
"YOR321W"	-2.096	-3.7905	-1.374	-1.619	-2.487	0.703	0.845	0.702
"YOR323C"	-4.2845	-6.434	-2.742	-3.497	-3.428	-1.368	-1.361	-1.369
"YOR331C"	-1.513	-4.099	-0.706	-1.671	-2.079	0.03	0.291	0.029
"YOR360C"	-1.71566666666667	-3.43133333333333	-0.9355	-1.622	-1.719	-0.428	-0.235	-0.429
"YPL037C"	-3.9955	-5.417	-2.115	-3.222	-3.654	1.132	1.466	1.131
"YPL079W"	-3.892	-6.4765	-3.015	-3.498	-4.547	1.137	1.272	1.136
"YPL081W"	-3.4025	-6.801	-2.789	-2.909	-3.725	1.891	2.0	1.89
"YPL094C"	-3.0415	-5.3055	-2.024	-2.284	-2.741	0.359	0.462	0.358
"YPL198W"	-4.3605	-6.879	-2.487	NaN	-3.133	1.3255	1.527	1.3245
"YPL220W"	-3.187	-6.1465	-2.247	-2.571	-3.926	1.942	2.002	1.941
"YPL237W"	-2.875	-5.7585	-2.006	-2.44	-3.024	0.387	0.397	0.386
"YPR044C"	-2.87	-4.76433333333333	-1.2955	-1.702	-1.9615	1.142	1.333	1.141
"YPR080W"	-2.848	-5.6305	-1.689	-2.389	-3.139	0.706	1.02	0.705
"YPR108W"	-2.0125	-4.645	-2.383	-3.07	-2.669	0.657	0.734	0.656
"YPR125W"	-1.846	-4.04	-1.108	-1.757	-2.566	0.377	-0.032	0.376
