	"854.YPD_6_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"6344.DES460 + 0.02% MMS - 5 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"16338.DES460 vs. DES460 YPD log phase control"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40954.H2O2_II_70_min"	"40959.H2O2_II_160_min"	"40967.MD_II_42_min"	"40970.MD_II_63_min"	"40972.MD_II_85_min"	"40976.MD_II_140_min"
"YLR029C"	-3.174	-2.572	-2.334	-3.108	-3.615	-6.877	-2.777	-2.809	-3.178	-2.242	-2.378	-2.987	0.219	0.304	0.325	0.467	0.456	-0.173	-1.513	-1.798	-1.459	0.782	-0.675	-0.657	-0.48	-1.255
"YLR192C"	-2.241	-1.243	-1.651	-1.665	-2.456	-4.349	-1.134	-1.581	-1.685	-1.566	-2.165	-2.147	0.078	0.376	0.29	0.347	-0.163	-0.237	0.621	1.012	0.633	-0.501	-0.125	0.53	0.299	-0.36
"YLR301W"	-2.642	-1.91	-1.953	-1.84	-3.676	-5.415	-1.53	-1.429	-1.555	-2.581	-2.218	-2.268	-0.063	-0.078	0.015	-0.102	0.052	0.144	0.231	-0.679	0.644	-0.108	-0.348	0.653	0.238	-0.836
"YLR339C"	-3.243	-2.664	-3.285	-3.76	-4.988	-6.865	-2.453	-3.194	-3.117	-2.461	-3.161	-3.973	0.472	0.285	0.253	0.014	0.06	-0.078	-1.313	-2.221	-0.8	0.112	-0.65	-2.204	-1.492	-1.546
"YLR388W"	-3.12	-1.926	-1.98	-1.738	-3.596	-5.506	-3.204	-3.058	-4.025	-2.232	-2.581	-3.193	0.289	0.648	0.498	0.371	0.337	0.301	-1.207	-1.052	-1.415	0.439	0.621	-1.785	-0.482	-2.105
"YLR448W"	-4.815	-3.083	-2.052	-2.688	-3.552	-5.971	-3.425	-3.454	-4.891	-2.668	-3.192	-4.132	-0.047	0.467	0.403	0.184	0.355	-0.009	-0.609	1.536	0.723	-0.166	0.926	0.999	1.951	0.526
"YML022W"	-3.236	-1.805	-1.985	-2.389	-3.146	-3.98	-3.223	-2.451	-2.802	-2.846	-3.092	-3.144	0.212	0.356	0.301	-0.035	0.615	-0.122	-2.41	-2.739	-1.557	-1.13	-1.935	-1.935	-1.483	-1.558
"YMR015C"	-2.354	1.213	1.619	0.954	-3.115	-4.638	-1.078	-0.281	-2.163	-2.837	-3.222	-4.784	-0.017	0.151	0.235	-0.327	-0.029	0.016	-1.045	0.3	-1.862	-0.61	0.134	0.6	-0.671	0.101
"YMR121C"	-3.215	-2.002	-1.905	-2.539	NaN	-4.199	-2.574	-2.217	-2.864	-2.277	-2.155	-2.582	0.164	0.334	0.419	0.386	0.587	-0.185	-0.66	-2.302	-2.275	-0.582	-0.268	-0.173	0.279	-0.399
"YMR242C"	-4.702	-3.001	-2.522	-3.032	-3.971	-6.226	-3.832	-4.338	-4.84	-2.601	-3.133	-3.475	0.288	0.408	0.408	0.19	0.413	0.257	-1.628	-2.314	-1.417	-1.264	-0.054	-1.496	-1.072	-1.911
