	"56.Elutriation2:Sample2:Time3.5hrs"	"497.Heat Shock 000 minutes"	"516.2.5mM DTT 060 min"	"517.2.5mM DTT 090 min"	"684.YP fructose vs reference pool"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"28851.P2Comp 11 hr 51 min Phosphate Batch vs Chemostat Comparison2"
"YGL245W"	0.095	0.521	-0.354	-0.172	0.211	-1.475	-2.145	-4.799	-6.655	-1.33	-1.699	-2.088	-1.589	-2.121	-3.552	-4.345	-4.779	-0.194	0.202	-1.658	0.199	0.216	-0.125
"YGR014W"	0.478	-0.08	-0.136	0.112	-0.143	-0.898	-0.285	-1.258	-3.299	-1.225	-1.533	-1.619	-0.843	-0.867	-1.556	-1.446	-1.679	0.067	-0.023	-0.321	0.017	0.101	-1.1395
"YGR027C"	0.611	1.159	0.189	-0.1	0.613	-1.57	-1.697	-2.797	-5.39	-2.616	-2.612	-2.307	-1.779	-1.889	-1.187	-1.867	-2.368	0.238	0.319	-1.824	0.235	0.274	-1.4035
"YGR061C"	0.44	0.2555	-0.608	-0.817	0.375	-1.003	-1.6865	-2.8345	-3.447	-0.9045	-1.048	-1.7135	-1.7575	-1.891	-1.7885	-1.6345	-2.528	-0.0275	-0.2455	0.329	-0.187	-0.206	-0.581
"YGR085C"	0.685	1.473	-0.111	-0.994	0.809	-2.29	-2.146	-3.406	-6.059	-3.255	-3.013	-2.215	-2.625	-2.77	-3.306	-3.54	-4.179	0.278	0.311	-2.156	0.237	0.236	-1.244
"YGR118W"	0.496	1.216	-0.108	-0.738	0.604	-2.097	-1.993	-2.204	-5.471	-2.209	-2.183	-2.326	-1.997	-2.117	-1.76	-2.214	-3.141	0.229	0.3825	-2.095	0.2235	0.2275	-1.554
"YGR151C"	-0.028	0.447	0.158	0.037	0.301	-2.677	-1.671	-3.87	-3.928	-1.824	-0.483	-2.381	-2.815	-2.712	-1.696	-2.582	-2.109	-0.12	0.046	-1.997	0.198	0.304	-1.6515
"YGR185C"	0.427	0.667	-0.542	-1.014	0.66	-2.13	-2.168	-5.306	-6.361	-1.736	-2.6	-2.266	-2.531	-2.944	-4.576	-4.871	-5.006	0.181	0.0675	-2.438	-0.002	-0.011	1.252
"YGR229C"	0.458	0.6	-0.319	-0.466	0.098	-1.164	-0.943	-2.847	-4.256	-1.1	-1.987	-1.316	-1.569	-1.658	-2.401	-2.58	-3.391	0.076	-0.2585	-1.347	0.031	-0.112	-0.501
"YGR261C"	0.207	0.1	-0.156	0.01	-0.086	-1.213	-1.464	-2.682	-3.233	-0.822	-1.189	-1.363	-1.125	-0.876	-1.657	-2.505	-2.45	0.142	-0.015	-1.102	-0.245	-0.19	-0.075
"YGR265W"	-0.143	0.397	0.287	-0.148	0.217	-2.017	-2.576	-2.202	-3.223	-1.883	-1.703	-2.118	-2.395	-2.652	-2.824	-2.827	-2.343	-0.055	-0.027	-0.76	-0.002	0.117	-0.376
"YGR285C"	0.218	1.014	0.17	-0.304	0.524	-1.645	-1.67	-4.078	-6.1	-1.332	-1.877	-1.393	-2.557	-2.811	-3.452	-4.07	-4.065	0.15	-0.0025	-2.068	0.541	0.392	0.501
"YHL003C"	0.28	0.474	-0.315	-0.387	0.422	-0.508	-0.868	-2.186	-3.084	-0.691	-1.135	-1.164	-0.886	-0.883	-1.585	-1.707	-1.741	-0.067	-0.1445	-0.878	0.237	0.219	-0.117
"YHR019C"	0.94	1.111	0.0	-0.538	0.349	-1.831	-2.048	-4.051	-5.077	-2.825	-2.664	-2.76	-2.109	-2.06	-3.117	-3.721	-4.387	0.071	0.0315	-1.834	-0.009	0.239	-0.676
"YHR020W"	0.635	0.957	-1.132	-0.6	0.32	-2.887	-2.709	-2.69	-4.045	-3.053	-2.178	-2.045	-1.649	-1.837	-1.718	-2.26	-2.19	-0.16	0.1685	-2.656	0.137	0.093	-1.406
"YHR041C"	0.179	0.2635	0.0765	-0.1485	0.1955	-0.4205	0.188	0.0705	-4.1405	-1.2095	0.8525	-0.292	-0.373	-0.1265	0.1545	0.296	0.6325	0.0625	-0.357666666666667	-0.357	0.0505	-0.188	0.1185
"YHR064C"	0.302	0.709	-0.261	-0.166	0.505	-1.77	-1.712	-3.329	-5.238	-2.229	-2.559	-0.22	-1.754	-2.25	-2.957	-3.678	-3.675	-0.069	-0.0065	-2.056	0.195	0.172	0.497
"YHR084W"	-0.234	0.528	-0.284	0.083	-0.16	-1.307	-1.057	-2.317	-2.543	-1.501	-0.678	-1.565	-1.212	-1.569	-1.966	-2.19	-2.461	0.03	-0.0875	-0.283	-0.003	-0.274	-0.421
"YHR133C"	0.149	0.854	0.204	-0.285	0.377	-1.453	-1.561	-1.885	-3.501	-1.708	-1.622	-0.998	-1.703	-1.806	-1.64	-1.82	-2.45	-0.043	0.1275	-0.395	-0.179	-0.077	-0.835
"YHR141C"	0.176	1.024	-0.122	-0.294	0.957	-1.491	-1.631	-2.472	-3.64	-2.677	-2.575	-1.44	-1.753	-1.569	-1.819	-1.838	-2.014	0.039	0.255	-1.582	0.449	0.391	1.331
"YHR216W"	0.599	1.01	0.08	-0.485	0.585	-1.128	-2.045	-3.15	-4.943	-2.914	-3.038	-2.589	-2.088	-2.767	-2.237	-2.621	-2.913	0.163	0.1095	-1.783	0.071	-0.039	-0.32
"YIL002C"	-0.25	-0.363	-0.469	-0.256	0.0	-0.183	0.141	-1.756	-2.557	-0.445	-0.529	-0.586	0.011	-0.036	-1.128	-1.454	-1.742	0.183	0.0125	-0.426	0.101	-0.05	-0.056
"YJL080C"	0.234	0.372	-0.543	-0.695	0.165	-1.719	-1.923	-3.029	-3.232	-1.793	-1.545	-2.084	-2.293	-2.334	-2.401	-2.866	-3.001	0.026	0.2	-1.086	-0.519	-0.485	0.631
"YJL111W"	-0.566	1.059	-0.17	-0.384	0.011	-1.375	-1.323	-3.38	-6.57	-1.669	-1.796	-1.988	-1.213	-1.305	-1.573	-1.994	-2.239	-0.16	0.1385	-1.728	0.077	-0.081	-1.027
"YJL138C"	0.562	1.168	-0.327	-0.791	1.015	-1.195	-1.358	-3.125	-5.625	-2.285	-1.674	-1.959	-1.763	-2.049	-2.542	-2.785	-3.522	0.058	0.136	-1.828	0.361	0.31	-0.012
"YJL188C"	0.209	1.008	-0.318	-0.65	0.874	-1.323	-1.808	-2.786	-4.633	-2.745	-2.519	-1.879	-1.885	-1.929	-2.169	-2.54	-2.776	0.017	0.2065	-1.525	0.278	0.316	-1.062
"YJL196C"	0.407	0.262	-0.363	-0.247	0.478	-1.534	-0.896	-3.4	-4.585	-1.449	-1.932	-1.147	-0.493	-0.83	-1.269	-1.633	-1.812	0.123	-0.1185	-1.467	0.915	0.784	-0.651
"YJR003C"	-0.451	0.791	-0.389	-0.299	0.122	-0.767	-1.43	-2.48	-3.457	-1.02	-0.552	-1.397	-0.824	-0.91	-2.176	-2.349	-2.42	-0.218	-0.0655	-0.882	0.461	0.387	0.317
"YJR007W"	-0.032	1.053	0.03	-0.201	0.293	-1.68	-2.662	-3.21	-8.057	-1.339	-1.824	-1.91	-1.848	-2.051	-2.909	-3.009	-3.616	-0.054	0.099	-1.685	0.089	0.114	1.709
"YJR032W"	-0.258	0.379	-0.085	-0.027	0.276	-1.137	-1.097	-2.635	-3.054	-1.115	-0.935	-1.328	-0.808	-0.806	-1.546	-1.609	-1.727	0.034	-0.0325	-0.624	-0.09	-0.156	-1.094
"YJR064W"	0.292	0.739	-0.036	-0.166	0.253	-1.854	-2.589	-1.931	-4.297	-2.214	-1.978	-1.919	-1.592	-1.762	-1.961	-2.702	-2.57	0.016	0.09	-1.762	0.106	0.023	1.445
"YJR123W"	0.576	1.3	0.154	-0.537	0.423	-2.46	-3.124	-4.381	-9.147	-3.529	-3.442	-3.646	-2.391	-2.635	-2.639	-3.543	-4.006	0.56	0.301	-2.153	0.266	0.161	-3.013
"YJR145C"	0.717	1.17	0.038	-0.632	0.549	-2.328	-2.413	-3.54	-6.528	-3.547	-3.597	-3.707	-2.396	-2.336	-2.519	-3.105	-3.178	0.381	0.362	-2.312	0.394	0.212	-3.245
"YKL048C"	-0.336	0.064	-0.366	-0.376	-0.085	-0.709	-0.676	-2.621	-3.599	-0.811	-0.01	-0.436	-0.237	-0.645	-1.527	-1.483	-1.347	0.186	-0.0675	-0.286	0.176	-0.017	-0.233
"YKL056C"	0.7	0.909	-0.078	-0.39	0.669	-1.541	-1.771	-3.426	-5.119	-2.359	-2.371	-2.389	-1.741	-2.281	-2.754	-3.265	-3.483	0.072	0.2585	-1.777	0.932	0.736	-0.467
"YKL080W"	-0.408	0.55	0.145	-0.002	0.606	-1.25	-1.469	-4.229	-5.94	-0.756	-1.461	-1.699	-1.299	-1.962	-2.874	-2.944	-2.866	0.172	0.3535	-1.244	-0.059	0.261	-0.184
"YKL081W"	0.59	1.515	0.155	-0.287	0.678	-2.542	-3.137	-4.49	-5.155	-3.157	-3.837	-3.37	-3.222	-3.654	-2.997	-2.811	-3.497	-0.042	0.1445	-2.502	-0.002	-0.045	0.197
"YKL122C"	0.025	0.567	0.451	0.299	0.534	-1.321	-1.025	-2.027	-4.576	-0.85	-1.249	-1.64	-1.296	-1.282	-2.178	-2.544	-2.706	-0.006	-0.149	-0.857	0.161	0.255	-0.377
"YKL210W"	-0.02	0.068	0.373	0.593	0.206	0.173	-0.426	-2.409	-4.432	-0.588	-0.982	-0.519	-0.118	-0.125	-1.627	-1.844	-2.279	-0.12	-0.323	-0.691	-0.701	-0.791	-1.086
"YKL212W"	0.077	0.473	-0.078	0.057	0.208	-1.247	-1.079	-3.014	-4.806	-1.065	-1.651	-1.64	-1.656	-1.598	-2.516	-2.929	-3.374	-0.068	-0.31	-1.089	-1.225	-1.283	-1.109
"YKR028W"	0.17	0.513	-0.874	-0.166	0.257	-0.742	-1.164	-2.477	-4.381	-1.02	-0.908	-1.519	-0.672	-0.248	-1.296	-1.963	-2.574	-0.22	0.554	-0.184	-0.267	-0.237	-1.237
"YLL033W"	-0.257	-0.064	-1.078	-0.8	0.348	-0.16	-0.128	-1.548	-3.233	-0.33	-0.446	-0.559	-0.423	0.132	-1.3	-1.109	-1.072	0.05	-0.089	0.058	0.171	0.088	-1.36
"YLL044W"	0.871	1.121	-0.381	-0.703	0.452	-2.211	-2.963	-3.79	-6.48	-3.031	-3.269	-2.156	-2.654	-2.736	-2.724	-3.494	-3.967	-0.086	0.136	-2.227	0.284	0.343	-2.443
"YLL045C"	1.063	1.394	-0.545	-0.5	0.732	-1.64	-2.221	-3.857	-6.618	-3.335	-3.185	-2.744	-2.604	-2.495	-2.943	-3.021	-3.731	0.223	-0.056	-2.165	0.158	0.219	-0.919
"YLR029C"	0.913	1.094	0.155	-0.233	0.162	-2.334	-3.108	-3.615	-6.877	-2.809	-2.78	-2.648	-2.201	-2.595	-2.242	-2.378	-2.987	-0.158	0.467	-2.49	0.784	1.015	-2.179
"YLR060W"	0.612	0.836	-0.159	-0.574	0.444	-2.499	-2.849	-4.941	-5.967	-1.988	-2.672	-2.566	-2.397	-2.667	-3.118	-3.713	-4.371	-0.212	0.076	-2.464	-0.058	-0.301	-0.895
"YLR061W"	0.312	1.1	-0.232	-0.853	0.628	-2.908	-3.127	-4.939	-6.591	-3.818	-3.021	-3.058	-2.433	-2.88	-3.309	-3.833	-3.91	0.078	0.465	-2.482	-0.116	-0.133	-1.692
"YLR065C"	0.043	0.201	-0.384	-0.417	0.505	-1.191	-1.341	-1.93	-3.028	-1.343	-1.411	-1.516	-1.07	-1.137	-1.477	-1.554	-1.642	0.002	0.091	-0.712	0.132	0.191	-0.881
"YLR083C"	0.025	0.768	-0.688	-0.688	0.458	-2.021	-2.216	-3.767	-5.137	-2.103	-0.41	-0.858	-2.031	-2.545	-2.29	-3.88	-3.36	0.145	-0.098	-2.297	-0.101	-0.063	-0.537
"YLR175W"	-0.124	1.215	-0.452	-0.66	0.159	-2.484	-3.068	-3.401	-5.468	-3.068	-3.13	-3.152	-2.762	-3.408	-3.701	-4.364	-4.96	0.21	-0.038	-2.422	0.276	0.202	-0.741
"YLR186W"	0.581	1.199	-0.431	-0.756	0.669	-2.293	-2.346	-4.298	-5.516	-2.821	-2.007	2.878	-2.069	-1.671	-1.74	-2.678	-2.467	0.05	0.161	-2.09	0.226	0.375	-0.539
"YLR335W"	0.212	-0.142	-0.154	-0.241	0.054	-1.484	-1.723	-1.306	-3.177	-1.29	-1.213	-1.345	-1.429	-1.323	-1.448	-1.681	-2.238	-0.047	0.015	-1.356	0.181	-0.009	-1.19
"YLR372W"	0.443	0.939	-0.164	-0.118	0.653	-2.818	-3.001	-2.731	-4.512	-2.683	-2.643	2.656	-2.838	-3.773	-2.844	-3.456	-3.544	-0.081	-0.066	-2.188	0.238	0.236	-1.526
"YLR432W"	0.632	0.975	-0.036	-0.404	0.474	-1.818	-2.129	-3.532	-5.65	-2.49	-3.15	-3.001	-1.997	-2.641	-1.934	-2.482	-3.034	0.228	0.104	-1.904	-0.403	-0.258	-1.128
"YLR448W"	0.661	1.062	-0.428	-1.277	0.513	-2.052	-2.688	-3.552	-5.971	-3.454	-3.179	-2.573	-2.521	-2.621	-2.668	-3.192	-4.132	0.011	0.184	-2.337	-0.043	-0.066	-1.903
"YML011C"	-0.093	0.965	-0.238	-0.259	-0.052	-0.071	-0.597	-1.252	-2.271	-0.41	-0.132	-1.0	-0.533	-0.322	-0.994	-0.817	-1.346	0.03	-0.016	-0.323	0.402	0.473	-1.064
"YML022W"	0.198	1.21	-0.411	-1.097	0.648	-1.985	-2.389	-3.146	-3.98	-2.451	-2.096	-2.796	-2.266	-2.26	-2.846	-3.092	-3.144	-0.154	-0.035	-1.833	0.129	0.247	-0.09
"YML074C"	0.042	0.291	0.821	0.452	0.133	-0.951	-2.161	-2.837	-5.319	-1.23	-1.664	-0.962	-1.207	-1.673	-2.826	-3.214	-3.466	-0.02	0.124	-1.767	-0.205	-0.106	1.294
"YML106W"	0.598	0.879	-0.73	-0.876	0.632	-0.903	-0.968	-2.297	-3.649	-1.809	-2.071	-1.349	-1.501	-1.583	-1.423	-1.467	-1.771	0.268	-0.024	-0.025	-0.489	-0.707	-1.149
"YMR033W"	NaN	0.485	0.585	-0.34	0.109	-1.434	-1.22	-3.063	-4.454	-1.054	-1.514	-1.984	-1.244	-1.469	-1.745	-1.826	-1.988	-0.266	0.071	-1.013	0.065	0.011	-0.99
"YMR091C"	-0.052	0.077	-0.073	-0.046	-0.013	-1.39	-1.603	-1.458	-4.005	-0.523	-1.052	-1.247	-0.855	-1.288	-1.396	-2.09	-2.24	0.205	0.035	-1.247	-0.118	0.03	-0.553
"YMR135C"	-0.233	-0.911	0.058	0.29	-0.591	1.278	1.394	2.425	4.053	1.437	2.04	1.747	0.733	1.325	2.843	3.141	3.078	-0.116	-0.203	0.918	0.314	0.191	-0.132
