	"53.Elutriation2:Sample2:Time2.0hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"802.Heat Shock 060 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4874.1M sorbitol - 90 min"	"6681.trr - 0.1 mM H2O2 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7760.Na 45min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"12744.heat shock 17 to 37, 20 minutes"	"15180.Ca 15min (2)"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34360.batch 02X25 4"	"34365.batch 02X25 6"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YCR072C"	1.272	0.064	-2.145	-4.048	-3.587	-1.931	-1.668	-2.626	-3.503	-2.949	0.991	1.028	0.756	0.36	-2.43	-1.537	-4.777	-2.593	-3.092	0.207	-1.4095	-0.038	-0.185	-0.408	-0.4765	0.0085	-0.682	-1.926	-1.792	0.912	1.144	0.291	-4.635	-2.988	-1.061	-0.614	-4.551	-2.816	-2.665	-2.819	-3.703	-2.838	-2.759	-2.177	-2.792	-3.033	-2.592
"YDL153C"	0.711	-0.048	-2.245	-4.549	-4.333	-1.678	-1.723	-3.047	-4.369	-3.668	1.087	1.042	1.016	-0.208	-2.992	-2.998	-3.698	-2.125	-2.307	0.069	-2.633	0.237	-0.504	-0.3785	-0.3345	-0.117	-0.495	-1.178	-2.642	0.574	0.471	-0.009	-4.079	-2.546	-1.232	-1.295	-2.5	-2.189	-1.85	-1.022	-5.47	-2.392	3.971	-0.508	-2.433	-1.795	-2.017
"YDR083W"	0.579	-0.116	-2.465	-2.781	-3.602	-1.574	-1.797	-2.743	-3.018	-3.242	0.97	1.266	0.774	0.089	-2.561	-2.515	-3.47	-2.497	-2.697	0.123	-2.436	-0.056	-0.214	-0.19	-0.3015	-0.043	-1.038	-1.663	-1.78	0.78	0.872	0.174	-3.386	-2.617	-1.367	-1.679	-3.178	-2.503	-1.496	-1.488	-2.713	-1.403	-1.037	-0.998	-1.658	-1.563	-1.836
"YDR087C"	0.692	0.224	-2.034	-3.126	-4.143	-1.477	-1.747	-2.758	-3.643	-3.468	0.873	1.227	0.989	-0.02	-2.287	-2.337	-4.139	-2.758	-2.528	0.595	-1.886	0.061	-0.0425	0.0535	-0.208	0.146	-0.239	-1.136	-1.68	0.332	0.862	0.372	-4.13	-1.728	-1.316	-1.095	-3.928	-2.942	-2.55	-2.338	-3.396	-3.436	-1.812	-1.629	-1.73	-1.961	-1.691
"YDR101C"	0.793	0.094	-3.098	-3.513	-3.404	-1.887	-1.88	-3.0	-3.74	-3.659	1.358	1.377	1.43	0.193	-2.603	-2.204	-4.306	-2.997	-3.385	0.349	-2.52	0.113	-0.4345	-0.251	-0.248	0.093	-0.856	-1.885	-2.352	0.936	1.26	0.052	-3.253	-2.703	-0.927	-0.703	-3.244	-2.428	-3.315	-2.088	-3.048	-2.294	-1.941	-2.454	-1.833	-2.501	-2.303
"YDR204W"	-0.342	0.032	2.053	2.454	2.273	1.378	1.59	1.933	2.734	2.548	-0.935	-0.633	-0.882	-0.059	1.567	1.429	3.146	1.543	1.659	-0.767	0.96	-0.17	-0.05	0.121	0.162	0.065	0.47	-0.051	1.811	-0.435	-0.524	-0.105	2.994	1.69	0.139	0.8075	2.346	1.888	2.774	2.974	2.826	1.883	1.124	1.618	1.462	1.428	1.299
"YDR361C"	0.813	-0.206	-2.014	-2.862	-3.438	-1.872	-1.896	-3.115	-3.356	-3.263	1.206	1.136	1.083	-0.17	-2.149	-2.256	-3.61	-2.237	-2.072	0.526	-2.343	0.0655	-0.138	-0.115	-0.132	0.155	0.118	-1.287	-1.767	0.743	0.786	0.767	-3.92	-1.352	-0.313	0.615	-2.614	-2.362	-3.229	-2.708	-3.998	-2.423	-1.706	-1.363	-1.0	-1.58	-1.234
"YDR398W"	0.879	0.001	-4.395	-5.035	-4.358	NaN	-1.272	-3.115	-4.082	-3.388	1.169	1.167	1.048	0.402	-2.576	-1.783	-4.143	-2.012	-3.069	0.122	-2.112	0.266	-0.401	-0.455	-0.39	-0.144	-0.321	-2.77	-2.147	0.727	0.877	-0.049	-4.269	-1.829	-0.584	-0.516	-4.76	-2.67	-1.871	-1.745	-3.061	-1.999	-2.117	-1.868	-2.064	-2.867	-1.751
"YDR465C"	0.718	-0.173	-1.599	-3.378	-4.511	-2.21	-2.252	-3.218	-3.765	-3.563	0.615	1.193	0.714	0.094	-2.535	-2.812	-4.438	-3.43	-1.835	0.331	-1.809	0.143	-0.111	-0.273	-0.186	-0.128	-0.033	-1.083	-2.458	0.711	0.713	0.227	-3.782	-2.116	-1.059	-1.3	-4.693	-2.965	-2.543	-2.313	-3.552	-2.632	-2.647	-2.713	-2.72	-2.477	-2.669
"YER126C"	0.99	0.256	-2.129	-3.132	-2.634	-1.396	-1.83	-3.488	-4.626	-4.459	0.995	1.185	0.966	-0.096	-2.571	-2.383	-4.455	-2.806	-2.355	0.705	-2.303	0.197	0.122	0.38	-0.145	0.309	-0.524	-1.302	-3.035	0.807	0.85	0.216	-5.253	-2.315	-1.3585	-1.655	-5.806	-2.916	-3.166	-2.489	-3.761	-2.961	-3.045	-3.062	-2.419	-2.383	-2.346
"YGL120C"	1.066	0.282	-2.058	-3.316	-3.231	-1.542	-1.43	-3.301	-3.954	-3.877	1.075	1.116	0.987	0.105	-2.25	-1.851	-4.557	-3.085	-3.171	0.082	-3.459	-0.116	-0.086	-0.136	-0.349	0.081	-0.398	-1.003	-1.588	0.665	0.793	0.512	-3.8	-2.406	-0.647	-0.168	-3.466	-2.416	-2.286	-2.891	-3.546	-0.554	-1.271	-2.319	-0.568	-0.806	-1.316
"YGL171W"	0.753	0.099	-3.422	-4.302	-4.243	-1.503	-2.269	-2.091	-3.818	-3.208	1.073	1.03	0.854	0.45	-3.432	-3.363	-5.822	-3.098	-2.759	0.119	-3.704	0.044	-0.204	-0.231	-0.422	-0.194	-0.975	-1.278	-3.247	0.263	0.596	-0.148	-3.658	-2.678	-1.367	-0.6755	-3.355	-2.839	-2.722	-2.646	-3.848	-2.304	-2.696	-2.775	-1.819	-2.349	-1.616
"YGR008C"	-0.978	-0.255	3.769	3.569	3.526	2.106	2.289	3.322	3.458	3.861	-2.063	-2.251	-1.107	-1.212	2.674	3.108	3.053	2.608	3.51	-0.677	2.838	0.161	0.443	0.321	0.486	0.023	1.263	2.252	2.784	-1.326	-1.738	-0.675	3.879	2.426	1.9775	1.0165	3.801	2.668	2.409	5.3	5.566	4.887	4.242	4.035	4.148	2.895	3.801
"YGR103W"	0.711	-0.006	-2.926	-4.795	-5.229	-3.278	-3.588	-4.485	-5.118	-3.624	1.487	1.243	1.223	-0.359	-3.378	-3.985	-4.825	-2.869	-2.251	0.367	-4.861	0.136	-0.503	-0.172	-0.253	-0.29	-0.452	-1.403	-3.571	0.757	0.818	0.214	-5.075	-3.733	-1.273	-1.686	-4.921	-3.6885	-3.2185	-3.1195	-4.287	-2.4	-2.101	-2.3075	-2.612	-2.781	-2.564
"YGR123C"	0.268	-0.199	-1.982	-3.5875	-3.2965	-1.9375	-1.1295	-3.0495	-4.1895	-3.748	1.116	0.996	0.986	0.036	-1.835	-1.517	-4.447	-2.958	-2.878	0.271	-2.118	0.124	-0.115	-0.181	-0.189	0.106	0.223	-1.05	-1.73	0.99	0.843	0.555	-4.594	-1.8045	-0.9185	-0.513	-2.795	-1.547	-2.966	-2.403	-3.836	-3.389	-1.757	-1.103	-1.318	-2.132	-1.701
"YGR128C"	0.534	-0.352	-2.88	-2.985	-3.042	-1.3415	-1.357	-2.4315	-3.197	-2.749	0.453	0.922	0.782	0.066	-2.282	-2.352	-3.032	-2.83	-2.816	0.357	-3.207	0.001	0.059	-0.37	-0.218	-0.15	-0.675	-1.551	-2.422	0.809	0.906	0.189	-2.534	-2.767	-0.988	-1.1965	-2.714	-1.919	-1.414	-1.071	-0.921	-0.334	-2.09	-2.299	-1.668	-2.01	-2.046
"YGR130C"	-0.174	0.033	2.223	2.532	2.5215	1.057	1.388	2.343	2.727	2.42	-0.898	-1.055	-1.108	-0.529	1.192	1.058	2.297	2.377	2.109	-0.963	1.238	-0.09	-0.212	-0.179	0.097	-0.118	0.58	1.081	1.809	-0.407	-0.469	-0.541	2.443	1.0015	0.875	0.036	2.842	2.021	2.165	2.274	2.995	1.727	2.063	1.517	1.312	0.589	2.198
"YGR160W"	1.336	-0.201	-5.206	-6.235	-5.9475	-4.248	-3.6965	-5.567	-6.207	-4.6575	1.617	1.4	1.481	-0.641	-3.134	-2.687	-4.796	-1.923	-2.892	0.379	-4.626	0.323	-0.046	-0.589	-1.034	-0.447	-1.24	-2.876	-3.857	1.044	1.097	0.49	-6.3385	-3.017	-0.0355	-1.3505	-4.64	-4.207	-4.966	-2.945	-4.708	-4.059	-4.016	-3.889	-3.562	-4.044	-3.98
"YGR187C"	0.897	0.201	-3.135	-2.837	-2.2925	-1.4205	-1.727	-1.6905	-2.126	-2.5625	0.826	0.756	0.569	0.185	-0.061	-1.91	-2.942	-1.765	-2.234	0.504	-2.27	-0.061	-0.06	0.192	-0.25	0.049	-0.829	-2.296	-1.77	0.802	0.676	0.176	-2.453	-1.795	-0.354	-0.665	-2.287	-1.638	-2.193	-2.525	-3.256	-2.5	-2.271	-1.891	-1.636	-1.625	-2.017
"YGR245C"	0.922	0.096	-2.6095	-5.097	-5.1995	-3.444	-2.66	-3.9345	-4.2355	-3.9115	1.232	1.156	1.066	0.123	-3.099	-3.022	-4.207	-3.177	-3.273	0.312	-3.164	0.071	-0.23	-0.321	-0.439	-0.334	-0.654	-1.57	-2.621	0.794	0.957	0.288	-4.6765	-2.316	-0.632	0.137	-4.281	-2.645	-2.373	-2.292	-3.415	-2.535	NaN	-1.384	-2.731	-2.457	-2.56
"YHR052W"	0.927	0.049	-3.848	-4.2445	-3.5175	-2.1725	-1.499	-3.5215	-4.3935	-3.9395	0.714	1.339	1.084	-0.243	-1.975	-1.663	-4.199	-2.516	-2.565	0.508	-3.435	-0.033	0.056	0.07	-0.158	0.121	-0.513	-1.839	-2.621	1.152	1.008	0.68	-4.9395	-2.126	-1.013	-1.36	-2.827	-1.875	-2.212	-1.892	-3.47	-2.114	-3.048	-3.44	-2.249	-1.949	-2.227
"YHR138C"	0.337	-0.261	3.098	3.445	2.5555	1.8635	1.5515	2.6055	3.239	3.2655	-2.313	-2.105	-1.282	-1.311	1.579	2.371	1.82	1.71	2.4	-0.314	2.435	-0.075	0.084	0.152	0.324	-0.006	0.331	1.886	3.181	-1.565	-1.99	-1.165	3.7435	4.045	0.144	0.321	3.561	2.757	2.666	3.498	2.652	2.302	2.229	2.668	2.628	2.836	2.293
"YHR197W"	0.598	0.107	-3.192	-3.7705	-3.414	-1.794	-1.0935	-2.9045	-3.415	-3.1475	1.102	1.045	0.968	-0.09	-2.573	-2.318	-2.813	-2.03	-2.457	0.21	-1.99	-0.141	-0.617	-0.252	-0.495	-0.117	-1.056	-1.601	-2.109	0.69	0.811	0.406	-2.7335	-2.195	-1.273	-0.804	-2.933	-2.761	-2.722	-1.648	-2.625	-2.002	-2.224	-1.145	-2.135	-1.39	-2.173
"YIL111W"	-0.137	-0.478	2.817	2.8345	2.4725	1.9355	1.592	2.5955	2.9035	2.848	-1.517	-1.536	-1.037	-0.441	1.409	1.927	3.567	1.691	1.65	-0.496	2.244	-0.521	0.604	0.54	0.752	0.132	-0.222	1.175	2.064	-0.476	-0.636	-0.328	3.6685	2.692	0.74	0.466	1.23	1.321	2.517	2.437	2.635	2.316	0.967	1.394	0.936	2.068	0.651
"YIL124W"	-0.518	0.032	2.0505	2.2175	2.189	1.106	1.573	1.694	2.2555	2.264	-0.68	-0.657	-1.004	0.016	1.792	1.661	3.361	1.042	1.347	-0.514	2.356	-0.129	0.396	0.479	0.152	0.245	0.358	0.784	0.543	0.474	0.053	0.187	2.3215	1.243	0.615	0.772	1.882	1.495	2.246	1.322	2.64	1.287	1.641	1.145	2.465	2.626	2.636
"YIR026C"	0.354	0.026	-1.3285	-3.1325	-3.9735	-2.1735	-2.7045	-2.8615	-3.1245	-3.013	0.96	1.1	0.874	-0.064	-2.178	-2.28	-4.983	-2.815	-2.112	0.326	-0.988	0.007	-0.386	-0.193	-0.299	0.24	-0.26	-0.787	-2.044	0.719	0.958	0.601	-2.938	-1.847	-1.686	-0.42	-2.844	-2.131	-2.196	-1.822	-2.578	-1.739	-1.433	-1.299	-1.51	-2.481	-1.388
"YIR038C"	-0.023	-0.384	2.3635	2.9845	2.406	2.5725	2.07	2.3685	2.499	2.734	-1.298	-1.364	-0.909	0.364	1.915	2.489	2.688	1.473	2.004	-0.253	2.776	0.148	0.288	-0.115	-0.092	0.115	0.082	1.216	1.496	-0.672	-0.742	-0.473	2.6325	3.303	0.0	0.759	1.822	2.16	2.892	2.945	4.229	3.133	2.472	2.331	2.282	2.855	1.961
"YJL021C"	-0.011	0.499	1.7565	2.1165	2.038	1.4395	1.302	1.836	2.1925	2.018	-1.076	-0.941	-1.06	-0.188	1.259	1.442	2.381	1.207	1.032	-0.42	0.992	0.172	-0.063	-0.173	-0.033	-0.025	0.565	0.917	1.246	-0.264	-0.616	-0.157	2.195	-0.443	1.373	0.03	1.818	1.527	1.964	2.034	1.897	1.887	1.181	1.011	1.463	1.49	1.658
"YJL109C"	0.3735	-0.2495	-2.08766666666667	-2.39833333333333	-2.722	-1.614	-2.134	-2.64066666666667	-3.525	-3.447	0.335	0.3375	0.333	0.1965	-2.0655	-1.971	-2.165	-0.8495	-1.698	0.185	-3.828	-0.242	-0.4205	-0.585	-0.3015	-0.2445	0.1015	-1.751	-1.2615	0.2745	0.2975	-0.104	-3.01866666666667	-1.013	-0.3625	-0.6975	-2.8695	-2.029	-2.124	-1.649	-2.9815	-1.5145	-1.59	-1.521	-1.599	-1.536	-1.998
"YJL161W"	-0.569	-0.224	3.198	3.34	3.0215	1.284	1.9675	2.924	2.9465	2.6305	-2.0	-1.791	-1.885	-0.708	2.506	2.738	4.563	2.695	2.121	-0.281	3.842	0.004	0.32	0.312	0.412	0.292	0.326	3.228	2.317	1.807	-1.3	-1.126	3.716	2.959	1.453	0.539	3.191	2.158	1.714	3.856	4.871	3.407	3.507	3.2	2.378	3.202	2.271
"YJR041C"	0.145	-0.299	-3.138	-3.1145	-2.365	-1.486	-1.5575	-1.6395	-2.2375	-2.9255	1.119	0.549	0.773	0.152	-2.186	-1.824	-3.864	-1.797	-1.873	0.336	-2.769	0.195	-0.218	0.021	-0.019	-0.016	-0.605	-1.56	-1.754	0.663	0.656	0.115	-2.673	-1.419	-0.598	-0.484	-2.796	-2.274	-3.021	-0.243	-3.443	-2.965	-2.248	-1.358	-1.418	-2.109	-1.513
"YJR070C"	0.844	-0.105	-3.0685	-4.6905	-4.824	-1.8185	-2.426	-3.895	-4.828	-4.332	1.246	1.272	1.129	0.573	-2.536	-2.577	-5.317	-3.689	-3.471	0.181	-2.102	0.112	0.312	0.045	-0.137	-0.189	-0.143	-1.611	-2.306	0.994	0.919	0.749	-4.7655	-2.971	-1.82	-0.895	-3.81	-2.429	-4.096	-3.069	-3.754	-3.104	-2.357	-2.472	-1.64	-2.535	-2.011
"YJR096W"	-0.941	-0.797	2.743	3.153	3.311	1.34	2.992	3.07	3.2195	3.4165	-1.251	-1.357	-0.981	-0.136	2.648	2.827	5.037	2.856	2.524	-0.792	3.887	-0.184	-0.155	-0.207	-0.246	0.109	1.386	3.388	1.931	-0.481	-0.758	-0.496	3.707	2.535	1.035	1.013	2.099	1.271	2.093	4.119	3.463	3.161	2.387	2.989	2.925	4.063	3.516
"YKL065C"	-0.272	0.405	1.437	1.8295	1.748	0.9805	0.779	1.8165	2.421	2.16	-0.386	-0.615	-0.642	-0.565	1.55	1.602	2.829	1.507	1.777	0.236	2.29	0.1	0.239	0.23	0.151	0.205	0.348	1.286	1.815	-0.555	-0.694	-0.557	2.257	2.928	-0.341	-0.549	2.334	1.825	1.738	1.61	1.89	1.541	1.921	2.152	1.763	2.767	1.678
"YKL067W"	0.083	0.386	1.508	1.766	1.662	0.9475	0.5035	1.4685	2.207	1.954	-0.26	-0.488	-0.496	0.083	1.289	1.148	2.333	0.919	1.617	-0.103	2.54	0.481	0.051	0.386	0.317	0.262	0.234	1.493	1.221	-0.067	-0.113	-0.107	2.22	1.646	1.297	0.481	1.618	0.898	2.252	1.834	3.108	2.735	1.691	0.795	1.975	2.862	2.029
"YKL091C"	-0.572	0.07	3.351	4.009	3.851	2.35	2.444	2.683	3.567	3.623	NaN	-1.63	-2.032	-1.09	2.351	2.383	5.27	2.75	3.432	-0.836	3.642	-0.192	0.219	0.223	0.234	0.222	0.84	2.512	3.059	-0.46	-0.215	0.142	3.699	2.836	1.385	0.745	3.205	2.553	2.597	3.707	4.146	3.248	3.46	3.336	3.315	3.781	3.186
"YKL099C"	0.381	-0.042	-2.757	-4.464	-3.88	-1.863	-1.339	-2.796	-3.564	-3.037	1.062	0.949	0.807	0.276	-2.672	-2.33	-4.145	-2.489	-2.585	0.349	-3.26	0.088	0.045	0.064	-0.331	-0.043	-0.563	-1.41	-2.597	0.697	0.971	0.364	-3.926	-2.457	-1.419	1.816	NaN	-2.909	-2.722	-1.88	-3.486	-1.59	-1.472	-1.295	-1.993	-2.753	-2.401
"YKL142W"	-0.636	0.019	2.597	2.225	2.56	0.941	1.773	1.871	2.261	2.353	-1.025	-1.301	-1.121	-0.853	2.219	2.01	3.233	1.764	2.258	-0.268	2.728	-0.179	0.323	0.409	0.595	-0.06	0.465	2.139	3.086	-0.981	-1.086	-0.678	2.572	2.507	0.414	0.356	2.578	2.178	4.128	2.839	2.695	1.44	2.341	2.529	2.231	2.921	2.627
"YKL143W"	0.533	-0.387	-3.105	-4.877	-4.765	-2.227	-2.042	-3.755	-3.979	-3.248	0.94	0.262	1.044	-0.041	0.05	0.376	-4.748	-4.588	-2.756	0.093	-2.734	0.1	-0.426	-0.071	-0.374	-0.156	-0.686	-1.297	-2.976	0.234	0.609	0.369	-4.275	-4.061	-0.777	0.835	-4.409	-3.625	-2.624	-2.618	-3.914	-2.07	-0.754	-1.078	-2.409	-2.162	-2.402
"YKL150W"	0.422	0.379	2.809	2.913	3.05	1.553	2.057	2.55	3.068	2.915	-1.028	-1.13	-1.03	-0.531	2.049	1.842	3.989	1.556	1.457	-0.691	4.228	-0.008	-0.076	-0.029	-0.064	0.529	0.399	2.33	2.546	-0.807	-0.929	-0.803	2.857	2.161	0.802	0.937	2.259	1.645	2.22	2.7	4.12	3.616	1.924	1.351	2.817	3.411	3.112
"YKR081C"	0.767	0.454	-4.01	-4.459	-3.308	-1.663	-1.493	-1.58	-3.81	-3.431	1.33	1.422	0.912	-0.065	-2.342	-0.41	-4.081	-2.467	-3.278	0.361	-3.734	-0.04	0.162	-0.195	-0.313	0.009	-0.403	-1.931	-2.808	0.944	0.807	0.283	-3.505	-2.641	-0.922	-1.139	-2.666	-1.731	-2.514	-3.386	-3.261	-2.433	-2.388	-2.38	-2.161	-2.332	-1.814
