	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1254.mec1_plus_gamma_60_min"	"1255.mec1_plus_gamma_90_min"	"1257.mec1_plus_gamma_120_min"	"2064.Hypo-osmotic shock - 5 min"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"8234.dtt 240 min"	"12736.Nitrogen Depletion 1 d"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YDR361C"	-3.438	-3.115	-3.356	-3.263	-3.61	-2.016	-1.951	-1.945	-3.634	-0.597	-0.216	-2.072	-1.799	-1.299	-2.343	-1.435	-1.087	-1.208	-1.477	-2.005	-1.44	0.306	0.266	-0.064	-0.317	-0.971	-0.112	0.087	-1.541	0.286	-0.547	-0.238	0.312	-3.92	-0.597	-0.313	-2.614	-2.708	-2.048	-3.998	-2.423	-1.244	-0.974	-1.363	-0.608	-0.879
"YDR417C"	-2.075	-1.608	-2.715	-3.361	-3.705	-2.778	-2.992	-4.279	-5.062	-0.995	0.139	-3.58	-3.209	-2.864	-4.223	-2.458	-2.573	-2.986	-2.861	-3.022	-3.606	-0.112	-0.142	-0.064	0.206	-1.201	-0.312	-0.448	-1.587	-2.345	-1.992	-2.598	-1.373	-2.642	-0.867	-1.939	-1.745	-3.553	-2.61	-3.585	-3.332	-2.404	-2.406	-3.526	-2.531	-2.152
"YDR418W"	-1.94	-1.617	-2.789	-3.411	-3.707	-3.13	-2.7	-3.074	-5.866	-1.059	0.368	-3.315	-3.181	-2.797	-4.449	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	0.303	0.175	0.152	0.106	-1.471	-0.226	-0.285	-1.721	-2.006	-2.015	-2.823	-1.472	-2.74	-0.151	-1.719	-2.105	-4.005	-2.423	-3.263	-3.057	-3.381	-2.521	-3.519	-2.546	-2.502
"YDR450W"	-1.979	-1.959	-2.844	-3.077	-3.254	-2.797	-2.204	-2.6	NaN	-1.072	-0.287	-3.208	-3.201	-2.618	-4.313	-2.118	-2.576	-2.784	-2.988	-2.959	-3.465	0.48	0.518	0.474	0.454	-0.935	0.248	0.258	-1.75	-1.103	-0.894	-1.939	-0.671	-3.008	-0.401	-1.3955	-1.894	-3.787	-3.762	-3.594	-3.453	-2.575	-2.232	-2.605	-2.23	-1.515
"YEL054C"	-2.095	-2.314	-1.907	-3.528	-3.654	-2.711	-2.761	-2.98	-7.056	-0.985	0.006	-3.039	-3.52	-3.003	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	0.505	0.234	0.209	0.664	-1.198	0.258	0.003	-1.691	-1.977	-2.279	-2.067	-1.351	-3.251	-0.04	-1.7545	-2.101	-4.422	-2.487	-3.815	-2.936	-2.75	-2.748	-3.7	-2.85	-2.724
"YER102W"	-2.227	-1.876	-2.922	-3.415	-3.932	-3.965	-3.177	-3.64	-6.434	-1.581	-0.294	-3.101	-3.625	-3.37	-4.286	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	0.147	0.05	0.109	0.183	-1.695	-0.298	-0.353	-2.128	-1.446	-1.178	-1.897	-1.135	-2.712	-0.153	-1.801	-2.448	-3.324	-2.758	-2.385	-2.329	-2.527	-2.787	-4.388	-2.774	-1.62
"YGL076C"	-2.09	-1.99	-2.744	-3.119	-3.969	-3.136	-2.73	-3.976	-5.667	-1.338	-0.467	-3.32	-2.996	-2.857	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	0.167	0.108	-0.03	0.36	-1.701	0.077	-0.078	-2.239	-1.523	-1.62	-2.099	-1.041	-2.656	-0.516	-1.68166666666667	-2.625	-4.003	-3.509	-3.347	-3.315	-2.894	-3.165	-2.783	-2.886	-1.82
"YGL078C"	-3.709	-3.238	-4.399	-3.428	-4.866	-2.556	-1.916	-2.215	-4.455	-0.23	-0.081	-2.914	-2.134	-2.156	-4.196	-1.897	-1.879	-1.744	-2.103	-1.515	-2.198	0.142	-0.087	-0.224	0.158	-1.266	0.252	0.32	-1.775	-1.737	-2.341	-2.548	-0.313	-4.147	-0.18	-1.377	-3.538	-3.53	-2.245	-3.576	-1.995	-0.948	-2.365	-2.616	-1.811	-3.525
"YGR177C"	-2.468	-1.5645	-2.041	-2.643	-3.164	-1.403	0.007	-0.527	-3.624	-1.59	-1.003	-1.41	-2.84	-1.11	-0.629	-0.288	-0.334	-0.876	-0.252	-1.43	-0.861	0.488	0.222	-0.072	0.065	-0.233	0.675	0.079	-0.136	-0.636	-0.723	-0.764	-0.414	-3.5855	-0.442	-0.7005	-1.34	-2.008	-2.018	-2.014	-2.078	-1.351	-0.896	-0.421	-1.067	0.332
"YHL033C"	-2.059	-1.953	-3.0445	-3.793	-3.758	-2.864	-2.635	-3.984	-6.65	-1.028	0.29	-3.056	-3.153	-3.005	-4.25	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	0.063	0.09	0.345	0.224	-1.873	-0.271	-0.255	-1.747	-1.111	-1.169	-2.267	-0.807	-3.1585	0.151	-1.437	-1.58	-1.38	-1.757	-0.001	-1.385	-1.18	-1.16	-2.033	-1.49	-2.101
"YHR196W"	-3.5265	-2.834	-3.894	-3.3595	-3.061	-2.692	-2.23	-2.447	0.884	-0.076	0.107	-2.461	-2.348	-1.856	-3.843	-2.204	-2.19	-1.992	-2.264	-2.831	-2.681	0.193	0.053	0.016	0.186	-0.403	0.437	0.521	-1.346	-1.288	-2.265	-1.972	0.443	-3.967	-0.889	-0.531	-2.272	-1.605	-2.037	-2.306	-2.006	-1.717	-1.014	-0.734	-0.133	-2.052
"YHR197W"	-3.414	-2.9045	-3.415	-3.1475	-2.813	-2.52	-2.262	-2.76	-2.808	-0.557	-0.055	-2.457	-2.259	-1.542	-1.99	-1.778	-1.716	-1.524	-1.737	-2.343	-2.822	-0.01	-0.202	-0.246	-0.099	-0.212	0.15	0.046	-1.505	-1.358	-2.478	-2.258	-1.089	-2.7335	-0.059	-1.273	-2.933	-1.648	-2.215	-2.625	-2.002	-1.138	-0.909	-1.145	-1.621	-1.919
"YIL019W"	-3.631	-3.3725	-2.9215	-2.461	-2.459	-1.454	-1.151	-0.601	-3.212	-0.712	0.447	-1.613	-1.932	-0.687	-0.782	-0.557	-0.885	-0.654	-0.538	-0.95	-0.415	0.453	0.436	0.276	-0.213	-0.132	0.433	0.565	-1.496	-0.076	-0.26	-0.515	0.473	-3.595	-0.187	-2.03	-4.534	-2.377	-1.805	-4.006	-1.708	-0.893	-0.211	-0.809	-0.523	-1.272
"YKL024C"	-1.839	-1.0715	-1.356	-1.345	-2.211	-1.535	-1.404	-2.025	-5.4	-0.807	0.045	-1.547	-1.696	-1.45	1.064	0.234	-0.007	0.133	-0.542	-1.239	-1.798	-0.186	-0.233	0.417	0.194	-0.381	-0.063	0.018	-0.292	0.619	-0.306	0.019	0.029	-1.1135	0.256	-0.602	-1.603	-1.628	-1.143	-1.568	-2.021	-1.352	-0.578	-0.359	0.243	-0.523
"YKR056W"	-3.872	-2.945	-3.217	-3.127	-4.495	-2.575	-2.343	-3.298	-4.34	-0.708	0.126	-2.379	-1.808	-1.061	-1.986	-1.639	-1.597	-1.637	-2.627	-3.787	-3.544	0.053	-0.154	-0.254	0.123	-0.142	0.237	0.618	-0.763	0.081	-2.381	-1.627	-0.256	-3.682	0.382	-0.834	-2.586	-1.199	-1.647	-3.056	-2.089	-1.306	-0.734	-0.876	-0.758	-0.569
"YLL045C"	-2.105	-2.319	-3.116	-3.722	-3.851	-3.176	-2.506	-3.857	-6.618	-0.863	-0.056	-3.169	-3.335	-3.185	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.049	0.079	0.362	0.283	-1.724	-0.098	-0.117	-1.957	-0.995	-1.497	-2.279	-0.703	-3.545	-0.008	-1.72	-2.751	-3.449	-2.833	-3.788	-3.87	-2.362	-2.703	-2.778	-2.191	-2.324
"YLR062C"	-2.343	-2.335	-3.557	-4.079	-4.53	-4.418	-3.352	-5.705	-6.896	-1.355	-0.448	-3.6	-3.985	-3.965	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	0.212	0.217	0.419	0.306	-2.019	-0.096	-0.054	-2.245	-1.934	-1.833	-2.11	-1.167	-3.134	-0.235	-1.742	-2.944	-3.806	-3.723	-4.54	-4.001	-3.419	-2.779	-3.141	-2.876	-2.202
"YLR185W"	-1.728	-1.439	-2.305	-2.948	-4.508	-3.498	-3.001	-2.578	-5.928	-1.23	0.051	-2.94	-2.559	-2.616	-4.019	-2.046	-2.136	-2.209	-2.015	-2.479	-3.065	0.054	-0.297	-0.055	0.292	-1.649	-0.186	-0.173	-2.242	-1.248	-1.422	-2.22	-0.968	-2.487	-0.403	-1.679	-2.373	-3.712	-3.007	-3.488	-3.242	-3.35	-2.749	-3.237	-3.05	-1.79
"YLR196W"	-5.04	-3.221	-4.896	-4.532	-5.083	-3.01	-3.156	-4.437	-5.836	-0.772	0.058	-2.858	-2.859	-1.799	-4.378	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	0.137	-0.067	-0.225	0.039	-0.433	0.126	0.437	-1.12	-2.058	-3.524	-2.593	-0.476	-5.097	0.022	-1.113	-3.697	-2.901	-2.83	-3.658	-2.412	-2.265	-1.815	-2.053	-1.078	-2.302
"YLR197W"	-4.044	-3.638	-4.76	-5.179	-5.817	-3.612	-3.173	-4.736	-5.242	-1.088	0.259	-3.899	-3.238	-3.258	-5.671	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	0.05	-0.134	-0.282	-0.157	-1.689	-0.52	-0.335	-1.869	-3.145	-3.026	-2.075	-0.576	-5.072	-0.173	-0.933	-4.496	-4.983	-3.17	-4.545	-3.045	-2.321	-2.826	-3.736	-2.197	-3.498
"YLR249W"	-3.122	-3.317	-4.232	-4.758	-6.529	-4.864	-4.043	-4.146	-6.742	-0.973	-0.432	-3.879	-4.141	-3.557	-4.679	-2.712	-3.131	-3.778	-3.883	-4.549	-4.992	-0.111	-0.31	-0.265	0.23	-1.346	-0.462	-1.167	-1.42	-2.606	-2.719	-2.995	-1.472	-4.59	-0.327	-2.422	-3.998	-5.053	-5.102	-5.085	-4.9	-3.19	-3.484	-4.673	-2.956	-3.591
"YLR388W"	-2.382	-1.861	-2.879	-3.074	-3.12	-2.544	-2.264	-3.596	-5.506	-1.483	0.116	-3.204	-3.058	-2.742	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.279	0.406	0.339	0.306	-1.467	-0.116	-0.09	-1.953	-1.597	-1.62	-2.448	-1.196	-2.761	-0.245	-1.34	-2.178	-3.674	-2.798	-3.762	-3.521	-2.864	-2.347	-3.334	-2.537	-1.723
"YLR405W"	-1.393	-0.775	-1.312	-1.233	-2.588	-2.104	-1.852	-2.056	-2.37	-0.487	0.172	-1.531	-1.301	-0.494	-0.828	-0.978	-0.979	-1.026	-0.655	-0.978	-1.03	-0.188	-0.396	-0.133	-0.093	-0.736	-0.07	-0.021	-0.356	0.218	-0.73	-0.572	-0.272	-1.618	-0.222	0.223	-1.555	-1.952	-1.655	-2.684	-1.784	-1.0	-0.662	-0.763	-0.641	-0.343
"YLR406C"	-2.32	-0.585	-0.9455	-0.585	-0.4455	-0.8555	-1.467	-1.0635	-1.307	-0.6055	0.0675	-0.9945	-0.437	0.1315	-1.7055	-1.93	-1.962	-1.4635	-0.429	0.0435	-0.095	0.2985	-0.3125	0.0805	0.4875	-0.0255	0.877	0.737	0.228	-0.6245	-0.995	-0.582	-0.441	-0.3895	-0.00499999999999999	-0.14	-1.448	-2.629	-1.9475	-2.5485	-2.0215	-1.5185	-1.4455	-1.7085	-1.499	-1.4155
"YLR409C"	-3.176	-2.574	-3.696	-3.852	-4.402	-2.709	-2.6	-3.204	-4.211	-0.618	-0.14	-2.308	-2.578	-1.928	-2.708	-1.92	-2.024	-2.286	-2.713	-3.315	-3.47	0.12	-0.394	-0.602	-0.008	-0.317	0.442	0.204	-1.55	-1.49	-2.351	-1.934	-0.819	-4.473	0.578	-1.47	-2.812	-2.143	-1.648	-3.231	-1.992	-1.981	-1.489	-2.36	-1.595	-2.63
"YLR448W"	-2.009	-1.814	-2.821	-3.482	-4.815	-3.882	-3.116	-3.552	-5.971	-0.947	-0.457	-3.425	-3.454	-3.179	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	0.305	0.072	0.256	0.339	-1.664	-0.074	-0.19	-2.034	-1.783	-1.514	-2.649	-1.519	-2.983	-0.052	-0.347	-2.6	-4.85	-3.788	-4.791	-4.505	-3.636	-2.75	-3.657	-2.638	-2.261
"YML060W"	-2.823	-1.322	-1.662	-1.678	-4.954	-1.41	-1.29	-2.749	NaN	-0.365	-0.157	-2.14	-2.315	-1.141	-1.611	-1.492	-1.266	-1.684	-2.139	-1.774	-1.343	-0.009	0.442	0.173	-0.488	-0.52	0.362	0.328	-0.403	-0.965	-0.547	-0.239	-0.033	-1.262	0.614	-0.233	-5.598	-1.79	-1.469	-3.496	-1.882	-2.366	-0.912	-0.81	-0.84	-0.767
"YML063W"	-1.871	-2.086	-3.191	-3.74	-4.408	-3.73	-3.027	-4.048	-13.273	-1.224	-0.155	-3.657	-3.146	-3.415	-5.57	-2.159	-2.658	-2.875	-3.123	-3.364	-4.059	0.558	0.524	0.293	0.335	-1.581	-0.165	-0.098	-2.152	-1.085	-0.544	-1.595	-0.665	-3.158	0.108	-1.762	-2.792	-4.819	-3.531	-4.008	-3.578	-3.392	-2.477	-3.41	-2.743	-2.072
"YML125C"	-1.302	-0.918	-0.984	-1.485	-2.776	-2.154	-1.959	-1.916	-4.288	-0.67	-0.409	-2.537	-2.487	-1.924	-0.664	-0.52	-0.947	-0.341	-0.146	-1.132	-1.254	0.237	0.266	0.256	0.186	1.099	0.326	0.127	-0.565	0.053	-0.206	-0.258	-0.155	-1.919	-0.155	0.499	-1.135	-0.892	-2.66	-2.716	-2.223	-1.209	-0.782	-1.059	-0.373	-0.628
"YMR242C"	-2.539	-1.639	-3.309	-3.708	-4.702	-3.631	-3.819	-3.971	-6.226	-1.253	-0.291	-3.832	-4.338	-3.636	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.265	0.006	0.134	0.172	-1.705	-0.295	-0.482	-2.26	-1.647	-1.243	-2.255	-0.992	-3.054	-0.47	-1.61	-2.43	-4.158	-3.141	-4.607	-3.588	-3.856	-2.832	-3.582	-2.724	-3.098
"YNL069C"	-1.976	-1.954	-2.865	-3.347	-3.663	-3.006	-2.506	-4.006	-4.824	-1.387	-0.302	-3.44	-3.85	-3.199	-4.269	-1.921	-2.199	-2.466	-2.107	-2.509	-3.665	0.199	0.255	0.324	0.173	-1.709	-0.141	-0.334	-1.844	-2.196	-1.722	-2.448	-1.398	-2.91	-0.371	-2.063	-2.543	-3.601	-3.131	-3.741	-3.469	-3.775	-2.418	-3.76	-2.99	-3.632
"YNL174W"	-4.699	-4.233	-5.579	-4.714	-5.141	-3.51	-3.428	-4.079	-4.409	-0.96	0.155	-2.319	-2.439	-1.875	-4.372	-2.731	-2.682	-2.061	-3.046	-3.229	-3.118	0.275	0.221	0.242	-0.008	-1.233	-0.351	-0.047	-2.295	-1.458	-2.692	-2.356	-0.419	-5.426	-0.386	0.053	-3.76	-1.035	-2.624	-3.816	-2.839	-2.153	-1.135	-1.035	-0.996	-1.731
"YNL182C"	-4.05	-2.807	-4.805	-3.807	-4.184	-3.243	-3.17	-5.862	-2.532	-1.04	-0.279	-2.667	-2.624	-1.625	-3.931	-2.613	-2.5	-2.685	-3.434	-3.351	-2.827	-0.034	-0.195	-0.518	-0.096	-0.455	0.074	0.411	-1.55	-1.119	-2.823	-2.261	-0.716	-4.61	-0.189	-0.642	-3.082	-2.481	-2.614	-3.607	-2.547	-2.442	-1.335	-1.754	-1.405	-2.347
"YNL186W"	-2.0	-1.115	-1.893	-1.963	-2.195	-1.038	-1.117	-0.874	-2.658	0.034	0.176	-1.882	-1.042	-0.54	-1.164	-0.724	-0.105	-0.273	-0.333	-0.574	-0.574	-0.177	-0.466	-0.423	0.069	-0.278	0.283	0.54	-0.713	0.478	-1.147	-1.153	-0.268	-1.972	0.313	-0.194	-1.645	-0.694	-0.411	-1.954	-0.879	0.095	-0.507	-0.171	-0.055	-0.056
"YOR101W"	-2.147	-1.543	-2.469	-2.494	-2.223	-2.598	-2.4025	-1.946	-0.3155	-0.429	1.269	-3.003	-0.169	0.818	-1.616	-2.142	-1.518	-2.201	-2.301	-2.47	-2.748	-0.206	-0.745	-0.561	-0.326	-0.617	-0.271	-0.195	-1.1465	0.284	-0.904	-1.023	-0.6	-2.311	-0.426	0.914	-1.907	-2.087	-2.759	-2.121	-2.433	-1.946	-0.001	-1.106	-0.886	-1.223
"YOR116C"	-1.045	-1.252	-0.9245	-1.2105	-1.662	-1.69566666666667	-0.616333333333333	-0.479	-2.715	-0.823333333333333	-0.058	-1.415	-1.70433333333333	-0.7025	-1.0045	-0.9695	-0.8885	-0.6205	-0.4325	-0.7215	-0.598	0.589	0.038	-0.3965	0.2545	0.1565	0.554	-0.258	-0.592666666666667	-0.7415	-1.1535	-0.8405	-0.739	-1.179	-0.206	-0.9155	-1.985	-1.0165	-1.3775	-1.741	-0.6935	-0.467	-0.838	-0.5915	-0.2175	-0.991
"YOR246C"	-0.961	-1.405	-1.125	-1.098	-0.9595	-1.1395	-0.395	-0.663	-2.885	-0.5545	-0.109	-1.517	-1.72	-0.026	-0.302	-0.338	-0.157	-0.066	0.658	0.299	0.12	-0.012	-0.121	0.263	-0.088	-0.32	0.195	-0.074	-0.079	-0.094	-0.29	-0.355	0.217	-1.667	-0.125	-0.97	-1.786	-1.68	-1.466	-2.332	-1.618	-0.836	-0.465	-0.534	-0.455	0.126
"YOR309C"	-4.328	-3.697	-5.523	-5.514	-6.798	-4.4185	-4.0545	-4.234	-6.859	-0.975	-0.2935	-3.709	-3.9105	-3.8235	-5.839	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	0.263	-0.256	-0.178	0.15	-1.787	-0.331	-0.254	-1.968	-2.983	-2.838	-2.504	-0.735	-4.939	-0.529	-1.961	-2.102	-2.543	-3.28	-4.097	-3.518	-3.672	-1.191	-3.28	-2.75	-2.359
"YOR310C"	-4.365	-3.309	-4.639	-3.004	-6.006	-3.92	-3.4655	-4.7765	-7.1385	-1.0005	-0.109	-3.766	-3.585	-3.5415	-5.777	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	0.372	0.162	-0.081	0.245	-1.503	0.307	0.094	-1.8115	-2.757	-3.457	-2.411	-0.33	-4.948	-0.23	-1.735	-4.326	-4.564	-4.629	-5.14	-4.292	-2.073	-2.54	-3.229	-2.493	-3.364
"YOR355W"	-0.56	-0.3815	-1.263	-1.4165	-1.40666666666667	-1.64266666666667	-1.10733333333333	-0.555333333333333	-3.8705	0.0493333333333333	-0.139	-0.735666666666667	-0.364	-0.151666666666667	-2.309	-0.6745	-0.377	-0.345	-0.1795	-0.4295	-0.7625	0.3615	-0.3995	-0.368	-0.0215	-0.493	0.5235	0.278	-0.0836666666666667	0.69	-0.7355	-0.692	-0.2005	-0.456	-0.246	-1.124	-0.991	-1.791	-1.596	-2.401	-2.01	-2.122	-1.348	-1.592	-1.024	-2.185
