	"115.heat shock 20 min repeat"	"298.Tunicamycin vs. Ctrl"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"979.wt_plus_gamma_30_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1253.mec1_plus_gamma_45_min"	"4779.DBY7286 + 0.1 mM H2O2 - 30 min"	"4782.DBYtrr1 vs. wild type DBY7286"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7530.DBY msn2msn4 37C - 20 min"	"8217.steady state 17 dec C"	"8234.dtt 240 min"	"8235.dtt 480 min"	"12744.heat shock 17 to 37, 20 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YER121W"	1.195	-0.639	0.678	1.322	1.231	0.768	0.254	0.725	2.979	2.205	0.829	0.136	0.594	0.17	0.427	0.868	-0.187	1.0	-0.18	-0.199	0.415	-0.303	1.083	2.013	2.386	0.842	2.378	1.701	1.484
"YER131W"	-1.733	-0.806	-2.354	-3.171	-3.29	-1.403	-2.511	-1.797	-2.813	-6.55	-0.511	0.333	-4.139	0.265	0.421	0.323	0.487	-1.863	-0.577	0.565	-2.392	0.106	-3.097	-3.884	-3.237	-2.657	-3.578	-4.068	-2.732
"YFR015C"	3.32	0.532	2.259	2.826	2.931	1.297	-0.003	-0.485	3.886	1.491	-0.215	-0.195	1.965	-0.746	0.571	0.083	0.111	1.124	-0.308	-0.208	1.229	-0.204	3.341	3.685	2.791	2.652	5.6	4.23	3.221
"YGL031C"	-2.424	-1.065	-1.886	-3.443	-3.97	-1.871	-3.232	-2.776	-3.366	-5.763	-0.681	-0.042	-5.191	-0.202	0.132	0.176	0.114	-2.077	-0.647	0.55	-2.732	-0.286	-3.282	-3.814	-2.458	-2.321	-2.773	-2.852	-1.578
"YGL078C"	-3.709	-0.654	-3.238	-4.399	-3.428	-1.172	-2.236	-1.661	-4.866	-4.455	-0.272	-0.552	-4.196	0.24	-0.231	-0.195	0.117	-1.172	-0.563	0.176	-1.775	0.12	-4.147	-3.53	-2.245	-1.151	-3.576	-1.995	-1.225
"YGL102C"	-1.538	-1.044	-1.384	-2.074	-2.584	-0.91	-2.115	-1.28	-3.419	-5.65	-1.045	-0.077	-3.32	0.037	0.1	-0.015	0.231	-1.704	-0.669	0.625	-1.881	0.33	-2.437	-3.42	-2.202	-1.7	-3.272	-2.955	-2.203
"YGL103W"	-1.794	-1.238	-1.348	-2.193	-2.762	-0.903	-1.799	-0.924	-3.452	-5.266	-0.8	-0.284	-3.07	-0.324	-0.006	-0.403	0.039	-1.47	-0.484	0.512	-2.136	0.221	-2.243	-2.976	-2.146	-1.398	-3.189	-2.934	-2.202
"YGL123W"	-2.557	-1.215	-2.339	-3.47	-4.378	-1.622	-2.649	-1.867	-3.781	-5.982	-0.955	-0.148	-3.511	-0.449	0.007	-0.259	0.027	-2.265	-0.991	0.436	-1.983	0.249	-3.308	-4.217	-3.27	-2.813	-4.123	-3.488	-2.693
"YGR085C"	-1.952	0.801	-2.023	-2.966	-3.664	-1.501	-2.388	-1.715	-3.713	-6.059	-0.661	-0.132	-4.359	0.32	-0.188	-0.114	0.278	-1.815	-0.44	0.369	-1.876	0.048	-2.908	-4.004	-2.792	-2.272	-3.45	-3.003	-2.048
"YGR148C"	-2.184	-1.079	-1.777	-2.942	-3.2425	-1.796	-3.095	-2.716	-3.45	-5.757	-0.673	-0.094	-5.063	-0.325	0.088	0.169	0.022	-2.072	-0.48	0.395	-2.548	-0.332	-2.591	-3.53	-2.779	-2.133	-3.103	-2.693	-1.897
"YHR052W"	-3.5175	-0.498	-3.5215	-4.3935	-3.9395	-0.895	-2.069	-1.327	-4.199	-4.447	-0.412	-0.242	-3.435	0.548	0.267	-0.344	0.119	-1.0745	-0.463	0.386	-1.408	-0.055	-4.9395	-1.892	-3.411	-1.666	-3.47	-2.114	-2.463
"YHR065C"	-2.4595	-0.329	-1.6845	-3.2925	-3.089	-0.6505	-1.367	-0.804	-4.558	-4.644	0.089	-0.064	-2.379	0.091	0.169	-0.25	0.252	-0.6	0.332	-0.26	-1.509	-0.081	-3.37	-0.941	-1.67	-0.571	-3.429	-1.607	-1.054
"YHR066W"	-3.0515	-0.577	-2.9815	-3.762	-3.552	-0.87	-1.966	-1.468	-4.885	-5.203	-0.007	-0.211	-2.742	0.264	0.214	-0.091	0.466	-0.9025	-0.254	0.006	-1.507	0.209	-4.347	-1.623	-1.898	-0.729	-2.382	-1.908	-1.368
"YHR148W"	-2.0375	-0.488	-2.8705	-3.2345	-2.692	-0.581	-1.706	-0.865	-3.086	-3.377	-0.06	-0.005	-1.58	0.487	0.482	0.343	-0.024	-0.7345	-0.424	0.121	-0.925	-0.083	-3.95	-1.681	-1.749	-1.989	-2.893	-1.982	-1.373
"YHR202W"	1.2705	0.394	1.052	1.201	0.955	0.451	0.391	0.318	1.967	0.167	0.151	0.062	1.476	-0.256	-0.526	-0.236	0.016	0.4935	0.07	-0.078	0.709	0.119	1.561	0.945	1.404	0.622	1.221	1.421	0.609
"YHR203C"	-2.0645	-1.049	-1.915	-2.8785	-3.5975	-1.815	-2.585	-1.621	-3.926	-5.944	-0.981	-0.303	-4.669	-0.329	-0.079	-0.459	0.264	-1.9665	-0.787	0.483	-1.982	0.206	-2.809	-4.467	-3.308	-2.46	-3.717	-3.449	-2.785
"YIL052C"	-2.1565	-1.203	-1.989	-2.7275	-2.972	-1.4375	-2.49	-2.029	-3.856	-6.278	-0.819	-0.261	-4.174	-0.274	0.131	0.107	0.24	-1.7635	-0.664	0.194	-2.17	-0.206	-2.531	-3.32	-2.562	-2.217	-2.821	-2.677	-1.94
"YIL091C"	-0.209	-1.3265	-1.39	-0.957333333333333	-0.396666666666667	-0.109333333333333	-1.4385	-0.334	0.33	-0.428	-0.2175	-0.0715	-0.579	0.788	-0.053	-0.0075	0.2145	-0.0426666666666667	-0.1075	0.002	-0.08	-0.654	-0.936333333333333	-0.9965	-1.4715	-1.051	-1.605	-1.6095	-1.097
"YIL133C"	-2.6465	-1.597	-2.027	-3.384	-3.811	-1.6275	-2.661	-2.068	-3.333	-5.79	-0.885	-0.27	-4.433	-0.369	0.311	-0.196	0.235	-1.6925	-0.895	0.599	-2.404	0.469	-3.3115	-4.387	-3.183	-2.607	-4.098	-3.154	-2.466
"YJL148W"	-2.695	-0.839	-2.0075	-3.2015	-2.403	-0.833	-2.051	-1.352	-3.572	-4.104	-0.244	-0.564	-3.662	0.32	-0.171	-0.098	-0.06	-0.902	-0.295	-0.034	-1.657	0.027	-2.967	-3.568	-2.484	-1.774	-3.944	-2.823	-2.113
"YJL177W"	-2.4035	-1.151	-2.211	-3.2765	-3.7865	-1.6385	-2.665	-1.964	-4.132	-5.49	-0.871	-0.288	-5.074	-0.312	0.01	-0.334	0.25	-1.9425	-0.737	0.24	-2.196	0.135	-3.293	-4.72	-4.004	-3.278	-4.54	-4.115	-3.056
"YJR145C"	-2.2535	-1.125	-1.8995	-2.8575	-3.3335	-1.7845	-2.537	-1.542	-4.507	-6.528	-0.706	-0.065	-4.857	-0.179	-0.077	-0.489	0.381	-1.93	-0.802	0.493	-1.921	0.239	-2.7805	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74
"YKL037W"	1.078	-0.255	1.316	1.642	1.244	-0.271	-0.586	-0.29	1.537	-0.924	0.241	-0.034	0.404	-0.239	-0.226	0.2	-0.083	0.251	-0.191	0.018	0.834	-0.263	1.481	0.029	0.006	0.376	1.606	0.659	-0.477
"YKR081C"	-3.308	-0.364	-1.58	-3.81	-3.431	-1.263	-1.773	-1.322	-4.081	-4.632	-0.404	-0.434	-3.734	0.288	0.271	-0.138	0.336	-1.565	-0.607	0.529	-1.645	-0.208	-3.505	-3.386	-2.103	-1.623	-3.261	-2.433	-1.814
"YLL044W"	-2.526	-1.223	-2.196	-3.582	-4.162	-1.796	-2.783	-2.271	-4.871	-6.48	-1.047	-0.208	-3.872	-0.531	0.139	-0.355	-0.086	-1.906	-1.027	0.119	-2.173	-0.038	-3.517	-3.189	-2.774	-2.055	-3.806	-2.77	-2.196
"YLL045C"	-2.105	-1.026	-2.319	-3.116	-3.722	-1.721	-2.573	-1.975	-3.851	-6.618	-0.929	-0.074	-3.66	-0.144	0.266	-0.25	0.223	-1.965	-0.953	0.427	-1.957	0.092	-3.545	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635
"YLR003C"	-2.957	-0.694	-2.644	-3.201	-3.212	-0.805	-1.894	-1.589	-3.378	-3.267	-0.304	-0.371	-3.393	-0.005	0.063	0.185	0.049	-0.962	-0.481	0.031	-1.447	-0.099	-3.305	-2.516	-1.754	-1.05	-3.839	-2.794	-1.764
"YLR062C"	-2.343	-1.093	-2.335	-3.557	-4.079	-1.524	-2.662	-2.004	-4.53	-6.896	-0.936	0.056	-4.96	0.198	0.019	0.128	0.023	-1.928	-0.665	0.689	-2.245	0.351	-3.134	-3.806	-3.723	-3.681	-4.54	-4.001	-2.894
"YLR159W"	0.174	0.617	0.177	1.397	0.273	0.161	-0.664	-0.659	0.635	1.533	-0.107	-0.087	1.383	-0.806	0.278	0.264	0.09	0.207	-0.341	-0.29	0.606	0.053	0.31	0.823	1.381	0.771	0.411	1.109	0.678
"YLR185W"	-1.728	-1.047	-1.439	-2.305	-2.948	-1.355	-2.435	-1.598	-4.508	-5.928	-0.824	-0.2	-4.019	-0.18	0.533	0.33	-0.006	-1.486	-0.714	0.59	-2.242	0.556	-2.487	-3.712	-3.007	-2.345	-3.488	-3.242	-2.643
"YLR336C"	-1.614	0.451	-1.159	-2.049	-2.034	-0.622	-1.113	-1.075	-2.355	-2.594	-0.004	-0.194	-2.251	0.545	-0.292	-0.493	0.22	-0.559	0.117	-0.372	-0.376	0.084	-1.718	-1.57	-1.698	-0.218	-2.763	-1.418	-0.963
"YLR388W"	-2.382	-1.251	-1.861	-2.879	-3.074	-1.406	-2.289	-1.937	-3.12	-5.506	-0.383	-0.22	-4.025	0.191	0.303	0.474	0.202	-1.597	-0.873	0.944	-1.953	0.22	-2.761	-3.674	-2.798	-2.25	-3.762	-3.521	-2.816
"YLR435W"	-2.628	-0.69	-2.012	-2.917	-2.415	-0.908	-1.902	-1.102	-4.216	-3.819	-0.313	-0.585	-2.605	0.075	-0.011	0.001	0.176	-0.962	-0.204	-0.087	-1.591	0.155	-3.297	-2.298	-2.662	-2.618	-4.563	-2.595	-2.03
"YLR448W"	-2.009	-1.047	-1.814	-2.821	-3.482	-1.538	-2.804	-1.88	-4.815	-5.971	-0.672	-0.05	-4.891	0.096	-0.036	-0.124	0.011	-1.725	-0.572	0.452	-2.034	0.363	-2.983	-4.85	-3.788	-3.07	-4.791	-4.505	-3.161
"YML026C"	-2.104	-1.119	-1.803	-3.139	-3.539	-1.238	-2.467	-1.536	-3.811	-5.271	-1.072	-0.345	-3.572	0.014	-0.085	-0.162	-0.067	-1.56	-1.026	0.601	-2.254	-0.126	-3.032	-4.522	-3.396	-2.98	-4.595	-3.765	-2.94
"YML073C"	-2.294	-0.926	-2.106	-3.093	-3.742	-1.748	-2.66	-2.111	0.912	-6.033	-0.742	-0.209	-4.919	0.167	0.02	-0.237	0.02	-1.867	-0.781	0.641	-2.025	0.448	-3.187	-2.783	-3.737	-2.652	-3.765	-3.151	-2.415
"YMR131C"	-4.183	-0.911	-3.849	-4.525	-4.347	-1.248	-1.871	-1.365	-5.631	-6.665	-0.543	-0.432	-4.277	0.241	-0.435	-0.753	-0.015	-1.363	-0.812	-0.196	-1.718	-0.13	-4.674	-1.412	-2.944	-2.054	-4.181	-2.68	-1.908
"YMR142C"	-1.964	-0.973	-2.064	-3.395	-3.688	-1.47	-2.447	-2.086	-3.579	-6.693	-0.922	-0.618	-4.4	-0.137	-0.114	-0.065	0.009	-1.695	-0.855	0.007	-2.075	-0.098	-3.22	-4.355	-3.347	-3.104	-4.039	-3.538	-3.031
"YMR239C"	-2.175	-0.682	-2.426	-2.921	-2.351	-0.847	-1.538	-1.475	-4.414	-3.323	-0.137	-0.353	-3.095	0.25	-0.17	-0.048	-0.205	-0.718	-0.539	0.037	-1.451	-0.01	-3.237	-3.048	-3.138	-2.128	-4.048	-2.804	-2.334
"YMR242C"	-2.539	-1.221	-1.639	-3.309	-3.708	-1.649	-2.703	-2.14	-4.702	-6.226	-0.91	-0.178	-4.84	-0.32	0.13	-0.133	0.442	-1.855	-1.02	0.768	-2.26	-0.014	-3.054	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771
"YNL002C"	-4.07	-0.805	-3.305	-4.559	-4.222	-1.105	-2.677	-1.824	-5.196	-3.468	-0.277	-0.274	-3.426	0.12	0.211	0.008	-0.059	-1.349	-0.56	0.288	-1.453	0.103	-4.603	-2.92	-2.649	-1.781	-4.466	-2.41	-2.181
"YNL096C"	-2.093	-1.032	-1.957	-2.881	-3.202	-1.149	-2.329	-1.871	-4.113	-6.106	-1.018	-0.438	-4.716	-0.328	-0.063	-0.535	-0.057	-1.523	-0.544	0.413	-2.448	-0.115	-2.812	-3.52	-2.764	-2.627	-3.087	-3.372	-2.098
"YNL119W"	-2.262	-1.205	-2.092	-2.438	-3.435	-1.224	-1.88	-1.412	-6.697	-6.231	-0.823	-0.265	-3.55	-0.233	-0.208	-0.192	-0.324	-1.761	-0.902	0.349	-1.613	0.343	-2.524	-3.587	-2.801	-2.871	-4.042	-2.748	-2.546
"YNL162W"	-2.384	-1.255	-1.97	-3.17	-3.58	-1.102	-2.232	-1.506	-3.953	-6.425	-0.539	-0.183	-3.999	0.035	0.393	0.106	-0.03	-1.403	-0.573	0.727	-2.288	0.156	-2.998	-2.704	-2.701	-2.189	-3.916	-3.323	-2.825
"YNL174W"	-4.699	-1.221	-4.233	-5.579	-4.714	-3.17	-3.257	-2.252	-5.141	-4.409	-0.392	-0.032	-4.372	0.296	0.091	-0.043	0.29	-1.95	-1.138	0.154	-2.295	0.101	-5.426	-1.035	-2.624	-2.333	-3.816	-2.839	-1.053
"YNL248C"	-4.315	-0.845	-3.398	-4.455	-4.373	-1.163	-2.352	-1.798	-5.716	-5.215	-0.854	-0.709	-5.072	0.104	0.388	-0.494	0.124	-1.15	-1.223	0.364	-1.978	0.061	-4.868	-4.652	-4.217	-2.416	-6.193	-3.878	-3.385
"YNL294C"	0.381	0.733	0.786	1.01	1.0	0.333	0.443	0.521	0.513	-1.733	0.387	0.162	0.809	-0.366	-0.166	-0.306	-0.077	0.113	0.171	0.007	0.782	0.285	1.038	-0.121	0.112	0.09	0.989	0.055	0.28
"YOL040C"	-2.147	-1.176	-1.958	-3.012	-3.574	-1.877	-2.371	-1.781	-0.886	-6.413	-0.831	-0.028	-3.938	-0.301	0.4	-0.027	0.247	-2.149	-0.84	-0.1875	-2.03	0.357	-3.277	-4.411	-3.555	-2.716	-3.746	-3.451	-2.823
"YOR021C"	-2.232	-0.497	-1.661	-2.204	-2.166	-1.199	-1.809	-1.71	-2.468	-2.956	-0.239	-0.388	-1.602	0.168	0.153	-0.262	0.045	-1.427	-0.747	0.319	0.6175	-0.318	-2.297	-0.44	0.152	0.235	-1.781	-0.554	-0.449
"YPL043W"	-4.0	-0.923	-3.773	-4.198	-4.087	-1.131	-2.45	-1.639	-4.668	-3.79	0.206	-0.264	-3.89	-0.341	0.526	0.188	-0.112	-1.161	-0.705	-0.1735	-1.6305	-0.2315	-4.555	-3.093	-2.958	-2.833	-4.308	-2.784	-2.516
"YPL079W"	-2.597	-1.271	-2.277	-3.115	-3.828	-1.437	-2.516	-2.168	-4.616	-6.4765	-1.097	0.142	-4.735	-0.327	0.269	0.148	0.031	-1.713	-0.813	0.491	-2.1725	0.227	-3.135	-2.865	-2.753	-2.74	-3.573	-3.431	-2.725
"YPL198W"	-1.747	-1.046	-2.023	-3.084	-3.342	-1.187	-2.129	-1.589	-4.269	-6.879	-0.799	-0.501	-3.875	-0.089	-0.09	-0.272	-0.237	-1.506	-0.562	0.5655	-2.012	0.367	-2.581	-4.2325	-3.528	-3.0615	-3.4955	-4.5575	-2.68
"YPL212C"	-2.504	-0.3065	-2.069	-3.0655	-2.0715	-0.644	-0.9905	-0.9265	-3.33233333333333	-2.626	-0.116	0.2785	-2.621	0.4175	0.3695	0.261	-0.0425	-0.6705	-0.2185	0.199	-1.126	0.0933333333333333	-2.912	-2.339	-2.278	-1.0775	-3.1355	-2.7785	-1.994
"YPL220W"	-2.404	-1.383	-2.267	-3.278	-3.871	-1.816	-2.806	-2.333	-3.389	-6.1465	-0.632	0.332	-3.51	0.298	-0.274	-0.008	0.081	-2.166	-1.042	0.825	-1.461	0.558	-3.09	-3.366	-2.375	-1.67	-3.554	-2.774	-2.352
"YPL266W"	-3.222	-0.743	-2.968	-3.585	-3.063	-1.179	-2.294	-1.09	-4.1135	-3.1595	-0.315	-0.332	-2.099	0.397	-0.389	-0.036	0.11	-1.337	-0.741	0.324	-1.52	-0.076	-3.636	-3.274	-2.154	-1.743	-4.271	-2.451	-1.929
"YPR044C"	-1.9475	-0.9175	-1.783	-2.4	-2.752	-1.3775	-2.0885	-1.7	-3.163	-4.76433333333333	-0.696	-0.1385	-3.0915	-0.023	0.2655	0.103	-0.088	-1.492	-0.643	0.777666666666667	-1.79966666666667	0.400333333333333	-2.5325	-2.586	-2.282	-1.954	-2.862	-2.352	-2.43
"YPR102C"	-2.298	-1.113	-2.206	-3.37	-4.232	-1.491	-2.43	-1.866	-3.521	-6.451	-0.672	-0.063	-4.644	0.018	-0.007	-0.226	0.219	-1.815	-0.609	0.45	-2.162	0.0725	-3.007	-3.927	-2.614	-2.344	-4.015	-3.517	-2.547
"YPR132W"	-1.583	-0.831	-1.962	-1.788	-3.128	-1.078	-2.014	-1.741	-2.849	-5.805	-0.796	-0.2	-3.788	0.197	0.227	0.088	0.125	-1.376	-0.488	0.543	-1.8545	-0.1735	-2.027	-2.884	-2.466	-2.174	-2.903	-2.829	-2.063
