	"599.37 deg growth"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1099.alpha factor release sample030"	"8234.dtt 240 min"	"8289.MCM7 formaldehyde x-linked in veg. cells. IP'd w/ polyclonal AB"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"13057.wt/crz1 Na 30min (1)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13098.Missouri Western State College 10 uM DAPI Cy5 12 hrs (exp 1)"	"17676.Na+FK 45min (4)"	"18424.2mM MD 055min"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34359.batch 02X25 3"
"YGR148C"	-0.259	-3.596	-3.464	-5.757	-2.075	-3.141	-5.063	-0.113	-2.548	0.65	-2.7095	-3.258	0.5395	0.014	0.0495	-0.1425	-1.5045	-0.2935	-1.382	-3.53	-2.779	-2.133	-3.103	-2.693	-1.897	0.555
"YGR214W"	-0.398	-2.826	-2.795	-5.16	-3.099	-3.581	-4.842	0.023	-2.052	0.0	-1.905	-3.699	0.729	0.396	0.496	-0.321	-2.627	-0.9785	-1.192	-3.673	-2.906	-2.083	-3.805	-2.3	-2.11	0.09
"YGR264C"	-0.463	-2.696	-3.156	-4.616	-1.919	-3.505	-3.897	0.04	-1.659	0.419	-2.468	-2.274	0.373	0.034	-0.035	0.388	-1.721	0.5845	-1.244	-3.556	-2.673	-1.736	-3.33	-3.082	-1.962	0.317
"YHR170W"	-0.627	-1.901	-2.071	-4.858	-2.326	-2.759	-2.314	0.237	-1.391	0.355	-1.761	-1.546	0.837	0.423	0.199	-0.38	-1.963	-0.899	-1.999	-3.186	-2.544	-2.601	-3.601	-2.58	-2.061	-0.187
"YHR203C"	-0.303	-2.827	-3.148	-5.944	-2.51	-3.917	-4.669	0.085	-1.982	-0.859	-2.302	-3.65	0.651	0.073	0.156	0.167	-1.971	-1.3785	-1.83	-4.467	-3.308	-2.46	-3.717	-3.449	-2.785	0.419
"YIL018W"	-0.426	-3.03	-2.782	-5.749	-2.754	-3.362	-3.907	0.067	-2.148	0.087	-2.495	-3.591	0.579	0.22	0.186	-0.4	-1.905	-1.5065	-2.449	-4.277	-3.397	-2.864	-4.06	-3.676	-2.806	-0.086
"YIL133C"	-0.289	-3.196	-3.135	-5.79	-2.633	-2.93	-4.433	-0.115	-2.404	-0.182	-2.13	-3.329	0.563	-0.023	-0.044	0.427	-2.184	-0.735	-2.066	-4.387	-3.183	-2.607	-4.098	-3.154	-2.466	0.033
"YIL148W"	-0.178	-1.482	-1.408	-3.41	-1.347	-1.789	-2.319	0.128	-1.906	-0.315	-1.59	-1.447	0.495	0.073	0.277	0.302	-1.53	-0.661	-0.876	-2.58	-2.025	-1.956	-2.552	-2.609	-1.815	0.273
"YJL177W"	-0.186	-3.846	-3.2	-5.49	-2.648	-3.409	-5.074	0.056	-2.196	-0.272	-2.348	-3.809	0.728	0.107	0.093	0.593	-2.943	-1.7715	-1.782	-4.72	-4.004	-3.278	-4.54	-4.115	-3.056	0.305
"YJL190C"	-0.655	-3.553	-3.267	-6.079	-3.053	-3.969	-4.469	0.175	-2.139	-0.346	-2.43	-3.532	0.839	0.457	0.454	-0.525	-2.112	-1.4465	-2.128	-4.772	-3.912	-3.608	-4.874	-4.273	-3.311	0.422
"YJR145C"	-0.187	-3.488	-3.177	-6.528	-2.54	-3.551	-4.857	0.359	-1.921	-0.344	-2.312	-3.331	0.805	0.394	0.212	0.924	-3.157	-1.191	-2.065	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74	0.606
"YLL045C"	-0.514	-3.176	-2.506	-6.618	-2.711	-3.169	-3.66	0.417	-1.957	0.085	-2.165	-2.953	0.676	0.158	0.219	-1.228	-2.44	-2.065	-1.72	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	0.486
"YLR048W"	-0.397	-2.679	-2.64	-3.72	-2.627	-3.296	-5.136	0.318	-1.94	0.115	-2.293	-3.922	0.512	-0.216	-0.254	0.311	-2.114	-1.28	-1.303	-4.39	-3.403	-3.16	-4.032	-3.798	-2.576	-0.202
"YLR062C"	-0.107	-4.418	-3.352	-6.896	-2.606	-3.6	-4.96	0.005	-2.245	0.085	-2.675	-3.446	0.77	0.105	0.185	0.306	-2.165	-2.484	-1.742	-3.806	-3.723	-3.681	-4.54	-4.001	-2.894	0.374
"YLR075W"	-0.159	-3.127	-2.622	-6.109	-1.697	-2.552	-4.079	0.26	-1.638	-0.094	-2.132	-2.514	0.951	0.785	0.825	-0.089	-1.53	-0.663	-1.188	-4.584	-2.951	-2.268	-4.051	-3.6	-2.245	0.561
"YLR108C"	2.072	-1.431	-1.131	-1.301	0.825	2.642	-2.292	0.683	0.505	1.216	-0.546	0.52	-0.112	0.355	0.449	1.87	0.13	3.621	2.093	-1.647	-2.485	-5.898	-0.947	-2.241	-2.96	0.777
"YLR185W"	-0.124	-3.498	-3.001	-5.928	-2.356	-2.94	-4.019	0.015	-2.242	-0.398	-2.023	-3.193	0.726	0.318	0.507	0.905	-2.147	-1.119	-1.679	-3.712	-3.007	-2.345	-3.488	-3.242	-2.643	-0.132
"YML130C"	-0.0555	-1.0815	-1.2595	-1.421	-0.2115	-0.8835	-0.9315	-0.317	0.6505	0.057	0.353	-0.77	-0.277	-0.094	-0.086	0.095	0.762	0.368	0.214	-0.722	-1.303	0.714	-0.475	-0.995	-1.181	0.498
"YML131W"	0.171	1.819	2.795	0.75	1.299	2.523	1.761	0.003	0.084	0.48	0.727	1.554	0.13	-0.184	-0.117	NaN	1.047	-0.106	0.638	1.034	2.33	2.895	2.396	2.238	1.277	-0.16
"YMR142C"	-0.347	-3.719	-3.19	-6.693	-2.458	-3.048	-4.4	NaN	-2.075	-0.143	-1.565	-3.112	0.65	0.141	0.224	0.516	-1.669	-0.837	-0.737	-4.355	-3.347	-3.104	-4.039	-3.538	-3.031	0.432
"YMR229C"	-0.634	-3.5335	-3.765	-5.288	-2.8345	-2.914	-4.826	-0.23	-2.115	-0.3135	-1.93833333333333	-3.3155	0.1485	0.1115	0.0305	0.0943333333333333	-0.1355	-0.2755	0.2685	-3.4135	-2.548	-2.1685	-3.9575	-2.553	-2.0965	-0.453
"YMR242C"	-0.144	-3.631	-3.819	-6.226	-2.432	-3.832	-4.84	0.015	-2.26	-0.11	-2.4615	-3.185	0.63	0.125	0.261	-0.0215	-2.152	-0.722	-1.61	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	0.181
"YMR290C"	-0.303	-3.842	-3.455	-5.217	-3.458	-3.243	-4.614	-0.012	-1.853	-0.857	-2.957	-2.555	0.635	0.221	0.276	-0.172	-0.579	-0.919	0.848	-4.028	-3.856	-2.84	-4.544	-3.558	-3.243	0.368
"YNL119W"	-0.212	-3.692	-2.694	-6.231	-2.598	-3.359	-3.55	-0.22	-1.613	0.373	-1.92	-2.631	0.677	0.084	0.018	-0.4555	-1.853	-0.797	-2.353	-3.587	-2.801	-2.871	-4.042	-2.748	-2.546	0.305
"YNL301C"	-0.194	-2.551	-2.514	-6.272	-2.514	-2.943	-3.466	0.11	-1.909	-0.166	-2.232	-3.479	0.776	0.307	0.244	-1.081	-2.257	-1.237	-1.063	-4.167	-3.163	-3.507	-4.02	-3.032	-2.764	0.268
"YOL040C"	-0.404	-3.313	-1.742	-6.413	-1.1735	-3.385	-3.938	-0.03	-2.03	0.079	-2.005	-3.04	0.632	0.213	0.136	0.057	-1.655	-0.272	-2.529	-4.411	-3.555	-2.716	-3.746	-3.451	-2.823	0.443
"YOR310C"	-0.256	-3.92	-3.4655	-7.1385	-3.101	-3.766	-5.777	-0.128	-1.8115	0.041	-2.849	-3.238	1.033	-0.037	0.008	0.068	-2.738	-2.937	-1.735	-4.564	-4.629	-3.407	-5.14	-4.292	-3.502	-0.206
"YOR312C"	0.083	-3.381	-2.919	-4.8175	-2.4995	-2.99	-4.638	0.09	-2.1775	-0.151	-1.883	-2.684	0.562	-0.105	0.045	0.747	-2.141	-1.789	-2.4	-4.379	-3.433	-3.512	-4.531	-3.454	-2.689	0.359
"YPL090C"	-0.002	-3.256	-2.7785	-6.197	-2.01	-3.398	-5.307	0.052	-2.16	0.183	-2.061	-3.271	0.702	0.227	0.112	-0.722	-2.36	-1.855	-1.447	-4.244	-3.265	-3.165	-4.101	-3.571	-2.951	0.687
"YPL142C"	-0.322	-2.973	-2.7515	-5.604	-2.427	-2.825	-4.155	0.029	-1.7865	0.363	-2.011	-2.534	0.62	0.301	0.513	-0.662	-1.706	-0.73	-1.667	-3.763	-3.021	-2.696	-3.677	-3.278	-2.971	0.229
"YPL198W"	-0.082	-3.194	-2.836	-6.879	-2.7345	-3.4825	-3.875	0.24	-2.012	-0.703	-1.633	-2.847	0.739	0.352	0.283	-0.217	-1.92	-0.972	-0.886	-4.2325	-3.528	-3.0615	-3.4955	-4.5575	-2.68	0.3265
