	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"963.1 mM Menadione (120 min)redo"	"964.1 mM Menadione (160 min) redo"	"974.1 mM Menadione (80 min) redo"	"975.1 mM Menadione (105 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1107.alpha factor release sample025"	"1661.1 mM Menadione (50 min)redo"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8235.dtt 480 min"	"8289.MCM7 formaldehyde x-linked in veg. cells. IP'd w/ polyclonal AB"	"12744.heat shock 17 to 37, 20 minutes"	"16338.DES460 vs. DES460 YPD log phase control"
"YCR057C"	-3.139	-3.435	-1.647	-2.848	-2.984	-2.951	-5.726	-5.109	-3.064	-2.464	-2.855	-0.677	-0.49	-0.977	-0.966	-1.667	-1.605	0.055	-0.436	-2.77	-2.311	-1.274	-1.82	0.207	0.174	-3.831	0.068
"YDL050C"	-2.278	-1.047	-1.049	-2.322	-2.45	-2.283	-1.678	-2.937	-1.633	-1.885	-1.637	-0.594	-0.342	-0.057	-0.331	-2.056	-0.581	-0.182	-0.149	-2.059	-2.094	0.007	-1.326	-0.234	-0.1	-2.875	0.067
"YDL051W"	-2.35	-2.784	-1.26	-2.447	-3.059	-3.066	-3.639	-3.563	-1.884	-2.198	-1.985	-0.569	-0.137	0.113	-0.377	-2.973	-2.013	0.05	-0.164	-1.945	-1.858	-1.64	-1.961	-0.162	-0.18	-3.388	-0.106
"YDR083W"	-2.781	-3.602	-1.797	-2.743	-3.018	-3.242	-3.47	-2.922	-2.497	-2.697	-1.847	-0.556	0.186	-0.043	-0.125	-2.436	-1.715	-0.056	0.037	-1.78	-1.336	-2.098	-2.258	-0.027	0.217	-3.386	0.054
"YDR087C"	-3.126	-4.143	-1.747	-2.758	-3.643	-3.468	-4.139	-4.944	-2.758	-2.528	-2.208	-0.163	0.258	0.312	0.147	-1.886	-1.819	0.061	0.086	-1.68	-1.547	-1.708	-2.134	-0.276	0.117	-4.13	-0.045
"YDR165W"	-3.154	-2.85	-1.053	-2.419	-2.874	-2.762	-4.096	-5.309	-2.69	-3.015	-2.243	-0.305	0.113	-0.005	-0.042	-3.057	-1.816	0.27	-0.097	-2.129	-1.683	-1.967	-1.516	0.112	-0.036	-2.787	0.023
"YDR184C"	-3.745	-3.004	-0.828	-2.64	-3.408	-2.671	-3.504	-1.842	-1.291	-1.444	-1.709	-0.533	-0.118	-0.027	-0.353	-3.243	-1.65	0.107	0.031	-1.882	-1.428	-2.075	-2.168	0.36	-0.066	-3.644	-0.0495
"YDR324C"	-3.512	-2.824	-0.761	-2.336	-3.184	-3.012	-3.361	-4.131	-2.225	-2.212	-1.921	-0.903	-0.728	-0.493	-0.819	-2.573	-2.143	-0.215	-0.457	-3.039	-1.914	-1.945	-2.099	0.0	0.327	-3.609	0.173
"YDR361C"	-2.862	-3.438	-1.896	-3.115	-3.356	-3.263	-3.61	-3.634	-2.237	-2.072	-1.799	-0.482	0.081	0.192	-0.1	-2.343	-1.435	0.0655	0.108	-1.767	-1.519	-1.74	-1.823	-0.193	-0.037	-3.92	0.177
"YDR365C"	-1.927	-2.035	-1.102	-1.674	-1.783	-1.873	-2.985	-4.269	-1.689	-1.534	-1.027	-1.322	NaN	-0.181	-0.031	-2.25	-0.89	0.038	-0.383	-2.097	-1.804	-1.841	-1.867	-0.679	0.248	-2.99	-0.119
"YDR412W"	-2.735	-2.09	-0.705	-1.984	-2.552	-2.649	-2.38	-3.774	-1.447	-2.216	-1.595	-0.385	-0.566	-0.043	-0.399	-2.732	-1.576	0.225	-0.253	-1.139	-0.694	-0.762	-1.264	-0.456	-0.166	-2.914	-0.223
"YDR413C"	-2.496	-2.392	-1.529	-1.803	-2.779	-2.502	-2.622	-2.057	-1.357	-1.399	-1.215	-0.585	-0.205	-0.193	-0.363	-2.337	-1.725	0.15	-0.382	-1.14	-0.978	-1.054	-1.243	-0.3	0.119	-2.652	-0.277
"YDR417C"	-1.534	-2.075	-0.794	-1.608	-2.715	-3.361	-3.705	-5.062	-2.509	-3.58	-3.209	-0.644	-0.445	-0.563	-0.471	-4.223	-2.458	0.367	-0.177	-2.03	-1.427	-2.082	-2.022	0.384	-0.1	-2.642	-0.064
"YDR471W"	-2.267	-2.818	-0.554	-1.805	-3.206	-3.84	-3.952	-4.747	-2.627	-3.144	-2.929	0.173	0.34	0.259	0.269	-4.253	-2.034	0.178	0.177	-2.14	-1.212	-2.072	-1.654	0.075	-0.279	-3.29	0.099
"YEL020C"	1.534	1.083	0.818	0.652	0.451	0.933	2.128	-1.777	-0.066	0.557	0.506	0.557	0.204	-0.113	0.038	0.752	1.02	0.03	-0.07	1.263	1.154	0.69	0.798	0.34	-0.107	0.785	0.0485
"YER049W"	-2.706	-2.312	-0.945	-1.931	-2.247	-2.219	-2.916	-4.541	-1.185	-2.359	-2.226	-0.333	-0.019	0.047	-0.161	-3.216	-1.832	0.093	0.139	-1.278	-1.3	-0.884	-1.07	-0.14	0.075	-2.642	0.08
"YFR014C"	2.121	2.214	1.221	1.666	2.23	1.756	3.37	-1.306	1.353	2.178	1.757	0.41	-0.23	-0.114	-0.366	2.067	1.696	-0.017	-0.017	1.406	1.037	1.277	1.16	-0.261	-0.105	1.78	0.0525
"YGL031C"	-1.911	-2.424	-0.83	-1.886	-3.443	-3.97	-3.366	-5.763	-2.209	-3.041	-2.881	-0.456	-0.03	-0.067	-0.238	-5.191	-2.42	0.308	-0.031	-2.226	-1.763	-2.016	-1.743	-0.286	0.176	-3.282	-0.134
"YGL078C"	-4.33	-3.709	-1.926	-3.238	-4.399	-3.428	-4.866	-4.455	-2.562	-2.914	-2.134	-0.734	-0.44	-0.319	-0.398	-4.196	-1.897	0.198	-0.513	-3.376	-2.165	-2.267	-2.353	0.12	0.356	-4.147	-0.307
"YGL111W"	-2.705	-2.506	-1.203	-2.165	-2.854	-2.867	-3.668	-2.826	-1.167	-2.085	-1.026	-0.71	-0.572	-0.349	-0.583	-2.617	-1.672	0.18	-0.288	-1.614	-1.309	-1.429	-1.56	-0.101	-0.358	-2.724	-0.556
"YGL120C"	-3.316	-3.231	-1.43	-3.301	-3.954	-3.877	-4.557	-5.111	-3.085	-3.171	-3.229	-0.402	-0.809	-0.155	-0.449	-3.459	-2.023	-0.116	-0.159	-1.588	-1.59	-1.027	-1.427	-0.239	-0.04	-3.8	-0.064
"YGL123W"	-1.71	-2.557	-0.797	-2.339	-3.47	-4.378	-3.781	-5.982	-3.013	-4.112	-3.654	-1.284	-0.52	-1.26	-1.019	-3.511	-2.071	0.497	-0.648	-2.323	-2.087	-2.138	-2.024	0.249	-0.039	-3.308	-0.23
"YGL135W"	-1.664	-2.285	-0.588	-2.468	-3.231	-3.984	-3.221	-5.687	-2.615	-3.217	-3.23	NaN	0.167	-0.021	-0.249	-3.581	-2.03	0.502	-0.036	-2.546	-2.004	-2.237	-2.539	0.337	-0.551	-3.406	0.208
"YGL148W"	-1.712	-2.027	-0.668	-1.735	-2.05	-2.295	-3.561	-3.915	-1.067	-2.983	-2.53	-2.557	-1.143	-0.931	-1.452	-2.555	-1.926	0.123	-0.931	-2.678	-1.939	-2.648	-2.792	-0.406	0.102	-2.451	-0.296
"YGL156W"	3.625	3.375	1.798	3.179	3.485	2.874	4.377	2.804	2.322	3.372	3.335	0.807	-0.264	-0.355	0.151	2.737	4.166	0.119	0.081	1.196	1.081	0.685	1.189	-0.434	0.18	3.58	0.012
"YGR123C"	-3.5875	-3.2965	-1.1295	-3.0495	-4.1895	-3.748	-4.447	-4.328	-2.958	-2.878	-2.97	-0.221	-0.354	-0.203	-0.286	-2.118	-1.549	0.124	-0.283	-1.73	-1.141	-1.647	-1.535	0.062	-0.308	-4.594	-0.0705
"YGR201C"	1.9395	1.623	0.9295	0.887	1.6385	1.929	5.046	2.68	0.855	3.062	2.97	0.427	0.022	0.0	0.041	2.855	2.842	-0.216	0.129	2.126	2.283	1.407	1.546	0.303	-0.134	2.318	0.105
"YGR214W"	-1.7475	-2.4095	-0.612	-2.2525	-3.7315	-4.254	-4.3	-5.16	-3.099	-3.581	-2.953	0.028	-0.211	-0.291	-0.281	-4.842	-1.984	0.302	-0.112	-2.222	-1.645	-2.061	-1.791	0.105	0.0	-3.3975	-0.009
"YHL001W"	-1.6675	-1.6705	-0.038	-1.9015	-1.691	-2.597	-3.25	-3.589	-2.17	-2.908	-2.867	-0.419	-0.458	-0.033	-0.037	-4.172	-1.958	0.27	0.093	-1.53	-0.968	-1.641	-1.625	0.211	0.453	-2.539	-0.327
"YHL011C"	-2.744	-2.467	-0.997	-2.107	-3.0145	-3.024	-2.604	-3.592	-1.461	-2.503	-2.019	0.004	0.418	0.375	0.296	-1.801	-0.989	0.116	-0.004	-1.859	-1.437	-2.057	-2.013	0.252	-0.076	-3.2715	0.275
"YHR010W"	-2.471	-2.255	-0.52	-2.0245	-3.406	-3.8525	-3.693	-4.514	-2.294	-3.343	-3.288	-0.312	-0.266	-0.25	-0.204	-4.159	-2.399	0.271	-0.3	-1.972	-1.452	-1.912	-1.667	0.233	-0.065	-3.0485	-0.324
"YHR052W"	-4.2445	-3.5175	-1.499	-3.5215	-4.3935	-3.9395	-4.199	-4.447	-2.516	-2.565	-2.428	-0.265	-0.112	0.179	-0.18	-3.435	-2.249	-0.033	-0.016	-2.621	-1.95	-2.318	-2.298	-0.055	0.044	-4.9395	0.025
"YHR066W"	-3.7505	-3.0515	-1.4695	-2.9815	-3.762	-3.552	-4.885	-5.203	-2.29	-2.974	-2.008	-0.438	0.104	0.027	-0.157	-2.742	-1.611	0.045	0.066	-2.447	-1.738	-2.494	-2.346	0.209	-0.073	-4.347	0.064
"YHR170W"	-5.3995	-4.622	-2.085	-4.14	-4.723	-3.947	-4.51	-4.858	-2.326	-2.759	-2.694	-1.1715	-0.9595	-0.601	-0.7395	-2.314	-1.433	-0.027	-0.4765	-2.244	-2.093	-1.733	-1.888	0.065	0.355	-5.252	-0.057
"YIL072W"	0.2925	0.585	-1.145	0.7075	NaN	NaN	-3.459	NaN	NaN	-0.206	3.17	0.267	0.152	-0.11	0.1465	0.0	-1.0	0.06	0.1425	-0.275	-0.063	0.108	0.613	1.0	-0.018	2.599	0.086
"YIL133C"	-2.0235	-2.6465	-0.9345	-2.027	-3.384	-3.811	-3.333	-5.79	-2.633	-2.93	-2.571	-0.4635	0.378	0.131	0.0165	-4.433	-2.003	0.204	0.136	-2.339	-1.436	-2.453	-1.872	0.469	-0.182	-3.3115	0.196
"YIL148W"	-1.5795	-1.455	-0.2095	-1.3005	-2.3055	-2.8165	-1.734	-3.41	-1.347	-1.789	-2.019	-0.289	-0.2875	-0.435	-0.4785	-2.319	-1.404	0.077	-0.324	-1.243	-1.183	-0.933	-1.415	-0.08	-0.315	-2.313	0.06
"YIR026C"	-3.1325	-3.9735	-2.7045	-2.8615	-3.1245	-3.013	-4.983	-4.724	-2.815	-2.112	-2.284	-0.9075	-0.1885	-0.323	-0.4565	-0.988	-1.175	0.007	-0.0705	-2.044	-2.065	-2.068	-2.269	0.2	0.04	-2.938	0.001
"YJL066C"	2.484	2.363	0.9545	2.0645	2.2855	2.4895	3.176	2.471	1.057	1.811	1.934	-0.5325	-0.415	-0.4895	-0.242	2.344	1.306	-0.13	-0.4355	1.874	1.89	1.424	1.574	0.08	-0.206	2.9045	-0.421
"YJL177W"	-2.0	-2.4035	-1.137	-2.211	-3.2765	-3.7865	-4.132	-5.49	-2.648	-3.409	-3.772	-0.337	0.318	-0.075	0.003	-5.074	-2.17	0.263	0.051	-2.129	-1.64	-2.455	-2.061	0.135	-0.272	-3.293	-0.085
"YJR070C"	-4.6905	-4.824	-2.426	-3.895	-4.828	-4.332	-5.317	-7.226	-3.689	-3.471	-2.777	-0.804	-0.606	-0.916	-0.894	-2.102	-1.698	0.112	-0.505	-2.306	-2.277	-2.616	-3.193	-0.124	-0.3	-4.7655	-0.72
"YJR097W"	-2.22	-3.0155	-1.3475	-1.5565	-1.7985	-1.3795	-3.228	-2.122	-2.194	-1.206	-0.838	-0.83	0.175	-0.095	-0.548	-1.155	-1.143	0.216	-0.075	-2.102	-1.68	-1.912	-2.103	0.253	0.014	-1.425	-0.068
"YJR127C"	1.67533333333333	1.15333333333333	-0.106	1.06433333333333	1.56433333333333	1.22066666666667	1.6225	-0.974	0.1485	-0.114	-0.044	0.394	0.08	-0.1485	-0.08	1.0865	0.717	0.086	-0.0045	0.4585	0.599	0.5075	0.6735	0.103	-0.07	1.12766666666667	0.106
"YKL094W"	1.6145	1.2045	0.965	1.0475	1.394	1.5515	1.066	-2.0815	0.6135	0.6065	0.9015	0.6215	0.384	-0.036	0.3185	0.907	0.7385	0.104	0.1555	1.0185	0.742	0.924	0.8995	-0.0665	0.102	1.775	0.242
"YKL180W"	-1.731	-1.947	-0.487	-2.16	-2.81	-3.531	-2.661	-5.237	-2.195	-2.625	-3.204	0.662	0.517	0.64	0.36	-4.629	-1.825	0.365	0.539	-2.003	-1.241	-1.883	-1.742	0.145	-0.332	-3.37	0.049
"YKL181W"	-2.313	NaN	-0.766	-2.149	-2.822	-2.81	-3.28	-4.28	-2.097	-2.604	-2.243	-0.494	-0.398	-0.645	-0.257	-1.405	-0.995	0.2	-0.326	-1.865	-1.322	-2.131	-1.876	0.452	0.352	-2.802	-0.26
"YKL200C"	0.901	0.743	0.408	0.515	0.832	0.764	0.755	-0.461	3.183	1.383	2.447	1.035	0.297	-0.05	0.074	0.49	1.004	-0.293	0.007	0.194	-0.047	0.683	0.601	-0.024	-0.07	1.256	0.147
"YKL218C"	NaN	3.7	-0.145	NaN	NaN	NaN	2.445	-0.094	2.193	1.849	1.573	0.989	0.453	-0.091	0.363	1.653	0.986	0.27	0.085	0.805	0.795	0.518	0.521	0.065	0.145	NaN	-0.042
"YKR094C"	-1.518	-2.14	-0.721	-2.109	-2.994	-3.29	-3.138	-4.383	-2.065	-2.102	-2.333	-0.36	0.037	-0.256	-0.21	-2.785	-1.579	0.144	-0.326	-1.747	-1.522	-1.7	-1.911	0.128	-0.177	-2.821	0.359
"YLL011W"	NaN	-1.871	-0.874	-2.065	-2.297	-3.65	-4.731	-4.961	-1.61	-3.053	-2.081	-0.523	0.0	-0.337	-0.667	-3.178	-1.717	-0.079	-0.19	-1.245	-1.013	-1.194	-1.575	0.0	-0.242	-3.689	0.025
"YLL023C"	2.164	2.068	0.719	1.571	2.334	2.261	3.606	-1.953	1.039	1.64	1.569	0.32	-0.358	-0.025	0.352	2.958	2.037	0.02	0.392	2.428	2.422	2.447	2.419	0.482	-0.053	2.488	-0.034
"YLL044W"	-1.737	-2.526	-0.773	-2.196	-3.582	-4.162	-4.871	-6.48	-2.802	-3.313	-3.031	-0.511	-0.169	-0.27	-0.185	-3.872	-1.944	0.04	-0.271	-2.344	-1.619	-2.075	-2.07	-0.038	0.098	-3.517	-0.381
"YLR009W"	-4.735	-4.564	-1.697	-2.897	-4.204	-3.864	-4.675	-5.388	-2.78	-2.737	-2.637	-0.82	0.097	-0.074	-0.362	-3.455	-2.226	0.188	0.089	-2.802	-2.013	-2.902	-2.825	0.258	-0.287	-4.344	0.142
"YLR129W"	-4.096	-3.022	-1.034	-2.347	-3.676	-3.658	-4.83	-4.914	-3.214	-3.12	-2.647	-0.614	-0.613	-0.29	-0.331	-3.861	-2.137	-0.04	-0.424	-2.343	-1.807	-1.65	-1.427	-0.165	0.02	-4.108	-0.107
"YLR167W"	-1.492	-1.586	-0.975	-1.934	-2.464	-2.707	-1.481	-4.496	-2.286	-1.882	-1.934	0.728	0.39	0.363	0.248	-1.894	-1.27	0.304	0.22	-1.565	-1.32	-1.549	-1.386	-0.061	0.258	-2.342	0.066
"YLR186W"	-2.522	-2.221	-1.543	-2.011	-2.976	-2.122	-4.787	-5.516	-2.004	-3.036	-2.821	0.367	-0.11	0.123	-0.056	-2.372	-1.577	-0.29	0.102	-1.642	-0.861	-1.814	-1.695	0.101	-0.284	-3.083	0.13
"YLR196W"	-5.425	-5.04	-2.108	-3.221	-4.896	-4.532	-5.083	-5.836	-2.118	-2.858	-2.859	-0.857	-0.76	-0.328	-0.77	-4.378	-2.182	-0.053	-0.395	-2.793	-1.956	-2.637	-2.454	-0.11	-0.069	-5.097	-0.236
"YLR197W"	-4.98	-4.044	-1.636	-3.638	-4.76	-5.179	-5.817	-5.242	-3.387	-3.899	-3.238	-0.263	0.03	-0.087	-0.073	-5.671	-2.611	0.069	-0.158	-2.28	-1.776	-1.768	-2.254	0.175	-0.4	-5.072	0.141
"YLR203C"	1.456	1.418	0.894	0.991	1.474	1.034	2.148	-1.436	0.031	0.12	0.145	1.274	0.425	-0.126	0.299	2.069	0.176	-0.038	0.361	0.708	0.505	0.255	0.401	-0.091	0.202	0.945	-0.257
"YLR249W"	-2.818	-3.122	-1.542	-3.317	-4.232	-4.758	-6.529	-6.742	-2.985	-3.879	-4.141	-1.382	-0.811	-0.862	-0.843	-4.679	-2.712	0.174	-0.837	-3.464	-2.334	-2.703	-2.461	0.4	0.228	-4.59	-0.307
"YLR287C"	-1.316	-0.656	-0.252	-0.931	-1.195	-1.256	-2.577	-1.645	-0.775	-1.886	-1.446	-0.261	-0.129	-0.28	-0.312	-2.905	-1.348	-0.365	0.084	-1.029	-0.92	-1.116	-1.125	-0.208	0.141	-1.268	0.191
"YML024W"	-1.177	-2.033	-0.343	-2.347	-3.361	-3.373	-3.616	-4.621	-2.278	-3.523	-3.666	-0.476	-0.063	-0.432	-0.399	-3.455	-2.442	NaN	-0.406	-2.106	-1.671	-1.567	-2.011	-0.099	0.166	-3.024	0.298
"YML026C"	-1.59	-2.104	-0.175	-1.803	-3.139	-3.539	-3.811	-5.271	-2.504	-3.779	-3.636	-0.267	-0.001	-0.325	-0.346	-3.572	-2.525	NaN	-0.343	-2.403	-1.985	-1.891	-2.065	-0.126	-0.187	-3.032	0.072
"YMR131C"	-4.819	-4.183	-1.969	-3.849	-4.525	-4.347	-5.631	-6.665	-3.153	-3.547	-2.98	-0.42	-0.478	-0.102	-0.666	-4.277	-2.776	-0.125	-0.247	-3.012	-2.205	-2.522	-2.8	-0.13	-0.153	-4.674	0.014
"YMR185W"	-2.313	-2.197	-1.197	-2.152	-1.321	-1.524	-1.497	-3.092	-1.114	-1.663	-0.801	-0.35	0.031	0.187	0.023	-0.679	-0.384	-0.052	0.024	-1.386	-1.02	-0.938	-1.117	0.579	0.092	-1.753	-0.08
"YMR217W"	-2.517	-3.444	-1.729	-2.705	-2.964	-3.238	-5.293	-5.29	-2.699	-3.48	-2.869	-0.287	-0.401	-0.071	-0.234	-4.287	-2.652	0.087	-0.211	-2.654	-2.29	-2.321	-2.961	0.567	-0.268	-3.402	-0.123
"YNL045W"	2.299	1.79	0.592	1.675	2.3	2.003	1.967	-2.893	0.738	1.366	1.12	0.762	0.626	0.288	0.428	2.846	1.475	-0.135	0.403	1.763	1.673	1.18	1.334	-0.13	0.11	2.619	0.249
"YNL061W"	-4.928	-3.927	-1.752	-4.143	-4.404	-3.948	-4.329	-4.27	-2.724	-2.519	-2.417	-0.483	-0.656	-0.166	-0.448	-3.268	-1.421	0.12	-0.248	-2.599	-1.44	-2.111	-2.07	-0.024	-0.179	-5.38	-0.422
"YNL067W"	-2.389	-2.348	-0.601	-2.563	-3.335	-3.738	-4.019	-5.731	-2.532	-2.866	-3.241	0.708	0.708	0.707	0.41	-4.131	-1.968	0.133	0.41	-2.232	-1.859	-2.17	-2.392	0.147	-0.271	-3.16	0.442
"YNL069C"	-1.415	-1.976	-0.518	-1.954	-2.865	-3.347	-3.663	-4.824	-2.585	-3.44	-3.85	0.571	0.335	0.43	0.023	-4.269	-1.921	0.175	0.302	-1.666	-1.263	-1.779	-1.689	0.626	-0.542	-2.91	0.312
"YNL075W"	-3.86	-3.164	-1.324	-2.558	-3.304	-2.768	-4.782	-3.339	-2.433	-3.095	-2.494	-0.178	0.605	0.243	-0.192	-2.149	-1.222	-0.096	-0.002	-1.85	-1.445	-1.521	-1.884	0.126	-0.204	-3.301	0.448
"YNL110C"	-4.43	-3.64	-1.669	-3.768	-4.56	-4.991	-5.108	-3.296	-1.641	-2.565	-1.986	-0.944	-0.208	-0.302	-0.702	-4.151	-2.141	-0.179	-0.441	-3.662	-2.623	-3.62	-3.346	-0.192	-0.23	-5.064	0.259
"YNL174W"	-5.157	-4.699	-2.362	-4.233	-5.579	-4.714	-5.141	-4.409	-3.149	-2.319	-2.439	-0.626	-0.117	-0.28	-0.537	-4.372	-2.731	0.014	-0.362	-2.4	-2.57	-2.392	-2.87	0.101	0.156	-5.426	0.066
"YNL200C"	4.143	3.376	2.855	3.17	3.269	3.585	4.582	2.169	1.214	2.15	2.624	-0.623	0.233	0.186	-0.233	3.003	2.005	-0.028	-0.368	1.733	2.171	1.483	1.988	-0.104	-0.176	4.124	0.176
"YNL209W"	-2.368	-2.469	-0.983	-3.114	-4.441	-4.707	-3.795	-5.803	-2.699	-3.728	-2.985	0.503	-0.375	0.35	-0.018	-4.059	-2.262	0.223	-0.144	-2.128	-1.821	-1.61	-2.011	0.611	0.627	-4.616	-0.081
"YOR021C"	-2.424	-2.232	-1.392	-1.661	-2.204	-2.166	-2.468	-2.956	-1.636	-2.17	-1.75	-0.254	0.474	0.267	-0.07	-1.602	-1.352	-0.034	0.001	-1.808	-1.92	-1.739	-2.088	-0.318	0.094	-2.297	0.491
"YOR177C"	0.922	0.6	-0.078	0.778	0.551	0.379	0.8655	0.9425	0.1645	0.55	1.0295	1.012	0.311	-0.052	0.239	0.869	1.896	-0.021	0.117	1.598	1.041	1.046	1.034	-0.4715	-0.278	1.048	-0.089
"YOR206W"	-5.087	-3.702	-1.66	-3.585	-5.083	-4.513	-5.827	-6.4785	-2.919	-3.1625	-1.9445	-0.497	-0.466	-0.396	-0.665	-3.888	-2.026	-0.064	-0.415	-3.65	-2.191	-2.398	-2.168	0.2435	-0.718	-5.066	-0.11
"YOR243C"	-3.594	-3.234	-0.62	-2.436	-3.633	-3.982	-3.8055	-4.3935	-1.9265	-2.588	-2.1815	0.202	0.252	0.271	0.074	-3.635	-2.371	0.092	-0.03	-1.872	-1.457	-1.652	-1.335	-0.016	-0.168	-4.099	-0.227
"YOR317W"	3.889	3.626	1.258	2.837	2.87	3.276	2.1185	1.995	1.339	0.92	0.6985	0.851	0.319	0.258	0.518	2.064	1.502	0.013	-0.084	1.33	1.118	1.439	1.666	0.3255	0.326	4.014	-0.123
"YPL043W"	-4.246	-4.0	-2.102	-3.773	-4.198	-4.087	-4.668	-3.79	-3.242	-3.157	-2.2695	-0.661	1.295	-0.56	-0.506	-3.89	-2.277	-0.013	-0.506	-2.772	-2.128	-2.207	-2.26	-0.2315	0.2045	-4.555	-0.442
"YPL079W"	-2.261	-2.597	-0.488	-2.277	-3.115	-3.828	-4.616	-6.4765	-2.527	-3.085	-3.172	-0.354	-0.058	-0.461	-0.307	-4.735	-2.781	0.085	-0.306	-2.574	-1.965	-2.209	-2.429	0.227	0.309	-3.135	-0.057
"YPL090C"	-2.294	-2.09	-0.801	-2.497	-3.529	-3.965	-3.9615	-6.197	-2.01	-3.398	-3.223	-0.411	-0.79	-0.141	-0.207	-5.307	-2.412	-0.043	-0.273	-2.805	-2.023	-1.985	-1.805	-0.0745	0.183	-3.272	-0.462
