	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"599.37 deg growth"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7760.Na 45min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8520.DES460 + 0.02% MMS - 120 min"	"8521.dun1- + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"33779.delYPL230w_stationary_phase_5hours"
"YGL029W"	-4.276	-3.685	-2.755	-4.337	-3.57	-0.671	-1.144	-2.325	-1.744	-2.603	-2.066	-1.539	-3.653	-2.943	-2.526	-1.676	-2.985	-2.591	-2.881	-2.079	-0.102	-0.139	-0.348	-1.081	-1.173	-1.415	-0.608	-0.689	-2.553	-2.472	-2.769	-1.176	-0.561	-0.474	-0.299	-3.874	0.334	-3.548
"YGL108C"	0.264	0.693	1.093	0.612	0.464	0.321	0.384	0.57	0.526	0.478	0.056	0.413	1.652	0.629	0.722	-0.742	-2.481	0.672	0.787	0.685	-0.22	0.275	-0.062	0.045	-0.252	-0.247	-0.064	-0.171	0.493	0.286	0.047	-0.173	0.0	-0.021	0.136	1.009	0.025	1.215
"YGL120C"	-3.316	-3.231	-3.301	-3.954	-3.877	-0.323	-1.353	-1.614	-0.802	-1.851	-1.325	-0.824	-4.557	-3.087	-2.692	-4.088	-5.111	-3.085	-3.171	-3.229	-0.229	0.0	0.081	-0.916	-0.695	-0.539	-0.234	-0.446	-1.588	-1.027	-1.427	-0.894	0.08	-0.431	0.14	-3.8	-0.434	-3.546
"YGL123W"	-1.71	-2.557	-2.339	-3.47	-4.378	0.17	-1.622	-2.649	-1.867	-1.236	-1.272	-1.163	-3.781	-3.757	-3.726	-4.004	-5.982	-3.013	-4.112	-3.654	-0.166	0.027	-0.229	-0.318	-0.467	-0.511	0.214	0.169	-2.323	-2.138	-2.024	-0.495	-0.133	-0.14	0.052	-3.308	0.399	-4.123
"YGL135W"	-1.664	-2.285	-2.468	-3.231	-3.984	-0.412	-1.72	-2.804	-2.361	-1.323	-1.448	-1.169	-3.221	-2.573	-2.455	-3.418	-5.687	-2.615	-3.217	-3.23	0.383	-0.045	0.125	-0.72	-0.506	-0.566	-0.133	-0.308	-2.546	-2.237	-2.539	-0.722	-0.271	0.116	-0.135	-3.406	-0.064	-3.617
"YGL147C"	-2.372	-3.006	-2.704	-4.102	-4.319	-0.127	-1.799	-2.743	-1.941	-1.232	-1.516	-1.188	-3.892	-3.111	-3.32	-3.921	-7.507	-2.882	-3.0	-3.753	0.334	0.326	0.219	-0.382	-0.492	-0.74	-0.102	-0.277	-2.522	-2.365	-2.897	-0.708	-0.355	0.131	-0.14	-3.829	-0.409	-3.1585
"YGR083C"	-1.511	-0.946	-1.09	-1.202	-1.629	-0.148	-0.277	-0.763	-0.464	-1.283	-0.772	-0.889	-2.133	-1.321	-0.78	-1.845	-4.599	-0.787	-1.304	-1.21	-0.056	0.042	0.039	-0.299	-0.537	-0.42	-0.251	-0.114	-0.406	-0.093	-0.061	-0.377	0.175	0.102	0.078	-1.493	0.08	-1.4595
"YGR118W"	-1.5195	-1.6645	-1.6245	-2.6185	-3.085	0.008	-1.469	-2.204	-1.873	-0.9	-0.852	-0.571	-2.621	-2.692	-2.681	-2.204	-5.471	-2.128	-2.458	-2.209	0.009	0.229	0.213	-0.174	-0.428	-0.382	0.019	0.369	-1.737	-1.832	-1.647	-0.487	-0.1525	-0.018	-0.029	-2.633	0.0875	-2.13
"YGR123C"	-3.5875	-3.2965	-3.0495	-4.1895	-3.748	-0.449	-1.124	-2.061	-1.298	-1.517	-1.265	-1.031	-4.447	-2.7	-2.234	-3.794	-4.328	-2.958	-2.878	-2.97	-0.117	-0.141	0.106	-0.737	-0.754	-0.832	0.085	-0.015	-1.73	-1.647	-1.535	-0.6	-0.3045	-0.5715	-0.263	-4.594	0.028	-3.836
"YGR160W"	-6.235	-5.9475	-5.567	-6.207	-4.6575	-0.457	-1.066	-1.851	-1.159	-2.687	-2.046	-1.56	-4.796	-4.983	-4.886	-2.479	NaN	-1.923	-2.892	-2.69	0.122	-0.184	-0.447	-1.726	-1.399	-1.188	-0.295	-0.569	-3.857	-3.507	-3.412	-1.076	-0.205	-0.5255	-0.236	-6.3385	-0.0045	-4.708
"YHR052W"	-4.2445	-3.5175	-3.5215	-4.3935	-3.9395	-0.247	-0.895	-2.069	-1.327	-1.663	-1.389	-0.911	-4.199	-3.017	-2.239	-2.598	-4.447	-2.516	-2.565	-2.428	-0.232	0.119	0.121	-0.805	-1.099	-1.068	-0.084	-0.244	-2.621	-2.318	-2.298	-1.006	-0.0525	-0.228	-0.1435	-4.9395	-0.509	-3.47
"YHR062C"	-2.1055	-1.882	-1.8745	-2.1985	-2.079	-0.13	-0.5595	-1.048	-0.277	-0.769	-0.61	-0.296	-2.847	-1.483	-0.398	-0.664	-4.381	-1.691	-2.092	-1.629	-0.059	0.019	0.114	-0.335	-0.192	-0.216	-0.374	-0.062	-0.75	-1.122	-0.92	-0.125	-0.225	-0.158	-0.2155	-2.44	0.338	-0.945
"YHR066W"	-3.7505	-3.0515	-2.9815	-3.762	-3.552	0.039	-0.87	-1.966	-1.468	-2.073	-1.432	-1.036	-4.885	-2.062	-1.572	-3.164	-5.203	-2.29	-2.974	-2.008	-0.128	0.466	0.28	-0.895	-1.041	-0.937	-0.449	-0.381	-2.447	-2.494	-2.346	-0.892	0.128	-0.273	0.0555	-4.347	0.306	-2.382
"YHR196W"	-4.423	-3.5265	-2.834	-3.894	-3.3595	0.222	-0.7405	-1.524	-0.787	-2.207	-1.513	-1.221	-3.061	-2.692	-2.23	-2.447	0.884	-1.847	-2.461	-2.348	0.3525	0.126	0.024	-1.005	-1.152	-1.095	-0.305	-0.341	-2.024	-1.575	-1.655	-1.222	0.161	-0.1175	0.166	-3.967	0.217	-2.306
"YHR216W"	-1.6175	-1.8525	-1.571	-1.9425	-2.8755	-0.391	-1.653	-1.506	-1.514	-1.675	-1.21	-0.847	-2.62	-2.056	-2.143	-3.15	-4.943	-1.841	-1.762	-2.914	0.325	0.163	-0.005	-0.598	-0.751	-0.388	0.258	0.395	-1.597	-1.652	-1.444	-0.592	0.2575	0.12	0.291	-2.9045	0.3	-3.001
"YIL101C"	4.271	3.439	3.398	3.9075	3.7695	0.65	0.839	0.544	-0.363	2.507	2.83	2.469	4.085	3.455	3.613	4.152	2.445	2.302	2.324	2.418	0.3375	0.046	0.928	0.337	0.642	1.301	0.435	-0.14	2.166	1.652	1.944	1.348	-0.2615	0.0515	0.147	4.3735	-0.212	2.0685
"YIL133C"	-2.0235	-2.6465	-2.027	-3.384	-3.811	-0.289	-1.6275	-2.661	-2.068	-1.418	-1.185	-0.69	-3.333	-3.196	-3.135	-2.693	-5.79	-2.633	-2.93	-2.571	-0.0475	0.235	0.221	-0.367	-0.857	-0.746	0.46	0.349	-2.339	-2.453	-1.872	-0.697	-0.343	-0.3515	-0.3865	-3.3115	-0.17	-4.098
"YIR016W"	2.2965	1.919	1.572	2.372	1.9815	0.236	-0.0455	0.063	0.156	1.843	1.54	0.829	2.284	0.991	1.272	2.249	0.899	1.933	1.705	1.429	0.1725	0.185	-0.022	0.654	0.687	0.856	-0.076	-0.342	1.573	2.181	1.773	1.077	-0.2675	0.1575	-0.2745	2.126	-0.331	1.642
