	"813.MHY1 (dun1) + heat 20 min"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YER043C"	-1.394	1.283	-4.78	-6.476	-3.31	-4.857	-4.918	1.395
"YER0561C"	-1.823	2.023	-2.974	-4.828	-2.398	-2.784	-3.617	1.871
"YER070W"	-2.132	2.174	-3.252	-3.737	-2.637	-3.229	-3.359	1.691
"YER074W"	-1.98	2.056	-3.067	-3.854	-2.339	-2.829	-3.947	2.164
"YER086W"	-1.06	1.074	-3.61	-5.173	-2.624	-2.882	-3.77	1.399
"YER090W"	-0.647	1.115	-3.804	-5.004	-2.327	-2.585	-3.495	1.457
"YER102W"	-2.09	2.757	-3.64	-6.434	-2.579	-3.326	-3.859	2.71
"YER117W"	-1.321	1.9	-2.832	-5.642	-2.312	-2.562	-2.976	1.414
"YFL004W"	-1.237	0.475	-1.866	-3.639	-1.927	-2.26	-2.284	0.532
"YFL039C"	-0.308	0.461	-2.57	-3.733	-1.583	-2.201	-2.764	-0.155
"YFR013W"	-0.288	1.214	-1.774	-3.723	-1.523	-1.998	-1.759	0.812
"YFR031BC"	-2.519	2.878	-4.702	-7.029	-3.164	-3.863	-4.146	2.869
"YGL027C"	-0.653	0.755	-2.354	-4.731	-2.105	-2.719	-3.083	0.088
"YGL031C"	-2.776	2.221	-3.683	-5.763	-2.92	-3.061	-3.473	2.166
"YGL067W"	-0.161	0.46	-3.029	-2.893	-1.327	-1.617	-2.053	0.829
"YGL076C"	-1.633	2.346	-3.976	-5.667	-2.836	-2.79	-3.782	2.882
"YGL123W"	-1.867	2.601	-4.004	-5.982	-2.388	-2.65	-3.558	2.365
"YGL135W"	-2.361	1.922	-3.418	-5.687	-2.267	-2.874	-3.825	2.2
"YGL202W"	-0.67	1.898	-3.334	-4.405	-2.119	-2.237	-2.614	1.694
"YGL245W"	-1.348	1.549	-4.799	-6.655	-3.552	-4.345	-4.779	1.309
"YGR085C"	-1.715	1.922	-3.406	-6.059	-3.306	-3.54	-4.179	2.15
"YGR118W"	-1.873	1.94	-2.204	-5.471	-1.76	-2.214	-3.141	1.925
"YGR124W"	-1.215	2.277	-2.597	-4.207	-2.945	-3.169	-3.758	2.282
"YGR148C"	-2.716	2.343	-3.884	-5.757	-3.022	-3.649	-4.092	2.221
"YGR158C"	-0.601	0.902	-2.12	-2.421	-1.365	-1.801	-2.176	0.903
"YGR173W"	-0.655	1.097	-2.218	-3.699	-1.919	-1.996	-2.168	1.687
"YGR185C"	-1.289	1.186	-5.306	-6.361	-4.576	-4.871	-5.006	1.522
"YGR189C"	0.012	0.439	-2.638	-4.894	-2.106	-2.635	-2.874	1.016
"YGR195W"	-0.496	0.493	-2.179	-3.999	-1.872	-1.878	-1.911	0.881
"YGR200C"	-0.658	0.837	-2.863	-3.668	-1.861	-2.863	-2.446	1.275
"YGR261C"	-0.24	0.396	-2.682	-3.233	-1.657	-2.505	-2.45	0.605
"YGR285C"	-1.664	1.704	-4.078	-6.1	-3.452	-4.07	-4.065	1.749
"YHL003C"	-0.491	0.77	-2.186	-3.084	-1.585	-1.707	-1.741	0.185
"YHL033C"	-2.082	2.169	-3.984	-6.65	-2.601	-2.923	-4.209	2.175
"YHR019C"	-1.072	1.822	-4.051	-5.077	-3.117	-3.721	-4.387	2.274
"YHR203C"	-1.621	2.714	-3.782	-5.944	-2.575	-3.081	-3.941	2.739
"YIL018W"	-2.493	2.16	-3.492	-5.749	-2.661	-3.27	-3.914	2.689
"YIL052C"	-2.029	1.842	-2.895	-6.278	-2.162	-2.5	-3.158	1.879
"YIL078W"	-1.59	1.358	-5.192	-6.059	-4.41	-4.902	-4.944	1.692
"YJL138C"	-1.457	1.129	-3.125	-5.625	-2.542	-2.785	-3.522	1.137
"YJL188C"	-1.392	1.481	-2.786	-4.633	-2.169	-2.54	-2.776	0.856
"YJL190C"	-2.272	2.636	-3.585	-6.079	-2.941	-3.365	-3.524	1.955
"YJR003C"	-1.174	0.5	-2.48	-3.457	-2.176	-2.349	-2.42	0.64
"YJR032W"	-0.348	-0.041	-2.635	-3.054	-1.546	-1.609	-1.727	0.294
"YJR064W"	-0.541	0.842	-1.931	-4.297	-1.961	-2.702	-2.57	1.166
"YJR123W"	-1.807	2.779	-4.381	-9.147	-2.639	-3.543	-4.006	2.581
"YJR143C"	-1.047	1.747	-4.675	-5.523	-3.335	-3.698	-3.382	1.599
"YJR145C"	-1.542	2.605	-3.54	-6.528	-2.519	-3.105	-3.178	2.789
"YKL152C"	0.015	-0.235	-3.152	-4.943	-1.713	-1.83	-2.83	0.146
"YKL153W"	-0.529	0.015	-3.54	-5.051	-1.986	-2.039	-2.818	0.073
"YKL180W"	-1.948	2.375	-2.561	-5.237	-2.059	-2.04	-2.857	1.921
"YKR026C"	-0.239	0.771	-2.863	-3.755	-1.858	-2.363	-2.231	1.196
"YKR094C"	-1.985	1.626	-2.464	-4.383	-1.792	-2.197	-2.387	1.23
"YLL044W"	-2.271	2.306	-3.79	-6.48	-2.724	-3.494	-3.967	2.272
"YLL045C"	-1.975	2.311	-3.857	-6.618	-2.943	-3.021	-3.731	2.059
"YLR048W"	-1.93	2.152	-3.645	-3.72	-2.294	-2.17	-3.634	2.784
"YLR060W"	-0.609	1.279	-4.941	-5.967	-3.118	-3.713	-4.371	1.836
"YLR062C"	-2.004	1.963	-5.705	-6.896	-4.299	-4.293	-5.234	2.319
"YLR185W"	-1.598	1.932	-2.578	-5.928	-2.015	-2.479	-3.065	1.929
"YLR333C"	-2.055	1.643	-3.011	-5.863	-1.584	-2.45	-2.848	1.926
"YLR339C"	-1.781	3.13	-4.988	-6.865	-2.461	-3.161	-3.973	3.313
"YLR340W"	-1.728	3.125	-4.11	-6.819	-2.702	-3.206	-4.105	3.263
"YLR344W"	-1.752	1.468	-3.139	-4.414	-1.824	-2.383	-3.724	1.956
"YLR367W"	-2.123	2.175	-2.78	-6.716	-2.165	-2.476	-3.007	2.016
"YLR372W"	-1.827	2.07	-2.731	-4.512	-2.844	-3.456	-3.544	2.112
"YLR388W"	-1.937	1.261	-3.596	-5.506	-2.232	-2.581	-3.193	1.216
"YLR448W"	-1.88	2.319	-3.552	-5.971	-2.668	-3.192	-4.132	2.734
"YML024W"	-1.751	1.536	-3.909	-4.621	-1.81	-2.221	-2.415	1.891
"YML026C"	-1.536	1.729	-4.268	-5.271	-2.898	-2.803	-2.821	1.943
"YML073C"	-2.111	2.428	-3.862	-6.033	-2.401	-2.624	-3.718	2.691
"YML085C"	-0.958	1.241	-3.379	-4.526	-1.907	-2.298	-2.55	1.236
"YML124C"	-0.146	0.794	-3.412	-4.107	-1.685	-2.001	-2.075	1.198
"YMR032W"	-0.63	1.4815	-1.3345	-2.35	-1.4195	-1.9785	-2.3825	0.8485
"YMR116C"	-2.189	3.2	-4.551	-6.865	-2.906	-3.561	-4.003	3.169
"YMR143W"	-2.038	2.012	-2.287	-4.466	-2.88	-3.111	-3.545	1.601
"YMR194W"	-0.664	0.85	-3.476	-4.585	-1.69	-1.672	-2.34	1.368
"YMR230W"	-1.106	1.278	-3.24	-4.541	-1.57	-1.442	-2.394	1.604
"YMR242C"	-2.14	2.345	-3.971	-6.226	-2.601	-3.133	-3.475	2.029
"YMR305C"	-1.501	1.439	-2.654	-4.237	-1.996	-3.198	-3.355	1.184
"YNL030W"	-0.913	1.453	-2.073	-4.092	-2.319	-1.83	-2.159	-0.275
"YNL096C"	-1.871	2.487	-4.038	-6.106	-3.644	-4.096	-4.68	2.416
"YNL119W"	-1.412	1.834	-5.354	-6.231	-2.822	-2.843	-3.318	2.478
"YNL178W"	-2.578	1.969	-4.338	-6.62	-2.958	-3.483	-3.871	2.094
"YNL189W"	-0.53	0.697	-2.367	-4.06	-2.058	-2.641	-3.084	0.424
"YNL301C"	-1.273	2.223	-5.123	-6.272	-2.652	-2.985	-3.448	2.767
"YOR095C"	-1.866	1.986	-2.7255	-4.37	-2.868	-3.333	-3.068	1.967
"YOR224C"	-1.367	1.091	-3.348	-4.849	-2.099	-2.615	-2.202	1.211
"YOR247W"	-1.874	2.179	-2.8065	-3.7675	-2.915	-3.371	-3.616	1.644
"YOR248W"	-1.646	1.878	-2.455	-3.649	-2.03	-3.131	-2.868	1.328
"YOR260W"	-0.287	0.925	-2.507	-4.639	-2.257	-2.577	-3.081	1.106
"YOR276W"	-1.392	0.832	-3.943	-4.3595	-1.759	-1.888	-2.356	0.983
"YOR293W"	-1.6	1.855	-2.7875	-4.496	-1.856	-2.041	-3.118	1.931
"YOR312C"	-1.633	1.659	-3.3005	-4.8175	-2.039	-1.569	-3.224	1.892
"YOR323C"	-0.816	1.629	-4.2845	-6.434	-2.742	-3.497	-3.428	1.739
"YOR369C"	-2.11	2.138	-3.724	-6.5475	-2.456	-2.662	-3.502	1.967
"YPL037C"	-0.961	1.278	-3.9955	-5.417	-2.115	-3.222	-3.654	1.099
"YPL079W"	-2.168	2.125	-3.892	-6.4765	-3.015	-3.498	-4.547	1.834
"YPL081W"	-0.98	2.658	-3.4025	-6.801	-2.789	-2.909	-3.725	2.276
"YPL090C"	-2.737	1.925	-4.364	-6.197	-3.292	-3.309	-4.719	2.457
"YPL142C"	-1.527	1.8475	-3.5865	-5.604	-2.148	-2.632	-2.979	1.267
"YPL183C"	-0.914	0.664	-4.1755	-3.957	-2.512	-2.745	-3.056	1.286
"YPL220W"	-2.333	1.9695	-3.187	-6.1465	-2.247	-2.571	-3.926	2.259
"YPL273W"	-1.622	1.41566666666667	-3.722	-5.69966666666667	-2.794	-3.21	-3.3575	1.535
"YPR033C"	-1.113	0.653	-4.8805	-7.94	-3.951	-4.382	-4.54	1.295
"YPR041W"	-0.8655	1.39933333333333	-2.36366666666667	-4.07266666666667	-1.805	-1.8775	-2.441	1.351
"YPR102C"	-1.866	2.3265	-4.045	-6.451	-3.352	-3.749	-4.692	2.333
"YPR114W"	-0.485	1.087	-2.9825	-3.903	-1.633	-1.738	-2.533	1.367
"YPR118W"	-0.791	0.503	-3.9965	-5.524	-2.882	-3.334	-3.538	1.03
"YPR132W"	-1.741	2.133	-3.1925	-5.805	-1.968	-2.388	-3.151	2.058
