	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"107.heat shock 10 min"	"108.heat shock 15 min"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1107.alpha factor release sample025"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"1673.alpha factor release sample021"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"12737.Nitrogen Depletion 2 d"	"12744.heat shock 17 to 37, 20 minutes"	"16338.DES460 vs. DES460 YPD log phase control"	"21632..24 mM H2O2- 250 minutes"	"21645..24 mM H2O2- 020 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"	"44524.first half PM prep, array 2"
"YBR298C"	0.101	0.198	2.049	2.229	1.153	1.067	4.291	2.182	1.778	1.367	1.689	1.758	-0.238	1.756	2.5875	1.686	1.8985	2.558	0.096	-0.356	-0.144	2.526	0.136	0.055	-0.107	0.011	-0.035	1.598	0.301	1.613	-0.279	-0.05	-0.633	2.325	2.033	2.718	1.901	1.485	1.344	0.794	2.312	-1.563	0.127
"YCL040W"	-0.445	0.259	4.831	5.519	5.207	5.214	4.499	4.476	3.079	4.747	2.387	2.984	-0.564	3.471	3.747	2.6125	2.614	2.987	0.193	-0.593	-0.177	1.693	-0.606	0.043	-0.405	-0.345	0.081	3.454	-0.5735	4.979	-0.317	NaN	NaN	3.517	2.938	4.137	3.593	2.812	3.932	3.684	3.569	0.212	0.841
"YCL054W"	0.132	-0.018	-3.412	-3.545	-3.741	-3.668	-3.386	-2.092	-2.133	-1.078	-0.941	-1.571	0.495	-2.121	-4.0705	-2.049	-2.2245	-2.4215	-0.088	0.245	-0.132	-1.667	-0.133	0.121	-0.6	0.269	0.128	-0.777	-1.086	-4.039	0.005	1.343	0.193	-2.945	-2.617	-3.761	-2.107	-2.043	-2.49	-2.753	-2.009	1.575	0.448
"YCLX02C"	0.495	0.269	-3.711	-4.024	-3.872	-3.655	-4.118	-2.592	-2.422	-1.69	-1.466	-1.998	0.421	-2.734	-3.098	-2.1245	-1.9175	-2.411	-0.097	0.049	-0.013	-1.72	0.389	0.0195	-0.219	0.112	0.097	-0.606	-1.188	-4.225	-0.414	1.55	-0.788	-2.749	-2.605	-3.541	-2.722	-1.445	-2.008	-1.5	-2.08	0.934	0.247
"YCR016W"	-0.179	0.149	-1.772	-2.622	-2.87	-2.734	-2.836	-1.258	-1.77	-1.495	-2.335	-2.204	0.332	-2.199	-2.648	-1.736	-2.093	-2.5995	-0.056	0.36	0.054	-1.254	0.246	-0.206	-0.203	0.573	0.247	-1.448	-0.56	-2.836	0.085	NaN	0.437	-2.712	-2.45	-3.082	-2.031	-1.588	-1.352	-0.698	-1.045	0.493	0.214
"YCR023C"	0.11	0.065	0.226	0.191	0.045	0.0	1.578	0.864	0.901	0.8	0.398	0.681	-0.018	-0.18	2.0905	0.719	1.4	1.375	0.098	0.257	0.268	1.336	-0.016	1.122	0.158	0.048	0.233	0.703	-0.852	0.126	0.218	0.066	-0.07	1.515	0.867	1.454	0.945	0.926	-0.56	-0.717	-0.481	0.384	0.088
"YCR091W"	-0.104	0.12	1.998	2.968	2.708	2.257	4.284	3.522	3.241	3.278	2.691	3.114	-0.246	3.306	3.084	2.685	2.345	2.5735	-0.049	-0.317	-0.198	1.465	-0.089	0.167	-0.345	0.534	0.129	1.384	0.7535	2.802	0.0	0.736	0.037	3.628	2.288	3.677	2.956	1.701	1.541	0.56	1.703	-0.008	0.195
"YDL021W"	0.176	-0.38	2.474	3.424	3.494	3.332	4.326	2.82	3.169	3.319	3.581	4.032	1.322	2.783	2.5845	2.6055	2.917	2.5455	-0.101	-0.163	0.008	1.755	-0.023	0.256	-0.429	0.075	-0.084	3.368	1.3935	4.177	0.136	0.683	-0.242	2.73	2.54	3.793	2.345	2.246	2.709	2.189	2.836	0.035	0.565
"YDL031W"	0.49	0.345	-2.218	-2.88	-2.805	-2.451	-2.5295	-1.061	-1.48	-0.963	-1.4395	-1.4865	-0.413	-2.234	-2.49	-1.401	-1.0975	-1.1425	0.019	0.126	0.621	-0.224	0.712	0.1475	-0.141	0.339	0.102	-0.955	-0.4375	-2.6385	-0.341	-0.3	0.663	-0.845	-1.181	-2.16	-0.888	-0.525	-1.517	-1.597	-1.356	0.352	0.091
"YDL204W"	0.106	-0.011	3.317	5.01	4.936	4.887	5.851	4.733	4.685	5.32	5.69	5.571	0.182	4.604	4.66	4.854	5.274	5.34	0.055	-0.328	1.063	3.477	-0.682	0.394	-0.141	0.042	-0.896	4.52	3.661	5.38	0.351	1.772	-0.021	5.526	4.943	5.864	4.642	3.788	2.638	2.347	3.209	-0.042	0.159
"YDR083W"	0.031	-0.167	-2.465	-2.781	-3.018	-3.242	-3.47	-2.724	-1.65	-1.598	-1.881	-1.928	0.185	-2.697	-2.436	-1.715	-1.355	-1.838	-0.056	0.209	0.19	-1.114	0.115	0.177	-0.375	-0.223	0.334	-1.597	-0.435	-3.386	0.054	-0.258	0.139	-1.488	-1.18	-2.713	-1.403	-1.129	-1.658	-1.563	-1.836	-0.028	0.431
"YDR120C"	0.317	0.19	-2.644	-3.186	-2.817	-2.359	-2.742	-1.641	-1.333	-1.011	-1.19	-1.472	0.226	-2.891	-2.023	-1.211	-1.239	-1.169	0.134	0.05	-0.273	-0.651	0.318	0.056	-0.397	0.254	0.122	-1.427	-0.695	-2.159	-0.19	-0.836	-0.365	-1.254	-0.98	-2.616	-1.963	-1.33	-1.253	-1.265	-0.932	0.727	0.763
"YDR178W"	-0.367	-0.418	2.331	2.489	2.655	3.122	4.036	4.991	4.84	4.165	3.532	3.684	0.177	2.667	3.646	3.21	3.039	2.416	-0.267	-0.098	-0.063	3.054	-0.311	0.016	0.074	0.157	-0.27	2.6955	0.233	2.656	-0.092	0.6	-0.2975	4.18	4.862	3.685	4.946	4.481	2.491	3.1	2.272	-0.694	0.024
"YDR184C"	-0.275	-0.295	-2.325	-3.745	-3.408	-2.671	-3.504	-1.845	-2.067	-1.607	-1.31	-1.491	0.032	-1.444	-3.243	-1.65	-1.259	-1.431	0.107	0.033	-0.145	0.507	0.152	0.004	-0.249	0.032	0.155	-1.3165	-0.145	-3.644	-0.0495	-0.7735	0.1335	-1.676	-1.481	-3.208	-1.663	-0.945	-1.365	-2.061	-1.479	-0.784	0.009
"YDR273W"	-0.225	-0.6155	0.0035	1.4655	0.822	0.092	1.197	1.166	0.938	1.4515	1.7595	1.578	0.174	0.322	0.8715	0.6715	0.769	1.293	-0.254	-1.3135	-0.515	1.0305	-0.1205	0.225	-0.1805	-0.046	-0.02	1.145	0.7075	0.1805	0.4385	0.0375	0.0935	0.877	0.807	0.4905	1.283	1.209	-1.124	-1.267	-0.6725	-0.1415	-0.846
"YDR312W"	0.101	0.003	-3.406	-3.237	-2.512	-2.345	-2.564	-1.147	-1.312	-0.536	-0.793	-1.364	0.324	-1.829	-2.515	-1.444	-1.492	-1.373	-0.002	0.069	-0.149	-0.519	0.403	0.281	-0.545	0.169	0.2	-1.091	0.115	-3.04	-0.051	0.228	-0.893	-1.874	-1.157	-2.572	-1.141	-0.295	-1.782	-1.521	-1.234	-1.031	-0.185
"YDR387C"	-0.353	-0.49	0.853	0.881	0.885	0.659	1.612	1.814	1.06	0.943	0.815	0.554	0.065	0.649	1.921	0.683	1.161	1.499	-0.041	0.206	0.346	1.127	0.373	0.1	0.002	-0.136	-0.05	0.709	0.258	0.987	-0.068	-0.278	0.024	1.339	0.718	1.736	1.384	1.093	-0.141	-0.18	-0.048	-0.22	-0.344
"YDR449C"	-0.123	-0.351	-2.181	-3.288	-2.891	-3.0	-6.037	-3.454	-2.969	-2.991	-2.208	-2.675	-0.193	-2.543	-3.29	-1.835	-2.032	-2.698	-0.112	-0.047	-0.115	-1.879	-0.085	0.026	0.016	-0.17	0.193	-1.891	-0.3	-3.019	0.056	0.758	-0.687	-2.548	-1.45	-3.477	-1.731	-1.637	-2.048	-2.655	-2.132	1.814	0.455
"YDR471W"	0.392	0.115	-1.257	-2.267	-3.206	-3.84	-3.952	-3.834	-3.394	-2.619	-2.514	-2.857	0.061	-3.144	-4.253	-2.034	-2.122	-2.633	0.178	0.431	0.2	-1.643	0.386	0.415	0.09	-0.108	0.114	-1.7695	-1.127	-3.29	0.099	-0.4115	0.35	-3.645	-2.464	-3.608	-3.311	-2.499	-1.386	-1.044	-1.775	1.587	0.769
"YDR475C"	-0.148	0.289	0.567	1.661	1.273	0.937	2.034	1.789	0.588	1.346	0.578	0.722	0.118	0.919	0.212	-0.255	0.274	-0.075	-0.366	-0.17	0.152	0.801	0.249	0.099	0.027	0.168	-0.195	0.426	-0.359	1.195	-1.079	1.16	0.172	0.679	0.704	1.446	0.636	0.088	-0.932	-2.452	-0.402	-0.772	-0.061
"YEL024W"	0.212	0.05	2.215	2.328	2.004	1.771	3.871	4.61	4.009	3.979	3.509	3.632	0.679	2.151	3.986	3.281	2.635	2.156	-0.003	0.175	0.37	2.753	-0.032	-0.042	0.363	-0.07	0.109	2.36	0.392	1.645	0.08	0.4	-0.7635	2.957	3.587	2.609	3.024	3.3	0.718	1.259	1.302	-0.443	-0.18
"YEL054C"	0.502	0.199	-1.125	-2.122	-1.907	-3.528	-3.654	-2.711	-2.761	-1.871	-1.511	-2.981	0.006	-3.039	-3.347	-2.336	-2.777	-2.579	0.369	0.26	0.22	-2.035	0.353	0.091	0.346	0.171	0.343	-2.202	-2.388	-3.251	-0.136	-0.2835	0.4885	-4.422	-2.487	-3.815	-2.936	-2.194	-1.071	-0.959	-1.931	0.569	0.536
"YER053C"	-0.099	-0.337	2.85	2.795	2.753	2.329	5.109	4.471	4.23	3.485	2.531	3.671	0.492	2.992	5.592	3.349	3.191	3.802	0.197	-0.161	0.46	3.065	-0.118	-0.595	0.076	0.264	-0.142	2.028	0.51	2.348	0.251	1.167	-0.019	4.334	3.745	4.803	3.805	3.368	2.459	2.187	2.375	-0.306	-0.831
"YER079W"	-0.662	-0.608	3.045	2.635	2.913	2.437	4.036	3.925	3.354	3.195	3.349	2.322	0.746	3.069	3.75	2.737	2.759	2.969	-0.155	-0.39	-0.588	2.328	-0.096	-0.126	0.181	0.088	-0.114	0.563	2.2	2.762	-0.526	0.424	-0.855	4.179	4.035	4.583	3.964	3.215	3.079	3.293	2.657	-1.305	-0.324
"YER141W"	0.134	0.029	1.19	1.943	2.227	2.026	3.443	2.871	2.489	2.122	1.709	2.686	0.215	1.202	3.192	1.925	2.102	1.894	-0.006	0.066	0.487	1.666	-0.04	0.068	-0.167	0.517	0.095	1.118	0.252	1.78	-0.3155	0.1205	-0.2135	2.233	1.521	2.726	1.877	1.854	1.518	1.083	1.899	0.561	-0.163
"YFL018C"	0.121	0.14	0.629	1.117	1.159	1.401	1.647	2.329	2.938	2.241	1.187	1.323	0.518	0.86	1.967	2.219	1.078	0.937	0.096	0.103	0.142	1.246	0.338	-0.173	-0.069	-0.202	-0.085	0.324	-0.686	0.902	0.034	-0.144	-0.4235	0.472	1.243	1.219	1.572	1.897	0.948	0.656	1.475	0.261	-0.276
"YFL051C"	-0.167	-0.293	1.107	2.08	1.069	0.284	3.756	2.745	2.422	2.121	2.253	1.462	0.239	2.23	1.514	1.019	-0.044	1.377	0.071	-0.397	-0.204	1.182	-0.057	0.087	-0.587	0.021	-0.27	0.8975	-0.407	1.642	0.224	0.585	-0.01	2.796	2.534	3.651	2.986	2.352	0.656	0.354	0.393	-1.672	-1.658
"YFL052W"	0.012	0.021	1.494	2.528	1.553	1.095	3.66	3.574	2.321	2.507	1.737	2.869	-0.306	2.883	2.623	1.78	1.86	1.094	-0.119	-1.036	-1.045	1.743	-0.04	0.321	-0.163	0.129	-0.123	0.3545	0.333	1.35	0.0095	0.3475	-0.109	2.829	2.845	3.724	2.936	2.316	-0.455	-2.03	-0.318	-1.807	-2.224
"YFR014C"	-0.079	0.232	1.968	2.121	2.23	1.756	3.37	2.231	2.562	2.286	2.257	1.277	0.253	2.178	2.067	1.696	1.853	1.688	-0.017	-0.585	-0.677	1.115	-0.276	-0.185	0.113	0.017	-0.197	0.9405	0.615	1.78	0.0525	0.177	-0.3195	2.37	2.128	3.16	1.658	1.65	1.818	0.934	1.566	0.509	-0.958
"YFR022W"	0.134	0.03	-0.749	0.497	0.766	0.504	1.714	1.574	1.259	1.336	1.23	2.024	0.037	0.554	1.151	0.579	1.175	1.96	0.032	-0.794	-0.817	1.081	0.171	0.029	-0.071	-0.219	0.398	0.556	-0.263	0.551	-0.2275	0.346	0.274	0.468	0.658	1.574	1.023	0.77	-1.18	-1.38	-1.319	0.381	-1.498
"YGL006W"	-0.095	0.05	1.312	1.4845	1.2495	0.8775	2.064	2.0155	2.1505	2.2445	1.879	2.057	0.301	1.402	2.137	1.681	1.4885	1.351	0.03	-0.095	0.089	1.787	-0.032	-0.1715	0.0465	-0.062	-0.1005	1.593	0.3355	0.371	-0.0255	0.2515	-0.5925	1.408	1.167	2.247	1.376	0.986	-0.141	0.257	0.03	0.253	-0.431
"YGL045W"	0.325	-0.028	1.275	0.876	0.947	1.0	2.279	2.144	1.125	1.084	1.946	0.823	0.518	1.695	2.361	0.977	1.666	2.111	-0.106	-0.215	-0.291	1.745	-0.024	0.127	-0.025	0.159	-0.199	1.175	1.553	1.452	-0.705	0.572	-0.184	1.691	1.647	1.671	2.582	1.28	1.359	1.274	1.274	-0.418	-0.784
"YGL104C"	-0.033	0.159	1.66	2.468	2.107	1.882	2.984	2.155	1.754	1.626	1.714	1.497	0.117	1.559	2.284	1.779	1.535	1.466	-0.112	-0.224	-0.429	0.611	0.053	0.422	0.001	-0.391	-0.139	1.127	0.242	2.33	0.221	0.266	0.047	0.548	0.209	1.442	0.712	-0.18	0.636	1.14	0.775	-0.361	0.322
"YGL171W"	0.11	-0.07	-3.422	-4.302	-3.818	-3.208	-5.822	-2.949	-2.078	-1.942	-1.611	-1.839	-0.277	-2.759	-3.704	-1.8	-1.731	-1.978	0.044	0.195	0.047	-0.442	0.145	0.01	-0.251	0.661	0.218	-1.315	-0.698	-3.658	0.009	-0.015	-0.307	-2.646	-2.402	-3.848	-2.304	-1.754	-1.819	-2.349	-1.616	-1.559	0.553
"YGR043C"	-0.091	-0.827	3.734	5.04	5.232	4.833	5.679	4.9	5.707	5.692	6.003	5.571	0.219	4.765	5.014	5.207	5.063	5.593	-0.215	-0.4	-1.345	3.122	-0.189	2.97	-0.403	0.372	-0.128	4.615	2.744	5.961	0.147	0.905	0.877	5.792	5.627	6.098	5.083	4.91	1.892	3.438	3.213	-1.455	0.12
"YGR088W"	0.139	0.055	5.667	6.373	5.213	6.038	6.03	3.589	5.131	5.593	6.165	5.734	-0.308	3.493	4.878	5.242	6.064	6.265	0.175	0.218	0.197	3.389	-0.251	0.242	-0.082	0.163	-0.755	4.381	3.584	6.94	-0.283	0.99	0.563	4.087	3.753	6.174	5.244	3.587	1.834	2.635	3.092	-0.751	-0.137
"YGR145W"	0.298	-0.036	-2.7705	-5.791	-3.7955	-3.4415	-4.245	-2.091	-1.808	-1.15	-1.077	-0.983	0.423	-2.214	-3.496	-2.143	-1.897	-1.466	0.019	0.08	-0.191	-1.115	0.311	0.034	-0.496	-0.3	0.206	-1.336	-1.233	-4.7725	-0.259	-1.561	0.3025	-2.313	-2.4	-4.009	-2.204	-1.849	-2.472	-2.433	-2.519	1.204	0.457
"YGR149W"	-0.399	-0.282	1.2625	2.1315	1.9705	1.8465	2.361	2.351	1.982	1.982	2.029	2.051	0.181	0.939	1.898	1.105	1.195	1.861	-0.011	-0.012	-0.05	1.688	-0.163	0.037	0.3225	0.125	0.332	1.341	0.227	2.1715	0.26	-0.225	-0.1135	1.554	1.159	1.906	1.3	0.816	1.347	0.905	1.351	0.815	-0.249
"YGR183C"	-0.167	0.045	1.1535	1.02	1.456	1.041	2.516	2.937	3.093	2.609	1.742	3.487	0.226	1.266	2.594	2.333	1.945	2.742	0.194	0.053	0.184	0.987	-0.005	-0.014	-0.015	-0.036	-0.191	1.505	0.294	1.352	0.112	0.33	-0.447	2.669	3.35	2.247	2.779	2.596	1.026	2.2	1.081	-0.045	-0.425
"YGR245C"	0.262	0.18	-2.6095	-5.097	-4.2355	-3.9115	-4.207	-2.765	-2.396	-1.545	-1.475	-2.045	0.349	-3.273	-3.164	-2.228	-2.367	-2.154	0.071	0.283	0.157	-1.078	0.278	-0.052	-0.3995	0.019	0.33	-1.263	-0.538	-4.6765	0.178	-0.398	-0.466	-2.292	-2.575	-3.415	-2.535	-1.342	-2.731	-2.457	-2.56	0.971	-0.548
"YGR272C"	0.202	0.006	-1.24	-2.097	-2.5195	-2.589	-3.298	-1.867	-2.526	-2.48	-1.406	-1.199	0.068	-1.797	-2.698	-1.828	-1.27	-1.921	0.11	0.12	0.092	-0.308	-0.01	0.136	-0.1065	-0.087	0.289	-0.972	0.186	-1.6415	-0.223	-0.713	-0.308	-0.698	-1.303	-1.888	-1.468	-1.135	-1.76	-2.355	-1.488	0.55	-0.546
"YHR052W"	-0.097	-0.115	-3.848	-4.2445	-4.3935	-3.9395	-4.199	-3.017	-2.239	-2.075	-2.236	-2.282	0.056	-2.565	-3.435	-2.249	-2.245	-2.297	-0.033	0.146	-0.008	-1.277	0.153	0.119	-0.271	0.279	0.14	-1.882	-0.685	-4.9395	0.025	-0.796	-0.307	-1.892	-3.411	-3.47	-2.114	-2.463	-2.249	-1.949	-2.227	1.076	-0.07
"YHR066W"	-0.105	0.07	-2.6315	-3.7505	-3.762	-3.552	-4.885	-2.062	-1.572	-1.589	-1.438	-1.792	0.114	-2.974	-2.742	-1.611	-1.41	-1.569	0.045	0.136	0.097	-0.612	0.218	0.466	-0.228	0.071	0.01	-1.372	0.18	-4.347	0.064	-1.227	-0.372	-1.623	-1.898	-2.382	-1.908	-1.368	-1.261	-2.157	-1.669	1.15	0.27
"YHR089C"	-0.195	-0.573	-3.2685	-4.5225	-4.938	-4.6915	-3.409	-3.231	-2.709	-2.468	-2.358	-2.702	0.302	-2.292	-4.426	-3.154	-3.217	-3.48	-0.106	-0.14	-0.217	-2.247	0.086	-0.45	-0.174	0.141	0.38	-2.189	-2.595	-4.9325	-0.458	-0.798	0.925	-2.523	-2.905	-3.956	-3.219	-2.005	-1.909	-1.913	-2.256	1.744	-0.448
"YHR140W"	-0.793	-0.865	1.692	2.763	2.5795	2.139	3.244	1.975	2.698	2.314	2.51	1.949	0.483	1.19	2.921	2.11	2.125	2.401	-0.78	-0.494	-0.333	1.033	-0.672	0.474	0.0165	0.159	-0.257	1.246	1.875	3.218	0.334	-0.241	-0.248	3.287	2.9	3.676	2.973	1.775	1.636	2.559	1.375	-1.159	-0.482
"YHR170W"	0.248	0.231	-3.765	-5.3995	-4.723	-3.947	-4.51	-1.901	-2.071	-1.573	-1.404	-2.063	-0.218	-2.759	-2.314	-1.433	-2.149	-1.819	-0.027	0.154	0.418	-0.652	0.294	0.037	-0.1305	0.245	0.296	-1.761	-1.032	-5.252	-0.057	-0.803	-0.095	-3.186	-2.544	-3.601	-2.58	-2.061	-2.287	-1.783	-1.833	0.04	0.531
"YIL050W"	0.122	-0.323	1.2435	1.301	0.9745	0.661	2.153	2.217	1.889	1.231	1.058	0.55	0.436	0.524	3.423	2.131	2.11	2.186	-0.133	0.384	0.192	0.783	0.06	-0.365	-0.08	0.4	-0.346	0.723	1.567	0.7665	0.187	0.133	-0.002	2.585	2.404	2.855	2.481	1.528	1.392	1.531	1.167	-0.879	0.183
"YJL148W"	-0.188	0.03	-3.4665	-2.7525	-3.2015	-2.403	-3.572	-2.334	-2.266	-1.974	-2.226	-1.709	0.209	-3.006	-3.662	-2.646	-2.572	-2.639	-0.205	0.153	-0.001	-2.066	-0.054	-0.06	-0.2685	-0.208	0.464	-1.839	-0.88	-2.967	-0.22	-1.188	0.649	-3.568	-2.484	-3.944	-2.823	-2.113	-2.545	-2.245	-2.044	0.717	0.356
"YJL166W"	0.076	-0.045	1.8145	1.501	2.2645	1.883	3.137	3.667	3.5	3.101	2.498	3.751	0.208	2.57	3.028	2.833	2.507	2.963	0.096	0.005	-0.24	1.383	0.146	0.021	0.3455	0.147	-0.13	1.113	0.837	2.077	-0.277	0.149	-0.07	4.107	3.65	2.806	3.428	3.524	0.981	0.984	0.693	0.17	0.636
"YJR063W"	-0.3	-0.173	-2.0025	-2.675	-2.555	-2.2705	-3.233	-2.702	-2.518	-2.034	-2.513	-2.698	-0.12	-1.586	-2.236	-1.596	-1.698	-1.726	-0.089	0.084	-0.358	-1.721	0.015	0.019	-0.4275	0.396	0.146	-1.026	-1.649	-3.415	0.243	-0.632	0.15	-1.51	-1.289	-2.958	-2.455	-1.224	-1.445	-1.552	-1.768	0.235	0.16
"YJR070C"	-0.291	-0.443	-3.0685	-4.6905	-4.828	-4.332	-5.317	-3.975	-3.514	-3.056	-2.526	-3.68	0.066	-3.471	-2.102	-1.698	-1.543	-1.829	0.112	0.257	0.238	-1.045	0.101	-0.067	0.1045	-0.414	0.133	-2.575	-0.286	-4.7655	-0.72	-1.183	0.066	-3.069	-2.355	-3.754	-3.104	-2.692	-1.64	-2.535	-2.011	0.765	1.042
