	"584.17 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"991.constant 0.32 mM H2O2 (120 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1251.mec1_plus_gamma_20_min"	"1252.mec1_plus_gamma_30_min"	"1253.mec1_plus_gamma_45_min"	"2556.Hypo-osmotic shock - 45 minutes"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"6344.DES460 + 0.02% MMS - 5 min"	"7535.25C -- 15 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"13062.wt/crz1 Ca 15min (2)"	"14711.Ca 5min (1)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34350.wt_hypo_osmotic_shock_30min"	"38156.03II01 batch p12"	"42370.CC PU 3B Phosphate-Uracil Chemostat Comparison"
"YGL008C"	-0.251	0.579	-2.727	-1.377	-4.675	-3.936	-1.603	-2.171	0.421	-3.268	-0.784	-1.748	-2.348	-4.203	-4.969	-4.679	-0.536	-0.366	0.262	0.36	-0.541	0.121	0.478	-1.503	-2.154	-3.01	-3.331	-0.462	-1.73	-4.061	-2.876	-2.399	-2.554	-2.698	-1.272	1.123	1.082	0.916
"YGR185C"	-0.772	0.691	-3.192	-1.697	-5.306	-6.361	-1.736	-2.6	-0.276	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	0.111	0.501	0.085	0.46	0.193	0.0675	0.323	-2.21	-2.316	-2.459	-2.363	0.142	-0.182	-3.17	-2.768	-2.136	-2.136	-2.312	-2.205	0.39	1.192	-0.415
"YGR285C"	-0.88	0.764	-3.959	-2.444	-4.078	-6.1	-1.332	-1.877	-0.482	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	-0.445	0.038	-0.17	0.704	0.045	-0.0025	1.225	-2.035	-2.466	-2.483	-3.514	0.158	-0.505	-2.948	-2.607	-1.583	-2.323	-2.554	-1.851	0.266	1.169	0.079
"YHR064C"	-0.558	0.778	-4.543	-2.196	-3.329	-5.238	-2.229	-2.559	-0.089	-2.977	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	-0.313	0.149	0.018	0.719	-0.034	-0.0065	0.472	-2.303	-1.252	-2.419	-2.332	0.016	-0.295	-2.793	-2.097	-1.183	-2.415	-2.781	-1.789	0.7	0.883	0.293
"YHR068W"	-0.333	0.941	-3.316	-2.566	-4.28	-6.532	-2.52	-2.526	-0.262	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	-0.361	-0.081	-0.146	0.132	0.194	-0.0565	0.314	-2.522	-2.438	-2.761	-2.475	0.18	-0.341	-2.437	-2.467	-0.487	-2.406	-2.362	-1.8	0.392	0.349	-0.535
"YLR060W"	-0.895	0.614	-3.165	-2.617	-4.941	-5.967	-1.988	-2.672	-0.373	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	0.255	0.236	0.159	0.199	0.185	0.076	-0.706	-1.72	-1.77	-1.452	-2.018	-0.025	-0.634	-2.734	-2.666	-1.403	-2.64	-2.996	-2.646	-0.144	0.409	-0.726
"YLR183C"	-0.785	0.457	-3.26	-2.307	-3.664	-3.782	-1.595	-1.418	-0.2	-2.966	-1.069	-1.133	-1.434	-1.791	-3.695	-3.132	-0.95	-1.033	-1.271	0.164	-0.374	-0.089	-1.319	-3.098	-1.596	-1.031	-1.531	1.075	-1.369	-1.962	-2.055	-2.425	-3.342	-2.647	-1.395	0.366	0.168	-0.576
"YLR293C"	-0.42	0.877	-3.594	-2.185	-3.488	-6.281	-1.751	-2.233	0.122	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	-0.956	-0.048	-0.31	0.315	-0.569	0.168	0.519	-1.553	-1.559	-1.887	-1.39	0.187	-0.574	-3.113	-2.525	-1.847	-2.822	-2.422	-1.899	0.531	1.29	0.143
"YLR300W"	-0.338	0.592	-2.167	-1.662	-2.944	-2.662	-1.779	-2.642	0.234	-1.818	0.538	0.64	-1.269	-2.287	-3.195	-3.99	-0.635	-0.57	-0.28	-0.466	0.059	0.135	-0.418	-1.14	-1.852	-1.957	-2.075	0.603	-1.458	-2.554	-1.838	-0.615	-1.974	-2.178	-1.488	0.647	0.805	0.771
"YLR345W"	-0.976	-1.311	3.284	2.557	4.453	2.744	1.773	1.801	0.292	2.784	2.404	2.672	2.873	4.165	4.077	3.495	-0.171	-0.218	-0.399	-0.622	0.108	0.9	-0.541	1.39	1.549	1.377	1.632	0.389	1.91	3.184	2.929	2.177	2.961	2.519	2.651	0.693	0.122	-0.656
"YMR114C"	-0.419	-0.848	2.727	2.543	4.1	4.572	2.582	2.58	0.289	1.821	1.024	2.032	2.343	3.614	3.555	3.502	0.226	-0.022	-0.061	-0.413	-0.13	-0.008	-0.814	1.207	1.404	1.851	1.502	0.352	0.586	2.623	2.896	2.416	2.454	2.753	2.047	-0.35	-1.297	-0.098
"YNL247W"	-0.686	0.698	-2.799	-1.535	-3.191	-4.64	-2.065	-2.13	-0.263	-2.936	-1.062	-1.899	-2.277	-2.658	-3.388	-2.515	0.218	0.329	0.128	0.518	0.073	-0.394	0.786	-1.822	-2.534	-2.379	-3.057	0.074	-1.29	-3.771	-2.246	-1.56	-2.994	-2.147	-1.583	0.192	0.798	-0.289
"YPL160W"	-0.792	0.598	-3.26033333333333	-2.28466666666667	-3.08233333333333	-5.284	-2.35066666666667	-2.11133333333333	-0.015	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	0.2335	0.4205	0.3825	0.7685	0.371	0.0565	1.0285	-2.4615	-2.584	-2.827	-2.7275	-0.27	-0.81	-3.477	-2.958	-2.059	-3.512	-2.719	-2.2345	0.1265	0.2765	-0.764
