	"40.alpha factor release sample029"	"50.Elutriation2:Sample2:Time0.5hrs"	"497.Heat Shock 000 minutes"	"585.21 deg growth"	"597.25 deg growth"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"40972.MD_II_85_min"	"40976.MD_II_140_min"
"YDR023W"	-0.21	-0.117	0.322	0.2	0.14	1.176	0.568	-2.077	-2.907	-5.745	0.385	-1.288	-1.813	-1.696	-3.05	-1.553	-2.313	-3.056	-3.357	-3.85	0.047	0.466	0.446	0.317	-2.091	-1.368	-1.932
"YDR025W"	0.292	0.15	0.692	-0.212	-0.137	-1.0	1.014	-2.705	-3.393	-6.697	0.399	-3.357	-3.471	-3.326	-4.504	-1.915	-2.886	-2.503	-2.895	-3.518	0.181	0.304	0.906	0.298	-1.7675	-2.258	-2.068
"YDR037W"	-0.589	0.074	0.71	-0.054	-0.046	-1.231	0.672	-3.458	-4.551	-5.224	0.069	-3.226	-2.756	-2.42	-1.971	-2.681	-2.313	-2.916	-3.368	-3.772	0.157	0.238	0.787	-0.025	-2.523	-1.423	-1.744
"YDR050C"	0.109	0.346	0.642	-0.368	-0.201	-0.535	0.546	0.402	-1.84	-5.94	0.462	-0.935	-2.158	-2.14	-1.551	-0.162	-0.284	-2.206	-2.643	-3.307	0.223	0.205	0.87	0.697	-0.971	-0.873	-1.449
"YDR071C"	0.197	0.08	0.498	0.582	0.495	-0.191	0.462	-1.492	-2.459	-4.374	0.225	-0.239	-0.581	-0.861	-0.965	-0.696	-0.953	-1.937	-3.125	-2.557	0.182	0.317	0.432	0.207	-1.47	-1.847	-2.091
"YDR346C"	0.22	-0.311	1.09	0.451	0.586	-0.377	1.007	-0.942	-1.1	-3.219	0.18	-1.249	-1.177	-1.513	-1.479	-1.737	-1.449	-1.944	-2.195	-3.021	-0.2	0.397	0.518	0.154	-1.53	-1.208	-1.733
"YDR382W"	0.496	0.712	1.065	0.207	0.353	-1.258	1.111	-1.546	-2.459	-5.686	-0.35	-1.95	-2.776	-2.394	-4.02	-2.897	-2.877	-2.565	-3.137	-3.471	0.211	0.683	1.277	0.613	-1.905	-1.671	-2.838
"YEL054C"	0.434	0.743	1.093	0.336	0.466	-0.77	1.203	-2.981	-2.98	-7.056	0.287	-3.039	-3.003	-2.232	-3.347	-2.777	-2.579	-2.504	-3.005	-3.554	0.369	0.362	1.382	0.343	-2.202	-1.4465	-1.677
"YFL022C"	-0.144	0.193	0.493	-0.039	0.022	-0.627	0.828	-1.042	-2.926	-4.867	0.304	-2.031	-2.417	-2.244	-0.894	-1.011	-0.75	-0.494	-1.794	-1.707	-0.07	0.357	0.64	0.03	-0.401	0.4025	0.1465
"YFR002W"	-0.214	0.663	0.455	0.297	0.39	-0.142	0.35	-0.567	-1.995	-7.825	0.153	-0.763	-0.818	-0.976	-1.099	-0.587	-0.567	-1.556	-2.295	-2.746	-0.091	0.332	0.543	-0.069	-0.007	1.559	0.8275
"YGL245W"	0.352	-0.106	0.521	-0.275	-0.272	-1.136	0.55	-2.145	-4.799	-6.655	0.313	-1.774	-1.699	-2.088	-1.847	-1.589	-2.121	-3.552	-4.345	-4.779	0.065	0.071	0.595	0.039	-1.658	-0.188	-1.947
"YGR148C"	0.602	-0.07	1.076	0.421	0.399	-0.934	0.859	-2.615	-3.884	-5.757	0.237	-3.141	-2.956	-2.722	-5.063	-2.508	-2.896	-3.022	-3.649	-4.092	0.127	0.436	0.917	0.527	-2.7095	-1.4095	-1.9535
"YGR162W"	-0.18	0.474	0.871	0.249	0.219	-0.7935	0.8005	-1.532	-0.459	-3.2845	-0.0805	-1.906	-1.469	-1.3815	-1.6895	-1.1185	-1.5615	-1.4775	-1.614	-1.8905	0.257	0.33	0.4005	0.0375	-1.539	-1.53633333333333	-1.56033333333333
"YGR185C"	-0.578	0.116	0.667	-0.109	-0.072	-0.665	0.691	-2.168	-5.306	-6.361	0.248	-1.442	-2.6	-2.266	-2.754	-2.531	-2.944	-4.576	-4.871	-5.006	-0.005	0.387	0.864	-0.156	-2.438	-1.257	-1.672
"YGR261C"	0.1	-0.092	0.1	0.002	0.064	-0.663	0.168	-1.464	-2.682	-3.233	0.235	-0.875	-1.189	-1.363	-0.811	-1.125	-0.876	-1.657	-2.505	-2.45	0.132	0.012	-0.117	0.085	-1.102	-0.509	-0.78
"YHR019C"	0.238	-0.441	1.111	-0.055	0.12	-1.258	0.875	-2.048	-4.051	-5.077	0.252	-3.299	-2.664	-2.76	-2.07	-2.109	-2.06	-3.117	-3.721	-4.387	0.046	0.394	0.567	0.141	-1.834	-1.875	-2.063
"YHR064C"	-0.267	-0.622	0.709	-0.065	0.042	-1.126	0.778	-1.712	-3.329	-5.238	0.33	-3.074	-2.559	-0.22	-2.977	-1.754	-2.25	-2.957	-3.678	-3.675	-0.017	0.677	0.687	-0.324	-2.056	-0.81	-1.461
"YHR201C"	0.136	0.266	0.563	0.075	0.026	-1.351	0.454	-1.721	-1.811	-4.155	-0.15	-0.686	-1.009	-1.505	-0.817	-1.193	-1.428	-1.103	-1.632	-2.134	-0.078	-0.169	0.074	0.052	-1.989	-0.602	-2.003
"YIL078W"	0.138	-0.452	0.897	0.168	0.155	-1.288	0.771	-1.911	-5.192	-6.059	0.042	-2.282	-2.5	-2.462	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	-0.017	0.213	0.344	0.306	-2.348	-1.035	-2.433
"YJL014W"	-0.281	-0.17	0.698	0.287	0.324	-1.0	0.557	-1.383	-2.624	-3.962	0.214	-1.585	-1.425	-1.317	-1.546	-1.558	-1.58	-2.252	-3.068	-2.866	0.122	0.072	0.636	0.298	-1.31	-1.337	-1.201
"YJL157C"	-0.29	-0.178	0.926	0.207	0.065	-0.778	0.861	-0.962	-3.548	-7.731	-0.328	-2.404	-2.54	-2.599	-0.111	-1.008	-2.535	-3.198	-3.396	-3.219	-0.456	0.15	0.534	0.218	-1.339	-1.831	-2.44
"YJR007W"	-0.047	-0.305	1.053	0.313	0.256	-0.919	0.742	-2.662	-3.21	-8.057	0.423	-1.588	-1.824	-1.91	-1.755	-1.848	-2.051	-2.909	-3.009	-3.616	0.148	0.493	0.728	0.103	-1.685	-1.932	-1.528
"YJR123W"	0.549	0.164	1.3	0.262	0.117	-1.858	1.246	-3.124	-4.381	-9.147	0.169	-3.809	-3.442	-3.646	-4.282	-2.391	-2.635	-2.639	-3.543	-4.006	0.248	0.329	1.02	0.803	-2.153	-3.08	-2.851
"YLR043C"	0.276	0.445	0.439	-0.09	-0.157	-0.351	0.741	-0.666	-2.278	-4.337	-0.027	-0.228	-1.648	-1.81	-0.451	-0.434	-0.671	-1.762	-1.786	-1.552	-0.106	-0.016	0.2	0.322	-0.831	-1.284	-0.844
"YLR060W"	0.214	-0.155	0.836	-0.117	-0.081	-1.157	0.614	-2.849	-4.941	-5.967	0.39	-2.093	-2.672	-2.566	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	-0.01	0.331	0.663	0.376	-2.464	-1.265	-1.071
"YLR061W"	0.472	0.177	1.1	-0.005	-0.098	-1.105	1.127	-3.127	-4.939	-6.591	0.373	-3.239	-3.021	-3.058	-4.326	-2.433	-2.88	-3.309	-3.833	-3.91	0.01	0.478	1.066	0.509	-2.482	-2.564	-2.199
"YLR065C"	0.36	0.272	0.201	-0.042	-0.278	-0.71	0.502	-1.341	-1.93	-3.028	-0.078	-1.082	-1.411	-1.516	-1.44	-1.07	-1.137	-1.477	-1.554	-1.642	0.274	0.22	0.415	0.24	-0.712	-1.215	-1.027
"YLR083C"	0.017	-0.781	0.768	-0.1	0.064	-0.926	0.765	-2.216	-3.767	-5.137	-0.258	-2.718	-0.41	-0.858	-3.208	-2.031	-2.545	-2.29	-3.88	-3.36	-0.167	0.321	0.707	0.635	-2.297	-2.069	-2.861
"YLR293C"	0.242	-0.218	0.886	-0.044	-0.044	-1.282	0.877	-2.675	-3.488	-6.281	0.162	-2.107	-2.233	-2.661	-2.473	-1.45	-2.158	-2.379	-3.03	-3.186	0.285	0.239	0.637	-0.145	-2.235	-0.913	-1.731
"YLR367W"	0.465	-0.107	0.942	0.336	0.23	-1.128	0.906	-3.463	-2.78	-6.716	0.227	-3.055	-2.335	-1.174	-3.649	-2.591	-2.935	-2.165	-2.476	-3.007	0.2055	0.204	1.035	0.744	-1.95	-2.172	-1.363
"YMR183C"	0.173	0.382	0.603	0.275	0.301	-0.035	0.582	-0.575	-2.084	-4.412	-0.095	-0.754	-1.237	-0.982	-0.997	-0.806	-0.781	-0.924	-1.875	-1.014	-0.396	0.331	0.386	0.031	-0.855	-0.96	-0.638
"YMR235C"	0.242	0.022	0.788	0.081	0.266	-1.348	0.731	-1.785	-3.534	-5.187	0.321	-1.622	-1.879	-2.052	-1.679	-2.046	-2.046	-2.838	-3.21	-3.756	0.037	0.41	0.428	0.226	-1.782	-1.062	-1.292
"YNL009W"	-0.041	0.728	-0.415	-0.371	0.143	1.032	-0.474	2.976	3.672	5.794	-0.058	2.636	2.771	2.567	2.794	2.625	2.456	4.699	4.803	3.897	-0.595	-0.196	-1.459	-0.008	2.142	1.147	-2.089
"YNR003C"	-0.013	-0.278	0.897	0.173	0.039	-0.36	0.848	-1.115	-1.9265	-4.7665	-0.037	-1.467	-1.4095	-1.0405	-0.858	-1.192	-0.964	-0.868	-2.082	-1.732	-0.072	-0.049	0.5365	-0.008	-1.089	-1.129	-1.788
"YNR043W"	0.324	0.309	0.34	-0.356	-0.271	-1.019	0.308	-2.628	-2.934	-5.1565	-0.11	-2.5105	-1.949	-1.8335	-1.36	-2.078	-2.382	-2.655	-3.803	-3.856	0.223	0.186	0.4865	0.007	-1.878	-1.433	-1.211
"YOR241W"	-0.017	-0.564	0.3	-0.135	-0.231	-0.322	0.171	-1.237	-2.668	-6.523	0.269	-1.27	-1.0865	-1.725	-1.509	-1.077	-1.0	-1.779	-2.794	-2.058	-0.07	0.304	0.2955	0.145	-0.758	-1.739	-1.092
"YOR323C"	-0.062	-0.104	0.575	-0.567	-0.566	-0.775	0.361	-2.0305	-4.2845	-6.434	0.256	-1.9425	-2.106	-2.053	-1.211	-1.557	-1.382	-2.742	-3.497	-3.428	0.024	-0.0245	0.5905	-0.091	-1.603	-1.908	-0.853
"YPL037C"	0.351	0.41	0.835	0.278	0.303	-0.462	0.69	-2.12	-3.9955	-5.417	-0.065	-1.813	-2.148	-1.96	-2.203	-1.561	-1.872	-2.115	-3.222	-3.654	0.064	0.3735	0.9945	0.411	-1.648	-2.08	-1.442
"YPL226W"	0.407	-0.4205	0.7565	0.264	0.113333333333333	-1.114	0.906666666666667	-2.21533333333333	-3.95033333333333	-5.67966666666667	0.252333333333333	-3.37333333333333	-2.786	-2.922	-4.0095	-2.3985	-2.8955	-3.407	-2.9025	-3.983	0.1885	0.373	0.789333333333333	0.402	-1.7375	-1.733	-2.153
"YPR041W"	0.122	0.3845	0.9545	0.318333333333333	0.245333333333333	-1.193	0.966	-1.48733333333333	-2.36366666666667	-4.07266666666667	0.419	-2.403	-2.41033333333333	-2.291	-1.646	-1.658	-1.0965	-1.805	-1.8775	-2.441	0.17	0.484333333333333	0.863	0.175	-1.977	-1.5535	-1.7515
"YPR118W"	0.476	-0.152	1.07	-0.00149999999999999	0.152	-0.94	0.7795	-3.095	-3.9965	-5.524	0.2785	-2.525	-2.305	-2.577	-1.735	-2.594	-2.077	-2.882	-3.334	-3.538	0.092	0.33	0.5705	0.349	-1.794	-2.954	-2.679
"YPR163C"	0.077	0.157	1.032	0.263	0.418	-1.144	1.048	-0.93	-2.9485	-5.4905	-0.298	-2.5635	-2.6395	-2.0525	-3.136	-2.05	-2.325	-2.642	-2.895	-2.82	-0.189	0.4825	0.7575	0.268	-2.145	-1.598	-2.771
