	"39.alpha factor release sample027"	"686.YP ethanol vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1105.alpha factor release sample023"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1310.diauxic shift timecourse: 9.5 hr"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"8286.mcm1-1 +pRS-MCM7 vs. wild type + pRS-MCM7"	"11466.yO1 test hyb"	"14731.Mount Saint Mary's College, MD: hst3 hst4  v. wt"	"32622.S1Comp 05 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"40956.H2O2_II_100_min"
"YMR321C"	0.589	-1.575	-2.201	-2.459	-2.138	-2.55	-2.298	-3.288	-3.811	-1.013	-0.348	-2.632	-2.309	-2.22	-2.53	-2.252	-1.913	-2.8	-2.409	-2.567	-2.424	0.441	0.6	0.041	-0.165	-0.435	-2.3015	-0.4355	-0.226	-0.465	-0.76	-2.47	-1.072	-0.835	-1.214	-0.752	-1.521	-2.044	-1.506	-2.546	-0.057	-0.714
"YNL010W"	0.012	-1.069	-1.718	-1.834	-2.229	-1.703	-2.892	-1.296	-4.52	-0.372	-0.087	-1.758	-1.467	-1.922	-2.057	-1.705	-1.834	-1.936	-2.483	-2.738	-3.396	-0.027	-0.46	0.112	-0.544	0.094	-1.9585	-1.417	0.081	-0.838	-2.213	-1.559	-1.596	-1.765	-1.355	-1.657	-0.677	-0.83	-0.608	-1.75	-0.803	-1.245
"YNL123W"	-0.269	-0.874	NaN	-3.908	-3.75	-2.231	-2.448	-4.576	-4.562	-0.331	-0.198	-3.403	-2.304	-3.944	-3.836	-2.133	-1.355	-1.381	-2.896	-2.858	1.907	-0.122	0.051	-0.118	-0.161	-0.099	-1.2725	-1.375	-0.134	-1.51	-1.843	-2.027	-2.337	-1.702	-3.136	-1.749	-1.876	-1.838	-1.059	-1.619	-0.959	-0.384
"YNR043W"	0.334	-1.019	-3.5005	-1.8155	-1.574	-1.86	-2.628	-2.934	-5.1565	-0.4085	-0.338	-2.5105	-1.9175	-1.949	-1.8335	-1.36	-2.078	-2.382	-2.655	-3.803	-3.856	0.347	1.241	0.009	-0.798	-0.755	-1.878	-1.591	0.176	-0.823	-1.736	-1.001	-1.494	-1.456	-2.09	-2.016	-1.955	-1.673	-1.696	-2.285	-1.715	-0.437
"YOL097C"	0.176	-1.34	-4.26	0.1345	-2.906	-0.4555	-2.768	-0.491	-6.314	-0.09	-0.463	-2.427	-2.464	-0.2345	-1.513	-3.246	-2.609	-2.685	-3.398	-4.044	-4.151	0.274	0.926	0.342	-0.632	-0.361	-1.735	0.351	0.381	-2.601	-2.452	-3.599	-2.957	-2.921	-2.787	-2.608	-2.945	-3.051	-2.335	-2.523	-2.982	-0.455
"YOR232W"	0.038	-0.398	-0.035	-0.6385	-1.4585	-1.791	-1.397	-1.6365	-2.046	-0.045	0.171	-0.606	-0.5265	-1.5795	-1.436	-0.679	-1.406	-1.348	-1.334	-1.039	-1.303	-0.086	0.561	0.272	-0.147	0.159	-0.664	-1.138	0.222	-1.626	-2.091	-2.182	-1.725	-1.853	-1.824	-1.073	-1.238	-1.044	-0.71	-1.094	-0.645	-0.092
"YOR254C"	-0.188	-1.067	-2.6515	-1.5795	-1.406	-1.671	-1.5485	-2.192	-6.426	-0.6305	0.0535	-2.053	-1.8245	-2.018	-1.4845	-2.631	-1.904	-1.86	-2.354	-2.689	-2.309	-0.143	-0.145	0.057	-0.846	0.089	-1.174	-1.496	-0.935	-2.398	-2.867	-3.196	-2.86	-2.436	-2.896	-2.216	-2.254	-2.212	-1.537	-2.314	-1.872	-0.516
"YOR260W"	-0.142	-0.503	-2.6835	-1.6535	-1.432	-1.6735	-1.833	-2.507	-4.639	-0.1875	0.0145	-2.1155	-1.8705	-1.6575	3.0405	-1.898	-1.513	-1.624	-2.257	-2.577	-3.081	0.134	0.588	0.345	-0.735	-0.522	-1.54	-0.871	-0.532	-1.538	-1.792	-2.218	-2.159	-1.35	-2.125	-1.582	-1.909	-1.944	-1.556	-2.111	-1.795	-1.065
"YOR272W"	-0.416	-0.572	-4.8145	-2.3895	-1.5575	-1.682	-1.968	-3.353	-4.712	-0.7375	-0.539	-3.033	-2.763	-1.779	-1.376	-3.311	-2.312	-2.009	-3.017	-3.307	-4.52	-0.325	0.181	-0.104	0.199	-0.287	-1.264	-1.82	-0.404	-1.85	-2.185	-3.162	-3.316	-3.358	-3.054	-3.168	-2.332	-2.158	-2.423	-1.282	-1.563	-1.12
"YOR309C"	0.232	-1.663	-6.798	-4.4185	-4.227	-3.75	-3.942	-4.234	-6.859	-0.975	-0.195	-3.709	-3.9105	-3.8235	-2.194	-5.839	-3.704	-4.353	-4.746	-5.449	-5.009	-0.023	0.387	0.297	0.686	-0.43	-3.451	-1.662	0.224	-2.996	-2.499	-4.498	-4.059	-1.709	-3.062	-3.667	-3.28	-3.518	-2.477	-3.672	-2.359	-0.63
"YOR326W"	0.333	-0.926	-2.4275	-1.798	-1.475	-1.329	-1.6295	-3.4635	-4.9875	0.5605	-0.1285	-1.3825	-1.3315	-2.6115	-1.9335	-2.219	-1.82	-2.099	-3.585	-3.591	-2.795	-0.151	0.26	0.016	0.003	-0.129	-1.467	-0.971	-0.612	-1.593	-1.984	-1.925	-2.788	-2.392	-2.817	-2.239	-1.568	-1.215	-0.751	-1.621	-1.301	-0.051
"YPL160W"	0.0835	-1.226	-3.26033333333333	-2.28466666666667	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-0.125	-0.921	-2.22666666666667	-2.35066666666667	-2.11133333333333	-1.59566666666667	-4.0365	-2.449	-2.824	-3.1695	-3.499	-2.977	0.1235	0.759	0.156	-0.617	-0.945	-1.8045	-1.3945	-0.048	-1.912	-2.124	-2.5015	-1.7655	-2.1145	-2.096	-1.5875	-2.958	-2.719	-2.2345	-2.589	-1.34	-0.7925
"YPL226W"	0.35	-1.114	-4.86566666666667	-3.38066666666667	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-0.600333333333333	-0.392333333333333	-3.37333333333333	-2.503	-2.786	-2.922	-4.0095	-2.3985	-2.8955	-3.407	-2.9025	-3.983	0.332	-0.146	0.122	-0.575	-0.482	-1.7375	-1.1415	0.078	-1.435	-1.494	-1.972	-2.334	-0.68	-3.266	-1.655	-3.519	-3.004	-2.748	-2.36	-1.244	-0.711
"YPL235W"	0.093	-0.756	-0.842666666666667	-1.108	-1.09866666666667	-0.984666666666667	-1.85166666666667	-0.762333333333333	-3.62066666666667	-0.252	-0.212666666666667	-0.891333333333333	-0.818666666666667	-1.12333333333333	-1.50333333333333	-1.209	-1.0275	-1.3	-1.5825	-1.8145	-2.0025	0.05	0.496	0.19	0.124	-0.117	-0.9125	-1.073	0.2605	-0.6025	-1.425	-1.209	-1.4265	-1.1775	-1.212	-1.0665	-1.209	-0.9255	-0.826	-0.8725	-0.071	-0.145
"YPL237W"	0.371	-0.439	-2.6285	-1.9335	-2.3465	-2.029	-2.27	-2.875	-5.7585	-0.344	0.257	-1.791	-1.39	-1.8945	-2.2035	-2.288	-1.817	-1.927	-2.006	-2.44	-3.024	0.129	0.417	0.177	0.038	-0.294	-1.537	-2.511	-0.513	-1.448	-2.465	-1.988	-2.25	-1.95	-1.975	-0.581	-1.966	-1.455	-1.555	-1.695	-1.748	0.048
"YPL238C"	-0.011	-0.296	-1.898	-1.7665	-1.85	-1.744	-1.544	-2.431	-4.788	-0.2765	0.341	-1.551	-1.391	-0.8025	-1.4665	-2.451	-2.037	-1.989	-1.843	-2.517	-2.586	-0.157	0.111	0.065	-0.6	-0.042	-2.063	-3.049	-0.798	-1.993	-2.424	-0.905	-1.181	-2.323	-1.52	-1.829	-1.597	-1.135	-1.303	-1.766	-1.266	-0.62
"YPL273W"	0.325	-1.52	-3.42133333333333	-2.60833333333333	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-1.131	-0.313666666666667	-2.94366666666667	-2.86466666666667	-2.69266666666667	-2.72566666666667	-2.8035	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.278	0.743	0.326	-0.585	-0.002	-2.628	-1.336	-0.181	-0.272	-2.406	-2.523	-1.132	-1.424	-2.29	-1.428	-1.961	-2.524	-2.277	-3.204	0.113	-1.827
"YPR033C"	0.049	-0.59	-2.7945	-1.8465	-1.908	-2.534	-2.142	-4.8805	-7.94	-0.032	-0.535	-2.32	-2.0735	-2.759	-2.6225	-2.203	-2.096	-2.55	-3.951	-4.382	-4.54	-0.003	0.71	0.093	0.003	-1.169	-2.107	-0.593	-0.205	-1.4505	-1.478	-1.7485	-1.877	-2.2955	-2.43	-2.3255	-2.033	-1.9695	-1.4105	-2.053	-1.4975	0.068
"YPR060C"	0.061	-0.882	-3.5465	-3.094	-3.075	-3.446	-3.377	-2.069	-3.801	-0.3895	-0.3135	-1.7345	-1.7935	-1.8045	-2.859	-2.71	-1.98	-2.627	-2.107	-3.352	-2.894	0.262	0.492	-0.026	0.437	-0.211	-2.467	-1.714	-0.209	-1.035	-1.153	-2.261	-1.932	-1.911	-2.316	-2.332	-1.945	-2.741	-2.38	-2.719	-0.081	0.793
"YPR074C"	0.295	-1.655	-3.2435	-2.5595	-2.134	-3.2975	-2.2945	-5.337	-5.42	-0.3545	-0.816	-3.374	-2.2005	-3.7185	-4.2955	-3.649	-2.351	-3.162	-3.369	-3.61	-3.663	0.309	1.402	0.603	-0.187	0.158	-3.132	-2.029	0.459	-1.879	-3.097	-3.071	-1.863	-1.688	-3.316	-2.418	-3.729	-3.123	-1.997	-3.18	-2.877	-0.042
"YPR118W"	0.455	-0.94	-2.848	-3.0	-2.4945	-2.706	-3.095	-3.9965	-5.524	-0.8925	-0.2325	-2.525	-2.5375	-2.305	-2.577	-1.735	-2.594	-2.077	-2.882	-3.334	-3.538	0.5	0.534	0.513	-0.659	-0.01	-1.794	-0.869	-1.094	-1.377	-1.98	-2.881	-2.472	-0.324	-3.01	-2.311	-1.789	-2.086	-1.264	-2.261	0.076	-1.058
"YPR145W"	0.438	-1.036	-3.263	-1.5905	-1.9485	-2.5015	-0.508	-3.737	-5.02	0.57	-0.3515	-0.8115	-0.8305	-1.2765	-0.775	-2.229	-2.228	-2.21	-3.369	-3.625	-3.498	0.53	1.237	-0.021	0.201	-0.123	-2.303	-1.627	0.31	-2.335	-4.032	-3.782	-3.472	-3.473	-3.793	-3.152	-2.035	-1.807	-1.273	-1.223	-1.756	-0.046
