	"809.DBY7286 37degree heat - 20 min"	"813.MHY1 (dun1) + heat 20 min"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2144.heat shock 37 to 37, 30 minutes"	"4874.1M sorbitol - 90 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6824.Sporulation t0"	"13057.wt/crz1 Na 30min (1)"	"13093.Missouri Western State College 10 uM DAPI Cy3 4 hrs (exp 1)"	"44524.first half PM prep, array 2"
"YHR063C"	-0.1885	-0.665	-1.469	-2.215	-3.309	-4.42	-1.217	-1.385	-1.916	-2.162	-3.419	-3.036	0.136	-0.082	-0.373	-0.303	0.02	1.026	0.178
"YHR064C"	-1.62	-1.671	-1.77	-1.712	-3.329	-5.238	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	0.392	0.156	-1.7365	-0.042	0.562	1.064	0.673
"YHR068W"	-1.23	-0.95	-3.015	-2.166	-4.28	-6.532	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.276	0.437	-1.4595	0.011	0.46	0.906	0.488
"YHR193C"	-0.4325	-1.11	-1.341	-1.99	-3.11	-4.166	-1.558	-1.494	-1.913	-1.778	-2.357	-2.845	0.256	-0.522	-1.1525	0.195	0.771	-0.579	0.982
"YHR203C"	-1.815	-1.621	-2.372	-2.895	-3.782	-5.944	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	0.441	0.395	-1.9665	0.058	0.651	-2.06	1.691
"YHR215W"	-0.7965	-1.774	-0.482	-0.746	-3.555	-4.916	-0.104	-0.642	-2.444	-3.024	-3.535	-3.992	-0.295	-0.082	-0.7535	-0.357	-0.22	1.474	1.223
"YHR216W"	-1.653	-1.514	-1.128	-2.045	-3.15	-4.943	-0.935	-2.088	-2.767	-2.237	-2.621	-2.913	0.042	-0.005	-1.95	-0.081	0.513	-0.919	0.815
"YIL110W"	-0.4665	-1.007	1.513	-0.964	-2.455	-3.072	-1.381	-1.354	-1.444	-1.775	-2.473	-2.492	-0.08	-0.066	-0.564	-0.336	0.54	0.492	0.158
"YIL133C"	-1.6275	-2.068	-2.167	-2.883	-2.693	-5.79	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	0.429	0.221	-1.6925	-0.165	0.563	-1.034	0.874
"YIL148W"	-0.768	-1.345	-1.243	-0.897	-1.931	-3.41	-1.404	-1.39	-1.549	-0.901	-1.348	-2.118	0.449	0.025	-0.71	0.527	0.495	0.845	0.905
