	"49.Elutriation2:Sample2:Time0.0hrs"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4872.1M sorbitol - 60 min"	"5358.1M sorbitol - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"8520.DES460 + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"30319.usv1("	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34347.wt_hypo_osmotic_shock_0min"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34502.wt_hypo_osmotic_shock_0min_repeat"
"YBR181C"	-1.1925	-3.762	-3.149	-2.554	-2.265	-1.94	-2.747	-3.798	-1.706	-3.3	-3.365	-3.159	1.639	-5.0305	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	-1.521	-2.083	0.2295	-0.0205	-0.2945	-0.194	-0.3805	-0.5295	-0.4555	-2.337	-0.37	0.606	-2.718	-2.98	-3.274	-1.849	-2.601	-0.081	0.02	0.216	-0.064	-0.048	0.014	0.184	0.341	-0.11
"YBR189W"	-0.534	-3.784	-3.224	-3.356	-2.463	-2.154	-2.355	-2.065	-1.532	-3.071	-3.483	-2.334	-2.025	-3.678	-2.112	-2.629	-2.467	-1.9305	-1.8835	-2.9475	-1.953	-2.286	0.262	-0.3575	-0.1985	-0.6225	-0.6505	-0.4345	-0.633	-2.4025	0.0565	0.831	-3.763	-4.739	-3.572	-3.188	-3.569	0.003	-0.154	0.263	0.036	-0.086	-0.074	0.195	0.235	0.27
"YBR255W"	-0.0155	1.895	1.55	1.761	1.754	1.98	1.88	1.564	0.452	0.759	1.267	0.346	1.104	0.385	1.0695	1.1855	0.868	1.353	1.383	0.83	0.738	0.475	0.2385	0.155	0.1955	-0.021	0.0215	0.101	-0.1135	0.807	0.227	-0.16	0.636	0.506	0.35	0.33	1.076	-0.19	-0.009	0.007	0.049	0.077	0.059	0.076	0.138	-0.119
"YBR288C"	0.027	-1.014	-0.715	-0.754	-1.173	-0.889	-1.298	-2.229	-0.812	-0.693	-0.833	-0.751	-1.088	-1.2745	-1.0805	-0.9095	-1.1005	-1.2605	-1.978	-1.688	-0.148	-0.107	-0.2105	-0.276	-0.121	-0.092	-0.212	-0.11	-0.3045	-0.958	-0.136	0.242	-1.104	-0.798	-0.937	-0.774	-0.943	-0.346	0.115	0.175	-0.252	-0.295	-0.171	-0.107	-0.048	-0.354
"YCL051W"	0.763	2.151	1.052	1.136	0.892	0.923	1.069	1.237	1.23	0.765	1.132	0.845	0.476	0.9965	0.522	0.8765	1.1845	0.782	0.9345	0.589	0.636	0.729	-0.144	-0.13	0.1395	0.054	-0.178	-0.2115	-0.4595	0.357	0.08	-0.066	-0.215	1.077	0.385	0.216	0.693	0.19	0.298	-0.21	0.109	0.236	0.306	0.328	0.322	0.015
"YCR053W"	-0.497	-2.562	-1.828	-2.374	-1.952	-1.707	-1.033	-3.556	-1.071	-1.206	-2.391	-1.41	-1.635	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	-1.384	-1.321	-0.025	-0.437	0.364	0.1075	0.0025	-0.182	-0.016	-1.451	0.044	0.022	-2.601	-2.7365	-2.51	-2.2205	-2.352	0.012	0.2805	0.4365	0.2835	0.321	0.342	0.4805	0.3205	0.1515
"YCR091W"	1.876	4.284	3.522	3.241	3.278	2.691	3.114	1.906	3.192	3.306	3.015	2.875	2.682	3.084	2.685	2.345	2.5735	2.0885	2.0775	1.535	1.754	1.465	0.167	0.1125	0.4245	0.39	0.7455	0.8175	0.0965	1.384	0.403	-0.236	2.288	3.677	2.956	1.701	3.005	0.135	-0.015	-0.439	0.008	0.001	0.295	-0.426	0.459	0.312
"YCR097W"	1.467	2.156	1.914	1.524	0.67	1.47	1.285	2.584	1.48	1.706	1.875	1.419	1.095	1.4345	0.8755	0.9425	0.957	1.578	1.738	1.1225	1.054	1.726	0.0995	-0.0375	0.1235	0.1345	-0.0955	-0.1285	0.0335	0.313	-0.303	-0.325	2.20466666666667	0.986666666666667	1.68266666666667	1.64233333333333	1.39066666666667	-0.3535	-0.055	-0.2335	-0.3115	-0.209	-0.197	-0.1345	0.0355	-0.6095
"YDL085W"	0.575	3.32	3.859	4.203	3.821	3.092	3.133	3.356	3.186	1.636	3.499	4.037	1.897	0.489	1.142	2.634	1.46	2.813	3.092	2.319	2.197	3.261	0.152	-0.039	-0.179	0.199	0.23	0.117	0.295	5.715	0.132	0.082	4.331	4.545	3.829	3.961	4.979	0.096	-0.234	0.006	-0.028	-0.132	-0.067	-0.343	-0.236	0.12
"YDL167C"	-1.451	-4.321	-2.565	-2.731	-2.613	-1.813	-2.3	-3.033	-2.513	-3.298	-2.094	-1.281	-1.577	-3.084	-1.901	-1.572	-2.172	-2.176	-2.332	-2.095	-1.745	-1.536	0.105	-0.751	-0.617	-0.386	-0.587	-0.63	-0.69	-1.335	-0.159	0.736	-1.423	-3.364	-2.649	-1.339	-1.838	-0.54	-0.714	-0.921	-0.537	-0.361	-0.416	-0.412	-0.628	-0.641
"YDL194W"	0.914	2.756	3.079	2.902	2.773	2.758	3.229	2.675	2.403	2.191	1.976	1.473	1.695	1.971	1.674	2.005	1.921	1.923	2.037	1.752	0.638	1.373	0.437	-0.037	0.312	0.329	0.482	0.273	-0.055	1.647	0.015	0.292	0.397	0.057	0.41	-0.616	-0.015	0.359	-0.027	0.264	-0.091	-0.129	0.106	-0.178	0.149	-0.01
"YDR018C"	0.375	3.364	2.349	2.874	2.861	3.117	3.091	2.951	2.752	1.593	2.161	1.98	1.843	3.883	1.951	2.398	3.208	2.318	2.708	1.585	1.457	1.841	-0.018	0.356	-0.06	-0.061	0.718	0.926	0.28	0.895	0.037	-0.23	2.796	2.941	2.212	1.415	2.156	-0.275	-0.344	-0.241	-0.23	-0.56	-0.117	-1.041	-0.189	-0.444
"YDR037W"	-1.56	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-1.483	-3.226	-2.505	-2.756	-2.42	-1.971	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	-1.866	-1.544	-0.13	-0.146	0.01	0.041	-0.279	-0.654	-0.612	-2.523	0.215	0.939	-3.366	-4.204	-3.541	-2.204	-3.047	0.247	0.692	0.272	0.174	0.324	0.186	-0.03	0.196	-0.029
"YDR064W"	-1.077	-3.874	-3.241	-2.585	-2.577	-2.639	-2.597	-3.761	-1.745	-3.208	-3.138	-2.511	-2.495	-3.65	-2.228	-2.718	-2.943	-2.527	-2.531	-3.199	-2.016	-2.096	-0.36	-0.316	-0.524	-0.673	-0.757	-0.726	-0.585	-1.996	-0.165	0.1325	-2.803	-2.891	-2.804	-2.287	-2.842	0.134	0.163	0.349	0.355	0.099	0.305	0.664	0.564	0.358
"YDR096W"	1.234	3.784	2.911	3.051	3.058	2.906	3.751	3.511	2.071	2.127	2.135	1.735	1.58	1.85	2.169	2.377	2.916	3.613	3.341	3.088	1.318	2.056	-0.062	0.424	0.09	0.178	0.484	0.43	0.078	2.342	0.375	-0.32	1.2715	1.286	0.9155	0.933	1.2575	0.427	-0.1055	0.3725	0.189	0.1845	0.4035	0.4035	0.542	0.5715
"YDR186C"	0.385	1.26	1.194	0.964	1.784	2.355	2.025	2.123	0.308	0.61	1.061	0.276	1.062	0.498	1.094	1.442	1.343	1.726	1.874	1.701	0.808	0.722	0.127	-0.33	0.395	-0.071	-0.118	0.246	0.541	0.684	0.2725	-0.105	0.118	0.372	-0.107	-0.076	1.102	-0.516	-0.253	0.037	-0.062	-0.065	-0.16	-0.046	0.167	-0.019
"YDR212W"	0.193	-0.784	-1.033	-0.696	-0.356	-0.521	-0.883	-1.862	-1.036	-1.138	-1.157	-1.291	-1.382	-1.061	-0.441	-1.069	-1.229	-1.535	-1.828	-1.707	-0.361	-0.787	-0.03	-0.525	0.445	0.127	0.274	0.416	0.36	-0.7395	-0.34	-0.042	-0.778	-0.339	-0.637	-0.604	-0.322	-0.102	0.048	0.007	-0.044	0.098	0.036	-0.053	0.065	-0.116
"YDR282C"	0.645	2.239	1.8	1.57	1.444	1.446	1.391	1.182	1.386	1.508	1.294	1.153	1.647	1.567	1.164	1.136	0.927	1.25	1.508	1.039	1.28	0.988	0.019	-0.059	0.404	0.156	0.158	0.195	0.376	0.837	0.481	-0.261	0.953	1.486	0.877	0.624	1.231	0.2	0.255	-0.252	0.011	0.18	-0.005	-0.309	0.091	0.147
"YDR286C"	0.539	1.838	1.568	1.034	1.079	1.192	1.098	1.32	0.153	0.313	0.27	0.718	0.763	1.123	0.536	0.541	0.733	1.209	0.976	0.552	0.772	0.406	0.06	0.025	0.379	0.023	0.073	0.117	0.253	0.465	0.211	0.027	1.108	1.295	1.554	1.446	0.797	0.039	0.081	0.207	-0.132	-0.269	-0.409	-0.301	-0.185	0.179
"YDR417C"	-0.348	-3.705	-2.778	-2.992	-2.407	-2.511	-3.327	-4.279	-1.775	-3.58	-3.209	-2.864	-2.95	-4.223	-2.458	-2.573	-2.986	-2.861	-3.022	-3.606	-1.6	-2.146	0.078	-0.069	-0.215	-0.146	-0.379	-0.352	-0.28	-2.149	-0.196	0.637	-2.61	-3.585	-3.332	-2.261	-2.404	0.341	0.306	0.495	0.225	0.185	0.371	0.671	0.671	0.205
"YDR447C"	-0.484	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-2.128	-3.574	-3.565	-2.813	-3.129	-4.249	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	-1.751	-1.67	0.176	0.098	-0.415	-0.359	-0.502	-0.57	-0.571	-2.1165	0.165	0.443	-2.356	-4.358	-3.418	-2.211	-3.223	-0.316	-0.21	0.026	-0.219	-0.146	-0.163	0.238	0.334	-0.388
"YDR506C"	-0.08	1.961	1.412	1.172	1.483	1.249	0.882	-0.236	0.734	0.625	0.771	0.644	0.368	1.627	1.153	1.042	1.063	1.934	1.438	1.505	0.57	0.746	0.226	0.369	-0.01	0.207	0.558	0.799	0.307	0.428	0.229	-0.025	0.228	0.957	-0.029	0.462	0.744	-0.181	-0.119	0.037	-0.064	-0.302	-0.103	-0.287	-0.097	0.01
"YDR507C"	-1.821	-3.229	-1.03	-0.143	-0.691	-0.795	-1.28	-2.939	-1.447	-0.805	-1.084	-1.413	-1.411	-2.127	-1.263	-1.576	-2.121	-1.959	-1.473	-1.836	-0.287	0.223	-0.248	-0.23	0.239	0.399	0.293	0.189	0.11	-0.943	-0.181	-0.161	-0.281	-0.797	-0.4885	-0.133	-0.095	-0.0185	0.0955	0.0085	0.0105	0.0545	0.169	0.1325	0.02	-0.0635
"YDR530C"	0.334	2.764	2.32	2.278	2.184	1.902	2.813	2.037	1.696	1.827	1.619	2.045	1.665	2.124	1.923	1.769	1.777	2.382	2.669	1.771	0.868	0.865	0.168	0.281	0.267	0.432	0.695	0.646	0.65	1.435	0.339	0.065	2.632	2.6	3.192	2.307	2.264	0.105	0.038	-0.289	0.449	0.352	0.178	-0.141	0.282	0.512
"YEL011W"	1.59	4.662	3.869	4.663	4.646	4.72	4.761	5.15	4.014	2.876	3.74	3.022	2.308	4.997	3.795	3.906	3.266	3.642	5.213	4.068	2.87	3.311	-0.352	0.694	0.793	0.635	0.899	1.986	0.689	2.6905	-0.293	-0.361	1.65	3.83	2.462	1.915	2.422	0.506	0.848	0.643	0.501	0.445	0.397	0.361	0.431	0.666
"YER015W"	0.267	2.172	2.385	3.584	3.301	3.005	2.769	3.101	1.224	1.095	1.623	1.816	0.843	3.359	2.401	1.979	2.609	2.833	1.972	1.943	1.227	1.81	-0.245	0.109	-0.076	0.061	0.222	-0.331	-0.263	0.745	0.168	0.187	1.098	0.968	0.847	0.718	0.6375	0.1275	-0.4	-0.1615	-0.781	-0.2735	0.066	-0.1385	0.233	0.2575
"YER024W"	-0.217	4.222	5.101	5.089	4.708	4.47	4.755	4.492	1.452	2.797	4.06	5.22	4.747	3.348	3.848	2.82	2.599	2.31	3.434	2.595	1.565	3.635	-0.009	0.294	0.146	-0.168	0.067	-0.352	0.124	0.933	-0.245	0.287	1.507	-0.331	1.357	2.452	2.365	-0.059	0.125	0.027	-0.438	-0.18	0.463	-0.339	0.205	-0.607
"YER043C"	-1.913	-3.945	-1.445	-1.979	-2.553	-2.767	-3.397	-4.78	-1.223	-2.364	-1.977	-3.096	-3.18	-3.583	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	-0.943	-1.204	-0.103	-0.181	-0.949	-1.273	-1.435	-1.469	-1.566	-1.415	0.121	0.513	-2.542	-2.164	-2.202	-1.71	-1.767	1.088	1.229	1.004	1.113	1.138	0.543	0.238	0.534	0.885
"YER086W"	-2.102	-3.714	-1.791	-1.128	-1.076	-1.236	-1.424	-3.61	-2.148	-2.869	-2.152	-2.311	-2.028	-2.719	-1.373	-1.847	-1.837	-2.624	-2.882	-3.77	-0.883	-1.308	0.09	-0.321	0.088	-0.251	-0.155	-0.283	-0.599	-0.886	-0.336	0.32	0.075	0.102	0.245	0.252	-0.714	0.425	0.441	0.546	0.705	0.6	0.589	0.266	0.314	0.398
"YFR008W"	0.917	0.715	0.688	0.854	0.726	0.783	-0.072	0.116	1.016	0.676	0.815	0.431	0.221	0.102	0.087	0.323	0.387	0.868	1.151	0.459	0.063	-0.1	-0.397	0.316	0.154	0.173	0.27	0.26	0.197	0.4295	-0.043	0.247	0.807	0.989	0.748	0.842	0.306	-0.805	-0.482	-0.413	-0.45	-0.252	-0.06	-0.176	-0.077	0.124
"YGL030W"	-0.383	-3.613	-2.888	-2.582	-1.861	-2.363	-2.008	-3.668	-1.677	-2.388	-2.751	-2.6	-2.361	-3.284	-2.059	-2.592	-2.534	-1.668	-2.044	-3.011	-1.363	-1.683	-0.101	0.06	-0.654	-0.594	-0.688	-0.614	-0.99	-1.6485	0.284	0.553	-2.871	-3.575	-2.76	-2.198	-3.156	0.443	0.088	0.829	0.234	0.61	0.235	0.494	0.885	0.544
"YGL098W"	0.56	1.408	0.937	1.321	1.148	1.148	1.149	0.883	1.032	0.692	0.894	0.86	-0.799	0.885	0.309	0.713	0.664	0.639	1.042	0.529	0.852	0.54	-0.036	0.211	0.279	0.226	0.092	0.061	0.143	0.514	0.335	0.257	0.761	0.534	0.353	0.649	1.079	-0.007	0.203	-0.456	0.212	0.007	0.175	0.375	0.099	0.085
"YGL102C"	-0.032	-3.419	-2.825	-2.081	-1.973	-2.112	-2.356	-2.658	-1.701	-3.301	-3.227	-3.132	0.794	-3.32	-1.921	-2.077	-2.144	-1.199	-1.938	-2.13	-1.322	-2.161	0.231	-0.462	-0.281	-0.127	-0.426	-0.424	-0.429	-2.146	-0.143	0.544	-2.202	-3.272	-2.955	-2.203	-3.411	-0.071	-0.3	-0.097	-0.063	-0.148	-0.386	0.293	0.379	-0.2
"YGL121C"	1.594	2.903	4.642	4.908	4.899	5.197	4.115	4.92	2.02	3.028	3.66	3.542	3.479	3.623	2.924	2.795	3.85	4.249	4.271	3.19	1.608	1.518	0.738	-0.026	0.309	0.647	0.404	1.021	0.813	4.881	-0.462	-0.342	4.831	4.067	4.542	2.934	3.387	0.638	-0.115	-0.074	1.53	0.73	0.315	0.212	-0.021	0.819
"YGL135W"	-0.125	-3.221	-2.573	-2.455	-2.548	-2.301	-2.942	-3.418	-1.34	-3.217	-3.23	-3.119	-2.071	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	-1.249	-1.595	-0.045	0.295	-0.631	-0.72	-0.506	-0.566	-0.722	-2.233	-0.064	0.738	-2.903	-3.617	-3.009	-1.968	-2.509	-0.177	-0.184	0.107	-0.057	-0.05	0.096	0.465	0.263	-0.448
"YGL147C"	-0.062	-3.892	-3.111	-3.32	-3.389	-2.422	-3.896	-3.921	-1.716	-3.0	-3.753	-3.466	-3.166	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	-1.054	-1.568	0.326	0.03	-0.407	-0.382	-0.492	-0.74	-0.708	-2.532	-0.409	0.647	-2.6025	-3.1585	-3.3875	-2.3945	-3.135	-0.3715	-0.407	-0.123	-0.089	-0.1475	-0.072	0.22	0.3265	-0.3485
"YGL148W"	-1.188	-3.561	-2.137	-1.719	-1.873	-1.574	-2.182	-2.826	-1.329	-2.983	-2.53	-2.64	-1.768	-2.555	-1.926	-2.049	-2.327	-1.666	-1.996	2.781	-0.231	-0.914	0.038	-0.169	0.184	0.057	0.17	-0.106	-0.508	-2.275	-0.139	0.036	-2.547	-3.123	-2.69	-2.266	-2.377	0.005	-0.215	-0.315	-0.245	-0.363	-0.437	-0.148	-0.231	0.22
"YGL157W"	0.27	-3.669	-4.154	-3.753	-4.456	-3.853	-3.767	-3.578	1.472	-1.481	-1.996	-1.999	-2.143	-1.941	-2.445	-2.738	-2.628	-2.488	-2.817	-3.666	-0.64	-0.469	0.279	0.085	0.607	0.798	0.835	0.842	1.035	-2.632	0.33	-0.593	-1.371	-1.056	-1.785	-1.387	-1.731	1.76	1.504	1.166	1.465	1.281	0.769	0.299	-0.507	1.6
"YGL216W"	-1.072	-0.374	0.23	0.112	0.478	-0.076	0.293	-1.522	0.183	-0.802	-0.199	0.893	-0.369	-0.228	-0.538	-0.491	-0.038	0.066	-0.644	-0.634	-0.434	-0.72	0.068	0.09	-0.279	-0.194	0.148	0.178	-0.139	0.227	-0.03	-0.176	0.085	0.315	-0.245	0.125	-0.744	-0.407	0.157	-0.125	-0.502	-0.064	-0.084	0.053	0.036	-0.214
"YGR023W"	0.49	2.337	1.479	1.856	1.357	2.008	2.481	2.675	1.525	0.92	1.217	1.124	-0.234	2.097	1.158	1.586	2.593	2.621	2.251	1.34	0.473	0.744	0.204	0.566	0.135	-0.086	0.189	0.214	0.242	0.878	0.473	0.076	0.828	2.305	1.376	1.064	1.367	0.466	0.037	0.078	0.32	0.27	0.303	0.315	-0.019	0.759
"YGR027C"	-0.327	-3.433	-2.572	-1.843	-1.632	-1.57	-1.697	-2.797	-1.812	-3.005	-2.616	-2.612	-2.307	-4.002	-1.612	-1.779	-1.889	-1.187	-1.867	-2.368	-0.999	-1.411	0.238	0.101	-0.046	0.006	-0.231	-0.198	-0.236	-1.824	0.406	0.624	-3.132	-3.188	-2.624	-2.011	-2.186	0.299	0.289	0.404	0.345	0.384	0.58	0.51	1.078	0.435
"YGR034W"	-0.316	-3.922	-3.172	-3.096	-2.637	-2.107	-2.998	-3.052	-2.052	-3.268	-2.935	-2.282	-2.579	-3.635	-2.067	-2.022	-2.01	-1.301	-1.401	-2.48	-1.624	-1.283	0.049	0.014	-0.493	-0.442	-0.654	-0.658	-0.769	-1.469	0.037	0.579	-3.003	-4.347	-3.643	-2.741	-2.179	-0.116	0.107	0.267	0.331	0.145	0.201	0.35	0.728	-0.046
"YGR110W"	0.965	3.059	3.408	3.575	2.845	3.106	3.427	4.541	2.006	1.881	2.242	2.425	2.361	3.976	2.805	2.625	2.566	2.578	4.305	3.146	1.671	2.627	-0.112	0.118	-0.16	-0.17	0.038	-0.222	-0.444	2.049	-0.027	0.3735	3.419	3.213	3.774	2.809	3.468	0.1	-0.04	-0.394	-0.082	-0.38	-0.299	-0.247	-0.528	0.212
"YGR133W"	0.139	0.947	1.127	1.24	1.465	1.475	1.196	0.133	0.213	-0.008	0.204	0.394	0.617	1.215	0.754	0.81	0.569	0.873	1.504	1.319	0.277	0.6	0.39	0.346	0.332	0.085	0.401	0.526	0.37	0.8635	0.157	-0.3015	0.164	0.496	0.782	0.614	0.314	-0.232	0.096	0.055	-0.347	-0.37	0.087	-0.303	-0.415	0.474
