	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"963.1 mM Menadione (120 min)redo"	"971.1mM Menadione (40 min) redo"	"974.1 mM Menadione (80 min) redo"	"975.1 mM Menadione (105 min) redo"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1661.1 mM Menadione (50 min)redo"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"21638..24 mM H2O2- 070 minutes"	"21659..24 mM H2O2- 077 minutes"	"21666..24 mM H2O2- 055 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YDR368W"	1.346	1.199	1.427	1.333	1.604	1.391	0.887	0.672	0.48	-1.024	-2.634	0.408	-0.319	-0.928	0.937	1.412	1.612	1.442	1.174	1.299	1.337	1.38	1.428	1.218	0.96	1.114	0.591	0.627	0.054	1.492	1.56	0.456	0.843	0.616	0.247	-0.184	0.161	1.648	0.967	1.107	1.775	0.672	0.894	1.122	0.274	0.969	0.169
"YDR400W"	-0.362	-0.555	-0.374	-0.119	0.28	0.909	-0.49	-1.071	-0.396	-1.379	-2.679	-1.506	-0.483	-1.459	0.241	0.324	0.958	0.057	0.875	0.563	0.405	0.198	0.274	-1.034	-1.131	-1.185	-0.865	-1.544	-1.405	0.291	-0.194	-0.757	-1.477	-1.572	-1.215	-1.604	-1.41	-0.094	-0.629	0.037	-0.776	-0.731	-0.692	-1.129	-1.753	-0.661	-1.042
"YDR453C"	3.592	1.649	2.971	3.387	3.634	3.572	2.627	1.833	1.455	0.36	-0.916	2.3	1.944	1.588	2.987	3.731	3.015	4.259	2.401	3.081	4.461	5.027	5.052	1.594	1.225	1.671	-0.075	0.286	-0.388	3.483	4.396	1.84	1.376	1.322	1.124	0.741	0.811	4.491	6.963	6.257	7.294	4.144	3.877	5.043	3.557	2.443	2.049
"YEL002C"	0.03	0.162	0.103	0.17	0.326	0.444	-0.277	-0.498	-0.859	-2.448	-4.407	-0.56	-1.136	-1.694	0.358	0.432	0.706	0.416	0.44	0.471	0.189	1.251	0.341	-0.169	-0.404	-0.526	-0.691	-1.498	-0.781	0.342	0.207	-0.4945	-0.807	-0.966	-1.219	-1.51	-1.167	0.617	-0.5825	-0.1195	-0.2545	-0.69	-0.393	-0.001	-0.487	-0.488	-0.282
"YEL040W"	-0.908	-0.813	-1.277	-1.547	-1.479	-1.583	-3.911	-4.238	-3.616	-3.786	-4.551	-2.682	-3.347	-3.816	-0.741	-1.024	-0.742	-0.841	-0.889	-0.89	-0.569	-1.151	-0.746	-4.284	-4.461	-3.561	-3.111	-3.855	-3.066	-0.464	-0.4	-3.1215	-2.559	-3.956	-2.468	-3.182	-4.01	-0.603	-2.588	-1.5805	-2.913	-2.646	-2.15	-2.439	-2.048	-2.685	-3.28
"YER043C"	-0.866	-0.299	-0.75	-0.657	-0.39	-0.209	-2.553	-2.767	-3.397	-4.78	-6.476	-1.977	-3.096	-3.18	-0.943	-1.085	-1.054	-1.112	-1.023	-1.096	-1.001	-1.086	-0.953	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	-0.964	-0.647	-1.415	-2.241	-2.015	-2.503	-2.487	-2.96	-0.557	-1.298	-1.077	-1.186	-3.094	-2.542	-2.164	-2.202	-1.71	-1.767
"YER0871C"	0.249	0.413	0.028	0.028	0.361	0.547	-1.744	-1.359	-1.375	-1.766	-2.794	-1.315	-0.865	-1.296	-0.175	0.03	-0.006	-0.01	0.229	0.185	0.13	0.251	0.103	-1.045	-0.831	-0.909	-0.894	-1.329	-1.317	0.095	-0.334	NaN	-0.542	-1.327	-1.01	-0.922	-0.535	0.011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
"YFR041C"	0.216	0.409	0.617	0.444	0.777	0.653	0.683	1.055	0.211	-0.512	-2.299	0.379	-0.566	0.539	0.558	0.488	0.894	0.296	0.417	0.782	1.482	1.486	0.302	0.328	-0.092	-0.056	-0.594	-0.879	-0.323	0.296	0.908	-0.192	0.264	-0.424	-0.273	-0.193	0.05	1.006	0.268	0.317	0.54	-0.776	-0.339	-0.15	0.089	0.434	-0.292
"YFR051C"	-0.523	0.2835	0.32	0.2535	0.6325	0.5	-0.6625	-0.746	-1.168	-1.008	-2.299	-0.269	-0.0755	-0.754	-0.144	-0.483	-0.324	-0.0835	-0.4375	-0.268	0.4375	0.4515	0.4325	-0.269	-0.602	-0.7745	-0.4415	-1.403	-0.7065	-0.151	0.2	-1.109	-0.329	-0.6955	-0.818	-0.599	-0.734	-0.08	-0.4345	0.1605	0.394	-1.269	-1.915	-0.504	-1.07	-0.503	-1.426
"YGL020C"	-0.407	0.346	0.246	0.047	0.038	0.063	-0.461	-0.989	-0.502	-2.94	-3.361	-0.359	-0.686	-0.863	0.133	0.209	0.427	0.052	0.236	0.246	0.305	0.069	-0.114	-0.778	-1.059	-0.84	-1.253	-1.605	-1.338	0.084	-0.365	-0.836	-0.167	-0.827	-0.665	-0.954	-0.207	-0.147	-0.077	-0.315	-0.456	-1.195	-1.302	-0.294	-0.707	-0.636	-1.175
"YGL084C"	0.175	0.24	0.465	0.489	0.634	0.301	1.104	0.377	0.221	-1.531	-2.754	0.104	-0.274	-0.394	0.679	0.596	0.822	0.598	0.501	0.632	1.48	1.671	0.434	0.686	-0.316	-0.245	-0.835	-0.928	-0.71	0.318	0.576	-0.253	-0.099	-0.808	-0.749	-1.128	-0.988	0.575	0.14	0.472	-0.14	0.541	0.333	0.752	0.249	-0.168	-0.507
"YGL200C"	-0.241	0.453	0.348	0.316	0.315	0.516	0.206	-0.187	-0.184	-2.687	-3.963	-1.213	-1.374	-0.999	0.405	0.129	0.315	0.27	0.473	0.396	0.025	0.006	0.051	-0.118	-0.813	-0.668	-1.049	-1.435	-1.681	0.363	-0.134	-0.676	-0.587	-1.518	-1.177	-1.474	-0.965	0.167	-0.676	-0.545	0.006	-1.153	-0.136	-0.365	-0.655	0.156	0.204
"YGL213C"	-0.02	0.012	-0.063	-0.127	-0.007	-0.042	-1.347	-1.308	-1.897	-3.409	-3.301	-0.983	-0.589	-1.865	-0.03	0.009	-0.247	0.038	0.045	0.07	0.062	0.274	0.183	-0.832	-1.003	-1.224	-1.708	-2.07	-2.079	0.125	0.131	-0.434	-0.538	-1.292	-1.2	-1.11	-1.074	0.152	-0.28	0.074	-0.208	-0.719	-1.241	0.045	-1.11	-0.075	-0.637
"YGR037C"	0.481	0.927	0.961	0.954	0.985	1.087	-0.73	-1.659	-1.49	-3.63	-4.976	-1.0	-1.298	-1.04	0.493	0.658	1.115	0.677	1.052	0.883	0.42	0.673	0.86	-0.786	-1.612	-1.441	-1.964	-2.717	-2.416	0.819	0.133	-1.319	-0.488	-0.831	-0.905	-1.209	-0.707	0.513	0.274	0.626	0.381	-1.287	-1.614	-0.186	-0.772	-0.532	-1.227
"YGR185C"	-0.8365	-0.228	-0.633	-0.921	-0.502	-0.797	-1.31	-2.13	-2.168	-5.306	-6.361	-1.736	-2.6	-2.266	-0.149	0.017	-0.059	-0.003	0.206	0.033	-1.367	-1.165	-0.538	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	0.128	-0.178	-2.438	-1.116	-2.21	-2.316	-2.459	-2.363	-0.245	-0.829	-0.171	0.034	-3.17	-2.768	-2.136	-2.312	-2.205	-2.277
"YGR209C"	2.4115	2.504	2.874	2.965	2.122	2.667	1.353	1.229	1.53	2.33	0.082	0.618	0.188	0.136	2.398	2.88	2.35	3.327	2.667	3.067	3.585	3.814	3.147	0.674	0.845	1.229	2.05	1.656	1.792	3.094	3.925	0.515	0.755	0.438	0.577	0.413	0.536	3.679	3.466	3.001	3.598	2.549	2.003	2.453	1.84	1.867	1.653
"YGR264C"	-1.0905	-0.891	-1.643	-1.979	-1.492	-1.302	-3.156	-2.945	-3.206	-5.206	-4.616	-3.321	-2.811	-3.49	0.002	-0.152	-0.459	-0.214	-0.099	-0.359	-0.833	-0.764	-0.647	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	-0.339	-0.681	-2.468	-2.274	-2.246	-2.287	-2.376	-2.353	-0.664	-2.82	-2.172	-1.912	-3.556	-2.673	-3.33	-3.082	-1.962	-2.066
"YGR285C"	-1.4185	-0.087	-0.777	-1.145	-0.866	-0.803	-1.794	-1.645	-1.67	-4.078	-6.1	-1.332	-1.877	-1.393	-0.774	-0.864	-1.003	-1.207	-0.418	-0.357	-0.891	-1.538	-0.871	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	-0.803	-0.344	-2.068	-1.682	-2.035	-2.466	-2.483	-3.514	-0.821	-1.791	-1.701	-0.704	-2.948	-2.607	-2.323	-2.554	-1.851	-2.062
"YIL044C"	-0.41	0.068	-0.056	-0.142	0.075	0.058	-0.877	-0.463	-1.1	-1.784	-2.248	-0.333	-0.621	-0.882	0.1035	0.254	0.154	0.053	-0.0455	-0.0475	0.1345	0.2355	-0.0625	-0.721	-0.49	-0.505	-1.033	-1.385	-1.612	0.2125	0.048	-0.439	-0.194	-0.585	-0.2	-0.448	-0.122	0.19	0.047	0.633	0.708	-0.258	-0.167	-0.136	-0.636	-1.433	-0.497
"YJL091C"	-0.5645	0.24	0.255	0.446	0.72	0.775	-0.679	-0.556	-0.491	-1.543	-2.378	-0.286	-0.333	-1.172	0.131	0.035	0.558	-0.065	0.193	0.342	0.355	0.351	-0.147	-0.389	-0.535	-0.444	-1.062	-1.202	-1.731	0.072	-0.361	-0.662	-0.778	-1.008	-0.956	-1.144	-1.056	-0.505	-0.551	-0.684	-1.023	-0.0375	0.0485	0.171	-0.6945	-0.4615	-0.7615
"YJL101C"	1.622	1.593	1.51	1.248	1.304	0.967	0.791	0.925	1.082	0.123	-2.092	1.71	1.263	1.261	2.143	1.501	0.807	1.688	1.221	1.585	2.976	2.334	1.435	0.308	0.393	0.516	0.653	-0.114	-0.137	1.338	2.098	0.979	0.184	0.708	1.03	1.167	1.254	2.27	1.53	0.503	1.772	0.079	-0.0485	1.352	0.5575	0.0475	0.3045
"YJL192C"	-0.289	0.272	0.137	-0.006	0.213	-0.007	-0.943	-1.258	-1.255	-3.649	-4.214	-0.861	-1.29	-1.458	0.47	0.439	0.497	0.386	0.626	0.301	0.172	0.067	0.075	-0.659	-1.289	-0.942	-1.68	-2.446	-1.599	0.338	-0.172	-1.156	-0.519	-0.989	-1.18	-1.417	-1.382	0.036	-0.474	-0.104	-0.441	-0.712	-1.089	-0.9	-1.259	-1.415	-1.659
"YKL081W"	-1.0715	-0.41	-1.123	-1.522	-1.483	-1.263	-2.096	-2.542	-3.137	-4.49	-5.155	-3.157	-3.837	-3.37	-0.769	-0.911	-0.718	-1.059	-0.965	-0.577	-0.53	-1.226	-1.403	-2.171	-3.222	-3.654	-2.997	-2.811	-3.497	-0.889	-0.471	-2.502	-3.204	-3.391	-3.581	-3.709	-3.833	-1.556	-2.223	-1.708	-0.52	-3.076	-3.449	-3.386	-3.054	-2.989	-3.704
"YKL103C"	3.004	2.475	3.367	3.367	3.61	3.041	2.703	2.339	1.948	-0.295	-2.533	2.136	0.769	0.951	2.17	2.261	1.919	2.578	0.976	1.602	4.872	4.748	3.056	2.298	1.921	1.524	-1.098	0.032	-0.423	1.323	2.37	1.802	2.788	1.409	0.969	1.341	1.334	3.553	1.729	1.11	2.165	1.865	0.944	2.724	1.916	0.778	0.505
"YKR070W"	0.24	0.489	0.255	0.413	0.736	0.562	-0.262	-0.324	-0.75	-1.471	-3.904	-0.133	-0.515	-0.504	0.742	1.095	0.974	0.918	0.925	0.844	1.172	1.582	1.012	0.093	-0.171	-0.157	-0.637	-1.682	-1.411	0.923	0.513	-0.35	-0.007	-0.156	-0.198	-0.327	-0.186	0.765	-0.112	-0.054	-0.07	-0.179	0.073	-0.184	-0.473	-0.122	-0.183
"YKR076W"	4.664	2.863	3.695	4.642	4.523	4.493	4.77	4.76	3.109	4.215	-0.113	3.119	2.854	2.389	2.761	3.84	3.995	5.016	3.782	3.716	3.006	3.639	4.656	4.278	4.042	4.538	4.985	4.234	3.654	4.776	4.459	3.177	2.489	3.59	3.693	3.257	3.773	5.09	3.766	3.435	4.373	3.013	2.863	4.538	3.998	2.687	3.66
"YLR043C"	0.869	0.722	0.616	0.759	0.837	1.004	-0.966	-0.905	-0.666	-2.278	-4.337	-1.218	-1.648	-1.81	0.181	0.321	0.081	0.149	0.31	0.376	0.542	0.892	0.829	-0.124	-0.434	-0.671	-1.762	-1.786	-1.552	0.507	0.155	-0.831	0.047	-0.777	-0.825	-0.942	-0.517	0.2	0.054	-0.325	-0.346	0.136	0.287	0.044	-0.297	-0.339	-1.554
"YLR060W"	-0.513	-0.179	-0.581	-0.866	-0.578	-0.436	-2.296	-2.499	-2.849	-4.941	-5.967	-1.988	-2.672	-2.566	-0.799	-0.947	0.288	-0.713	-0.832	-0.453	-0.211	-0.434	-0.645	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.656	-0.166	-2.464	-1.534	-1.72	-1.77	-1.452	-2.018	-0.19	-1.231	-0.865	0.164	-2.734	-2.666	-2.64	-2.996	-2.646	-3.346
"YLR062C"	-1.113	0.354	-0.476	-1.241	-1.17	-0.933	-3.067	-3.127	-4.077	-5.705	-6.896	-3.985	-3.965	-3.18	-0.577	-0.291	-0.465	-0.267	-0.192	-0.268	-0.871	-1.214	-0.666	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	-0.282	-0.734	-2.675	-3.446	-2.666	-1.934	-2.16	-1.658	-1.026	-1.615	-1.743	-1.314	-3.806	-3.723	-4.54	-4.001	-2.894	-3.419
"YLR065C"	-0.279	0.107	-0.367	-0.467	-0.208	-0.051	-1.638	-1.191	-1.341	-1.93	-3.028	-1.343	-1.411	-1.516	0.12	0.559	-0.08	0.164	0.146	0.172	-0.297	-0.199	0.048	-1.007	-1.07	-1.137	-1.477	-1.554	-1.642	0.287	-0.462	-0.712	-0.418	-0.544	-0.786	-0.69	-0.544	-0.279	-0.378	-0.108	-1.026	-0.712	-0.248	-1.485	-1.417	-0.902	-1.482
"YLR088W"	-0.875	-0.162	-0.146	-0.19	0.102	-0.006	-0.073	-0.235	-0.5	-2.639	-4.686	-0.746	-0.859	0.238	0.164	-0.22	0.251	-0.008	0.318	0.171	-0.134	-0.293	0.019	-0.191	-0.678	-0.823	-1.292	-1.303	-1.482	-0.104	-0.121	-0.349	-0.381	-0.837	-0.957	-1.21	-0.923	-0.153	-0.426	0.318	-0.604	-1.972	-1.218	-1.308	-1.237	-0.927	-1.506
"YLR104W"	0.019	0.294	0.417	0.373	0.579	0.708	-0.149	-0.285	-0.099	-1.751	-3.172	-0.156	-0.774	-0.837	0.104	0.301	0.435	0.097	0.124	0.271	0.166	0.357	0.303	-0.45	-0.523	-0.399	-0.625	-0.963	-0.763	0.254	-0.008	-0.186	-0.337	-0.501	-0.141	-0.19	0.084	0.209	-0.072	0.149	-0.256	-0.872	-0.399	-1.0	-1.265	-0.374	-0.82
"YLR197W"	-1.654	-1.149	-2.263	-2.63	-1.881	-1.453	-2.795	-2.789	-3.255	-4.736	-5.242	-3.238	-3.258	-3.282	-0.152	-0.596	-0.263	-0.529	-0.087	-0.073	-1.163	-1.692	-0.858	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	-0.158	-1.574	-2.488	-3.686	-3.052	-3.145	-3.099	-2.81	-1.161	-1.558	-1.325	-1.807	-4.983	-3.17	-4.545	-3.045	-2.593	-2.321
"YLR413W"	-0.802	-2.013	-3.16	-2.894	-2.333	-1.898	-4.832	-4.874	-5.063	-5.414	-5.846	-3.865	-3.034	-3.629	-1.689	-1.993	0.096	-1.764	0.11	-0.026	-3.642	-0.85	0.0	-4.488	-4.358	-4.993	-4.2	-4.656	-4.874	-0.568	-0.888	-3.737	-3.484	-3.83	-3.616	-3.594	-3.775	-0.608	-1.974	-0.274	-2.517	-4.298	-4.176	-4.449	-4.04	-4.16	-4.919
"YML001W"	0.277	0.621	0.646	0.157	0.378	0.227	0.027	-0.677	-0.707	-2.307	-4.531	-0.452	-1.037	-0.332	0.214	0.521	0.585	0.4	0.516	0.416	0.451	0.835	0.388	-0.108	-0.594	-0.45	-0.141	-0.3	-1.181	0.418	0.493	-0.482	0.618	-0.019	-0.035	-0.124	-0.227	0.44	-0.088	-0.312	-0.102	0.006	0.093	-0.29	0.08	-0.259	-0.711
"YML012W"	0.093	0.539	0.58	0.533	0.387	0.596	-0.058	-0.24	-0.168	-1.75	-3.467	-0.407	-1.187	-0.736	0.081	-0.063	0.208	0.303	0.295	0.431	-0.19	-0.03	0.159	0.003	-0.264	-0.139	-0.548	-0.641	-0.811	0.182	-0.015	-0.643	0.124	-0.75	-0.327	-0.595	-0.348	-0.128	-0.04	0.198	0.227	-1.133	-0.826	-0.835	-0.486	-0.53	-0.764
"YML067C"	-0.226	0.238	0.191	-0.014	0.203	-0.054	0.029	-0.62	-0.783	-1.38	-1.946	-1.034	-0.688	-1.091	-0.216	0.305	0.197	-0.112	-0.031	-0.268	1.214	0.897	0.264	-0.497	-0.407	-0.007	-0.357	-0.342	-0.357	0.448	-0.044	0.06	-0.275	-0.123	-0.29	-0.239	-0.218	0.282	-0.483	-0.139	-0.405	-0.026	-0.074	-0.356	-0.408	-0.716	-0.749
"YML131W"	3.791	3.608	3.926	3.755	2.906	3.309	3.29	2.805	2.558	2.369	0.75	2.352	2.165	2.202	3.117	3.653	3.279	3.58	3.219	3.352	3.997	3.062	2.305	3.006	1.809	2.147	1.188	0.489	0.717	3.333	4.637	0.727	1.554	1.741	1.309	0.963	1.085	4.949	0.828	1.374	1.436	1.034	2.33	2.396	2.238	1.277	2.091
"YMR092C"	0.531	0.554	1.014	0.886	1.087	0.412	0.073	-0.179	-0.067	-1.311	-3.503	-0.169	-0.987	0.353	0.624	0.921	1.083	0.599	0.553	0.622	0.66	1.379	0.791	0.63	0.277	0.188	-1.246	-1.529	-2.055	0.393	0.569	-0.19	-0.632	-0.907	-0.903	-1.223	-1.167	0.62	0.206	0.373	0.35	0.806	0.261	1.25	0.234	-0.132	-0.347
"YMR173W"	2.983	2.2355	2.494	2.3415	2.6315	2.431	2.3275	2.808	3.558	0.3555	-1.418	0.88	0.322	0.3515	3.2395	3.9245	3.618	3.8615	3.5315	3.2415	4.581	4.214	3.492	2.101	2.7	2.318	-0.452	-0.6855	-0.705	3.8505	4.359	1.68866666666667	2.4215	1.801	1.38	1.0195	0.8885	4.141	2.559	3.1005	3.713	0.93	1.44	2.384	1.115	0.893	1.964
"YMR197C"	1.059	0.902	1.482	1.502	1.446	1.116	1.445	0.835	0.331	1.027	-2.474	1.484	0.558	0.718	1.115	1.305	1.407	1.092	1.221	1.161	0.885	1.379	1.263	0.953	0.804	1.005	0.346	0.112	-0.197	1.157	0.932	0.786	0.934	0.724	0.688	1.012	0.993	1.136	1.072	1.328	1.681	0.438	0.417	0.908	0.774	0.344	0.27
"YMR315W"	2.373	2.864	3.492	3.578	3.702	3.322	0.945	0.447	0.964	-1.921	-2.44	0.586	-0.673	-1.289	1.555	2.032	2.168	2.278	1.893	1.868	4.067	2.879	2.576	1.572	1.345	1.249	-0.147	-0.386	-0.793	2.238	2.651	0.4205	0.675	0.028	-0.311	-0.723	-0.413	2.605	2.975	2.875	4.02	-0.799	-1.028	0.562	0.364	-0.32	-0.36
"YNL026W"	0.623	0.445	0.502	0.585	0.781	0.41	-0.935	-0.735	-1.046	-1.792	-4.57	-0.467	-0.633	-1.031	0.135	0.541	0.386	0.363	0.248	0.096	0.532	0.656	0.351	-0.24	-0.536	-0.769	-1.742	-1.531	-1.966	0.174	0.718	-0.402	-0.676	-0.952	-0.604	-0.742	-0.617	0.832	0.806	0.76	0.637	0.548	0.197	0.791	0.182	-0.012	-1.077
