	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"827.wt vs zap1 - 61 nM zinc"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"7530.DBY msn2msn4 37C - 20 min"	"7763.Na+FK 30min"	"8526.dun1- + 0.02% MMs - 30 min"	"11466.yO1 test hyb"	"12471.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 mutant vector"	"12744.heat shock 17 to 37, 20 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34349.wt_hypo_osmotic_shock_16min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38156.03II01 batch p12"
"YGL030W"	-2.291	-1.943	-2.592	0.628	-1.083	-0.813	-1.531	-2.277	0.268	-0.164	-1.042	-3.613	-2.888	-2.582	-1.861	-2.363	-3.668	-5.484	-1.677	0.541	-2.388	-2.751	-2.6	-2.361	0.137	-1.668	-2.044	-3.011	-0.232	0.193	-0.027	-0.108	-1.683	0.06	-0.045	-0.951	-0.982	-0.185	-1.6485	0.5355	-2.603	-3.939	-2.871	-2.529	-3.575	-2.76	-2.198	-3.156	0.829	0.235	0.494	0.885	-1.372	-2.466	-3.588	-2.564	1.071
"YGL123W"	-2.557	-2.339	-3.47	0.492	-0.641	-1.363	-1.622	-2.649	0.495	-0.084	-1.236	-3.781	-3.757	-3.726	-3.265	-2.802	-4.004	-5.982	-1.642	-0.24	-4.112	-3.654	-3.701	-3.959	0.589	-2.388	-2.65	-3.558	-0.692	0.062	0.174	0.417	-1.703	0.378	-0.027	-0.991	-1.235	-0.14	-2.357	0.626	-3.308	-4.217	-3.27	-2.813	-4.123	-3.488	-2.693	-2.743	0.054	0.214	0.516	0.634	-1.729	-2.814	-3.674	-2.831	1.359
"YGL135W"	-2.285	-2.468	-3.231	0.798	-1.282	-1.047	-1.72	-2.804	0.269	-0.215	-1.323	-3.221	-2.573	-2.455	-2.548	-2.301	-3.418	-5.687	-1.34	0.356	-3.217	-3.23	-3.119	-2.071	0.488	-2.267	-2.874	-3.825	-0.412	0.183	0.278	0.457	-1.595	0.576	0.221	-1.108	-1.336	0.116	-2.233	0.495	-3.406	-3.443	-2.903	-2.236	-3.617	-3.009	-1.968	-2.509	0.107	0.096	0.465	0.263	-1.68	-2.197	-3.261	-2.609	1.297
"YGR085C"	-1.952	-2.023	-2.966	0.641	-0.951	-1.162	-1.501	-2.388	0.568	-0.246	-1.064	-3.713	-3.301	-2.511	-2.202	-2.29	-3.406	-6.059	-1.594	0.421	-3.071	-3.255	-3.013	-2.215	0.451	-3.306	-3.54	-4.179	0.669	0.255	0.313	0.275	-1.8	0.637	0.554	-0.44	-0.338	0.199	-2.156	0.301	-2.908	-4.004	-2.792	-2.272	-3.45	-3.003	-2.048	-1.785	0.539	0.492	0.029	0.226	-1.736	-2.54	-3.52	-2.491	1.259
"YHR176W"	0.5005	0.467	0.4025	-1.087	0.042	0.378	-0.13	-0.469	-0.07	-0.279	0.713	1.578	1.66	1.679	1.083	1.36	0.3	-0.839	1.045	-1.07	2.056	2.19	1.724	1.053	-0.151	1.201	1.637	0.794	-0.151	0.007	0.284	-0.653	1.126	-0.6965	-0.264	-0.008	-0.026	-0.0725	0.738	-0.882	0.109	0.457	0.34	0.078	0.176	0.418	0.262	0.359	-0.398	-0.051	-0.227	0.133	1.055	0.169	0.556	-0.303	-0.35
"YHR203C"	-2.0645	-1.915	-2.8785	0.557	-1.3645	-0.834	-1.815	-2.585	0.32	-0.159	-1.393	-3.926	-2.827	-3.148	-2.671	-2.372	-3.782	-5.944	-1.998	0.428	-3.917	-3.774	-3.412	-3.049	0.088	-2.575	-3.081	-3.941	-0.73	0.346	0.39	0.45	-1.717	0.6065	0.023	-0.787	-1.356	0.119	-2.302	0.467	-2.809	-4.467	-3.308	-2.46	-3.717	-3.449	-2.785	-3.424	0.154	0.248	0.539	0.427	-2.05	-2.966	-4.293	-3.001	1.439
"YIL018W"	-2.4325	-2.2685	-3.509	0.395	-1.079	-1.381	-1.7325	-2.824	0.755	-0.36	-1.216	-4.365	-3.03	-2.782	-2.724	-2.488	-3.492	-5.749	-0.848	-0.126	-3.362	-3.505	-3.056	-3.151	0.222	-2.661	-3.27	-3.914	-0.618	0.416	0.361	0.271	-1.985	0.1415	0.145	-1.475	-1.349	-0.217	-2.495	0.493	-3.4165	-4.277	-3.397	-2.864	-4.06	-3.676	-2.806	-2.821	0.054	-0.201	0.196	0.1	-1.765	-2.05	-3.555	-1.609	0.761
"YJL219W"	0.1	0.632	0.7515	-0.812	-0.136	0.329	-0.106	-0.145	-0.463	0.0	1.269	1.061	0.41	0.337	0.785	0.88	1.254	0.429	0.928	-1.115	0.934	1.112	0.795	1.06	0.139	1.629	1.471	1.452	-0.486	0.206	0.032	0.029	0.68	-0.303	-0.054	0.006	-0.197	-0.089	0.797	0.445	0.561	0.685	0.635	-0.333	0.538	0.829	0.169	0.79	-0.021	-0.361	0.088	0.074	0.611	0.399	0.766	0.296	-0.849
"YJR123W"	-2.5565	-1.912	-3.5655	1.368	-1.204	-1.277	-1.822	-2.317	0.321	-0.314	-1.155	-3.844	-3.276	-3.279	-3.375	-2.46	-4.381	-9.147	-1.536	0.169	-3.809	-3.529	-3.442	-3.646	0.398	-2.639	-3.543	-4.006	-0.79	0.188	0.165	0.373	-2.097	0.6315	0.153	-0.997	-1.58	0.053	-2.153	0.526	-3.445	-4.305	-3.113	-2.761	-3.711	-4.025	-2.566	-3.587	0.584	0.465	0.591	0.414	-1.533	-2.636	-3.755	-2.787	1.581
"YJR145C"	-2.2535	-1.8995	-2.8575	0.316	-1.176	-1.012	-1.7845	-2.537	0.392	-0.053	-1.453	-4.507	-3.488	-3.177	-2.731	-2.328	-3.54	-6.528	-1.781	0.4	-3.551	-3.547	-3.597	-3.707	0.524	-2.519	-3.105	-3.178	-0.781	0.297	0.134	0.344	-2.236	0.461	0.095	-0.802	-1.407	0.166	-2.312	0.515	-2.7805	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74	-2.94	0.047	0.137	0.269	0.388	-1.724	-2.609	-3.905	-2.836	1.3
"YLR062C"	-2.343	-2.335	-3.557	0.544	-1.517	-1.285	-1.524	-2.662	0.667	-0.61	-1.241	-4.53	-4.418	-3.352	-3.067	-3.127	-5.705	-6.896	-1.847	0.354	-3.6	-3.985	-3.965	-3.18	0.213	-4.299	-4.293	-5.234	-0.548	0.098	0.245	0.031	-2.368	0.514	0.35	-0.665	-1.204	0.22	-2.675	0.274	-3.134	-3.806	-3.723	-3.681	-4.54	-4.001	-2.894	-3.419	0.17	-0.03	0.238	0.584	-1.905	-2.779	-3.141	-2.876	1.226
"YLR388W"	-2.382	-1.861	-2.879	0.64	-1.48	-0.943	-1.406	-2.289	0.521	0.501	-0.961	-3.12	-2.544	-2.264	-1.926	-1.98	-3.596	-5.506	-1.651	0.678	-3.204	-3.058	-2.742	-2.362	0.314	-2.232	-2.581	-3.193	0.081	0.228	0.395	0.067	-1.452	0.611	0.412	-0.873	-0.993	0.045	-2.034	0.364	-2.761	-3.674	-2.798	-2.25	-3.762	-3.521	-2.816	-2.864	0.021	0.035	0.091	0.404	-1.536	-2.347	-3.334	-2.537	1.071
"YLR448W"	-2.009	-1.814	-2.821	0.4	-1.735	-1.357	-1.538	-2.804	0.588	-0.602	-1.381	-4.815	-3.882	-3.116	-3.083	-2.052	-3.552	-5.971	-1.842	0.484	-3.425	-3.454	-3.179	-2.573	0.011	-2.668	-3.192	-4.132	-0.82	0.171	0.394	0.044	-1.818	0.344	0.256	-0.572	-1.508	-0.247	-2.337	0.365	-2.983	-4.85	-3.788	-3.07	-4.791	-4.505	-3.161	-3.636	0.738	0.307	0.462	0.513	-1.946	-2.75	-3.657	-2.638	0.736
"YMR206W"	1.91	1.115	1.678	-1.64	-1.558	1.232	NaN	-1.033	-0.344	-1.477	0.953	5.096	5.169	3.275	4.362	3.877	3.162	3.714	3.54	-1.363	4.576	4.842	3.871	3.132	-0.564	3.484	3.712	3.871	-1.017	-0.893	-0.966	-1.651	2.575	-0.87	-0.668	-0.48	0.408	-0.379	3.1365	-0.547	2.805	2.638	5.044	2.713	5.241	5.047	3.103	4.036	0.0	-0.126	-0.508	-0.141	2.251	2.396	2.997	1.744	-0.773
"YMR242C"	-2.539	-1.639	-3.309	0.588	-1.335	-1.705	-1.649	-2.703	0.401	-0.148	-1.473	-4.702	-3.631	-3.819	-3.001	-2.522	-3.971	-6.226	-2.004	0.574	-3.832	-4.338	-3.636	-3.62	0.407	-2.601	-3.133	-3.475	-0.486	0.038	0.362	0.212	-1.611	0.832	0.267	-1.02	-1.85	0.192	-2.4615	0.309	-3.054	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	-3.856	0.17	-0.086	0.168	0.193	-1.905	-2.832	-3.582	-2.724	1.306
"YNL092W"	2.112	1.678	2.008	-1.07	0.638	1.051	0.32	0.28	-0.416	-0.204	0.25	2.256	1.133	1.631	1.862	2.515	0.606	0.428	1.26	-0.771	1.193	1.091	1.107	0.836	-0.136	0.876	1.078	0.746	-0.17	-0.478	0.23	0.242	-0.002	-0.755	-0.478	0.046	0.419	-0.285	1.547	-0.283	2.576	0.673	0.612	1.016	1.636	1.186	0.731	0.448	-0.335	0.16	-0.49	-0.359	-0.18	-0.289	0.896	-1.089	-1.254
"YNL096C"	-2.093	-1.957	-2.881	0.282	-2.023	-1.699	-1.149	-2.329	0.354	-0.303	-1.407	-4.113	-3.765	-3.642	-3.235	-2.81	-4.038	-6.106	-2.087	0.236	-3.331	-3.045	-2.761	-3.165	0.255	-3.644	-4.096	-4.68	-0.881	-0.027	0.185	0.069	-2.19	0.252	-0.071	-0.544	-1.25	-0.189	-2.8625	0.223	-2.812	-3.52	-2.764	-2.627	-3.087	-3.372	-2.098	-2.779	0.253	0.265	0.245	0.368	-2.208	-2.516	-3.108	-2.343	0.98
"YNL216W"	-1.152	-0.363	-0.986	-0.862	-1.249	-0.229	-0.438	-0.927	-0.236	-0.558	-1.087	-1.251	-0.584	-0.417	-1.329	-1.36	-0.988	-3.294	-0.48	-0.678	-1.542	-1.215	-0.641	-0.927	0.019	-0.211	-0.086	-0.436	-0.211	-0.332	-0.244	-0.139	-0.661	0.182	-0.214	-0.78	-0.759	0.05	-1.0395	0.195	-1.085	-1.014	-1.007	-1.526	-1.66	-1.662	-1.148	-1.007	-0.392	0.074	-0.208	-0.019	-0.739	-0.941	-0.536	-0.431	-0.666
"YOR276W"	-1.628	-1.175	-1.651	0.676	-0.745	-0.7105	-1.074	-1.605	0.185	0.112	-0.684	-2.1185	-1.5925	-1.4995	-1.3115	-1.455	-3.943	-4.3595	-0.9165	0.622	-1.8885	-1.44	-1.99	-1.6405	0.146	-1.759	-1.888	-2.356	0.205	0.064	0.147	-0.023	-1.182	0.376	0.408	-0.497	-1.021	0.007	-1.657	0.308	-1.814	-2.444	-1.699	-0.956	-2.349	-1.526	-1.139	-1.571	-0.144	0.228	-0.041	0.086	-1.18	-1.377	-1.953	-1.624	0.575
"YPL090C"	-2.09	-2.497	-3.529	-0.083	-1.348	-1.289	-1.691	-2.823	0.404	-0.445	-1.202	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-4.364	-6.197	-1.463	0.681	-3.398	-3.223	-3.3795	-3.2385	0.286	-3.292	-3.309	-4.719	-0.513	0.211	0.321	0.209	-1.174	0.778	0.489	-0.676	-1.131	0.028	-2.061	0.457	-3.272	-4.244	-3.265	-3.165	-4.101	-3.571	-2.951	-2.658	0.268	-0.193	0.173	0.196	-1.747	-2.426	-2.941	-2.515	0.459
"YPL220W"	-2.404	-2.267	-3.278	0.923	-1.265	-0.8855	-1.816	-2.806	0.4555	-0.098	-1.339	-3.389	-2.4215	-2.18	-2.214	-2.1715	-3.187	-6.1465	-1.554	0.513	-3.0375	-3.442	-3.3935	-2.852	0.505	-2.247	-2.571	-3.926	-0.424	0.266	0.082	0.039	-2.396	0.649	0.412	-1.042	-1.023	0.226	-1.925	0.576	-3.09	-3.366	-2.375	-1.67	-3.554	-2.774	-2.352	-3.007	0.015	-0.028	0.384	0.279	-1.471	-2.657	-3.294	-2.435	1.139
"YPR102C"	-2.298	-2.206	-3.37	0.2055	-0.983	-1.02	-1.491	-2.43	0.223	-0.2735	-1.218	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-4.045	-6.451	-1.4375	0.0895	-3.5055	-4.118	-3.673	-3.277	0.211	-3.352	-3.749	-4.692	-0.524	0.195	0.326	0.372	-1.781	0.813	0.337	-0.609	-1.25	0.178	-2.384	0.412	-3.007	-3.927	-2.614	-2.344	-4.015	-3.517	-2.547	-3.247	-0.1	-0.015	-0.003	0.262	-1.558	-2.691	-3.663	-2.864	0.716
"YPR187W"	-1.649	-1.59	-1.951	0.7685	-0.918	-1.112	-0.753	-1.449	0.185	0.355	-0.899	-2.5615	-1.8665	-1.5675	-1.8265	-1.511	-3.609	-5.408	-2.045	0.454	-2.283	-2.232	-2.16	-1.962	0.24	-2.28	-2.584	-3.22	0.63	0.121	0.253	-0.036	-1.32	0.586	0.549	0.585	-1.1	-0.158	-1.604	0.206	-2.036	-2.584	-2.061	-1.502	-2.896	-2.213	-1.752	-2.009	0.025	0.029	0.147	-0.036	-1.068	-1.566	-1.933	-1.687	0.605
