	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"978.wt_plus_gamma_20_min"	"979.wt_plus_gamma_30_min"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1172.pho80 mutant vs wild type"	"1173.PHO4c vs. wild type"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1301.PHO81c vs. wild type, exp.2"	"4872.1M sorbitol - 60 min"	"11466.yO1 test hyb"	"12739.Nitrogen Depletion 30 min."	"21631..24 mM H2O2- 190 minutes"	"30773.Pomona/Brown Sir3x red"	"34360.batch 02X25 4"	"38154.03II01 batch p10"	"40965.MD_II_28_min"
"YBR181C"	-3.762	-3.149	-2.554	-2.265	-3.798	-4.564	-3.3	-3.365	-3.159	-0.468	-0.683	-5.0305	-2.493	-2.7035	-2.654	-2.96	-3.945	0.088	0.143	-0.459	-0.329	-0.318	0.2295	-2.337	-0.724	0.1875	-0.0605	-1.982	-1.888	-1.554
"YBR191W"	-3.54	-3.222	-3.049	-2.249	-3.167	-5.241	-3.152	-3.411	-2.563	-0.925	-0.989	-4.5465	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.079	0.013	-0.707	-0.409	-0.289	0.1555	-1.3105	-1.667	-0.004	-0.1725	-1.925	-1.935	-0.304
"YCL037C"	-4.172	-2.907	-2.398	-3.02	-2.555	-3.932	-2.218	-1.842	-1.711	-0.654	-0.293	-3.1075	-2.8585	-3.054	-2.457	-2.4225	-2.617	0.386	0.248	-1.229	-0.426	0.378	-0.06	-2.864	-1.6815	-0.552	0.295	-0.905	-1.682	-0.815
"YCR038C"	1.161	0.777	0.856	1.394	-1.096	-1.681	0.562	0.713	0.967	0.026	-0.278	0.7135	0.968	0.922	0.158	-0.172	0.0625	0.108	0.034	0.192	0.546	0.545	0.0825	0.404	0.2105	0.302	0.129	-0.609	0.382	0.628
"YDL051W"	-3.639	-2.402	-2.024	-1.821	-2.856	-3.563	-2.198	-1.985	-2.131	-0.458	-0.593	-2.973	-1.892	-1.804	-1.557	-2.325	-2.819	-0.035	0.137	-0.487	-0.915	-0.339	0.163	-1.28	-1.449	-0.006	0.14	-1.373	-1.13	0.43
"YDL075W"	-2.825	-3.453	-2.828	-2.896	-2.581	-3.777	-2.009	-2.729	-1.791	-0.372	-0.649	-3.016	-2.472	-2.785	-2.433	-1.878	-3.427	0.227	0.375	-0.742	-0.974	-0.343	-0.084	-2.554	-0.992	0.08	-0.1475	-2.081	-1.374	0.4305
"YDL083C"	-3.139	-3.706	-3.045	-3.08	-3.106	-3.908	-3.133	-3.246	-3.0	-0.552	-0.643	-2.474	-2.301	-2.71	-2.252	-2.052	-3.014	-0.087	0.362	-0.308	-2.102	0.002	-0.076	-2.197	-1.797	0.032	-0.263	-1.937	-1.601	0.222
"YDR025W"	-3.904	-3.548	-3.252	-2.573	-3.393	-6.697	-3.357	-3.356	-3.471	-0.896	-0.834	-4.504	-1.915	-2.886	-2.503	-2.895	-3.518	-0.048	0.505	-0.141	0.446	-0.037	-0.035	-1.7675	-1.529	-0.0015	-0.1195	-1.818	-1.535	0.015
"YDR037W"	-4.313	-3.427	-3.607	-3.146	-4.551	-5.224	-3.226	-2.505	-2.756	-0.632	-0.297	-1.971	-2.681	-2.313	-2.916	-3.368	-3.772	-0.155	0.653	0.041	-0.406	-0.076	-0.13	-2.523	-0.541	-0.25	0.185	-1.67	-1.915	0.394
"YDR064W"	-3.874	-3.241	-2.585	-2.577	-3.761	-5.03	-3.208	-3.138	-2.511	-0.329	-0.803	-3.65	-2.718	-2.943	-2.527	-2.531	-3.199	-0.285	-0.112	-0.482	-0.506	-0.388	-0.36	-1.996	-1.917	-0.4425	-0.4825	-2.475	-1.898	0.3425
"YDR101C"	-4.306	-3.203	-3.082	-2.55	-4.145	-4.667	-3.385	-2.743	-1.752	-1.183	-0.743	-2.52	-1.96	-2.252	-2.862	-3.177	-3.516	-0.128	-0.047	0.04	-0.887	-0.081	0.107	-2.013	-2.077	-0.528	-0.103	-1.941	-2.303	-1.68
"YDR245W"	0.179	-1.6455	-1.349	-1.899	-1.932	-3.6715	-1.483	-1.5815	-1.5755	-0.5215	-0.471	-1.5075	-1.4085	-1.39	-1.7115	-2.2845	-2.201	-0.0335	0.1405	-0.1035	-0.1375	-0.3185	0.0415	-1.29866666666667	-0.0535	-0.436666666666667	0.155	-0.5935	-0.2635	-0.3885
"YDR277C"	2.397	2.377	2.388	2.097	3.712	3.975	3.116	3.287	2.556	0.185	0.141	2.28	2.071	2.921	2.764	3.981	3.816	-0.292	0.151	-0.362	1.502	-0.153	-0.002	1.765	-0.011	0.634	-0.313	-0.423	1.027	-0.804
"YDR284C"	2.017	1.49	0.929	0.991	-1.533	-1.912	0.528	-0.094	-0.342	0.417	0.458	1.47	0.387	0.425	-0.716	-0.73	-1.084	-0.062	0.034	0.117	0.597	0.318	0.083	0.426	0.533	0.072	-0.111	0.911	0.742	-1.625
"YDR341C"	-3.559	-2.27	-1.485	-1.763	-3.212	-5.262	-2.587	-2.171	-2.134	-1.163	-0.778	-2.942	-1.942	-2.263	-3.262	-3.294	-3.559	0.178	0.318	0.134	0.139	0.365	0.1	-1.562	-0.551	-0.185	0.213	-1.239	-1.139	0.272
"YDR417C"	-3.705	-2.778	-2.992	-2.407	-4.279	-5.062	-3.58	-3.209	-2.864	-1.06	-0.801	-4.223	-2.573	-2.986	-2.861	-3.022	-3.606	-0.213	0.327	-0.109	-0.273	-0.278	0.078	-2.149	-1.992	0.319	-0.093	-1.903	-1.276	0.082
"YDR447C"	-4.882	-3.934	-3.531	-3.26	-3.659	-5.332	-3.574	-3.565	-2.813	-0.86	-0.676	-4.249	-2.432	-2.817	-2.53	-2.625	-3.552	0.04	0.509	-0.816	-0.646	-0.57	0.176	-2.1165	-1.083	-0.0465	-0.285	-1.622	-1.595	-1.217
"YDR500C"	-2.796	-2.33	-2.289	-1.732	-2.587	-2.649	-2.364	-2.622	-2.006	-0.742	-0.5	-3.376	-1.925	-1.831	-1.422	-1.041	-2.16	0.077	-0.195	-0.51	-0.423	-0.247	-0.104	0.1945	-1.578	0.2205	-0.255	-1.558	-1.755	0.6985
"YEL009C"	0.378	1.491	1.25	1.067	1.316	-1.281	0.109	0.121	0.004	0.082	-0.09	1.294	1.018	1.047	1.254	0.823	-0.183	-0.111	0.514	0.02	0.102	0.136	-0.024	0.499	-0.046	0.028	0.0825	0.168	0.608	0.224
"YEL040W"	-3.201	-3.812	-3.508	-3.911	-3.786	-4.551	-2.739	-2.682	-3.347	-0.88	-0.609	-3.017	-4.461	-3.561	-3.111	-3.855	-3.066	-0.073	0.166	-0.07	-0.55	0.093	-0.591	-3.1215	-1.038	-0.4165	0.1445	-2.371	-1.564	-1.196
"YER074W"	-3.675	-3.209	-3.607	-2.262	-3.067	-3.854	-3.085	-3.135	-0.968	-0.814	-0.523	-5.146	-2.823	-2.735	-2.339	-2.829	-3.947	0.071	-0.093	-0.856	-0.3	-0.352	0.089	-2.253	-1.418	0.159	-0.336	-0.519	-0.314	0.468
"YER102W"	-3.932	-3.965	-3.177	-2.924	-3.64	-6.434	-3.101	-3.625	-3.37	-0.814	-0.72	-4.286	-2.613	-2.593	-2.579	-3.326	-3.859	-0.405	0.276	-0.08	-0.18	-0.151	0.299	-2.388	-1.178	0.326	0.011	-1.998	-1.112	0.803
"YER179W"	NaN	2.7	-2.0	NaN	1.807	NaN	NaN	NaN	1.0	0.472	0.406	1.424	0.823	0.147	1.15	1.151	0.568	-0.062	-0.512	0.12	0.778	0.413	0.008	0.4225	0.477	0.517	0.036	-0.526	-0.325	0.545
"YFR001W"	-1.395	-1.155	-1.321	-0.995	-2.138	-3.337	-1.717	-1.419	-1.062	-0.423	0.019	-2.122	-1.188	-1.741	-1.731	-2.216	-2.13	0.139	0.271	-0.675	-0.73	-0.117	0.206	-1.231	-0.455	-0.272	0.11	-1.012	-0.58	-0.642
"YFR031BC"	-4.567	-3.823	-3.84	-2.931	-4.702	-7.029	-3.328	-3.949	-3.594	-0.974	-0.887	-4.74	-2.521	-2.912	-3.164	-3.863	-4.146	-0.37	0.251	-0.155	-0.229	-0.064	-0.05	-2.438	-2.095	0.007	-0.147	NaN	NaN	NaN
"YGL030W"	-3.613	-2.888	-2.582	-1.861	-3.668	-5.484	-2.388	-2.751	-2.6	-0.763	-1.007	-3.284	-2.592	-2.534	-1.668	-2.044	-3.011	-0.106	-0.074	-0.485	-0.191	-0.102	-0.101	-1.6485	-2.023	0.035	-0.534	-1.372	-1.805	0.189
"YGL031C"	-3.366	-4.285	-3.732	-2.9	-3.683	-5.763	-3.041	-2.881	-3.063	-0.757	-0.681	-5.191	-2.475	-2.899	-2.92	-3.061	-3.473	0.12	0.255	-0.781	-0.155	-0.449	0.114	-2.655	-0.57	0.295	0.142	-1.277	-1.75	-0.245
"YGL051W"	1.242	1.323	0.735	0.431	-0.478	-1.216	0.227	0.275	-0.043	-0.117	0.162	1.533	0.908	0.984	0.69	0.316	0.096	0.048	0.033	0.031	0.412	0.432	-0.057	0.027	0.114	0.328	0.062	-0.017	0.647	-0.295
"YGL076C"	-3.969	-3.136	-2.73	-2.564	-3.976	-5.667	-3.32	-2.996	-2.857	-1.184	-1.012	-4.142	-2.568	-2.648	-2.836	-2.79	-3.782	-0.251	0.017	-0.297	-0.264	-0.231	-0.016	-1.8735	-1.62	0.157	-0.0315	-2.332	-1.751	0.2725
"YGL077C"	-2.268	-0.218	-0.644	-1.05	-3.716	-3.533	-0.962	-0.99	-1.313	-0.047	-0.457	-0.726	-1.683	-1.693	-2.529	-2.903	-2.463	0.011	0.282	0.107	-0.068	-0.19	0.431	-1.243	-0.336	-0.117	0.251	-1.247	-0.087	-0.401
"YGL097W"	-1.806	-1.291	-1.065	-1.469	-3.311	-5.124	-1.704	-1.407	-1.338	-0.719	-0.424	-0.928	-0.786	-1.446	-1.203	-1.641	-1.241	-0.234	0.068	0.048	-0.327	-0.091	0.065	-1.755	-0.538	-0.335	0.389	-0.337	-0.752	-0.926
"YGL123W"	-3.781	-3.757	-3.726	-3.265	-4.004	-5.982	-4.112	-3.654	-3.701	-0.988	-0.955	-3.511	-2.414	-2.278	-2.388	-2.65	-3.558	-0.336	0.348	0.078	-0.086	-0.033	0.027	-2.357	-1.745	0.356	0.216	-1.729	-1.46	-0.378
"YGL148W"	-3.561	-2.137	-1.719	-1.873	-2.826	-3.915	-2.983	-2.53	-2.64	-0.898	-0.863	-2.555	-2.049	-2.327	-1.666	-1.996	2.781	-0.059	-0.053	-0.049	-0.038	0.302	0.038	-2.275	-0.945	-0.301	0.018	-1.847	-0.892	0.399
"YGL157W"	-3.669	-4.154	-3.753	-4.456	-3.578	-6.107	-1.481	-1.996	-1.999	0.472	0.673	-1.941	-2.738	-2.628	-2.488	-2.817	-3.666	-0.055	0.273	0.224	0.93	0.608	0.279	-2.632	1.016	0.656	-0.128	-0.109	-0.928	0.204
"YGR034W"	-3.922	-3.172	-3.096	-2.637	-3.052	-6.281	-3.268	-2.935	-2.282	-0.803	-0.804	-3.635	-2.022	-2.01	-1.301	-1.401	-2.48	0.384	-0.031	0.203	-0.193	0.344	0.049	-1.469	-1.611	-0.153	-0.694	-0.146	-1.784	-0.075
"YGR085C"	-3.713	-3.301	-2.511	-2.202	-3.406	-6.059	-3.071	-3.255	-3.013	-0.672	-0.661	-4.359	-2.625	-2.77	-3.306	-3.54	-4.179	0.027	-0.182	0.027	0.365	0.283	0.278	-2.156	-1.073	-0.292	0.177	-1.736	-1.448	-0.239
"YGR148C"	-3.45	-3.596	-3.464	-3.033	-3.884	-5.757	-3.141	-3.011	-2.956	-0.684	-0.673	-5.063	-2.508	-2.896	-3.022	-3.649	-4.092	0.13	0.174	-0.927	-0.289	-0.475	0.022	-2.7095	-0.573	0.2	0.117	-1.221	-0.946	-0.018
"YGR185C"	-3.192	-1.697	-1.695	-1.31	-5.306	-6.361	-1.442	-1.736	-2.6	-0.79	-0.709	-2.754	-2.531	-2.944	-4.576	-4.871	-5.006	-0.163	0.125	-0.196	-0.076	0.107	0.181	-2.438	-0.288	0.261	0.247	-1.353	-0.217	0.325
"YGR228W"	-0.989	-1.174	-0.93	-1.867	-3.591	-3.357	-1.584	-1.333	-2.083	-0.212	-0.094	-2.018	-1.636	-2.0	-1.052	-2.915	-2.078	0.075	0.418	-0.086	0.076	0.466	0.034	-0.946	0.102	-0.228	-0.588	-0.176	0.661	0.704
"YGR229C"	-0.832	-0.57	-0.382	-0.754	-2.847	-4.256	-1.104	-1.1	-1.987	0.153	0.153	-1.823	-1.569	-1.658	-2.401	-2.58	-3.391	-0.145	0.018	-0.037	-0.15	-0.033	0.076	-1.347	0.104	-0.244	0.164	-0.881	-0.191	-0.143
"YGR234W"	-2.039	2.015	1.269	0.337	-3.567	-3.847	-1.833	-0.67	-1.031	-1.177	-0.93	-1.598	-2.118	-3.518	-3.826	-4.345	-4.526	0.247	1.111	0.093	0.755	0.703	-0.767	-1.864	-0.781	0.542	0.153	-0.105	0.708	-0.878
"YGR239C"	-0.44	1.991	1.916	1.295	-0.696	-2.321	-0.306	0.05	1.754	0.0	0.197	1.245	0.19	0.7	2.298	4.067	1.467	-0.013	-0.826	-0.128	-0.078	-0.054	-0.046	0.183	0.408	0.113	0.145	-0.408	1.111	0.448
"YGR264C"	-3.787	-2.696	-3.156	-3.156	-5.206	-4.616	-3.505	-3.321	-2.811	-1.001	-0.645	-3.897	-2.707	-3.468	-4.623	-4.957	-4.753	-0.072	0.166	0.162	-0.388	-0.101	-0.079	-2.468	-1.342	-0.521	0.669	-2.494	-0.831	-0.165
"YHR068W"	-3.316	-2.566	-2.252	-2.251	-4.28	-6.532	-2.873	-2.52	-2.526	-0.85	-0.676	-2.945	-1.927	-2.429	-2.724	-3.669	-3.425	-0.125	-0.257	0.215	0.145	0.309	0.241	-2.29	-0.905	0.142	0.103	-2.232	-1.183	0.367
"YHR123W"	-1.168	-0.611	-0.799	-1.05	-3.763	-4.132	-1.118	-1.492	-1.439	-0.248	-0.486	-2.216	-1.965	-2.024	-2.917	-2.775	-2.647	0.1	0.183	-0.267	0.196	0.181	0.254	-1.21	-0.303	0.14	0.095	-1.184	-1.017	0.59
"YHR141C"	-2.32	-2.364	-2.143	-1.635	-2.472	-3.64	-2.31	-2.677	-2.575	-0.323	-0.47	-2.888	-1.753	-1.569	-1.819	-1.838	-2.014	-0.044	-0.396	-0.854	-0.557	-0.507	0.039	-1.582	-1.283	0.012	-0.321	-1.228	-1.609	-0.699
"YHR163W"	-1.664	-2.277	-2.022	-1.925	-2.869	-4.663	-1.13	-0.699	-1.832	-0.475	-0.352	-0.834	-1.314	-1.439	-0.397	-2.471	-2.366	-0.173	0.276	0.231	0.071	0.045	-0.216	-1.939	0.036	0.083	0.093	-0.998	-0.904	-0.889
"YHR203C"	-3.926	-2.827	-3.148	-2.671	-3.782	-5.944	-3.917	-3.774	-3.412	-1.14	-0.981	-4.669	-2.437	-2.591	-2.575	-3.081	-3.941	-0.367	0.079	-0.034	-0.289	-0.091	0.264	-2.302	-1.168	0.363	0.138	-2.05	-1.066	-0.071
"YIL052C"	-3.856	-3.261	-2.954	-2.61	-2.895	-6.278	-2.82	-2.793	-2.559	-0.793	-0.819	-4.174	-2.271	-2.546	-2.162	-2.5	-3.158	0.126	0.386	-0.73	-0.151	-0.126	0.24	-1.743	-0.844	0.112	-0.255	-1.331	-2.032	-0.295
"YIL078W"	-2.907	-2.075	-2.018	-2.219	-5.192	-6.059	-2.282	-2.288	-2.5	-0.178	-0.509	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	0.181	0.117	0.233	-0.087	0.437	0.141	-2.348	-0.463	-0.436	0.351	-0.96	-0.364	0.201
"YIL177C"	0.798	0.724	0.402	0.572	0.482	-1.105	-0.459	-0.249	0.211	0.215	0.321	0.727	0.923	0.407	1.533	1.328	1.678	0.529	0.223	0.223	0.487	0.736	-0.124	0.683	-0.352	-0.366	-0.522	-0.0705	0.426	NaN
"YJL080C"	-2.655	-2.64	-1.679	-1.79	-3.029	-3.232	-1.693	-1.793	-1.545	-0.123	-0.127	-2.248	-2.293	-2.334	-2.401	-2.866	-3.001	0.285	0.318	0.289	0.139	0.189	0.026	-1.086	-0.816	-0.443	0.064	-0.637	-0.95	0.038
"YJL177W"	-4.132	-3.846	-3.2	-2.981	-3.255	-5.49	-3.409	-3.772	-3.428	-1.067	-0.871	-5.074	-2.525	-2.421	-1.768	-2.278	-2.905	0.11	0.206	-0.537	-0.215	-0.366	0.25	-2.348	-1.477	0.224	-0.127	-1.853	-1.743	-1.183
"YJL189W"	-3.545	-2.317	-2.319	-2.282	-2.901	-4.28	-2.446	-2.278	-1.716	-0.396	-0.393	-3.49	-1.78	-2.141	-1.577	-2.282	-2.837	0.038	0.103	-0.934	-0.462	-0.374	-0.058	-1.034	-0.955	-0.202	-0.775	-1.14	-1.465	-0.303
"YJL190C"	-3.794	-3.553	-3.267	-2.958	-3.585	-6.079	-3.969	-3.744	-3.536	-0.793	-0.897	-4.469	-3.105	-3.227	-2.941	-3.365	-3.524	0.086	-0.025	-0.375	-0.099	-0.081	0.048	-2.43	-2.107	-0.154	0.084	-2.045	-2.179	-1.193
"YJL191W"	-3.452	-1.944	-1.991	-1.784	-2.009	-3.556	-2.533	-2.223	-1.537	-0.953	-0.745	-2.213	-1.749	-1.921	-0.939	-1.399	-2.138	-0.168	0.186	-0.298	-0.204	-0.081	0.078	-0.482	-1.951	-0.106	-0.498	-1.172	-1.517	-0.975
"YJR003C"	-2.372	-2.025	-1.727	-1.346	-2.48	-3.457	-1.107	-1.02	-0.552	-0.791	-0.467	-2.02	-0.824	-0.91	-2.176	-2.349	-2.42	-0.259	-0.174	-0.055	-0.688	-0.219	-0.218	-0.882	-0.693	-0.395	0.136	-0.651	-0.397	-1.603
"YJR007W"	-2.169	-1.704	-1.629	-2.107	-3.21	-8.057	-1.588	-1.339	-1.824	-0.579	-0.524	-1.755	-1.848	-2.051	-2.909	-3.009	-3.616	0.096	0.531	-0.174	-0.019	0.115	-0.054	-1.685	-0.563	-0.433	-0.02	-0.767	-0.572	0.64
"YJR145C"	-4.507	-3.488	-3.177	-2.731	-3.54	-6.528	-3.551	-3.547	-3.597	-0.926	-0.706	-4.857	-2.396	-2.336	-2.519	-3.105	-3.178	-0.172	-0.043	0.052	-0.36	-0.065	0.381	-2.312	-1.214	-0.217	0.106	-1.724	-1.447	-1.104
"YJR147W"	-1.529	0.213	-1.754	-0.347	-2.408	-1.534	-0.361	-0.682	-0.75	-0.714	-0.791	-0.878	-0.915	-1.514	-0.198	-0.553	-0.503	0.511	-0.518	0.365	-0.064	0.407	0.031	-0.747	-0.475	0.011	0.094	-0.708	0.153	-1.219
"YKL006W"	-4.299	-3.901	-3.389	-2.854	-2.835	-5.113	-3.049	-3.027	-2.997	-0.831	-0.665	-4.545	-2.442	-2.791	-1.939	-2.29	-2.843	-0.003	0.042	-0.306	-0.259	-0.277	0.2	-2.458	-1.774	0.283	-0.795	-1.683	-2.032	0.721
"YKL021C"	-2.005	-1.086	-1.265	-0.931	-2.503	-3.469	-1.026	-1.339	-1.103	-0.307	-0.058	-2.158	-1.655	-1.492	-2.25	-2.126	-2.619	-0.105	0.023	-0.175	-0.519	0.056	-0.065	-1.502	-0.688	0.149	-0.11	-0.86	-0.521	-0.08
"YKL056C"	-3.205	-2.603	-3.118	-2.355	-3.426	-5.119	-1.914	-2.359	-2.371	-0.458	-0.491	-2.468	-1.741	-2.281	-2.754	-3.265	-3.483	-0.357	0.398	0.139	-0.103	0.253	0.072	-1.777	-1.371	-0.028	0.125	-0.479	-1.135	0.098
"YKL072W"	-4.227	-2.337	-1.737	-2.396	-3.695	-3.566	-0.625	-0.835	-0.054	0.019	0.146	-1.052	-0.337	-0.796	-1.028	-1.93	-1.302	0.121	-0.221	-0.02	-0.171	-0.08	0.028	-0.11	0.16	-0.799	0.008	-0.49	-0.795	-1.391
"YKL081W"	-3.858	-3.184	-2.035	-2.096	-4.49	-5.155	-3.28	-3.157	-3.837	-0.598	-0.334	-3.635	-3.222	-3.654	-2.997	-2.811	-3.497	-0.326	-0.432	0.315	-0.341	0.485	-0.042	-2.502	-1.88	-0.007	0.208	-1.568	-1.242	1.007
"YKL172W"	-4.354	-2.219	-1.661	-1.733	-2.813	-5.305	-2.545	-1.257	-1.964	-0.491	-0.058	-3.248	-1.613	-2.079	-2.271	-2.723	-3.135	0.294	0.422	-0.812	-1.0	-0.01	0.34	-1.592	-0.523	-0.342	-0.124	-1.029	-1.836	-0.611
"YKR098C"	2.896	1.537	1.232	0.967	-2.481	-2.091	1.743	1.512	0.521	1.0	0.834	2.198	0.561	0.479	1.14	0.551	1.032	0.455	-0.245	0.263	-0.061	0.683	0.014	0.413	1.163	0.303	-0.063	NaN	-0.926	-1.135
"YLL044W"	-4.871	-3.525	-3.158	-2.869	-3.79	-6.48	-3.313	-3.031	-3.269	-1.128	-1.047	-3.872	-2.654	-2.736	-2.724	-3.494	-3.967	-0.082	0.509	-0.275	-0.05	-0.078	-0.086	-2.227	-1.532	0.374	0.202	-2.417	-2.756	-0.054
"YLL045C"	-3.851	-3.176	-2.506	-2.189	-3.857	-6.618	-3.169	-3.335	-3.185	-1.0	-0.929	-3.66	-2.604	-2.495	-2.943	-3.021	-3.731	-0.042	0.306	-0.157	-0.053	0.016	0.223	-2.165	-1.497	0.499	0.142	-2.053	-2.09	-0.483
"YLR008C"	-0.786	-0.359	-0.913	-1.359	-2.048	-2.631	-1.785	-1.066	-1.258	-0.252	0.042	-1.092	-1.736	-1.493	-1.242	-1.503	-2.347	-0.319	-0.722	-0.186	-0.264	-0.147	-0.364	-1.283	-0.481	-0.22	-0.421	-0.188	-0.101	0.746
"YLR061W"	-4.925	-4.297	-4.115	-3.603	-4.939	-6.591	-3.239	-3.818	-3.021	-0.752	-0.693	-4.326	-2.433	-2.88	-3.309	-3.833	-3.91	-0.033	-0.12	-0.182	-0.377	-0.326	0.078	-2.482	-1.581	-0.374	0.031	-1.487	-2.073	-0.26
"YLR062C"	-4.53	-4.418	-3.352	-3.067	-5.705	-6.896	-3.6	-3.985	-3.965	-1.052	-0.936	-4.96	-3.209	-3.706	-4.299	-4.293	-5.234	0.366	-0.081	-0.574	-0.086	-0.063	0.023	-2.675	-1.833	0.021	0.034	-1.905	-2.5	0.547
"YLR063W"	-4.309	-2.751	-2.588	-1.912	-3.764	-4.23	-1.564	-1.394	-0.882	-0.841	-0.594	-1.711	-1.498	-1.192	-1.891	-1.771	-1.06	-0.189	0.01	0.419	-0.638	0.662	-0.05	-0.911	-0.536	-0.619	-0.346	0.522	-1.169	-2.633
"YLR065C"	-1.734	-1.826	-1.451	-1.638	-1.93	-3.028	-1.082	-1.343	-1.411	-0.183	-0.354	-1.44	-1.07	-1.137	-1.477	-1.554	-1.642	-0.129	0.112	0.16	0.054	0.51	0.002	-0.712	-0.331	0.077	-0.089	-0.786	-0.14	-0.213
