	"809.DBY7286 37degree heat - 20 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1014.YPD 2 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6361.DBYyap1- 37degree heat - 20 min (redo)"
"YML073C"	-1.748	-3.862	-6.033	-3.087	-2.561	-2.401	-2.624	-3.718	-1.867
"YMR130W"	0.05	-1.972	-3.845	-0.671	-1.36	-2.339	-2.247	-2.295	-0.231
"YMR194W"	-0.522	-3.476	-4.585	-2.656	-2.256	-1.69	-1.672	-2.34	-1.126
"YMR235C"	-0.608	-3.534	-5.187	-1.879	-2.046	-2.838	-3.21	-3.756	-1.014
"YMR260C"	-1.28	-2.549	-5.138	-2.366	-1.968	-1.338	-1.729	-2.229	-1.686
"YNL030W"	-0.301	-2.073	-4.092	-1.83	-1.559	-2.319	-1.83	-2.159	-0.699
"YNL162W"	-1.102	-2.858	-6.425	-2.421	-2.0	-1.742	-2.487	-3.468	-1.403
"YOR103C"	0.073	-1.431	-2.033	-0.868	-0.653	-0.954	-1.114	-1.311	-0.283
"YOR163W"	0.235	-1.226	-3.0605	-0.269	-0.29	-0.809	-1.31	-1.484	-0.06
"YOR198C"	-0.566	-4.452	-5.562	-1.262	-2.3	-4.384	-4.657	-4.415	-0.817
"YOR209C"	0.045	-2.998	-6.004	-1.647	-0.906	-1.897	-2.681	-2.954	-0.358
"YOR323C"	-0.479	-4.2845	-6.434	-2.106	-1.557	-2.742	-3.497	-3.428	-0.792
"YPL028W"	-0.034	-3.482	-5.5385	-1.9625	-1.336	-1.692	-2.17	-2.948	-0.464
"YPL037C"	-0.705	-3.9955	-5.417	-2.148	-1.561	-2.115	-3.222	-3.654	-1.009
"YPL048W"	-0.991	-3.2175	-4.579	-1.4725	-1.113	-1.535	-1.925	-2.183	-0.638
"YPL079W"	-1.437	-3.892	-6.4765	-3.0255	-2.741	-3.015	-3.498	-4.547	-1.713
"YPL094C"	-0.364	-3.0415	-5.3055	-1.6665	-1.142	-2.024	-2.284	-2.741	-0.603
"YPL220W"	-1.816	-3.187	-6.1465	-3.3935	-2.548	-2.247	-2.571	-3.926	-2.166
"YPR033C"	-0.853	-4.8805	-7.94	-2.759	-2.096	-3.951	-4.382	-4.54	-1.174
"YPR041W"	-0.2895	-2.36366666666667	-4.07266666666667	-2.41033333333333	-1.658	-1.805	-1.8775	-2.441	-0.6805
"YPR128C"	-0.129	-2.617	-3.863	-0.6715	0.292	-1.326	-1.847	-1.979	-0.159
"YPR131C"	0.256	-2.759	-4.176	-0.885	-0.357	-0.572	-1.386	-1.712	0.05
"YPR188C"	0.297	-1.7495	-3.36	-0.6505	-0.266	-0.846	-1.162	-1.668	0.0
