	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"809.DBY7286 37degree heat - 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1258.DBYyap1 + 37degree heat (repeat)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"2560.29C to 33C - 15 min"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"38155.03II01 batch p11"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"
"YDR148C"	0.7	0.886	1.266	0.18	1.391	0.786	0.156	1.123	1.308	1.634	1.746	1.447	0.234	0.537	0.475	0.768	0.626	0.731	0.624	0.16	0.038	-0.033	2.92	3.978	3.726	3.633	2.151	3.152	1.873	0.844	1.233	1.906	1.862	1.727	1.245	3.077	3.112	2.886	3.127	2.367	2.21	1.758	-0.374	-0.071	2.154	1.878	0.593	0.139	0.575	-0.292	0.715	0.511	-0.084	0.13	-0.124	0.597	-0.021	0.652	0.827	0.967	0.206	0.621	0.99	-0.463	1.091	-0.071	-0.105	2.724	0.956	0.845	1.71	0.654	2.437	3.376	2.708	2.528	3.96	3.729	2.598	0.363	0.416	0.134	1.347	1.303	1.268	0.981	2.11	2.267	2.216	1.635	0.915
"YDR178W"	1.154	2.331	2.489	2.378	2.252	1.033	0.753	1.653	1.935	2.655	3.122	1.659	1.167	0.317	0.416	1.487	1.362	1.111	0.959	0.422	0.372	0.137	4.036	4.991	4.84	4.165	3.532	3.684	2.808	0.798	2.618	2.667	2.86	2.289	-1.676	3.646	3.21	3.039	2.416	1.376	2.78	1.896	-0.176	0.273	2.948	3.054	0.818	0.624	1.686	0.063	0.765	0.489	-0.386	0.188	0.016	0.929	-0.406	1.863	2.168	1.852	1.422	1.564	1.291	0.722	1.95	-0.124	-0.229	2.6955	1.395	0.306	2.656	2.002	4.18	4.862	4.365	3.685	4.946	4.481	3.474	0.899	0.442	0.142	1.615	1.884	1.791	1.887	2.491	3.1	2.272	2.486	1.478
"YDR272W"	0.8565	1.4355	1.398	1.8245	1.726	0.7595	0.953	1.245	1.169	1.5475	1.5175	0.776	1.324	1.1215	1.3935	0.8835	1.201	1.139	1.15	0.984	0.699	0.368	2.977	2.0815	2.1805	1.707	1.849	1.7545	2.0205	0.836	1.229	1.303	1.3	0.972	0.893	1.8585	1.706	1.6595	1.796	1.5975	1.493	1.019	-0.008	1.0465	2.7415	1.806	0.87	0.2685	0.8895	0.3085	0.9025	1.1455	0.783	0.74	0.1755	0.8235	-0.32	0.3615	1.2205	1.3785	0.487	1.051	1.12	0.424	0.5055	1.018	0.953	0.919	1.5705	1.168	1.611	1.6255	2.7975	2.781	2.309	2.887	2.5605	2.5915	2.444	0.3575	0.396	0.1515	1.76	1.7635	1.9165	1.7615	1.156	1.598	1.7555	0.75	0.0745
"YDR313C"	0.318	0.857	0.873	0.729	0.805	0.057	0.256	0.344	0.85	1.301	0.836	0.398	0.202	0.073	0.135	0.23	0.261	0.101	0.216	0.074	-0.024	0.004	2.369	1.675	1.715	1.7	1.941	2.03	2.161	0.413	1.33	1.225	1.576	1.583	1.359	1.484	1.141	2.304	2.311	2.992	2.624	1.746	0.109	0.441	1.827	1.676	0.305	0.047	0.896	0.245	-0.079	0.126	-0.168	-1.594	0.078	0.139	-0.289	1.045	0.995	0.915	0.854	0.896	0.482	-0.156	0.62	0.029	0.115	1.537	1.841	2.24	0.95	1.848	2.226	1.983	2.889	2.852	2.095	1.738	3.986	0.517	0.292	0.117	0.529	1.483	1.65	1.504	1.261	1.728	1.192	2.027	-0.178
"YDR479C"	0.985	1.506	1.646	1.159	1.06	0.649	0.062	0.583	0.928	1.454	1.31	0.329	0.422	-0.061	-0.086	0.35	0.571	0.594	0.612	0.262	-0.03	0.251	2.286	1.546	1.33	1.075	1.347	1.113	1.085	0.759	1.245	1.16	1.24	1.071	1.523	0.831	0.577	1.234	1.102	1.395	0.958	0.867	-0.217	0.064	1.058	1.08	0.267	0.199	0.786	0.075	0.375	0.084	-0.184	-0.185	-0.007	0.275	-0.213	0.597	0.873	0.624	0.568	0.483	0.676	-0.072	0.51	0.04	0.099	0.952	0.447	0.768	1.516	0.597	1.24	1.243	1.055	2.535	1.737	1.391	1.478	-0.134	0.174	0.162	0.461	0.698	1.475	1.07	0.95	0.618	0.638	0.097	-0.106
"YDR529C"	0.442	1.938	1.334	2.539	1.146	0.384	0.354	0.689	1.227	1.631	1.548	0.994	0.423	0.259	0.282	1.19	0.726	0.116	0.036	-0.258	-0.707	-0.458	2.473	2.394	2.948	1.753	1.667	2.074	2.127	0.871	2.109	1.792	1.637	1.664	1.516	2.996	2.486	2.052	2.002	2.544	2.181	1.592	-0.1	0.031	2.851	2.996	0.266	-0.067	0.526	-0.897	1.007	0.706	-0.245	0.121	0.118	0.187	-0.966	-0.272	-0.048	-0.152	-0.023	-0.144	-0.176	0.45	0.672	-1.161	-1.106	NaN	1.24	1.082	2.531	1.321	3.301	3.917	3.456	2.364	3.342	3.698	3.514	0.023	-0.063	-0.295	1.295	1.024	1.251	1.112	2.057	2.478	2.1	2.437	-0.388
"YEL012W"	1.553	1.989	1.629	1.697	1.417	0.491	0.848	0.575	1.138	1.765	0.893	0.951	1.01	0.304	1.008	1.638	1.696	1.233	1.235	0.959	0.397	0.389	3.329	3.222	3.376	2.713	2.665	3.0	3.657	0.842	2.017	1.923	2.342	2.194	1.934	3.408	2.354	2.721	2.891	2.976	2.45	2.286	0.286	0.784	1.687	2.842	1.409	0.506	1.596	0.699	1.415	1.273	0.589	0.378	0.04	0.907	0.238	1.195	2.012	2.003	0.733	0.984	1.434	0.492	0.522	1.041	0.672	1.722	2.379	2.226	1.368	2.997	3.207	3.655	3.532	3.596	3.65	3.773	3.083	-0.044	0.133	0.077	1.74	1.905	2.831	NaN	0.694	1.311	1.392	1.482	0.269
"YEL024W"	1.312	2.215	2.328	1.821	2.182	1.37	0.559	1.611	1.869	2.004	1.771	1.353	0.552	0.384	0.716	1.04	0.644	0.256	0.029	-0.124	-0.488	-0.23	3.871	4.61	4.009	3.979	3.509	3.632	3.238	1.364	2.147	2.151	2.122	1.702	1.991	3.986	3.281	2.635	2.156	2.171	2.77	1.823	-0.129	0.019	2.142	2.753	0.573	0.548	0.719	0.462	1.053	0.621	-0.237	-0.03	-0.042	0.581	-0.353	0.321	1.025	0.835	0.657	0.754	0.747	0.631	1.256	-1.906	-1.854	2.36	1.058	0.686	1.645	1.441	2.957	3.587	2.637	2.609	3.024	3.3	3.32	0.477	0.065	-0.002	0.548	1.235	1.028	1.051	0.718	1.259	1.302	0.679	0.543
"YER079W"	1.902	3.045	2.635	2.953	2.488	1.653	0.945	0.855	2.434	2.913	2.437	1.059	1.527	1.136	2.247	1.681	2.015	1.986	2.044	1.536	1.503	0.771	4.036	3.925	3.354	3.195	3.349	2.322	2.836	1.519	3.24	3.069	2.862	2.649	2.407	3.75	2.737	2.759	2.969	3.182	2.788	2.172	0.164	1.068	1.939	2.328	1.269	1.313	3.236	0.408	1.299	0.983	0.193	0.213	-0.126	1.3	-0.577	2.807	3.163	2.888	2.669	2.758	2.968	-0.024	1.388	0.287	0.212	0.563	1.84	2.429	2.762	1.829	4.179	4.035	3.482	4.583	3.964	3.215	3.941	0.578	0.171	0.598	1.897	1.685	2.573	2.534	3.079	3.293	2.657	1.795	0.288
"YER141W"	0.74	1.19	1.943	1.397	1.809	1.133	0.745	1.151	1.671	2.227	2.026	0.17	0.828	0.317	0.407	1.031	1.24	1.179	1.072	0.862	0.527	0.328	3.443	2.871	2.489	2.122	1.709	2.686	2.602	1.12	1.037	1.202	0.929	0.568	0.629	3.192	1.925	2.102	1.894	2.876	2.591	1.792	-0.419	0.129	1.606	1.666	0.915	-0.343	0.521	0.198	0.395	0.432	-0.097	-0.068	0.068	0.602	0.221	0.702	0.795	0.602	0.619	0.953	0.859	0.401	0.603	-0.755	-0.867	1.118	0.49	1.037	1.78	2.159	2.233	1.521	0.844	2.726	1.877	1.854	2.2	0.277	0.303	0.282	0.631	1.664	0.877	0.691	1.518	1.083	1.899	0.62	0.161
"YER150W"	4.472	2.798	5.585	4.539	4.101	3.259	2.095	3.073	4.447	4.749	4.983	1.091	3.186	2.395	2.672	1.806	2.785	3.382	3.467	3.112	3.521	1.709	6.012	5.312	5.241	4.681	5.023	4.88	5.748	2.376	4.953	4.743	4.495	4.382	4.289	5.006	4.196	4.129	5.159	5.697	4.768	3.976	1.877	1.466	3.847	3.832	3.681	2.406	4.737	1.339	3.21	3.092	1.785	1.763	0.945	2.807	0.011	4.325	4.609	4.764	3.727	4.306	4.749	1.523	1.854	-0.114	-0.165	4.503	1.411	1.186	6.349	4.957	7.981	7.796	6.325	6.994	6.618	5.594	4.621	3.903	3.282	3.122	4.459	5.499	5.656	5.392	3.673	4.15	3.586	4.221	2.75
"YFL014W"	4.928	6.328	6.892	6.889	6.782	5.905	5.768	7.281	7.608	7.123	7.628	3.379	5.182	4.671	4.714	4.033	6.369	6.116	6.623	6.54	6.062	4.285	5.794	5.399	4.088	6.044	5.422	6.344	4.533	3.779	4.109	5.246	5.355	4.63	4.245	6.618	5.819	5.357	6.09	5.141	6.362	4.691	1.382	5.785	3.716	3.849	5.076	4.319	6.886	2.337	2.863	4.278	3.737	3.456	3.57	4.982	0.232	5.993	6.04	6.382	5.404	5.855	5.705	2.347	2.805	0.972	0.906	2.253	4.636	4.584	7.174	5.664	6.926	7.714	5.793	6.221	6.006	5.717	5.628	3.327	2.375	1.335	4.881	5.299	6.19	4.991	4.417	3.814	5.086	5.415	4.209
"YGL191W"	0.362	1.672	1.432	1.134	0.865	0.516	0.371	1.214	1.325	1.464	1.522	0.928	0.611	0.602	0.438	0.885	0.917	0.537	0.48	0.28	0.281	0.188	2.252	3.271	3.144	2.566	2.571	2.095	3.652	0.258	2.011	1.736	2.578	1.952	2.511	2.806	2.892	2.225	2.502	3.079	2.957	2.465	-0.123	0.001	2.618	2.781	0.359	0.287	0.435	-0.196	0.607	0.607	-0.138	0.211	0.077	0.358	-0.257	-0.074	0.079	0.16	-0.349	-0.57	-0.374	0.435	0.373	-1.102	-1.302	1.85	1.342	1.358	1.23	1.151	3.825	4.404	4.251	2.257	3.94	3.719	2.721	0.26	0.576	0.383	1.161	1.208	1.336	1.169	1.589	2.26	1.445	2.009	0.482
"YGR043C"	1.482	3.734	5.04	4.645	5.049	4.045	2.931	3.768	2.61	5.232	4.833	2.559	3.406	3.422	4.576	0.945	2.615	3.773	3.308	3.909	3.614	1.845	5.679	4.9	5.707	5.692	6.003	5.571	5.458	2.993	4.673	4.765	4.955	3.827	4.843	5.014	5.207	5.063	5.593	5.207	6.53	5.288	-0.028	4.209	3.962	3.122	2.373	1.552	4.853	1.133	2.076	3.143	2.977	0.904	2.97	3.686	-0.131	4.445	5.025	5.539	3.618	4.531	4.874	0.877	2.619	0.361	0.435	4.615	3.238	3.293	5.961	4.675	5.792	5.627	4.968	6.098	5.083	4.91	5.837	1.764	1.402	0.753	2.404	3.37	3.555	3.447	1.892	3.438	3.213	3.228	1.688
"YGR046W"	0.125	0.731	0.658	0.259	0.086	0.16	0.1	0.043	0.671	0.508	0.332	0.396	0.149	0.311	0.462	0.176	0.193	0.045	0.203	-0.159	-0.103	0.023	1.736	1.476	1.541	1.423	2.266	1.783	2.451	0.741	1.017	1.191	1.392	1.12	0.811	2.016	1.666	1.74	1.89	2.246	2.534	1.748	-0.394	-0.158	1.126	1.421	0.1	-0.658	0.97	0.549	0.119	-0.136	-0.3	-0.509	0.047	0.147	0.011	0.845	0.914	0.345	0.441	0.88	0.653	0.065	0.473	-0.014	-0.069	1.351	0.953	1.259	0.344	0.829	1.648	1.512	1.712	1.407	1.753	2.03	2.026	0.47	0.213	0.35	-0.238	0.178	0.68	0.997	0.415	0.162	0.885	0.699	0.688
"YGR067C"	3.553	5.018	2.0	4.807	NaN	NaN	2.585	0.356	0.0	0.418	0.637	2.844	0.585	0.165	0.04	-0.198	0.136	0.197	-0.26	-0.265	-0.572	-0.329	4.15	6.079	6.2	5.588	5.145	4.335	1.033	-0.13	3.379	3.436	3.775	2.765	3.343	5.642	5.478	4.532	4.533	3.374	3.903	2.982	-0.312	0.456	0.788	2.834	0.086	0.444	1.303	-0.769	0.18	0.291	-0.021	0.102	0.364	0.155	-0.316	1.67	0.589	0.008	0.428	0.405	0.257	-0.138	-0.082	-0.559	-0.596	1.835	1.217	1.944	1.199	-1.083	2.712	3.355	2.915	1.737	3.301	4.091	3.963	0.39	-0.15	-0.209	1.227	3.096	3.873	3.929	0.971	1.553	1.667	1.384	0.055
"YGR088W"	4.155	5.667	6.373	2.723	5.936	3.673	1.61	3.332	4.829	5.213	6.038	1.426	4.755	2.547	4.317	3.203	4.316	4.414	4.325	2.994	1.65	0.68	6.03	3.589	5.131	5.593	6.165	5.734	4.754	3.755	3.901	3.493	3.678	3.823	4.067	4.878	5.242	6.064	6.265	5.206	6.919	6.036	0.373	3.108	3.937	3.389	3.471	3.124	5.535	2.791	3.303	3.541	1.018	-0.175	0.242	4.393	0.382	4.761	5.015	4.802	4.026	4.788	5.016	0.318	2.235	-0.854	-0.807	4.381	4.536	4.467	6.94	4.824	4.087	3.753	4.258	6.174	5.244	3.587	5.949	1.757	0.243	0.714	2.199	3.814	3.89	3.224	1.834	2.635	3.092	3.001	2.652
