	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1302.diauxic shift timecourse: 15.5 hr"	"1303.diauxic shift timecourse: 0 hr"	"1311.diauxic shift timecourse: 11.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"6824.Sporulation t0"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"17676.Na+FK 45min (4)"	"21660..24 mM H2O2- 120 minutes"	"27101.P1Comp 07 hr 5 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34347.wt_hypo_osmotic_shock_0min"	"34360.batch 02X25 4"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"
"YDL081C"	0.974	0.967	0.926	-1.365	-2.041	-1.576	-2.196	-1.67	-0.921	-2.445	-4.594	-2.131	-2.127	-2.133	-2.377	0.38	0.135	0.298	0.304	0.194	0.273	-1.19	-0.724	-0.114	-2.84	-2.104	-1.82	-2.39	-2.49	-2.162	0.738	-1.305	1.129	1.007	0.92
"YDL082W"	0.763	1.092	0.863	-3.223	-2.484	-2.853	-1.739	-1.446	-1.723	-3.326	-5.816	-2.537	-2.186	-3.001	-3.589	-0.263	0.258	-0.214	-0.156	0.119	0.194	-1.9985	0.0835	0.2455	-4.398	-3.698	-2.463	-4.518	-3.314	-3.014	0.457	-2.089	0.74	0.749	0.684
"YDL109C"	0.0	NaN	-0.592	-0.218	-1.043	-0.629	0.695	-0.361	0.7	0.451	-1.371	-0.363	0.469	0.07	0.358	-0.085	0.016	-0.098	-0.136	0.185	0.18	-0.428	-0.036	-0.199	0.654	0.329	0.133	0.913	0.86	1.258	0.209	-0.655	0.164	-0.041	-0.091
"YDL191W"	0.553	0.722	0.713	-1.985	-2.367	-2.75	-2.497	-1.853	-1.975	-2.737	-5.192	-2.911	-1.362	-1.942	-2.86	0.106	0.185	0.059	-0.034	-0.026	0.497	-1.7165	-0.089	0.251	-3.35	-2.399	-1.73	-3.234	-2.557	-1.83	-0.3	-1.532	0.59	0.515	0.424
"YDR012W"	1.023	1.071	1.068	-2.155	-1.485	-1.479	-1.394	-1.856	-2.093	-3.045	-5.83	-2.057	-1.122	-1.902	-2.058	0.252	0.161	0.186	0.321	0.165	0.264	-1.108	-0.395	0.283	-2.406	-2.811	-2.369	-2.322	-2.731	-2.04	-0.007	-1.453	0.33	0.245	0.319
"YDR025W"	0.692	1.014	0.806	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-3.357	-2.503	-2.895	-3.518	-0.534	0.198	-0.268	-0.597	0.144	0.059	-1.7115	-0.4555	0.5125	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	0.301	-1.818	0.676	0.688	0.682
"YDR037W"	0.71	0.672	0.502	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-5.224	-3.226	-2.916	-3.368	-3.772	-0.287	0.135	-0.202	-0.356	0.016	0.658	-1.465	-0.189	0.301	-4.284	-3.366	-2.4	-4.204	-3.541	-2.204	0.247	-1.67	-1.008	-0.336	-0.305
"YDR064W"	1.178	0.993	1.04	-3.874	-3.241	-2.585	-2.577	-2.639	-2.597	-3.761	-5.03	-3.208	-2.527	-2.531	-3.199	-0.324	0.005	-0.161	-0.335	-0.088	0.415	-2.156	-0.5765	0.017	-2.292	-2.803	-2.319	-2.891	-2.804	-2.287	0.134	-2.475	0.535	0.542	0.325
"YDR087C"	0.873	1.227	0.989	-4.139	-2.976	-2.337	-1.909	-2.277	-3.312	-3.817	-4.944	-2.528	-1.73	-3.407	-2.893	-0.913	0.139	0.504	-0.559	-0.3	0.588	-1.631	-0.244	0.36	-2.338	-2.16	-1.413	-3.396	-3.436	-2.083	-0.759	-1.812	0.057	0.171	0.023
"YDR165W"	0.933	1.095	0.852	-4.096	-2.538	-2.179	-2.247	-1.905	-2.27	-3.111	-5.309	-3.015	-1.767	-2.409	-2.23	-0.743	0.386	0.335	-0.511	-0.097	-0.442	-1.7495	-0.2085	-0.0555	-2.479	-2.722	-1.934	-3.205	-2.632	-2.085	-0.333	-1.941	0.099	0.152	0.245
"YDR184C"	0.902	1.162	0.854	-3.504	-1.845	-2.067	-1.607	-1.31	-1.491	-1.802	-1.842	-1.444	-1.148	-2.113	-1.087	-1.307	0.033	-0.383	-0.756	0.032	0.789	-1.7455	0.0055	0.1025	-1.676	-1.481	-0.401	-3.208	-1.663	-0.945	-0.516	-2.208	-0.05	-0.107	-0.176
"YDR236C"	0.069	-0.365	0.476	-0.624	-0.094	-0.145	-1.098	-0.436	0.136	0.0	NaN	-0.296	-0.493	-0.318	-0.479	NaN	NaN	NaN	NaN	NaN	-0.065	0.8865	-0.1425	-0.128	0.739	0.525	0.701	0.078	0.318	0.09	-0.055	0.363	0.232	0.236	0.226
"YDR321W"	0.767	0.698	0.858	-3.554	-2.231	-2.695	0.364	-2.84	-3.04	-3.093	-4.43	-3.362	-2.704	-2.582	-2.75	-0.19	0.049	0.157	-0.363	-0.085	0.218	-2.227	-0.537	0.391	-2.082	-2.119	-1.153	-3.214	-2.261	-1.861	-0.186	-2.319	0.111	0.23	0.129
"YDR361C"	1.206	1.136	1.083	-3.61	-2.016	-1.951	-1.707	-1.536	-2.095	-1.945	-3.634	-2.072	-1.477	-2.005	-1.44	-0.581	0.24	0.292	-0.274	0.018	-0.097	-1.975	-0.236	0.029	-2.708	-2.048	-1.74	-3.998	-2.423	-1.849	-0.586	-1.706	0.216	0.326	0.475
"YDR385W"	0.964	0.949	0.864	-2.252	-1.858	-1.887	-1.775	-1.783	-1.985	-3.158	-5.463	-2.682	-1.848	-2.214	-3.65	-0.074	0.187	0.135	0.285	-0.104	0.548	-2.207	-0.479	-0.147	-2.699	-3.05	-2.033	-1.626	-2.518	-1.929	0.177	-1.928	-0.244	-0.196	-0.105
"YDR417C"	1.045	0.832	0.691	-3.705	-2.778	-2.992	-2.407	-2.511	-3.327	-4.279	-5.062	-3.58	-2.861	-3.022	-3.606	-0.001	0.349	0.002	-0.144	-0.289	0.551	-2.517	-0.094	1.088	-3.553	-2.61	-1.768	-3.585	-3.332	-2.261	0.341	-1.903	0.565	0.334	0.569
"YDR418W"	1.215	1.21	1.134	-3.707	-3.13	-2.7	-2.237	-2.192	-2.976	-3.074	-5.866	-3.315	-2.866	-3.091	-4.066	0.017	0.275	0.218	0.051	-0.076	-0.407	-1.715	-0.167	0.58	-4.005	-2.423	-1.873	-3.263	-3.057	-2.027	0.238	-1.732	0.466	0.509	0.507
"YDR447C"	1.205	1.022	0.931	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-5.332	-3.574	-2.53	-2.625	-3.552	-0.069	0.103	-0.328	-0.311	-0.032	0.09	-3.0695	-0.338	0.648	-3.67	-2.356	-1.471	-4.358	-3.418	-2.211	-0.316	-1.622	0.646	0.703	0.658
"YDR451C"	0.263	0.161	0.243	-0.575	0.152	0.93	-0.167	-1.737	-1.085	-1.683	-2.638	0.196	-0.963	-1.513	-1.205	-0.128	0.25	0.409	0.57	0.073	-0.189	0.729	0.209	0.141	-1.636	-1.17	-1.568	-1.721	-1.545	0.148	-0.353	-0.593	0.52	-0.286	0.537
"YDR471W"	1.0	1.177	1.016	-3.952	-3.834	-3.394	-2.619	-2.514	-2.857	-3.599	-4.747	-3.144	-0.472	-2.405	-2.908	0.078	0.431	0.088	-0.311	-0.108	0.024	-1.802	-0.062	0.4385	-3.645	-2.464	-1.986	-3.608	-3.311	-2.499	-0.336	-2.116	0.627	0.666	0.635
"YEL054C"	1.093	1.203	1.075	-3.654	-2.711	-2.761	-1.871	-1.511	-2.981	-2.98	-7.056	-3.039	-2.504	-3.005	-3.554	-0.261	0.26	0.254	-0.094	0.171	0.023	-1.8245	-0.001	0.3265	-4.422	-2.487	-3.239	-3.815	-2.936	-2.194	0.858	-1.911	0.972	0.757	0.448
"YER055C"	1.085	1.029	1.012	-3.198	-2.991	-2.662	-2.51	-2.576	-1.65	-2.242	-5.075	-0.301	-1.279	-2.06	-2.707	0.186	0.187	0.495	0.24	0.073	-0.275	-2.881	-0.538	0.122	-2.631	-2.627	-1.803	-2.981	-2.572	-2.387	0.478	-2.191	-0.234	0.147	0.045
"YER102W"	1.351	1.084	1.107	-3.932	-3.965	-3.177	-2.924	-2.3	-2.578	-3.64	-6.434	-3.101	-2.579	-3.326	-3.859	-0.32	NaN	1.322	0.118	0.068	0.685	-0.714	0.025	0.533	-3.324	-2.758	-2.202	-2.385	-2.329	-2.436	0.048	-1.998	0.482	0.661	0.501
"YER117W"	1.276	1.391	0.782	-2.982	-2.613	-2.377	-1.817	-2.008	-1.95	-2.832	-5.642	-3.05	-2.312	-2.562	-2.976	0.125	0.206	0.111	0.337	0.308	0.479	-1.603	-0.152	0.1665	-3.319	-2.632	-2.403	-3.238	-3.345	-2.147	-0.362	-1.531	0.991	0.94	0.889
"YER118C"	0.606	0.622	0.472	-2.119	-1.275	-0.813	-0.898	-0.913	-1.822	-2.598	-3.457	-1.55	-1.371	-2.206	-1.965	-0.517	0.417	0.253	-0.197	0.118	0.457	-1.1845	0.092	-0.2445	-2.813	-1.824	-2.516	-2.915	-2.193	-1.683	-0.404	-1.221	0.152	0.118	0.204
"YER127W"	1.253	1.264	0.934	-3.292	-2.064	-1.821	-1.672	-1.949	-2.155	-2.611	-4.439	-2.835	-1.098	-2.485	-1.946	-0.858	-0.115	0.126	-0.27	-0.025	0.541	-1.702	-0.206	-0.137	-2.692	-2.59	-1.44	-3.601	-3.002	-2.038	-0.434	-2.336	0.327	0.202	0.091
"YER131W"	1.224	1.29	1.25	-2.813	-3.262	-2.7	-2.3	-1.895	-2.47	-3.664	-6.55	-2.621	-2.105	-2.654	-3.304	0.225	0.43	0.399	0.265	-0.265	0.866	-2.035	0.172	0.565	-3.884	-3.237	-2.657	-3.578	-4.068	-2.732	0.218	-1.756	0.363	0.537	0.405
"YER145C"	0.644	0.604	0.34	-2.927	0.064	-0.805	-0.47	-1.834	-1.544	-3.836	-5.091	-1.471	-1.536	-2.549	-2.941	-1.045	0.207	-0.507	-0.432	0.095	0.962	-1.317	-0.6845	-1.339	-2.336	-1.588	-2.143	-4.076	-2.311	-0.642	-0.504	-2.581	0.665	0.597	0.564
"YER165W"	1.281	1.127	0.795	-1.493	-1.285	-1.682	-0.854	-0.72	-0.845	-1.518	-4.713	-2.088	-0.603	-1.075	-2.004	-0.98	0.443	-0.074	-0.805	0.014	0.554	-1.629	-0.2135	-0.06	-2.394	-2.391	-1.98	-2.173	-1.701	-1.589	0.441	-1.13	0.278	0.1	0.207
"YGL014W"	0.844	0.805	0.538	-0.534	-0.267	-0.278	-0.37	-0.431	0.096	-0.388	-2.189	-0.746	-0.259	-0.05	-0.493	-0.52	0.173	-0.28	-0.56	0.19	0.055	-1.214	0.122	0.775	-0.7335	-1.1965	-0.7145	-0.8585	-0.4365	-0.2555	0.052	-0.805	0.426	-0.123	0.1005
"YGL030W"	1.262	1.167	1.037	-3.613	-2.888	-2.582	-1.861	-2.363	-2.008	-3.668	-5.484	-2.388	-1.668	-2.044	-3.011	-0.1	-0.027	-0.026	-0.235	0.155	0.447	-2.0635	-0.085	0.471333333333333	-3.939	-2.871	-2.529	-3.575	-2.76	-2.198	0.443	-1.372	0.684	0.646	0.631
"YGL076C"	1.317	1.147	1.006	-3.969	-3.136	-2.73	-2.564	-2.446	-2.401	-3.976	-5.667	-3.32	-2.836	-2.79	-3.782	-0.616	0.147	-0.093	-0.597	-0.125	0.259	-2.081	-0.33	0.582666666666667	-4.003	-3.509	-2.778	-3.347	-3.315	-2.544	0.592	-2.332	0.159	0.212	0.245
"YGL086W"	-0.422	-0.1785	-0.0045	0.3685	0.408	0.1345	0.237	0.1995	0.0345	-0.5145	-1.8165	0.1495	-0.2275	-0.7735	-0.8325	-0.072	0.128	-0.147	-0.122	0.127	-0.033	0.021	-0.266	0.4495	-1.36	-1.339	-1.738	-1.207	-1.114	-1.227	-0.154	0.26	0.205	0.016	-0.159
"YGL102C"	1.138	1.09	0.982	-3.419	-2.825	-2.081	-1.973	-2.112	-2.356	-2.658	-5.65	-3.301	-1.199	-1.938	-2.13	0.2	0.09	0.088	0.215	-0.26	0.307	-1.71	0.01	0.091	-3.42	-2.202	-1.7	-3.272	-2.955	-2.203	-0.071	-1.217	0.647	0.726	0.755
"YGL103W"	1.058	1.082	0.935	-3.452	-3.096	-2.876	-2.468	-2.373	-2.344	-1.452	-5.266	-3.266	-1.308	-1.735	-2.438	-0.065	0.281	-0.015	0.062	0.098	0.701	-2.02066666666667	0.00266666666666666	0.23975	-2.976	-2.146	-1.398	-3.189	-2.934	-2.202	-0.294	-1.378	0.442	0.561	0.686
"YGL123W"	1.27	1.264	1.189	-3.781	-3.757	-3.726	-3.265	-2.802	-3.62	-4.004	-5.982	-4.112	-2.388	-2.65	-3.558	0.002	0.174	0.358	0.094	-0.079	0.058	-1.335	-0.425	0.319	-4.217	-3.27	-2.813	-4.123	-3.488	-2.693	-0.31	-1.729	0.588	0.465	0.35
"YGL135W"	1.167	1.101	0.43	-3.221	-2.573	-2.455	-2.548	-2.301	-2.942	-3.418	-5.687	-3.217	-2.267	-2.874	-3.825	0.071	0.278	0.633	0.298	0.082	0.236	-1.702	-0.551	0.1295	-3.443	-2.903	-2.236	-3.617	-3.009	-1.968	-0.177	-1.68	0.853	0.772	0.786
"YGL148W"	1.117	0.837	0.827	-3.561	-2.137	-1.719	-1.873	-1.574	-2.182	-2.826	-3.915	-2.983	-1.666	-1.996	2.781	-0.194	0.151	0.211	0.051	-0.463	0.177	-3.147	0.162	0.091	-3.932	-2.547	-2.177	-3.123	-2.69	-2.266	0.005	-1.847	-0.059	0.004	0.076
"YGR027C"	1.159	1.017	0.858	-3.433	-2.572	-1.843	-1.632	-1.57	-1.697	-2.797	-5.39	-3.005	-1.187	-1.867	-2.368	0.491	0.279	0.3	0.428	0.197	0.512	-2.048	-0.725	0.1595	-2.956	-3.132	-1.687	-3.188	-2.624	-2.011	0.299	-1.052	0.849	0.65	0.357
"YGR085C"	1.473	1.133	1.122	-3.713	-3.301	-2.511	-2.202	-2.29	-2.146	-3.406	-6.059	-3.071	-3.306	-3.54	-4.179	0.079	0.313	0.281	0.164	0.29	0.759	-1.94	0.273	0.697	-4.004	-2.792	-2.272	-3.45	-3.003	-2.048	0.204	-1.736	0.462	0.544	0.583
"YGR118W"	1.216	0.973	0.996	-2.621	-2.692	-2.681	-2.455	-2.097	-1.993	-2.204	-5.471	-2.458	-1.76	-2.214	-3.141	0.507	0.496	0.305	0.408	-0.191	0.531	-1.3075	-0.0855	0.606	-2.477	-2.162	-1.82	-2.13	-2.249	-1.697	-0.176	-1.242	0.599	0.772	0.617
"YGR123C"	1.116	0.996	0.986	-4.447	-2.7	-2.234	-2.041	-1.249	-2.224	-3.794	-4.328	-2.878	-1.42	-2.413	-2.243	-0.494	0.04	-0.106	-0.587	-0.129	0.631	-2.099	0.061	0.7875	-2.403	-3.664	-1.262	-3.836	-3.389	-2.052	-0.732	-1.757	-0.223	-0.141	0.068
"YGR148C"	1.076	0.859	0.933	-3.45	-3.596	-3.464	-3.033	-2.31	-2.615	-3.884	-5.757	-3.141	-3.022	-3.649	-4.092	-0.032	0.258	-0.026	-0.091	-0.28	0.711	-1.5045	0.1015	0.6955	-3.53	-2.779	-2.133	-3.103	-2.693	-1.897	0.229	-1.221	0.646	0.576	0.437
"YGR155W"	0.785	0.874	0.586	-1.383	-0.902	-1.262	-0.984	-0.517	-0.062	-1.39	-4.396	-0.015	-1.318	-1.786	-2.407	-0.743	0.272	-0.073	-0.415	-0.075	0.328	-1.2655	-0.217	0.2745	-1.97	-2.099	-1.553	-1.582	-1.769	-1.434	0.677	0.106	1.389	1.334	1.326
"YGR214W"	1.051	0.967	0.903	-4.3	-2.826	-2.795	-2.24	-1.862	-2.776	-3.03	-5.16	-3.581	-0.955	-1.925	-3.246	-0.062	0.323	0.371	-0.154	-0.244	0.364	-2.627	-0.365	0.38	-3.673	-2.906	-2.083	-3.805	-2.3	-2.11	0.029	-2.152	0.585	0.523	0.51
"YHL011C"	1.122	1.023	0.785	-2.604	-1.684	-1.225	-1.072	-0.736	-1.162	-2.023	-3.592	-2.503	-1.25	-1.552	-1.5	-0.489	0.144	0.246	-0.331	0.292	0.444	-1.872	-0.35	-0.069	-2.033	-1.74	-0.172	-2.086	-0.98	-1.253	-0.094	-2.085	0.342	0.334	0.365
"YHR025W"	0.819	0.702	0.281	-3.632	-1.376	-1.47	-1.274	-1.993	-1.868	-2.666	-5.429	-2.472	-1.471	-2.319	-2.178	-0.154	0.153	0.576	0.227	0.003	0.04	-0.67	-0.462	-0.237	-3.915	-2.334	-1.934	-3.0	-1.597	-1.63	0.953	-1.633	0.116	0.14	0.153
"YHR142W"	0.037	0.411	0.353	-0.878	-0.403	-0.512	-0.622	-0.661	-0.483	-1.533	-2.576	-0.885	-0.607	-0.788	-0.545	0.0	0.27	0.431	0.216	-0.094	0.15	-0.481	-0.152	-0.718	-1.338	-0.772	-0.939	-1.063	-1.155	-0.356	0.173	-0.029	0.601	0.378	0.278
"YHR154W"	-0.111	-0.585	0.2505	-2.435	-1.2245	-1.4375	-0.9775	-0.838	-1.232	-1.6125	-2.0835	-1.001	0.5415	0.648	0.934	-0.105	0.039	0.162	0.19	-0.088	0.0	-0.812	-0.222	0.444	-1.576	-0.833	-0.871	-1.573	-1.0795	-0.777	-0.243	-0.098	0.0985	-0.095	-0.1125
"YHR170W"	1.401	1.292	0.893	-4.51	-1.901	-2.071	-1.573	-1.404	-2.063	-2.573	-4.858	-2.759	-2.036	-2.758	-2.443	-0.418	0.154	0.232	-0.07	0.245	0.114	-1.963	-0.35	0.136	-3.186	-2.544	-2.601	-3.601	-2.58	-2.061	-0.459	-0.333	0.729	0.142	0.193
"YHR196W"	1.131	1.299	1.007	-3.061	-2.692	-2.23	-1.968	-1.4	-1.573	-2.447	0.884	-2.461	-2.264	-2.831	-2.681	-0.578	0.279	0.087	-0.38	0.142	0.271	-1.239	-0.379	-0.185	-1.605	-2.037	-1.725	-2.306	-2.006	-1.626	-0.65	-1.21	0.194	0.167	0.245
"YHR197W"	1.102	1.045	0.968	-2.813	-2.52	-2.262	-1.863	-1.629	-2.817	-2.76	-2.808	-2.457	-1.737	-2.343	-2.822	-0.396	0.265	0.312	0.072	0.285	-0.02	-1.419	-0.294	-0.287	-1.648	-2.215	-2.032	-2.625	-2.002	-1.608	-0.549	-2.224	-0.483	-0.463	-0.288
