	"686.YP ethanol vs reference pool"	"830.1.5 mM diamide (10 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"864.Amino acid + adenine starvation 4 h"	"865.Amino acid + adenine starvation 6 h"	"896.Amino acid + adenine starvation 2 h"	"944.starv_in_H2O_4_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1172.pho80 mutant vs wild type"	"1255.mec1_plus_gamma_90_min"	"1664.cdc15 170 min"	"5357.1.5 mM diamide (5 min)"	"11466.yO1 test hyb"	"15635.Ca+FK 15min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28838.P2Comp 06 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42379.CC UL 2B Uracil-Leucine Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"
"YHR068W"	-1.125	-0.087	-0.498	-0.411	-0.04	-0.062	-2.566	-2.251	-3.015	-2.166	-4.28	-6.532	-0.034	-0.652	-0.282	-2.526	-0.048	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	-0.257	-0.205	NaN	0.042	-2.29	-0.778	0.153	-0.574	0.806	-0.805	-1.743	-2.321	-2.248	-2.194	-1.888	-2.769	-2.437	-2.467	-0.487	-2.362	-1.8	-1.861	-0.522	-1.514	-1.571	-1.255	-1.08	0.354	-0.386	-0.296	0.474
"YHR144C"	-0.008	-0.611	-0.611	-0.385	-0.386	-0.075	-1.399	-1.102	-1.765	-1.813	-3.144	-2.344	0.173	0.004	0.107	-0.705	0.359	-1.069	-0.679	-1.014	-0.788	-1.287	-1.539	-0.117	-0.294	0.51	-0.281	-0.281	-1.392	-1.316	-0.167	-0.872	0.3	-2.003	-1.61	-1.843	-2.205	-2.246	-2.171	-1.922	-1.576	-1.94	-2.309	-2.401	-1.871	-2.633	-0.571	-1.095	-1.13	-1.085	0.232	0.255	-0.211	-0.251	0.713
"YHR193C"	-0.427	0.565	-0.549	-0.435	-0.327	-0.48	-1.571	-1.548	-1.341	-1.99	-3.11	-4.166	-0.017	-0.325	0.148	-1.955	0.223	-1.731	-1.558	-1.494	-1.913	-1.778	-2.357	-2.845	0.521	-0.405	0.707	0.42	-1.764	-0.423	-0.301	-0.579	0.825	-1.891	-3.042	-2.912	-1.961	-2.308	-2.597	-1.78	-1.174	-1.013	-0.294	-1.356	-1.017	-1.572	-1.099	-0.915	-1.093	-2.042	-0.784	0.348	0.093	0.166	0.261
"YHR201C"	-1.351	0.15	0.269	0.21	0.122	0.033	-0.829	-1.634	-2.046	-1.721	-1.811	-4.155	0.06	-0.017	0.31	-1.009	-0.072	-0.817	-1.228	-1.193	-1.428	-1.103	-1.632	-2.134	-0.019	-0.161	-0.058	-0.249	-1.989	0.272	-0.237	-0.037	-0.143	-1.059	-1.088	-0.729	-1.415	-1.488	-1.313	-1.293	-0.727	-1.21	-1.041	-1.225	-1.295	-1.056	-0.125	-0.409	-0.345	-0.501	-0.945	0.488	-0.366	0.114	0.089
"YIL078W"	-1.288	-0.35	-0.997	-0.935	-0.468	-0.212	-2.075	-2.219	-2.498	-1.911	-5.192	-6.059	-0.488	0.028	0.042	-2.5	0.137	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	0.117	-0.128	0.067	0.061	-2.348	-0.524	0.158	-0.654	-0.348	-2.298	-1.711	-2.545	-2.032	-1.748	-2.175	-2.266	-3.116	-1.937	-1.36	-2.548	-1.189	-1.453	-2.253	-1.449	-1.625	-1.291	-2.866	0.217	-0.432	-1.061	0.55
"YIL110W"	-0.525	-0.629	-0.662	-0.636	-0.349	-0.203	-1.733	-1.395	1.513	-0.964	-2.455	-3.072	0.071	-0.035	-0.342	-1.042	0.425	-2.093	-1.381	-1.354	-1.444	-1.775	-2.473	-2.492	-0.083	0.018	-0.385	-0.203	-1.14	-0.534	0.381	-0.715	-0.936	-1.687	-1.857	-1.151	-0.914	-1.582	-1.751	-1.676	-2.022	-1.619	-1.081	-1.8	-1.251	-1.099	-1.291	-1.032	-1.561	-1.583	-1.308	0.295	-0.068	-0.414	-0.122
"YJL208C"	-0.162	-1.017	-0.824	-0.571	-0.323	-0.064	0.095	-0.827	-1.206	-1.191	-2.879	-3.324	-0.059	-0.093	0.164	-0.845	0.152	-1.382	-1.005	-1.407	-1.712	-1.647	-2.188	-1.371	-0.402	0.275	0.177	-0.46	-1.129	-0.571	0.053	-0.951	-0.44	-2.166	-2.475	-2.716	-2.863	-2.922	-4.097	-2.267	-3.074	-1.825	-1.581	-1.603	-0.997	-1.502	-2.996	-1.693	-1.92	-2.022	-2.997	0.338	-0.423	-0.181	0.567
"YJR064W"	-0.869	0.054	0.236	0.237	0.359	0.066	-2.118	-2.216	-1.854	-2.589	-1.931	-4.297	-0.361	-0.454	-0.856	-1.978	0.051	-2.119	-1.246	-1.592	-1.762	-1.961	-2.702	-2.57	0.046	0.198	0.379	-0.123	-1.762	0.239	-0.453	-0.468	-0.417	-2.211	-2.125	-3.384	-2.071	-1.256	-3.237	-2.353	-1.981	-1.001	-0.402	-1.607	-1.108	-1.435	-0.678	-0.739	-0.554	0.526	-1.291	0.133	-0.295	-0.12	0.399
"YJR070C"	-1.502	-1.091	-1.538	-0.712	-0.16	-0.141	-3.975	-3.056	-2.526	-3.68	-3.511	-7.226	-0.079	-0.215	0.066	-2.792	0.181	-2.102	-1.698	-1.543	-1.829	-1.463	-2.254	-2.322	0.353	-1.055	0.049	-0.188	-2.575	-1.376	-0.72	-0.376	-0.241	-3.489	-2.399	-3.628	-2.832	-1.764	-3.263	-2.232	-3.069	-2.355	-1.434	-3.104	-2.692	-3.23	-2.234	-1.337	-1.806	-1.502	-1.314	0.06	-0.164	-0.168	-0.033
"YJR105W"	-1.158	0.354	-0.009	0.02	-0.017	-0.013	-1.093	-1.401	-1.891	-2.819	-1.424	-4.641	0.347	0.472	0.361	-2.56	0.015	-1.343	-1.292	-1.307	-1.709	-1.362	-1.023	-1.04	0.429	-0.287	0.678	0.21	-0.87	0.399	-0.523	0.055	-0.598	-0.093	-0.783	-0.522	-1.06	-0.279	-0.878	-1.871	-2.371	-1.138	-1.597	-1.661	-1.64	-2.373	-0.998	-1.917	-1.263	-0.503	-1.642	-0.186	0.373	0.683	0.154
"YKL057C"	-0.206	-0.666	-0.217	-0.347	-0.55	-0.177	-0.583	-0.509	-0.361	-0.944	-2.185	-3.042	-0.031	0.032	-0.003	-0.658	-0.064	-0.726	-0.758	-0.87	-1.246	-2.406	-2.666	-2.892	0.111	-0.029	0.12	-0.319	-0.117	0.235	0.05	-0.536	-0.549	-1.296	-2.166	-2.117	-2.094	-1.351	-2.308	-0.973	-1.525	-1.192	-0.71	-1.348	-0.88	-1.686	-1.545	-1.498	-1.423	-1.046	-1.501	-0.099	-0.129	-0.471	0.006
"YKL081W"	-0.807	-0.41	-1.483	-1.263	-1.136	-0.561	-3.184	-2.096	-2.542	-3.137	-4.49	-5.155	-0.248	-0.846	-0.682	-3.837	0.397	-3.635	-2.171	-3.222	-3.654	-2.997	-2.811	-3.497	-0.432	-0.073	-0.437	0.033	-2.502	-1.309	-0.501	-0.603	0.515	-1.875	-1.899	-2.447	-2.081	-2.459	-2.252	-1.484	-3.076	-3.449	-2.509	-3.054	-2.989	-3.704	-3.086	-2.135	-2.065	-2.093	-2.305	0.019	-0.055	-0.124	0.016
"YKL212W"	-0.313	-0.239	-0.042	-0.194	0.103	-0.154	-1.053	-0.845	-1.247	-1.079	-3.014	-4.806	-0.375	0.198	-0.204	-1.651	-0.031	-1.923	-0.736	-1.656	-1.598	-2.516	-2.929	-3.374	0.107	-0.029	0.078	0.113	-1.089	-0.561	-0.145	-0.901	-0.221	-1.416	-2.456	-1.815	-2.39	-2.691	-2.996	-2.506	-1.052	-1.607	-1.166	-1.481	-1.072	-1.839	-0.653	-1.547	-1.262	-1.911	-1.421	-0.022	-0.143	-0.128	0.462
"YKR059W"	-0.733	0.054	-0.793	-0.609	-0.24	-0.015	-1.383	-1.181	-1.543	-1.54	-2.817	-4.998	-0.087	-0.336	0.101	-2.531	0.328	-2.018	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	-0.126	0.051	0.002	0.223	-1.996	-1.108	0.272	-0.865	-0.697	-2.861	-2.639	-1.55	-1.993	-2.239	-2.057	-2.358	-2.448	-2.0	-0.738	-1.849	-1.284	-2.698	-2.136	-1.908	-2.161	-2.465	-2.469	-0.004	0.099	0.305	0.38
"YLR060W"	-1.157	-0.179	-0.578	-0.436	-0.239	-0.231	-2.617	-2.296	-2.499	-2.849	-4.941	-5.967	-0.64	-0.401	-0.401	-2.672	0.317	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	0.083	0.13	-0.052	0.233	-2.464	-0.772	-0.194	-1.031	-0.01	-3.103	-3.176	-3.593	-3.552	-3.204	-4.441	-3.498	-2.734	-2.666	-1.403	-2.996	-2.646	-3.346	-2.239	-2.049	-1.932	-1.31	-1.459	0.017	-0.001	-0.252	0.166
"YLR061W"	-1.105	-0.365	-0.966	-0.745	-0.539	-0.514	-4.297	-3.603	-2.908	-3.127	-4.939	-6.591	0.201	-0.244	-0.082	-3.021	0.578	-4.326	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	-0.12	-0.057	-1.006	0.032	-2.482	-1.111	-0.103	-2.214	-0.297	-1.78	-2.022	-3.05	-2.455	-2.442	-1.882	-1.358	-2.468	-2.246	-1.804	-2.793	-2.94	-3.717	-2.372	-1.781	-1.908	-1.045	-1.516	0.367	-0.033	-0.033	0.371
"YLR212C"	-0.009	-0.469	-0.377	0.062	-0.273	0.067	-0.302	-0.109	-0.23	-0.755	-1.846	-6.673	-0.028	0.255	-0.286	-0.697	-0.115	-0.896	-0.006	-0.66	-0.805	-0.696	-1.095	-0.695	-0.135	0.366	-0.186	-0.061	-0.301	-0.502	0.19	-0.801	-0.588	-0.809	-1.654	-1.78	-1.173	-1.405	-1.656	-0.88	-2.607	-2.302	-2.506	-1.959	-1.533	-0.717	-0.659	-1.643	-1.753	-1.105	-1.811	0.128	-0.168	-0.443	0.187
"YLR314C"	-0.501	-0.093	0.094	-0.269	-0.5	-0.06	-0.873	-0.859	-1.783	-1.658	-2.218	-5.585	0.211	0.173	-0.071	-1.368	-0.141	-2.781	-1.702	-2.505	-2.761	-2.906	-3.447	-3.937	0.03	-0.164	-0.045	-0.136	-1.17	-0.594	-0.29	-0.672	0.494	-1.242	-2.225	-1.741	-2.506	-1.875	-2.295	-1.721	-1.633	-1.957	-2.039	-1.746	-1.03	-1.259	-0.29	-0.524	-0.622	-0.515	-1.262	0.363	-0.444	-0.401	0.495
"YML008C"	-1.234	0.109	0.253	0.313	0.035	0.026	-2.419	-0.545	-0.575	-2.236	-4.23	-4.829	-0.278	-0.161	-0.375	-1.94	0.471	-3.526	-0.601	-2.014	-3.366	-3.358	-5.162	-3.504	0.586	-0.029	0.037	-0.06	-1.469	-0.737	-0.233	-0.135	0.064	-1.111	-1.493	-0.858	-1.798	-2.031	-2.323	-2.91	-3.199	-2.808	-2.562	-2.487	-2.113	-3.059	-1.059	-0.176	-0.775	-1.669	-1.623	0.005	-0.341	0.408	0.225
"YML105C"	-0.176	0.081	-0.203	-0.025	-0.009	-0.174	-1.306	-0.918	-1.11	-1.19	-3.491	-5.249	0.086	0.292	-0.377	-1.171	0.058	-0.816	-0.764	-0.945	-0.916	-1.556	-2.731	-1.698	0.258	0.093	0.042	-0.179	0.328	0.387	-0.099	0.295	-0.535	-1.423	-2.217	-2.076	-1.479	-2.275	-1.836	-1.249	-0.71	-1.307	-1.169	-0.917	-1.068	-1.646	-0.762	-1.096	-0.784	-1.716	-1.468	0.241	0.034	0.105	0.332
"YMR033W"	-0.608	0.015	-0.075	-0.206	-0.135	-0.281	-1.816	-1.084	-1.434	-1.22	-3.063	-4.454	-0.159	-0.245	0.1	-1.514	-0.256	-1.647	-1.273	-1.244	-1.469	-1.745	-1.826	-1.988	0.087	-0.213	-0.138	-0.134	-1.013	-0.055	0.0	-0.594	-0.045	-1.319	-1.978	-1.526	-2.382	-1.889	-2.536	-2.226	-1.219	-1.833	-1.581	-1.453	-1.284	-1.188	-0.468	-1.367	-1.608	-1.615	-1.313	-0.157	-0.259	-0.306	0.09
"YMR123W"	-1.091	0.101	-0.429	-0.239	0.155	0.13	-1.897	-2.225	-2.491	-2.616	-2.374	-3.061	-0.305	-0.608	-0.455	-1.286	0.444	-0.767	-1.385	-1.907	-1.372	-1.615	-1.137	-1.512	-0.247	0.071	-0.635	0.358	-1.653	-0.566	-0.032	-0.628	0.106	0.795	0.216	0.411	0.442	0.588	-0.593	-0.249	-2.52	-1.331	-1.183	-1.272	-0.879	-0.6	-0.107	-0.257	-0.909	-1.505	-0.247	0.199	-0.091	-0.103	-0.203
"YMR215W"	-1.0	-0.032	-0.825	-0.697	-0.898	0.038	-1.425	-1.01	-3.881	-1.933	-3.705	-4.406	0.384	1.004	0.452	-2.601	-0.777	-1.783	-0.62	-2.081	-3.365	-2.939	-2.956	-3.467	0.331	-0.073	0.545	0.057	-2.702	-1.49	0.341	-1.135	-0.922	-1.689	-2.536	-2.977	-2.51	-2.217	-2.297	-2.632	-2.516	-2.595	-2.288	-2.789	-1.7	-3.226	-2.384	-2.586	-2.739	-2.197	-2.507	-0.568	0.373	0.116	-0.374
"YMR307W"	-0.587	-0.314	-0.462	-0.114	0.068	0.14	-1.341	-1.909	-3.74	-1.803	-5.132	-5.877	-0.524	-0.185	0.089	-3.284	-0.203	-3.55	-1.413	-2.493	-3.39	-4.432	-5.016	-4.56	0.877	-0.224	0.642	0.091	-3.1665	-1.608	-0.079	-2.358	-0.228	-2.141	-3.757	-3.663	-3.702	-3.808	-3.826	-4.145	-4.574	-3.18	-2.725	-2.995	-1.549	-2.736	-2.455	-4.513	-4.259	-2.398	-3.634	-0.599	0.627	0.412	-0.098
"YNR043W"	-1.019	-0.39	-0.341	-0.206	-0.018	-0.121	-1.8155	-1.574	-1.86	-2.628	-2.934	-5.1565	-0.968	0.3155	-0.072	-1.949	0.085	-1.36	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	0.556	-0.317	-0.094	-0.103	-1.878	0.747	0.009	-0.275	0.053	-0.823	-1.736	-1.001	-1.494	-1.456	-2.09	-2.016	-1.759	-1.955	-0.593	-1.673	-1.696	-2.285	-1.715	-1.142	-1.425	-1.336	-0.99	0.141	-0.056	-0.306	0.075
"YOL139C"	-0.96	0.138	-0.474	-0.15	0.009	-0.068	-2.795	-2.687	-0.0125	-2.51	-2.31	-5.5	-0.715	0.484	-0.268	-1.518	0.349	-2.365	-1.489	-1.408	-1.945	-1.487	-1.966	-2.188	0.173	-0.028	0.336	0.324	-1.701	-0.709	0.642	0.206	-0.433	-2.42	-2.478	-2.884	-2.453	-1.819	-2.755	-2.083	-1.508	-0.755	-0.686	-1.207	-1.404	-2.252	-0.798	-0.145	-0.327	-0.598	-0.563	-0.077	0.014	-0.077	0.134
"YOR168W"	-0.857	-0.587	-0.91	-0.758	-0.692	-0.501	-1.703	-1.3715	-1.261	-1.7945	-1.984	-4.808	-0.575	-0.7425	-0.122	-1.8785	0.174	-2.516	-1.423	-1.54	-1.525	-2.348	-2.353	-2.604	-0.251	0.314	-0.092	-0.139	-1.844	-1.025	-0.041	-0.784	0.609	-2.218	-2.284	-1.342	-2.304	-2.101	-2.513	-1.604	-1.549	-1.695	-1.533	-1.265	-1.49	-1.341	-1.583	-0.773	-0.994	-0.661	-1.234	0.257	-0.399	-0.484	0.343
"YOR209C"	-0.652	-0.228	-0.4	-0.204	0.342	-0.012	-0.84	-1.5995	-1.2605	-1.766	-2.998	-6.004	0.0645	0.4775	-0.2185	-1.647	-0.021	-1.744	-0.801	-0.906	-1.227	-1.897	-2.681	-2.954	0.027	-0.538	-0.114	-0.103	-1.009	-0.111	0.481	-0.266	0.37	-1.767	-1.414	-1.754	-1.474	-1.844	-1.539	-1.662	-2.517	-2.034	-1.933	-1.928	-1.39	-0.873	-0.671	-0.89	-2.141	-0.787	-1.146	-0.707	0.444	0.199	-0.425
"YOR240W"	-0.267	-0.382	0.155	0.238	0.148	0.351	-0.5095	-0.409	-1.044	-0.6835	-2.8765	-3.6975	-0.36	0.06	-0.098	-1.3235	-0.352	-1.328	-0.886	-1.773	-1.486	-2.693	-3.23	-2.674	0.186	0.067	0.532	-0.145	NaN	NaN	NaN	NaN	NaN	-0.942	-1.418	-2.282	-1.874	-2.294	-2.133	-1.223	-1.209	-1.559	-1.896	-0.965	-1.365	-1.26	-0.667	-0.96	-0.347	0.614	0.81	0.375	-0.633	-0.474	0.694
"YOR241W"	-0.322	0.058	0.01	-0.066	-0.182	-0.032	-1.044	-1.455	-1.287	-1.237	-2.668	-6.523	0.1205	0.1025	-0.0285	-1.0865	0.076	-1.509	-1.108	-1.077	-1.0	-1.779	-2.794	-2.058	0.163	0.005	0.221	-0.11	-0.758	0.004	0.18	-0.279	-0.377	-1.954	-2.583	-2.447	-2.332	-2.834	-2.866	-4.201	-1.423	-1.913	-0.927	-1.31	0.001	-1.192	-0.688	-1.048	-1.682	-1.925	-1.665	-0.462	0.024	-0.359	0.104
