	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
HMGCS2	1.39	48.52	32315.87	8363.13	1331.57	19214.73	10154.69	20737.16	5751.61	16045.82	7180.15	21.63	2997.45	4543.8	2434.5	7382.04	149521.18	94628.34	97288.74	62865.33	119776.72	124000.67	181548.07	153724.82	184082.4	136637.07	265802.39	128373.58	136637.07	123144.13	161367.56	158046.64	132900.7	113315.62	105727.15	155870.75	0.0	0.0
HOOK1	82.87	1.17	40.93	109.66	47.5	152.28	138.1	150.17	123.5	58.71	72.52	59.97	212.78	155.5	123.5	63.45	149.12	651.58	297.17	183.82	665.29	209.84	262.2	532.74	193.01	309.83	86.43	466.88	303.44	275.28	381.68	432.53	417.77	236.21	392.44	314.17	98.73	116.78
HPGD	12.83	97.36	16.63	2.58	7.34	134.3	79.45	341.51	62.56	7.22	15.34	97.36	303.44	9.85	2.43	1427.22	2835.7	36357.37	412.0	2032.85	4869.99	1216.75	13123.73	3372.43	3467.27	5147.73	5292.48	3794.3	1407.55	1991.0	3742.05	1191.69	26800.01	6516.03	4095.0	12160.22	0.0	0.61
IGFBP4	6840.04	1909.85	4210.15	12764.83	8778.97	16843.62	7695.57	16960.78	3540.14	4769.75	9540.5	5076.84	4937.99	4210.15	2997.45	15075.35	24832.5	19892.37	20737.16	53973.86	27553.49	27174.14	27553.49	80683.28	44145.15	19214.73	29327.18	24321.43	55877.28	23492.92	27745.15	37379.55	29327.18	22072.07	23492.92	25530.66	3515.68	547.75
ISOC1	303.44	166.73	583.07	1081.39	323.03	872.1	759.08	825.0	567.1	480.04	830.75	536.45	642.59	616.37	728.11	708.18	1857.6	2895.31	1286.18	2148.82	2895.31	1313.23	1662.49	1674.06	1572.76	1733.13	1540.37	2935.74	1529.73	1340.84	1508.65	1651.0	3372.43	1883.54	1733.13	3768.09	0.0	0.27
ISPD	8.58	6.06	10.88	15.8	7.34	12.36	10.47	28.86	12.93	28.24	11.38	5.23	7.69	14.14	8.99	18.29	34.02	51.35	21.16	55.49	74.06	46.84	55.89	13.62	53.57	29.91	18.43	59.97	33.78	37.32	52.08	41.52	61.25	55.1	35.5	53.19	0.0	0.04
IYD	0.0	0.31	48.87	96.01	9.13	66.65	70.51	126.12	33.78	20.56	45.53	5.68	4.9	29.91	96.68	37.32	728.11	896.64	660.68	483.38	551.56	1159.07	941.27	780.44	679.29	896.64	728.11	1037.29	463.65	866.07	579.04	384.34	1111.82	995.0	612.11	1397.83	0.0	0.01
KCNN2	2.58	1.46	5.19	3.17	3.86	3.14	3.56	4.21	3.92	1.0	5.96	6.67	5.23	3.82	0.0	7.06	518.15	1051.79	813.63	1135.2	616.37	988.12	813.63	1159.07	1286.18	1870.53	1111.82	1605.83	607.87	954.43	679.29	318.57	507.46	1674.06	1135.2	1467.37	0.0	0.09
KIAA0922	80.01	112.77	96.68	211.31	74.06	258.57	141.02	135.24	134.3	97.36	117.6	58.71	48.18	72.01	115.16	158.79	323.03	316.37	490.14	633.73	305.55	728.11	381.68	529.06	460.44	480.04	525.39	395.18	444.72	373.81	476.71	249.73	629.35	567.1	409.15	521.76	0.0	0.58
KIAA1671	36.53	32.59	114.36	134.3	83.45	176.29	185.11	343.89	303.44	134.3	127.89	156.59	208.38	198.47	65.72	232.94	325.29	718.08	281.09	583.07	262.2	547.75	493.56	612.11	420.68	332.14	291.04	226.54	480.04	371.22	563.18	412.0	748.61	264.03	387.02	323.03	154.42	37.85
KLKB1	0.0	8.58	1498.22	703.28	221.86	1407.55	356.05	830.75	152.28	669.92	866.07	58.71	228.13	104.42	665.29	928.3	8963.45	6164.49	8718.32	6516.03	5329.3	6561.36	8247.98	4802.93	6652.97	11345.82	11664.82	7032.37	13033.07	6935.54	6983.79	4123.49	10296.45	5954.47	7180.15	9344.14	0.0	0.28
LMAN1	660.68	435.55	934.76	1030.12	775.05	1081.39	928.3	1457.23	665.29	848.22	1304.15	723.08	866.07	1001.93	796.86	703.28	1191.69	2178.83	1225.22	1617.0	2573.36	1051.79	1721.16	1407.55	1268.46	1697.45	1175.27	1819.35	1697.45	941.27	1359.57	1111.82	1651.0	1044.52	1447.15	2119.22	0.0	0.57
MAP3K5	99.43	57.08	32.36	20.71	30.34	54.33	41.81	134.3	14.89	12.36	38.4	17.25	11.91	19.82	18.7	190.34	130.6	142.01	104.42	68.07	98.04	19.82	229.72	55.1	48.52	273.37	36.01	92.05	214.27	100.13	52.08	78.89	68.55	72.01	90.77	105.15	0.0	0.6
MAP7	141.02	11.04	158.79	147.06	13.03	237.86	183.82	112.77	23.76	42.41	70.01	4.1	31.0	61.68	112.77	120.1	180.02	368.65	201.25	77.79	406.31	145.02	327.56	332.14	180.02	327.56	190.34	161.02	356.05	197.09	234.57	221.86	473.41	63.0	177.53	283.05	0.0	0.0
MCC	91.41	25.54	12.0	2.27	12.18	11.55	6.21	38.95	3.23	5.28	16.27	6.89	6.26	27.64	3.66	59.55	107.38	248.0	248.0	92.05	426.57	122.64	96.01	44.25	91.41	264.03	181.28	395.18	169.07	108.14	50.63	69.52	124.37	96.68	123.5	170.25	54.72	48.52
METTL20	50.63	26.1	76.17	65.26	55.1	121.79	40.93	78.34	26.47	63.45	89.51	81.14	18.29	59.97	53.57	49.21	187.71	204.07	176.29	158.79	175.07	140.04	148.09	116.78	111.21	144.01	178.77	175.07	244.57	140.04	156.59	60.39	197.09	221.86	148.09	285.03	0.0	0.09
MOGAT1	0.0	0.0	15.91	9.48	3.26	34.75	1.39	12.93	0.0	14.03	7.34	2.18	2.14	2.05	17.51	4.66	49.56	22.43	58.71	54.33	32.59	100.13	12.64	22.75	39.22	49.56	39.22	62.12	44.89	69.03	36.01	53.95	38.95	55.1	63.0	65.72	0.0	0.0
NAT1	54.33	76.71	72.52	98.73	248.0	116.78	38.95	55.49	66.18	59.97	47.5	69.03	40.07	103.69	22.1	129.69	417.77	397.93	674.59	466.88	214.27	579.04	356.05	351.14	567.1	620.67	262.2	400.71	450.94	651.58	363.56	297.17	616.37	470.14	441.64	426.57	0.0	0.0
NIPAL1	63.45	2.36	17.13	8.19	2.2	3.99	27.05	55.89	27.05	10.96	8.65	18.29	32.36	32.13	10.96	21.47	220.32	118.43	334.46	366.09	87.65	457.25	205.5	132.44	144.01	246.28	373.81	171.45	429.54	183.82	205.5	68.07	129.69	87.65	127.0	133.36	0.0	0.0
NIT2	1044.52	1104.13	1529.73	2537.92	1447.15	2451.44	2163.77	2335.28	1936.53	2485.67	1844.76	1781.89	780.44	2682.69	2434.5	1437.15	5403.7	4972.34	6516.03	5076.84	4152.18	4639.29	4575.41	5219.6	4704.07	6381.92	5076.84	6840.04	3742.05	4937.99	4239.45	4095.0	4736.79	7230.1	5183.54	5441.3	1487.87	289.02
NMRK1	381.68	269.6	753.83	329.84	575.03	473.41	463.65	599.49	387.02	463.65	830.75	249.73	256.78	532.74	665.29	642.59	1340.84	1639.59	2240.11	2701.35	1350.18	1159.07	1551.09	1832.01	1977.24	2835.7	967.76	3235.01	1685.71	2018.8	1143.1	836.53	1709.26	1540.37	1870.53	2287.2	279.14	406.31
NR3C2	0.35	0.89	43.32	24.99	3.89	55.1	15.68	4.28	10.79	10.0	26.86	9.93	17.64	6.67	20.71	17.51	215.77	111.21	198.47	246.28	185.11	199.85	66.18	100.83	123.5	198.47	126.12	206.94	209.84	95.34	214.27	92.7	181.28	102.97	214.27	395.18	0.0	0.23
NT5DC1	193.01	88.26	981.29	285.03	156.59	1001.93	511.0	214.27	376.41	320.8	305.55	249.73	251.48	507.46	551.56	314.17	796.86	1111.82	1233.75	708.18	703.28	703.28	1088.92	748.61	674.59	866.07	1437.15	1359.57	669.92	1008.9	941.27	748.61	941.27	1313.23	921.88	1175.27	738.29	146.03
OGDHL	4.5	115.97	1447.15	151.22	38.4	376.41	175.07	1617.0	236.21	20.11	981.29	2.32	10.47	7.51	1242.34	351.14	2485.67	4639.29	9279.58	7081.29	3303.0	8421.31	6207.38	4639.29	9606.86	8247.98	10733.74	5479.15	7382.04	13492.72	6516.03	4736.79	9945.68	4298.64	5954.47	4388.98	0.0	0.24
PAH	0.66	0.6	18178.19	21768.19	12589.08	21320.18	13776.25	21919.61	5041.77	9740.98	16843.62	10883.59	3540.14	16496.96	8963.45	4802.93	16045.82	42937.97	66912.05	53230.77	22692.63	28132.47	56657.31	30151.71	44145.15	115696.65	63742.91	39510.91	70727.3	55491.3	22380.2	20310.37	46986.85	88905.42	42937.97	52497.92	0.0	0.21
PBLD	59.97	25.91	490.14	1059.11	1870.53	1617.0	688.78	3039.3	358.54	624.99	2816.11	62.56	341.51	307.69	178.77	206.94	3847.29	8479.89	6426.31	7382.04	7081.29	7695.57	5831.91	5517.27	7280.4	8901.53	5219.6	8134.41	10084.54	6381.92	4937.99	3955.48	9409.14	4671.57	7695.57	10014.87	0.0	0.32
PDXDC1	521.76	392.44	1119.56	1617.0	947.83	1268.46	1519.15	1685.71	620.67	909.17	934.76	854.13	738.29	1340.84	928.3	1437.15	1745.2	2303.12	3081.75	1331.57	1561.89	1857.6	2335.28	1909.85	1806.78	2451.44	1268.46	2451.44	2520.38	1781.89	1457.23	1639.59	2555.58	2739.08	1832.01	2351.53	0.0	1.1
PEX7	115.97	111.99	191.67	102.25	108.14	197.09	172.65	64.8	109.66	70.01	98.04	103.69	123.5	119.26	220.32	105.89	249.73	204.07	191.67	115.16	231.32	164.42	271.48	242.88	155.5	228.13	327.56	166.73	143.01	136.19	161.02	138.1	275.28	198.47	112.77	191.67	0.0	0.01
PHLDB2	178.77	127.89	92.05	384.34	49.56	251.48	242.88	305.55	224.97	85.82	253.23	53.57	186.4	104.42	101.54	269.6	490.14	928.3	1151.06	915.51	728.11	896.64	387.02	642.59	743.43	1295.13	607.87	1037.29	599.49	728.11	684.02	718.08	703.28	665.29	974.5	1037.29	0.0	0.66
PHYH	209.84	656.11	1757.34	6792.79	3443.31	2591.27	1844.76	5255.91	2178.83	2075.59	2976.74	921.88	1991.0	3564.78	2777.33	2645.74	21468.49	25708.25	17437.64	6935.54	17558.94	13033.07	22072.07	16496.96	12076.21	27174.14	28525.2	13776.25	17197.56	12415.75	14065.74	13586.57	38430.46	17437.64	20881.4	21026.65	0.0	0.34
