	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABCA9	1.0	0.61	36.79	4.54	1.01	100.13	2.86	47.17	9.06	10.47	11.73	5.59	5.45	3.86	32.36	38.4	95.34	106.63	463.65	214.27	81.14	128.79	88.26	100.13	183.82	348.71	46.5	182.55	249.73	293.07	181.28	120.94	140.04	246.28	176.29	159.9	0.0	0.28
ACAD8	204.07	384.34	256.78	299.25	297.17	587.13	260.38	454.09	318.57	231.32	353.59	312.0	567.1	384.34	343.89	363.56	483.38	713.11	660.68	532.74	497.0	414.87	808.0	802.41	660.68	629.35	497.0	660.68	529.06	785.88	591.22	450.94	728.11	679.29	728.11	490.14	0.0	1.07
ACBD5	164.42	85.82	356.05	361.04	473.41	665.29	191.67	473.41	194.36	346.29	351.14	170.25	307.69	373.81	312.0	500.46	884.29	1119.56	890.44	974.5	902.89	1096.5	884.29	1216.75	1008.9	1088.92	1143.1	780.44	1059.11	878.17	802.41	414.87	1378.57	836.53	1001.93	1639.59	0.0	0.21
ACOX1	180.02	291.04	759.08	688.78	493.56	1477.58	988.12	2061.24	624.99	575.03	642.59	684.02	381.68	669.92	1008.9	647.07	3280.18	3955.48	3039.3	2520.38	1896.65	4639.29	2400.97	1936.53	4736.79	3515.68	2287.2	2591.27	4095.0	3614.55	5112.16	2163.77	5672.41	2537.92	2224.63	3742.05	237.86	376.41
AFF4	121.79	149.12	221.86	246.28	105.89	291.04	303.44	149.12	144.01	148.09	140.04	248.0	157.68	170.25	154.42	301.33	291.04	444.72	454.09	289.02	412.0	251.48	339.14	915.51	260.38	361.04	180.02	363.56	242.88	651.58	299.25	438.59	796.86	348.71	312.0	435.55	0.0	0.45
AFM	0.0	0.29	536.45	4450.27	423.61	4181.07	587.13	2303.12	633.73	376.41	2075.59	80.57	555.41	37.05	728.11	954.43	16269.83	33688.23	59887.86	69271.73	32540.65	48982.22	26431.04	4358.66	14461.21	42641.37	10084.54	110216.97	20170.07	12589.08	55491.3	23820.89	66912.05	36357.37	37901.36	37121.34	0.0	0.0
AIG1	559.28	536.45	3190.46	2609.3	1963.57	3665.02	4419.52	3235.01	2018.8	1487.87	2075.59	1437.15	2739.08	2163.77	2895.31	1540.37	7280.4	5403.7	5954.47	5995.9	8022.41	5872.48	9740.98	5292.48	5006.93	5791.62	7803.01	5995.9	8538.88	5292.48	6935.54	6037.61	9876.98	7485.11	6207.38	7803.01	0.0	0.59
AL138847.1	0.0	0.0	82.87	92.05	11.38	83.45	10.16	82.29	15.56	63.89	105.15	46.5	99.43	49.91	57.08	55.49	140.04	743.43	329.84	351.14	633.73	194.36	669.92	341.51	285.03	769.69	234.57	202.66	703.28	208.38	336.79	172.65	1059.11	376.41	397.93	1794.29	0.0	0.07
ALDH1A2	4.58	22.43	31.67	80.01	25.17	60.82	72.52	127.89	500.46	34.51	20.41	14.89	66.65	14.14	41.22	82.87	563.18	1015.93	733.19	429.54	420.68	915.51	368.65	32.82	518.15	511.0	107.38	423.61	69.03	363.56	708.18	466.88	316.37	529.06	417.77	638.15	0.0	0.27
ALDH8A1	1.3	1.75	656.11	1044.52	11.91	2004.85	269.6	267.73	323.03	123.5	325.29	7.94	785.88	169.07	67.59	547.75	6516.03	7749.1	4010.71	5831.91	8022.41	5403.7	8078.22	5479.15	4388.98	7280.4	12415.75	5954.47	6935.54	2935.74	7803.01	4575.41	11664.82	4937.99	5995.9	4736.79	0.0	0.42
ALDH9A1	674.59	460.44	3168.41	1819.35	1437.15	2555.58	1073.91	1159.07	842.36	1277.29	2255.7	1572.76	819.3	1233.75	1331.57	1936.53	3874.05	3419.52	2591.27	2104.58	4123.49	1286.18	5041.77	1781.89	2835.7	3303.0	3257.52	3325.99	3419.52	2047.0	2895.31	2645.74	4358.66	4066.71	3103.19	3419.52	1191.69	299.25
ANXA10	1.01	40.36	607.87	12.45	6.73	426.57	54.33	132.44	18.84	435.55	366.09	107.38	65.26	34.02	71.5	277.2	2796.65	6935.54	3820.7	3235.01	2720.15	5006.93	4358.66	4298.64	8479.89	9025.81	4123.49	4512.4	9474.59	5366.37	2537.92	3395.89	9606.86	9673.69	2287.2	4038.61	0.0	0.0
APOC1	17804.06	1059.11	668235.84	524287.0	27174.14	589853.66	102836.01	711250.37	327241.36	496005.67	627822.72	237899.7	220434.95	303217.87	778316.89	365622.68	2748093.15	2310861.52	1775752.63	2654482.97	3178687.03	2691538.19	3430528.88	4526610.31	3576208.94	2924988.47	5809569.18	2511293.86	6719860.18	2672946.37	2748093.15	2599854.48	2904784.09	3702323.71	3968052.37	3626130.97	11664.82	1208.34
AQP7	4.86	4.94	193.01	172.65	91.41	182.55	105.89	325.29	181.28	289.02	281.09	85.22	40.64	109.66	141.02	126.12	1081.39	444.72	3467.27	1051.79	466.88	1286.18	500.46	1268.46	753.83	426.57	884.29	414.87	1781.89	1066.48	1378.57	450.94	2119.22	312.0	928.3	633.73	0.0	0.13
ARG1	3.17	0.0	42.71	2915.45	73.54	3168.41	8778.97	3103.19	1697.45	2384.37	269.6	193.01	6561.36	3768.09	2956.17	3768.09	20737.16	17437.64	23492.92	18431.96	7180.15	4903.87	73730.83	30999.42	10084.54	62865.33	23656.34	5711.87	12853.63	10585.95	12329.98	35118.87	10659.59	30785.28	15715.58	15392.14	0.0	0.75
ARRDC4	57.49	7.0	40.64	152.28	7.88	341.51	23.93	205.5	41.52	21.94	75.64	28.24	16.39	49.56	52.08	389.72	229.72	753.83	409.15	264.03	559.28	316.37	239.52	902.89	490.14	68.55	195.72	629.35	214.27	525.39	1183.45	503.95	1498.22	107.38	507.46	521.76	0.0	0.25
ASPA	1.6	0.88	23.93	8.45	17.64	16.75	14.78	20.41	35.5	16.75	31.22	3.72	22.1	4.66	1.25	14.45	262.2	178.77	356.05	279.14	153.34	309.83	176.29	271.48	412.0	463.65	177.53	215.77	309.83	660.68	201.25	165.57	314.17	343.89	220.32	198.47	0.0	0.16
BBOX1	13.32	19.68	15.0	1183.45	9.48	412.0	1.43	57.49	60.39	332.14	808.0	0.32	229.72	90.14	7.17	24.28	4972.34	3419.52	1769.57	1628.26	4512.4	2193.99	5441.3	2485.67	3491.39	2956.17	2976.74	5329.3	2351.53	1794.29	2384.37	1909.85	4769.75	6079.61	2367.9	5995.9	0.0	0.04
BCHE	58.3	96.01	150.17	961.07	6.36	1977.24	23.25	7.57	251.48	98.04	1304.15	15.22	426.57	25.35	1529.73	108.9	6079.61	9540.5	11827.67	9606.86	7382.04	13033.07	6745.86	8901.53	13586.57	26431.04	7803.01	12676.65	6121.9	11909.94	6516.03	3303.0	19618.49	11664.82	9945.68	27363.16	0.0	0.19
BCKDHB	82.87	130.6	473.41	371.22	94.01	796.86	314.17	237.86	320.8	127.0	356.05	165.57	423.61	521.76	332.14	158.79	2133.97	1819.35	1159.07	2384.37	1870.53	2367.9	1639.59	836.53	1519.15	2351.53	1250.98	1519.15	2796.65	1183.45	1159.07	1066.48	2104.58	1883.54	2451.44	2591.27	297.17	100.83
BDH1	371.22	253.23	7180.15	4181.07	130.6	6792.79	2915.45	3794.3	1733.13	8134.41	3212.66	2303.12	909.17	3303.0	4388.98	2335.28	17927.91	15180.22	28923.41	20310.37	10808.41	33455.53	19082.0	14461.21	17927.91	17927.91	14867.79	15075.35	19754.96	24321.43	16960.78	10225.32	23492.92	16960.78	18304.63	15934.98	934.76	115.97
BDH2	896.64	1369.04	753.83	995.0	2018.8	928.3	563.18	1551.09	441.64	176.29	1073.91	236.21	656.11	536.45	884.29	802.41	2796.65	3146.52	3589.58	2796.65	2701.35	2796.65	2855.44	3716.2	1991.0	4010.71	2701.35	4671.57	2047.0	2119.22	2075.59	2061.24	4181.07	3982.99	2434.5	3257.52	0.0	0.66
C11orf54	148.09	157.68	518.15	651.58	400.71	1250.98	665.29	1313.23	470.14	525.39	444.72	624.99	738.29	1066.48	718.08	363.56	3443.31	2855.44	3614.55	2061.24	2287.2	1923.14	3018.3	3303.0	2720.15	3190.46	2875.3	2855.44	3124.78	3081.75	1977.24	1781.89	3515.68	2956.17	2287.2	3491.39	0.0	0.27
C21orf91	57.08	114.36	26.1	32.36	12.93	24.63	45.53	13.22	17.77	6.36	19.53	18.97	35.0	33.78	15.22	62.56	86.43	50.98	68.07	175.07	81.14	65.26	120.1	62.56	122.64	78.34	87.03	164.42	153.34	90.14	118.43	242.88	149.12	105.15	128.79	73.54	0.0	0.39
C6orf123	0.0	3.44	36.53	59.97	7.75	103.69	37.85	100.83	46.18	3.2	29.91	4.17	25.17	46.5	48.18	95.34	135.24	423.61	283.05	521.76	136.19	295.11	242.88	169.07	651.58	759.08	63.45	255.0	217.27	224.97	165.57	199.85	403.5	175.07	329.84	320.8	0.0	0.06
CAPN3	64.34	108.9	651.58	189.02	76.17	264.03	84.04	389.72	226.54	215.77	191.67	55.49	142.01	67.59	137.14	511.0	327.56	353.59	1427.22	642.59	221.86	575.03	371.22	417.77	679.29	854.13	218.79	1073.91	738.29	753.83	332.14	279.14	454.09	660.68	559.28	563.18	0.0	0.79
CAT	607.87	764.36	6164.49	8598.28	3665.02	7642.41	3039.3	9279.58	995.0	4903.87	6250.56	2895.31	1561.89	5147.73	2502.97	3325.99	19618.49	30999.42	24153.43	22692.63	20593.91	25354.3	19892.37	16960.78	25005.23	29327.18	20310.37	33224.42	14262.1	22535.88	16960.78	12160.22	23009.42	20030.74	28723.62	33922.56	0.0	0.21
CFHR3	17.64	0.3	6207.38	150.17	1.55	1066.48	0.0	361.04	460.44	14663.09	532.74	5441.3	551.56	94.01	126.12	5329.3	10808.41	5711.87	12589.08	24153.43	13492.72	12329.98	10154.69	6164.49	14561.8	11189.6	2485.67	3589.58	8479.89	13681.08	20881.4	11827.67	10440.2	9740.98	3901.01	4769.75	0.0	0.1
CHP1	559.28	738.29	1745.2	1081.39	941.27	1340.84	842.36	3372.43	1437.15	1304.15	2255.7	733.19	1051.79	674.59	1551.09	981.29	4388.98	3081.75	2047.0	1583.71	2758.13	2018.8	5147.73	2609.3	2133.97	3257.52	4512.4	2384.37	2835.7	2400.97	2591.27	2367.9	3103.19	3280.18	2451.44	2384.37	902.89	3303.0
CMPK1	1286.18	836.53	1498.22	1662.49	961.07	1508.65	1183.45	1437.15	1119.56	1498.22	1529.73	1175.27	1651.0	2032.85	1540.37	1583.71	2682.69	4066.71	2032.85	2061.24	3467.27	1572.76	3349.13	2271.4	2287.2	2075.59	2061.24	2061.24	2451.44	1651.0	2075.59	1769.57	3491.39	2609.3	2163.77	3467.27	0.0	0.79
CNGA1	24.46	11.64	14.56	3.5	6.84	9.41	49.21	536.45	86.43	29.91	19.53	7.46	47.5	7.22	52.82	63.0	1119.56	441.64	947.83	1225.22	660.68	1259.69	1008.9	249.73	775.05	1073.91	1191.69	1135.2	1709.26	1745.2	599.49	575.03	571.05	713.11	579.04	813.63	0.0	0.01
CPS1	1.95	6.62	14065.74	4639.29	39.79	7695.57	3847.29	27174.14	4210.15	4671.57	7180.15	1844.76	2193.99	3212.66	470.14	718.08	22850.48	25005.23	38966.94	60304.42	16960.78	18304.63	181548.07	59887.86	27174.14	144427.91	303217.87	29531.18	42346.82	25708.25	6337.83	16383.0	44761.41	127486.83	38164.99	42346.82	0.0	0.58
CSAD	214.27	384.34	2434.5	2555.58	500.46	2720.15	555.41	1331.57	373.81	733.19	1250.98	567.1	493.56	312.0	642.59	429.54	1794.29	4512.4	4038.61	2758.13	2796.65	3303.0	1883.54	9945.68	2119.22	3372.43	3212.66	4095.0	1605.83	5219.6	4268.94	2367.9	3564.78	2417.67	3349.13	2777.33	0.0	1.55
CTPS1	642.59	825.0	417.77	825.0	769.69	947.83	318.57	248.0	480.04	262.2	819.3	166.73	486.75	480.04	595.34	314.17	1594.73	521.76	961.07	3280.18	1388.16	3639.7	860.08	358.54	1447.15	2434.5	1037.29	2018.8	2209.26	753.83	1233.75	1350.18	1051.79	2502.97	1540.37	2537.92	0.0	0.41
CTSO	169.07	147.06	583.07	665.29	426.57	651.58	332.14	753.83	85.82	595.34	830.75	172.65	105.15	133.36	260.38	363.56	1561.89	921.88	1081.39	1081.39	1096.5	848.22	1277.29	1037.29	1081.39	1111.82	974.5	1167.14	1551.09	1104.13	1015.93	612.11	2434.5	1378.57	1015.93	1594.73	0.0	0.36
CWH43	14.78	1.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.0	1.81	0.0	0.0	0.0	63.89	15.0	35.76	24.46	2.76	26.28	21.47	35.0	16.75	58.71	17.0	6.84	11.13	21.01	20.26	20.71	35.5	14.35	38.4	49.91	0.0	0.0
CYB5D1	75.64	185.11	104.42	93.35	127.0	173.85	80.57	52.45	129.69	104.42	155.5	146.03	109.66	74.58	73.54	97.36	193.01	173.85	244.57	226.54	142.01	193.01	183.82	154.42	122.64	217.27	283.05	155.5	191.67	395.18	104.42	89.51	232.94	195.72	202.66	169.07	0.0	0.38
CYP4V2	51.71	83.45	441.64	764.36	277.2	836.53	426.57	860.08	159.9	143.01	579.04	132.44	356.05	234.57	507.46	273.37	2367.9	3257.52	1991.0	1662.49	3955.48	2178.83	5112.16	2104.58	2537.92	9673.69	2664.15	2796.65	3928.15	2018.8	2935.74	1594.73	4152.18	6516.03	2061.24	3303.0	218.79	674.59
DHRS1	981.29	532.74	2240.11	2417.67	511.0	5403.7	738.29	2777.33	866.07	1437.15	1594.73	638.15	1350.18	466.88	647.07	748.61	6426.31	5633.22	9151.82	9876.98	5403.7	8840.04	5672.41	5329.3	9025.81	8538.88	5041.77	11584.24	8078.22	7032.37	6079.61	4239.45	6699.25	7485.11	7331.05	10659.59	0.0	0.72
DHTKD1	159.9	73.54	995.0	1286.18	173.85	1628.26	400.71	1001.93	353.59	612.11	890.44	343.89	269.6	890.44	769.69	273.37	1583.71	2520.38	3540.14	2997.45	2287.2	2875.3	2796.65	3395.89	2816.11	3515.68	3212.66	2720.15	4123.49	1844.76	1745.2	1295.13	2004.85	3039.3	3901.01	3039.3	414.87	353.59
DNAJC22	10.71	102.97	371.22	660.68	426.57	708.18	273.37	500.46	389.72	277.2	334.46	182.55	718.08	172.65	493.56	476.71	947.83	2090.03	819.3	1225.22	1225.22	1662.49	941.27	2367.9	1208.34	866.07	466.88	1250.98	1030.12	1963.57	1561.89	698.41	2335.28	1225.22	1059.11	796.86	49.91	112.77
