	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DK.A2HX.01A.12R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.L5.A4OG.01A.11R.A260.31	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A8NU.01A.11R.A36D.31	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A8NS.01A.12R.A37I.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.L5.A4OS.01A.11R.A28J.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.2H.A9GH.01A.11R.A37I.31	TCGA.L5.A8NV.01A.11R.A37I.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.BP.4988.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.ZP.A9CV.01A.11R.A38B.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.14753.1626.SM.5NQ9L	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.U3ZH.0526.SM.3DB75	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.BR.4292.01A.01R.1131.13	TCGA.VQ.A8E0.01A.11R.A414.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.BR.4191.01A.02R.1131.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.CG.4443.01A.01R.1157.13	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91Q.01A.12R.A414.31	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.QDVJ.1426.SM.48U1Y	GTEX.T8EM.1226.SM.4DM5J	GTEX.WHPG.0426.SM.4M1XW	GTEX.Q2AH.1126.SM.48TZM	GTEX.13U4I.2526.SM.5SI8Z	GTEX.OHPK.1526.SM.3MJGM	GTEX.XV7Q.1326.SM.4BRWM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5
AP003068.6	11.47	5.11	15.22	5.11	13.12	20.56	11.47	22.92	21.32	15.34	52.82	9.48	15.22	31.67	29.27	23.59	52.82	53.19	30.12	49.91	59.13	28.04	52.08	47.5	46.18	44.89	17.25	29.48	23.25	38.4	49.21	32.36	82.29	0.0	12.55	8.0	4.82	16.51	5.87	9.63	8.58	2.97	3.99	3.96	3.32	1.01	2.16	1.25	3.47	2.61	2.84	5.59	0.0	0.67	30.78	7.46	3.47	3.29	14.24	33.78	18.29	24.99	15.45	22.59	27.25	26.47	19.53	26.86	17.0	22.92	41.52	24.99	37.32	9.93	20.71	12.64	31.45	35.25	25.17	12.64	17.13	10.08	10.79	15.0	33.54	9.63	24.99	11.91	15.68	11.38
ATG14	90.77	120.1	189.02	144.01	289.02	384.34	376.41	74.06	55.89	152.28	134.3	167.9	176.29	218.79	129.69	126.12	205.5	318.57	183.82	107.38	299.25	271.48	366.09	251.48	249.73	70.01	181.28	161.02	143.01	132.44	193.01	144.01	316.37	59.13	72.01	107.38	86.43	118.43	95.34	64.8	49.56	37.32	56.28	66.18	35.0	35.5	43.32	51.35	58.71	72.52	50.98	53.19	0.0	0.18	320.8	150.17	191.67	224.97	107.38	137.14	132.44	104.42	94.67	131.51	356.05	172.65	117.6	92.05	132.44	129.69	246.28	147.06	153.34	94.01	176.29	86.43	102.97	154.42	189.02	72.52	151.22	139.07	115.97	82.87	228.13	126.12	92.7	136.19	105.89	181.28
BTAF1	50.63	193.01	116.78	297.17	152.28	211.31	258.57	246.28	133.36	167.9	567.1	141.02	332.14	392.44	525.39	660.68	503.95	599.49	595.34	620.67	819.3	791.35	1104.13	1104.13	775.05	332.14	599.49	412.0	454.09	480.04	698.41	463.65	872.1	20.86	54.72	82.29	111.99	165.57	63.0	61.25	78.89	53.19	93.35	84.63	87.03	78.34	103.69	198.47	156.59	182.55	46.18	90.77	0.0	0.65	400.71	163.28	275.28	229.72	88.26	258.57	420.68	260.38	195.72	167.9	642.59	305.55	348.71	177.53	540.19	299.25	688.78	460.44	329.84	126.12	480.04	251.48	130.6	220.32	450.94	189.02	157.68	221.86	155.5	208.38	291.04	246.28	253.23	215.77	228.13	258.57
C10orf137	129.69	217.27	146.03	136.19	397.93	457.25	460.44	234.57	170.25	217.27	511.0	199.85	327.56	420.68	381.68	426.57	400.71	414.87	483.38	423.61	417.77	412.0	426.57	466.88	395.18	269.6	420.68	341.51	307.69	305.55	438.59	228.13	514.56	53.57	120.1	163.28	79.45	171.45	132.44	74.58	57.89	31.0	81.14	80.57	70.51	36.53	89.51	42.71	41.81	88.88	21.32	56.28	0.0	0.57	669.92	170.25	167.9	195.72	941.27	248.0	389.72	381.68	218.79	215.77	684.02	373.81	514.56	125.24	988.12	297.17	503.95	307.69	616.37	100.13	426.57	334.46	128.79	309.83	289.02	208.38	206.94	232.94	173.85	155.5	371.22	199.85	197.09	187.71	195.72	234.57
C10orf68	1.19	1.79	3.47	3.2	1.71	18.29	34.75	1.85	10.96	3.63	24.11	15.56	7.4	24.99	1.28	18.29	11.13	19.97	9.13	10.0	6.46	23.93	21.01	19.39	9.93	7.28	5.68	15.68	19.53	9.7	29.27	12.0	40.07	0.0	0.74	4.28	0.82	7.63	1.6	8.78	0.87	0.0	0.0	1.51	0.0	3.2	0.61	6.36	1.79	0.0	0.49	0.0	0.0	0.29	38.12	1.93	2.14	7.88	1.13	14.78	12.55	2.12	2.81	7.75	4.7	15.91	6.26	0.0	17.13	13.62	13.72	9.13	20.41	1.81	8.32	16.03	2.34	11.47	13.22	1.13	4.74	2.16	1.5	4.24	4.21	2.23	11.3	12.74	2.66	4.98
CASD1	133.36	77.25	190.34	60.39	145.02	417.77	438.59	185.11	291.04	154.42	281.09	166.73	117.6	223.41	267.73	132.44	256.78	265.87	293.07	183.82	366.09	220.32	341.51	305.55	201.25	103.69	244.57	164.42	159.9	473.41	212.78	100.83	486.75	115.16	114.36	91.41	62.56	104.42	88.26	88.88	102.25	73.54	101.54	90.77	102.25	85.22	128.79	102.97	81.71	153.34	63.0	70.01	0.0	0.54	909.17	173.85	121.79	144.01	109.66	142.01	157.68	327.56	96.68	158.79	248.0	264.03	143.01	104.42	239.52	172.65	204.07	285.03	463.65	133.36	295.11	96.68	119.26	267.73	104.42	74.06	74.58	122.64	95.34	88.26	237.86	125.24	120.94	105.89	96.01	112.77
CC2D2B	2.05	0.6	4.46	3.89	13.12	14.67	6.67	3.17	3.89	1.25	10.55	1.33	7.4	12.18	10.55	3.53	25.54	21.94	9.06	5.11	14.45	10.0	6.46	33.54	14.35	4.31	27.44	13.22	11.47	8.13	15.56	12.55	30.12	0.0	1.33	5.06	0.0	3.06	1.28	2.71	0.0	0.0	0.0	1.23	0.0	0.61	1.48	1.14	0.75	1.5	0.0	0.46	0.0	0.2	7.11	1.11	1.19	2.01	3.79	2.81	2.56	3.76	1.73	0.83	2.29	6.26	0.67	0.0	6.11	4.7	3.06	8.78	11.13	0.0	6.21	5.77	1.77	4.24	1.53	1.17	8.25	3.96	1.81	1.5	6.78	3.0	1.33	2.71	4.1	2.14
CCDC14	218.79	521.76	279.14	133.36	193.01	599.49	684.02	1208.34	1081.39	483.38	1519.15	961.07	651.58	669.92	1051.79	1477.58	941.27	1119.56	1331.57	1529.73	1757.34	1250.98	1407.55	1427.22	1857.6	718.08	1437.15	928.3	529.06	1268.46	1250.98	723.08	1242.34	15.68	163.28	100.13	53.95	214.27	150.17	95.34	114.36	48.52	82.29	80.57	114.36	80.01	78.34	65.72	111.99	44.25	59.55	98.73	0.0	1.07	1617.0	195.72	172.65	231.32	237.86	860.08	603.67	429.54	299.25	356.05	1313.23	642.59	555.41	208.38	1369.04	460.44	819.3	1697.45	1191.69	189.02	642.59	647.07	441.64	878.17	460.44	120.94	291.04	221.86	392.44	320.8	651.58	258.57	748.61	212.78	490.14	271.48
CCDC36	3.23	0.91	10.63	0.15	3.66	20.71	22.1	0.52	2.39	0.95	6.21	5.68	10.24	8.25	9.2	7.94	45.85	19.68	5.54	9.85	18.84	14.89	28.04	32.36	20.71	12.0	72.01	8.25	7.94	8.45	19.82	12.36	23.93	0.0	0.0	4.62	0.64	1.85	2.48	1.91	1.23	0.0	0.0	0.72	0.0	0.0	0.75	0.0	0.93	2.2	0.0	1.43	0.0	0.2	35.76	0.96	1.66	3.96	3.03	4.62	7.63	6.26	4.74	26.67	5.5	11.04	4.13	0.44	8.58	7.75	5.32	4.17	10.79	3.56	2.84	2.14	7.51	18.29	3.2	2.39	1.45	14.78	4.43	1.99	9.63	3.32	10.16	2.34	1.28	5.06
CCDC82	234.57	194.36	279.14	76.17	204.07	490.14	583.07	226.54	493.56	299.25	463.65	249.73	403.5	389.72	679.29	277.2	547.75	660.68	420.68	753.83	603.67	414.87	796.86	902.89	775.05	169.07	651.58	607.87	624.99	753.83	780.44	417.77	1313.23	176.29	105.15	198.47	171.45	264.03	246.28	98.73	136.19	68.55	150.17	224.97	136.19	234.57	182.55	217.27	237.86	215.77	224.97	65.72	0.0	0.68	723.08	163.28	444.72	346.29	212.78	444.72	312.0	220.32	234.57	429.54	426.57	583.07	368.65	258.57	723.08	460.44	297.17	633.73	669.92	199.85	470.14	231.32	273.37	381.68	559.28	175.07	212.78	476.71	267.73	379.04	299.25	447.82	353.59	299.25	232.94	234.57
CCDC84	258.57	178.77	348.71	356.05	571.05	603.67	629.35	403.5	244.57	432.53	723.08	447.82	679.29	607.87	890.44	343.89	967.76	748.61	842.36	1167.14	836.53	599.49	1304.15	1369.04	1073.91	343.89	1096.5	698.41	497.0	616.37	1277.29	463.65	1857.6	137.14	265.87	214.27	204.07	285.03	157.68	202.66	173.85	65.26	139.07	128.79	111.99	50.63	108.14	100.83	167.9	135.24	124.37	126.12	0.0	1.14	1135.2	201.25	314.17	194.36	267.73	514.56	381.68	559.28	264.03	244.57	559.28	397.93	341.51	103.69	325.29	525.39	406.31	521.76	995.0	156.59	480.04	387.02	301.33	813.63	791.35	133.36	237.86	366.09	186.4	181.28	536.45	281.09	237.86	423.61	215.77	281.09
CCNT2	102.25	115.16	116.78	149.12	251.48	281.09	371.22	265.87	291.04	181.28	368.65	264.03	255.0	376.41	450.94	384.34	353.59	536.45	395.18	432.53	432.53	521.76	575.03	466.88	420.68	291.04	363.56	420.68	373.81	400.71	381.68	287.01	688.78	29.06	137.14	115.97	151.22	182.55	100.83	87.03	98.04	24.63	117.6	103.69	117.6	42.41	47.84	147.06	96.68	205.5	53.95	83.45	0.0	0.68	547.75	241.19	148.09	205.5	283.05	412.0	348.71	283.05	193.01	205.5	591.22	470.14	289.02	159.9	684.02	403.5	497.0	429.54	684.02	173.85	500.46	293.07	146.03	287.01	264.03	234.57	236.21	231.32	226.54	241.19	327.56	301.33	312.0	199.85	242.88	246.28
CDK13	256.78	325.29	341.51	279.14	361.04	483.38	543.96	384.34	567.1	381.68	490.14	423.61	395.18	633.73	703.28	819.3	450.94	738.29	1295.13	660.68	684.02	819.3	728.11	669.92	825.0	363.56	684.02	476.71	559.28	521.76	698.41	575.03	802.41	97.36	234.57	258.57	191.67	314.17	312.0	145.02	221.86	124.37	208.38	241.19	164.42	111.99	165.57	146.03	165.57	197.09	122.64	217.27	0.0	0.39	947.83	463.65	339.14	423.61	346.29	514.56	490.14	332.14	334.46	334.46	808.0	473.41	457.25	275.28	674.59	438.59	583.07	547.75	669.92	275.28	974.5	703.28	400.71	703.28	417.77	432.53	277.2	305.55	314.17	343.89	587.13	283.05	358.54	305.55	351.14	361.04
CENPP	31.67	49.21	44.25	158.79	305.55	24.99	25.54	47.84	70.01	48.18	32.36	39.79	37.85	33.06	52.08	54.33	70.01	74.06	59.13	86.43	62.12	41.52	50.27	59.97	62.56	61.68	77.25	63.45	59.55	56.28	50.63	43.02	61.68	6.67	10.96	30.78	9.63	24.46	26.67	19.82	7.28	4.86	11.04	6.36	11.13	18.7	23.59	6.84	14.67	13.42	7.63	9.41	0.0	0.4	36.53	71.5	69.03	111.99	36.01	26.67	55.89	36.79	23.42	79.45	72.52	75.64	64.8	27.64	58.3	35.5	50.98	62.56	47.84	31.9	40.07	59.13	30.34	53.57	49.21	50.63	28.24	35.25	31.67	27.44	29.91	32.36	39.22	26.28	40.64	13.42
CEP135	23.76	73.03	36.79	34.75	47.84	89.51	75.11	28.04	116.78	40.93	85.22	88.26	75.11	116.78	96.01	89.51	121.79	102.97	121.79	113.56	104.42	98.73	143.01	124.37	122.64	41.22	147.06	108.9	82.29	96.68	114.36	70.51	176.29	6.62	12.93	23.08	11.47	19.11	13.22	6.67	7.88	1.58	7.06	12.64	6.84	12.36	8.45	14.56	19.11	15.11	3.35	13.52	0.0	0.51	167.9	59.97	64.34	46.84	32.36	88.26	78.34	70.51	43.63	57.89	147.06	68.55	58.3	31.45	141.02	38.12	49.91	108.14	77.79	39.22	112.77	90.77	39.79	90.14	125.24	25.91	47.84	51.71	52.45	37.05	63.0	26.47	75.11	33.54	63.45	29.06
CEP95	397.93	366.09	262.2	460.44	713.11	988.12	1088.92	1066.48	830.75	665.29	1397.83	753.83	679.29	723.08	1529.73	819.3	728.11	1259.69	748.61	954.43	954.43	1143.1	1605.83	1044.52	796.86	444.72	1167.14	954.43	642.59	759.08	1104.13	454.09	1044.52	75.64	307.69	406.31	237.86	258.57	265.87	195.72	206.94	42.11	185.11	177.53	156.59	83.45	103.69	131.51	195.72	209.84	97.36	121.79	0.0	0.78	607.87	301.33	264.03	441.64	334.46	693.58	603.67	599.49	336.79	414.87	1277.29	890.44	813.63	201.25	1143.1	379.04	1397.83	854.13	1498.22	320.8	551.56	583.07	255.0	723.08	674.59	450.94	460.44	295.11	234.57	269.6	441.64	368.65	395.18	320.8	301.33	336.79
