	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.147F4.0926.SM.5Q5EO	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.1122O.0126.SM.5GICA	GTEX.13N1W.0726.SM.5MR57	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ5.0726.SM.2I5F9	GTEX.11LCK.0426.SM.5A5M8	GTEX.OHPM.0526.SM.2YUMJ
COX15	476.71	511.0	262.2	429.54	718.08	138.1	414.87	277.2	497.0	490.14	242.88	406.31	420.68	432.53	620.67	563.18	102.97	260.38	466.88	327.56	325.29	412.0	269.6	540.19	587.13	563.18	301.33
CPSF3	444.72	483.38	221.86	373.81	563.18	275.28	400.71	194.36	723.08	457.25	267.73	429.54	785.88	463.65	674.59	587.13	145.02	239.52	559.28	353.59	432.53	339.14	414.87	571.05	633.73	555.41	384.34
CYP2R1	190.34	267.73	118.43	159.9	438.59	81.14	239.52	220.32	366.09	293.07	175.07	295.11	356.05	325.29	343.89	329.84	154.42	289.02	339.14	171.45	152.28	209.84	197.09	412.0	295.11	395.18	123.5
DARS2	205.5	218.79	69.52	199.85	305.55	49.91	193.01	73.03	343.89	226.54	98.73	194.36	299.25	206.94	480.04	267.73	35.5	91.41	173.85	43.02	150.17	104.42	97.36	267.73	283.05	253.23	186.4
DFFA	412.0	536.45	208.38	454.09	543.96	220.32	511.0	209.84	336.79	361.04	193.01	395.18	583.07	441.64	679.29	476.71	212.78	299.25	429.54	334.46	299.25	389.72	406.31	518.15	470.14	476.71	234.57
DOPEY2	161.02	157.68	35.5	151.22	267.73	34.02	249.73	53.19	176.29	236.21	59.13	149.12	127.89	218.79	271.48	312.0	18.7	98.73	127.0	55.49	129.69	90.77	65.26	212.78	206.94	241.19	80.57
DSCC1	16.03	27.25	5.54	27.05	88.88	9.06	50.63	9.27	42.71	58.71	3.5	27.25	62.12	36.79	81.71	69.52	7.11	12.64	37.85	12.55	21.01	34.75	11.82	53.19	60.39	43.02	20.56
EXOSC1	460.44	738.29	567.1	400.71	1044.52	273.37	808.0	269.6	753.83	775.05	358.54	884.29	723.08	688.78	693.58	995.0	291.04	612.11	808.0	642.59	819.3	808.0	412.0	1051.79	909.17	934.76	536.45
FAM203A	253.23	249.73	66.18	239.52	420.68	53.57	351.14	21.78	248.0	346.29	100.13	228.13	318.57	323.03	358.54	450.94	88.26	108.14	305.55	169.07	242.88	277.2	180.02	299.25	406.31	353.59	143.01
FANCM	23.59	24.63	13.42	37.85	75.64	38.95	60.39	11.21	28.86	42.11	36.79	23.76	67.12	57.89	43.63	68.55	10.31	11.47	52.45	20.86	38.95	42.11	13.83	47.5	45.21	40.64	12.27
FBXO22	206.94	271.48	145.02	264.03	647.07	69.52	532.74	223.41	299.25	460.44	170.25	314.17	529.06	371.22	633.73	587.13	136.19	224.97	309.83	144.01	277.2	267.73	187.71	543.96	540.19	555.41	332.14
FKBP15	473.41	450.94	429.54	454.09	878.17	171.45	1208.34	279.14	854.13	819.3	514.56	599.49	647.07	547.75	769.69	909.17	429.54	414.87	612.11	323.03	392.44	476.71	460.44	825.0	878.17	796.86	384.34
GNPDA1	651.58	684.02	231.32	532.74	1023.0	226.54	848.22	293.07	656.11	764.36	297.17	780.44	866.07	769.69	884.29	928.3	236.21	384.34	629.35	414.87	536.45	791.35	432.53	808.0	764.36	1044.52	624.99
GTF2H2C	470.14	389.72	249.73	651.58	769.69	187.71	728.11	212.78	928.3	796.86	281.09	400.71	753.83	612.11	603.67	854.13	206.94	403.5	559.28	204.07	563.18	651.58	525.39	521.76	563.18	599.49	450.94
GTPBP8	175.07	158.79	87.65	162.14	318.57	87.65	172.65	77.25	275.28	264.03	71.5	107.38	389.72	251.48	307.69	309.83	51.71	93.35	182.55	90.77	162.14	320.8	124.37	271.48	287.01	269.6	128.79
IGSF6	1583.71	559.28	1199.98	186.4	1870.53	33.06	1977.24	309.83	587.13	1639.59	289.02	718.08	718.08	1277.29	1359.57	2720.15	246.28	285.03	909.17	142.01	199.85	435.55	684.02	1617.0	1199.98	1417.35	412.0
KIAA1919	24.99	19.68	23.76	26.1	45.21	7.22	63.89	13.52	33.3	25.91	16.63	32.13	46.84	32.59	42.71	49.56	8.92	16.51	21.63	9.78	16.15	17.51	17.0	33.78	47.84	63.0	10.71
KNOP1	82.29	166.73	71.0	159.9	351.14	60.82	351.14	182.55	348.71	208.38	157.68	127.89	309.83	400.71	232.94	353.59	102.25	108.9	189.02	152.28	123.5	180.02	166.73	206.94	327.56	420.68	137.14
