	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.ZJ.AAXF.01A.31R.A42T.07	GTEX.XGQ4.1626.SM.4AT6J	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.T5JW.1326.SM.4DM5G	GTEX.S4P3.0426.SM.4AD56	GTEX.S3XE.0926.SM.4AD4S	GTEX.PLZ5.0926.SM.3TW8L	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.DD.A3A2.01A.11R.A213.07	GTEX.W5WG.1326.SM.4LMI9
RAB1A	6337.83	3614.55	2777.33	2193.99	2090.03	4869.99	4937.99	4639.29	3349.13	3467.27	2351.53	2816.11
RAB22A	325.29	511.0	248.0	150.17	134.3	514.56	575.03	260.38	363.56	332.14	94.01	166.73
RAB35	1487.87	1096.5	981.29	842.36	866.07	1175.27	1322.37	1066.48	967.76	995.0	289.02	507.46
RCOR1	2090.03	624.99	426.57	217.27	244.57	1617.0	1794.29	748.61	660.68	441.64	84.04	224.97
RDH13	6037.61	1508.65	599.49	358.54	441.64	1183.45	1477.58	1359.57	780.44	351.14	314.17	191.67
S100A9	4.94682652E7	1.689390977E7	375901.76	3820.7	915.51	475800.4	627822.72	569761.05	466008.55	286861.53	246.28	61.25
SDCBP2	44145.15	29124.6	1066.48	92.7	89.51	4181.07	4268.94	4239.45	2119.22	579.04	164.42	22.43
SERP1	3928.15	3395.89	1605.83	1322.37	1781.89	3564.78	3419.52	2287.2	2335.28	2061.24	1551.09	1073.91
SERPINB8	3794.3	2255.7	633.73	85.82	86.43	1628.26	1487.87	713.11	718.08	346.29	206.94	48.52
SERPINB9	1151.06	660.68	175.07	108.14	134.3	1096.5	813.63	175.07	87.03	429.54	25.54	125.24
SH3GLB1	4512.4	2271.4	1331.57	890.44	738.29	2104.58	2434.5	2004.85	1950.0	1896.65	624.99	769.69
SLC10A6	9474.59	5329.3	78.89	5.63	12.93	341.51	587.13	199.85	237.86	81.14	0.52	17.0
SLC9A1	1427.22	358.54	642.59	379.04	460.44	1191.69	1081.39	872.1	536.45	738.29	136.19	412.0
SPTLC2	3018.3	1331.57	301.33	175.07	144.01	921.88	1250.98	536.45	497.0	387.02	93.35	224.97
SREK1IP1	854.13	1331.57	163.28	316.37	470.14	748.61	708.18	1044.52	389.72	289.02	265.87	291.04
STX12	764.36	733.19	551.56	753.83	575.03	3039.3	2090.03	954.43	836.53	775.05	303.44	486.75
SULT2B1	103551.29	54349.29	2468.49	5.59	5.19	6337.83	7331.05	5872.48	1572.76	1096.5	1.66	9.85
TCTEX1D4	84.04	3.56	4.5	4.66	23.42	44.57	77.79	25.72	5.59	1.03	1.73	7.22
TGFA	6164.49	3515.68	218.79	10.31	9.63	713.11	988.12	563.18	295.11	403.5	3.26	7.0
TGM1	1255646.43	360589.03	2701.35	64.8	48.87	16496.96	25179.16	8658.09	7280.4	3614.55	6.06	78.89
TICAM1	3874.05	1628.26	463.65	237.86	279.14	1457.23	1936.53	1508.65	500.46	339.14	312.0	147.06
TMBIM1	19754.96	14971.21	5006.93	3901.01	3190.46	7857.29	8479.89	7642.41	8598.28	4066.71	2468.49	1936.53
TMEM40	391864.76	115696.65	1950.0	4.9	0.0	2758.13	3690.52	3639.7	2303.12	1167.14	8.65	22.92
TMEM45B	119776.72	43537.38	264.03	12.0	7.28	2682.69	3928.15	2739.08	1745.2	325.29	1745.2	11.73
TMPRSS2	18431.96	7537.18	198.47	6.78	13.42	1081.39	3443.31	1794.29	371.22	15.0	182.55	18.16
TP53BP2	1008.9	579.04	371.22	320.8	307.69	460.44	603.67	486.75	287.01	267.73	264.03	275.28
TRIM16	28923.41	28923.41	2701.35	420.68	483.38	6164.49	6792.79	2875.3	2417.67	1322.37	123.5	177.53
TTC39B	884.29	785.88	136.19	99.43	96.68	423.61	423.61	358.54	198.47	131.51	34.26	51.35
UBAP1	3146.52	2047.0	854.13	866.07	1001.93	2224.63	2335.28	2163.77	1250.98	1044.52	511.0	738.29
UBE2H	1857.6	1225.22	674.59	836.53	633.73	1662.49	1923.14	1286.18	995.0	1073.91	928.3	587.13
VDAC2	26614.89	17317.18	4543.8	4210.15	3303.0	12160.22	10585.95	6471.02	7803.01	4543.8	2485.67	3257.52
VGLL1	6699.25	33.78	26.1	0.0	0.0	16.88	39.5	180.02	28.04	8.58	0.0	0.0
VPS37A	764.36	563.18	435.55	507.46	429.54	612.11	848.22	567.1	591.22	476.71	432.53	423.61
VPS37B	1870.53	1059.11	733.19	540.19	629.35	2609.3	2417.67	2335.28	884.29	688.78	132.44	299.25
YAP1	1583.71	1322.37	872.1	1175.27	848.22	1685.71	2502.97	1540.37	1896.65	1359.57	212.78	660.68
ZBTB7A	1447.15	674.59	642.59	486.75	587.13	1167.14	1639.59	872.1	1030.12	470.14	165.57	201.25
ZNF562	336.79	460.44	242.88	158.79	159.9	497.0	447.82	543.96	412.0	231.32	75.11	94.67
ZSWIM4	981.29	307.69	341.51	51.71	42.41	466.88	595.34	718.08	191.67	178.77	7.94	43.94
