	TCGA.CU.A72E.01A.12R.A33J.07	TCGA.LP.A4AW.01A.11R.A24H.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.F4.6704.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	TCGA.CV.6960.01A.41R.2016.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.AG.3732.11A.01R.1660.07
CSRP1	4869.99	23169.48	244588.0	311742.51	1645391.11	71714.63	428815.23	172949.54	938500.81	246289.25	2271.4	1991.0	2664.15	1909.85	2739.08	2047.0	220434.95
CTD-2054N24.2	4.13	30.56	37.85	54.33	91.41	19.97	70.01	56.68	120.1	151.22	2.76	3.44	0.0	6.41	2.89	0.0	60.39
DAAM2	33.54	100.13	356.05	480.04	660.68	343.89	11345.82	5711.87	17317.18	6037.61	8.65	47.5	12.74	14.67	23.08	0.0	483.38
DAB2	293.07	334.46	612.11	638.15	633.73	599.49	1806.78	2240.11	1015.93	518.15	206.94	136.19	63.89	117.6	127.89	363.56	860.08
DCHS1	40.36	152.28	660.68	332.14	1081.39	271.48	406.31	1104.13	674.59	397.93	21.78	25.17	15.91	15.34	13.12	0.0	486.75
DLG2	33.06	7.88	80.57	67.12	206.94	52.82	68.07	190.34	146.03	141.02	5.23	4.9	2.97	4.28	6.57	0.0	164.42
DLG4	117.6	187.71	532.74	595.34	785.88	312.0	624.99	954.43	718.08	708.18	34.26	149.12	31.9	32.13	108.9	0.0	656.11
EFCC1	11.64	32.13	105.15	144.01	273.37	84.04	108.14	69.03	141.02	205.5	2.78	7.06	1.99	5.28	14.56	0.0	202.66
EZH1	287.01	389.72	638.15	780.44	1407.55	514.56	1467.37	1540.37	1674.06	1286.18	133.36	195.72	91.41	148.09	149.12	0.0	1143.1
FGF18	4.43	15.56	92.05	8.85	19.53	22.92	39.5	46.18	37.85	35.76	1.27	4.1	2.41	0.79	2.58	0.0	13.12
FGF7	88.88	981.29	808.0	909.17	1350.18	318.57	1896.65	2004.85	1427.22	406.31	31.22	33.54	5.82	5.45	2.01	0.0	1427.22
FLJ00418	7.22	11.73	24.81	14.78	43.63	15.68	30.34	41.81	43.02	36.27	6.73	5.23	0.61	2.34	7.17	0.0	12.27
FMO2	38.67	57.49	23.59	379.04	175.07	86.43	921.88	954.43	902.89	974.5	3.26	19.25	3.59	5.41	4.94	0.0	301.33
FOXF1	74.58	100.13	1508.65	1233.75	3690.52	909.17	3303.0	4836.35	4181.07	2915.45	45.85	22.43	8.65	10.55	17.38	0.0	1697.45
GLTSCR1	153.34	197.09	224.97	167.9	285.03	190.34	329.84	420.68	271.48	346.29	65.72	129.69	148.09	89.51	131.51	0.0	244.57
GP5	0.0	1.14	3.2	0.39	2.66	0.38	1.73	1.23	2.39	1.73	0.0	0.38	0.0	0.0	0.0	0.0	3.29
GPRASP1	20.86	116.78	409.15	444.72	961.07	241.19	583.07	1199.98	718.08	921.88	4.7	11.21	2.76	3.89	3.38	0.0	559.28
GUCY1B3	70.51	108.9	1359.57	1037.29	2384.37	305.55	2417.67	2701.35	2104.58	1896.65	28.24	76.17	26.1	43.32	63.45	0.0	1498.22
GYS2	0.68	0.42	0.0	1.11	2.66	1.95	2.86	4.43	4.86	1.97	0.0	0.22	0.0	0.0	0.0	0.0	2.18
HDAC4	91.41	141.02	454.09	723.08	2004.85	603.67	738.29	638.15	884.29	583.07	289.02	144.01	189.02	127.0	58.3	0.0	1268.46
HIC1	58.71	98.04	389.72	231.32	432.53	72.52	381.68	684.02	1051.79	387.02	108.9	53.95	45.21	13.93	60.82	0.0	234.57
HLX	72.01	142.01	1388.16	1806.78	3614.55	223.41	599.49	392.44	289.02	150.17	75.64	92.7	60.82	82.29	76.71	113.56	1950.0
HOXB2	183.82	234.57	392.44	483.38	1059.11	205.5	1096.5	1088.92	1199.98	674.59	162.14	22.43	5.96	4.74	29.48	0.0	525.39
HSPA12B	37.05	103.69	262.2	141.02	220.32	77.79	595.34	587.13	358.54	202.66	9.78	40.07	16.03	15.45	14.03	0.0	176.29
IFFO1	73.54	206.94	503.95	414.87	764.36	241.19	813.63	1745.2	884.29	587.13	42.41	88.26	24.28	50.27	53.95	0.0	493.56
ILDR2	3.44	3.69	90.14	88.26	246.28	36.53	55.89	24.99	133.36	33.78	3.26	0.71	0.0	0.77	0.75	1.5	110.43
IRF2BP1	332.14	389.72	503.95	403.5	563.18	289.02	356.05	376.41	412.0	417.77	237.86	214.27	236.21	155.5	316.37	0.0	389.72
JAM2	53.57	295.11	579.04	693.58	928.3	373.81	1350.18	1662.49	1551.09	1151.06	19.97	32.36	21.32	22.92	21.78	0.0	854.13
KANK2	599.49	2520.38	18689.27	14765.09	61571.56	8022.41	55877.28	53230.77	62865.33	26614.89	327.56	343.89	457.25	178.77	277.2	854.13	29124.6
KLHL20	190.34	221.86	318.57	368.65	412.0	287.01	336.79	447.82	366.09	320.8	197.09	129.69	191.67	136.19	101.54	215.77	476.71
LRRN4CL	27.25	128.79	271.48	332.14	559.28	136.19	693.58	1286.18	1208.34	406.31	0.84	27.64	1.66	5.36	19.68	0.0	392.44
MAN1C1	76.71	253.23	583.07	432.53	633.73	162.14	529.06	1111.82	642.59	684.02	18.29	15.45	9.2	16.27	18.7	0.0	473.41
MAP2K5	264.03	277.2	376.41	540.19	660.68	373.81	323.03	358.54	320.8	346.29	120.1	214.27	108.9	194.36	181.28	0.0	525.39
MEF2D	232.94	429.54	1015.93	728.11	1159.07	878.17	2047.0	1950.0	2855.44	1745.2	395.18	307.69	303.44	232.94	260.38	514.56	819.3
MRVI1	147.06	295.11	2664.15	1617.0	5672.41	1225.22	7130.55	9945.68	9409.14	6037.61	20.86	40.64	24.81	27.44	25.91	0.0	2739.08
NAA16	167.9	201.25	212.78	165.57	264.03	201.25	334.46	429.54	273.37	299.25	71.0	120.94	78.89	97.36	68.07	176.29	361.04
NARG2	409.15	438.59	343.89	395.18	547.75	363.56	500.46	406.31	470.14	511.0	173.85	287.01	239.52	307.69	156.59	0.0	693.58
NEK9	395.18	599.49	1096.5	1081.39	1721.16	915.51	1605.83	2032.85	1950.0	1594.73	303.44	454.09	226.54	486.75	303.44	0.0	1457.23
NHSL2	3.11	7.11	63.45	45.85	172.65	47.84	140.04	149.12	136.19	82.87	1.14	3.08	1.97	2.14	1.33	0.0	104.42
OGN	66.65	100.13	265.87	1313.23	1757.34	848.22	802.41	2645.74	1242.34	1104.13	10.31	13.03	0.27	0.29	2.23	0.0	2537.92
PAN3	211.31	199.85	316.37	277.2	323.03	309.83	368.65	336.79	305.55	403.5	85.22	175.07	186.4	150.17	149.12	172.65	450.94
PAPLN	118.43	173.85	239.52	171.45	147.06	182.55	514.56	1096.5	438.59	934.76	80.01	87.65	60.39	110.43	115.16	0.0	220.32
PCDH18	43.94	62.12	327.56	540.19	579.04	90.77	209.84	444.72	244.57	143.01	10.88	39.79	7.34	22.59	26.86	0.0	708.18
PCDHA3	1.03	4.86	23.93	21.47	38.67	7.46	7.63	22.75	19.39	11.47	0.36	0.0	0.0	0.0	0.0	0.0	18.03
PDE1A	34.26	88.88	181.28	441.64	521.76	153.34	228.13	371.22	191.67	204.07	3.29	8.51	3.63	5.5	2.78	0.0	490.14
PDGFRA	214.27	232.94	633.73	1066.48	1378.57	507.46	780.44	2061.24	813.63	703.28	33.78	99.43	30.78	63.0	43.02	195.72	1259.69
PHC1	154.42	229.72	607.87	555.41	1594.73	536.45	753.83	1104.13	1015.93	1059.11	110.43	134.3	49.21	87.65	141.02	0.0	941.27
PITPNM3	103.69	99.43	88.88	169.07	346.29	271.48	540.19	1015.93	947.83	748.61	114.36	161.02	87.65	68.07	127.89	24.11	289.02
PLAC9	118.43	514.56	199.85	1044.52	836.53	665.29	1963.57	3280.18	1457.23	2148.82	50.27	58.3	12.45	38.67	34.26	0.0	796.86
PNMA3	0.36	2.97	14.67	6.67	5.77	3.92	5.06	3.44	9.34	9.13	1.89	0.96	0.0	2.25	2.2	0.0	4.28
PODN	423.61	529.06	1757.34	1628.26	2555.58	1096.5	2061.24	6652.97	2335.28	3515.68	13.42	88.26	10.39	14.78	18.03	273.37	2351.53
POLK	105.15	96.68	182.55	212.78	327.56	183.82	314.17	381.68	299.25	329.84	64.34	67.12	117.6	81.14	75.64	149.12	457.25
PRR12	241.19	267.73	327.56	228.13	454.09	234.57	303.44	305.55	325.29	277.2	118.43	156.59	239.52	136.19	232.94	0.0	297.17
PSD2	0.71	0.32	5.28	4.66	3.72	1.89	3.86	4.43	4.82	6.41	0.0	0.0	0.0	0.56	0.0	0.0	5.36
PTPN5	5.45	19.82	49.56	9.63	31.0	7.88	52.08	115.16	35.76	97.36	1.19	0.93	0.55	1.81	0.58	0.0	29.27
RASGRF2	43.63	23.76	140.04	70.51	111.21	67.59	185.11	167.9	75.64	75.11	34.02	19.39	9.48	14.24	14.78	0.0	108.9
RGS9	6.89	20.56	91.41	199.85	371.22	63.89	511.0	406.31	981.29	633.73	12.36	3.59	3.56	5.87	22.59	0.0	387.02
RNF216	316.37	356.05	753.83	587.13	1388.16	293.07	909.17	915.51	1529.73	543.96	223.41	229.72	285.03	223.41	293.07	234.57	785.88
RUSC2	70.51	206.94	866.07	785.88	2163.77	351.14	1175.27	1487.87	1551.09	1001.93	106.63	59.97	88.88	62.12	96.01	0.0	1331.57
RXRB	473.41	651.58	921.88	1066.48	1233.75	836.53	743.43	1313.23	1081.39	1135.2	279.14	447.82	426.57	466.88	493.56	0.0	1030.12
SGCD	32.82	81.71	409.15	249.73	638.15	116.78	521.76	921.88	1447.15	361.04	5.5	16.63	5.73	10.31	12.74	0.0	361.04
SGIP1	40.07	130.6	144.01	88.88	84.63	56.28	547.75	368.65	423.61	198.47	35.25	98.04	21.16	21.32	50.63	27.84	94.01
SLC25A27	52.45	142.01	285.03	260.38	470.14	256.78	802.41	2271.4	698.41	2384.37	1.38	80.57	29.91	38.12	125.24	0.0	500.46
SMTN	1277.29	5791.62	75280.1	109455.64	641014.63	30572.63	318292.9	93325.55	1034138.94	150561.19	1295.13	1651.0	620.67	1378.57	1963.57	0.0	110983.6
SNTB2	93.35	187.71	201.25	180.02	206.94	175.07	361.04	301.33	323.03	307.69	148.09	78.34	95.34	175.07	113.56	116.78	204.07
ST3GAL2	49.21	154.42	447.82	251.48	470.14	116.78	503.95	599.49	647.07	267.73	153.34	66.65	63.0	68.55	137.14	121.79	305.55
SYNGAP1	82.87	130.6	287.01	175.07	426.57	267.73	698.41	825.0	595.34	612.11	56.68	144.01	96.01	51.71	211.31	0.0	414.87
TBX2	95.34	214.27	381.68	152.28	120.94	74.06	444.72	389.72	514.56	351.14	34.75	82.29	24.99	57.08	90.14	0.0	122.64
TCF21	27.64	60.39	100.83	397.93	507.46	249.73	228.13	532.74	450.94	202.66	0.0	0.0	0.0	0.0	0.38	0.0	435.55
TEAD3	1023.0	995.0	3491.39	2796.65	11992.79	1909.85	3716.2	5672.41	7589.61	3874.05	295.11	836.53	447.82	743.43	909.17	208.38	3235.01
TENC1	316.37	1023.0	2875.3	2224.63	4239.45	2104.58	7032.37	12076.21	10084.54	8598.28	105.89	251.48	63.45	118.43	211.31	0.0	2701.35
THAP8	102.97	114.36	229.72	325.29	825.0	115.16	147.06	224.97	511.0	115.16	73.03	108.9	102.25	82.29	103.69	0.0	291.04
TMEM155	2.05	0.0	25.17	41.81	53.19	12.45	23.93	15.8	37.32	7.4	0.97	1.43	1.07	0.0	0.41	0.0	175.07
TNS1	205.5	1111.82	9344.14	8078.22	36864.92	5751.61	20593.91	25179.16	29124.6	18052.61	127.0	53.57	57.49	95.34	143.01	0.0	16045.82
TTC32	169.07	320.8	193.01	285.03	229.72	379.04	723.08	291.04	307.69	406.31	128.79	145.02	47.17	138.1	74.58	0.0	341.51
USP12	108.14	157.68	703.28	669.92	791.35	603.67	1721.16	1135.2	2434.5	830.75	109.66	170.25	204.07	142.01	154.42	0.0	1073.91
VCAM1	194.36	264.03	603.67	318.57	366.09	109.66	591.22	376.41	198.47	138.1	34.26	68.07	38.67	59.97	22.92	0.0	353.59
VPS39	409.15	503.95	718.08	825.0	1119.56	674.59	848.22	1175.27	1066.48	1073.91	239.52	379.04	242.88	381.68	525.39	0.0	928.3
XYLT1	15.22	55.1	157.68	163.28	293.07	176.29	164.42	205.5	281.09	156.59	30.34	11.04	32.36	9.78	43.32	0.0	236.21
ZBTB47	242.88	256.78	1037.29	595.34	1447.15	379.04	1417.35	3419.52	2351.53	2104.58	49.91	60.39	35.5	30.78	81.14	106.63	1199.98
ZEB1	80.01	239.52	1551.09	1572.76	4239.45	1104.13	3325.99	2645.74	2935.74	2796.65	18.29	62.12	25.72	51.35	66.18	50.63	3982.99
ZFYVE16	249.73	226.54	248.0	241.19	264.03	236.21	334.46	353.59	309.83	361.04	81.14	138.1	126.12	149.12	127.89	185.11	371.22
ZMYM2	599.49	447.82	543.96	503.95	518.15	575.03	753.83	703.28	503.95	753.83	262.2	406.31	417.77	361.04	381.68	0.0	748.61
ZNF423	20.56	49.91	119.26	123.5	209.84	77.25	265.87	343.89	312.0	170.25	8.38	19.97	6.52	8.99	11.82	0.0	153.34
ZNF521	41.22	70.51	193.01	147.06	148.09	69.52	176.29	228.13	108.14	107.38	10.55	62.12	16.75	27.05	16.03	0.0	197.09
ZNF575	37.85	33.78	29.91	76.17	90.77	129.69	59.55	100.13	73.54	69.52	19.97	20.26	19.11	11.13	23.42	0.0	96.01
