	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.G9.6364.01A.21R.1789.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.U3ZM.0926.SM.4DXSW	GTEX.YB5E.1826.SM.5IFI4
KCNAB1	19.82	45.21	384.34	5.06	51.35	18.03	98.04	121.79	158.79	82.29	208.38	70.01	20.11	83.45	59.97	514.56	351.14	15.34	21.47	92.7	48.52	38.95	71.0	234.57	312.0	27.84	28.45	220.32	105.89	5.19	50.27	47.17	51.35	283.05	7.82	255.0	25.54	46.18	55.89	83.45	176.29	40.64	15.11	194.36	74.06	63.45	148.09	12.74	63.45	387.02	371.22	56.68	29.91	40.07	182.55	154.42	28.24	34.26	651.58	45.53	181.28	22.75	29.91	361.04	128.79	379.04	255.0	361.04	295.11	514.56	497.0	228.13	450.94	289.02	218.79
KLK3	1345768.59	1005860.33	731246.37	450134.56	726195.27	1116072.03	1212874.47	887875.81	677564.08	1163466.92	1116072.03	985160.01	881742.8	875652.15	1063212.58	1055868.42	527933.71	906531.99	1255646.43	1187913.85	1093103.58	542775.98	1139523.1	919186.72	672883.8	1100706.72	659036.03	1327240.99	751804.53	887875.81	1147449.11	751804.53	1412675.8	822695.06	906531.99	659036.03	919186.72	1238359.56	1327240.99	800198.39	1196176.45	602247.76	746611.43	839981.65	741454.2	919186.72	762299.34	654483.73	757033.75	767601.56	627822.72	1063212.58	1212874.47	1238359.56	1048575.0	736332.6	1345768.59	721179.07	585779.24	1472666.19	1229805.58	1019901.63	938500.81	691801.16	654483.73	1019901.63	925580.18	834179.46	794671.01	546551.29	985160.01	1063212.58	573724.06	431797.89	565825.41
LPIN1	93.35	133.36	164.42	81.14	55.49	83.45	161.02	173.85	187.71	134.3	293.07	109.66	73.54	199.85	90.14	232.94	242.88	189.02	65.72	116.78	122.64	75.11	77.79	123.5	253.23	77.25	85.82	148.09	105.89	60.82	105.15	132.44	62.12	202.66	100.83	221.86	93.35	137.14	141.02	163.28	124.37	113.56	8.78	220.32	108.14	99.43	152.28	111.99	41.52	264.03	283.05	56.68	91.41	95.34	153.34	212.78	81.14	57.89	212.78	56.28	128.79	141.02	77.25	303.44	275.28	273.37	264.03	371.22	269.6	341.51	218.79	142.01	392.44	291.04	229.72
LRCH2	5.59	67.12	126.12	193.01	9.06	15.22	114.36	72.52	40.07	100.83	119.26	45.53	55.1	77.25	69.52	169.07	108.9	6.67	13.42	78.89	25.91	44.57	60.39	88.26	156.59	15.91	25.17	120.1	48.87	0.85	40.07	57.08	45.21	111.99	28.45	111.21	16.27	32.13	50.27	63.0	65.26	29.48	6.01	117.6	51.71	64.8	75.64	33.3	8.19	221.86	140.04	9.48	24.11	32.82	93.35	120.94	14.78	9.56	125.24	19.11	47.5	35.76	23.25	157.68	142.01	108.14	166.73	212.78	145.02	209.84	127.89	136.19	198.47	115.97	164.42
MFN2	529.06	1051.79	1023.0	563.18	656.11	796.86	860.08	974.5	1044.52	836.53	1030.12	819.3	583.07	1127.35	738.29	1331.57	1096.5	791.35	518.15	1008.9	961.07	651.58	665.29	660.68	1286.18	902.89	620.67	884.29	723.08	540.19	780.44	718.08	733.19	1191.69	819.3	1191.69	603.67	921.88	708.18	872.1	684.02	693.58	607.87	1104.13	890.44	624.99	785.88	884.29	753.83	1259.69	1059.11	738.29	684.02	842.36	974.5	1044.52	669.92	738.29	1233.75	791.35	796.86	563.18	660.68	1175.27	1359.57	1119.56	1388.16	1781.89	1135.2	1529.73	1059.11	1059.11	1427.22	1447.15	1322.37
MICALL1	131.51	301.33	426.57	153.34	392.44	120.1	387.02	409.15	325.29	348.71	343.89	295.11	186.4	490.14	131.51	490.14	438.59	189.02	122.64	262.2	339.14	198.47	171.45	191.67	460.44	368.65	132.44	244.57	182.55	144.01	358.54	265.87	246.28	514.56	153.34	540.19	231.32	358.54	199.85	373.81	229.72	239.52	253.23	379.04	316.37	262.2	262.2	265.87	152.28	432.53	457.25	248.0	217.27	281.09	343.89	325.29	167.9	223.41	571.05	291.04	199.85	202.66	289.02	503.95	547.75	483.38	559.28	567.1	454.09	713.11	403.5	323.03	514.56	723.08	684.02
MPO	0.0	1.81	1.89	0.0	6.62	0.0	1.43	1.13	3.08	1.81	5.96	1.07	0.4	3.32	1.08	1.58	4.74	0.37	0.83	0.0	1.41	0.74	1.81	0.0	5.28	1.46	0.75	3.5	1.07	0.0	2.48	1.51	0.73	5.41	0.0	5.36	0.36	1.11	0.74	0.75	0.74	2.2	0.0	2.66	2.1	1.07	3.08	0.39	0.0	3.82	2.25	2.48	0.0	1.43	1.11	4.31	0.38	0.37	2.43	0.39	4.9	1.08	0.39	2.25	2.56	5.02	1.85	2.39	1.79	4.21	7.0	4.24	12.09	3.14	3.2
MPP2	12.18	76.71	91.41	4.94	8.13	8.51	84.63	63.45	89.51	69.03	70.01	36.01	37.85	105.89	26.47	187.71	102.25	16.51	10.24	54.72	38.4	23.59	28.86	46.84	157.68	36.27	29.06	98.73	40.93	2.16	58.3	76.17	38.67	175.07	7.06	121.79	23.25	52.45	55.49	92.7	63.89	48.18	3.79	112.77	50.63	17.51	65.72	13.62	8.06	139.07	127.0	17.13	24.63	57.49	56.68	148.09	22.1	17.38	143.01	33.3	72.52	23.25	49.21	144.01	183.82	159.9	223.41	275.28	124.37	262.2	123.5	78.34	253.23	239.52	132.44
MRVI1	75.64	336.79	656.11	15.68	53.57	28.65	353.59	438.59	371.22	258.57	500.46	253.23	109.66	591.22	138.1	825.0	860.08	54.33	85.22	249.73	190.34	78.34	183.82	204.07	860.08	152.28	85.82	579.04	165.57	13.72	271.48	438.59	139.07	698.41	15.56	748.61	98.04	289.02	226.54	441.64	441.64	273.37	30.34	493.56	423.61	115.97	320.8	64.8	33.78	551.56	981.29	112.77	98.73	295.11	353.59	429.54	103.69	54.33	1015.93	84.63	441.64	115.97	140.04	723.08	896.64	642.59	785.88	995.0	791.35	1340.84	854.13	420.68	1208.34	595.34	567.1
MSRB3	55.49	529.06	780.44	40.07	78.89	44.25	480.04	591.22	518.15	371.22	642.59	353.59	127.0	753.83	124.37	1008.9	1008.9	73.03	119.26	299.25	279.14	110.43	218.79	341.51	1216.75	167.9	105.89	738.29	223.41	21.01	303.44	629.35	214.27	830.75	25.17	1001.93	129.69	406.31	323.03	555.41	490.14	327.56	43.63	642.59	547.75	127.89	521.76	106.63	78.89	1044.52	1023.0	117.6	128.79	400.71	343.89	651.58	124.37	73.54	1175.27	111.21	521.76	128.79	186.4	974.5	1225.22	884.29	1088.92	1662.49	954.43	1540.37	1030.12	693.58	1457.23	1044.52	1135.2
MYOCD	1.75	138.1	112.77	1.85	5.54	4.17	115.16	80.01	111.99	81.71	121.79	41.52	18.16	170.25	16.51	249.73	130.6	11.73	7.94	74.58	32.36	14.78	23.25	43.02	269.6	34.02	21.78	175.07	20.11	1.06	54.33	115.97	24.28	265.87	2.41	239.52	9.93	53.19	32.59	155.5	62.56	44.25	2.36	163.28	63.0	7.94	58.3	7.75	6.46	229.72	182.55	9.48	20.11	91.41	84.63	163.28	24.11	8.0	190.34	13.32	70.51	15.45	49.91	267.73	379.04	211.31	332.14	281.09	148.09	435.55	158.79	96.01	381.68	249.73	260.38
NDP	8.06	27.05	132.44	1.71	18.84	3.96	36.79	75.64	30.12	16.39	111.21	26.47	4.98	40.07	47.17	220.32	143.01	4.13	7.4	54.72	23.93	13.72	55.1	132.44	202.66	19.82	10.24	111.21	31.9	0.0	31.67	41.22	13.83	75.64	0.38	94.01	3.76	21.47	363.56	48.18	50.27	27.25	5.68	71.0	53.57	15.56	130.6	6.06	4.46	96.68	104.42	4.5	5.68	31.22	53.57	59.13	6.21	6.52	127.0	13.32	215.77	12.36	13.12	77.79	112.77	135.24	99.43	113.56	128.79	116.78	151.22	118.43	154.42	167.9	99.43
NKAPL	0.99	16.75	17.0	0.0	2.36	3.35	15.8	12.18	6.84	8.32	9.78	4.82	2.53	13.83	6.46	52.82	17.0	1.64	2.97	9.63	4.78	4.28	5.5	5.63	14.45	2.36	6.62	9.93	3.23	1.25	6.06	9.7	4.24	31.9	1.64	16.51	1.58	12.36	5.63	7.57	9.7	6.57	0.41	15.22	9.27	1.35	7.88	2.36	2.05	25.91	24.46	3.86	4.86	7.94	5.68	20.41	1.68	1.31	18.29	6.41	10.24	3.26	4.7	31.45	34.02	25.54	35.25	47.5	28.45	23.08	20.86	13.83	18.16	32.59	28.04
PAK3	0.46	20.71	29.91	0.42	1.2	0.45	24.11	15.0	15.56	12.36	18.43	4.58	5.41	35.25	12.36	27.84	20.86	2.16	2.51	7.69	5.19	5.68	5.32	9.27	29.27	3.66	17.51	22.92	5.54	0.0	7.57	22.26	4.28	35.0	2.51	26.1	0.79	9.93	5.77	26.47	11.21	5.06	0.52	34.02	12.55	7.28	18.43	2.25	1.06	44.25	34.51	6.89	4.62	16.51	6.16	27.84	3.23	1.48	27.84	4.46	11.82	3.92	7.57	60.39	61.68	34.26	53.95	38.67	30.78	58.71	28.65	17.64	66.18	72.52	57.49
PCDH9	0.71	10.47	9.85	1.19	14.89	1.91	14.24	8.51	17.0	16.63	10.31	2.03	5.06	16.27	4.35	21.63	10.55	2.32	2.68	7.22	4.54	10.47	1.39	8.38	15.11	4.39	4.78	19.11	4.58	0.0	3.0	5.23	3.03	19.25	0.72	14.24	2.56	6.73	7.0	16.75	9.27	8.92	1.17	19.82	1.68	2.36	7.0	2.07	8.78	36.01	26.86	3.0	3.03	4.28	10.71	14.35	2.36	1.66	15.91	1.46	4.5	3.03	5.77	25.35	35.5	20.56	35.76	19.68	12.55	43.02	19.68	5.15	46.5	40.36	20.41
PDE7B	9.63	41.81	43.94	4.98	9.56	9.41	39.79	36.01	34.02	38.95	37.59	52.45	13.22	49.91	21.94	46.84	50.27	7.06	17.25	26.1	19.68	25.17	18.16	34.75	56.28	17.0	17.25	44.57	18.43	8.0	23.25	32.82	14.56	56.68	6.73	62.56	18.7	73.03	80.01	35.76	29.7	30.34	6.78	36.53	21.47	54.33	21.16	38.95	9.56	57.89	56.68	16.15	19.11	34.02	29.48	48.52	16.51	13.03	41.81	26.67	31.0	14.89	16.51	43.94	68.55	36.79	69.03	61.25	46.5	88.26	86.43	36.01	102.25	112.77	88.26
PEG3	9.7	24.46	30.78	8.13	23.59	21.94	25.72	25.91	35.0	13.12	49.91	24.46	6.06	31.0	22.75	25.17	31.22	19.39	12.93	18.97	14.03	13.83	22.26	21.63	33.54	16.88	19.11	64.34	21.94	13.12	11.38	13.12	20.71	30.34	8.92	42.41	12.36	10.79	18.29	29.27	24.28	29.91	30.56	20.26	13.62	15.22	21.78	31.0	24.81	67.59	59.55	17.0	9.27	36.53	33.78	27.25	21.47	14.45	56.28	18.97	16.63	5.23	29.7	55.49	45.21	39.22	35.76	41.81	48.18	100.83	47.84	23.42	97.36	69.52	47.84
PGM5	132.44	1331.57	2434.5	60.39	107.38	85.82	1225.22	2004.85	1963.57	1088.92	1844.76	567.1	212.78	1594.73	262.2	4450.27	2720.15	111.21	212.78	1104.13	738.29	312.0	647.07	1286.18	3665.02	414.87	258.57	2537.92	447.82	9.78	1350.18	988.12	587.13	3325.99	38.12	2855.44	175.07	915.51	500.46	2104.58	1277.29	819.3	65.72	2047.0	1551.09	218.79	1733.13	98.04	96.01	2935.74	2468.49	214.27	295.11	974.5	1119.56	2367.9	267.73	176.29	3303.0	223.41	1870.53	224.97	633.73	3742.05	3690.52	3212.66	3303.0	5403.7	2720.15	4869.99	3212.66	1909.85	4802.93	4575.41	2451.44
PGR	3.63	28.04	27.05	2.03	4.94	2.56	16.75	21.01	63.0	23.08	34.26	11.38	6.06	24.99	14.67	44.57	42.11	5.41	6.67	10.16	9.85	10.88	10.47	15.0	43.32	10.31	5.77	51.71	8.92	0.52	9.63	15.68	9.06	36.53	0.54	54.72	8.25	16.03	18.03	26.47	21.47	18.03	4.54	26.86	16.15	4.13	18.56	5.28	2.73	62.56	70.01	9.27	5.59	14.45	26.47	22.26	5.19	6.36	43.94	8.38	18.7	6.62	10.39	47.17	38.4	29.48	37.05	59.55	31.67	75.11	36.79	19.39	90.14	158.79	96.68
PIP5K1C	341.51	575.03	612.11	202.66	414.87	400.71	555.41	599.49	555.41	718.08	642.59	599.49	563.18	808.0	409.15	780.44	738.29	591.22	490.14	503.95	669.92	480.04	486.75	392.44	796.86	543.96	327.56	417.77	490.14	283.05	587.13	483.38	366.09	988.12	291.04	890.44	420.68	629.35	571.05	612.11	603.67	567.1	381.68	536.45	591.22	381.68	551.56	497.0	256.78	514.56	703.28	500.46	457.25	444.72	543.96	769.69	476.71	583.07	915.51	511.0	521.76	518.15	521.76	718.08	642.59	591.22	1008.9	775.05	660.68	1008.9	409.15	429.54	819.3	1096.5	915.51
PLS3	108.14	473.41	642.59	77.25	134.3	70.51	295.11	466.88	551.56	341.51	432.53	638.15	223.41	503.95	137.14	728.11	785.88	145.02	155.5	204.07	320.8	201.25	178.77	217.27	620.67	258.57	303.44	441.64	190.34	81.14	208.38	334.46	260.38	532.74	45.85	463.65	162.14	559.28	476.71	361.04	438.59	463.65	50.98	381.68	301.33	178.77	368.65	190.34	167.9	629.35	1008.9	206.94	170.25	206.94	307.69	412.0	232.94	155.5	915.51	603.67	318.57	277.2	171.45	860.08	1096.5	921.88	633.73	878.17	688.78	1388.16	848.22	543.96	1167.14	791.35	688.78
PPP1R12B	85.22	848.22	1259.69	90.77	246.28	163.28	599.49	1001.93	947.83	575.03	1208.34	591.22	351.14	1286.18	339.14	1508.65	1617.0	244.57	158.79	518.15	466.88	271.48	417.77	438.59	1844.76	329.84	237.86	1175.27	420.68	77.25	397.93	1015.93	253.23	1378.57	144.01	1745.2	202.66	599.49	466.88	947.83	665.29	460.44	180.02	1081.39	995.0	226.54	819.3	267.73	149.12	1909.85	1605.83	237.86	244.57	669.92	543.96	981.29	214.27	182.55	1745.2	279.14	638.15	309.83	285.03	1794.29	1572.76	1208.34	1437.15	2720.15	1508.65	2193.99	1605.83	748.61	2061.24	1378.57	1350.18
PRICKLE2	10.88	64.34	113.56	7.69	13.32	3.89	75.11	72.01	87.03	51.35	92.7	36.27	35.76	105.15	33.78	139.07	111.99	20.41	18.16	42.11	34.75	34.75	29.7	35.76	132.44	33.06	26.47	108.9	23.42	3.2	39.22	75.11	24.99	111.99	14.67	113.56	24.28	61.68	46.18	72.52	69.03	38.67	4.58	114.36	55.89	29.91	54.33	24.63	7.34	163.28	209.84	23.42	18.56	53.57	52.08	79.45	18.97	18.03	186.4	30.56	60.82	43.94	30.56	185.11	205.5	142.01	143.01	195.72	135.24	281.09	124.37	77.79	204.07	118.43	122.64
RAB12	145.02	275.28	343.89	180.02	325.29	239.52	287.01	329.84	373.81	303.44	339.14	299.25	221.86	426.57	146.03	426.57	397.93	191.67	241.19	209.84	182.55	221.86	175.07	392.44	438.59	197.09	264.03	417.77	269.6	79.45	218.79	346.29	258.57	353.59	177.53	507.46	279.14	301.33	293.07	363.56	341.51	353.59	329.84	295.11	366.09	305.55	379.04	214.27	246.28	688.78	361.04	215.77	135.24	218.79	231.32	356.05	226.54	275.28	420.68	147.06	264.03	297.17	246.28	470.14	438.59	381.68	486.75	514.56	397.93	660.68	454.09	366.09	624.99	400.71	412.0
RAB9B	8.58	50.27	55.49	13.22	8.19	13.32	47.5	66.65	43.32	52.08	55.89	21.32	11.21	56.68	21.63	92.7	68.07	5.68	13.03	27.64	27.84	16.75	18.7	46.84	99.43	16.27	33.54	115.16	24.81	6.52	30.34	49.91	24.46	87.65	4.13	94.01	7.63	29.06	20.71	61.25	46.18	22.26	3.26	72.01	69.52	7.34	53.57	26.67	8.45	98.73	87.03	7.34	9.06	46.84	50.27	67.12	11.13	16.51	80.01	7.82	57.89	7.4	24.11	111.21	149.12	96.68	139.07	120.94	71.0	197.09	100.13	80.01	206.94	112.77	137.14
RP11-122A3.2	16.03	151.22	181.28	13.22	5.41	13.32	167.9	162.14	106.63	114.36	133.36	52.45	26.67	157.68	20.56	224.97	169.07	8.38	25.17	64.8	60.82	58.3	33.78	99.43	258.57	34.26	43.02	142.01	49.56	4.28	74.58	120.1	37.85	281.09	7.75	199.85	13.12	85.22	45.21	133.36	109.66	44.57	4.35	241.19	122.64	21.47	111.21	17.38	19.68	320.8	186.4	25.72	33.06	85.82	94.67	186.4	13.83	18.03	217.27	19.68	111.21	27.64	57.89	305.55	327.56	221.86	417.77	363.56	291.04	503.95	346.29	158.79	426.57	356.05	363.56
SLMAP	204.07	854.13	1104.13	389.72	559.28	400.71	708.18	1250.98	830.75	624.99	1674.06	738.29	339.14	1143.1	409.15	1350.18	1457.23	532.74	381.68	555.41	728.11	457.25	575.03	775.05	1498.22	400.71	392.44	1721.16	483.38	197.09	381.68	825.0	348.71	988.12	435.55	1159.07	371.22	647.07	480.04	988.12	1135.2	480.04	460.44	928.3	1437.15	409.15	928.3	426.57	536.45	1733.13	1437.15	543.96	318.57	583.07	775.05	921.88	444.72	381.68	1551.09	438.59	743.43	454.09	480.04	1662.49	1561.89	1175.27	1250.98	1757.34	1175.27	2895.31	1583.71	866.07	2434.5	1605.83	1781.89
SYPL2	33.06	44.57	35.76	17.51	13.52	3.66	34.51	79.45	28.86	20.86	31.67	20.11	12.0	46.18	20.11	112.77	76.17	6.36	15.45	24.63	12.64	8.92	14.78	14.35	60.39	21.94	16.75	50.63	29.91	5.32	31.45	15.91	27.05	24.81	2.34	87.65	7.22	29.7	15.91	44.25	53.95	20.41	4.31	24.63	16.51	7.94	62.12	8.51	17.13	61.25	33.78	6.84	5.45	33.06	6.36	35.0	7.22	39.5	47.5	15.11	34.75	11.38	34.75	56.68	41.52	57.89	56.68	84.04	53.95	46.18	57.89	65.26	78.34	72.01	45.21
SYT10	0.0	1.55	7.75	0.75	0.27	0.0	3.76	8.38	3.38	2.2	4.58	0.58	0.0	6.21	2.53	6.36	5.19	0.25	0.67	1.23	4.35	0.27	0.91	2.58	17.9	2.23	0.27	2.71	1.83	0.0	0.57	1.62	0.0	8.19	0.26	10.55	0.25	1.58	0.27	7.28	2.89	0.27	0.0	11.64	0.87	0.57	4.78	0.27	0.0	13.62	5.68	0.26	0.91	2.16	0.6	3.47	0.26	0.25	6.16	0.27	5.63	0.27	0.6	8.78	10.96	2.48	9.7	7.11	2.18	19.25	7.51	2.46	11.64	19.82	16.75
TENM2	1.97	42.11	67.12	1.73	4.62	2.48	10.96	53.57	37.32	12.36	32.36	3.89	8.32	23.42	5.82	87.03	31.22	11.91	5.5	17.38	14.78	4.28	5.5	10.71	52.08	9.41	13.72	12.0	19.11	4.7	4.46	17.25	2.68	48.18	1.39	47.5	3.11	9.48	10.39	33.54	29.48	12.83	8.78	45.85	16.39	5.41	13.22	7.75	1.53	32.13	47.5	2.94	3.92	17.77	11.13	21.32	4.21	3.76	51.71	3.47	12.55	5.45	4.03	103.69	28.24	59.13	38.67	55.1	30.78	90.14	61.68	19.53	73.54	68.07	112.77
TMEM43	486.75	860.08	1051.79	343.89	447.82	463.65	688.78	825.0	878.17	656.11	780.44	638.15	497.0	915.51	540.19	1073.91	1030.12	540.19	429.54	825.0	571.05	497.0	587.13	587.13	915.51	642.59	607.87	934.76	470.14	323.03	503.95	713.11	532.74	974.5	466.88	1143.1	470.14	728.11	780.44	848.22	713.11	808.0	579.04	967.76	825.0	733.19	669.92	473.41	884.29	961.07	1286.18	525.39	387.02	620.67	872.1	842.36	583.07	521.76	1183.45	728.11	665.29	591.22	583.07	1277.29	1191.69	1151.06	1104.13	1151.06	1015.93	1437.15	967.76	967.76	1477.58	909.17	928.3
TRNP1	54.72	98.73	191.67	12.45	88.88	44.57	127.89	119.26	152.28	92.05	125.24	75.64	33.06	97.36	36.27	237.86	193.01	16.27	95.34	109.66	61.68	53.57	66.65	82.29	205.5	43.94	80.01	111.99	41.22	39.79	115.97	114.36	151.22	241.19	25.91	165.57	26.28	74.06	104.42	99.43	85.22	94.67	50.98	104.42	78.34	34.51	139.07	76.17	44.57	111.99	237.86	45.53	105.89	66.65	116.78	152.28	52.08	51.35	202.66	75.11	148.09	42.11	70.51	202.66	199.85	215.77	267.73	283.05	166.73	283.05	201.25	202.66	307.69	182.55	183.82
WSCD2	4.21	28.24	120.94	6.41	7.69	2.03	13.12	95.34	50.27	27.05	116.78	25.17	6.89	44.25	15.91	191.67	208.38	5.82	7.17	53.19	55.49	13.12	25.35	49.56	139.07	14.24	2.58	51.71	22.75	0.0	29.91	37.85	46.18	56.28	0.89	55.49	14.89	26.47	30.12	26.47	135.24	25.54	4.17	19.82	27.25	21.94	61.68	7.06	2.46	153.34	165.57	5.28	9.48	32.36	49.56	24.28	3.72	7.88	208.38	10.63	84.04	8.78	6.16	120.94	63.0	148.09	26.86	214.27	92.05	84.63	186.4	45.21	175.07	191.67	141.02
