	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.111CU.0826.SM.5EGIJ	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.P4QT.0626.SM.3NMCP	GTEX.S95S.0326.SM.4B66U	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5734.01A.11R.1602.13	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.CG.4460.01A.01R.1157.13	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.D7.6820.01A.11R.1884.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.FP.7829.11A.01R.2055.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
CASQ2	8363.13	4181.07	5954.47	830.75	1378.57	1127.35	29.06	647.07	813.63	915.51	4.5	59.97	1.81	27.25	4.31	6.41	18.16	1225.22	8.25	10.63	4.35	113.56	27.44	0.73	8.25	4.82	24.81	0.37	438.59	579.04	64.8	19.82	1639.59	114.36	11.3	4123.49	81.14	67.59	59.97	503.95
CC2D2A	1628.26	915.51	1277.29	470.14	723.08	463.65	183.82	242.88	361.04	269.6	135.24	275.28	102.25	204.07	91.41	199.85	123.5	660.68	30.78	100.83	129.69	293.07	46.18	57.08	256.78	94.67	149.12	32.36	212.78	1191.69	226.54	141.02	974.5	226.54	157.68	1044.52	132.44	309.83	98.73	389.72
CFL2	29736.59	9673.69	40341.14	2537.92	3146.52	4268.94	547.75	3955.48	3768.09	2758.13	476.71	947.83	208.38	353.59	170.25	221.86	346.29	4328.55	242.88	224.97	232.94	1529.73	348.71	173.85	555.41	228.13	291.04	155.5	1359.57	9151.82	1540.37	182.55	3564.78	1313.23	381.68	6699.25	547.75	854.13	409.15	1709.26
CHST15	1407.55	2004.85	2004.85	1135.2	679.29	909.17	211.31	830.75	426.57	647.07	30.56	450.94	20.26	197.09	384.34	115.97	239.52	607.87	104.42	318.57	414.87	279.14	166.73	110.43	231.32	138.1	186.4	123.5	397.93	995.0	420.68	237.86	934.76	656.11	543.96	947.83	429.54	376.41	229.72	476.71
CLIC4	8538.88	14361.31	17197.56	3874.05	4388.98	5479.15	796.86	5594.3	2609.3	2701.35	395.18	2047.0	438.59	1322.37	1216.75	934.76	1008.9	5594.3	612.11	1059.11	612.11	4388.98	1208.34	748.61	921.88	703.28	1617.0	698.41	1651.0	6037.61	1819.35	995.0	4575.41	2104.58	1350.18	8901.53	1175.27	1295.13	1143.1	2224.63
CLIP3	6250.56	4543.8	6983.79	2287.2	1721.16	1819.35	262.2	1709.26	1199.98	866.07	70.01	435.55	21.78	255.0	78.34	88.88	175.07	1605.83	71.0	120.1	56.68	642.59	144.01	38.67	66.65	50.98	178.77	27.64	483.38	3349.13	473.41	117.6	1605.83	490.14	101.54	1781.89	214.27	212.78	147.06	441.64
CLMP	2104.58	2193.99	3955.48	1359.57	507.46	738.29	102.25	723.08	612.11	493.56	24.11	281.09	4.98	175.07	133.36	55.49	119.26	738.29	47.5	155.5	54.72	371.22	146.03	22.1	124.37	10.63	53.57	13.52	447.82	2047.0	341.51	155.5	1191.69	651.58	178.77	1583.71	295.11	197.09	228.13	305.55
CNTN2	164.42	82.29	105.89	19.53	21.32	29.27	1.57	22.59	45.85	66.65	0.0	10.71	0.0	11.3	0.54	0.0	5.28	22.26	0.44	1.91	1.17	2.16	2.18	1.57	0.0	0.0	0.0	3.66	15.34	75.64	6.11	4.13	30.78	23.42	5.82	19.39	5.32	8.99	0.73	3.44
COL6A2	51062.33	95286.54	61571.56	24153.43	28723.62	24660.96	3419.52	20170.07	16383.0	13215.02	2335.28	5147.73	551.56	6121.9	3901.01	3325.99	5711.87	23330.64	3614.55	2875.3	1832.01	15285.81	4903.87	1135.2	2193.99	2047.0	4802.93	3540.14	9088.59	29327.18	6207.38	3349.13	23330.64	11584.24	2875.3	27745.15	5751.61	3768.09	1991.0	4388.98
COL8A2	297.17	785.88	555.41	366.09	599.49	748.61	37.85	171.45	109.66	107.38	39.5	123.5	2.58	318.57	40.07	30.12	98.04	629.35	31.0	18.84	66.65	395.18	109.66	31.67	90.77	30.78	171.45	12.45	218.79	473.41	73.03	29.48	791.35	92.05	29.06	954.43	47.84	86.43	34.26	155.5
COLEC12	444.72	1498.22	884.29	318.57	406.31	493.56	82.87	503.95	323.03	194.36	10.39	353.59	3.92	88.26	27.64	39.5	147.06	214.27	20.41	47.84	50.27	52.08	61.25	5.59	134.3	11.82	197.09	48.87	221.86	358.54	198.47	100.83	656.11	191.67	159.9	708.18	144.01	231.32	95.34	181.28
COX7A1	11584.24	8421.31	38164.99	3372.43	3419.52	2468.49	387.02	2209.26	2835.7	2090.03	99.43	435.55	33.3	432.53	438.59	187.71	124.37	2119.22	111.99	149.12	102.25	1268.46	255.0	58.71	269.6	111.21	460.44	144.01	780.44	3443.31	466.88	334.46	1529.73	490.14	130.6	4181.07	409.15	791.35	483.38	1369.04
CPED1	1709.26	796.86	759.08	110.43	253.23	665.29	92.7	161.02	371.22	454.09	82.29	297.17	11.38	110.43	79.45	78.89	173.85	629.35	39.22	65.26	75.64	361.04	68.55	43.32	81.14	36.27	151.22	11.73	291.04	1781.89	341.51	63.45	759.08	289.02	158.79	1001.93	176.29	145.02	111.21	301.33
CRISPLD2	1427.22	9808.75	6037.61	3349.13	2816.11	2133.97	1059.11	2956.17	1073.91	3419.52	507.46	1286.18	127.89	1561.89	708.18	314.17	775.05	1950.0	466.88	447.82	316.37	1883.54	579.04	244.57	460.44	514.56	642.59	170.25	1066.48	2645.74	629.35	1143.1	3564.78	921.88	854.13	1104.13	1295.13	493.56	409.15	759.08
CRTAP	13968.57	9945.68	6516.03	5076.84	5076.84	5112.16	2255.7	3467.27	4639.29	3690.52	2075.59	3103.19	2075.59	4010.71	1832.01	2627.46	2335.28	6607.01	1111.82	1963.57	3081.75	4607.24	13872.08	1051.79	1304.15	2193.99	2090.03	1467.37	3955.48	9409.14	3955.48	2047.0	9606.86	3820.7	2816.11	9808.75	3467.27	3443.31	2573.36	4802.93
DCHS1	1081.39	1104.13	674.59	447.82	518.15	409.15	98.04	334.46	325.29	239.52	74.58	175.07	27.44	231.32	150.17	140.04	172.65	599.49	75.64	145.02	66.18	363.56	166.73	108.9	90.77	84.63	156.59	148.09	358.54	563.18	141.02	124.37	629.35	283.05	126.12	647.07	162.14	107.38	91.41	87.03
DCLK2	395.18	698.41	1331.57	194.36	281.09	314.17	31.0	242.88	169.07	130.6	13.62	47.84	4.54	42.71	13.42	12.45	57.08	271.48	9.78	12.09	22.43	108.9	20.71	17.25	36.27	9.2	30.56	11.82	88.26	432.53	77.25	25.17	279.14	92.05	13.83	358.54	24.81	38.12	18.7	70.51
DDR2	2627.46	2573.36	2178.83	633.73	1225.22	1304.15	297.17	878.17	896.64	830.75	53.19	497.0	29.91	518.15	115.97	108.9	275.28	796.86	75.64	112.77	120.1	718.08	156.59	62.12	142.01	50.63	181.28	43.02	567.1	2400.97	432.53	131.51	1605.83	486.75	211.31	2104.58	269.6	221.86	125.24	363.56
DENND5A	2240.11	2255.7	3280.18	1183.45	1151.06	1529.73	507.46	1721.16	1167.14	884.29	295.11	521.76	84.63	412.0	229.72	283.05	316.37	1037.29	236.21	262.2	559.28	1015.93	297.17	164.42	473.41	199.85	381.68	334.46	507.46	1508.65	463.65	183.82	1037.29	543.96	309.83	1191.69	271.48	447.82	194.36	551.56
DIXDC1	4575.41	1844.76	3491.39	753.83	764.36	1073.91	138.1	708.18	698.41	460.44	111.21	264.03	109.66	173.85	59.13	96.68	170.25	941.27	66.65	91.41	66.65	395.18	111.21	84.04	134.3	29.91	127.89	31.22	381.68	1605.83	348.71	90.14	967.76	414.87	236.21	1159.07	158.79	202.66	209.84	303.44
EML1	5366.37	3372.43	2701.35	753.83	1250.98	1819.35	187.71	511.0	981.29	1001.93	71.5	356.05	24.46	224.97	105.89	147.06	237.86	941.27	76.71	99.43	109.66	500.46	76.71	45.53	87.03	71.5	228.13	66.18	346.29	2209.26	490.14	142.01	1008.9	555.41	193.01	2104.58	202.66	153.34	96.01	285.03
EVC2	97.36	135.24	105.89	90.77	166.73	128.79	34.75	94.67	47.84	34.51	6.21	51.71	1.81	29.48	9.13	4.9	20.41	70.51	7.57	15.56	20.56	31.9	19.82	6.16	54.72	1.77	20.86	17.0	60.82	94.67	25.91	12.55	113.56	25.35	20.11	104.42	22.1	35.25	20.56	36.53
FAM127C	1175.27	759.08	669.92	830.75	348.71	638.15	320.8	463.65	301.33	273.37	104.42	165.57	16.27	186.4	135.24	85.22	98.04	497.0	77.25	91.41	48.87	356.05	151.22	77.79	130.6	53.19	169.07	63.89	181.28	785.88	186.4	128.79	426.57	208.38	125.24	813.63	132.44	209.84	180.02	305.55
FAXDC2	4671.57	1127.35	698.41	507.46	967.76	830.75	291.04	514.56	1059.11	854.13	52.45	329.84	29.48	118.43	318.57	82.29	214.27	1268.46	108.14	154.42	126.12	262.2	92.7	135.24	80.01	85.22	191.67	35.0	713.11	1857.6	616.37	295.11	1350.18	703.28	353.59	1467.37	373.81	361.04	441.64	447.82
FERMT2	12764.83	11035.54	19082.0	3665.02	3124.78	3901.01	395.18	3901.01	2335.28	1857.6	228.13	995.0	59.97	733.19	490.14	384.34	476.71	3540.14	191.67	241.19	236.21	1923.14	312.0	106.63	633.73	153.34	412.0	176.29	1331.57	7749.1	1191.69	255.0	4181.07	1350.18	316.37	6294.04	457.25	447.82	470.14	1127.35
FEZ1	1883.54	1857.6	2335.28	909.17	878.17	961.07	148.09	808.0	656.11	466.88	77.79	353.59	28.86	269.6	96.68	85.82	151.22	915.51	107.38	75.11	88.88	629.35	209.84	226.54	153.34	135.24	191.67	473.41	400.71	1427.22	287.01	119.26	934.76	329.84	127.89	1044.52	214.27	457.25	163.28	493.56
FGF2	555.41	612.11	483.38	199.85	285.03	253.23	30.12	187.71	152.28	150.17	10.39	87.65	3.92	56.68	17.25	12.55	43.32	140.04	10.96	19.25	8.58	136.19	18.56	4.94	27.25	3.06	23.08	6.62	99.43	507.46	74.06	15.8	316.37	68.07	19.11	303.44	27.84	52.82	17.0	88.26
FGFR1	5751.61	6381.92	7485.11	3491.39	3257.52	3716.2	595.34	2384.37	1977.24	1819.35	217.27	825.0	33.06	708.18	358.54	258.57	460.44	3540.14	171.45	305.55	241.19	1605.83	698.41	177.53	921.88	169.07	1909.85	131.51	1250.98	3716.2	723.08	409.15	3847.29	934.76	309.83	4607.24	595.34	616.37	346.29	708.18
FHL1	31215.04	93325.55	124000.67	21919.61	34158.52	42937.97	3168.41	22072.07	10808.41	10014.87	348.71	2591.27	84.63	866.07	647.07	629.35	1159.07	20030.74	429.54	866.07	246.28	4328.55	769.69	149.12	819.3	289.02	974.5	201.25	9025.81	28132.47	6079.61	1651.0	30572.63	6250.56	1467.37	46339.95	3665.02	3928.15	1923.14	9409.14
FOXF1	3690.52	4836.35	4181.07	2271.4	1417.35	1583.71	366.09	1183.45	1832.01	1059.11	221.86	540.19	61.68	463.65	417.77	429.54	376.41	2255.7	181.28	262.2	129.69	848.22	273.37	124.37	120.1	153.34	420.68	88.26	1111.82	4575.41	1023.0	309.83	2997.45	1001.93	400.71	1794.29	660.68	718.08	279.14	764.36
FSTL1	9344.14	39237.98	19892.37	3665.02	3874.05	5329.3	854.13	4639.29	2682.69	3235.01	620.67	2209.26	157.68	5292.48	1350.18	1216.75	2777.33	5219.6	583.07	738.29	1350.18	4095.0	1437.15	361.04	1359.57	915.51	1605.83	902.89	1844.76	7032.37	2335.28	703.28	4328.55	2434.5	802.41	11424.74	1697.45	825.0	373.81	954.43
GLP2R	164.42	543.96	521.76	64.34	105.89	106.63	12.64	39.5	291.04	146.03	3.23	22.26	3.96	14.78	18.97	20.26	28.86	96.68	6.16	14.03	2.51	14.67	13.83	4.74	1.27	4.78	8.58	2.89	96.68	132.44	80.01	42.11	134.3	120.94	47.17	141.02	66.65	34.75	2.76	53.57
GNAO1	5791.62	1143.1	221.86	647.07	511.0	1143.1	47.5	131.51	1127.35	748.61	27.05	220.32	6.26	78.34	35.76	30.34	84.04	1104.13	31.67	52.82	13.83	336.79	28.24	63.45	116.78	11.91	136.19	18.03	435.55	2032.85	323.03	112.77	1167.14	463.65	92.05	988.12	182.55	103.69	82.87	318.57
GPM6B	1407.55	1519.15	2502.97	289.02	438.59	366.09	83.45	343.89	466.88	616.37	14.78	153.34	14.78	22.75	19.25	13.22	40.07	271.48	20.11	26.67	8.92	63.45	18.16	23.08	33.06	8.78	30.78	7.06	226.54	1151.06	103.69	40.36	651.58	406.31	36.79	1427.22	88.26	78.34	52.08	190.34
GPR133	460.44	1073.91	529.06	909.17	693.58	490.14	191.67	842.36	204.07	164.42	82.87	432.53	12.64	229.72	45.85	36.53	148.09	432.53	54.72	99.43	30.12	195.72	155.5	15.11	33.78	53.57	107.38	22.92	193.01	1059.11	176.29	126.12	603.67	190.34	151.22	738.29	116.78	148.09	175.07	116.78
GPRASP1	961.07	1199.98	718.08	343.89	332.14	293.07	100.13	277.2	242.88	228.13	21.32	182.55	5.15	43.02	7.4	20.86	42.41	195.72	20.71	25.72	17.0	77.79	20.41	19.82	166.73	8.25	35.25	3.86	123.5	438.59	82.29	26.28	341.51	138.1	35.25	368.65	39.79	68.07	33.54	98.73
GRIK5	1757.34	1437.15	1498.22	397.93	392.44	432.53	40.93	371.22	323.03	265.87	8.78	31.9	4.39	68.07	7.34	7.94	21.47	301.33	13.32	14.35	9.56	120.1	11.38	8.92	157.68	6.01	29.7	2.46	121.79	521.76	102.97	23.76	476.71	195.72	15.91	480.04	40.93	36.53	23.76	86.43
GUCY1A3	3039.3	4298.64	1127.35	226.54	356.05	738.29	62.12	237.86	616.37	381.68	37.05	476.71	9.93	476.71	93.35	92.7	473.41	808.0	44.57	100.83	96.01	738.29	183.82	14.35	93.35	20.41	246.28	41.52	373.81	2178.83	348.71	72.52	1037.29	466.88	96.68	1561.89	97.36	217.27	73.03	368.65
GUCY1B3	2384.37	2701.35	2104.58	379.04	629.35	1037.29	84.04	483.38	500.46	251.48	45.85	420.68	14.89	339.14	75.64	113.56	285.03	647.07	57.08	90.14	136.19	629.35	148.09	30.34	223.41	81.14	190.34	81.71	293.07	2451.44	358.54	49.56	921.88	246.28	88.26	1322.37	105.89	271.48	86.43	409.15
HIPK4	98.04	30.34	52.45	16.39	10.31	12.09	3.56	6.84	9.7	15.8	2.16	5.59	0.0	1.91	0.0	0.78	1.28	8.19	0.27	1.17	0.25	1.45	0.3	0.95	0.0	0.26	0.68	0.25	5.41	20.71	5.02	0.72	11.64	4.39	0.0	23.08	1.19	3.96	5.23	2.48
HOXB4	234.57	457.25	221.86	221.86	228.13	221.86	24.99	154.42	98.73	42.71	37.59	66.65	7.34	190.34	48.87	33.78	58.3	170.25	16.39	30.56	9.85	92.7	29.7	7.88	23.25	12.83	54.72	10.39	87.03	173.85	68.55	23.93	163.28	78.34	22.75	267.73	38.95	88.88	31.45	83.45
HSPB2-C11orf52	105.89	229.72	204.07	88.88	137.14	206.94	64.8	94.67	34.02	34.51	7.34	31.0	4.78	32.59	19.25	7.57	11.04	186.4	4.5	21.94	9.85	114.36	18.56	0.0	6.01	0.13	8.45	8.06	61.68	339.14	45.85	15.34	209.84	57.08	8.99	224.97	29.27	64.34	36.27	161.02
HSPB8	52497.92	11584.24	25354.3	10225.32	12076.21	13968.57	2468.49	8658.09	6699.25	5366.37	26.1	441.64	24.11	323.03	166.73	65.72	226.54	5913.33	63.45	142.01	56.28	769.69	139.07	24.81	116.78	39.79	162.14	78.34	1769.57	6983.79	1467.37	224.97	10296.45	1397.83	368.65	12329.98	536.45	921.88	332.14	2303.12
IGSF11	287.01	124.37	149.12	22.75	68.07	107.38	27.84	57.08	65.26	64.8	13.42	4.82	0.1	49.56	0.0	0.56	3.11	63.0	2.58	5.02	0.68	3.17	0.47	6.21	6.36	1.01	0.8	0.0	20.26	194.36	23.93	5.41	85.22	39.22	4.7	139.07	12.93	7.17	7.94	17.64
IQCJ-SCHIP1	3820.7	2271.4	5183.54	825.0	1051.79	1104.13	202.66	1268.46	420.68	698.41	57.08	205.5	27.84	229.72	98.73	97.36	139.07	1397.83	53.95	36.53	141.02	759.08	62.56	43.32	86.43	40.36	186.4	68.07	305.55	1617.0	202.66	87.03	934.76	281.09	37.59	1127.35	34.51	105.15	61.68	423.61
ITGA1	6983.79	4181.07	7485.11	1277.29	1277.29	1819.35	152.28	1781.89	860.08	769.69	150.17	547.75	55.49	703.28	318.57	343.89	463.65	1540.37	289.02	105.89	403.5	866.07	205.5	148.09	414.87	305.55	289.02	208.38	595.34	3280.18	518.15	120.94	1277.29	819.3	191.67	1950.0	341.51	176.29	241.19	239.52
ITGB1BP2	1183.45	599.49	2855.44	164.42	215.77	195.72	23.08	161.02	142.01	98.73	19.39	44.57	14.78	17.51	21.01	13.83	11.82	199.85	20.71	11.13	6.78	63.0	17.0	20.56	22.1	24.11	14.78	4.1	33.78	363.56	65.26	22.26	144.01	36.27	3.5	323.03	29.7	28.45	30.34	74.58
ITIH5	5441.3	2178.83	571.05	351.14	1313.23	1447.15	166.73	435.55	1191.69	1242.34	58.3	567.1	15.0	403.5	133.36	54.72	381.68	1023.0	75.11	88.26	128.79	175.07	171.45	32.59	104.42	48.87	457.25	147.06	693.58	1977.24	361.04	234.57	1977.24	941.27	191.67	2609.3	251.48	371.22	194.36	483.38
JAM3	4181.07	3280.18	7081.29	1104.13	1199.98	1487.87	223.41	1151.06	1167.14	656.11	100.83	493.56	40.93	353.59	120.94	135.24	208.38	1498.22	106.63	142.01	123.5	780.44	146.03	66.65	211.31	81.71	457.25	86.43	591.22	2104.58	414.87	199.85	1388.16	490.14	211.31	2119.22	368.65	343.89	204.07	444.72
JPH2	7537.18	7911.95	15824.9	1096.5	1242.34	1745.2	63.0	1051.79	1331.57	769.69	33.54	57.89	1.77	45.85	14.56	22.43	51.71	1487.87	18.97	30.78	4.66	231.32	35.25	11.64	13.52	12.09	66.18	25.17	373.81	1923.14	353.59	49.56	1397.83	460.44	27.64	2573.36	111.21	82.87	30.12	242.88
KANK2	61571.56	53230.77	62865.33	12943.04	7485.11	13681.08	1331.57	8421.31	8421.31	5366.37	813.63	1407.55	356.05	981.29	718.08	669.92	934.76	8901.53	466.88	902.89	348.71	2555.58	921.88	323.03	796.86	356.05	941.27	579.04	2537.92	9945.68	2555.58	830.75	6607.01	3325.99	1135.2	13215.02	1295.13	967.76	1175.27	1991.0
KATNAL1	748.61	438.59	884.29	151.22	157.68	220.32	31.45	229.72	159.9	133.36	53.57	87.65	6.26	63.0	32.59	23.25	78.89	141.02	13.22	27.05	43.94	102.97	15.68	31.9	28.24	19.97	36.53	14.56	67.12	287.01	67.12	14.14	166.73	68.07	36.53	312.0	38.95	34.51	40.93	70.01
KCNJ8	1295.13	1721.16	1605.83	503.95	490.14	387.02	117.6	318.57	256.78	241.19	38.12	159.9	13.42	140.04	229.72	92.05	87.65	555.41	63.89	78.89	57.08	476.71	111.21	30.56	105.15	42.41	93.35	39.79	258.57	738.29	167.9	92.05	521.76	208.38	47.5	733.19	101.54	180.02	45.21	279.14
KCTD10	2163.77	3212.66	3491.39	1167.14	995.0	1561.89	713.11	1572.76	1135.2	1639.59	603.67	543.96	414.87	866.07	423.61	486.75	674.59	1977.24	480.04	507.46	748.61	1662.49	629.35	356.05	470.14	318.57	633.73	366.09	638.15	2777.33	669.92	476.71	1551.09	830.75	341.51	2451.44	457.25	423.61	318.57	612.11
KIAA1614	500.46	525.39	808.0	180.02	193.01	191.67	45.85	220.32	136.19	65.26	23.25	35.0	3.66	36.79	9.27	25.17	22.92	117.6	12.64	24.99	6.78	40.07	29.48	8.45	23.42	11.21	17.77	21.94	66.65	195.72	63.0	12.45	195.72	71.5	20.86	183.82	38.12	41.81	75.11	43.32
KIF7	149.12	620.67	507.46	267.73	214.27	332.14	44.25	149.12	99.43	60.39	33.78	51.35	7.22	39.22	27.64	45.21	34.02	135.24	15.68	27.05	7.28	74.06	54.33	20.26	48.87	27.25	31.9	25.17	65.26	193.01	56.28	16.63	204.07	71.0	25.17	262.2	26.67	32.59	21.32	43.02
LIMS2	51775.15	21026.65	42641.37	7032.37	7433.4	7589.61	603.67	4704.07	9088.59	6426.31	171.45	647.07	42.71	703.28	353.59	239.52	291.04	6699.25	220.32	384.34	129.69	1551.09	466.88	118.43	211.31	140.04	320.8	161.02	2047.0	9279.58	1806.78	395.18	8134.41	2796.65	346.29	10959.3	854.13	796.86	660.68	2032.85
LRRN2	232.94	170.25	236.21	234.57	69.52	138.1	74.06	111.21	387.02	146.03	7.0	37.59	3.32	57.08	10.0	13.22	35.5	94.67	5.28	19.11	7.28	98.04	13.12	31.45	36.53	2.86	256.78	11.04	67.12	111.21	25.54	15.91	116.78	56.28	10.63	201.25	25.54	43.63	47.17	33.54
LURAP1	228.13	116.78	84.04	150.17	120.94	96.68	44.89	107.38	42.11	28.65	6.89	22.1	3.53	30.12	17.9	9.85	12.0	74.58	5.28	15.68	4.28	39.22	10.31	3.0	30.78	10.55	15.68	3.35	39.79	146.03	40.07	9.2	120.94	50.27	35.0	166.73	32.59	38.95	44.25	31.67
