	GTEX.WYVS.1726.SM.3NMAY	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZE9C.1126.SM.4WWBD	GTEX.XK95.1026.SM.4GIDV	GTEX.RNOR.1226.SM.48FDQ	GTEX.11GSP.1826.SM.5N9DQ	GTEX.ZF3C.1626.SM.4WWB4	GTEX.XQ3S.1126.SM.4BOPK	GTEX.14BIN.2726.SM.5RQIE	GTEX.RN64.1026.SM.48FDX	GTEX.T2IS.0826.SM.4DM6L	TCGA.CV.7416.11A.01R.2081.07	GTEX.144GM.1326.SM.5LU5E	TCGA.38.4625.01A.01R.1206.07
CSPP1	379.04	38.67	94.67	76.71	88.88	118.43	133.36	79.45	137.14	57.89	100.13	93.35	111.99	94.01	90.14	176.29
CTD-3105H18.14	8.65	8.19	1.93	4.1	1.01	11.55	13.32	5.15	14.67	0.0	8.99	6.52	8.25	0.95	0.0	0.0
CUL4A	1104.13	551.56	825.0	854.13	825.0	836.53	1088.92	612.11	878.17	708.18	961.07	854.13	928.3	961.07	902.89	785.88
CUL7	607.87	90.77	198.47	211.31	148.09	208.38	320.8	137.14	389.72	135.24	258.57	244.57	297.17	122.64	112.77	0.0
CYHR1	1127.35	753.83	1304.15	1268.46	1388.16	1529.73	1477.58	967.76	1572.76	1127.35	1551.09	1685.71	1605.83	536.45	285.03	1066.48
DCAF6	1487.87	463.65	713.11	620.67	497.0	642.59	607.87	493.56	733.19	423.61	591.22	579.04	579.04	551.56	884.29	0.0
DERA	470.14	967.76	791.35	698.41	503.95	607.87	660.68	366.09	759.08	215.77	493.56	507.46	567.1	603.67	642.59	0.0
DYNC2H1	559.28	38.67	125.24	89.51	46.5	87.03	217.27	77.79	139.07	18.56	126.12	130.6	126.12	71.0	15.56	0.0
EED	733.19	236.21	368.65	309.83	387.02	497.0	642.59	287.01	571.05	417.77	493.56	429.54	511.0	251.48	103.69	0.0
EHMT1	1191.69	708.18	808.0	860.08	947.83	1250.98	1111.82	748.61	1127.35	753.83	1044.52	974.5	1119.56	543.96	295.11	0.0
EIF2AK4	1111.82	251.48	332.14	295.11	414.87	599.49	500.46	325.29	429.54	289.02	503.95	493.56	497.0	361.04	269.6	0.0
EML5	158.79	21.32	37.32	31.22	28.45	36.01	38.67	18.43	32.59	11.3	33.06	32.13	36.01	21.01	27.64	0.0
EPC1	988.12	118.43	307.69	320.8	260.38	387.02	511.0	204.07	371.22	305.55	435.55	339.14	426.57	205.5	98.04	169.07
ERCC5	1572.76	854.13	769.69	693.58	878.17	1199.98	1519.15	647.07	1417.35	791.35	1594.73	1313.23	1447.15	470.14	497.0	0.0
FAM156B	463.65	138.1	327.56	265.87	559.28	559.28	665.29	460.44	540.19	327.56	616.37	674.59	540.19	183.82	197.09	0.0
FAM172A	507.46	118.43	204.07	209.84	144.01	265.87	249.73	117.6	371.22	49.21	195.72	220.32	244.57	147.06	33.3	0.0
FAM179B	457.25	55.49	153.34	124.37	175.07	232.94	202.66	60.82	260.38	91.41	211.31	120.1	193.01	55.1	41.52	0.0
FAM188A	703.28	103.69	297.17	273.37	279.14	318.57	371.22	166.73	334.46	264.03	351.14	320.8	363.56	197.09	251.48	0.0
FAM35A	733.19	265.87	264.03	239.52	258.57	353.59	397.93	169.07	348.71	172.65	361.04	336.79	387.02	229.72	295.11	0.0
FAM78B	37.05	3.03	25.54	17.25	23.59	35.5	44.89	11.55	26.86	15.56	46.84	27.44	32.13	7.11	4.24	297.17
FIG4	503.95	202.66	251.48	251.48	165.57	208.38	303.44	104.42	293.07	149.12	255.0	212.78	217.27	208.38	68.55	0.0
FIGNL1	295.11	218.79	231.32	269.6	151.22	180.02	301.33	94.67	236.21	108.14	237.86	169.07	198.47	130.6	30.56	0.0
FNIP1	346.29	54.33	120.1	119.26	88.88	121.79	149.12	94.01	157.68	59.97	111.21	120.94	127.89	72.52	108.14	127.0
GALNT11	1250.98	638.15	490.14	532.74	493.56	571.05	703.28	332.14	633.73	379.04	563.18	633.73	500.46	379.04	291.04	0.0
GALNT2	521.76	193.01	830.75	665.29	389.72	543.96	483.38	400.71	470.14	329.84	486.75	463.65	454.09	785.88	4903.87	0.0
GLTSCR1L	571.05	76.17	115.97	126.12	94.67	128.79	183.82	44.89	164.42	70.01	127.0	114.36	158.79	71.0	16.15	63.0
GNRH1	137.14	37.32	90.14	99.43	107.38	181.28	154.42	103.69	186.4	75.11	157.68	134.3	120.1	21.63	3.69	0.0
GPATCH11	172.65	77.25	82.29	62.12	78.89	102.25	115.97	41.52	92.05	41.22	88.26	64.34	103.69	67.12	57.89	128.79
HAUS3	381.68	143.01	177.53	147.06	142.01	217.27	275.28	88.26	279.14	122.64	209.84	170.25	241.19	113.56	40.36	0.0
HEATR5B	669.92	198.47	234.57	214.27	202.66	202.66	301.33	122.64	293.07	119.26	241.19	218.79	265.87	173.85	114.36	0.0
HERC2	642.59	356.05	738.29	909.17	583.07	723.08	848.22	612.11	1001.93	612.11	693.58	656.11	733.19	595.34	325.29	0.0
HINFP	599.49	303.44	423.61	423.61	500.46	728.11	723.08	318.57	860.08	389.72	656.11	559.28	718.08	152.28	190.34	0.0
HMG20A	813.63	220.32	307.69	301.33	327.56	406.31	438.59	256.78	532.74	353.59	486.75	403.5	420.68	177.53	165.57	234.57
HSDL1	624.99	256.78	204.07	183.82	175.07	283.05	346.29	112.77	258.57	147.06	285.03	189.02	334.46	118.43	92.05	0.0
ING4	2032.85	503.95	819.3	896.64	764.36	698.41	1167.14	466.88	1378.57	500.46	915.51	1001.93	1044.52	356.05	299.25	0.0
INO80D	148.09	48.87	106.63	116.78	105.89	122.64	161.02	54.33	183.82	78.34	131.51	120.94	139.07	53.19	41.52	17.38
INTS4	1073.91	336.79	373.81	373.81	348.71	400.71	532.74	320.8	460.44	307.69	532.74	497.0	450.94	264.03	318.57	0.0
IPO8	656.11	183.82	457.25	400.71	348.71	409.15	490.14	217.27	466.88	283.05	454.09	412.0	384.34	346.29	316.37	339.14
IRAK4	490.14	392.44	356.05	392.44	297.17	409.15	432.53	164.42	493.56	220.32	389.72	327.56	470.14	143.01	197.09	0.0
KIAA0430	1397.83	371.22	441.64	406.31	432.53	540.19	624.99	287.01	629.35	316.37	607.87	435.55	563.18	183.82	178.77	0.0
KIAA0753	368.65	79.45	260.38	190.34	159.9	271.48	221.86	147.06	281.09	121.79	255.0	199.85	215.77	97.36	32.36	0.0
KIAA0895L	223.41	202.66	642.59	450.94	536.45	642.59	769.69	571.05	802.41	400.71	684.02	603.67	651.58	132.44	43.63	0.0
KIAA1731	323.03	57.89	127.89	110.43	124.37	162.14	223.41	52.82	244.57	88.88	171.45	144.01	236.21	51.35	32.82	0.0
LBR	420.68	497.0	981.29	808.0	503.95	599.49	642.59	444.72	698.41	283.05	518.15	511.0	567.1	329.84	389.72	0.0
LIME1	116.78	169.07	256.78	334.46	703.28	830.75	830.75	503.95	507.46	503.95	713.11	813.63	842.36	197.09	289.02	0.0
LMLN	185.11	55.49	74.58	59.13	63.45	75.11	94.67	44.89	91.41	21.47	92.7	81.14	83.45	33.78	9.93	0.0
MAP3K3	444.72	154.42	547.75	525.39	262.2	563.18	420.68	295.11	507.46	187.71	532.74	312.0	400.71	197.09	224.97	218.79
MBTD1	679.29	120.94	182.55	146.03	173.85	267.73	305.55	97.36	373.81	103.69	226.54	239.52	264.03	56.68	48.52	83.45
MEIS2	684.02	43.02	204.07	241.19	153.34	231.32	332.14	149.12	220.32	164.42	271.48	220.32	327.56	108.9	169.07	0.0
MITD1	848.22	595.34	802.41	493.56	819.3	872.1	854.13	480.04	995.0	620.67	915.51	703.28	878.17	490.14	209.84	0.0
MKS1	518.15	224.97	267.73	265.87	346.29	334.46	540.19	237.86	480.04	251.48	473.41	420.68	490.14	148.09	40.64	0.0
MLLT10	555.41	95.34	567.1	497.0	320.8	429.54	567.1	239.52	447.82	262.2	457.25	366.09	476.71	314.17	61.25	0.0
MMRN1	88.26	42.11	31.9	79.45	66.18	246.28	114.36	59.55	265.87	21.01	208.38	119.26	105.89	25.17	56.28	0.0
MSANTD1	4.62	6.46	9.85	3.2	13.12	19.97	24.63	9.93	21.01	11.13	24.63	24.11	17.25	1.99	0.26	0.0
MSL3	656.11	215.77	775.05	708.18	563.18	669.92	723.08	323.03	878.17	343.89	698.41	575.03	748.61	287.01	191.67	0.0
MTMR2	314.17	161.02	301.33	258.57	217.27	258.57	248.0	173.85	334.46	136.19	212.78	199.85	237.86	264.03	41.22	0.0
MTMR9	138.1	32.13	80.01	96.68	57.89	78.34	98.04	45.53	92.7	57.49	85.82	66.65	85.22	74.58	43.02	31.9
MTRF1	256.78	169.07	175.07	170.25	293.07	341.51	395.18	102.25	279.14	147.06	291.04	336.79	381.68	90.77	51.35	0.0
MYPOP	120.94	152.28	195.72	194.36	217.27	334.46	295.11	130.6	231.32	173.85	293.07	246.28	241.19	94.01	60.82	0.0
NAPB	327.56	156.59	144.01	131.51	153.34	269.6	249.73	153.34	363.56	115.97	217.27	173.85	212.78	65.72	47.84	0.0
NCOA6	703.28	551.56	563.18	529.06	503.95	753.83	896.64	412.0	571.05	466.88	808.0	595.34	674.59	497.0	185.11	444.72
NEDD4	267.73	19.68	99.43	63.45	41.22	109.66	96.01	45.53	107.38	27.25	72.52	48.52	82.29	77.79	89.51	71.0
NHLRC3	909.17	182.55	183.82	145.02	181.28	224.97	441.64	106.63	466.88	127.0	307.69	320.8	400.71	95.34	176.29	248.0
NIPAL2	551.56	327.56	1540.37	1340.84	1073.91	1233.75	1551.09	518.15	1757.34	819.3	1015.93	1191.69	1359.57	373.81	87.03	0.0
NIPBL	915.51	373.81	500.46	441.64	363.56	500.46	620.67	285.03	616.37	293.07	529.06	395.18	620.67	397.93	91.41	191.67
NPHP3	660.68	108.14	260.38	201.25	147.06	409.15	325.29	138.1	493.56	78.89	403.5	226.54	358.54	48.52	50.98	0.0
NREP	1322.37	341.51	305.55	186.4	226.54	320.8	500.46	256.78	348.71	218.79	486.75	450.94	432.53	194.36	165.57	0.0
NUDT13	96.01	26.28	31.45	33.06	59.13	68.55	84.63	29.48	66.65	28.04	80.57	70.51	68.07	12.55	29.7	0.0
OSBP	1159.07	518.15	384.34	420.68	406.31	435.55	540.19	376.41	532.74	384.34	466.88	476.71	444.72	341.51	1051.79	0.0
PAN3	1030.12	201.25	299.25	325.29	325.29	463.65	547.75	218.79	599.49	187.71	406.31	417.77	460.44	253.23	68.07	172.65
PARP16	373.81	191.67	206.94	195.72	208.38	299.25	316.37	110.43	242.88	158.79	283.05	258.57	287.01	106.63	123.5	0.0
PARP4	684.02	575.03	660.68	529.06	287.01	361.04	595.34	231.32	974.5	166.73	454.09	381.68	414.87	301.33	212.78	0.0
PCDHA2	40.93	0.0	1.13	0.75	0.66	1.39	4.54	0.61	1.25	0.26	2.27	1.13	2.16	0.93	0.0	0.0
PCSK4	79.45	137.14	94.01	49.21	96.68	161.02	256.78	96.01	204.07	47.84	147.06	150.17	92.05	20.41	15.22	0.0
PGBD1	251.48	10.08	102.25	52.08	31.9	52.82	46.5	25.35	30.12	20.11	60.39	53.19	42.71	18.84	6.06	0.0
PHF14	802.41	289.02	366.09	281.09	305.55	423.61	559.28	224.97	532.74	316.37	480.04	432.53	381.68	384.34	172.65	0.0
PHF17	536.45	109.66	90.77	82.87	191.67	256.78	293.07	87.03	209.84	100.83	221.86	193.01	224.97	112.77	190.34	165.57
PHF8	454.09	99.43	332.14	329.84	256.78	444.72	395.18	229.72	536.45	202.66	343.89	293.07	343.89	186.4	137.14	255.0
PIGC	1073.91	521.76	441.64	361.04	343.89	329.84	457.25	202.66	384.34	260.38	423.61	371.22	483.38	361.04	169.07	0.0
PIK3C2G	480.04	2.1	6.46	7.22	59.55	153.34	279.14	67.12	241.19	31.0	205.5	136.19	155.5	6.31	1.13	0.0
PIK3CA	412.0	73.54	201.25	229.72	111.99	162.14	189.02	93.35	251.48	40.93	138.1	123.5	143.01	124.37	201.25	159.9
PREPL	1529.73	178.77	376.41	281.09	381.68	438.59	514.56	258.57	500.46	209.84	379.04	406.31	409.15	189.02	133.36	0.0
RAD52	307.69	121.79	262.2	169.07	301.33	329.84	435.55	218.79	327.56	193.01	351.14	323.03	363.56	39.79	30.56	0.0
RALGAPA1	1059.11	283.05	420.68	500.46	507.46	579.04	819.3	271.48	967.76	194.36	612.11	395.18	595.34	353.59	229.72	0.0
RBM33	409.15	281.09	536.45	599.49	473.41	642.59	728.11	356.05	1135.2	403.5	563.18	480.04	698.41	251.48	183.82	0.0
REPS1	1233.75	848.22	1066.48	1096.5	947.83	1199.98	1111.82	819.3	1225.22	902.89	1127.35	1044.52	1111.82	884.29	305.55	0.0
RFTN2	111.21	10.96	15.91	8.51	21.32	58.71	65.26	20.26	46.5	23.42	57.08	24.99	43.94	2.84	3.08	0.0
RIPPLY2	16.15	0.0	3.96	0.0	0.0	6.41	7.11	2.63	11.91	0.0	4.03	3.99	3.82	0.0	0.0	0.0
RNF14	1096.5	255.0	346.29	327.56	334.46	403.5	518.15	275.28	476.71	353.59	426.57	363.56	450.94	334.46	314.17	571.05
RSPRY1	656.11	320.8	314.17	314.17	283.05	363.56	420.68	248.0	460.44	218.79	361.04	384.34	318.57	283.05	177.53	271.48
SBNO1	325.29	181.28	226.54	195.72	154.42	232.94	215.77	127.0	237.86	113.56	165.57	176.29	190.34	215.77	129.69	132.44
SERPINE3	17.77	5.23	12.0	8.32	12.64	16.03	21.78	7.17	9.63	1.07	13.72	15.34	15.34	13.72	7.88	0.0
SESN1	651.58	223.41	480.04	460.44	336.79	551.56	567.1	126.12	748.61	185.11	409.15	412.0	384.34	162.14	59.13	0.0
SIX5	529.06	108.14	285.03	366.09	271.48	493.56	429.54	239.52	435.55	221.86	414.87	353.59	389.72	133.36	208.38	0.0
SLC25A40	603.67	186.4	187.71	138.1	273.37	373.81	476.71	120.94	447.82	65.72	379.04	275.28	373.81	79.45	27.84	158.79
SLC35A1	1397.83	218.79	234.57	287.01	303.44	379.04	483.38	144.01	397.93	256.78	420.68	332.14	483.38	191.67	133.36	0.0
SMYD4	220.32	98.04	113.56	93.35	101.54	125.24	109.66	52.45	190.34	66.65	126.12	89.51	123.5	28.65	55.49	61.25
SNX15	567.1	293.07	473.41	444.72	332.14	334.46	490.14	253.23	420.68	271.48	423.61	389.72	470.14	387.02	76.71	0.0
SOS1	579.04	150.17	447.82	267.73	258.57	295.11	279.14	139.07	379.04	161.02	275.28	309.83	297.17	153.34	66.18	114.36
SPAG8	76.71	0.38	15.34	46.5	11.13	20.71	49.56	9.7	28.86	13.03	31.22	26.67	26.28	3.56	0.0	0.0
SPDL1	157.68	251.48	162.14	85.22	121.79	209.84	211.31	82.87	173.85	94.67	176.29	142.01	199.85	368.65	22.59	0.0
SS18	1977.24	587.13	1059.11	988.12	791.35	915.51	1119.56	417.77	1135.2	420.68	974.5	878.17	988.12	708.18	967.76	738.29
STAM2	651.58	285.03	260.38	241.19	305.55	332.14	379.04	180.02	423.61	246.28	417.77	314.17	318.57	176.29	71.0	149.12
SUPT3H	283.05	78.34	87.03	100.83	62.12	103.69	134.3	65.72	130.6	57.08	127.0	90.14	101.54	50.63	15.68	0.0
TAMM41	409.15	228.13	242.88	281.09	309.83	351.14	353.59	236.21	373.81	258.57	376.41	307.69	356.05	232.94	87.03	0.0
TBC1D17	1322.37	543.96	1044.52	1037.29	743.43	848.22	1143.1	633.73	1340.84	612.11	1066.48	878.17	1037.29	441.64	748.61	0.0
TBCK	647.07	231.32	368.65	318.57	253.23	441.64	361.04	148.09	547.75	135.24	341.51	258.57	320.8	173.85	40.07	0.0
TCERG1	1051.79	368.65	718.08	688.78	967.76	1199.98	1594.73	1015.93	1359.57	884.29	1143.1	1044.52	1104.13	688.78	406.31	414.87
TEX9	275.28	44.25	43.02	36.53	46.18	88.88	167.9	49.91	131.51	43.63	116.78	117.6	67.12	29.91	0.11	0.0
TFAP2C	1583.71	1037.29	1250.98	1572.76	587.13	728.11	848.22	256.78	769.69	381.68	703.28	854.13	785.88	629.35	1.23	108.9
TMEM187	303.44	102.97	116.78	147.06	99.43	146.03	232.94	59.97	215.77	102.25	193.01	206.94	147.06	74.58	92.7	0.0
TRMT1L	603.67	136.19	211.31	180.02	109.66	193.01	158.79	61.68	209.84	70.51	171.45	131.51	137.14	58.71	48.52	0.0
TSHZ2	612.11	7.11	52.82	60.39	25.35	62.56	38.67	31.45	61.25	18.56	53.57	29.27	35.76	22.1	101.54	0.0
TTC31	414.87	156.59	339.14	343.89	316.37	353.59	470.14	283.05	497.0	293.07	426.57	395.18	441.64	158.79	187.71	0.0
TXLNA	802.41	334.46	688.78	629.35	669.92	769.69	748.61	497.0	591.22	518.15	743.43	688.78	728.11	387.02	688.78	480.04
UBE2O	384.34	366.09	307.69	327.56	379.04	441.64	518.15	327.56	429.54	336.79	450.94	423.61	392.44	299.25	163.28	260.38
UBN2	231.32	48.18	108.9	101.54	108.14	154.42	152.28	53.95	186.4	75.64	138.1	120.1	127.89	38.12	23.25	39.22
UBR2	612.11	162.14	256.78	226.54	150.17	224.97	260.38	141.02	356.05	116.78	182.55	186.4	190.34	172.65	142.01	173.85
UPF3A	1594.73	327.56	651.58	693.58	961.07	884.29	1427.22	660.68	1159.07	723.08	1331.57	1159.07	1407.55	591.22	241.19	0.0
USP30	651.58	161.02	186.4	180.02	161.02	165.57	287.01	141.02	255.0	133.36	255.0	205.5	232.94	90.14	91.41	0.0
USP40	1081.39	363.56	483.38	406.31	660.68	825.0	1037.29	420.68	791.35	460.44	928.3	941.27	988.12	285.03	229.72	0.0
USP47	981.29	387.02	688.78	684.02	616.37	703.28	909.17	575.03	872.1	555.41	813.63	738.29	842.36	551.56	679.29	273.37
VN1R1	54.72	7.17	13.03	21.47	18.97	33.3	25.72	9.41	39.5	12.93	31.0	28.86	29.7	2.53	1.48	0.0
VPS36	1250.98	444.72	769.69	559.28	669.92	1081.39	1225.22	480.04	1369.04	500.46	981.29	1135.2	1008.9	384.34	212.78	244.57
WDR11	1167.14	384.34	583.07	540.19	587.13	780.44	928.3	384.34	1066.48	395.18	775.05	579.04	684.02	358.54	329.84	0.0
WDR75	974.5	281.09	447.82	412.0	366.09	503.95	599.49	341.51	525.39	389.72	409.15	454.09	438.59	521.76	265.87	0.0
XPO1	2287.2	1277.29	1369.04	902.89	1295.13	1594.73	1551.09	780.44	1388.16	616.37	1143.1	1030.12	1216.75	842.36	212.78	1268.46
ZMAT3	277.2	20.86	78.34	96.01	57.08	89.51	108.9	52.82	94.01	55.89	79.45	84.63	77.25	88.88	92.05	81.14
ZMYM6	329.84	98.04	205.5	189.02	172.65	205.5	293.07	108.9	239.52	162.14	236.21	199.85	269.6	124.37	52.82	0.0
ZNF181	620.67	56.68	68.07	56.68	87.03	144.01	204.07	59.55	199.85	74.58	116.78	106.63	154.42	43.94	80.57	0.0
ZNF214	389.72	8.25	14.35	11.47	17.77	25.72	27.84	6.26	30.34	4.46	16.88	21.16	18.16	1.11	5.02	0.0
ZNF326	688.78	363.56	373.81	312.0	563.18	547.75	624.99	432.53	698.41	392.44	563.18	559.28	551.56	323.03	178.77	0.0
ZNF44	555.41	150.17	170.25	175.07	205.5	293.07	341.51	149.12	384.34	167.9	297.17	239.52	269.6	83.45	57.08	0.0
ZNF443	191.67	92.05	43.94	49.21	62.12	102.25	162.14	15.11	151.22	38.12	125.24	97.36	126.12	24.11	10.47	0.0
ZNF519	217.27	49.21	267.73	101.54	99.43	125.24	172.65	43.63	432.53	33.06	169.07	135.24	169.07	21.16	1.69	0.0
ZNF607	231.32	55.49	65.72	89.51	94.01	165.57	204.07	17.77	271.48	64.34	103.69	122.64	107.38	28.04	0.39	0.0
ZNF75D	299.25	80.01	113.56	99.43	112.77	153.34	201.25	56.28	163.28	94.67	171.45	140.04	181.28	46.18	71.5	0.0
ZNF775	429.54	169.07	186.4	220.32	283.05	371.22	579.04	244.57	403.5	343.89	447.82	327.56	441.64	55.49	28.86	0.0
