	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.A2.A04Q.01A.21R.A034.07	TCGA.E9.A1ND.01A.11R.A144.07	TCGA.BH.A0DL.01A.11R.A115.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.A2.A0ST.01A.12R.A084.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A1MP.01A.11R.A14Y.07	TCGA.ZJ.AAX4.01A.11R.A42T.07	TCGA.MA.AA42.01A.12R.A38B.07	TCGA.C5.A1BM.01A.11R.A13Y.07	TCGA.DG.A2KM.01A.11R.A180.07	TCGA.VS.A8EL.01A.11R.A37O.07	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CQ.7065.01A.11R.2081.07	TCGA.BB.7861.01A.11R.2232.07	TCGA.CR.6481.01A.11R.1873.07	TCGA.CJ.4637.01A.02R.1325.07	TCGA.86.8671.01A.11R.2403.07	GTEX.Q734.0626.SM.2I3EF	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ARHGDIB	8963.45	12160.22	8363.13	7280.4	29327.18	13492.72	1199.98	4639.29	4038.61	6652.97	4869.99	11584.24	2976.74	1208.34	1674.06	2720.15	2609.3	1639.59	3794.3	4639.29	1037.29	1950.0	688.78	9088.59	10733.74	12415.75	13033.07	32315.87	6079.61	1104.13	2468.49	2915.45	1277.29	1304.15	1498.22
ARHGEF6	189.02	320.8	212.78	136.19	872.1	490.14	5.73	126.12	76.17	142.01	96.01	392.44	66.65	24.46	22.26	81.14	89.51	53.95	57.08	144.01	25.72	101.54	13.03	476.71	361.04	571.05	435.55	896.64	114.36	87.65	100.83	78.89	43.32	24.11	15.56
BTK	273.37	339.14	283.05	299.25	2004.85	599.49	17.25	158.79	163.28	205.5	182.55	486.75	107.38	23.76	17.9	74.06	74.06	45.85	48.87	183.82	46.5	150.17	6.78	435.55	429.54	511.0	529.06	1225.22	105.89	18.84	19.68	36.27	26.1	15.45	21.78
BTLA	71.0	96.68	42.11	33.3	928.3	212.78	9.85	28.86	19.97	78.34	13.93	91.41	16.03	0.69	0.0	4.82	4.74	2.76	2.27	11.91	0.78	14.45	2.46	181.28	106.63	146.03	98.73	88.26	4.31	0.0	1.87	5.87	9.34	1.33	0.0
C10orf128	444.72	271.48	185.11	218.79	665.29	543.96	25.54	141.02	127.89	181.28	118.43	460.44	81.71	79.45	76.17	248.0	218.79	141.02	177.53	323.03	102.25	185.11	16.27	444.72	435.55	381.68	540.19	4298.64	118.43	120.94	121.79	129.69	65.72	59.13	114.36
C19orf38	163.28	103.69	86.43	77.79	105.15	84.63	17.38	50.98	59.13	211.31	64.34	120.1	64.8	12.74	4.28	10.88	10.39	12.0	15.56	71.5	5.32	9.85	6.11	125.24	100.83	226.54	130.6	215.77	130.6	15.11	28.45	22.26	23.25	4.54	11.73
CARD16	2018.8	1437.15	1757.34	1508.65	2240.11	1651.0	1044.52	854.13	400.71	2485.67	848.22	1540.37	743.43	224.97	241.19	435.55	466.88	629.35	728.11	769.69	271.48	241.19	269.6	1096.5	819.3	2573.36	1977.24	3874.05	796.86	271.48	819.3	423.61	426.57	339.14	285.03
CCL3	1639.59	417.77	733.19	1073.91	785.88	571.05	0.0	56.68	688.78	1519.15	665.29	1183.45	753.83	25.54	12.45	13.72	27.05	26.28	130.6	339.14	10.71	9.27	5.11	1066.48	884.29	1225.22	708.18	995.0	444.72	63.45	111.21	191.67	305.55	49.56	20.71
CCL4	2555.58	1143.1	1066.48	1159.07	1697.45	1313.23	117.6	199.85	470.14	2915.45	480.04	3325.99	1001.93	39.5	17.51	72.52	78.89	48.87	158.79	444.72	18.84	42.41	10.39	1498.22	1295.13	3614.55	825.0	1963.57	190.34	120.1	323.03	241.19	339.14	68.07	70.51
CCL4L1	1457.23	384.34	532.74	503.95	353.59	575.03	35.0	66.65	228.13	1001.93	432.53	802.41	718.08	10.55	2.63	4.31	33.78	3.53	67.59	215.77	11.64	16.27	2.16	583.07	555.41	1322.37	157.68	748.61	205.5	36.53	120.94	287.01	228.13	90.14	0.0
CCL4L2	466.88	264.03	470.14	384.34	295.11	100.13	32.59	111.21	409.15	1051.79	146.03	1088.92	379.04	15.22	6.06	34.51	53.19	22.75	66.65	234.57	4.98	0.0	6.78	325.29	303.44	1119.56	163.28	417.77	221.86	41.52	44.89	41.81	94.01	8.13	31.9
CCR5	384.34	429.54	392.44	237.86	490.14	679.29	70.51	66.18	139.07	343.89	127.0	825.0	211.31	4.82	8.58	24.81	27.84	10.96	19.97	84.04	6.01	14.24	1.55	476.71	591.22	1191.69	457.25	1143.1	41.52	22.92	89.51	30.78	90.14	10.96	4.13
CD2	2163.77	1605.83	1066.48	567.1	4736.79	2384.37	769.69	454.09	368.65	1936.53	256.78	2193.99	412.0	21.32	24.81	94.67	156.59	58.71	62.56	470.14	11.38	77.79	10.0	2047.0	1498.22	3060.45	1896.65	3928.15	45.21	136.19	1250.98	78.34	336.79	55.1	37.85
CD226	22.92	59.55	57.08	30.34	152.28	115.97	0.49	21.94	16.75	56.68	32.82	103.69	12.18	1.2	1.75	8.71	10.55	3.56	2.78	23.08	0.6	10.79	0.45	197.09	89.51	86.43	85.22	90.77	4.98	3.38	88.26	39.22	11.73	7.0	4.39
CD247	708.18	579.04	291.04	155.5	1628.26	808.0	170.25	251.48	166.73	684.02	126.12	902.89	265.87	18.43	36.27	38.67	45.21	42.71	68.55	134.3	15.45	71.0	2.68	651.58	624.99	1059.11	884.29	624.99	16.39	38.95	262.2	34.51	161.02	35.76	22.43
CD300LF	309.83	146.03	85.22	167.9	111.99	214.27	6.73	76.71	88.26	239.52	91.41	503.95	118.43	14.67	6.41	26.86	18.7	19.53	40.07	115.97	4.1	10.39	1.93	368.65	314.17	191.67	318.57	1388.16	64.8	5.96	20.11	29.7	6.94	6.36	2.73
CD38	486.75	733.19	358.54	193.01	651.58	713.11	42.71	170.25	148.09	490.14	127.89	1044.52	148.09	26.28	21.32	38.67	65.72	47.17	57.89	109.66	39.5	42.41	9.93	1183.45	988.12	669.92	441.64	1909.85	100.13	24.81	24.46	18.84	45.53	28.04	26.67
CD3D	3235.01	1909.85	769.69	583.07	5995.9	2319.15	884.29	703.28	507.46	3039.3	329.84	2537.92	796.86	17.64	21.47	81.71	127.89	55.49	99.43	607.87	22.43	135.24	19.11	2163.77	1757.34	3018.3	1896.65	2915.45	191.67	35.5	872.1	74.58	1208.34	51.35	189.02
CD3E	2997.45	2645.74	941.27	525.39	8778.97	2997.45	733.19	665.29	529.06	1757.34	341.51	3820.7	854.13	34.75	39.22	134.3	221.86	104.42	111.99	642.59	26.47	183.82	16.03	2664.15	2319.15	3928.15	2609.3	4419.52	61.68	156.59	2032.85	224.97	483.38	80.57	71.5
CD3G	309.83	301.33	152.28	105.89	1008.9	435.55	206.94	109.66	72.52	376.41	33.78	567.1	92.7	3.26	3.63	18.7	29.27	7.82	12.93	87.03	1.79	14.45	1.45	591.22	373.81	718.08	295.11	974.5	24.99	9.56	65.72	11.55	63.0	26.67	2.1
CD4	2520.38	2119.22	2104.58	1529.73	3190.46	2875.3	144.01	1183.45	947.83	1119.56	1015.93	2351.53	629.35	106.63	94.01	346.29	262.2	223.41	297.17	836.53	48.87	194.36	43.02	1936.53	2417.67	3081.75	2976.74	13123.73	854.13	209.84	320.8	363.56	193.01	78.34	164.42
CD48	1487.87	1909.85	961.07	785.88	9344.14	3515.68	406.31	463.65	595.34	1923.14	473.41	2075.59	480.04	26.67	23.93	90.14	90.14	51.35	70.51	248.0	36.01	189.02	18.7	2609.3	2090.03	2520.38	2255.7	4769.75	1508.65	31.67	329.84	214.27	226.54	29.91	23.76
CD52	7695.57	8134.41	2777.33	2224.63	50011.46	12329.98	3303.0	3257.52	2367.9	8840.04	1183.45	9279.58	1909.85	190.34	109.66	607.87	612.11	406.31	503.95	2816.11	173.85	1295.13	106.63	8421.31	7331.05	6207.38	8718.32	16383.0	5791.62	679.29	1529.73	1135.2	1923.14	323.03	249.73
CD53	3742.05	3349.13	2720.15	2193.99	9808.75	4512.4	170.25	1388.16	1242.34	2997.45	1745.2	6561.36	1135.2	165.57	81.14	463.65	392.44	220.32	334.46	1191.69	138.1	547.75	35.0	4298.64	4239.45	5076.84	4239.45	7803.01	1832.01	100.13	348.71	486.75	211.31	132.44	194.36
CD6	647.07	486.75	212.78	143.01	1143.1	723.08	77.25	183.82	108.9	444.72	95.34	656.11	183.82	33.54	12.83	34.75	88.88	27.05	52.45	202.66	8.38	50.98	0.88	703.28	507.46	351.14	1096.5	796.86	5.68	29.27	368.65	35.76	78.34	38.95	12.83
CD72	329.84	208.38	361.04	142.01	1977.24	323.03	10.16	91.41	198.47	373.81	234.57	708.18	161.02	16.51	10.24	38.95	31.22	19.97	28.45	95.34	12.27	89.51	0.66	389.72	417.77	1030.12	620.67	204.07	19.11	8.19	7.46	18.03	15.45	4.74	4.43
CD84	172.65	153.34	180.02	172.65	642.59	285.03	11.55	76.71	117.6	86.43	115.16	571.05	65.26	13.72	8.06	48.52	36.01	17.0	41.22	140.04	6.78	39.5	1.85	400.71	343.89	536.45	341.51	438.59	64.8	14.03	6.78	43.02	14.24	2.86	1.79
CD8A	1487.87	1259.69	591.22	218.79	2573.36	1191.69	514.56	384.34	224.97	1674.06	142.01	3874.05	412.0	13.03	12.74	60.82	59.13	16.75	30.78	287.01	12.93	63.45	1.68	1685.71	1066.48	4769.75	830.75	974.5	25.72	57.49	819.3	155.5	96.68	64.8	18.84
CD8B	988.12	521.76	208.38	75.11	1487.87	450.94	134.3	177.53	115.97	854.13	53.57	1540.37	149.12	1.75	9.93	21.01	23.42	14.67	10.79	114.36	3.82	24.63	0.0	575.03	392.44	1674.06	356.05	866.07	27.05	42.71	547.75	22.43	65.72	48.18	16.75
CECR1	1199.98	1769.57	819.3	842.36	2209.26	2032.85	204.07	718.08	559.28	579.04	660.68	2627.46	363.56	113.56	100.13	181.28	162.14	551.56	269.6	571.05	66.65	251.48	11.73	1674.06	2502.97	2777.33	1794.29	8538.88	490.14	83.45	191.67	358.54	271.48	153.34	12.64
CLECL1	163.28	135.24	63.45	54.33	429.54	171.45	7.46	41.81	36.53	96.68	36.53	129.69	10.31	1.77	0.0	11.82	9.85	8.32	9.7	57.49	4.74	17.77	0.0	152.28	150.17	249.73	186.4	151.22	34.26	3.29	4.28	17.51	18.03	0.73	2.29
CORO1A	6079.61	4239.45	2627.46	1066.48	15499.21	5112.16	514.56	1896.65	1685.71	4869.99	1340.84	5219.6	2384.37	195.72	563.18	599.49	629.35	346.29	559.28	1628.26	281.09	1001.93	127.0	5954.47	6699.25	5711.87	7230.1	4972.34	1457.23	305.55	854.13	642.59	1340.84	293.07	201.25
CRTAM	111.21	67.59	41.81	26.67	281.09	111.21	7.4	29.48	25.35	122.64	12.27	486.75	77.79	0.66	2.29	7.06	7.34	3.99	2.29	15.22	2.05	3.23	18.16	244.57	142.01	242.88	82.87	118.43	60.39	26.86	19.11	22.59	2.94	0.0	2.89
CST7	1781.89	1104.13	612.11	224.97	2855.44	1143.1	201.25	674.59	400.71	1268.46	260.38	2148.82	708.18	33.3	18.84	111.21	94.67	52.08	112.77	392.44	50.63	137.14	25.72	1023.0	915.51	4358.66	1498.22	616.37	232.94	249.73	896.64	130.6	441.64	106.63	101.54
CTLA4	356.05	187.71	182.55	158.79	665.29	273.37	0.0	108.9	47.5	289.02	69.52	679.29	80.57	7.17	7.75	27.05	19.11	9.48	27.84	248.0	3.56	10.08	0.82	293.07	234.57	177.53	295.11	255.0	2.66	17.64	125.24	10.55	7.63	3.32	7.0
CXCL13	4181.07	5751.61	2303.12	1167.14	11035.54	6745.86	0.0	265.87	198.47	3874.05	454.09	3847.29	947.83	16.51	0.12	87.65	11.91	20.71	9.63	320.8	9.63	126.12	72.01	2915.45	3589.58	1832.01	3212.66	967.76	26.86	0.0	9.63	186.4	9.06	6.11	6.57
CXCR3	571.05	417.77	249.73	77.79	947.83	480.04	285.03	102.97	123.5	476.71	63.0	529.06	172.65	2.29	14.67	16.03	12.09	11.55	23.76	52.08	2.92	20.41	2.1	435.55	693.58	1127.35	708.18	1313.23	8.19	37.32	71.5	11.91	244.57	14.45	4.58
CXCR6	616.37	525.39	417.77	194.36	435.55	518.15	65.72	102.25	108.9	947.83	120.94	1685.71	198.47	9.7	10.96	45.53	75.11	20.86	42.41	153.34	9.48	21.16	2.58	743.43	587.13	532.74	518.15	1183.45	22.1	15.56	403.5	116.78	102.25	26.86	20.71
CYBB	1378.57	1191.69	1159.07	1331.57	1529.73	2018.8	37.05	514.56	389.72	651.58	591.22	1883.54	417.77	32.82	50.27	133.36	96.01	80.57	150.17	476.71	10.16	73.54	10.24	1498.22	1540.37	2224.63	1487.87	5292.48	808.0	47.5	34.75	138.1	125.24	71.0	56.68
CYTH4	780.44	376.41	591.22	314.17	1088.92	507.46	44.89	182.55	269.6	454.09	271.48	543.96	348.71	40.64	29.27	106.63	96.01	59.97	131.51	318.57	29.7	117.6	6.36	480.04	500.46	967.76	884.29	669.92	146.03	17.0	69.03	59.97	114.36	29.27	20.26
CYTIP	954.43	825.0	271.48	297.17	2485.67	1001.93	67.59	397.93	108.9	483.38	205.5	2004.85	154.42	11.73	27.25	34.75	33.06	14.24	27.05	90.77	11.21	55.1	12.09	902.89	603.67	571.05	819.3	842.36	68.07	19.82	61.25	46.18	58.3	23.93	18.97
DOCK2	583.07	493.56	395.18	291.04	1594.73	718.08	29.91	289.02	195.72	381.68	208.38	884.29	201.25	19.97	17.64	62.56	56.28	32.13	38.4	114.36	12.55	94.67	9.7	808.0	738.29	1015.93	1037.29	1685.71	144.01	29.7	94.01	76.17	109.66	16.63	22.75
DOK2	1467.37	414.87	363.56	356.05	808.0	656.11	51.35	301.33	343.89	872.1	187.71	708.18	490.14	39.22	19.25	125.24	80.57	78.34	120.1	325.29	36.01	89.51	7.34	583.07	723.08	660.68	928.3	3491.39	753.83	53.57	104.42	147.06	96.01	87.03	59.97
EOMES	105.89	81.14	47.84	28.65	460.44	139.07	5.06	23.76	56.68	87.65	11.13	397.93	80.57	6.06	0.58	7.94	5.77	2.32	9.13	26.86	4.9	4.58	0.43	142.01	242.88	718.08	175.07	80.01	3.06	3.99	6.01	6.78	34.51	3.89	3.17
EVI2B	674.59	1175.27	583.07	532.74	4704.07	1769.57	41.52	379.04	325.29	591.22	376.41	1950.0	220.32	46.18	37.05	134.3	124.37	76.17	92.7	329.84	39.22	133.36	13.83	1313.23	1313.23	2061.24	1359.57	2875.3	525.39	14.24	55.1	149.12	91.41	41.22	31.67
FAM26F	3742.05	1340.84	1313.23	1233.75	1639.59	3168.41	173.85	559.28	438.59	2855.44	1225.22	2720.15	1008.9	35.76	39.22	128.79	264.03	120.1	141.02	669.92	26.28	71.0	31.0	3039.3	2193.99	4298.64	1359.57	2417.67	684.02	48.87	220.32	175.07	140.04	11.73	75.11
FCGRT	3874.05	2997.45	2645.74	1350.18	3742.05	3690.52	384.34	2400.97	1977.24	3564.78	1781.89	3614.55	1757.34	463.65	2777.33	1923.14	842.36	842.36	1639.59	2240.11	486.75	988.12	599.49	2434.5	2303.12	4512.4	5147.73	16269.83	2956.17	376.41	759.08	1030.12	703.28	559.28	620.67
FERMT3	2502.97	1457.23	1487.87	896.64	3190.46	1781.89	65.72	713.11	934.76	1583.71	791.35	1857.6	941.27	105.89	108.9	228.13	166.73	130.6	262.2	591.22	102.25	215.77	30.34	1651.0	2163.77	1991.0	2384.37	2485.67	660.68	77.25	127.0	265.87	275.28	75.64	62.56
FGD3	387.02	269.6	299.25	173.85	1208.34	356.05	241.19	173.85	149.12	256.78	97.36	507.46	211.31	60.39	78.34	140.04	102.97	127.0	92.05	205.5	30.34	152.28	72.01	373.81	323.03	371.22	669.92	1015.93	100.13	84.63	127.0	158.79	92.05	61.25	45.53
FUT7	98.73	64.34	32.82	30.78	100.83	117.6	2.05	61.25	18.84	80.57	18.97	45.53	64.8	0.68	0.42	2.29	3.06	2.46	3.72	10.31	2.39	9.27	1.64	79.45	127.89	22.1	116.78	51.71	28.24	28.65	47.5	18.56	42.71	7.06	7.75
GHRL	32.13	45.53	11.47	37.05	185.11	162.14	1.41	24.81	21.78	30.78	33.78	35.25	12.64	0.0	0.0	1.17	0.0	0.0	0.0	0.04	1.13	1.79	0.0	38.67	41.22	45.85	119.26	87.03	0.0	0.73	5.41	13.42	8.78	16.15	2.16
GIMAP1	209.84	139.07	123.5	81.71	559.28	269.6	19.11	63.89	73.03	129.69	48.18	164.42	84.63	23.42	23.59	68.55	57.08	42.11	47.5	85.82	32.82	47.17	6.26	209.84	178.77	287.01	325.29	551.56	53.57	39.22	56.68	43.32	23.08	17.64	41.22
GIMAP2	470.14	447.82	389.72	332.14	1617.0	890.44	34.26	155.5	164.42	473.41	287.01	642.59	134.3	39.22	71.0	100.13	102.25	82.87	101.54	206.94	42.71	82.29	37.85	738.29	511.0	1216.75	759.08	1844.76	297.17	27.25	84.04	111.99	23.59	24.46	47.17
GIMAP4	1605.83	1651.0	1477.58	759.08	6121.9	2018.8	113.56	438.59	518.15	988.12	579.04	1923.14	547.75	132.44	145.02	285.03	267.73	197.09	256.78	713.11	129.69	223.41	48.18	1794.29	1685.71	3928.15	1857.6	2720.15	316.37	323.03	314.17	232.94	144.01	88.26	277.2
GIMAP5	1923.14	1119.56	1250.98	748.61	3901.01	1605.83	61.25	403.5	503.95	1447.15	373.81	1378.57	642.59	96.68	114.36	269.6	190.34	133.36	205.5	514.56	186.4	218.79	44.57	1896.65	1359.57	2627.46	2004.85	2287.2	460.44	297.17	332.14	412.0	197.09	89.51	295.11
GIMAP6	353.59	336.79	417.77	202.66	1015.93	698.41	54.33	118.43	164.42	299.25	137.14	525.39	148.09	38.95	50.63	144.01	98.73	76.17	111.99	159.9	63.89	67.59	16.88	647.07	616.37	1250.98	743.43	1721.16	264.03	140.04	92.05	167.9	149.12	77.25	113.56
GIMAP7	890.44	884.29	703.28	348.71	5366.37	1529.73	71.0	251.48	309.83	728.11	185.11	1183.45	293.07	65.72	120.94	221.86	215.77	135.24	164.42	463.65	115.97	140.04	34.02	1508.65	934.76	2224.63	1437.15	2163.77	327.56	109.66	185.11	325.29	88.88	142.01	258.57
GNGT2	314.17	279.14	141.02	127.89	332.14	234.57	17.64	173.85	101.54	291.04	152.28	325.29	139.07	28.24	13.93	29.27	60.39	27.84	60.82	136.19	10.16	33.3	28.24	323.03	301.33	348.71	242.88	412.0	157.68	30.12	113.56	86.43	28.24	38.4	25.72
GPSM3	1896.65	1508.65	1030.12	599.49	4836.35	2271.4	193.01	693.58	633.73	1151.06	571.05	1745.2	536.45	112.77	133.36	244.57	173.85	154.42	236.21	665.29	77.25	287.01	66.65	1709.26	1583.71	2209.26	2384.37	3955.48	830.75	105.89	156.59	251.48	236.21	112.77	117.6
GZMK	1159.07	473.41	182.55	97.36	4639.29	1127.35	93.35	277.2	253.23	575.03	86.43	2104.58	318.57	1.58	3.11	17.0	21.94	3.08	7.46	62.56	6.67	23.42	0.0	647.07	612.11	4972.34	842.36	1175.27	55.1	33.06	86.43	92.05	223.41	38.95	12.0
GZMM	638.15	194.36	96.01	40.36	1151.06	511.0	275.28	133.36	77.79	503.95	40.93	460.44	111.99	5.11	4.7	21.63	17.25	5.96	15.68	81.71	3.86	26.47	1.45	332.14	423.61	208.38	651.58	228.13	6.26	10.96	205.5	21.47	224.97	9.06	26.86
HCST	4123.49	1617.0	2047.0	1081.39	4736.79	2997.45	170.25	981.29	1088.92	2956.17	954.43	3564.78	1639.59	48.52	62.12	211.31	166.73	125.24	189.02	819.3	68.07	234.57	40.36	1991.0	2645.74	3820.7	2816.11	3060.45	1143.1	173.85	271.48	198.47	563.18	77.25	220.32
HLA-DMB	5403.7	5112.16	3690.52	2956.17	7382.04	6294.04	438.59	2701.35	1870.53	4298.64	2148.82	7803.01	1242.34	189.02	186.4	493.56	366.09	363.56	432.53	1119.56	100.13	400.71	58.71	3955.48	4481.23	6516.03	7589.61	9740.98	2627.46	759.08	651.58	896.64	728.11	291.04	215.77
HMHA1	2335.28	884.29	551.56	389.72	3589.58	1322.37	256.78	688.78	497.0	1015.93	470.14	1277.29	836.53	400.71	307.69	406.31	435.55	197.09	438.59	748.61	218.79	395.18	214.27	1268.46	1119.56	1551.09	2701.35	1936.53	229.72	279.14	218.79	205.5	376.41	146.03	156.59
ICAM1	4358.66	1896.65	3257.52	1909.85	1268.46	1674.06	173.85	808.0	429.54	5112.16	1628.26	1447.15	1313.23	223.41	169.07	420.68	356.05	186.4	728.11	1023.0	194.36	197.09	98.04	5255.91	2032.85	3325.99	3303.0	4802.93	473.41	265.87	954.43	435.55	587.13	336.79	343.89
ICOS	154.42	121.79	151.22	81.14	397.93	214.27	10.0	31.9	28.86	175.07	31.67	209.84	36.53	4.98	2.58	8.92	9.85	3.69	8.38	70.51	0.32	4.7	1.04	205.5	228.13	157.68	142.01	217.27	0.68	46.84	62.12	6.62	9.2	3.14	3.38
IGFLR1	2758.13	1119.56	842.36	563.18	1870.53	1313.23	120.1	1111.82	785.88	1519.15	656.11	1350.18	1159.07	297.17	148.09	189.02	172.65	170.25	208.38	679.29	111.21	186.4	111.21	1059.11	1295.13	1175.27	2178.83	1519.15	171.45	37.05	94.01	129.69	204.07	68.55	57.49
IGSF6	693.58	536.45	236.21	521.76	624.99	878.17	150.17	199.85	301.33	384.34	334.46	1685.71	307.69	26.67	15.91	67.12	55.1	54.72	79.45	214.27	9.63	38.67	8.45	1639.59	1427.22	743.43	981.29	2555.58	603.67	38.12	46.5	134.3	72.52	42.11	14.56
IKZF1	215.77	366.09	277.2	171.45	1883.54	555.41	36.01	141.02	100.83	176.29	146.03	595.34	77.79	17.0	17.51	61.68	55.89	24.46	27.84	106.63	17.77	68.07	2.97	642.59	616.37	693.58	493.56	1023.0	46.5	7.11	56.68	27.84	41.81	17.77	3.82
IL10RA	775.05	647.07	529.06	457.25	1896.65	974.5	67.12	400.71	323.03	616.37	236.21	1551.09	395.18	67.12	38.4	198.47	128.79	92.05	153.34	460.44	53.57	211.31	28.04	1001.93	808.0	2351.53	1135.2	3395.89	190.34	40.36	131.51	149.12	79.45	68.07	22.92
IL21R	563.18	299.25	255.0	169.07	518.15	384.34	12.09	81.14	59.55	241.19	84.04	271.48	126.12	4.13	1.31	13.62	12.45	9.13	21.16	65.72	1.5	24.99	8.19	429.54	400.71	444.72	525.39	190.34	31.0	12.83	82.87	6.26	72.01	10.88	6.57
