	TCGA.XF.AAME.01A.12R.A42T.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A43C.01A.11R.A24K.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.R6.A6Y2.01B.11R.A336.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.38.4625.01A.01R.1206.07	TCGA.60.2715.01A.01R.0851.07	TCGA.56.8628.01A.11R.2403.07	TCGA.34.7107.11A.01R.1949.07	TCGA.77.8008.11A.01R.2187.07	GTEX.13VXT.1726.SM.5IFF5	GTEX.13OVL.2926.SM.5IFG3	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.D7.6518.01A.11R.1802.13
CXCL1	3515.68	343.89	53973.86	120.1	1870.53	14765.09	392.44	251.48	26986.43	17.13	8363.13	194.36	12.83	125.24	389.72	0.0	1059.11	665.29	2627.46	1896.65	102.25	100.83	15.11	738.29	579.04	147.06	318.57	2163.77
CXCL6	1081.39	100.83	9808.75	15.0	41.81	1651.0	61.25	43.02	2240.11	8.51	785.88	26.67	1.06	17.13	299.25	0.0	156.59	253.23	68.07	141.02	21.94	16.39	0.0	116.78	37.59	24.11	36.53	260.38
CXorf36	412.0	34.26	384.34	151.22	176.29	297.17	191.67	145.02	339.14	96.68	169.07	68.55	23.76	18.84	780.44	0.0	264.03	148.09	507.46	483.38	40.64	13.12	123.5	74.06	40.36	52.08	56.28	361.04
CYBA	11345.82	3467.27	9344.14	3018.3	7382.04	10368.08	2816.11	2032.85	7280.4	2104.58	3190.46	1883.54	3212.66	3820.7	7695.57	0.0	7589.61	7230.1	10883.59	8718.32	1199.98	1313.23	988.12	2935.74	3589.58	1359.57	1250.98	7433.4
CYGB	1159.07	58.3	2075.59	460.44	460.44	1277.29	389.72	191.67	1407.55	109.66	403.5	103.69	22.59	42.71	1119.56	0.0	698.41	559.28	1008.9	693.58	37.05	50.98	91.41	80.57	58.71	69.03	76.17	2468.49
DDAH2	1950.0	819.3	2271.4	2133.97	2384.37	3847.29	1769.57	1225.22	4210.15	1628.26	3443.31	1295.13	1015.93	921.88	2163.77	0.0	2090.03	2163.77	2240.11	2451.44	947.83	1159.07	2609.3	1104.13	1794.29	961.07	1639.59	4575.41
DYSF	525.39	51.71	1023.0	212.78	198.47	693.58	336.79	102.25	1508.65	58.71	551.56	145.02	12.0	18.7	921.88	0.0	473.41	318.57	1104.13	563.18	20.26	31.67	162.14	113.56	80.01	96.01	67.12	759.08
EBF2	33.78	0.0	46.18	9.7	19.97	65.26	76.71	11.82	44.57	6.26	29.7	2.32	1.16	0.65	102.97	0.0	13.32	4.03	9.78	32.13	4.06	0.65	11.13	3.66	6.67	2.14	4.21	39.79
EGFL7	2178.83	156.59	2255.7	1286.18	1059.11	3257.52	1159.07	890.44	1551.09	866.07	1304.15	493.56	236.21	248.0	1605.83	0.0	1923.14	1819.35	1757.34	5517.27	195.72	368.65	521.76	244.57	376.41	186.4	253.23	1388.16
ELTD1	595.34	38.12	543.96	134.3	193.01	392.44	297.17	152.28	511.0	80.01	212.78	60.39	46.84	13.72	1331.57	0.0	260.38	155.5	836.53	769.69	66.65	16.51	88.88	59.97	52.45	34.51	54.72	463.65
EMP3	3491.39	232.94	8479.89	921.88	1697.45	4704.07	1066.48	1721.16	3212.66	409.15	780.44	674.59	373.81	693.58	6516.03	0.0	2451.44	3820.7	4937.99	7433.4	343.89	297.17	1572.76	473.41	825.0	486.75	532.74	3820.7
ENG	3018.3	503.95	6294.04	1733.13	2075.59	4298.64	1883.54	1268.46	7331.05	1015.93	2895.31	748.61	129.69	281.09	5831.91	743.43	3419.52	2720.15	7589.61	7230.1	199.85	145.02	819.3	928.3	339.14	334.46	450.94	6037.61
ERG	244.57	22.92	249.73	130.6	110.43	180.02	164.42	154.42	255.0	73.03	138.1	77.25	36.27	26.28	647.07	0.0	392.44	305.55	728.11	769.69	39.22	22.26	139.07	81.14	63.45	60.39	82.29	414.87
EXOC3L1	100.83	145.02	124.37	61.68	74.58	221.86	64.8	46.84	105.15	61.25	117.6	49.91	24.46	34.26	220.32	0.0	167.9	140.04	223.41	152.28	34.02	25.91	52.08	43.02	14.67	24.63	20.11	204.07
EXOC3L2	137.14	97.36	158.79	46.5	109.66	242.88	75.11	41.52	251.48	44.25	185.11	16.63	4.58	12.36	647.07	0.0	149.12	104.42	267.73	116.78	4.94	28.45	24.11	29.06	12.55	13.93	26.28	353.59
FAM101B	258.57	16.88	961.07	65.26	93.35	563.18	147.06	129.69	808.0	33.3	237.86	32.82	19.53	51.71	791.35	56.68	368.65	253.23	559.28	417.77	24.81	27.05	52.08	47.5	40.64	25.35	48.18	353.59
FAM162B	117.6	18.97	99.43	94.01	96.01	260.38	78.89	54.72	139.07	79.45	197.09	53.57	18.97	2.51	81.71	0.0	117.6	102.97	281.09	341.51	2.46	2.58	12.83	12.0	10.63	8.65	6.41	87.03
FAM167B	629.35	226.54	878.17	135.24	251.48	1286.18	182.55	84.63	780.44	59.13	426.57	43.32	8.13	9.27	1073.91	0.0	460.44	323.03	718.08	500.46	16.15	40.07	16.51	48.18	48.52	26.28	16.27	1143.1
FAM26E	47.5	1.35	62.56	18.16	14.45	63.45	31.45	11.64	89.51	6.84	8.92	6.01	2.78	1.38	51.71	0.0	44.89	20.56	43.63	38.67	1.46	0.97	26.1	11.82	3.72	9.34	7.11	90.77
FKBP1A	7280.4	4903.87	7642.41	6840.04	5791.62	11745.96	5555.65	6037.61	9540.5	6164.49	6561.36	5329.3	3955.48	4066.71	7803.01	0.0	9409.14	7433.4	7642.41	9088.59	2664.15	2976.74	8078.22	5219.6	5041.77	4481.23	5147.73	9876.98
FLT4	103.69	21.47	297.17	132.44	113.56	204.07	135.24	94.01	307.69	49.21	183.82	76.17	15.22	10.79	543.96	0.0	303.44	194.36	426.57	395.18	15.91	15.0	139.07	31.22	23.59	29.48	37.05	231.32
FOXS1	159.9	27.44	409.15	80.57	65.26	525.39	129.69	26.67	961.07	68.55	169.07	17.0	1.77	4.06	231.32	0.0	159.9	170.25	32.59	105.89	6.94	16.03	21.01	4.03	30.56	7.4	7.06	1104.13
FXYD5	6983.79	4095.0	10296.45	5219.6	6516.03	12244.81	3395.89	12502.12	6745.86	3491.39	5594.3	2956.17	1208.34	2855.44	6426.31	0.0	5292.48	4328.55	8479.89	4358.66	457.25	551.56	2895.31	1350.18	1870.53	1037.29	2502.97	6164.49
GABRD	22.75	28.45	47.17	31.9	35.25	171.45	28.65	6.89	94.67	13.32	95.34	3.11	1.43	3.76	269.6	0.0	24.11	22.26	39.22	19.68	0.68	0.57	22.59	0.0	0.85	4.1	3.92	76.71
GIPC3	65.26	5.87	303.44	55.1	57.08	151.22	60.39	21.32	575.03	40.93	99.43	45.53	0.56	3.35	217.27	0.0	85.22	50.98	124.37	124.37	2.92	3.32	13.62	5.92	5.32	4.7	2.63	131.51
GJA4	934.76	64.8	1313.23	301.33	470.14	1143.1	514.56	147.06	1733.13	195.72	454.09	185.11	77.79	77.25	2075.59	0.0	647.07	368.65	941.27	1059.11	71.5	19.11	91.41	147.06	70.51	68.07	53.95	1304.15
GNAI2	6840.04	4972.34	12329.98	5292.48	5555.65	6935.54	5292.48	4181.07	10959.3	5041.77	6561.36	4298.64	1745.2	2664.15	8191.0	0.0	7280.4	6294.04	10808.41	9409.14	1295.13	1331.57	3768.09	2796.65	5041.77	2434.5	3103.19	12329.98
GNG2	387.02	29.48	529.06	92.05	218.79	358.54	140.04	108.9	334.46	37.05	85.22	99.43	33.54	63.89	518.15	103.69	297.17	277.2	547.75	540.19	40.36	59.13	148.09	104.42	43.94	58.71	36.01	320.8
GPR116	329.84	34.26	902.89	114.36	154.42	587.13	346.29	116.78	866.07	69.52	283.05	57.49	22.43	7.69	1721.16	0.0	878.17	532.74	2895.31	2224.63	62.12	18.97	96.68	96.68	11.73	35.76	44.25	476.71
GPR4	127.89	32.36	559.28	60.82	88.26	366.09	118.43	69.52	426.57	19.97	148.09	19.39	2.41	5.59	878.17	0.0	249.73	194.36	521.76	848.22	10.31	4.98	28.24	27.25	21.16	14.78	34.26	463.65
GPR84	59.97	19.97	339.14	13.32	16.63	70.51	22.1	24.46	376.41	15.11	52.82	12.18	4.98	17.9	117.6	0.0	77.25	182.55	73.54	83.45	3.5	1.13	8.65	18.7	15.34	11.55	16.03	50.63
GUCY1B3	289.02	6.26	1191.69	162.14	138.1	348.71	277.2	122.64	909.17	54.33	97.36	74.58	16.75	14.78	872.1	0.0	406.31	212.78	368.65	457.25	32.36	15.56	24.11	9.13	11.38	12.45	6.73	954.43
HEYL	389.72	23.25	525.39	106.63	79.45	287.01	122.64	43.32	660.68	11.73	56.68	18.56	2.94	14.35	974.5	0.0	429.54	273.37	540.19	490.14	6.21	8.19	29.48	20.26	23.25	17.0	13.72	1037.29
HIC1	351.14	36.01	928.3	151.22	231.32	346.29	239.52	127.0	536.45	36.79	135.24	101.54	9.2	21.78	343.89	0.0	316.37	248.0	334.46	450.94	15.0	23.25	45.53	22.43	17.13	21.16	10.55	1023.0
HIGD1B	271.48	63.0	301.33	90.14	131.51	514.56	149.12	108.14	248.0	159.9	164.42	77.25	12.64	12.09	607.87	0.0	447.82	246.28	915.51	780.44	21.47	15.22	38.95	31.0	18.97	41.22	24.46	206.94
HLX	299.25	80.57	1023.0	115.97	104.42	363.56	343.89	58.71	733.19	69.03	236.21	57.49	13.22	38.12	854.13	113.56	454.09	239.52	775.05	595.34	17.51	35.25	58.3	46.5	40.07	22.43	41.22	373.81
HSPA12B	341.51	12.18	381.68	130.6	145.02	301.33	166.73	81.14	417.77	72.52	138.1	31.67	10.63	8.58	183.82	0.0	299.25	248.0	379.04	409.15	15.8	12.09	78.34	25.72	31.0	35.25	40.36	295.11
IGFBP7	19892.37	2555.58	26067.14	7130.55	5479.15	30785.28	8191.0	3589.58	28525.2	1745.2	6426.31	1685.71	988.12	684.02	46019.85	0.0	11112.3	12160.22	15715.58	15285.81	454.09	518.15	1457.23	2520.38	1487.87	713.11	1322.37	52863.07
IL3RA	170.25	47.17	483.38	63.45	118.43	150.17	85.22	49.21	318.57	34.02	105.15	59.55	17.51	23.42	320.8	0.0	204.07	150.17	454.09	503.95	9.93	18.03	46.84	48.18	28.24	19.53	35.0	273.37
KCNJ8	395.18	13.72	1225.22	147.06	113.56	255.0	163.28	87.03	420.68	20.26	59.13	32.59	18.84	2.61	902.89	0.0	309.83	156.59	297.17	356.05	9.56	3.47	25.91	17.0	12.18	10.0	10.39	493.56
KDR	218.79	96.01	358.54	84.04	125.24	297.17	183.82	83.45	674.59	63.89	260.38	88.88	22.26	16.51	1216.75	0.0	373.81	215.77	718.08	679.29	41.52	30.34	58.3	66.18	31.45	26.86	19.82	503.95
KRT4	1733.13	3.697379928E7	0.0	1.810644424E7	2263304.65	1100706.72	1545882.32	6140819.49	587.13	2.276004283E7	3359929.59	3.109113511E7	951601.81	475800.4	1.64	0.0	31.45	191.67	267.73	559.28	20170.07	27745.15	2.900905474E7	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	2.29
LAMA4	1111.82	18.16	7230.1	497.0	660.68	3212.66	1745.2	624.99	6887.62	136.19	775.05	329.84	38.67	33.06	1572.76	0.0	1044.52	607.87	1709.26	1697.45	37.05	109.66	460.44	117.6	108.9	45.53	63.0	2018.8
LGALS1	41763.8	3039.3	109455.64	12076.21	8840.04	84109.6	10733.74	8305.36	69271.73	3564.78	9409.14	5672.41	3146.52	2047.0	55877.28	0.0	28525.2	25354.3	31215.04	31215.04	1991.0	6121.9	8901.53	4671.57	6561.36	2956.17	2255.7	45072.75
LHFP	1199.98	147.06	1059.11	674.59	460.44	769.69	529.06	409.15	947.83	182.55	339.14	262.2	130.6	51.71	2061.24	226.54	1008.9	669.92	1498.22	1639.59	89.51	78.89	329.84	368.65	113.56	130.6	239.52	2384.37
LOXL2	723.08	35.5	8421.31	127.0	384.34	2018.8	314.17	158.79	8078.22	38.12	420.68	46.18	8.45	10.79	6471.02	0.0	651.58	616.37	490.14	490.14	4.66	12.64	68.07	85.82	23.08	26.67	27.05	1617.0
MCHR1	13.22	2.89	22.75	0.69	2.92	9.85	6.16	4.98	22.1	5.54	6.67	5.82	3.23	0.0	121.79	0.0	42.11	21.63	52.08	26.86	0.0	0.0	0.0	1.75	3.76	0.0	5.41	7.82
MMP14	7331.05	1519.15	13033.07	4298.64	3716.2	5517.27	4736.79	6561.36	11664.82	4268.94	5183.54	2485.67	759.08	1447.15	8022.41	3874.05	6471.02	9025.81	6652.97	3103.19	684.02	473.41	1277.29	2591.27	2047.0	2148.82	2796.65	4512.4
NFE2	35.0	7.11	36.27	6.67	7.94	33.78	8.25	3.86	253.23	2.68	6.16	3.2	0.0	0.51	28.86	0.0	94.67	55.49	134.3	264.03	1.1	0.01	0.0	7.63	6.62	0.87	8.38	8.25
NFKBIE	414.87	395.18	507.46	147.06	291.04	532.74	162.14	212.78	316.37	89.51	242.88	129.69	70.01	217.27	708.18	0.0	444.72	551.56	563.18	616.37	94.67	92.7	53.57	255.0	215.77	141.02	149.12	473.41
NOTCH4	503.95	152.28	669.92	236.21	221.86	454.09	325.29	176.29	490.14	145.02	373.81	158.79	14.14	38.95	1135.2	82.29	559.28	525.39	775.05	1111.82	64.8	40.93	157.68	88.88	58.3	72.01	59.13	607.87
NOVA2	59.97	1.77	120.94	33.3	30.56	124.37	52.08	28.04	114.36	20.86	64.8	9.48	2.48	1.89	158.79	0.0	111.21	50.98	130.6	155.5	6.01	3.0	18.43	8.71	4.24	4.74	11.04	120.94
NTNG2	52.08	5.82	80.57	17.38	38.12	60.39	17.0	5.63	84.63	9.2	7.51	16.51	0.89	1.62	29.06	0.0	54.72	36.79	39.5	35.76	2.36	0.17	6.89	11.73	3.53	1.81	3.2	44.89
P2RY6	151.22	58.71	759.08	70.01	92.7	473.41	92.05	68.55	579.04	46.84	158.79	27.44	8.19	48.18	208.38	0.0	309.83	297.17	143.01	154.42	32.36	13.42	42.11	86.43	129.69	25.54	62.56	409.15
PARVA	1119.56	329.84	1757.34	1066.48	780.44	1151.06	518.15	665.29	2047.0	406.31	511.0	567.1	281.09	463.65	1639.59	0.0	1059.11	703.28	1304.15	1331.57	438.59	450.94	237.86	684.02	208.38	381.68	229.72	2319.15
PCDH12	158.79	40.64	158.79	29.48	31.9	131.51	66.18	30.34	215.77	13.03	84.63	15.11	4.24	6.78	351.14	0.0	209.84	148.09	255.0	307.69	10.16	7.82	20.41	21.01	12.83	8.65	6.57	224.97
PCDH17	80.57	16.03	190.34	21.63	42.11	141.02	72.01	33.3	171.45	17.25	68.07	12.09	1.87	0.93	289.02	38.67	256.78	190.34	620.67	525.39	5.19	0.92	4.5	5.32	6.36	0.89	2.92	249.73
PDGFB	348.71	90.77	1066.48	115.16	103.69	934.76	269.6	105.15	1242.34	94.01	381.68	57.49	32.13	57.89	878.17	0.0	381.68	616.37	339.14	1111.82	39.22	116.78	53.95	224.97	32.36	112.77	21.32	860.08
PGLYRP1	24.99	0.0	50.63	2.1	5.45	33.06	0.71	0.12	127.89	0.19	9.85	0.44	0.0	0.0	1.53	0.0	11.3	12.36	48.87	3.03	1.48	0.0	0.0	2.84	0.99	0.0	4.03	4.1
PLVAP	3820.7	1088.92	3901.01	1066.48	2004.85	4836.35	1963.57	693.58	4388.98	665.29	2163.77	728.11	190.34	195.72	13306.94	0.0	2104.58	1183.45	4481.23	2271.4	376.41	223.41	738.29	1143.1	371.22	206.94	679.29	10084.54
PLXND1	4210.15	223.41	4239.45	1407.55	1225.22	2609.3	1832.01	981.29	5292.48	723.08	1819.35	417.77	84.63	195.72	5041.77	0.0	4095.0	2720.15	5479.15	4095.0	181.28	166.73	669.92	503.95	260.38	314.17	366.09	2976.74
PTGIR	79.45	23.59	1322.37	68.55	97.36	409.15	85.82	37.59	802.41	18.43	123.5	12.93	4.13	4.74	164.42	0.0	363.56	320.8	387.02	1977.24	4.28	5.23	15.56	14.56	24.99	9.2	14.14	343.89
RAB13	5791.62	3060.45	5872.48	2682.69	2367.9	5751.61	2645.74	2720.15	3982.99	2351.53	3146.52	2384.37	2104.58	2502.97	4869.99	0.0	4181.07	3589.58	3665.02	3280.18	1909.85	2209.26	1963.57	2148.82	2384.37	2303.12	2485.67	3901.01
RAMP2	2367.9	387.02	2287.2	1015.93	1233.75	3768.09	1073.91	684.02	2240.11	486.75	1135.2	358.54	234.57	214.27	2835.7	0.0	2335.28	1388.16	4152.18	3768.09	265.87	155.5	551.56	540.19	251.48	356.05	525.39	4328.55
RARA	825.0	417.77	633.73	409.15	575.03	1540.37	348.71	356.05	890.44	135.24	291.04	228.13	96.68	244.57	1015.93	0.0	934.76	769.69	1662.49	1709.26	180.02	145.02	325.29	320.8	236.21	271.48	253.23	1286.18
RFTN1	1059.11	35.5	1359.57	514.56	1183.45	733.19	819.3	251.48	1127.35	128.79	291.04	438.59	35.76	93.35	954.43	0.0	728.11	612.11	1369.04	1313.23	65.72	65.26	237.86	148.09	201.25	96.68	104.42	1397.83
RHOJ	389.72	24.46	587.13	154.42	173.85	205.5	191.67	126.12	536.45	68.55	204.07	108.9	54.33	25.35	490.14	54.72	406.31	169.07	688.78	665.29	106.63	53.19	108.14	58.71	19.39	30.78	18.16	543.96
RIN3	567.1	48.52	902.89	507.46	329.84	444.72	507.46	361.04	571.05	389.72	532.74	275.28	103.69	176.29	591.22	0.0	591.22	466.88	808.0	753.83	40.36	52.82	105.89	208.38	138.1	204.07	154.42	525.39
SAMD14	90.77	4.94	316.37	30.78	73.03	189.02	29.06	7.22	329.84	9.27	48.87	27.64	0.48	4.39	260.38	0.0	185.11	135.24	92.7	155.5	0.82	2.66	10.16	8.71	7.28	3.2	4.66	361.04
SEMA6B	432.53	40.07	633.73	92.05	191.67	258.57	128.79	60.82	540.19	54.33	195.72	48.87	15.0	38.12	579.04	0.0	406.31	214.27	688.78	819.3	36.01	10.96	52.45	65.26	67.59	29.27	52.08	629.35
SEPT4	406.31	30.78	500.46	226.54	162.14	607.87	239.52	139.07	660.68	256.78	218.79	150.17	17.13	31.9	1313.23	0.0	603.67	438.59	1066.48	909.17	70.01	63.0	127.89	68.07	67.59	58.71	35.0	934.76
SGIP1	70.01	10.24	836.53	21.94	30.56	387.02	108.9	28.86	201.25	48.18	26.67	13.03	1.81	0.77	186.4	27.84	148.09	62.12	116.78	150.17	2.41	7.34	8.25	5.82	10.08	0.89	1.1	260.38
SH2D3C	441.64	67.12	397.93	161.02	273.37	432.53	195.72	156.59	483.38	83.45	209.84	133.36	26.28	70.51	555.41	0.0	684.02	493.56	813.63	1331.57	50.27	20.56	127.89	74.58	76.71	51.35	62.12	583.07
SNAI1	191.67	34.26	769.69	59.55	111.99	264.03	98.04	50.27	738.29	21.16	131.51	43.32	7.4	9.34	540.19	0.0	314.17	220.32	1199.98	638.15	15.34	32.13	21.63	43.32	35.25	10.16	27.44	301.33
SOX18	536.45	307.69	941.27	283.05	490.14	1963.57	660.68	483.38	1757.34	376.41	860.08	414.87	21.47	83.45	896.64	0.0	438.59	429.54	332.14	1183.45	23.76	50.63	81.14	117.6	94.67	84.63	111.21	1936.53
STK32C	332.14	82.29	283.05	161.02	343.89	447.82	136.19	183.82	403.5	129.69	159.9	218.79	95.34	102.97	412.0	0.0	223.41	147.06	236.21	241.19	115.16	197.09	111.99	108.14	47.84	82.29	101.54	199.85
SYDE1	346.29	7.06	2303.12	239.52	170.25	493.56	279.14	138.1	1685.71	68.07	379.04	100.13	23.42	18.84	836.53	0.0	356.05	212.78	334.46	511.0	13.62	16.03	47.5	63.89	44.57	35.25	50.98	988.12
TBX2	529.06	29.06	884.29	299.25	339.14	1216.75	341.51	127.89	1685.71	115.97	334.46	127.0	0.75	12.74	728.11	0.0	802.41	583.07	1059.11	1697.45	19.39	9.13	74.06	22.26	35.25	15.45	27.25	902.89
TDO2	325.29	37.59	1437.15	24.28	24.46	384.34	33.54	72.01	78.89	9.27	103.69	9.34	0.51	14.35	96.01	0.0	387.02	181.28	429.54	647.07	23.76	8.19	3.89	17.38	0.78	7.17	0.0	107.38
THY1	7382.04	764.36	7485.11	1191.69	693.58	6037.61	1340.84	329.84	6426.31	87.65	642.59	183.82	53.95	78.89	7589.61	0.0	7749.1	2485.67	3742.05	5913.33	21.32	201.25	698.41	329.84	177.53	194.36	84.04	10733.74
TIE1	703.28	72.01	961.07	307.69	273.37	656.11	384.34	212.78	842.36	127.0	332.14	124.37	38.12	26.28	1030.12	0.0	819.3	599.49	1498.22	1322.37	37.85	34.26	228.13	105.15	55.1	80.01	62.12	1059.11
TMEM173	1781.89	2224.63	3018.3	1651.0	1467.37	3419.52	1745.2	1417.35	2133.97	1233.75	2895.31	967.76	738.29	1991.0	2255.7	0.0	2133.97	3060.45	3146.52	5255.91	303.44	395.18	1216.75	1697.45	1175.27	775.05	1001.93	2976.74
