	GTEX.12WSI.0826.SM.5EGKD	GTEX.13D11.0326.SM.5LZXX	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.144GN.0426.SM.5O9AP	GTEX.12584.1426.SM.5EGJ9	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.13O3Q.0526.SM.5KM18	GTEX.ZUA1.1026.SM.4YCEA	GTEX.146FQ.0926.SM.5LUAV	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.RTLS.0926.SM.2TF5X	GTEX.S7SF.0426.SM.3K2B7	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.XOT4.1426.SM.4B65T	GTEX.WYVS.0526.SM.3NM9W
C16orf91	275.28	500.46	215.77	728.11	389.72	172.65	133.36	470.14	368.65	381.68	457.25	283.05	151.22	137.14	169.07	176.29	312.0	329.84	403.5	438.59	525.39	351.14	171.45	108.9	486.75	204.07	127.89	409.15	249.73	599.49	209.84	559.28	447.82	102.97	466.88
C1orf109	287.01	248.0	260.38	536.45	226.54	98.04	120.94	334.46	236.21	267.73	371.22	287.01	251.48	80.01	87.65	183.82	293.07	249.73	417.77	275.28	525.39	256.78	149.12	162.14	429.54	139.07	109.66	221.86	264.03	265.87	204.07	429.54	426.57	98.04	277.2
CDC123	1023.0	1977.24	693.58	1857.6	2090.03	363.56	575.03	1259.69	1467.37	819.3	1331.57	1059.11	624.99	309.83	343.89	423.61	1127.35	1397.83	1697.45	1313.23	1923.14	808.0	400.71	759.08	1313.23	1183.45	435.55	1378.57	669.92	1745.2	1304.15	2104.58	1477.58	432.53	1721.16
CHAC2	32.13	146.03	2.23	105.15	163.28	5.19	21.47	36.53	44.25	33.3	59.97	44.25	21.01	12.27	18.03	22.1	52.82	50.63	84.04	44.25	69.52	25.54	18.03	22.59	122.64	16.27	28.04	50.27	25.54	161.02	38.67	77.79	139.07	10.96	190.34
CHCHD1	1059.11	1477.58	429.54	1417.35	1757.34	325.29	571.05	1208.34	802.41	693.58	1427.22	802.41	348.71	536.45	483.38	620.67	1111.82	1295.13	1151.06	1044.52	961.07	1225.22	480.04	624.99	1151.06	780.44	420.68	1242.34	693.58	2384.37	813.63	1233.75	1757.34	493.56	1963.57
COX5A	5403.7	10440.2	2555.58	7230.1	9673.69	2104.58	2627.46	3614.55	5831.91	2739.08	4123.49	2976.74	2758.13	2193.99	2032.85	1540.37	4639.29	5995.9	4181.07	3467.27	3589.58	3124.78	2061.24	2875.3	5791.62	5555.65	1991.0	4450.27	1674.06	11584.24	4095.0	8078.22	6294.04	2032.85	7382.04
CREB3	995.0	1467.37	981.29	2367.9	1540.37	947.83	902.89	1259.69	1674.06	995.0	1378.57	854.13	679.29	860.08	571.05	1259.69	529.06	1457.23	1388.16	819.3	2520.38	1250.98	633.73	1001.93	1617.0	684.02	1059.11	954.43	1066.48	1519.15	759.08	1268.46	1369.04	497.0	1340.84
CYC1	1857.6	4010.71	1322.37	3540.14	3982.99	1225.22	1572.76	2400.97	3395.89	1407.55	2271.4	1769.57	1295.13	708.18	921.88	1088.92	2178.83	2148.82	1781.89	2537.92	3257.52	1628.26	884.29	909.17	2573.36	1331.57	1135.2	3212.66	1167.14	3847.29	1594.73	5112.16	3742.05	896.64	3081.75
DBI	9740.98	16496.96	4328.55	10014.87	20737.16	4575.41	4769.75	7911.95	19082.0	4095.0	9279.58	7331.05	5872.48	4607.24	4575.41	4239.45	15392.14	6294.04	18178.19	10014.87	5183.54	6471.02	3589.58	6207.38	11827.67	10154.69	5441.3	10733.74	5076.84	18431.96	10512.82	13033.07	9876.98	4066.71	17197.56
DCAF13	260.38	759.08	454.09	1001.93	647.07	215.77	193.01	309.83	674.59	447.82	420.68	283.05	140.04	108.14	177.53	178.77	251.48	368.65	514.56	351.14	1088.92	211.31	127.89	215.77	802.41	417.77	178.77	299.25	198.47	684.02	293.07	974.5	995.0	181.28	679.29
DERL2	988.12	2835.7	759.08	2090.03	2335.28	660.68	728.11	1662.49	1378.57	928.3	2148.82	1561.89	813.63	718.08	848.22	921.88	1175.27	1605.83	1572.76	1159.07	1662.49	1447.15	629.35	1225.22	1844.76	890.44	890.44	1277.29	1073.91	2956.17	1104.13	1870.53	2319.15	708.18	2384.37
DFFA	343.89	633.73	208.38	647.07	595.34	201.25	269.6	381.68	384.34	346.29	454.09	327.56	358.54	223.41	159.9	265.87	356.05	381.68	473.41	341.51	733.19	320.8	165.57	281.09	624.99	301.33	190.34	343.89	379.04	642.59	466.88	660.68	693.58	258.57	612.11
DOHH	121.79	441.64	118.43	629.35	332.14	95.34	113.56	381.68	392.44	248.0	387.02	212.78	134.3	90.14	112.77	77.79	253.23	336.79	237.86	297.17	587.13	450.94	109.66	185.11	432.53	134.3	205.5	204.07	144.01	651.58	151.22	409.15	414.87	131.51	409.15
DPM2	1030.12	1427.22	476.71	1794.29	1427.22	454.09	679.29	1037.29	1286.18	1388.16	1127.35	1081.39	753.83	476.71	571.05	738.29	1225.22	785.88	1199.98	872.1	1191.69	860.08	414.87	656.11	1388.16	728.11	454.09	947.83	660.68	2178.83	928.3	1745.2	1529.73	490.14	1199.98
DPP3	547.75	988.12	316.37	679.29	1151.06	312.0	457.25	547.75	974.5	403.5	775.05	693.58	497.0	253.23	291.04	293.07	629.35	563.18	775.05	688.78	884.29	356.05	275.28	320.8	813.63	595.34	295.11	651.58	320.8	1151.06	647.07	1286.18	1030.12	346.29	1037.29
EEF1E1	371.22	775.05	353.59	961.07	896.64	234.57	218.79	289.02	791.35	395.18	547.75	356.05	181.28	171.45	163.28	197.09	376.41	473.41	612.11	420.68	825.0	379.04	158.79	224.97	780.44	486.75	212.78	397.93	295.11	1081.39	358.54	813.63	909.17	205.5	785.88
EMC6	1051.79	1295.13	511.0	1857.6	1073.91	339.14	559.28	1183.45	928.3	587.13	1242.34	791.35	381.68	307.69	301.33	305.55	941.27	947.83	941.27	1073.91	981.29	1233.75	353.59	387.02	1151.06	785.88	426.57	813.63	395.18	1857.6	698.41	1437.15	1350.18	373.81	1322.37
EXOSC3	232.94	915.51	356.05	1208.34	764.36	190.34	162.14	616.37	361.04	351.14	633.73	412.0	303.44	162.14	262.2	297.17	463.65	669.92	733.19	269.6	660.68	599.49	191.67	189.02	1066.48	178.77	175.07	191.67	551.56	1242.34	320.8	571.05	872.1	180.02	981.29
FAM86A	113.56	285.03	111.21	336.79	271.48	82.87	105.89	226.54	260.38	220.32	256.78	165.57	104.42	43.63	79.45	86.43	186.4	206.94	228.13	180.02	334.46	176.29	55.49	84.04	277.2	147.06	86.43	201.25	127.0	366.09	147.06	361.04	341.51	87.65	262.2
FARSA	708.18	1561.89	543.96	1628.26	1519.15	387.02	532.74	890.44	1322.37	780.44	1135.2	884.29	708.18	295.11	289.02	507.46	743.43	854.13	1059.11	759.08	1950.0	723.08	271.48	423.61	1617.0	624.99	309.83	830.75	665.29	1583.71	708.18	1697.45	1819.35	373.81	1407.55
GLRX3	769.69	2133.97	1268.46	2915.45	1977.24	595.34	547.75	587.13	2701.35	896.64	1561.89	660.68	518.15	521.76	693.58	518.15	708.18	1119.56	1059.11	988.12	1806.78	555.41	514.56	563.18	1857.6	1417.35	884.29	967.76	503.95	3212.66	785.88	2209.26	2335.28	518.15	2816.11
GTF3C6	1127.35	2193.99	808.0	2417.67	1819.35	559.28	733.19	1119.56	1427.22	860.08	1709.26	1073.91	559.28	348.71	547.75	551.56	1159.07	1757.34	1674.06	954.43	2075.59	1111.82	423.61	967.76	2004.85	1175.27	599.49	1250.98	830.75	2835.7	1225.22	2303.12	1769.57	525.39	2224.63
HEATR3	190.34	307.69	46.18	221.86	228.13	98.73	246.28	141.02	193.01	193.01	212.78	217.27	136.19	130.6	150.17	142.01	183.82	199.85	264.03	142.01	173.85	117.6	120.1	170.25	258.57	173.85	124.37	208.38	139.07	316.37	173.85	237.86	283.05	183.82	435.55
HIRA	283.05	376.41	170.25	414.87	493.56	173.85	195.72	334.46	633.73	258.57	426.57	447.82	182.55	199.85	145.02	170.25	332.14	260.38	429.54	476.71	1259.69	283.05	173.85	150.17	387.02	189.02	144.01	503.95	217.27	395.18	503.95	503.95	447.82	171.45	368.65
HMBS	314.17	551.56	202.66	660.68	674.59	212.78	226.54	260.38	389.72	343.89	559.28	293.07	185.11	98.04	178.77	206.94	361.04	361.04	511.0	423.61	529.06	221.86	128.79	185.11	629.35	260.38	186.4	503.95	273.37	698.41	285.03	642.59	529.06	175.07	616.37
KCTD14	255.0	674.59	103.69	674.59	872.1	50.27	73.03	191.67	1233.75	214.27	285.03	256.78	156.59	40.93	9.56	70.51	450.94	57.89	327.56	256.78	830.75	211.31	31.67	92.7	521.76	432.53	21.32	221.86	221.86	866.07	246.28	358.54	543.96	14.03	934.76
KIAA0391	708.18	872.1	138.1	551.56	866.07	197.09	199.85	358.54	796.86	334.46	403.5	346.29	267.73	195.72	189.02	215.77	470.14	457.25	438.59	371.22	438.59	180.02	205.5	291.04	497.0	507.46	231.32	414.87	301.33	753.83	559.28	638.15	616.37	297.17	854.13
LLPH	612.11	1322.37	426.57	1313.23	941.27	265.87	277.2	607.87	733.19	460.44	708.18	647.07	327.56	264.03	285.03	334.46	551.56	642.59	896.64	629.35	1199.98	473.41	236.21	366.09	961.07	497.0	262.2	591.22	466.88	1477.58	656.11	1304.15	1015.93	190.34	1159.07
MAGOH	1467.37	1963.57	1331.57	2758.13	1745.2	1662.49	669.92	1322.37	2351.53	1143.1	1350.18	1051.79	616.37	486.75	384.34	884.29	1508.65	1674.06	1551.09	1268.46	2351.53	1088.92	543.96	1127.35	2032.85	1378.57	902.89	1331.57	928.3	1651.0	1295.13	2255.7	3039.3	511.0	2240.11
MAPKAPK3	1175.27	2351.53	638.15	1467.37	2133.97	688.78	514.56	813.63	1963.57	1044.52	1127.35	802.41	713.11	532.74	647.07	665.29	1059.11	753.83	1407.55	780.44	1322.37	624.99	500.46	389.72	1745.2	915.51	351.14	665.29	454.09	2627.46	909.17	1857.6	2417.67	607.87	2104.58
MED8	665.29	1259.69	432.53	1233.75	995.0	273.37	397.93	703.28	830.75	967.76	860.08	603.67	665.29	397.93	529.06	583.07	764.36	603.67	878.17	412.0	1151.06	612.11	603.67	320.8	1119.56	476.71	429.54	703.28	551.56	1651.0	633.73	967.76	1199.98	341.51	1081.39
MGAT2	353.59	819.3	297.17	974.5	866.07	135.24	197.09	312.0	688.78	275.28	854.13	525.39	234.57	85.22	180.02	212.78	384.34	473.41	514.56	371.22	1104.13	277.2	110.43	194.36	669.92	409.15	187.71	470.14	229.72	728.11	438.59	684.02	679.29	119.26	848.22
MIEF1	273.37	423.61	195.72	403.5	361.04	88.88	129.69	246.28	329.84	191.67	301.33	336.79	223.41	82.29	163.28	204.07	329.84	212.78	384.34	275.28	599.49	193.01	92.7	114.36	346.29	175.07	91.41	371.22	144.01	301.33	307.69	525.39	348.71	142.01	241.19
MPDU1	1721.16	2739.08	872.1	2090.03	3060.45	769.69	915.51	2018.8	2351.53	1304.15	2777.33	1551.09	1008.9	620.67	1051.79	796.86	1950.0	1832.01	2758.13	1923.14	3235.01	1378.57	684.02	1008.9	2148.82	1457.23	1073.91	2303.12	1143.1	4328.55	1745.2	2520.38	2915.45	848.22	3190.46
MRPL15	713.11	1540.37	299.25	1304.15	1286.18	172.65	376.41	684.02	802.41	486.75	825.0	748.61	285.03	164.42	363.56	341.51	842.36	1088.92	1023.0	738.29	1208.34	551.56	287.01	316.37	1277.29	575.03	281.09	848.22	518.15	1605.83	733.19	1397.83	1304.15	320.8	1519.15
MRPL19	343.89	902.89	269.6	764.36	890.44	151.22	339.14	559.28	381.68	346.29	738.29	409.15	221.86	180.02	197.09	220.32	329.84	555.41	571.05	392.44	503.95	426.57	246.28	397.93	796.86	429.54	215.77	295.11	289.02	1059.11	441.64	791.35	808.0	195.72	819.3
MRPL3	679.29	2018.8	947.83	2319.15	1896.65	409.15	536.45	813.63	1781.89	1044.52	1359.57	808.0	591.22	289.02	379.04	476.71	860.08	1331.57	1143.1	830.75	2061.24	830.75	387.02	591.22	1745.2	1104.13	457.25	928.3	684.02	2178.83	981.29	2485.67	2255.7	366.09	1857.6
MRPL35	426.57	1066.48	260.38	921.88	1037.29	140.04	193.01	607.87	237.86	232.94	684.02	607.87	187.71	159.9	195.72	285.03	575.03	432.53	660.68	379.04	463.65	450.94	224.97	271.48	728.11	356.05	182.55	540.19	273.37	1008.9	476.71	1104.13	775.05	190.34	909.17
MRPL36	1073.91	1605.83	503.95	2193.99	1617.0	579.04	454.09	1397.83	1268.46	1159.07	1487.87	802.41	441.64	303.44	334.46	371.22	954.43	866.07	1088.92	743.43	2178.83	909.17	291.04	297.17	1551.09	620.67	457.25	1175.27	450.94	2061.24	607.87	2163.77	2004.85	295.11	1467.37
MRPL39	497.0	872.1	521.76	1037.29	842.36	329.84	314.17	575.03	521.76	332.14	503.95	409.15	287.01	183.82	144.01	363.56	563.18	708.18	638.15	579.04	665.29	379.04	291.04	476.71	902.89	500.46	260.38	525.39	332.14	1037.29	616.37	1015.93	928.3	301.33	447.82
MRPS12	718.08	1313.23	356.05	1963.57	1175.27	158.79	265.87	753.83	1286.18	954.43	915.51	620.67	320.8	170.25	224.97	312.0	674.59	718.08	866.07	703.28	1769.57	483.38	193.01	256.78	1066.48	486.75	166.73	684.02	348.71	1963.57	460.44	1662.49	1191.69	242.88	1295.13
MRPS15	1508.65	2609.3	884.29	2875.3	2739.08	1023.0	1030.12	1340.84	2287.2	1242.34	2032.85	981.29	1167.14	764.36	780.44	703.28	1806.78	2104.58	1540.37	1322.37	1487.87	1208.34	866.07	1073.91	2271.4	1551.09	981.29	1540.37	830.75	4095.0	1242.34	2573.36	2335.28	915.51	2271.4
MRPS16	1331.57	2451.44	819.3	2061.24	2537.92	780.44	1066.48	1781.89	1628.26	1508.65	1651.0	1277.29	1066.48	679.29	819.3	954.43	1447.15	1721.16	1651.0	1685.71	1540.37	1529.73	733.19	995.0	2018.8	1350.18	1104.13	1745.2	1242.34	2855.44	1388.16	2485.67	2209.26	830.75	2104.58
MRPS17	177.53	450.94	97.36	486.75	325.29	124.37	127.89	289.02	281.09	198.47	241.19	228.13	72.01	132.44	69.52	143.01	291.04	269.6	287.01	283.05	525.39	226.54	75.11	87.03	358.54	161.02	148.09	299.25	126.12	563.18	166.73	432.53	532.74	99.43	521.76
MRPS23	1359.57	1977.24	612.11	1870.53	1909.85	409.15	764.36	1359.57	1331.57	954.43	1286.18	1322.37	764.36	400.71	373.81	743.43	1605.83	1350.18	1757.34	1674.06	1757.34	941.27	457.25	669.92	1572.76	1286.18	332.14	1697.45	915.51	2287.2	1378.57	2090.03	1819.35	379.04	1909.85
MRPS35	629.35	1250.98	327.56	1059.11	1388.16	190.34	303.44	624.99	921.88	346.29	1015.93	633.73	325.29	224.97	275.28	309.83	647.07	860.08	1001.93	819.3	1295.13	733.19	246.28	521.76	1111.82	791.35	246.28	967.76	595.34	1397.83	884.29	1498.22	1350.18	214.27	1199.98
MRPS7	1417.35	2400.97	753.83	2287.2	1757.34	591.22	866.07	1572.76	1437.15	1295.13	1651.0	941.27	791.35	476.71	688.78	830.75	1216.75	1322.37	1662.49	1457.23	2209.26	1467.37	579.04	733.19	2335.28	1216.75	785.88	1477.58	819.3	2758.13	1233.75	2609.3	2104.58	738.29	2287.2
NAA20	1639.59	2777.33	1081.39	3665.02	2502.97	480.04	733.19	1572.76	1651.0	1259.69	1628.26	1277.29	813.63	463.65	543.96	684.02	1594.73	1594.73	1896.65	1896.65	2367.9	1259.69	507.46	1340.84	2148.82	3901.01	583.07	2224.63	1051.79	2956.17	1977.24	3257.52	2075.59	620.67	2417.67
NDUFB2	5076.84	9088.59	2367.9	9673.69	8022.41	3491.39	4575.41	5555.65	5329.3	2855.44	8363.13	4066.71	2178.83	3349.13	3614.55	3665.02	5219.6	6164.49	6935.54	6164.49	3419.52	5329.3	3168.41	3901.01	7485.11	4671.57	4869.99	5751.61	3257.52	11827.67	4512.4	7803.01	6840.04	3690.52	11112.3
NIP7	283.05	575.03	348.71	753.83	490.14	229.72	157.68	343.89	555.41	356.05	493.56	361.04	169.07	133.36	147.06	156.59	295.11	323.03	470.14	376.41	1037.29	271.48	204.07	180.02	490.14	376.41	132.44	412.0	236.21	470.14	246.28	633.73	559.28	127.0	507.46
NR2C2AP	348.71	563.18	149.12	785.88	543.96	116.78	232.94	312.0	463.65	432.53	529.06	567.1	273.37	122.64	127.0	277.2	441.64	423.61	497.0	387.02	583.07	392.44	172.65	129.69	638.15	237.86	194.36	507.46	406.31	693.58	198.47	698.41	688.78	137.14	579.04
PES1	842.36	1487.87	909.17	2061.24	1340.84	457.25	642.59	1008.9	1781.89	1096.5	1199.98	1104.13	728.11	309.83	470.14	638.15	1081.39	1175.27	1143.1	1199.98	2777.33	813.63	305.55	403.5	1923.14	684.02	500.46	1096.5	934.76	1936.53	1015.93	2119.22	1909.85	341.51	1437.15
PFDN6	1427.22	2319.15	842.36	2627.46	2400.97	1119.56	1023.0	1529.73	1844.76	1923.14	2104.58	1135.2	1066.48	819.3	718.08	1447.15	1447.15	1417.35	1519.15	1127.35	1359.57	1183.45	1135.2	583.07	2047.0	1331.57	1119.56	1340.84	1088.92	2855.44	1175.27	2720.15	2855.44	836.53	1909.85
PHF5A	698.41	1369.04	412.0	2075.59	1331.57	291.04	400.71	1167.14	1378.57	890.44	961.07	629.35	500.46	246.28	206.94	371.22	708.18	791.35	1225.22	483.38	2434.5	769.69	318.57	470.14	1151.06	490.14	267.73	698.41	718.08	1857.6	521.76	1427.22	1350.18	194.36	1508.65
PINX1	275.28	285.03	297.17	954.43	214.27	178.77	133.36	206.94	483.38	237.86	279.14	197.09	157.68	89.51	119.26	177.53	115.97	395.18	281.09	162.14	493.56	267.73	101.54	211.31	454.09	144.01	163.28	99.43	232.94	423.61	189.02	521.76	348.71	93.35	403.5
PNO1	221.86	457.25	543.96	1015.93	379.04	297.17	109.66	205.5	748.61	444.72	463.65	189.02	175.07	124.37	151.22	127.0	197.09	447.82	376.41	303.44	1397.83	169.07	111.99	173.85	575.03	366.09	241.19	316.37	158.79	480.04	185.11	571.05	575.03	148.09	490.14
POLDIP2	1044.52	1977.24	571.05	2032.85	1832.01	536.45	1059.11	1304.15	1617.0	1104.13	1250.98	1119.56	974.5	457.25	759.08	791.35	1167.14	1617.0	1359.57	1259.69	2075.59	928.3	620.67	500.46	1685.71	961.07	796.86	1407.55	878.17	2520.38	1183.45	2417.67	1991.0	633.73	1487.87
POLR2D	301.33	476.71	305.55	563.18	438.59	163.28	164.42	341.51	318.57	264.03	403.5	358.54	151.22	180.02	125.24	212.78	251.48	299.25	397.93	208.38	595.34	291.04	142.01	170.25	432.53	236.21	183.82	603.67	208.38	466.88	253.23	460.44	368.65	122.64	503.95
PPIL1	299.25	733.19	314.17	836.53	769.69	175.07	249.73	341.51	429.54	358.54	974.5	256.78	167.9	187.71	185.11	176.29	244.57	409.15	660.68	339.14	738.29	356.05	180.02	323.03	796.86	532.74	397.93	555.41	251.48	941.27	351.14	878.17	954.43	297.17	808.0
PPP1R8	497.0	878.17	429.54	884.29	890.44	289.02	327.56	764.36	713.11	463.65	785.88	866.07	521.76	215.77	246.28	438.59	738.29	723.08	921.88	780.44	1037.29	571.05	281.09	281.09	825.0	373.81	239.52	753.83	543.96	713.11	791.35	890.44	934.76	236.21	743.43
PREB	791.35	1487.87	551.56	1628.26	1529.73	518.15	647.07	813.63	1143.1	1023.0	1467.37	909.17	836.53	543.96	915.51	616.37	693.58	988.12	830.75	642.59	1529.73	764.36	647.07	285.03	1477.58	559.28	647.07	1127.35	796.86	2485.67	547.75	1295.13	1457.23	642.59	1519.15
PRMT5	656.11	1427.22	759.08	1447.15	1477.58	463.65	599.49	785.88	1250.98	961.07	1081.39	842.36	518.15	341.51	339.14	808.0	909.17	1008.9	928.3	1127.35	1628.26	780.44	463.65	514.56	1769.57	708.18	426.57	1388.16	698.41	1322.37	703.28	1617.0	1870.53	312.0	1498.22
PRPF19	1111.82	1977.24	1183.45	2119.22	2468.49	759.08	785.88	1467.37	2119.22	1709.26	1639.59	1417.35	1037.29	603.67	457.25	988.12	1407.55	1457.23	1639.59	1662.49	3665.02	878.17	441.64	854.13	2119.22	1081.39	493.56	1359.57	981.29	1745.2	1277.29	2627.46	2682.69	500.46	1781.89
PSMB5	2434.5	4210.15	1295.13	4419.52	5006.93	1030.12	1662.49	2835.7	3190.46	2104.58	3443.31	1651.0	2240.11	1073.91	1023.0	896.64	2573.36	2485.67	2664.15	2915.45	3614.55	1340.84	1183.45	1769.57	3443.31	2090.03	1467.37	3349.13	1605.83	7966.99	2400.97	5219.6	4123.49	1388.16	4802.93
PSMG1	633.73	1143.1	713.11	1651.0	1378.57	454.09	447.82	483.38	1119.56	693.58	674.59	603.67	426.57	297.17	336.79	460.44	961.07	780.44	890.44	612.11	1111.82	403.5	301.33	543.96	1081.39	674.59	346.29	713.11	271.48	1685.71	563.18	1674.06	1081.39	295.11	1259.69
RER1	2520.38	5954.47	1216.75	5292.48	4972.34	1369.04	2061.24	3081.75	2875.3	2645.74	3467.27	3419.52	1896.65	1066.48	1540.37	1883.54	3742.05	3716.2	3039.3	2255.7	2956.17	2434.5	1427.22	1529.73	4181.07	1662.49	1359.57	2287.2	2645.74	6381.92	3146.52	4802.93	5112.16	1167.14	4769.75
RPF2	285.03	647.07	486.75	1259.69	457.25	307.69	279.14	269.6	688.78	529.06	529.06	249.73	218.79	132.44	211.31	253.23	307.69	718.08	381.68	409.15	941.27	409.15	183.82	327.56	642.59	283.05	256.78	343.89	312.0	915.51	253.23	802.41	693.58	127.89	607.87
RRP1B	149.12	246.28	205.5	403.5	309.83	145.02	137.14	177.53	327.56	178.77	297.17	316.37	107.38	98.73	112.77	139.07	211.31	264.03	226.54	275.28	579.04	220.32	92.05	125.24	316.37	154.42	104.42	267.73	161.02	244.57	197.09	432.53	356.05	109.66	389.72
