	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.EA.A1QT.01A.11R.A14Y.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.DQ.7596.01A.11R.2232.07	TCGA.CR.6480.01A.11R.1873.07	TCGA.CR.7404.01A.11R.2132.07	TCGA.CN.4741.01A.01R.1436.07	TCGA.CR.7368.01A.11R.2132.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.11ZUS.2526.SM.59872	GTEX.Y5V6.2226.SM.4VDTC
FIGNL1	218.79	111.21	470.14	26.28	547.75	669.92	536.45	384.34	543.96	20.11	29.06	26.1	32.36	66.18	40.93	13.42	99.43
GALNT7	49.56	32.59	305.55	18.84	921.88	620.67	395.18	180.02	371.22	28.45	13.32	6.16	6.94	34.75	16.75	12.0	241.19
GAS2L3	41.81	49.91	88.26	12.27	162.14	140.04	147.06	100.83	186.4	20.56	14.56	9.63	15.91	30.78	9.93	2.71	30.12
GINS4	193.01	32.59	237.86	7.4	379.04	429.54	381.68	457.25	463.65	11.91	4.5	6.67	28.45	22.43	6.41	3.29	58.71
GORASP2	1322.37	1225.22	1175.27	780.44	1870.53	2240.11	1551.09	1923.14	1991.0	775.05	684.02	669.92	813.63	860.08	854.13	616.37	1167.14
GPATCH8	164.42	154.42	165.57	100.83	336.79	366.09	406.31	346.29	409.15	59.55	66.65	46.18	51.71	164.42	99.43	72.52	157.68
GSTCD	82.87	47.5	121.79	17.13	232.94	176.29	208.38	143.01	197.09	18.97	23.25	13.52	18.43	27.64	16.63	12.0	73.03
HLTF	52.45	29.27	417.77	150.17	511.0	753.83	1008.9	1143.1	915.51	84.63	131.51	100.83	54.33	186.4	143.01	113.56	111.99
HMGXB4	249.73	218.79	336.79	87.03	400.71	450.94	406.31	381.68	454.09	65.72	80.01	63.89	40.93	103.69	87.03	37.59	124.37
IFT80	171.45	256.78	260.38	85.82	291.04	480.04	536.45	909.17	420.68	37.32	58.3	47.84	9.78	125.24	37.05	42.11	173.85
IKBKE	392.44	406.31	473.41	21.78	497.0	638.15	307.69	260.38	221.86	23.25	16.88	9.7	18.7	56.68	14.03	15.68	351.14
KIAA1524	101.54	31.22	356.05	8.51	392.44	543.96	521.76	529.06	603.67	6.06	6.67	3.26	1.16	13.12	2.84	1.33	37.59
LMLN	55.49	55.1	52.45	27.64	142.01	180.02	143.01	256.78	143.01	12.74	22.1	21.32	7.57	43.02	22.59	9.78	27.25
LPCAT4	6079.61	1388.16	1617.0	100.13	988.12	1745.2	1295.13	599.49	507.46	95.34	93.35	49.21	51.35	220.32	58.3	82.87	679.29
MCUR1	759.08	612.11	409.15	255.0	457.25	583.07	329.84	438.59	529.06	244.57	435.55	293.07	264.03	343.89	395.18	195.72	267.73
MED13L	231.32	206.94	169.07	132.44	381.68	423.61	460.44	503.95	642.59	91.41	99.43	76.71	49.91	171.45	111.21	66.65	189.02
MED14	567.1	285.03	327.56	237.86	791.35	503.95	547.75	447.82	503.95	165.57	150.17	186.4	129.69	244.57	209.84	102.97	189.02
MFN1	327.56	358.54	441.64	153.34	595.34	1059.11	909.17	1883.54	915.51	137.14	89.51	96.68	81.71	224.97	158.79	78.34	228.13
MMS22L	111.21	82.87	105.89	15.22	228.13	260.38	136.19	204.07	363.56	4.82	6.89	5.92	4.28	13.42	6.67	5.41	63.45
MREG	1304.15	825.0	234.57	145.02	698.41	497.0	287.01	525.39	642.59	45.21	48.87	48.87	14.14	102.97	64.8	63.89	175.07
MSGN1	31.0	50.27	5.68	0.0	7.46	9.63	2.23	3.26	11.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.74
NCK1	2997.45	5479.15	1104.13	316.37	1950.0	2573.36	1397.83	2163.77	1832.01	351.14	285.03	237.86	180.02	435.55	279.14	275.28	988.12
NOMO2	379.04	518.15	854.13	291.04	1030.12	2090.03	1350.18	1167.14	1304.15	316.37	155.5	275.28	423.61	599.49	432.53	256.78	547.75
NPL	239.52	2148.82	358.54	363.56	287.01	579.04	764.36	514.56	575.03	358.54	92.7	134.3	221.86	366.09	224.97	148.09	223.41
NRIP3	34.26	7.28	145.02	2.81	165.57	279.14	246.28	162.14	353.59	3.44	0.65	0.0	1.03	5.23	0.58	0.37	14.24
OPA1	902.89	563.18	575.03	371.22	974.5	1508.65	1447.15	2956.17	2255.7	273.37	229.72	248.0	234.57	497.0	426.57	201.25	379.04
PAK2	389.72	438.59	775.05	327.56	909.17	1199.98	1498.22	2303.12	1617.0	334.46	320.8	353.59	264.03	384.34	307.69	273.37	435.55
PARP1	1216.75	651.58	1923.14	603.67	2537.92	2018.8	2075.59	2133.97	1936.53	679.29	441.64	493.56	587.13	718.08	616.37	503.95	1191.69
PIAS3	713.11	1104.13	579.04	125.24	1268.46	1561.89	1183.45	1467.37	813.63	105.89	107.38	58.71	86.43	190.34	79.45	65.72	616.37
PLD1	5255.91	3614.55	412.0	314.17	791.35	1096.5	872.1	2209.26	759.08	201.25	226.54	241.19	249.73	361.04	316.37	262.2	307.69
POGLUT1	138.1	221.86	249.73	78.34	215.77	273.37	351.14	928.3	438.59	82.87	71.5	56.68	53.95	153.34	96.68	44.89	154.42
PRICKLE3	1498.22	412.0	466.88	73.03	457.25	397.93	595.34	341.51	417.77	76.17	59.13	59.55	73.54	78.34	69.03	83.45	275.28
PRKCI	457.25	197.09	547.75	149.12	616.37	1286.18	723.08	1733.13	808.0	79.45	79.45	61.68	46.84	111.99	79.45	67.59	466.88
PRSS12	1216.75	2384.37	176.29	19.53	327.56	466.88	279.14	483.38	423.61	9.41	7.51	21.47	13.12	13.32	19.25	20.56	156.59
QSER1	180.02	139.07	178.77	55.1	332.14	356.05	281.09	387.02	543.96	31.9	39.22	34.26	14.24	72.52	44.57	35.76	101.54
RAB7A	9215.48	5831.91	5006.93	3124.78	5672.41	8191.0	6337.83	12764.83	8022.41	2895.31	2935.74	2609.3	2664.15	3540.14	3168.41	2451.44	4210.15
RALGAPB	325.29	341.51	332.14	114.36	371.22	435.55	379.04	470.14	447.82	79.45	97.36	69.52	63.45	146.03	84.63	65.26	242.88
RFWD3	620.67	373.81	656.11	72.52	529.06	884.29	802.41	769.69	748.61	54.72	55.1	55.49	45.85	108.14	56.68	26.67	217.27
SAP130	320.8	251.48	265.87	107.38	320.8	500.46	406.31	384.34	525.39	88.26	75.64	77.25	94.01	139.07	97.36	72.52	167.9
SEC22A	373.81	642.59	599.49	285.03	708.18	878.17	791.35	928.3	775.05	185.11	173.85	175.07	183.82	351.14	156.59	251.48	249.73
SENP1	134.3	134.3	237.86	38.12	291.04	341.51	305.55	295.11	373.81	46.18	37.85	27.64	22.59	74.58	37.59	34.75	88.88
SENP2	198.47	229.72	511.0	277.2	543.96	860.08	1030.12	1936.53	819.3	208.38	151.22	212.78	180.02	279.14	287.01	176.29	239.52
SETD8	842.36	753.83	1059.11	285.03	1388.16	1151.06	1487.87	1697.45	1709.26	199.85	187.71	241.19	116.78	269.6	154.42	232.94	507.46
SH3BP1	4512.4	1745.2	896.64	53.19	902.89	1467.37	1073.91	1594.73	1628.26	61.25	27.84	19.39	61.68	131.51	42.11	33.3	698.41
SH3PXD2B	236.21	435.55	246.28	30.56	414.87	1008.9	356.05	796.86	497.0	74.58	36.53	25.54	22.1	71.0	38.67	55.1	403.5
SHOX2	8.58	25.35	28.86	0.0	42.41	178.77	172.65	181.28	55.1	0.0	0.0	0.59	0.0	0.0	1.13	0.0	14.67
SHROOM2	540.19	476.71	136.19	79.45	195.72	199.85	236.21	166.73	178.77	37.32	37.85	43.32	50.63	54.72	42.11	40.07	55.1
SLC33A1	277.2	387.02	289.02	460.44	583.07	1051.79	791.35	1359.57	638.15	246.28	368.65	376.41	251.48	406.31	476.71	237.86	246.28
SMC2	373.81	124.37	366.09	24.81	583.07	563.18	559.28	642.59	1457.23	21.78	26.1	21.01	15.45	56.68	31.67	13.72	180.02
SMC4	2627.46	384.34	1397.83	109.66	2319.15	2193.99	3257.52	3955.48	2537.92	69.52	173.85	94.67	32.36	195.72	124.37	50.27	403.5
SPICE1	150.17	85.22	265.87	66.65	275.28	412.0	486.75	540.19	361.04	41.81	44.89	25.17	40.36	75.11	58.3	17.25	61.68
STRA6	429.54	796.86	31.9	1.06	105.89	733.19	159.9	181.28	89.51	0.0	0.0	0.0	0.0	4.13	0.99	0.0	84.63
TBL1XR1	1350.18	947.83	921.88	343.89	1286.18	1487.87	1447.15	1794.29	1175.27	215.77	214.27	211.31	128.79	299.25	236.21	228.13	497.0
TGM6	0.0	145.02	0.0	0.0	5.15	0.24	3.89	25.91	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TICRR	30.34	16.51	166.73	1.06	164.42	363.56	289.02	194.36	102.97	0.0	1.81	0.99	0.96	2.92	0.0	0.52	30.34
TMC1	109.66	60.82	5.41	3.03	34.51	35.25	23.59	56.68	20.41	0.89	2.66	0.0	0.0	1.45	0.0	0.0	0.0
TMEM39A	165.57	211.31	403.5	232.94	587.13	1088.92	759.08	1225.22	665.29	229.72	145.02	110.43	128.79	293.07	170.25	137.14	185.11
TMEM63C	961.07	10296.45	30.78	1.91	31.22	249.73	275.28	170.25	262.2	1.69	0.79	0.71	2.66	2.89	0.72	1.2	46.5
TMPO	1159.07	412.0	2061.24	878.17	2537.92	2777.33	2209.26	1757.34	2163.77	532.74	406.31	493.56	141.02	423.61	363.56	316.37	759.08
TOPBP1	392.44	121.79	651.58	123.5	902.89	1073.91	1340.84	1923.14	1467.37	74.58	80.57	66.18	41.22	154.42	88.88	76.17	285.03
TP63	3290783.22	3313672.43	2148.82	1.27	2537.92	2682.69	4268.94	8078.22	15285.81	2.1	1.33	2.14	3.0	4.28	3.72	7.82	1407.55
UBXN7	212.78	169.07	214.27	61.25	224.97	438.59	507.46	896.64	603.67	31.0	44.57	41.52	39.22	75.11	52.08	30.34	76.71
VPS8	169.07	221.86	368.65	157.68	334.46	497.0	647.07	1066.48	500.46	87.65	78.34	68.55	102.25	224.97	108.9	63.89	237.86
WSCD2	0.0	14.35	0.82	6.11	33.78	38.67	72.52	194.36	9.63	0.0	0.66	1.08	1.04	2.71	0.59	1.36	8.06
YBX2	120.94	38.67	221.86	31.22	212.78	854.13	318.57	297.17	305.55	67.12	35.5	21.16	47.84	28.04	32.82	159.9	204.07
YEATS2	336.79	155.5	473.41	55.89	409.15	599.49	825.0	769.69	435.55	28.04	30.12	19.97	29.48	75.64	34.75	30.34	105.89
YLPM1	435.55	500.46	480.04	258.57	503.95	674.59	665.29	753.83	651.58	201.25	199.85	182.55	141.02	295.11	241.19	204.07	332.14
ZKSCAN3	72.52	59.13	39.5	25.54	48.52	78.34	78.89	46.84	38.12	14.35	19.82	16.51	20.71	38.4	25.54	27.64	32.13
ZNF473	44.57	79.45	123.5	36.27	163.28	149.12	218.79	136.19	177.53	36.01	40.07	30.12	26.47	48.87	35.5	26.86	109.66
ZNF624	32.36	73.54	43.63	5.68	52.82	64.34	49.56	46.84	57.49	6.46	10.47	2.68	1.13	21.16	13.22	9.56	25.72
ZSCAN5D	0.0	0.0	1.22	0.0	0.39	1.91	12.45	0.69	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99
