	TCGA.B0.5709.01A.11R.1541.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.RC.A7SF.01A.11R.A352.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	GTEX.ZAB4.0626.SM.5CVN3	GTEX.N7MT.0126.SM.2D7VT	GTEX.ZAB5.0626.SM.5PNVB	GTEX.Q734.0626.SM.2I3EF
DOCK2	759.08	954.43	1051.79	18.16	31.9	37.59	30.78	33.78	24.99	395.18	129.69	6.89	8.06	9.13	15.0	9.41	16.27	34.26	10.16	32.13	23.25	56.28	7.11	53.57	72.01	19.68	12.83	70.51	49.56	26.1	75.11	33.3	91.41	5.63	30.12	518.15	162.14	59.55	144.01	53.19	98.04	141.02	111.99	76.17	162.14	62.12	37.59	125.24	329.84	92.05	155.5	171.45	163.28	178.77	215.77	229.72	169.07	77.79	89.51	80.01	61.68	1088.92	902.89	866.07	1685.71
DSE	638.15	718.08	432.53	19.82	18.43	16.03	18.97	127.89	9.48	255.0	121.79	23.08	36.79	14.89	112.77	9.93	17.9	16.51	19.82	28.86	3.5	41.81	7.94	58.71	75.11	7.51	11.47	105.15	35.5	17.0	81.71	57.08	20.26	17.0	17.64	387.02	170.25	28.65	633.73	102.25	135.24	155.5	153.34	72.01	94.01	195.72	195.72	63.89	138.1	164.42	88.26	137.14	152.28	118.43	223.41	109.66	124.37	226.54	81.71	31.0	87.65	420.68	3742.05	575.03	343.89
ERG	616.37	532.74	201.25	38.67	46.5	18.56	22.59	41.52	15.56	76.17	122.64	24.81	30.78	34.02	34.26	18.03	29.06	45.53	39.22	40.93	14.45	76.17	14.03	64.8	64.8	7.88	25.54	158.79	32.82	9.63	64.34	26.1	36.79	34.51	30.78	493.56	109.66	29.48	223.41	67.12	57.89	182.55	49.21	44.25	194.36	105.15	189.02	57.89	145.02	148.09	143.01	71.5	312.0	69.52	164.42	119.26	75.64	215.77	17.51	43.02	100.83	417.77	954.43	961.07	417.77
ETS1	2796.65	2997.45	743.43	147.06	152.28	127.0	102.97	244.57	92.7	928.3	412.0	94.67	99.43	138.1	150.17	59.97	125.24	231.32	150.17	176.29	45.85	229.72	42.71	289.02	218.79	93.35	130.6	612.11	155.5	48.52	299.25	149.12	205.5	136.19	142.01	2047.0	866.07	228.13	1295.13	336.79	764.36	503.95	392.44	176.29	669.92	536.45	813.63	277.2	896.64	503.95	447.82	620.67	954.43	476.71	518.15	414.87	307.69	579.04	251.48	175.07	309.83	1963.57	4152.18	1857.6	1963.57
EVI2B	1199.98	2104.58	1313.23	29.7	35.76	57.49	52.45	37.59	37.85	371.22	217.27	10.55	14.35	15.56	24.81	5.73	30.34	41.22	21.16	36.79	30.34	115.16	9.78	85.22	74.06	22.43	21.32	96.68	81.71	40.07	70.51	43.63	39.5	9.13	36.01	718.08	204.07	135.24	275.28	47.17	204.07	473.41	255.0	61.68	262.2	111.21	39.5	275.28	299.25	65.72	224.97	228.13	273.37	267.73	371.22	140.04	156.59	120.94	193.01	108.14	75.64	1769.57	2303.12	2739.08	2875.3
FAM105A	334.46	303.44	307.69	11.04	8.06	22.1	17.77	43.63	16.27	153.34	25.91	3.63	3.89	3.69	22.75	5.96	9.63	13.83	10.96	23.93	3.53	13.32	0.96	26.1	14.14	10.47	10.55	19.53	28.86	10.16	24.11	63.89	13.12	2.29	7.57	144.01	43.32	2.61	65.72	10.16	2.51	43.02	17.9	6.78	29.48	22.43	19.82	36.53	56.68	17.77	44.25	43.32	66.18	29.27	59.13	9.13	20.11	12.36	8.19	15.8	18.84	346.29	373.81	432.53	571.05
FCHSD2	775.05	723.08	473.41	106.63	85.82	146.03	120.94	137.14	81.14	426.57	249.73	75.11	70.51	232.94	217.27	96.01	129.69	185.11	162.14	87.03	66.18	157.68	55.1	271.48	122.64	117.6	87.65	159.9	150.17	147.06	193.01	74.06	132.44	155.5	115.16	567.1	316.37	99.43	400.71	131.51	397.93	507.46	226.54	157.68	395.18	228.13	215.77	283.05	429.54	295.11	327.56	332.14	339.14	244.57	438.59	279.14	186.4	194.36	149.12	199.85	316.37	500.46	995.0	1073.91	915.51
FGL2	1883.54	1143.1	575.03	31.45	36.79	55.1	43.94	71.0	35.25	981.29	234.57	12.74	36.79	10.16	40.64	7.0	20.41	49.56	25.17	35.5	23.42	62.12	20.26	94.67	131.51	20.26	24.46	120.1	76.17	32.36	75.64	44.25	48.52	26.47	34.02	1407.55	728.11	113.56	738.29	113.56	217.27	368.65	178.77	36.01	371.22	201.25	122.64	211.31	417.77	139.07	435.55	334.46	334.46	182.55	444.72	185.11	285.03	281.09	81.14	82.87	171.45	638.15	567.1	738.29	703.28
FLI1	988.12	1066.48	647.07	78.34	80.57	70.51	51.71	63.0	36.53	400.71	173.85	31.9	28.24	50.63	38.4	28.24	62.56	71.5	43.63	70.01	29.27	161.02	21.16	131.51	98.73	23.08	128.79	161.02	75.64	41.22	89.51	65.72	52.82	171.45	43.94	638.15	111.21	55.89	329.84	66.18	183.82	201.25	166.73	85.82	166.73	108.9	96.01	130.6	202.66	151.22	117.6	175.07	289.02	105.15	256.78	103.69	64.34	161.02	45.53	72.52	77.25	748.61	1295.13	1417.35	1259.69
FPR3	1051.79	1781.89	2032.85	18.97	31.9	28.04	32.36	45.21	17.64	518.15	307.69	13.52	8.38	12.27	13.12	7.22	14.78	36.01	25.91	30.34	14.14	48.18	8.45	115.97	76.17	18.29	11.82	52.08	35.5	15.34	79.45	28.65	32.59	4.62	19.97	616.37	92.05	16.03	175.07	24.28	44.89	353.59	88.26	19.25	166.73	110.43	64.34	93.35	234.57	66.18	295.11	93.35	246.28	104.42	387.02	67.59	92.05	73.54	20.11	52.82	96.68	1088.92	435.55	1529.73	1388.16
FYB	1037.29	1359.57	358.54	7.75	4.43	14.24	8.92	13.22	2.94	110.43	79.45	2.51	4.54	3.23	10.79	2.39	9.48	19.39	2.68	8.06	3.44	26.86	1.31	39.5	24.81	6.36	3.2	48.18	19.53	12.74	77.79	11.38	19.68	1.51	21.47	836.53	63.89	36.79	157.68	22.75	37.32	147.06	63.45	34.51	91.41	50.63	3.03	63.0	376.41	52.08	82.87	93.35	180.02	108.9	387.02	43.94	58.3	33.06	23.59	14.45	36.27	497.0	1388.16	447.82	1721.16
GNB4	444.72	633.73	199.85	6.21	5.73	6.26	6.62	11.21	1.55	84.63	59.97	4.66	2.81	4.28	9.13	1.77	4.03	8.0	5.32	11.13	3.44	6.52	2.76	19.11	13.83	4.54	3.2	41.52	8.51	2.97	24.11	10.31	12.36	2.1	4.1	231.32	30.12	8.25	54.33	27.05	49.21	90.77	23.93	14.67	58.3	36.79	14.45	23.25	41.81	35.25	42.41	69.52	98.04	33.54	96.68	19.82	19.11	60.39	8.19	11.64	32.59	638.15	1685.71	603.67	339.14
GNG2	532.74	764.36	336.79	36.27	37.32	47.5	31.0	121.79	31.0	392.44	120.94	14.67	14.35	16.27	29.06	8.71	26.47	50.98	25.72	31.45	33.54	53.57	12.45	71.0	105.89	42.11	26.28	98.73	37.59	35.25	49.21	24.28	43.02	13.12	44.57	379.04	194.36	66.18	205.5	120.1	228.13	189.02	108.14	61.68	152.28	127.0	75.64	67.12	314.17	154.42	85.82	180.02	202.66	144.01	92.7	90.77	182.55	178.77	68.07	54.33	56.28	647.07	669.92	403.5	796.86
GPR65	281.09	432.53	392.44	8.78	12.18	15.11	10.96	15.56	13.22	158.79	84.04	2.89	6.21	3.56	6.46	2.68	9.93	9.93	3.82	11.21	6.78	38.4	3.03	37.59	29.48	6.06	3.86	29.7	21.32	10.31	22.59	9.56	16.03	3.96	8.99	323.03	59.13	18.56	135.24	24.11	133.36	103.69	76.17	26.47	94.01	54.72	29.7	37.32	149.12	58.71	59.13	85.22	64.8	71.0	57.08	31.0	30.56	24.63	49.56	25.72	60.82	283.05	303.44	293.07	366.09
HCLS1	2976.74	3874.05	3303.0	143.01	171.45	273.37	178.77	224.97	178.77	3212.66	698.41	94.01	60.82	103.69	115.16	69.03	164.42	183.82	123.5	206.94	143.01	376.41	53.19	314.17	473.41	126.12	102.97	318.57	293.07	146.03	397.93	187.71	260.38	53.57	144.01	2537.92	909.17	224.97	536.45	220.32	470.14	808.0	480.04	211.31	764.36	420.68	412.0	591.22	1159.07	368.65	1191.69	571.05	1143.1	435.55	780.44	486.75	642.59	327.56	373.81	329.84	212.78	1870.53	2976.74	1059.11	2367.9
HEPH	463.65	486.75	314.17	23.08	21.01	3.23	11.38	35.0	6.06	435.55	74.06	12.93	5.32	15.8	7.06	8.0	14.24	10.96	12.93	27.25	7.34	27.25	4.54	47.17	35.0	7.4	13.52	79.45	2.51	7.06	45.53	7.88	20.26	4.1	6.94	191.67	35.76	11.73	85.22	18.84	56.28	77.25	40.93	18.84	38.67	82.87	14.14	28.45	38.95	52.08	60.39	73.03	44.57	24.28	244.57	34.51	18.29	67.59	35.0	9.41	34.02	693.58	1498.22	392.44	497.0
HLA-DOA	3742.05	2193.99	1769.57	19.39	28.24	37.05	24.63	52.08	19.25	231.32	90.77	6.57	9.56	11.04	19.68	5.5	12.93	31.67	12.45	38.67	10.79	40.36	8.78	105.15	59.13	19.97	9.13	72.52	89.51	21.01	76.17	18.97	38.4	4.54	11.82	1135.2	262.2	38.67	246.28	27.25	180.02	166.73	121.79	30.12	224.97	142.01	97.36	158.79	287.01	212.78	293.07	237.86	132.44	167.9	264.03	132.44	158.79	61.25	34.51	26.1	76.17	1119.56	2468.49	1183.45	4152.18
IKZF1	493.56	567.1	336.79	13.62	6.67	19.11	16.63	23.25	9.7	125.24	59.55	3.17	4.13	6.16	6.52	4.06	8.92	13.03	6.62	12.0	9.78	30.78	2.58	23.59	24.81	8.58	5.32	42.11	31.0	16.51	18.7	11.38	17.0	3.44	20.71	198.47	129.69	33.54	72.52	35.5	44.57	84.63	90.14	26.28	48.52	46.84	25.17	45.53	341.51	30.78	52.08	143.01	85.82	159.9	74.06	31.45	63.0	33.54	42.41	14.89	25.35	353.59	476.71	607.87	1023.0
IL10RA	1378.57	1819.35	1651.0	26.86	52.08	57.49	68.07	71.5	60.82	1259.69	299.25	65.26	12.18	21.94	17.64	22.43	21.78	61.68	17.13	67.59	30.78	142.01	11.64	86.43	113.56	47.17	29.7	116.78	69.52	43.02	96.01	64.34	51.71	14.14	45.21	1313.23	220.32	50.27	199.85	62.56	123.5	412.0	162.14	92.7	466.88	130.6	88.26	244.57	620.67	155.5	353.59	253.23	503.95	217.27	409.15	205.5	148.09	166.73	64.34	128.79	156.59	1662.49	1991.0	1870.53	3395.89
IL16	921.88	954.43	878.17	38.4	63.45	86.43	45.85	45.53	42.71	503.95	183.82	40.64	28.45	24.11	17.9	25.54	86.43	78.89	28.04	55.1	61.25	108.14	16.27	63.45	125.24	23.25	20.41	107.38	91.41	54.72	100.13	94.67	63.89	36.53	74.58	1295.13	231.32	101.54	228.13	141.02	167.9	221.86	158.79	52.82	307.69	265.87	120.94	161.02	339.14	132.44	241.19	204.07	371.22	180.02	414.87	170.25	170.25	121.79	42.41	97.36	110.43	902.89	2004.85	1407.55	1909.85
INPP5D	1331.57	1159.07	1044.52	50.98	63.89	82.87	50.63	88.88	70.51	607.87	199.85	64.34	16.63	43.02	63.89	24.63	49.21	81.71	33.54	67.59	37.59	151.22	13.12	98.73	123.5	32.82	35.76	166.73	105.89	68.07	140.04	56.28	72.01	18.7	169.07	642.59	429.54	84.04	591.22	69.52	269.6	244.57	181.28	84.63	208.38	126.12	56.68	232.94	738.29	150.17	248.0	283.05	232.94	269.6	246.28	171.45	368.65	135.24	171.45	129.69	59.55	909.17	1745.2	708.18	1233.75
IRF2	902.89	1225.22	791.35	518.15	426.57	457.25	327.56	457.25	226.54	587.13	521.76	241.19	356.05	420.68	460.44	353.59	358.54	490.14	249.73	297.17	343.89	363.56	232.94	444.72	363.56	218.79	309.83	500.46	466.88	397.93	551.56	336.79	387.02	454.09	438.59	785.88	591.22	209.84	616.37	743.43	884.29	748.61	665.29	295.11	587.13	507.46	387.02	500.46	476.71	638.15	642.59	775.05	571.05	400.71	713.11	318.57	264.03	651.58	395.18	329.84	507.46	813.63	1127.35	1233.75	1331.57
ITGA4	665.29	642.59	171.45	9.06	8.58	8.92	13.93	19.82	6.26	68.07	53.57	4.5	3.69	4.21	12.0	0.6	3.82	14.24	4.94	11.3	3.29	14.89	2.89	25.91	18.84	4.35	3.38	57.89	12.45	9.34	29.27	6.41	10.79	3.38	7.69	154.42	237.86	41.81	177.53	13.93	76.17	43.02	75.11	43.32	38.67	60.39	15.34	41.81	476.71	87.03	19.68	115.97	44.25	163.28	38.4	60.39	97.36	68.07	10.96	30.56	16.03	660.68	318.57	307.69	551.56
KCTD12	1628.26	1628.26	1151.06	33.78	39.5	27.25	39.79	55.1	28.86	769.69	129.69	27.44	10.16	31.45	23.76	16.75	28.65	28.65	17.77	41.22	21.01	64.34	7.88	103.69	72.01	27.84	24.28	169.07	57.08	21.47	149.12	50.63	63.89	30.34	25.54	669.92	147.06	33.78	239.52	20.41	291.04	414.87	100.13	45.85	108.14	101.54	53.19	74.06	80.01	111.99	202.66	220.32	198.47	81.71	417.77	85.22	57.89	77.79	12.18	68.55	80.57	1977.24	1733.13	3716.2	2240.11
LCP2	1757.34	3060.45	1487.87	77.25	52.08	138.1	76.71	116.78	65.26	941.27	329.84	40.07	19.97	50.98	55.49	31.45	67.12	106.63	35.25	77.79	60.82	191.67	26.47	154.42	173.85	54.33	37.32	161.02	104.42	91.41	215.77	84.04	94.67	33.3	112.77	1628.26	1023.0	202.66	651.58	140.04	417.77	651.58	202.66	198.47	603.67	236.21	429.54	351.14	647.07	283.05	497.0	669.92	599.49	486.75	551.56	262.2	438.59	262.2	169.07	93.35	224.97	1617.0	1407.55	2061.24	2935.74
LEPREL1	480.04	1909.85	414.87	15.68	17.25	11.82	12.83	16.51	16.63	208.38	73.03	7.88	6.41	7.4	16.88	7.34	17.77	28.24	13.62	17.77	60.82	34.51	8.32	27.84	40.07	6.26	13.52	29.7	9.06	6.78	22.1	26.28	23.59	8.25	18.7	638.15	117.6	30.12	316.37	44.89	201.25	156.59	93.35	29.7	190.34	64.8	121.79	27.25	164.42	78.89	142.01	205.5	264.03	98.73	211.31	78.89	122.64	167.9	44.57	10.71	83.45	476.71	463.65	1250.98	555.41
LRRC8C	273.37	275.28	135.24	21.16	14.35	12.18	11.3	24.46	5.11	232.94	32.82	12.45	7.69	9.27	16.27	7.22	16.15	19.25	11.38	12.27	5.06	14.56	5.68	22.75	21.94	8.78	13.52	50.98	21.01	9.13	38.67	11.91	14.03	8.51	13.32	137.14	37.59	9.34	98.04	21.47	46.84	51.71	31.45	9.7	49.56	36.27	39.79	16.51	45.53	31.22	26.86	30.34	78.89	31.0	33.54	25.54	16.63	34.75	15.22	12.45	18.03	264.03	289.02	299.25	253.23
MAF	1044.52	775.05	1104.13	248.0	363.56	332.14	275.28	500.46	400.71	1447.15	511.0	620.67	108.14	183.82	177.53	112.77	265.87	260.38	106.63	260.38	202.66	454.09	119.26	429.54	379.04	57.08	305.55	444.72	137.14	95.34	476.71	303.44	289.02	435.55	96.01	967.76	575.03	688.78	457.25	543.96	543.96	860.08	540.19	521.76	872.1	928.3	688.78	450.94	693.58	656.11	559.28	743.43	775.05	536.45	583.07	563.18	220.32	638.15	447.82	358.54	567.1	1216.75	1662.49	1127.35	2271.4
MAML2	476.71	314.17	187.71	10.55	6.01	5.02	11.73	26.67	3.56	143.01	36.79	5.32	2.29	7.28	15.8	3.63	7.75	11.64	7.82	13.72	2.97	10.79	2.25	40.93	10.24	3.11	4.1	32.36	8.13	6.36	42.11	9.34	9.41	4.24	5.23	121.79	43.32	11.38	99.43	16.27	43.63	53.57	41.81	12.0	26.28	39.22	55.1	27.05	42.71	37.59	22.26	62.12	38.67	32.59	47.5	37.32	12.93	32.59	9.41	12.74	11.82	275.28	743.43	420.68	248.0
MEF2C	1167.14	830.75	371.22	68.07	48.18	34.02	37.05	52.45	30.12	395.18	105.15	42.11	29.27	40.07	52.82	29.48	55.89	63.45	39.22	50.98	29.06	59.13	19.11	92.7	76.71	20.11	39.79	201.25	48.87	23.93	88.88	45.53	57.89	26.67	29.27	363.56	251.48	46.5	295.11	83.45	164.42	98.73	78.89	75.64	69.03	138.1	42.41	65.72	154.42	153.34	70.01	106.63	125.24	95.34	83.45	85.82	96.68	145.02	24.28	39.79	74.06	633.73	1709.26	490.14	450.94
