	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RNOR.1326.SM.48FDE	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.TKQ2.1226.SM.4DXSV	GTEX.R53T.1026.SM.48FCO	GTEX.UPK5.1326.SM.4IHLE	GTEX.T2IS.0926.SM.4DM5B	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.12696.2226.SM.5EQ65	GTEX.WH7G.1526.SM.4LVMX
IFT172	361.04	248.0	303.44	218.79	264.03	1242.34	480.04	470.14	358.54	633.73	1832.01	1883.54	813.63	1685.71	1127.35	366.09	836.53	830.75	1268.46	1378.57	0.0	0.37	215.77	417.77	387.02	275.28	231.32	142.01
IQGAP2	102.25	104.42	223.41	226.54	198.47	728.11	164.42	99.43	172.65	536.45	941.27	1135.2	486.75	974.5	616.37	490.14	733.19	647.07	540.19	1023.0	0.0	0.49	234.57	363.56	303.44	177.53	371.22	136.19
ITFG2	341.51	476.71	435.55	343.89	387.02	684.02	679.29	426.57	454.09	713.11	1096.5	1023.0	854.13	1104.13	718.08	473.41	748.61	679.29	808.0	934.76	0.0	0.21	551.56	547.75	500.46	435.55	414.87	336.79
KDM4E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.56	1.31	0.0	1.17	1.19	0.3	1.25	2.61	0.8	5.23	0.0	0.0	0.0	0.0	0.19	0.36	0.0	1.06
KIAA0195	679.29	579.04	723.08	493.56	708.18	1159.07	1037.29	1023.0	988.12	1407.55	2032.85	2287.2	1721.16	1870.53	1781.89	1250.98	1427.22	1709.26	1991.0	1757.34	0.0	0.92	775.05	848.22	860.08	587.13	575.03	669.92
LLGL1	336.79	262.2	291.04	264.03	281.09	303.44	540.19	466.88	463.65	480.04	435.55	409.15	438.59	384.34	409.15	392.44	518.15	595.34	444.72	414.87	0.0	0.4	373.81	320.8	249.73	267.73	169.07	341.51
LRFN1	2.48	55.89	3.92	4.43	7.06	27.44	43.32	30.12	21.32	29.48	56.28	28.65	74.58	32.36	59.55	21.16	56.28	113.56	78.34	79.45	0.0	0.53	10.31	20.71	15.91	9.13	7.51	6.01
LRRC16B	0.89	5.02	1.75	1.77	1.77	10.63	9.34	31.45	8.19	16.27	12.83	23.93	23.25	9.56	16.39	9.34	5.77	19.97	10.24	24.63	0.0	0.4	3.92	1.81	2.43	3.0	0.55	1.46
LRRC6	21.32	9.13	53.57	33.78	39.79	87.65	107.38	83.45	55.1	131.51	96.68	226.54	81.71	236.21	180.02	52.08	93.35	92.7	131.51	102.25	0.0	0.34	58.3	43.02	46.84	31.0	27.44	24.63
LSMEM1	30.56	10.16	27.25	9.27	31.45	31.67	33.06	17.13	17.25	20.86	103.69	149.12	72.52	77.25	133.36	27.44	18.97	88.88	108.14	47.17	0.0	0.59	46.5	9.06	12.09	15.34	4.35	2.34
MARCH9	141.02	153.34	162.14	61.25	153.34	269.6	356.05	381.68	239.52	334.46	651.58	503.95	629.35	497.0	417.77	273.37	426.57	476.71	551.56	642.59	0.0	0.72	260.38	277.2	198.47	231.32	206.94	191.67
MFSD10	961.07	713.11	759.08	660.68	733.19	1331.57	1104.13	1322.37	1015.93	1388.16	2061.24	2502.97	1923.14	2287.2	1883.54	1340.84	1427.22	1950.0	1794.29	2758.13	0.0	1.23	1044.52	1066.48	1008.9	1175.27	480.04	848.22
MICALL2	187.71	438.59	189.02	231.32	271.48	616.37	624.99	616.37	389.72	854.13	1498.22	2417.67	1487.87	1519.15	1225.22	480.04	679.29	813.63	1639.59	1407.55	0.0	1.28	525.39	117.6	264.03	571.05	353.59	493.56
MXD4	928.3	493.56	775.05	339.14	947.83	1167.14	1794.29	466.88	808.0	1427.22	1407.55	1498.22	2004.85	1745.2	1457.23	819.3	1304.15	1508.65	1594.73	1628.26	0.0	0.38	1059.11	1331.57	1378.57	1023.0	928.3	1111.82
MYO19	226.54	165.57	102.25	130.6	127.0	409.15	242.88	669.92	98.04	457.25	819.3	1015.93	718.08	848.22	647.07	299.25	450.94	450.94	624.99	718.08	0.0	1.27	169.07	105.15	195.72	128.79	183.82	194.36
NAGK	1963.57	1605.83	1639.59	1331.57	1950.0	2104.58	2032.85	2104.58	1870.53	1883.54	1781.89	2119.22	2209.26	2104.58	1628.26	1923.14	1991.0	2018.8	1991.0	2047.0	0.0	0.35	2032.85	1295.13	1583.71	2004.85	1081.39	2018.8
NEIL1	166.73	159.9	156.59	91.41	147.06	361.04	363.56	351.14	346.29	444.72	1697.45	1950.0	1001.93	1844.76	1073.91	279.14	872.1	780.44	1378.57	1540.37	0.0	1.1	258.57	111.99	187.71	141.02	74.58	100.13
OSBPL7	88.26	46.18	76.17	36.27	102.97	177.53	91.41	51.71	43.94	332.14	473.41	769.69	450.94	796.86	332.14	139.07	141.02	417.77	607.87	591.22	0.0	0.85	140.04	90.77	99.43	89.51	51.71	81.14
P2RX7	37.05	36.01	55.89	62.12	65.72	159.9	189.02	62.56	55.49	94.67	176.29	114.36	115.16	115.97	72.01	37.32	126.12	120.94	193.01	76.71	0.0	0.31	52.08	36.27	48.52	16.51	11.21	43.63
PARP12	167.9	170.25	195.72	148.09	153.34	536.45	285.03	547.75	251.48	395.18	743.43	723.08	463.65	785.88	785.88	299.25	679.29	470.14	540.19	620.67	0.0	0.73	277.2	111.21	224.97	201.25	205.5	303.44
PDE4A	42.11	293.07	78.34	90.14	170.25	206.94	361.04	204.07	136.19	162.14	363.56	327.56	283.05	309.83	409.15	361.04	450.94	466.88	334.46	384.34	264.03	90.77	116.78	58.3	57.89	74.58	26.67	94.67
PHYKPL	348.71	249.73	316.37	366.09	351.14	915.51	733.19	718.08	612.11	1015.93	1583.71	1628.26	1159.07	1963.57	878.17	759.08	1044.52	1286.18	1674.06	1467.37	0.0	1.03	551.56	376.41	412.0	444.72	242.88	503.95
PIK3CD	70.51	26.86	108.14	61.68	83.45	141.02	127.89	212.78	189.02	273.37	285.03	255.0	361.04	260.38	231.32	149.12	285.03	297.17	309.83	295.11	0.0	0.59	126.12	80.01	98.04	80.01	24.63	223.41
PLEKHH1	28.45	35.5	31.45	21.16	27.44	163.28	47.5	41.22	55.89	209.84	507.46	603.67	379.04	466.88	318.57	138.1	144.01	183.82	269.6	277.2	0.0	0.52	32.36	90.77	145.02	161.02	127.0	30.34
PLXNA3	181.28	102.97	185.11	147.06	199.85	211.31	323.03	607.87	361.04	579.04	567.1	974.5	1030.12	836.53	961.07	295.11	624.99	579.04	941.27	1008.9	0.0	1.01	162.14	206.94	231.32	205.5	100.13	178.77
PLXNC1	16.15	15.0	62.12	24.99	44.25	61.25	34.26	152.28	75.64	124.37	186.4	273.37	131.51	175.07	143.01	98.04	180.02	180.02	186.4	118.43	0.0	0.39	49.91	27.05	33.54	18.97	15.22	38.12
POLG2	84.63	72.52	146.03	70.51	79.45	153.34	182.55	202.66	118.43	312.0	246.28	293.07	353.59	336.79	351.14	144.01	191.67	295.11	371.22	307.69	0.0	0.85	156.59	87.03	145.02	120.1	112.77	71.0
PON2	1313.23	612.11	1066.48	1066.48	909.17	1617.0	1519.15	1508.65	1175.27	1605.83	1794.29	1781.89	1757.34	1572.76	1628.26	890.44	1322.37	1378.57	1745.2	1977.24	0.0	1.0	1259.69	1051.79	947.83	733.19	921.88	1191.69
PPP1R9B	409.15	339.14	392.44	231.32	438.59	334.46	412.0	909.17	514.56	543.96	728.11	616.37	775.05	629.35	723.08	447.82	571.05	748.61	753.83	503.95	0.0	0.62	348.71	215.77	285.03	483.38	312.0	529.06
PRICKLE4	90.77	95.34	90.77	30.12	78.89	183.82	244.57	232.94	189.02	358.54	432.53	563.18	529.06	651.58	500.46	211.31	299.25	551.56	647.07	728.11	0.0	0.73	136.19	129.69	159.9	175.07	74.58	77.79
PSMA8	0.0	0.0	0.0	0.44	0.0	2.66	0.55	1.89	0.0	2.97	0.0	1.33	0.0	1.17	1.68	0.87	0.0	3.06	1.07	1.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAD52	98.73	260.38	142.01	85.82	182.55	198.47	224.97	199.85	138.1	314.17	447.82	612.11	547.75	642.59	583.07	228.13	273.37	490.14	884.29	507.46	0.0	0.23	190.34	140.04	119.26	123.5	60.39	109.66
RBM4B	346.29	262.2	329.84	154.42	348.71	480.04	802.41	287.01	358.54	616.37	540.19	587.13	660.68	583.07	567.1	395.18	583.07	563.18	551.56	693.58	0.0	0.2	493.56	457.25	381.68	460.44	301.33	187.71
RFNG	921.88	1119.56	759.08	571.05	791.35	872.1	988.12	819.3	941.27	1127.35	1605.83	2119.22	1427.22	1819.35	1508.65	1088.92	1111.82	1477.58	1369.04	1709.26	0.0	0.83	921.88	1199.98	842.36	854.13	563.18	802.41
RP11-295P9.3	90.77	69.52	103.69	78.89	60.82	169.07	312.0	212.78	181.28	414.87	651.58	1151.06	511.0	728.11	884.29	181.28	332.14	483.38	718.08	563.18	0.0	1.01	105.89	40.36	74.58	55.49	42.41	63.45
RTKN	81.71	135.24	124.37	102.97	135.24	412.0	301.33	525.39	211.31	341.51	647.07	748.61	665.29	629.35	514.56	339.14	429.54	497.0	616.37	780.44	0.0	0.66	281.09	181.28	175.07	221.86	134.3	102.97
SAMD10	37.32	57.49	6.94	6.62	12.83	43.02	40.36	29.7	53.95	93.35	223.41	229.72	185.11	122.64	148.09	105.15	178.77	180.02	125.24	187.71	0.0	0.53	43.32	56.28	117.6	131.51	64.34	41.22
SAMD9L	27.44	18.16	50.63	38.67	41.81	106.63	90.14	146.03	75.64	176.29	236.21	212.78	145.02	234.57	148.09	114.36	400.71	151.22	172.65	181.28	237.86	55.1	58.71	26.86	38.12	19.39	9.63	60.39
SEMA4G	9.85	11.21	13.12	21.16	7.57	150.17	21.63	24.63	46.18	211.31	64.8	236.21	199.85	112.77	72.01	151.22	189.02	229.72	162.14	397.93	0.0	0.32	64.8	37.05	126.12	22.59	41.22	65.72
SIPA1	400.71	1151.06	595.34	603.67	674.59	878.17	934.76	825.0	764.36	1143.1	1250.98	1572.76	1167.14	1467.37	1304.15	878.17	836.53	1369.04	1594.73	1295.13	0.0	0.91	612.11	476.71	417.77	679.29	341.51	587.13
SLC12A9	607.87	432.53	309.83	226.54	316.37	466.88	473.41	616.37	417.77	507.46	791.35	1001.93	819.3	791.35	579.04	275.28	555.41	718.08	1111.82	791.35	0.0	0.41	371.22	426.57	473.41	555.41	444.72	371.22
SLC18B1	161.02	95.34	130.6	187.71	89.51	273.37	220.32	162.14	141.02	329.84	371.22	368.65	312.0	325.29	260.38	118.43	249.73	248.0	323.03	309.83	0.0	0.28	165.57	74.58	90.14	33.78	32.36	63.0
SMAD6	128.79	43.32	104.42	45.53	100.13	45.53	133.36	93.35	86.43	206.94	264.03	248.0	279.14	162.14	312.0	204.07	217.27	536.45	226.54	149.12	0.0	0.06	209.84	125.24	136.19	226.54	154.42	149.12
SMO	91.41	256.78	265.87	155.5	166.73	194.36	353.59	309.83	395.18	438.59	941.27	1066.48	1127.35	830.75	738.29	297.17	718.08	1111.82	1175.27	1127.35	0.0	0.54	395.18	444.72	314.17	318.57	221.86	134.3
SNX14	830.75	665.29	599.49	575.03	629.35	988.12	575.03	665.29	620.67	825.0	1143.1	1561.89	988.12	1216.75	1167.14	665.29	941.27	1044.52	1135.2	1322.37	1417.35	130.6	909.17	660.68	753.83	759.08	612.11	376.41
SOX12	267.73	460.44	253.23	84.04	267.73	234.57	624.99	395.18	231.32	463.65	532.74	507.46	759.08	348.71	493.56	291.04	532.74	836.53	591.22	532.74	166.73	412.0	273.37	265.87	341.51	197.09	277.2	201.25
SRCIN1	3.32	8.19	3.99	8.0	4.5	50.98	158.79	76.71	96.68	70.01	271.48	279.14	114.36	232.94	154.42	100.83	156.59	139.07	157.68	231.32	0.0	0.31	10.88	6.46	16.75	20.86	4.13	2.07
SRSF2	2875.3	1769.57	1662.49	2935.74	1697.45	2591.27	2303.12	4607.24	3325.99	3303.0	3874.05	3874.05	3794.3	3515.68	3515.68	2400.97	2956.17	2835.7	3349.13	4152.18	3257.52	974.5	2468.49	2335.28	2133.97	2367.9	3103.19	3124.78
STAMBPL1	38.4	38.4	48.52	60.82	100.83	151.22	44.89	62.12	80.01	169.07	361.04	441.64	176.29	361.04	264.03	116.78	131.51	140.04	217.27	258.57	0.0	0.27	50.27	19.39	27.05	14.56	21.47	18.29
STAT2	718.08	483.38	1023.0	669.92	785.88	1159.07	1331.57	2090.03	1233.75	1417.35	2609.3	2520.38	2739.08	2335.28	2400.97	842.36	1757.34	1909.85	3018.3	1844.76	2148.82	2384.37	860.08	878.17	848.22	830.75	665.29	571.05
STK11	759.08	642.59	723.08	543.96	808.0	860.08	909.17	909.17	825.0	1059.11	1757.34	1639.59	1487.87	1498.22	1397.83	713.11	1037.29	1088.92	1594.73	1467.37	1277.29	148.09	825.0	1015.93	599.49	713.11	583.07	540.19
TAGLN	561916.97	517068.97	459592.86	301123.38	623486.02	869603.57	3113270.58	857631.47	1703415.74	411347.03	217400.14	208544.12	311742.51	205673.01	204252.32	602247.76	253213.41	241220.67	193234.41	217400.14	0.0	1.16	731246.37	573724.06	691801.16	565825.41	632189.57	585779.24
TBC1D24	85.82	161.02	221.86	141.02	96.01	103.69	197.09	89.51	122.64	202.66	194.36	237.86	281.09	137.14	170.25	92.7	131.51	193.01	194.36	185.11	83.45	73.03	105.15	74.06	127.0	102.25	78.89	72.52
