	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A1QO.01A.11R.A14Y.07	TCGA.J8.A3YF.01A.12R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E3.A3E0.01A.11R.A20F.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.DJ.A3V4.01A.11R.A22U.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.ET.A39P.01A.21R.A19O.07	TCGA.EM.A2P3.01A.11R.A206.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.EL.A3GX.01A.11R.A206.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FF.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.E8.A434.01A.11R.A23N.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EM.A2P1.01A.11R.A206.07	TCGA.DJ.A13L.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A23A.01A.11R.A16R.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.EM.A3FK.01A.11R.A21D.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25N.01A.11R.A16R.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A3BN.01A.11R.A19O.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.DJ.A4V2.01A.11R.A250.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.DJ.A1QE.01A.21R.A14Y.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.J8.A3YE.01A.12R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EL.A3GU.01A.11R.A21D.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.FY.A3BL.01A.11R.A19O.07	TCGA.E8.A2JQ.01A.11R.A180.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.ET.A3DO.01A.11R.A19O.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A13U.01A.11R.A10U.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.IM.A3ED.01A.11R.A206.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.KS.A4I3.01A.11R.A250.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.DE.A4MB.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.H2.A422.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.IM.A4EB.01A.11R.A250.07	TCGA.EL.A3T1.01A.11R.A22L.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.MK.A4N6.01A.11R.A250.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.EM.A2CP.01A.11R.A180.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.DJ.A2PP.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.FY.A40L.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A3V5.01A.11R.A22U.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.FY.A3RA.01A.11R.A220.07	TCGA.BJ.A45G.01A.11R.A23W.07	TCGA.EL.A3CV.01A.11R.A19O.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.FE.A231.01A.11R.A14Y.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.WHSE.0626.SM.4RGNF	TCGA.AJ.A3BK.01A.11R.A19W.07
DERL2	1883.54	98.73	738.29	1143.1	1628.26	1104.13	1605.83	1457.23	1295.13	1806.78	1781.89	1519.15	1388.16	1023.0	1369.04	2835.7	1832.01	1467.37	1639.59	1519.15	1233.75	1437.15	981.29	1551.09	1369.04	1883.54	1388.16	1467.37	1259.69	1896.65	1167.14	1651.0	1268.46	1508.65	1295.13	1733.13	1477.58	1369.04	1322.37	1870.53	2240.11	1651.0	1936.53	1216.75	1508.65	1519.15	1662.49	1794.29	2032.85	1208.34	1709.26	1304.15	1447.15	1096.5	1397.83	1191.69	2061.24	1313.23	1066.48	1350.18	2119.22	1051.79	1135.2	1781.89	1331.57	1508.65	1081.39	1617.0	1572.76	1909.85	1628.26	1397.83	1397.83	1794.29	974.5	1216.75	974.5	1551.09	1487.87	1208.34	2255.7	1073.91	1447.15	1572.76	2502.97	1991.0	1950.0	1857.6	1950.0	1769.57	1037.29	1167.14	1350.18	1359.57	1143.1	1378.57	2701.35	1359.57	1477.58	1487.87	1662.49	1259.69	1322.37	1304.15	1733.13	1388.16	2209.26	2434.5	2271.4	1551.09	1059.11	1733.13	1674.06	1417.35	1551.09	1286.18	1286.18	1388.16	1498.22	981.29	1594.73	1508.65	1794.29	1044.52	1617.0	2287.2	1378.57	1709.26	1175.27	1457.23	1127.35	1378.57	1617.0	1397.83	1417.35	1397.83	1322.37	941.27	1923.14	1427.22	954.43	1508.65	2209.26	1447.15	1457.23	1697.45	1745.2	1417.35	1963.57	890.44	1628.26	1806.78	909.17	1044.52	1331.57	1183.45	1427.22	1051.79	1159.07	1936.53	1304.15	1467.37	2367.9	1572.76	1540.37	1437.15	1781.89	1242.34	1594.73	1769.57	1844.76	1015.93	1044.52	1135.2	1617.0	1242.34	2367.9	1457.23	1685.71	1794.29	1242.34	1304.15	2004.85	1159.07	1709.26	1991.0	1175.27	1397.83	1001.93	1806.78	1369.04	947.83	2075.59
DGCR14	152.28	0.51	155.5	195.72	339.14	379.04	376.41	231.32	351.14	336.79	400.71	314.17	289.02	312.0	301.33	175.07	358.54	332.14	356.05	339.14	361.04	381.68	244.57	307.69	426.57	379.04	307.69	309.83	403.5	198.47	334.46	435.55	307.69	314.17	309.83	379.04	392.44	307.69	323.03	341.51	267.73	258.57	389.72	325.29	447.82	414.87	325.29	334.46	265.87	287.01	395.18	366.09	341.51	323.03	275.28	309.83	186.4	212.78	384.34	341.51	234.57	256.78	209.84	334.46	291.04	299.25	237.86	435.55	249.73	389.72	299.25	312.0	312.0	301.33	305.55	283.05	253.23	387.02	373.81	314.17	403.5	293.07	339.14	323.03	325.29	242.88	429.54	336.79	348.71	395.18	486.75	318.57	309.83	353.59	358.54	318.57	406.31	368.65	420.68	351.14	265.87	356.05	334.46	395.18	387.02	183.82	420.68	409.15	314.17	353.59	318.57	366.09	351.14	312.0	318.57	332.14	343.89	307.69	351.14	320.8	314.17	244.57	314.17	277.2	371.22	323.03	336.79	271.48	316.37	412.0	258.57	220.32	343.89	358.54	348.71	320.8	283.05	299.25	316.37	189.02	312.0	339.14	271.48	356.05	343.89	387.02	432.53	190.34	486.75	295.11	341.51	432.53	318.57	291.04	255.0	327.56	285.03	291.04	285.03	332.14	305.55	397.93	291.04	420.68	339.14	305.55	346.29	373.81	403.5	387.02	289.02	283.05	336.79	287.01	400.71	293.07	420.68	389.72	323.03	343.89	303.44	341.51	406.31	343.89	279.14	361.04	277.2	323.03	325.29	346.29	334.46	223.41	447.82
DHRS4	529.06	0.49	764.36	1030.12	587.13	718.08	753.83	1233.75	612.11	902.89	764.36	780.44	656.11	1044.52	656.11	656.11	1199.98	693.58	813.63	629.35	575.03	896.64	536.45	480.04	1015.93	733.19	595.34	583.07	764.36	1331.57	775.05	878.17	896.64	559.28	620.67	708.18	656.11	830.75	314.17	928.3	813.63	514.56	866.07	447.82	599.49	884.29	607.87	848.22	764.36	612.11	860.08	723.08	642.59	607.87	629.35	620.67	791.35	624.99	733.19	642.59	769.69	616.37	796.86	921.88	395.18	941.27	679.29	708.18	708.18	769.69	967.76	435.55	759.08	1111.82	543.96	507.46	679.29	961.07	738.29	647.07	764.36	656.11	559.28	543.96	785.88	693.58	748.61	842.36	769.69	713.11	764.36	708.18	698.41	848.22	775.05	551.56	1498.22	915.51	733.19	780.44	813.63	928.3	819.3	743.43	743.43	633.73	1096.5	915.51	1096.5	791.35	688.78	693.58	802.41	587.13	669.92	713.11	764.36	878.17	995.0	791.35	796.86	967.76	1417.35	470.14	825.0	638.15	698.41	607.87	915.51	1096.5	688.78	642.59	808.0	688.78	791.35	665.29	612.11	738.29	1135.2	559.28	575.03	669.92	872.1	603.67	830.75	759.08	830.75	514.56	1191.69	713.11	647.07	769.69	536.45	567.1	480.04	759.08	603.67	521.76	612.11	796.86	785.88	961.07	1059.11	764.36	738.29	902.89	674.59	802.41	775.05	679.29	836.53	693.58	808.0	713.11	769.69	647.07	981.29	629.35	896.64	1447.15	633.73	633.73	780.44	753.83	802.41	733.19	599.49	638.15	624.99	733.19	909.17	525.39	3419.52
DHRS4L2	329.84	0.42	500.46	607.87	476.71	567.1	500.46	902.89	320.8	543.96	356.05	397.93	503.95	860.08	373.81	414.87	575.03	463.65	389.72	521.76	414.87	612.11	299.25	343.89	603.67	669.92	435.55	271.48	651.58	909.17	521.76	599.49	620.67	612.11	387.02	253.23	414.87	532.74	202.66	490.14	559.28	373.81	612.11	376.41	476.71	743.43	376.41	559.28	660.68	341.51	429.54	575.03	361.04	373.81	318.57	353.59	476.71	361.04	536.45	389.72	591.22	323.03	583.07	738.29	309.83	748.61	373.81	540.19	447.82	507.46	503.95	318.57	441.64	583.07	409.15	301.33	309.83	718.08	490.14	417.77	555.41	351.14	346.29	529.06	733.19	567.1	684.02	493.56	665.29	563.18	389.72	435.55	521.76	599.49	518.15	307.69	1096.5	595.34	490.14	441.64	579.04	638.15	435.55	599.49	665.29	329.84	642.59	708.18	995.0	444.72	511.0	543.96	633.73	473.41	400.71	450.94	476.71	500.46	633.73	387.02	500.46	543.96	1277.29	234.57	607.87	547.75	547.75	356.05	620.67	595.34	423.61	325.29	587.13	633.73	466.88	356.05	379.04	395.18	638.15	470.14	283.05	514.56	591.22	500.46	612.11	703.28	559.28	279.14	988.12	397.93	532.74	642.59	323.03	392.44	521.76	373.81	423.61	273.37	426.57	476.71	320.8	878.17	708.18	616.37	363.56	395.18	363.56	540.19	575.03	373.81	536.45	379.04	476.71	438.59	532.74	376.41	854.13	450.94	679.29	1151.06	336.79	361.04	679.29	514.56	368.65	483.38	397.93	426.57	460.44	486.75	599.49	281.09	1674.06
DKFZP779J2370	0.0	0.0	8.71	28.45	69.03	28.86	37.32	55.89	39.79	24.28	51.35	50.27	38.12	129.69	25.35	17.25	145.02	46.18	33.3	68.55	19.39	27.84	10.79	65.26	48.18	99.43	9.56	26.47	59.55	59.13	25.17	101.54	46.18	29.48	15.56	41.52	69.03	91.41	12.0	95.34	39.5	24.81	93.35	21.01	115.16	106.63	31.45	80.01	56.68	4.03	90.14	10.71	37.05	23.42	19.68	40.36	25.54	19.39	15.45	25.54	100.13	29.7	46.5	50.63	25.72	106.63	19.53	72.52	25.91	175.07	17.13	36.01	28.65	44.57	11.91	23.08	37.05	119.26	23.25	20.11	110.43	0.0	27.25	51.35	70.01	83.45	133.36	47.84	141.02	72.01	40.07	34.51	41.52	20.11	44.25	28.04	42.41	30.34	12.0	41.81	53.57	33.78	63.45	67.59	85.82	8.06	59.13	143.01	195.72	34.02	31.0	59.13	28.04	20.11	39.5	30.12	30.56	23.59	46.18	23.76	23.93	16.27	76.71	8.92	49.91	55.1	51.35	1.85	49.21	49.91	0.0	15.68	67.12	52.45	20.26	24.63	38.12	17.77	52.08	24.11	14.56	24.11	34.75	92.7	33.54	131.51	66.65	64.34	125.24	19.97	35.76	164.42	25.35	24.11	92.05	12.09	37.32	4.78	25.72	16.75	36.27	101.54	23.59	33.78	37.32	15.56	37.32	24.11	116.78	6.01	17.51	13.72	33.3	31.9	75.64	17.0	46.84	40.93	46.5	162.14	22.59	28.24	148.09	71.5	31.45	32.59	13.93	33.06	19.97	73.03	16.27	4.39	63.0
DPM3	1008.9	1.0	1225.22	3515.68	3540.14	2400.97	4450.27	3540.14	3280.18	4038.61	4181.07	2682.69	3146.52	2148.82	2485.67	2855.44	3665.02	3235.01	3820.7	4123.49	4210.15	3614.55	1806.78	4152.18	3257.52	4869.99	3018.3	2119.22	3690.52	3419.52	2609.3	4736.79	4095.0	1950.0	3168.41	3665.02	3467.27	4328.55	2351.53	3589.58	4836.35	1819.35	3716.2	2335.28	3039.3	5255.91	2720.15	4607.24	5366.37	2148.82	4903.87	3303.0	3168.41	2240.11	1745.2	2351.53	3303.0	2047.0	3303.0	2956.17	5112.16	2303.12	2997.45	5913.33	2255.7	3257.52	2451.44	6079.61	3419.52	5147.73	3349.13	2645.74	3665.02	3280.18	1896.65	2351.53	2104.58	3847.29	3874.05	2163.77	7382.04	2047.0	4298.64	2271.4	4704.07	4671.57	3847.29	3820.7	5147.73	3742.05	3146.52	2468.49	2047.0	3103.19	4181.07	3794.3	5479.15	3443.31	3018.3	3639.7	4419.52	3768.09	3190.46	3665.02	3303.0	2520.38	5594.3	6607.01	5995.9	3491.39	2720.15	2816.11	2720.15	2976.74	3039.3	2701.35	2720.15	2956.17	2835.7	2935.74	4123.49	2609.3	4575.41	1487.87	4152.18	4512.4	3467.27	2367.9	3901.01	3443.31	2573.36	1467.37	4298.64	4450.27	3060.45	2777.33	3280.18	2075.59	3146.52	2468.49	2178.83	4575.41	3325.99	2976.74	2796.65	5479.15	4639.29	3768.09	5831.91	2271.4	3280.18	3982.99	2384.37	2104.58	2400.97	2682.69	1936.53	1936.53	4210.15	2664.15	3742.05	4937.99	2720.15	4268.94	4239.45	2255.7	4152.18	2956.17	5555.65	2351.53	3982.99	2303.12	3716.2	1977.24	4769.75	2502.97	6121.9	4769.75	4481.23	5183.54	2303.12	2816.11	3665.02	4152.18	3235.01	4268.94	1417.35	3955.48	2609.3	3081.75	2400.97	2351.53	7032.37
EMC6	497.0	0.43	356.05	1457.23	1023.0	825.0	1447.15	2271.4	1208.34	1051.79	1001.93	825.0	669.92	1340.84	780.44	981.29	1369.04	921.88	785.88	1030.12	1001.93	967.76	660.68	1467.37	1151.06	934.76	896.64	723.08	1304.15	1844.76	866.07	1216.75	1674.06	743.43	713.11	1051.79	995.0	1051.79	941.27	915.51	1051.79	1001.93	1199.98	819.3	1066.48	1208.34	791.35	1119.56	1088.92	854.13	848.22	941.27	866.07	555.41	796.86	708.18	1073.91	612.11	703.28	842.36	1407.55	633.73	941.27	1183.45	1008.9	1001.93	890.44	1143.1	1030.12	1088.92	738.29	1167.14	860.08	1051.79	854.13	1023.0	825.0	1135.2	1225.22	836.53	1769.57	547.75	1250.98	591.22	1322.37	1119.56	1437.15	1639.59	1757.34	1199.98	921.88	848.22	848.22	587.13	854.13	947.83	1540.37	928.3	775.05	785.88	1135.2	928.3	802.41	860.08	1127.35	802.41	1832.01	1857.6	1313.23	995.0	961.07	890.44	1001.93	967.76	698.41	1044.52	830.75	1051.79	1044.52	854.13	723.08	842.36	1883.54	733.19	1167.14	974.5	872.1	559.28	713.11	1127.35	890.44	674.59	1437.15	759.08	791.35	1066.48	808.0	842.36	1733.13	1159.07	476.71	1066.48	775.05	1073.91	1066.48	1313.23	1242.34	1001.93	1183.45	934.76	902.89	1127.35	808.0	764.36	909.17	764.36	583.07	723.08	954.43	679.29	884.29	1295.13	995.0	860.08	1369.04	836.53	1051.79	884.29	1073.91	1242.34	981.29	551.56	791.35	802.41	1286.18	842.36	1407.55	928.3	1175.27	1397.83	642.59	775.05	1477.58	1081.39	974.5	1044.52	738.29	1709.26	848.22	1151.06	674.59	1015.93	1159.07
EMC8	277.2	0.69	353.59	470.14	476.71	470.14	507.46	830.75	412.0	435.55	447.82	447.82	395.18	579.04	409.15	476.71	575.03	476.71	429.54	395.18	432.53	438.59	339.14	473.41	473.41	450.94	454.09	435.55	532.74	529.06	426.57	460.44	583.07	403.5	412.0	540.19	429.54	514.56	366.09	503.95	490.14	368.65	486.75	420.68	457.25	490.14	384.34	511.0	503.95	373.81	473.41	444.72	493.56	368.65	351.14	346.29	518.15	303.44	339.14	457.25	607.87	346.29	470.14	460.44	409.15	429.54	435.55	371.22	521.76	414.87	397.93	414.87	460.44	500.46	521.76	414.87	414.87	567.1	447.82	395.18	583.07	432.53	454.09	361.04	536.45	543.96	454.09	599.49	444.72	432.53	400.71	389.72	387.02	356.05	384.34	417.77	547.75	450.94	420.68	463.65	314.17	444.72	423.61	417.77	429.54	381.68	457.25	660.68	567.1	490.14	414.87	368.65	392.44	420.68	327.56	441.64	358.54	493.56	432.53	392.44	368.65	473.41	684.02	287.01	463.65	525.39	435.55	353.59	429.54	423.61	417.77	281.09	454.09	358.54	438.59	435.55	432.53	387.02	638.15	314.17	341.51	483.38	514.56	480.04	466.88	447.82	511.0	426.57	525.39	381.68	426.57	447.82	470.14	409.15	397.93	392.44	303.44	420.68	351.14	389.72	483.38	426.57	438.59	466.88	447.82	463.65	457.25	358.54	466.88	665.29	432.53	366.09	368.65	387.02	575.03	409.15	595.34	435.55	587.13	1066.48	409.15	426.57	514.56	417.77	463.65	567.1	381.68	529.06	420.68	409.15	307.69	314.17	547.75
EMC9	237.86	0.78	329.84	463.65	813.63	503.95	842.36	620.67	435.55	928.3	748.61	503.95	733.19	775.05	567.1	890.44	813.63	708.18	974.5	780.44	575.03	842.36	466.88	624.99	915.51	1001.93	529.06	603.67	954.43	872.1	688.78	872.1	1023.0	620.67	595.34	836.53	896.64	1081.39	612.11	836.53	830.75	486.75	583.07	444.72	848.22	921.88	417.77	1104.13	909.17	435.55	1015.93	785.88	688.78	432.53	420.68	521.76	567.1	400.71	713.11	651.58	1437.15	381.68	796.86	915.51	651.58	764.36	738.29	884.29	624.99	981.29	490.14	406.31	753.83	507.46	371.22	490.14	403.5	836.53	830.75	547.75	1225.22	563.18	878.17	583.07	954.43	1066.48	651.58	890.44	1081.39	738.29	703.28	555.41	567.1	674.59	902.89	409.15	825.0	753.83	764.36	633.73	995.0	642.59	819.3	753.83	890.44	529.06	1605.83	1551.09	967.76	518.15	684.02	660.68	603.67	780.44	616.37	665.29	688.78	890.44	728.11	587.13	1008.9	457.25	808.0	325.29	1111.82	579.04	848.22	518.15	728.11	759.08	785.88	438.59	967.76	638.15	723.08	733.19	607.87	665.29	698.41	733.19	511.0	909.17	753.83	688.78	866.07	1023.0	921.88	529.06	1233.75	647.07	656.11	656.11	647.07	607.87	769.69	665.29	460.44	518.15	819.3	674.59	514.56	1008.9	525.39	981.29	819.3	909.17	808.0	457.25	1151.06	543.96	713.11	366.09	764.36	532.74	974.5	358.54	591.22	607.87	759.08	1051.79	387.02	603.67	1096.5	656.11	693.58	1015.93	343.89	934.76	728.11	669.92	483.38	703.28	1651.0
ERAL1	571.05	0.34	262.2	928.3	836.53	890.44	780.44	1519.15	759.08	769.69	941.27	791.35	780.44	1159.07	674.59	660.68	909.17	738.29	703.28	759.08	836.53	738.29	660.68	693.58	759.08	947.83	775.05	723.08	780.44	1350.18	713.11	764.36	808.0	651.58	759.08	780.44	723.08	703.28	718.08	808.0	785.88	688.78	728.11	656.11	813.63	860.08	638.15	860.08	872.1	603.67	921.88	698.41	748.61	651.58	579.04	638.15	896.64	532.74	759.08	607.87	825.0	607.87	836.53	902.89	674.59	802.41	679.29	884.29	842.36	866.07	733.19	708.18	842.36	780.44	642.59	633.73	693.58	836.53	796.86	688.78	921.88	698.41	860.08	813.63	808.0	921.88	775.05	738.29	808.0	780.44	813.63	703.28	629.35	819.3	819.3	647.07	1066.48	656.11	825.0	651.58	830.75	753.83	830.75	802.41	796.86	638.15	1015.93	825.0	961.07	796.86	656.11	693.58	660.68	679.29	629.35	698.41	728.11	836.53	775.05	684.02	896.64	656.11	1331.57	480.04	708.18	759.08	796.86	616.37	941.27	796.86	759.08	447.82	780.44	866.07	775.05	656.11	791.35	764.36	1175.27	759.08	620.67	738.29	866.07	669.92	733.19	748.61	780.44	860.08	974.5	633.73	713.11	759.08	733.19	642.59	688.78	684.02	698.41	551.56	728.11	656.11	825.0	830.75	728.11	988.12	638.15	830.75	703.28	753.83	854.13	1143.1	791.35	665.29	796.86	591.22	802.41	669.92	813.63	733.19	819.3	967.76	728.11	759.08	890.44	713.11	624.99	759.08	656.11	733.19	785.88	759.08	769.69	429.54	1721.16
EXOSC4	206.94	0.24	234.57	733.19	708.18	651.58	738.29	532.74	638.15	583.07	595.34	571.05	450.94	780.44	480.04	733.19	1008.9	532.74	638.15	529.06	764.36	532.74	400.71	660.68	563.18	808.0	536.45	432.53	728.11	559.28	507.46	769.69	743.43	358.54	529.06	693.58	571.05	567.1	540.19	583.07	532.74	293.07	684.02	543.96	825.0	819.3	507.46	679.29	769.69	473.41	764.36	718.08	567.1	376.41	447.82	507.46	612.11	348.71	463.65	435.55	780.44	423.61	660.68	688.78	518.15	647.07	518.15	660.68	540.19	860.08	540.19	599.49	511.0	616.37	514.56	476.71	460.44	769.69	759.08	540.19	1135.2	450.94	808.0	376.41	884.29	693.58	769.69	555.41	854.13	708.18	579.04	486.75	470.14	476.71	674.59	540.19	1233.75	616.37	551.56	624.99	860.08	599.49	575.03	629.35	713.11	473.41	764.36	1183.45	1143.1	529.06	500.46	555.41	642.59	563.18	414.87	703.28	500.46	490.14	587.13	470.14	529.06	406.31	967.76	267.73	674.59	748.61	507.46	363.56	647.07	595.34	583.07	249.73	698.41	769.69	563.18	607.87	463.65	473.41	532.74	327.56	358.54	703.28	591.22	660.68	651.58	848.22	665.29	555.41	764.36	473.41	642.59	656.11	454.09	511.0	470.14	543.96	262.2	438.59	500.46	591.22	607.87	848.22	575.03	642.59	599.49	395.18	612.11	607.87	759.08	703.28	708.18	381.68	529.06	493.56	791.35	466.88	928.3	575.03	733.19	1331.57	463.65	521.76	967.76	665.29	511.0	660.68	460.44	802.41	507.46	698.41	368.65	316.37	3564.78
