	TCGA.L5.A4OF.01A.11R.A260.31	TCGA.R6.A8W5.01B.11R.A37I.31	TCGA.L5.A4OH.01A.11R.A260.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.2H.A9GN.01A.11R.A37I.31	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.145MF.0826.SM.5QGQA	TCGA.FE.A232.01A.11R.A14Y.07
ALPI	96.68	2.16	75.11	11.38	19.68	0.0	0.0	0.0	0.0	0.0	0.51	0.0
ALS2CL	1870.53	438.59	2335.28	2018.8	723.08	295.11	115.16	172.65	139.07	305.55	119.26	759.08
ANKLE2	1991.0	1259.69	1697.45	1437.15	1844.76	435.55	358.54	309.83	264.03	363.56	220.32	848.22
ANKRD49	514.56	356.05	540.19	540.19	351.14	189.02	157.68	118.43	120.1	189.02	98.04	209.84
ANKRD9	253.23	358.54	318.57	384.34	273.37	186.4	118.43	77.25	114.36	88.88	208.38	111.21
AP001468.1	120.94	48.52	198.47	81.14	158.79	21.94	0.0	10.55	6.62	15.45	6.16	4.9
AP5B1	376.41	224.97	334.46	163.28	248.0	70.51	56.68	38.95	25.91	68.55	51.35	152.28
ATG2A	463.65	447.82	842.36	473.41	599.49	329.84	368.65	406.31	195.72	305.55	363.56	450.94
B3GNT8	595.34	61.25	1487.87	587.13	902.89	15.56	25.54	12.27	8.25	22.43	2.16	229.72
BCL7B	1498.22	1066.48	2255.7	1059.11	1709.26	1008.9	878.17	791.35	785.88	1008.9	802.41	1304.15
BTBD19	320.8	164.42	153.34	217.27	120.94	118.43	47.84	56.68	74.58	65.72	36.27	153.34
BTNL9	218.79	37.59	1119.56	312.0	154.42	76.17	35.0	13.22	30.56	60.39	21.16	127.0
BX255923.1	4.24	0.24	7.82	7.69	0.68	1.62	0.0	0.54	1.13	0.0	0.0	1.22
C19orf69	60.82	0.85	70.01	13.52	2.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf106	6887.62	1104.13	7032.37	718.08	441.64	52.45	22.92	8.06	7.34	32.59	0.0	182.55
C1orf170	185.11	217.27	1819.35	60.82	79.45	8.58	2.25	2.89	0.99	9.56	0.0	106.63
C20orf24	5403.7	3665.02	50709.61	3491.39	6381.92	2520.38	2351.53	1896.65	2627.46	2537.92	2758.13	1295.13
CASP10	260.38	264.03	507.46	559.28	536.45	114.36	80.57	55.49	75.11	125.24	96.01	183.82
CCDC85B	967.76	1295.13	2119.22	961.07	1583.71	543.96	264.03	153.34	232.94	214.27	638.15	1572.76
CCNL2	5255.91	3443.31	11035.54	5479.15	5076.84	2287.2	1081.39	733.19	1059.11	1617.0	1250.98	2434.5
CDC25B	1583.71	8191.0	6792.79	6207.38	7280.4	283.05	327.56	264.03	336.79	379.04	102.25	780.44
CDC42EP2	1745.2	493.56	2502.97	860.08	2163.77	97.36	191.67	68.07	51.71	93.35	44.25	316.37
CEACAM1	7966.99	1304.15	7589.61	1757.34	4903.87	796.86	665.29	775.05	698.41	819.3	909.17	134.3
CEACAM18	12.55	1.08	12.74	3.41	1.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CELA3A	0.31	52.45	412.0	15.45	3.69	0.0	0.0	0.0	0.0	0.0	0.0	7.384883894E8
CEP164	507.46	753.83	1001.93	813.63	551.56	206.94	82.29	80.01	92.7	159.9	140.04	325.29
CEP250	336.79	387.02	1250.98	454.09	463.65	116.78	64.34	53.95	41.22	123.5	63.45	214.27
CHD5	8.65	14.45	38.12	87.65	14.56	0.75	3.17	0.0	0.0	0.0	0.0	4.5
CLDN4	17681.08	3168.41	149521.18	8901.53	11909.94	231.32	72.01	27.64	92.7	111.21	17.25	8191.0
CLUH	2739.08	2609.3	2573.36	1697.45	2645.74	2193.99	2004.85	1721.16	1583.71	1819.35	1583.71	575.03
CMTR2	514.56	366.09	579.04	470.14	193.01	220.32	157.68	115.97	143.01	228.13	125.24	249.73
CPNE1	6337.83	3614.55	17197.56	7537.18	2537.92	1605.83	934.76	1936.53	909.17	1733.13	1870.53	4152.18
CREBZF	1378.57	693.58	1721.16	1268.46	1268.46	521.76	256.78	209.84	265.87	373.81	256.78	420.68
CTC-349C3.1	325.29	107.38	327.56	406.31	277.2	21.78	13.62	20.86	8.92	27.64	2.71	19.82
DBNDD2	3081.75	3665.02	6381.92	3443.31	2400.97	346.29	221.86	107.38	136.19	246.28	59.97	1304.15
DCUN1D3	255.0	103.69	215.77	176.29	185.11	237.86	117.6	98.04	127.0	187.71	62.12	152.28
DDHD1	147.06	103.69	148.09	173.85	129.69	36.53	27.64	12.27	18.97	36.79	15.11	59.97
DENND4B	1662.49	1051.79	2739.08	1088.92	1143.1	384.34	214.27	231.32	167.9	318.57	114.36	429.54
DGKH	158.79	115.16	194.36	236.21	153.34	18.43	5.73	6.31	4.06	11.38	4.21	33.3
DLGAP4	1350.18	1143.1	7280.4	2240.11	2090.03	595.34	381.68	299.25	336.79	500.46	285.03	1923.14
DMTF1	2018.8	629.35	2468.49	1936.53	1529.73	490.14	148.09	131.51	180.02	346.29	223.41	733.19
EHBP1L1	2609.3	1175.27	2400.97	2090.03	1081.39	476.71	218.79	195.72	163.28	438.59	195.72	684.02
EIF4G3	954.43	884.29	928.3	890.44	902.89	309.83	217.27	140.04	194.36	297.17	185.11	567.1
EIF6	7280.4	5672.41	26986.43	5672.41	9025.81	4239.45	3768.09	3874.05	3847.29	4268.94	3847.29	2739.08
FAM76B	583.07	518.15	669.92	713.11	470.14	417.77	131.51	147.06	205.5	223.41	139.07	159.9
FAM86C1	202.66	299.25	366.09	161.02	264.03	70.01	71.5	43.32	68.55	74.06	50.27	206.94
FNBP4	1628.26	1359.57	2739.08	2758.13	2682.69	651.58	246.28	191.67	208.38	463.65	185.11	688.78
FNDC7	1.69	0.0	1.91	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FOSL1	381.68	318.57	2835.7	199.85	1250.98	36.01	6.78	1.77	22.1	22.92	16.51	187.71
FRMD8	1378.57	316.37	1467.37	395.18	854.13	262.2	153.34	122.64	153.34	182.55	93.35	551.56
GABRR2	38.67	47.17	107.38	46.5	11.64	3.06	0.0	0.0	1.46	2.27	0.37	4.03
GLS	2591.27	1175.27	5006.93	1651.0	3060.45	358.54	146.03	63.89	140.04	260.38	82.29	1242.34
GPR37L1	4.35	2.76	64.34	31.9	14.67	0.72	0.73	1.33	1.36	2.51	0.01	2.07
GPSM2	708.18	698.41	775.05	748.61	1628.26	28.24	15.11	11.21	22.59	24.81	6.31	27.05
HP1BP3	2777.33	2271.4	4388.98	3794.3	2976.74	1427.22	775.05	693.58	748.61	1159.07	718.08	1721.16
HSPA12A	91.41	66.18	748.61	182.55	241.19	22.59	10.55	6.36	7.75	27.05	3.29	205.5
ILK	3395.89	3372.43	7180.15	3589.58	5219.6	1870.53	1250.98	1151.06	1073.91	1883.54	1059.11	2875.3
INPPL1	3794.3	2384.37	5751.61	2193.99	2855.44	759.08	463.65	363.56	358.54	587.13	237.86	1340.84
IRAK2	366.09	460.44	291.04	177.53	379.04	194.36	104.42	101.54	114.36	155.5	87.65	167.9
KCNAB2	500.46	486.75	633.73	518.15	785.88	532.74	181.28	236.21	180.02	251.48	120.1	239.52
KCTD7	246.28	283.05	368.65	273.37	305.55	65.72	41.52	20.71	23.25	82.29	23.08	136.19
KDM2A	1561.89	1583.71	1991.0	1447.15	2061.24	698.41	486.75	486.75	409.15	684.02	417.77	866.07
KIAA1731	336.79	312.0	353.59	341.51	320.8	80.01	59.13	42.71	45.21	80.01	26.67	117.6
KLC2	902.89	1037.29	1605.83	638.15	1059.11	121.79	67.59	48.87	85.22	110.43	53.95	389.72
L3MBTL1	507.46	198.47	376.41	400.71	256.78	65.26	13.03	16.88	12.55	32.13	25.72	165.57
LRFN4	842.36	708.18	1350.18	583.07	1030.12	57.89	25.35	7.34	12.83	25.91	1.19	120.94
LUZP1	299.25	260.38	253.23	269.6	327.56	104.42	30.12	21.94	25.35	70.01	34.51	191.67
LY6G6F	0.47	0.49	1.07	1.27	1.23	0.0	0.0	0.0	0.0	1.13	0.0	0.0
MALL	8718.32	3124.78	21468.49	988.12	429.54	253.23	55.89	39.79	111.99	100.83	32.82	1359.57
MAPK9	480.04	486.75	1757.34	444.72	563.18	293.07	223.41	195.72	193.01	265.87	161.02	444.72
MARK2	2591.27	1286.18	915.51	860.08	1167.14	214.27	142.01	135.24	108.9	201.25	73.54	480.04
MAST2	1529.73	872.1	3639.7	1745.2	1519.15	221.86	106.63	111.99	84.63	138.1	120.1	403.5
MIB2	1963.57	3928.15	1977.24	1427.22	3190.46	518.15	497.0	258.57	392.44	426.57	384.34	961.07
MICAL2	6294.04	1709.26	2520.38	2835.7	3982.99	540.19	271.48	303.44	209.84	341.51	182.55	660.68
MNT	647.07	426.57	825.0	563.18	460.44	165.57	73.03	76.71	63.89	141.02	75.64	361.04
MOCS3	229.72	214.27	651.58	244.57	262.2	133.36	92.7	94.01	87.03	100.83	92.7	123.5
MRE11A	312.0	450.94	447.82	423.61	348.71	72.01	60.39	55.1	39.79	114.36	47.17	104.42
MTRNR2L3	1.23	0.54	3.69	0.73	2.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MUS81	1936.53	961.07	3081.75	941.27	825.0	567.1	450.94	320.8	387.02	540.19	353.59	890.44
MXD1	463.65	684.02	1605.83	718.08	1304.15	169.07	66.65	69.03	121.79	149.12	63.89	138.1
NABP1	3716.2	819.3	1909.85	759.08	1551.09	153.34	101.54	74.58	111.21	271.48	50.63	145.02
NBPF15	825.0	921.88	1081.39	825.0	633.73	525.39	163.28	103.69	173.85	303.44	255.0	473.41
NBPF24	55.1	36.53	88.26	61.68	38.4	26.1	9.2	11.38	6.36	14.89	18.43	27.44
NCAPD3	381.68	842.36	693.58	551.56	679.29	260.38	175.07	140.04	118.43	176.29	136.19	215.77
NCR3LG1	162.14	82.29	129.69	85.82	123.5	12.09	3.06	1.38	1.41	5.23	0.0	10.96
NEURL1B	457.25	239.52	395.18	551.56	896.64	303.44	52.45	92.7	80.57	232.94	37.32	169.07
NEURL2	460.44	215.77	397.93	193.01	94.01	82.29	54.72	72.52	57.89	57.08	82.29	111.21
NFAT5	420.68	271.48	293.07	466.88	299.25	86.43	35.0	23.42	30.56	69.52	19.39	130.6
NNAT	460.44	59.13	713.11	182.55	209.84	14.45	4.1	3.29	1.64	11.04	4.66	7.34
NPPA	78.34	14.89	115.97	15.45	47.5	23.93	0.0	0.0	0.0	3.99	10.08	7.57
NT5C3A	1304.15	775.05	1745.2	848.22	1407.55	226.54	214.27	218.79	191.67	251.48	232.94	599.49
NUB1	1096.5	785.88	2148.82	1977.24	1407.55	819.3	660.68	500.46	555.41	748.61	521.76	1447.15
OCLM	57.08	10.16	63.89	21.47	27.05	8.58	2.76	2.03	0.0	7.06	3.29	3.76
OR1L8	2.58	0.2	21.16	4.78	1.62	0.0	1.22	1.22	0.0	3.08	1.43	1.33
OR2T35	0.0	0.0	0.37	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OSER1	1467.37	1225.22	4239.45	1572.76	941.27	473.41	406.31	551.56	483.38	642.59	379.04	728.11
OVOL1	312.0	98.04	2400.97	41.52	301.33	14.14	2.16	0.64	1.71	3.14	1.57	77.25
PCIF1	961.07	764.36	1883.54	954.43	497.0	384.34	305.55	307.69	271.48	353.59	248.0	860.08
PCSK7	1417.35	1199.98	1977.24	2434.5	1037.29	511.0	332.14	267.73	232.94	599.49	232.94	500.46
PHF20	239.52	228.13	896.64	379.04	334.46	131.51	107.38	83.45	96.01	129.69	66.18	204.07
PHLPP2	387.02	58.71	395.18	239.52	181.28	48.18	33.06	27.84	22.59	46.84	12.09	84.63
PITPNM1	1111.82	842.36	3540.14	665.29	403.5	172.65	153.34	94.67	62.12	236.21	119.26	748.61
PLCB3	1487.87	1051.79	2367.9	693.58	1662.49	187.71	122.64	88.88	87.65	151.22	39.5	316.37
PLEC	2468.49	2209.26	2119.22	2682.69	1950.0	463.65	366.09	262.2	212.78	353.59	267.73	884.29
PLEKHN1	120.94	555.41	1769.57	115.97	85.82	28.04	2.92	2.29	2.34	13.52	0.0	165.57
PLK3	759.08	1216.75	1769.57	583.07	476.71	229.72	78.89	96.68	107.38	253.23	77.25	612.11
PLXNA3	848.22	860.08	2591.27	1008.9	703.28	90.77	25.72	47.5	19.68	69.52	50.27	878.17
PPP2R5B	454.09	260.38	1295.13	409.15	339.14	237.86	126.12	98.04	116.78	177.53	108.14	339.14
PRKAG2	1096.5	183.82	1322.37	759.08	343.89	638.15	669.92	503.95	497.0	518.15	387.02	256.78
PROCR	1977.24	1519.15	6426.31	974.5	607.87	148.09	163.28	105.15	102.25	182.55	66.65	612.11
PRRT2	281.09	53.19	521.76	607.87	187.71	36.01	2.32	2.32	4.03	15.22	2.12	72.52
PRSS3	1304.15	1001.93	7749.1	1909.85	624.99	37.05	127.0	98.73	50.63	80.57	27.05	379.04
PTPN12	2777.33	1561.89	2384.37	2032.85	2004.85	450.94	305.55	249.73	271.48	429.54	177.53	825.0
RAB22A	373.81	208.38	679.29	387.02	327.56	127.0	96.68	77.79	89.51	107.38	69.52	180.02
RALGAPB	679.29	612.11	1143.1	743.43	679.29	199.85	108.14	78.89	95.34	146.03	59.55	332.14
RASAL2	791.35	450.94	780.44	591.22	470.14	70.51	31.45	17.77	21.16	52.82	13.42	128.79
RBM14-RBM4	98.73	63.45	175.07	98.73	134.3	70.51	64.34	64.34	72.01	53.57	77.25	42.71
RBM39	6887.62	4671.57	20737.16	7911.95	7230.1	3419.52	2119.22	1467.37	2032.85	2915.45	2520.38	3690.52
RCE1	836.53	802.41	1331.57	587.13	808.0	256.78	167.9	139.07	181.28	209.84	186.4	346.29
RELA	1617.0	1467.37	2956.17	1806.78	2351.53	1044.52	921.88	830.75	620.67	1037.29	612.11	1561.89
RIN1	660.68	587.13	620.67	202.66	651.58	59.97	7.69	10.0	18.43	44.25	6.26	267.73
RNPEP	1208.34	1583.71	7485.11	1437.15	2032.85	1023.0	866.07	693.58	866.07	813.63	1001.93	1883.54
RP11-166B2.1	226.54	84.63	486.75	384.34	218.79	62.56	33.06	32.13	11.47	52.08	24.28	62.56
RP11-219A15.1	0.91	0.0	8.0	3.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68
RPRD1B	836.53	587.13	1769.57	780.44	708.18	500.46	329.84	301.33	339.14	384.34	320.8	281.09
RPS6KA4	1427.22	1427.22	1322.37	693.58	1417.35	366.09	197.09	172.65	134.3	251.48	141.02	518.15
SBDS	2645.74	1977.24	3589.58	2645.74	3690.52	2287.2	1923.14	1551.09	1832.01	1857.6	1540.37	2400.97
SERINC3	2384.37	2119.22	3325.99	2104.58	1313.23	1295.13	1073.91	1044.52	934.76	1286.18	1233.75	1709.26
SIK3	483.38	325.29	373.81	412.0	409.15	395.18	514.56	241.19	283.05	279.14	271.48	435.55
SLC27A4	842.36	775.05	1685.71	426.57	813.63	547.75	607.87	540.19	571.05	476.71	480.04	363.56
SLC9A8	490.14	232.94	802.41	599.49	420.68	167.9	109.66	151.22	80.01	156.59	195.72	202.66
SLMO1	127.0	171.45	595.34	172.65	287.01	8.06	11.91	3.35	1.57	9.06	4.03	170.25
SLMO2	2032.85	1369.04	6294.04	1487.87	1769.57	599.49	454.09	358.54	417.77	438.59	336.79	466.88
SMG1	759.08	441.64	738.29	679.29	629.35	226.54	166.73	156.59	102.97	251.48	112.77	176.29
SNX21	358.54	444.72	1015.93	591.22	242.88	199.85	152.28	136.19	118.43	204.07	175.07	441.64
SNX32	73.03	13.12	47.17	38.4	27.84	11.82	4.13	6.31	2.76	13.93	4.66	14.03
SPATA2	503.95	260.38	764.36	293.07	403.5	142.01	73.54	148.09	96.68	125.24	118.43	202.66
SPATA25	195.72	50.98	150.17	93.35	37.85	55.49	17.9	22.75	11.21	42.11	34.02	12.0
SPEN	1037.29	981.29	1151.06	995.0	1286.18	612.11	293.07	392.44	356.05	444.72	264.03	902.89
SRRM1	2193.99	2119.22	2367.9	2319.15	2351.53	866.07	507.46	429.54	470.14	599.49	397.93	934.76
SSH3	1378.57	1322.37	3564.78	1127.35	1883.54	348.71	361.04	336.79	249.73	358.54	202.66	1277.29
SSUH2	65.72	38.4	190.34	60.39	66.65	19.39	3.44	0.0	6.21	20.86	0.0	44.25
STK4	579.04	435.55	629.35	457.25	473.41	142.01	136.19	96.01	109.66	180.02	96.01	150.17
STRIP2	59.97	149.12	438.59	169.07	194.36	4.82	1.5	2.71	1.55	3.86	1.01	9.63
STX1A	934.76	551.56	1896.65	698.41	1572.76	49.91	17.0	10.63	14.56	42.41	6.26	75.64
STX2	587.13	267.73	529.06	361.04	409.15	244.57	113.56	96.01	165.57	154.42	178.77	144.01
SYNGAP1	988.12	363.56	587.13	693.58	540.19	67.59	38.95	19.82	25.35	91.41	6.46	208.38
TAP2	921.88	2061.24	1104.13	2720.15	981.29	400.71	511.0	164.42	332.14	371.22	341.51	525.39
TCTEX1D4	57.08	26.86	17.9	26.1	11.91	12.0	6.89	3.53	1.89	4.06	2.66	13.22
THOC2	1806.78	1268.46	2303.12	2520.38	1963.57	579.04	285.03	332.14	371.22	466.88	267.73	507.46
TINAGL1	2875.3	1883.54	3928.15	3690.52	2133.97	802.41	351.14	214.27	303.44	480.04	177.53	3928.15
TJP2	2255.7	1304.15	2271.4	1199.98	1467.37	825.0	660.68	713.11	536.45	813.63	607.87	1806.78
TLDC2	1030.12	251.48	1143.1	387.02	403.5	21.16	14.45	7.88	6.67	26.28	5.28	46.84
TMEM150B	656.11	258.57	974.5	246.28	65.26	30.78	46.84	34.02	20.86	74.06	0.0	34.75
TMEM189-UBE2V1	10.31	10.88	24.11	0.0	7.4	0.0	3.99	0.0	0.0	4.43	0.0	4.35
TMEM41B	599.49	432.53	1540.37	651.58	595.34	514.56	403.5	417.77	525.39	473.41	320.8	497.0
TMEM45B	2468.49	563.18	3280.18	872.1	218.79	79.45	395.18	158.79	232.94	559.28	54.72	341.51
TP53TG5	33.78	17.64	72.01	51.35	26.28	4.39	0.0	0.0	0.0	2.63	0.0	2.16
TRAF4	2148.82	1417.35	11504.21	1008.9	543.96	1151.06	759.08	738.29	616.37	1143.1	638.15	1119.56
UBE4A	438.59	429.54	463.65	392.44	379.04	303.44	191.67	164.42	151.22	255.0	143.01	253.23
UBR4	4575.41	4038.61	3901.01	3665.02	5112.16	2645.74	2367.9	2720.15	2255.7	2400.97	2255.7	2434.5
UNC93B1	830.75	642.59	1467.37	967.76	738.29	303.44	486.75	209.84	336.79	353.59	246.28	808.0
VAMP3	1437.15	2417.67	2591.27	2047.0	1936.53	915.51	780.44	684.02	579.04	954.43	748.61	1709.26
YWHAB	5479.15	6607.01	10296.45	6652.97	5329.3	1857.6	1340.84	1044.52	1088.92	1832.01	1066.48	2835.7
ZBTB7A	759.08	555.41	1167.14	651.58	629.35	195.72	187.71	162.14	148.09	232.94	72.52	373.81
ZFP57	884.29	1.95	2047.0	23.59	10.47	0.0	2.63	0.0	0.0	8.51	0.0	6.67
ZNF107	149.12	111.21	157.68	120.1	146.03	25.35	22.26	7.17	10.31	31.67	17.38	39.79
ZNF154	159.9	28.45	137.14	140.04	93.35	20.86	9.27	3.44	7.75	20.71	6.36	87.03
ZNF335	591.22	493.56	961.07	518.15	591.22	161.02	125.24	67.59	76.71	151.22	82.87	281.09
ZNF354B	305.55	182.55	1023.0	223.41	173.85	114.36	66.65	22.75	51.35	76.71	33.3	124.37
ZNF841	301.33	119.26	318.57	232.94	182.55	94.01	42.11	24.81	37.59	54.72	31.45	103.69
ZSWIM1	343.89	256.78	503.95	255.0	262.2	113.56	53.19	46.18	74.06	82.29	73.03	143.01
ZYX	3491.39	5831.91	12076.21	5954.47	4010.71	1407.55	1135.2	412.0	854.13	1674.06	532.74	4066.71
