	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYY3.0926.SM.5E454	GTEX.P4QR.1026.SM.2I5GP	GTEX.YB5E.0726.SM.4VDSH	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.148VJ.0826.SM.5LU8V	GTEX.145LS.1226.SM.5Q5D9	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.144GO.0226.SM.5LUB1	TCGA.77.8007.11A.01R.2187.07	TCGA.22.5482.11A.01R.1635.07
CDC27	934.76	414.87	493.56	201.25	309.83	334.46	607.87	271.48	143.01	327.56	312.0	197.09	209.84	389.72	353.59	285.03	336.79	688.78	406.31	167.9	236.21	291.04	198.47	277.2	348.71	366.09	500.46	819.3	595.34	429.54	836.53	551.56	679.29	902.89	547.75	303.44	836.53	738.29	642.59	764.36	575.03	409.15	860.08	1242.34	1697.45	454.09	1208.34	647.07	642.59
CDC42EP4	688.78	591.22	457.25	567.1	432.53	503.95	486.75	454.09	518.15	379.04	595.34	447.82	403.5	339.14	733.19	473.41	665.29	470.14	457.25	466.88	309.83	320.8	273.37	753.83	603.67	764.36	575.03	2835.7	941.27	872.1	878.17	679.29	309.83	1447.15	642.59	1183.45	1159.07	470.14	928.3	3018.3	995.0	384.34	1096.5	967.76	1467.37	2384.37	1950.0	674.59	791.35
CDK17	444.72	246.28	206.94	89.51	150.17	149.12	146.03	104.42	120.1	113.56	121.79	87.65	136.19	105.15	93.35	96.01	65.26	53.19	214.27	90.77	130.6	157.68	145.02	147.06	76.17	116.78	409.15	156.59	371.22	361.04	583.07	275.28	414.87	872.1	718.08	295.11	438.59	624.99	387.02	928.3	309.83	202.66	785.88	738.29	1066.48	417.77	616.37	232.94	532.74
CDV3	3103.19	1551.09	2319.15	1605.83	1508.65	1268.46	1519.15	1757.34	1250.98	2004.85	1583.71	1104.13	2148.82	1417.35	2104.58	802.41	1378.57	1806.78	1709.26	848.22	1551.09	1208.34	995.0	1023.0	1001.93	1781.89	2133.97	1733.13	1963.57	1757.34	3039.3	3349.13	2075.59	4671.57	2178.83	2119.22	2287.2	2287.2	2664.15	2133.97	3443.31	808.0	2701.35	3768.09	3820.7	2163.77	4038.61	1844.76	2485.67
CELF2	1151.06	303.44	318.57	211.31	54.33	34.75	20.41	37.85	25.35	61.68	15.68	28.65	21.63	8.92	3.38	21.01	22.26	6.31	195.72	19.25	50.27	42.71	36.79	90.14	9.48	15.56	579.04	173.85	503.95	403.5	297.17	583.07	103.69	406.31	305.55	567.1	341.51	642.59	1081.39	2682.69	525.39	255.0	2895.31	1151.06	848.22	6250.56	1340.84	633.73	759.08
CGGBP1	995.0	688.78	511.0	277.2	373.81	563.18	629.35	441.64	305.55	748.61	595.34	297.17	339.14	269.6	503.95	327.56	303.44	633.73	595.34	275.28	638.15	287.01	400.71	373.81	656.11	647.07	813.63	406.31	780.44	738.29	1340.84	909.17	775.05	780.44	1991.0	620.67	1286.18	981.29	713.11	679.29	638.15	336.79	1127.35	753.83	1508.65	674.59	1819.35	703.28	872.1
CIC	612.11	738.29	723.08	1015.93	995.0	651.58	981.29	703.28	457.25	733.19	698.41	579.04	532.74	518.15	769.69	607.87	723.08	457.25	733.19	466.88	486.75	432.53	293.07	387.02	353.59	339.14	808.0	703.28	500.46	698.41	624.99	656.11	571.05	915.51	890.44	775.05	921.88	567.1	450.94	1427.22	909.17	941.27	2468.49	1594.73	1487.87	842.36	2255.7	642.59	981.29
CSDE1	3901.01	2935.74	3665.02	2090.03	1977.24	1963.57	3280.18	2645.74	2351.53	2591.27	1304.15	1467.37	2417.67	2090.03	2240.11	2004.85	2090.03	2591.27	2451.44	1551.09	2032.85	2915.45	2645.74	1896.65	2627.46	4607.24	3847.29	2609.3	4639.29	3794.3	4972.34	6037.61	3124.78	7749.1	8598.28	3018.3	8305.36	4607.24	6381.92	5006.93	7032.37	1991.0	5831.91	8191.0	9344.14	5954.47	8479.89	3874.05	6164.49
CTBP2	1350.18	638.15	733.19	417.77	95.34	98.04	31.45	69.52	49.21	30.78	36.01	63.89	40.64	36.27	18.16	40.36	62.12	20.11	251.48	44.25	59.55	44.57	18.7	35.5	30.34	103.69	638.15	921.88	563.18	769.69	514.56	947.83	629.35	825.0	1119.56	713.11	941.27	656.11	1088.92	830.75	764.36	483.38	988.12	775.05	1437.15	693.58	1304.15	743.43	1104.13
CTDSPL2	248.0	131.51	136.19	24.46	93.35	50.27	70.51	96.01	66.18	59.13	101.54	45.21	67.59	43.63	85.22	46.5	40.93	49.21	113.56	37.59	83.45	102.97	60.39	34.26	41.22	52.82	152.28	228.13	241.19	173.85	320.8	156.59	177.53	260.38	363.56	140.04	201.25	273.37	285.03	316.37	141.02	109.66	688.78	679.29	353.59	269.6	356.05	248.0	293.07
CYTH3	738.29	226.54	400.71	163.28	148.09	121.79	125.24	126.12	55.1	58.3	34.26	100.83	77.79	56.68	108.9	56.68	94.67	69.03	226.54	40.93	31.0	46.84	43.02	47.5	32.13	52.45	336.79	142.01	214.27	264.03	204.07	299.25	246.28	583.07	400.71	348.71	493.56	551.56	320.8	490.14	633.73	103.69	674.59	595.34	1001.93	361.04	616.37	279.14	624.99
DDX3X	4358.66	1191.69	1733.13	890.44	1073.91	1030.12	1467.37	825.0	684.02	884.29	656.11	728.11	743.43	785.88	486.75	500.46	525.39	551.56	1225.22	647.07	1378.57	1313.23	796.86	848.22	1167.14	1721.16	1662.49	1066.48	1832.01	2627.46	2956.17	3124.78	1950.0	4543.8	2701.35	1721.16	2645.74	2075.59	2591.27	2627.46	2090.03	1388.16	2591.27	3146.52	4038.61	2956.17	4450.27	1561.89	2178.83
DDX6	173.85	264.03	423.61	132.44	183.82	173.85	128.79	126.12	158.79	78.34	173.85	54.33	82.29	100.13	98.73	78.34	111.21	66.65	256.78	116.78	156.59	135.24	172.65	107.38	223.41	665.29	454.09	406.31	497.0	348.71	371.22	629.35	346.29	620.67	759.08	273.37	743.43	743.43	595.34	1208.34	423.61	457.25	1498.22	848.22	607.87	1159.07	1233.75	353.59	842.36
DGKH	70.51	33.78	24.46	11.55	24.81	9.93	16.15	14.14	5.36	10.47	21.01	8.06	8.99	5.87	8.13	4.13	6.41	3.56	19.53	1.99	29.91	10.79	4.21	5.82	6.26	1.57	66.18	78.89	23.59	34.26	89.51	29.27	40.93	115.97	76.71	31.9	39.5	54.72	36.53	171.45	36.53	16.63	150.17	149.12	161.02	60.39	206.94	44.25	71.0
DKK3	1745.2	307.69	2224.63	1561.89	400.71	483.38	163.28	351.14	95.34	281.09	80.57	376.41	115.97	125.24	72.52	198.47	281.09	90.14	802.41	217.27	71.0	220.32	108.9	189.02	34.75	137.14	2061.24	507.46	2193.99	1551.09	1870.53	2855.44	1896.65	9740.98	2796.65	2384.37	6037.61	2178.83	3257.52	12076.21	4903.87	543.96	4358.66	5555.65	8718.32	2835.7	9151.82	1844.76	6699.25
DNAJC21	860.08	435.55	457.25	99.43	438.59	503.95	587.13	406.31	400.71	547.75	532.74	728.11	381.68	384.34	332.14	307.69	423.61	620.67	521.76	85.82	450.94	303.44	409.15	348.71	366.09	457.25	559.28	718.08	567.1	567.1	1059.11	708.18	500.46	915.51	1529.73	379.04	866.07	607.87	708.18	493.56	934.76	332.14	981.29	954.43	2384.37	486.75	1208.34	624.99	785.88
DUSP18	224.97	88.88	98.04	77.25	44.57	25.54	25.17	36.27	18.16	19.68	33.3	34.75	28.45	16.75	32.13	7.75	37.85	17.38	80.01	7.17	19.53	56.68	6.52	16.88	23.08	14.56	176.29	175.07	163.28	221.86	169.07	208.38	246.28	124.37	224.97	134.3	183.82	128.79	323.03	78.89	146.03	181.28	251.48	186.4	189.02	80.57	518.15	198.47	204.07
EIF4B	4419.52	3639.7	5255.91	3146.52	1857.6	1388.16	1540.37	1896.65	3794.3	1794.29	1540.37	1794.29	2075.59	1857.6	2061.24	1051.79	1977.24	1583.71	2468.49	1806.78	1519.15	2468.49	3235.01	1639.59	2451.44	7081.29	3039.3	2384.37	3982.99	2627.46	3235.01	3467.27	3874.05	7537.18	4328.55	3820.7	6250.56	5594.3	5006.93	2682.69	4575.41	3716.2	4607.24	4639.29	3589.58	5292.48	4736.79	3614.55	4769.75
ETF1	3103.19	961.07	909.17	591.22	748.61	633.73	808.0	728.11	587.13	909.17	540.19	532.74	743.43	647.07	493.56	559.28	624.99	1322.37	802.41	381.68	738.29	764.36	503.95	507.46	525.39	651.58	1183.45	791.35	1388.16	1519.15	2384.37	1639.59	1457.23	3349.13	1662.49	1159.07	1427.22	1096.5	1870.53	2119.22	1806.78	1008.9	1977.24	3419.52	4095.0	1304.15	3955.48	1529.73	1529.73
EXOC8	361.04	81.14	112.77	56.28	107.38	115.97	139.07	87.03	50.98	75.11	114.36	75.11	85.82	52.08	84.04	58.3	67.59	40.93	96.01	60.82	81.14	107.38	41.81	56.68	81.71	92.05	131.51	152.28	138.1	127.0	267.73	214.27	178.77	221.86	187.71	148.09	180.02	133.36	186.4	129.69	199.85	53.19	251.48	221.86	279.14	136.19	409.15	101.54	170.25
FAM189A2	56.68	46.84	74.06	101.54	9.63	12.74	4.31	5.63	5.32	14.45	10.88	9.78	7.22	10.24	3.23	4.54	4.06	2.43	15.45	5.36	3.76	7.88	2.48	6.52	9.48	2.29	759.08	64.8	343.89	454.09	483.38	1088.92	50.27	1467.37	295.11	1175.27	339.14	447.82	392.44	988.12	764.36	209.84	438.59	1250.98	624.99	361.04	3982.99	309.83	1268.46
FBXO11	802.41	420.68	426.57	153.34	327.56	253.23	356.05	376.41	237.86	371.22	397.93	195.72	275.28	195.72	346.29	190.34	237.86	205.5	353.59	119.26	323.03	262.2	209.84	221.86	246.28	323.03	764.36	684.02	463.65	607.87	921.88	642.59	543.96	1096.5	759.08	450.94	567.1	599.49	514.56	769.69	497.0	414.87	1397.83	1407.55	1697.45	890.44	1806.78	525.39	642.59
FBXW4	457.25	915.51	1023.0	1167.14	587.13	665.29	256.78	651.58	309.83	583.07	836.53	529.06	738.29	518.15	713.11	571.05	808.0	507.46	651.58	665.29	708.18	457.25	500.46	698.41	490.14	503.95	1051.79	334.46	718.08	769.69	842.36	1304.15	651.58	981.29	1594.73	1832.01	759.08	693.58	1331.57	718.08	1369.04	579.04	1277.29	1111.82	514.56	1685.71	1617.0	633.73	1397.83
FILIP1	53.19	52.08	47.17	7.4	21.47	43.63	59.55	18.29	11.21	6.36	8.51	25.54	9.85	10.71	6.94	7.4	8.99	2.34	49.91	5.63	26.86	12.74	29.91	29.7	13.12	9.41	113.56	19.68	137.14	110.43	108.14	122.64	104.42	214.27	171.45	57.89	131.51	149.12	753.83	3039.3	164.42	55.49	62.12	753.83	1991.0	102.97	486.75	103.69	229.72
FNIP1	547.75	155.5	141.02	47.84	169.07	144.01	169.07	133.36	119.26	100.13	143.01	104.42	120.1	97.36	110.43	80.01	90.77	104.42	134.3	63.45	173.85	118.43	69.03	71.0	95.34	113.56	176.29	136.19	182.55	139.07	141.02	129.69	156.59	142.01	392.44	193.01	187.71	167.9	175.07	246.28	265.87	117.6	295.11	400.71	118.43	229.72	325.29	143.01	198.47
FOXK1	460.44	251.48	155.5	167.9	156.59	130.6	156.59	99.43	62.12	106.63	99.43	115.16	110.43	81.14	103.69	80.01	75.11	147.06	117.6	49.91	51.35	50.98	27.64	41.52	39.79	23.25	186.4	198.47	116.78	120.1	202.66	109.66	220.32	316.37	379.04	113.56	128.79	249.73	156.59	406.31	116.78	221.86	211.31	363.56	361.04	171.45	450.94	121.79	258.57
FTL	1221310.69	1422501.74	1355129.16	1422501.74	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	1026995.62	1393227.06	875652.15	1055868.42	696613.03	1514068.5	434801.29	932018.1	1493223.86	881742.8	472513.8	2294899.22	1327240.99	1147449.11	1374046.07	1055868.42	2326934.84	998912.34	1273174.62	1204496.53	757033.75	938500.81	834179.46	1336472.68	475800.4	938500.81	971597.0	577714.63	875652.15	783730.52	932018.1	887875.81	1327240.99	402881.61	241220.67	408505.64	1179708.33	527933.71	971597.0	226632.25
GAPVD1	483.38	161.02	180.02	60.39	108.9	133.36	143.01	72.01	97.36	135.24	122.64	70.01	48.52	83.45	87.03	75.11	64.8	65.72	177.53	65.26	98.04	99.43	82.29	70.01	98.73	185.11	312.0	293.07	242.88	264.03	358.54	346.29	287.01	525.39	540.19	234.57	346.29	438.59	438.59	400.71	336.79	283.05	1096.5	1044.52	961.07	713.11	842.36	279.14	476.71
GCNT4	10.24	1.79	13.83	7.51	16.27	24.46	6.46	8.06	2.46	3.2	13.03	6.67	5.41	3.69	0.77	5.45	12.0	4.17	13.72	4.35	10.96	3.99	5.19	34.51	6.89	6.78	8.78	2.18	11.38	30.34	57.08	15.34	12.0	59.97	55.89	4.58	28.24	12.0	26.1	100.83	18.16	4.62	19.11	133.36	81.14	21.78	96.01	16.03	40.36
GNAQ	928.3	400.71	351.14	124.37	201.25	121.79	157.68	148.09	212.78	208.38	244.57	135.24	148.09	125.24	155.5	142.01	142.01	99.43	289.02	100.83	201.25	115.97	172.65	228.13	236.21	373.81	603.67	163.28	642.59	567.1	974.5	1066.48	454.09	1073.91	1096.5	633.73	802.41	460.44	974.5	698.41	842.36	426.57	1457.23	2032.85	1685.71	860.08	1794.29	575.03	934.76
GPRC5A	6037.61	67.59	108.14	140.04	1.83	3.79	58.3	0.46	0.0	6.01	0.0	5.82	0.45	2.34	0.0	1.25	4.54	1.25	19.11	4.35	5.73	2.94	5.77	1.35	0.91	1.35	6294.04	5995.9	4512.4	7180.15	12502.12	14867.79	2384.37	21768.19	5831.91	4671.57	3280.18	6935.54	20737.16	2367.9	17804.06	13968.57	4607.24	28723.62	11345.82	4937.99	30151.71	7081.29	11504.21
GZF1	497.0	193.01	131.51	102.25	68.55	73.54	106.63	93.35	78.34	90.14	62.56	82.29	65.26	69.03	98.73	63.0	53.57	59.13	147.06	56.28	138.1	82.29	46.84	80.01	81.14	167.9	178.77	170.25	148.09	137.14	108.9	144.01	228.13	309.83	161.02	106.63	183.82	309.83	214.27	177.53	158.79	253.23	161.02	334.46	153.34	147.06	426.57	163.28	224.97
HCAR2	35856.82	81.14	66.65	18.29	37.59	66.65	400.71	23.42	0.0	67.12	1.97	10.79	10.79	4.06	15.34	5.32	9.27	2.51	48.18	14.24	271.48	5.23	18.43	87.65	5.11	12.45	116.78	126.12	38.12	1175.27	1015.93	99.43	412.0	1088.92	197.09	320.8	182.55	599.49	154.42	441.64	214.27	61.25	547.75	438.59	3039.3	50.63	5831.91	48.87	486.75
HCAR3	77396.54	63.45	89.51	8.92	52.82	115.97	341.51	34.75	1.11	103.69	10.39	24.63	12.64	2.32	28.45	6.94	34.02	0.0	68.07	6.94	202.66	1.99	4.7	65.26	5.54	3.69	74.06	53.19	26.47	575.03	285.03	35.25	212.78	543.96	93.35	118.43	72.52	153.34	37.32	232.94	42.71	37.59	447.82	229.72	1487.87	28.04	2855.44	35.25	198.47
HERC1	954.43	599.49	1119.56	698.41	693.58	379.04	208.38	381.68	723.08	190.34	325.29	249.73	450.94	432.53	417.77	414.87	329.84	112.77	525.39	348.71	229.72	334.46	457.25	202.66	476.71	679.29	1023.0	703.28	497.0	748.61	902.89	802.41	414.87	909.17	660.68	866.07	738.29	1037.29	941.27	961.07	738.29	511.0	3212.66	1594.73	842.36	2400.97	2032.85	563.18	1088.92
HIPK3	387.02	325.29	376.41	120.94	206.94	218.79	234.57	204.07	114.36	159.9	155.5	106.63	153.34	116.78	156.59	122.64	94.67	111.21	318.57	133.36	406.31	155.5	258.57	318.57	171.45	316.37	470.14	305.55	575.03	629.35	934.76	713.11	307.69	1359.57	854.13	480.04	728.11	651.58	595.34	2133.97	612.11	182.55	1662.49	1605.83	1457.23	802.41	1639.59	450.94	703.28
HMBOX1	157.68	244.57	297.17	175.07	212.78	189.02	218.79	128.79	86.43	226.54	420.68	181.28	176.29	126.12	206.94	77.79	156.59	98.04	327.56	124.37	189.02	223.41	141.02	231.32	142.01	123.5	583.07	114.36	234.57	255.0	493.56	248.0	325.29	327.56	599.49	387.02	353.59	277.2	297.17	376.41	206.94	256.78	1369.04	438.59	921.88	432.53	1044.52	307.69	454.09
HNRNPF	4903.87	2018.8	2855.44	1923.14	2367.9	2591.27	2367.9	2502.97	3190.46	2047.0	2682.69	2287.2	2240.11	1857.6	1001.93	2193.99	1617.0	1304.15	2895.31	2209.26	2739.08	2835.7	2075.59	2287.2	3303.0	4123.49	2351.53	2935.74	3372.43	3614.55	4639.29	3768.09	3124.78	4836.35	3235.01	2664.15	4038.61	2400.97	5219.6	3443.31	5041.77	2119.22	3716.2	5872.48	6121.9	2004.85	7433.4	3039.3	3540.14
IFI16	3742.05	1745.2	2119.22	703.28	543.96	743.43	299.25	612.11	269.6	848.22	301.33	684.02	493.56	208.38	144.01	323.03	417.77	264.03	1322.37	134.3	224.97	665.29	189.02	366.09	127.0	195.72	1883.54	444.72	2319.15	1407.55	3874.05	1572.76	3716.2	4903.87	2434.5	1167.14	3982.99	3039.3	974.5	7130.55	878.17	1674.06	4419.52	2367.9	8778.97	1651.0	6471.02	2915.45	2209.26
IFRG15	98.04	23.42	46.18	0.0	27.44	3.72	27.05	0.0	33.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.52	8.45	43.63	71.5	27.05	42.11	87.65	75.11	113.56	12.64	94.67	73.03	172.65	46.5	20.11	145.02	96.68	112.77	183.82	34.02	217.27	119.26	16.15	0.0	299.25	170.25	309.83	173.85	242.88	134.3	182.55
IGF1R	325.29	182.55	189.02	142.01	17.25	12.93	24.81	10.31	6.36	7.57	2.94	9.06	4.86	6.31	4.98	3.89	5.54	25.72	40.36	6.57	12.45	12.45	2.81	9.2	5.54	8.65	166.73	438.59	84.04	130.6	78.34	277.2	31.22	406.31	579.04	110.43	130.6	59.55	135.24	438.59	105.89	78.34	483.38	423.61	353.59	182.55	470.14	86.43	253.23
IRF2	2485.67	830.75	791.35	426.57	414.87	490.14	435.55	389.72	379.04	329.84	447.82	289.02	343.89	253.23	353.59	299.25	336.79	218.79	595.34	389.72	493.56	329.84	295.11	486.75	450.94	507.46	595.34	551.56	934.76	638.15	909.17	848.22	642.59	934.76	733.19	753.83	718.08	813.63	674.59	642.59	642.59	540.19	1277.29	848.22	1639.59	571.05	1331.57	718.08	941.27
ITCH	599.49	351.14	277.2	68.55	211.31	293.07	164.42	249.73	236.21	145.02	214.27	186.4	205.5	178.77	215.77	185.11	140.04	127.0	246.28	185.11	293.07	158.79	309.83	412.0	316.37	660.68	353.59	348.71	323.03	285.03	540.19	353.59	381.68	397.93	444.72	220.32	514.56	329.84	376.41	480.04	346.29	191.67	1096.5	1037.29	718.08	435.55	603.67	303.44	400.71
KCMF1	1447.15	563.18	848.22	884.29	525.39	490.14	713.11	872.1	1015.93	441.64	629.35	389.72	679.29	674.59	363.56	579.04	529.06	571.05	642.59	409.15	460.44	583.07	417.77	480.04	633.73	808.0	738.29	1096.5	954.43	872.1	1208.34	1001.93	587.13	1286.18	2271.4	551.56	1508.65	808.0	1467.37	921.88	2367.9	351.14	1313.23	2367.9	2591.27	842.36	2319.15	928.3	995.0
KIAA0232	264.03	171.45	169.07	72.01	209.84	164.42	224.97	223.41	80.57	120.94	251.48	142.01	156.59	121.79	341.51	143.01	162.14	110.43	189.02	60.39	139.07	165.57	80.01	114.36	117.6	202.66	223.41	182.55	194.36	209.84	265.87	543.96	173.85	209.84	166.73	277.2	166.73	101.54	361.04	389.72	237.86	116.78	441.64	473.41	334.46	183.82	599.49	187.71	287.01
