	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EM.A1CU.11A.11R.A13Y.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.WL46.0126.SM.3TW8I	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.Y114.0626.SM.4TT98	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13VXU.0826.SM.5KLZ2
ARID4A	9.27	29.91	80.01	108.9	112.77	183.82	121.79	59.13	289.02	215.77	303.44	285.03	161.02	493.56	389.72	189.02	441.64	275.28	194.36	262.2	145.02	208.38	201.25	397.93	214.27	163.28	232.94	180.02	191.67	141.02	157.68	217.27	273.37	195.72	229.72	114.36	204.07	166.73	406.31	232.94	189.02	180.02
ARID4B	16.63	20.86	199.85	256.78	241.19	309.83	305.55	147.06	607.87	429.54	947.83	466.88	435.55	1295.13	660.68	486.75	890.44	493.56	429.54	518.15	417.77	507.46	423.61	693.58	397.93	426.57	529.06	457.25	518.15	403.5	457.25	518.15	591.22	532.74	543.96	287.01	555.41	312.0	909.17	607.87	518.15	381.68
ATG2B	44.25	53.57	96.68	149.12	108.14	169.07	165.57	69.03	269.6	204.07	409.15	281.09	176.29	441.64	406.31	214.27	497.0	249.73	175.07	237.86	212.78	236.21	159.9	283.05	194.36	163.28	265.87	189.02	253.23	153.34	211.31	183.82	241.19	234.57	329.84	144.01	236.21	121.79	332.14	318.57	229.72	169.07
ATP13A3	470.14	656.11	1313.23	1127.35	995.0	738.29	1119.56	320.8	2193.99	1617.0	2520.38	3589.58	2485.67	2682.69	3257.52	1662.49	2319.15	1870.53	2209.26	1397.83	1617.0	1639.59	1119.56	2915.45	1508.65	1304.15	1697.45	1794.29	2240.11	1233.75	2271.4	1529.73	2816.11	2133.97	2287.2	2240.11	2434.5	1081.39	2816.11	2004.85	1909.85	1617.0
BCLAF1	85.22	140.04	507.46	728.11	660.68	753.83	1030.12	348.71	1662.49	733.19	1883.54	1617.0	1167.14	3060.45	2090.03	1233.75	1870.53	1175.27	1277.29	1467.37	921.88	1127.35	995.0	1709.26	1447.15	1073.91	1457.23	1250.98	1286.18	1151.06	1191.69	1088.92	1583.71	1477.58	1991.0	915.51	1628.26	748.61	1963.57	2193.99	1331.57	1259.69
C10orf118	7.0	14.35	132.44	177.53	134.3	100.13	169.07	78.34	346.29	226.54	476.71	463.65	251.48	403.5	551.56	273.37	395.18	246.28	297.17	287.01	237.86	229.72	144.01	457.25	215.77	195.72	316.37	246.28	323.03	217.27	265.87	256.78	293.07	325.29	341.51	187.71	307.69	167.9	318.57	599.49	341.51	242.88
C11orf30	50.27	26.28	85.22	135.24	102.25	90.14	126.12	65.72	267.73	177.53	334.46	389.72	211.31	287.01	389.72	183.82	287.01	244.57	208.38	262.2	232.94	156.59	178.77	371.22	237.86	171.45	237.86	187.71	226.54	214.27	249.73	201.25	172.65	236.21	299.25	114.36	209.84	161.02	177.53	316.37	265.87	154.42
C7orf63	8.71	9.85	75.11	123.5	143.01	329.84	79.45	234.57	281.09	147.06	248.0	301.33	98.04	336.79	379.04	137.14	301.33	178.77	119.26	153.34	183.82	182.55	186.4	226.54	107.38	141.02	206.94	141.02	202.66	77.25	90.14	212.78	183.82	105.89	154.42	167.9	157.68	90.77	206.94	139.07	198.47	186.4
C9orf72	55.89	64.34	99.43	237.86	163.28	152.28	195.72	91.41	713.11	223.41	775.05	511.0	303.44	796.86	1015.93	447.82	842.36	329.84	353.59	403.5	283.05	332.14	244.57	551.56	208.38	341.51	414.87	341.51	521.76	262.2	373.81	295.11	403.5	295.11	525.39	353.59	279.14	181.28	679.29	392.44	417.77	299.25
CAPN7	87.03	133.36	299.25	346.29	466.88	420.68	463.65	339.14	961.07	483.38	848.22	988.12	559.28	872.1	1208.34	525.39	974.5	708.18	529.06	728.11	507.46	547.75	470.14	1015.93	518.15	525.39	665.29	559.28	660.68	493.56	511.0	698.41	748.61	764.36	813.63	490.14	656.11	521.76	796.86	967.76	571.05	607.87
CBWD2	161.02	171.45	563.18	854.13	607.87	791.35	733.19	547.75	884.29	769.69	1277.29	1104.13	802.41	1088.92	1023.0	769.69	1051.79	785.88	1023.0	819.3	947.83	674.59	551.56	743.43	808.0	620.67	954.43	819.3	813.63	738.29	967.76	738.29	785.88	759.08	928.3	915.51	759.08	759.08	860.08	1015.93	830.75	802.41
CCAR1	45.53	52.45	579.04	708.18	693.58	902.89	878.17	540.19	934.76	775.05	1151.06	1066.48	728.11	1233.75	1561.89	743.43	1388.16	866.07	1023.0	1059.11	775.05	866.07	780.44	1242.34	890.44	981.29	1051.79	718.08	836.53	713.11	954.43	921.88	738.29	796.86	974.5	748.61	947.83	642.59	974.5	1378.57	988.12	866.07
CCDC117	92.7	201.25	151.22	125.24	102.97	185.11	170.25	132.44	361.04	277.2	356.05	341.51	181.28	325.29	332.14	226.54	314.17	215.77	249.73	209.84	178.77	237.86	226.54	379.04	273.37	214.27	237.86	202.66	228.13	195.72	264.03	215.77	255.0	281.09	285.03	193.01	231.32	231.32	264.03	293.07	209.84	221.86
CCDC174	119.26	104.42	351.14	389.72	429.54	368.65	314.17	262.2	583.07	277.2	389.72	708.18	341.51	460.44	791.35	373.81	579.04	432.53	329.84	497.0	285.03	343.89	325.29	665.29	371.22	376.41	466.88	384.34	392.44	320.8	339.14	435.55	476.71	301.33	432.53	379.04	414.87	363.56	521.76	486.75	389.72	269.6
CCNT2	19.97	24.63	127.0	220.32	178.77	265.87	195.72	97.36	591.22	211.31	454.09	555.41	307.69	575.03	412.0	356.05	420.68	343.89	392.44	285.03	283.05	289.02	220.32	454.09	273.37	221.86	400.71	305.55	323.03	265.87	361.04	329.84	343.89	412.0	409.15	231.32	371.22	198.47	493.56	599.49	371.22	201.25
CEP57	44.57	125.24	293.07	279.14	314.17	426.57	480.04	239.52	866.07	507.46	796.86	764.36	583.07	1023.0	995.0	679.29	954.43	612.11	591.22	575.03	543.96	612.11	536.45	791.35	503.95	547.75	698.41	529.06	647.07	435.55	620.67	660.68	713.11	647.07	698.41	599.49	693.58	397.93	693.58	860.08	684.02	521.76
CHD2	101.54	94.67	190.34	309.83	395.18	435.55	435.55	229.72	830.75	651.58	1023.0	2104.58	698.41	866.07	1340.84	703.28	1127.35	743.43	563.18	842.36	536.45	599.49	866.07	791.35	660.68	723.08	890.44	651.58	842.36	507.46	708.18	961.07	785.88	738.29	753.83	480.04	733.19	503.95	1044.52	995.0	780.44	785.88
CPEB4	107.38	127.0	144.01	185.11	258.57	176.29	371.22	198.47	503.95	239.52	921.88	633.73	406.31	769.69	1378.57	536.45	595.34	579.04	450.94	444.72	323.03	397.93	258.57	842.36	426.57	473.41	718.08	575.03	547.75	295.11	395.18	536.45	414.87	543.96	587.13	403.5	450.94	353.59	785.88	1088.92	703.28	470.14
CTNNAL1	193.01	163.28	2075.59	1977.24	1388.16	1175.27	1923.14	1457.23	3794.3	2956.17	2609.3	8191.0	3103.19	5594.3	4769.75	2148.82	5403.7	1359.57	3190.46	3018.3	1709.26	2701.35	2287.2	3280.18	1540.37	2796.65	2627.46	2004.85	2485.67	2163.77	2701.35	1857.6	3235.01	2468.49	2119.22	4639.29	3491.39	2335.28	3124.78	1870.53	2573.36	3060.45
DENND4A	22.26	84.04	63.89	108.14	141.02	130.6	183.82	117.6	285.03	183.82	258.57	547.75	283.05	293.07	429.54	176.29	376.41	189.02	187.71	228.13	148.09	186.4	152.28	249.73	208.38	185.11	234.57	208.38	206.94	215.77	316.37	182.55	255.0	232.94	237.86	251.48	208.38	172.65	264.03	244.57	234.57	150.17
DHX36	121.79	158.79	299.25	500.46	536.45	412.0	947.83	432.53	1331.57	629.35	1073.91	995.0	780.44	1519.15	1388.16	1030.12	1096.5	836.53	825.0	981.29	848.22	915.51	656.11	854.13	669.92	633.73	941.27	928.3	934.76	743.43	780.44	878.17	1111.82	1051.79	848.22	802.41	884.29	728.11	1378.57	995.0	896.64	802.41
ERRFI1	743.43	5183.54	323.03	400.71	1119.56	381.68	351.14	283.05	5555.65	460.44	2502.97	10296.45	1769.57	4210.15	7537.18	2682.69	8718.32	1498.22	1225.22	1733.13	981.29	1104.13	2351.53	2224.63	733.19	4869.99	1819.35	1709.26	2119.22	934.76	928.3	2061.24	2434.5	2664.15	1437.15	1286.18	1250.98	1023.0	9808.75	1216.75	1350.18	5479.15
EXPH5	2.58	14.24	11.73	10.71	12.18	11.13	33.78	7.57	36.27	7.0	51.71	48.87	18.97	51.35	27.44	19.39	50.27	15.34	15.22	22.43	13.62	27.84	11.47	16.27	22.59	15.34	19.82	14.03	27.25	18.97	19.82	14.56	27.44	17.9	39.22	25.35	23.76	16.15	26.47	19.82	21.78	19.25
FAM133B	39.79	43.63	255.0	384.34	379.04	503.95	397.93	373.81	540.19	457.25	796.86	579.04	463.65	698.41	563.18	420.68	638.15	400.71	540.19	441.64	397.93	591.22	454.09	575.03	457.25	470.14	540.19	457.25	466.88	348.71	490.14	426.57	503.95	476.71	591.22	400.71	507.46	297.17	466.88	638.15	473.41	480.04
FAM76B	10.08	46.84	92.7	220.32	120.94	275.28	134.3	63.89	571.05	205.5	521.76	384.34	332.14	688.78	651.58	493.56	743.43	397.93	392.44	490.14	287.01	403.5	295.11	536.45	295.11	392.44	587.13	361.04	454.09	209.84	356.05	500.46	514.56	327.56	400.71	262.2	518.15	309.83	543.96	591.22	473.41	334.46
FGD4	47.17	78.34	88.26	65.26	57.89	66.65	94.67	55.89	162.14	102.25	269.6	204.07	136.19	320.8	185.11	155.5	170.25	102.25	116.78	154.42	69.03	91.41	73.03	145.02	81.71	68.55	115.16	78.89	107.38	89.51	84.63	98.73	139.07	165.57	138.1	72.52	131.51	123.5	143.01	147.06	111.21	59.13
FGFR1OP	96.68	265.87	173.85	215.77	195.72	114.36	239.52	150.17	376.41	303.44	409.15	323.03	242.88	371.22	529.06	218.79	395.18	297.17	395.18	387.02	253.23	332.14	271.48	312.0	348.71	269.6	293.07	232.94	260.38	273.37	334.46	256.78	255.0	246.28	381.68	309.83	327.56	195.72	346.29	444.72	271.48	318.57
FOXJ3	198.47	121.79	299.25	320.8	346.29	351.14	358.54	232.94	529.06	346.29	633.73	629.35	473.41	642.59	555.41	521.76	571.05	470.14	460.44	490.14	429.54	420.68	358.54	532.74	441.64	368.65	551.56	463.65	529.06	373.81	409.15	473.41	476.71	543.96	514.56	432.53	447.82	363.56	547.75	587.13	473.41	379.04
GK5	24.11	19.25	83.45	102.25	101.54	114.36	158.79	56.28	275.28	116.78	205.5	237.86	155.5	202.66	454.09	134.3	314.17	287.01	186.4	206.94	136.19	163.28	98.73	190.34	69.52	149.12	287.01	116.78	205.5	88.88	193.01	269.6	181.28	244.57	320.8	133.36	178.77	126.12	332.14	358.54	204.07	164.42
GLCCI1	35.0	41.81	299.25	441.64	466.88	941.27	575.03	295.11	1519.15	395.18	2645.74	1857.6	563.18	1781.89	2758.13	624.99	2451.44	656.11	791.35	854.13	414.87	483.38	884.29	1745.2	878.17	1304.15	830.75	483.38	679.29	397.93	599.49	603.67	665.29	753.83	1167.14	438.59	1051.79	341.51	642.59	587.13	595.34	1030.12
GPATCH2	13.32	19.39	64.8	107.38	81.71	100.83	125.24	62.56	211.31	130.6	264.03	211.31	151.22	301.33	228.13	159.9	162.14	158.79	234.57	115.16	151.22	153.34	146.03	175.07	142.01	189.02	165.57	128.79	150.17	126.12	228.13	194.36	133.36	170.25	197.09	131.51	164.42	79.45	172.65	265.87	156.59	198.47
GRAMD3	301.33	167.9	616.37	587.13	476.71	718.08	866.07	616.37	1015.93	872.1	1594.73	2287.2	665.29	1225.22	2018.8	392.44	1819.35	656.11	1151.06	825.0	409.15	1051.79	934.76	2351.53	878.17	1295.13	896.64	703.28	836.53	819.3	1066.48	518.15	1008.9	928.3	1104.13	1037.29	819.3	476.71	591.22	769.69	567.1	1104.13
HECA	130.6	90.77	161.02	137.14	157.68	154.42	147.06	130.6	356.05	208.38	346.29	379.04	178.77	299.25	305.55	239.52	277.2	170.25	186.4	176.29	152.28	191.67	190.34	237.86	236.21	229.72	218.79	171.45	215.77	159.9	145.02	153.34	253.23	291.04	208.38	190.34	182.55	199.85	279.14	236.21	189.02	176.29
HNRNPDL	2104.58	1295.13	2303.12	4066.71	5329.3	3901.01	2956.17	3257.52	8078.22	5403.7	7280.4	9945.68	5831.91	6699.25	8658.09	5751.61	8305.36	5403.7	4802.93	4704.07	6471.02	4481.23	5076.84	7911.95	3847.29	5672.41	6381.92	5831.91	5954.47	4152.18	5441.3	5292.48	6121.9	5403.7	7130.55	4937.99	5751.61	3874.05	5147.73	6121.9	6561.36	5517.27
HNRNPH3	909.17	802.41	2287.2	1519.15	2875.3	2835.7	3419.52	2209.26	4066.71	3124.78	4123.49	7130.55	4298.64	4210.15	5711.87	4704.07	4937.99	3325.99	3639.7	3847.29	3491.39	3212.66	3103.19	3928.15	3614.55	3395.89	4607.24	3982.99	4512.4	3372.43	3847.29	3982.99	4239.45	4095.0	3690.52	2758.13	4181.07	2855.44	5183.54	3874.05	3794.3	4010.71
IKZF5	33.06	59.55	103.69	143.01	127.0	143.01	180.02	96.68	400.71	285.03	379.04	341.51	229.72	432.53	376.41	293.07	414.87	234.57	269.6	215.77	157.68	232.94	202.66	368.65	237.86	186.4	323.03	209.84	281.09	199.85	215.77	248.0	314.17	283.05	356.05	191.67	297.17	173.85	412.0	384.34	241.19	197.09
INADL	244.57	72.52	202.66	178.77	181.28	202.66	314.17	246.28	435.55	269.6	607.87	571.05	400.71	665.29	688.78	392.44	555.41	412.0	395.18	460.44	384.34	463.65	236.21	547.75	351.14	361.04	466.88	353.59	447.82	403.5	540.19	466.88	521.76	571.05	665.29	356.05	490.14	251.48	470.14	514.56	356.05	409.15
IRF6	159.9	567.1	412.0	356.05	403.5	429.54	371.22	353.59	775.05	753.83	698.41	1135.2	995.0	1286.18	1322.37	603.67	1037.29	521.76	633.73	764.36	703.28	612.11	511.0	1572.76	759.08	890.44	543.96	551.56	698.41	688.78	713.11	629.35	988.12	842.36	748.61	579.04	1073.91	638.15	785.88	669.92	575.03	915.51
ITGAV	423.61	49.21	825.0	656.11	785.88	559.28	1059.11	420.68	1023.0	567.1	1286.18	2935.74	928.3	1159.07	2720.15	872.1	1295.13	490.14	1073.91	529.06	665.29	842.36	525.39	2018.8	764.36	769.69	780.44	780.44	854.13	629.35	928.3	579.04	1104.13	1225.22	1519.15	825.0	1001.93	612.11	1051.79	753.83	896.64	1397.83
JHDM1D	17.64	24.81	70.51	54.33	53.19	53.57	53.95	36.53	90.14	49.21	111.99	215.77	101.54	124.37	190.34	126.12	152.28	92.7	68.07	80.57	61.68	53.19	57.49	149.12	68.07	48.18	106.63	77.25	89.51	73.54	67.59	102.25	86.43	104.42	72.01	56.68	80.01	57.08	204.07	72.01	72.01	46.5
JMJD1C	71.0	138.1	432.53	555.41	642.59	656.11	507.46	366.09	1250.98	934.76	1457.23	1551.09	743.43	1721.16	1529.73	878.17	1340.84	830.75	872.1	802.41	698.41	684.02	954.43	1199.98	780.44	848.22	928.3	791.35	884.29	536.45	733.19	764.36	791.35	802.41	1008.9	775.05	759.08	651.58	1250.98	995.0	902.89	748.61
KCTD9	94.01	61.68	289.02	303.44	231.32	232.94	414.87	116.78	435.55	251.48	525.39	638.15	275.28	507.46	555.41	371.22	389.72	236.21	281.09	283.05	289.02	262.2	217.27	429.54	206.94	312.0	346.29	305.55	285.03	146.03	271.48	291.04	400.71	395.18	384.34	141.02	246.28	204.07	334.46	373.81	353.59	307.69
KDM3A	115.97	73.03	285.03	353.59	348.71	532.74	384.34	389.72	854.13	620.67	718.08	693.58	518.15	1159.07	890.44	693.58	909.17	629.35	599.49	713.11	583.07	507.46	620.67	656.11	483.38	595.34	713.11	463.65	698.41	366.09	403.5	567.1	651.58	514.56	660.68	444.72	660.68	397.93	921.88	708.18	555.41	521.76
KIAA0247	836.53	124.37	500.46	420.68	483.38	733.19	473.41	295.11	796.86	423.61	981.29	1001.93	718.08	854.13	1127.35	599.49	961.07	698.41	651.58	808.0	612.11	624.99	387.02	808.0	642.59	518.15	785.88	679.29	796.86	713.11	555.41	579.04	1001.93	1044.52	866.07	532.74	620.67	540.19	1044.52	624.99	723.08	483.38
KIAA1456	10.88	16.27	221.86	318.57	314.17	343.89	743.43	480.04	1378.57	796.86	3124.78	2090.03	780.44	2400.97	2255.7	785.88	2701.35	2209.26	775.05	1044.52	813.63	1304.15	738.29	1331.57	473.41	890.44	1216.75	703.28	1806.78	379.04	679.29	1359.57	1447.15	896.64	1096.5	551.56	1331.57	320.8	1447.15	1991.0	1143.1	748.61
LARP4B	281.09	137.14	514.56	381.68	373.81	518.15	511.0	406.31	915.51	532.74	830.75	1001.93	642.59	896.64	1617.0	642.59	1096.5	665.29	559.28	703.28	603.67	536.45	463.65	961.07	656.11	603.67	679.29	547.75	753.83	551.56	497.0	647.07	723.08	629.35	769.69	511.0	660.68	476.71	947.83	713.11	656.11	612.11
LGALS8	255.0	361.04	356.05	389.72	348.71	343.89	412.0	223.41	599.49	444.72	583.07	616.37	392.44	723.08	748.61	470.14	703.28	444.72	476.71	642.59	486.75	389.72	423.61	688.78	450.94	417.77	547.75	444.72	532.74	356.05	493.56	486.75	490.14	514.56	543.96	414.87	555.41	358.54	669.92	432.53	466.88	438.59
LGR4	118.43	341.51	120.1	171.45	122.64	175.07	191.67	75.11	457.25	291.04	603.67	320.8	244.57	514.56	395.18	161.02	559.28	283.05	316.37	366.09	228.13	299.25	253.23	559.28	307.69	295.11	256.78	226.54	273.37	237.86	348.71	277.2	323.03	283.05	595.34	201.25	267.73	171.45	341.51	325.29	291.04	299.25
LMTK2	90.77	63.89	104.42	80.57	90.77	115.16	148.09	123.5	193.01	135.24	220.32	256.78	146.03	191.67	237.86	166.73	242.88	171.45	173.85	180.02	148.09	185.11	135.24	248.0	157.68	136.19	189.02	146.03	183.82	149.12	122.64	145.02	206.94	183.82	208.38	142.01	164.42	114.36	265.87	226.54	182.55	144.01
LONRF1	275.28	88.26	177.53	376.41	194.36	358.54	183.82	135.24	1008.9	224.97	579.04	1457.23	559.28	718.08	698.41	547.75	612.11	387.02	438.59	379.04	563.18	389.72	483.38	603.67	314.17	529.06	547.75	483.38	493.56	258.57	400.71	441.64	518.15	780.44	563.18	507.46	463.65	325.29	728.11	599.49	511.0	493.56
LRIG2	33.54	13.22	88.26	105.15	78.89	124.37	98.73	48.52	186.4	101.54	180.02	248.0	135.24	220.32	283.05	159.9	244.57	141.02	125.24	164.42	120.1	144.01	102.97	182.55	129.69	104.42	217.27	132.44	170.25	127.0	127.89	150.17	146.03	144.01	133.36	127.0	149.12	93.35	234.57	176.29	159.9	108.9
LYSMD3	52.08	81.71	127.89	135.24	133.36	134.3	193.01	107.38	332.14	223.41	403.5	363.56	329.84	514.56	281.09	293.07	277.2	236.21	503.95	195.72	234.57	208.38	183.82	409.15	336.79	204.07	325.29	275.28	273.37	241.19	514.56	318.57	273.37	450.94	417.77	285.03	373.81	244.57	269.6	497.0	358.54	307.69
MALT1	42.71	32.82	123.5	124.37	187.71	140.04	140.04	87.03	232.94	173.85	287.01	236.21	147.06	242.88	287.01	147.06	323.03	166.73	169.07	178.77	161.02	154.42	185.11	265.87	178.77	141.02	161.02	177.53	201.25	138.1	205.5	176.29	176.29	229.72	248.0	273.37	166.73	108.14	212.78	212.78	182.55	143.01
MAP4K3	54.72	67.12	223.41	417.77	202.66	262.2	450.94	162.14	612.11	318.57	785.88	733.19	412.0	941.27	674.59	429.54	669.92	497.0	521.76	470.14	379.04	483.38	361.04	503.95	447.82	403.5	559.28	409.15	525.39	341.51	397.93	447.82	450.94	518.15	665.29	429.54	480.04	417.77	612.11	890.44	473.41	463.65
MAP4K5	86.43	40.93	220.32	265.87	271.48	353.59	297.17	153.34	490.14	384.34	616.37	684.02	363.56	633.73	486.75	460.44	547.75	483.38	497.0	381.68	351.14	423.61	329.84	518.15	387.02	343.89	518.15	444.72	480.04	307.69	384.34	447.82	400.71	563.18	490.14	273.37	353.59	356.05	536.45	674.59	454.09	483.38
MAP7	293.07	183.82	239.52	239.52	241.19	186.4	361.04	175.07	417.77	387.02	463.65	518.15	473.41	555.41	567.1	379.04	532.74	420.68	457.25	540.19	376.41	409.15	281.09	620.67	435.55	384.34	392.44	476.71	480.04	412.0	503.95	483.38	490.14	406.31	521.76	403.5	536.45	376.41	483.38	507.46	417.77	432.53
MARCH5	500.46	417.77	540.19	656.11	500.46	518.15	780.44	420.68	842.36	599.49	1015.93	1073.91	753.83	791.35	1167.14	629.35	928.3	785.88	802.41	703.28	679.29	698.41	555.41	981.29	748.61	651.58	587.13	647.07	791.35	651.58	660.68	785.88	753.83	785.88	775.05	507.46	612.11	633.73	511.0	748.61	743.43	825.0
