	TCGA.AK.3447.01A.01R.1766.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.TML8.0326.SM.4GICN	GTEX.117YX.1326.SM.5H125	GTEX.13N2G.0826.SM.5IJE6	GTEX.1122O.0126.SM.5GICA	GTEX.WRHU.0226.SM.3MJFV	GTEX.13O3Q.0526.SM.5KM18	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ6.0426.SM.5IFK2	GTEX.OIZH.0526.SM.2HMKV	GTEX.Q2AG.1026.SM.33HBW	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
SMCHD1	34.02	211.31	208.38	201.25	162.14	708.18	813.63	181.28	204.07	435.55	194.36	802.41	854.13	193.01	371.22	201.25	127.89	185.11	583.07	389.72	162.14	320.8	205.5	253.23	201.25
SNTB2	59.55	262.2	171.45	125.24	114.36	325.29	616.37	118.43	224.97	236.21	116.78	389.72	320.8	187.71	289.02	159.9	152.28	131.51	514.56	307.69	114.36	297.17	189.02	228.13	147.06
SP100	665.29	1519.15	1388.16	1378.57	1073.91	4358.66	4836.35	1030.12	1447.15	2163.77	1216.75	2682.69	3372.43	995.0	3491.39	1331.57	928.3	954.43	4450.27	2163.77	1023.0	1963.57	1508.65	1950.0	1561.89
SRRM1	105.89	808.0	866.07	981.29	854.13	1617.0	2209.26	854.13	934.76	2090.03	928.3	1697.45	1991.0	842.36	1250.98	723.08	603.67	607.87	2739.08	1104.13	825.0	1127.35	890.44	1127.35	698.41
SRSF1	392.44	1674.06	1331.57	1963.57	2224.63	3928.15	4298.64	1651.0	1721.16	3467.27	1628.26	2573.36	4869.99	1923.14	2468.49	1529.73	1561.89	1508.65	4328.55	2061.24	1819.35	2148.82	1709.26	2047.0	2367.9
TBC1D2B	42.71	521.76	915.51	536.45	599.49	1369.04	1909.85	647.07	612.11	1359.57	486.75	1806.78	1639.59	571.05	842.36	507.46	417.77	497.0	1594.73	842.36	450.94	759.08	703.28	941.27	400.71
TBC1D3H	0.0	46.5	20.71	20.26	25.35	82.87	379.04	8.32	6.06	47.84	10.71	20.86	202.66	14.24	44.89	34.51	7.22	23.93	82.29	73.03	4.31	24.99	95.34	14.35	12.45
TRIM25	21.47	612.11	457.25	738.29	309.83	890.44	1529.73	466.88	441.64	1378.57	514.56	674.59	1268.46	444.72	830.75	435.55	249.73	463.65	1037.29	830.75	503.95	616.37	718.08	435.55	559.28
UBA6	80.57	260.38	148.09	187.71	145.02	780.44	961.07	137.14	169.07	400.71	111.99	543.96	915.51	181.28	307.69	159.9	109.66	162.14	1023.0	262.2	143.01	303.44	244.57	190.34	237.86
USP31	14.78	52.45	34.75	38.4	28.04	208.38	435.55	24.46	47.84	84.63	25.91	293.07	1015.93	87.03	105.15	43.32	13.62	53.57	624.99	96.68	30.34	57.49	72.01	63.45	58.3
VANGL2	3.14	114.36	33.06	193.01	71.0	323.03	2104.58	123.5	120.94	176.29	78.89	406.31	698.41	42.71	158.79	55.89	60.82	39.79	1259.69	297.17	43.32	52.82	120.94	267.73	98.04
WDFY1	87.65	318.57	400.71	514.56	299.25	599.49	595.34	351.14	444.72	480.04	265.87	679.29	753.83	571.05	748.61	343.89	279.14	303.44	620.67	579.04	289.02	764.36	438.59	563.18	438.59
WDR26	199.85	860.08	785.88	813.63	669.92	1259.69	1883.54	642.59	947.83	1313.23	791.35	1757.34	1561.89	842.36	1225.22	909.17	764.36	791.35	1757.34	1096.5	961.07	1159.07	791.35	819.3	819.3
XRN1	81.71	167.9	142.01	117.6	103.69	476.71	480.04	109.66	178.77	316.37	128.79	438.59	500.46	118.43	277.2	117.6	77.79	94.01	571.05	211.31	93.35	231.32	165.57	229.72	150.17
YTHDC1	136.19	830.75	860.08	1073.91	1088.92	1447.15	1806.78	780.44	1119.56	1519.15	890.44	1529.73	1617.0	808.0	1030.12	674.59	679.29	698.41	1950.0	1322.37	759.08	1037.29	860.08	1135.2	764.36
ZBED6	0.4	82.29	50.27	83.45	16.51	214.27	547.75	26.67	64.8	224.97	37.59	346.29	124.37	48.87	98.73	59.55	1.27	26.47	305.55	205.5	42.71	151.22	90.14	102.97	80.01
ZBTB11	85.22	208.38	120.94	209.84	134.3	291.04	351.14	153.34	167.9	253.23	143.01	339.14	318.57	186.4	231.32	159.9	88.88	130.6	547.75	204.07	187.71	287.01	181.28	231.32	173.85
ZNF143	187.71	293.07	201.25	271.48	190.34	529.06	559.28	251.48	224.97	379.04	223.41	400.71	532.74	291.04	392.44	267.73	204.07	312.0	651.58	320.8	208.38	368.65	316.37	358.54	307.69
ZNF207	1175.27	1950.0	1340.84	1617.0	1313.23	3614.55	3901.01	1561.89	1378.57	2351.53	1286.18	2682.69	4181.07	1498.22	3060.45	1697.45	1378.57	1183.45	5872.48	2255.7	1721.16	2090.03	2090.03	1923.14	1733.13
ZNF451	62.56	281.09	205.5	291.04	291.04	483.38	551.56	212.78	305.55	438.59	246.28	583.07	748.61	244.57	387.02	214.27	189.02	180.02	791.35	348.71	199.85	361.04	258.57	353.59	215.77
ZNF609	12.83	228.13	218.79	312.0	101.54	753.83	490.14	159.9	232.94	497.0	170.25	629.35	460.44	224.97	435.55	201.25	111.99	157.68	775.05	363.56	187.71	265.87	312.0	309.83	273.37
ZNRF1	68.55	480.04	389.72	591.22	307.69	836.53	1745.2	486.75	457.25	536.45	438.59	764.36	954.43	414.87	748.61	426.57	387.02	341.51	1096.5	764.36	234.57	417.77	563.18	514.56	373.81
