	TCGA.XF.A9SY.01A.21R.A42T.07	TCGA.GC.A3I6.01A.11R.A20F.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.HQ.A5ND.01A.11R.A26T.07	TCGA.UY.A9PA.01A.11R.A38B.07	TCGA.ZF.AA5H.01A.11R.A39I.07	TCGA.C5.A2M2.01A.21R.A18M.07	TCGA.UC.A7PI.01A.11R.A42S.07	TCGA.VS.A9UR.01A.11R.A42T.07	TCGA.C5.A3HD.01B.11R.A213.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.EK.A3GK.01A.11R.A213.07	TCGA.VS.A9UZ.01A.11R.A42T.07	TCGA.DS.A7WH.01A.22R.A352.07	TCGA.HM.A3JJ.01A.21R.A21T.07	TCGA.DG.A2KK.01A.11R.A180.07	TCGA.C5.A8YR.01A.12R.A37O.07	TCGA.EX.A449.01A.11R.A32Y.07	TCGA.QK.AA3J.01A.11R.A39I.07	TCGA.BA.5559.01A.01R.1514.07	TCGA.BA.5149.01A.01R.1514.07	TCGA.CR.7371.01A.11R.2016.07	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.CR.7370.01A.11R.2132.07	TCGA.CV.6939.01A.11R.1915.07	TCGA.CV.7407.01A.11R.2081.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.5443.01A.01R.1514.07	TCGA.CV.7437.01A.21R.2132.07	TCGA.DQ.7590.01A.11R.2232.07	TCGA.CR.5250.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CV.7248.01A.11R.2016.07	TCGA.CR.6470.01A.11R.1873.07	TCGA.CN.6022.01A.21R.1686.07	TCGA.97.7547.01A.11R.2039.07	TCGA.05.5715.01A.01R.1628.07	TCGA.78.7542.01A.21R.2066.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.6761.01A.31R.1949.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.ZA64.0326.SM.5HL8T	GTEX.13O61.0726.SM.5J2MD	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XQ3S.0926.SM.4BOPI	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.UJHI.0726.SM.3DB92	GTEX.145MF.0726.SM.5Q5BT	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.1399U.0826.SM.5KM1P	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	GTEX.13OVG.0326.SM.5KM57	TCGA.70.6722.01A.11R.1820.07	TCGA.56.1622.01A.01R.0692.07	TCGA.34.5232.01A.21R.1820.07	TCGA.NK.A5CX.01A.11R.A26W.07	TCGA.85.8481.01A.11R.2326.07	TCGA.98.8021.01A.11R.2247.07
ATOH8	11.3	150.17	13.12	9.27	39.22	307.69	10.79	6.67	16.75	26.47	36.01	6.78	3.69	42.11	14.35	87.03	5.45	15.68	17.38	36.79	116.78	7.17	49.91	7.11	2.39	27.64	32.13	10.08	7.57	6.62	155.5	6.57	9.7	466.88	2.1	99.43	26.67	50.63	258.57	64.34	169.07	0.0	0.44	94.01	1331.57	14765.09	1794.29	3303.0	995.0	854.13	8598.28	11035.54	4038.61	11189.6	1388.16	3103.19	5751.61	3395.89	4328.55	12415.75	8778.97	536.45	543.96	6607.01	5555.65	4512.4	1628.26	3639.7	4543.8	1340.84	11424.74	1794.29	9876.98	6471.02	7966.99	1963.57	1991.0	934.76	2664.15	1369.04	624.99	5255.91	7695.57	1417.35	202.66	406.31	1769.57	4607.24	718.08	4388.98	603.67	1191.69	4123.49	5292.48	4639.29	1674.06	5791.62	80.57	2935.74	16045.82	131.51	8421.31	780.44	3018.3	4575.41	3491.39	33.3	3982.99	3564.78	3901.01	493.56	2133.97	3190.46	2451.44	5633.22	6607.01	1529.73	3325.99	651.58	9151.82	3257.52	5292.48	1143.1	3146.52	5954.47	14361.31	1295.13	5872.48	1909.85	3467.27	5183.54	6207.38	8901.53	1397.83	8479.89	132.44	21.01	60.82	69.03	15.0	109.66
BMP6	18.29	12.64	4.58	18.56	3.11	4.46	28.04	2.1	6.06	15.11	2.53	13.12	4.06	21.16	43.63	56.68	2.94	80.57	6.89	20.11	43.02	14.24	58.71	5.59	7.17	32.82	48.87	16.63	4.35	4.28	39.5	9.27	11.91	63.89	8.19	126.12	73.54	27.84	44.25	35.25	9.63	0.0	0.34	8.78	144.01	237.86	180.02	59.13	277.2	95.34	463.65	325.29	327.56	974.5	193.01	153.34	518.15	156.59	140.04	575.03	409.15	647.07	82.29	866.07	432.53	532.74	187.71	97.36	348.71	78.34	208.38	43.94	591.22	733.19	2895.31	59.97	52.82	909.17	68.55	351.14	140.04	162.14	24.99	123.5	187.71	224.97	77.25	144.01	231.32	1498.22	264.03	412.0	211.31	155.5	1757.34	1023.0	74.06	50.98	60.39	142.01	183.82	221.86	275.28	500.46	426.57	87.03	185.11	164.42	273.37	126.12	191.67	480.04	96.01	260.38	33.54	35.0	289.02	32.13	204.07	329.84	301.33	264.03	57.08	353.59	195.72	73.03	50.27	152.28	31.0	316.37	88.26	368.65	260.38	371.22	211.31	56.28	20.41	43.02	40.07	23.76	68.55
BTNL3	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.35	0.39	0.0	0.0	0.0	0.0	1.71	0.0	1.3	0.0	0.0	0.0	0.39	0.37	0.0	0.0	0.0	0.0	0.38	0.39	0.0	0.0	0.74	0.39	0.74	0.39	0.0	0.0	0.0	0.0	1.08	0.0	0.45	0.0	0.05	0.0	10.63	0.93	1.1	1.25	5.41	17.25	21.01	9.78	1.04	0.71	3.79	12.55	9.85	1.3	8.92	1.75	18.43	1.62	9.78	8.99	14.67	10.24	0.0	0.67	0.69	14.67	1.08	0.0	2.34	12.64	1.25	5.41	7.51	11.91	1.73	0.88	5.92	1.1	8.85	7.82	0.0	9.7	12.09	7.88	4.35	9.41	0.71	0.0	1.1	1.16	0.0	0.0	2.34	1.08	0.71	1.79	5.96	1.58	0.0	16.39	2.1	8.38	2.53	7.94	1.23	1.62	0.0	0.46	0.89	0.92	0.0	12.93	1.33	12.83	0.0	12.64	8.78	9.7	0.0	0.71	0.0	1.46	2.14	1.06	1.06	12.93	27.05	18.29	2.03	0.0	1.62	0.53	0.0	2.78	0.0	0.0	4.03
C13orf45	0.0	0.62	1.5	0.0	0.0	0.95	0.93	3.08	0.0	0.0	0.0	0.0	0.91	0.0	4.03	0.0	0.0	0.61	0.56	1.64	0.35	0.0	0.0	0.0	0.0	0.32	1.73	0.0	0.0	0.0	1.04	0.0	1.39	0.0	0.0	0.0	0.0	0.0	2.18	1.03	2.41	0.0	0.0	1.04	15.22	6.11	6.78	24.11	1.93	6.73	5.92	5.45	6.01	13.72	3.96	105.89	10.08	2.71	5.54	12.93	5.45	4.54	7.82	5.15	5.5	3.0	11.73	1.91	12.18	1.6	1.3	6.36	11.04	5.54	2.89	7.34	5.63	2.92	1.41	3.23	8.32	9.06	5.73	0.0	15.8	5.63	9.06	18.03	4.94	3.35	36.27	3.44	4.28	4.58	24.46	2.29	4.17	31.45	5.36	14.03	4.94	6.21	10.96	12.0	13.12	9.41	3.0	13.32	1.91	11.73	11.47	9.13	5.11	19.97	0.0	4.82	3.82	6.62	9.56	2.41	11.21	5.68	3.38	19.97	6.11	3.96	12.36	7.46	4.1	16.39	9.78	3.0	19.39	4.78	16.03	0.0	0.0	0.34	0.67	0.0	2.84
C14orf132	23.76	14.56	5.5	12.64	7.28	6.67	6.01	79.45	77.25	84.04	29.06	279.14	87.65	31.45	61.68	39.79	135.24	3.23	6.94	9.7	81.14	48.52	55.49	7.11	11.13	48.52	40.07	28.86	18.29	82.29	92.7	16.15	96.01	98.73	11.21	47.5	56.68	156.59	55.49	55.1	2.94	0.0	0.29	20.41	555.41	1572.76	198.47	728.11	208.38	343.89	813.63	2319.15	915.51	665.29	339.14	595.34	521.76	878.17	902.89	2739.08	928.3	114.36	665.29	1191.69	656.11	954.43	603.67	417.77	2133.97	497.0	1295.13	426.57	1135.2	1277.29	1051.79	1127.35	295.11	400.71	379.04	928.3	387.02	1066.48	1331.57	830.75	454.09	559.28	1104.13	1295.13	267.73	353.59	974.5	80.01	738.29	1674.06	743.43	251.48	1529.73	368.65	802.41	2537.92	146.03	1651.0	267.73	723.08	1233.75	1111.82	115.97	656.11	830.75	1183.45	647.07	1159.07	713.11	1268.46	563.18	836.53	915.51	974.5	239.52	1857.6	780.44	842.36	656.11	341.51	748.61	2148.82	525.39	1950.0	629.35	638.15	426.57	902.89	1427.22	503.95	1277.29	48.52	35.25	90.14	108.9	55.49	165.57
C20orf202	4.39	6.57	5.36	11.13	0.84	3.14	2.78	11.47	8.58	4.54	0.57	1.33	12.18	0.59	1.87	1.77	3.76	3.66	2.84	6.67	1.46	3.63	8.92	4.78	1.07	7.75	3.08	1.13	1.06	2.16	5.82	3.86	7.82	5.28	1.46	8.32	7.06	4.1	4.46	23.93	0.92	0.0	0.0	1.11	42.71	53.57	34.26	28.24	9.78	72.52	37.59	47.84	26.1	76.17	19.53	43.63	52.82	19.25	38.67	52.82	47.84	6.06	37.05	24.11	28.65	61.25	35.5	57.89	40.64	19.25	52.82	25.91	53.57	37.85	52.82	43.02	42.41	54.33	21.94	40.93	36.27	55.49	41.52	43.32	49.21	41.52	36.27	31.45	21.78	20.86	64.34	16.63	55.89	45.21	78.34	9.48	39.79	23.25	38.67	31.9	32.82	38.4	16.63	75.11	53.95	54.33	54.72	27.44	26.1	21.47	72.01	33.3	38.67	52.82	43.63	35.25	55.49	57.49	21.94	33.78	37.05	31.22	44.57	75.64	41.22	29.06	38.12	40.36	21.32	73.03	43.32	53.19	55.1	22.43	65.72	3.29	1.58	5.02	4.24	1.39	5.96
CA4	1.95	0.0	7.88	1.31	0.0	3.53	0.0	2.48	1.58	0.0	1.64	19.39	0.0	2.39	1.79	2.78	3.47	3.41	3.44	4.24	5.02	0.0	11.91	1.43	0.0	1.38	1.03	3.89	0.0	0.0	0.0	0.0	0.0	2.66	0.0	0.0	1.97	1.43	1.25	9.13	9.2	0.0	0.39	32.82	218.79	10296.45	3847.29	6983.79	283.05	947.83	2645.74	3443.31	1340.84	7749.1	3018.3	708.18	2956.17	848.22	457.25	2287.2	3820.7	22.75	848.22	1233.75	9945.68	3614.55	2645.74	3690.52	3690.52	6426.31	26986.43	1508.65	2133.97	3372.43	4298.64	1051.79	379.04	2287.2	10808.41	1508.65	281.09	2451.44	4298.64	2976.74	642.59	599.49	2163.77	4181.07	1757.34	1233.75	6337.83	120.94	2468.49	4181.07	376.41	400.71	6699.25	848.22	796.86	6792.79	1259.69	1208.34	1697.45	1662.49	2777.33	6607.01	525.39	5219.6	5441.3	3982.99	309.83	463.65	3491.39	674.59	10440.2	8538.88	327.56	6250.56	1167.14	7695.57	4010.71	279.14	1572.76	785.88	1561.89	2935.74	974.5	2468.49	2537.92	6607.01	21617.82	5041.77	1051.79	2739.08	6381.92	10.16	5.15	20.41	6.21	0.0	28.24
CABP5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.26	0.48	2.46	0.0	2.32	0.61	0.0	0.64	0.72	0.64	1.45	0.62	0.45	2.25	0.0	2.41	3.69	0.75	0.58	0.61	0.84	1.13	1.08	1.08	1.13	4.35	1.51	1.28	0.6	1.64	1.1	0.0	2.1	2.41	0.0	1.79	0.0	1.55	0.0	1.38	2.01	3.0	0.6	0.0	0.0	0.0	0.0	0.96	1.99	2.18	0.0	2.94	0.87	0.0	0.64	0.0	0.59	3.69	4.43	1.45	1.0	0.0	0.0	0.0	0.44	1.11	2.97	0.62	0.6	0.0	1.95	1.33	5.06	0.0	1.23	5.02	0.0	1.66	1.27	0.78	0.0	1.73	2.71	2.14	2.73	0.0	0.0	1.45	0.87	0.0	2.05	0.0	0.0	0.0	0.0	0.0	0.0
CACNA2D2	2.89	10.71	8.99	13.72	3.66	6.31	5.63	8.32	5.63	90.14	17.51	5.87	8.06	18.56	8.13	13.42	11.21	22.26	27.64	8.38	17.51	1.28	44.89	4.62	1.31	43.02	9.93	4.06	0.93	3.66	7.51	10.96	14.35	18.56	1.36	37.32	13.22	14.56	51.71	44.89	85.22	0.0	0.09	41.52	11504.21	18689.27	6983.79	9344.14	2997.45	4239.45	7911.95	12764.83	5041.77	4607.24	9606.86	5791.62	5633.22	9215.48	10733.74	9808.75	7695.57	2627.46	2555.58	10883.59	8134.41	8479.89	11267.44	3874.05	12329.98	5555.65	8658.09	7382.04	7331.05	8538.88	18560.17	14163.58	1143.1	4450.27	7331.05	5751.61	3716.2	9215.48	15824.9	8598.28	3168.41	1806.78	11504.21	5006.93	5711.87	1709.26	5517.27	1407.55	3768.09	10733.74	11745.96	1745.2	9151.82	3874.05	15392.14	19754.96	4671.57	7180.15	5292.48	3168.41	10014.87	15934.98	2816.11	6887.62	4481.23	9215.48	2502.97	8247.98	6337.83	10014.87	11189.6	10296.45	3349.13	6337.83	4239.45	26067.14	17437.64	4419.52	6561.36	3325.99	6983.79	12943.04	11504.21	10154.69	7485.11	6337.83	15607.02	8963.45	4298.64	2468.49	11189.6	36.01	28.86	50.27	35.25	8.92	112.77
CCDC141	1.57	0.64	5.32	0.32	0.28	2.18	2.16	0.66	0.19	1.08	0.45	0.43	3.56	0.74	0.8	1.3	2.36	5.11	0.42	1.79	23.42	2.41	3.32	2.23	1.25	3.03	7.69	1.33	1.53	0.67	1.28	0.66	7.51	6.11	0.34	2.36	14.78	21.16	3.29	3.11	2.63	0.0	0.0	3.5	420.68	277.2	256.78	463.65	118.43	107.38	114.36	417.77	291.04	167.9	162.14	295.11	361.04	279.14	181.28	251.48	242.88	43.63	220.32	234.57	253.23	450.94	194.36	64.8	536.45	171.45	241.19	120.1	521.76	267.73	189.02	387.02	49.56	119.26	82.87	341.51	44.57	348.71	395.18	111.21	166.73	115.16	215.77	125.24	29.06	420.68	73.03	17.9	228.13	447.82	348.71	79.45	336.79	47.5	511.0	279.14	27.05	373.81	93.35	129.69	202.66	162.14	42.41	201.25	258.57	212.78	172.65	181.28	309.83	232.94	209.84	429.54	98.04	191.67	152.28	412.0	169.07	361.04	155.5	74.58	260.38	241.19	187.71	353.59	612.11	198.47	81.71	182.55	97.36	76.71	190.34	3.38	0.0	7.28	2.01	0.68	8.13
CD300LG	0.33	0.64	0.31	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.44	0.47	0.0	0.89	3.06	0.0	0.47	0.44	2.41	5.59	0.42	1.58	0.79	0.0	0.77	3.96	0.83	0.0	0.82	0.8	0.82	2.23	0.45	0.0	3.11	5.15	0.44	0.31	3.23	0.0	0.0	0.0	6.26	198.47	432.53	389.72	20.86	190.34	525.39	53.95	368.65	334.46	2609.3	256.78	265.87	743.43	178.77	412.0	753.83	1233.75	40.36	860.08	64.34	493.56	476.71	647.07	1457.23	607.87	579.04	2485.67	117.6	559.28	244.57	214.27	262.2	48.18	961.07	351.14	575.03	98.73	669.92	620.67	105.89	218.79	76.71	271.48	432.53	63.45	50.98	128.79	21.32	406.31	218.79	420.68	73.03	684.02	44.89	511.0	42.41	100.13	633.73	154.42	384.34	928.3	693.58	128.79	543.96	536.45	124.37	358.54	511.0	420.68	642.59	253.23	406.31	332.14	139.07	316.37	1819.35	85.22	698.41	78.89	642.59	351.14	723.08	72.52	1111.82	165.57	182.55	131.51	647.07	64.34	629.35	723.08	0.62	0.0	2.29	0.0	0.0	0.96
CGNL1	12.64	7.88	8.45	17.25	4.46	3.5	16.15	76.17	114.36	98.04	2.23	18.84	6.62	68.07	36.01	29.27	6.16	4.46	103.69	47.17	175.07	6.36	70.51	0.93	5.11	41.81	59.97	14.45	0.91	2.46	164.42	7.46	108.14	305.55	1.33	83.45	258.57	102.97	218.79	169.07	61.25	0.0	0.16	42.71	1467.37	2075.59	947.83	1242.34	791.35	629.35	1427.22	4419.52	1572.76	947.83	854.13	1313.23	921.88	1923.14	1037.29	1143.1	2047.0	559.28	708.18	1088.92	884.29	1757.34	1286.18	503.95	1651.0	507.46	1135.2	493.56	1529.73	1540.37	547.75	1561.89	612.11	693.58	397.93	1313.23	1397.83	974.5	1259.69	1857.6	921.88	1268.46	1175.27	1088.92	995.0	642.59	2739.08	587.13	1378.57	1909.85	764.36	941.27	2061.24	1721.16	1685.71	2335.28	802.41	2956.17	587.13	1135.2	1487.87	1685.71	301.33	791.35	698.41	1508.65	1457.23	1378.57	1417.35	753.83	941.27	1685.71	1208.34	902.89	733.19	2935.74	688.78	2701.35	1313.23	1313.23	1259.69	2119.22	2895.31	1143.1	995.0	819.3	242.88	1135.2	1883.54	941.27	1119.56	86.43	14.89	43.63	38.95	24.28	93.35
CHRNA2	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	1.19	0.0	0.0	5.19	1.23	2.05	0.0	0.35	0.33	0.32	1.27	0.65	0.0	0.31	0.0	0.0	0.0	0.33	1.36	0.0	0.35	0.72	0.0	0.13	0.0	0.0	0.0	0.0	0.12	28.24	10.63	13.93	12.64	12.55	9.27	15.91	18.29	8.78	7.51	7.28	14.35	7.57	8.38	13.12	16.03	35.76	13.72	6.84	11.47	12.27	9.78	8.51	7.0	34.26	23.08	15.68	11.47	6.67	20.86	8.58	8.32	11.3	44.89	0.0	10.88	7.94	9.7	5.68	4.17	11.64	12.64	10.88	18.7	2.86	4.35	5.87	6.94	42.71	7.75	10.0	23.42	12.64	6.21	10.0	23.08	2.78	22.43	11.82	8.71	14.14	0.0	0.0	5.19	3.92	14.56	42.71	10.31	7.69	11.38	19.68	7.22	16.15	10.47	16.27	58.3	18.16	13.03	4.9	4.17	13.83	16.39	28.04	19.11	25.91	10.31	2.97	16.39	3.41	9.56	21.78	0.73	0.09	1.39	0.11	0.0	0.74
CLDN18	2.53	0.0	1.22	0.0	0.57	1.28	2.51	1.62	0.97	0.68	1.0	1.64	1.38	2.12	2.27	2.16	1.41	0.66	1.28	0.0	4.39	0.46	4.5	2.56	0.46	1.46	6.62	4.46	0.8	0.48	0.83	0.0	1.19	4.06	0.48	2.36	1.66	2.56	9.13	101.54	8.06	173.85	135.24	75.11	132900.7	40904.3	6250.56	98646.85	18178.19	10883.59	54349.29	258533.99	9344.14	43840.21	32994.92	180294.02	107948.72	59063.35	43236.64	57847.82	93325.55	12853.63	18178.19	84694.64	22535.88	40904.3	33455.53	22535.88	87075.75	3190.46	55877.28	2935.74	125731.67	108699.57	6426.31	55107.99	2032.85	77934.88	25530.66	74243.68	1066.48	37901.36	34158.52	37121.34	4152.18	9474.59	18560.17	23820.89	80125.95	7749.1	73221.53	13306.94	29327.18	114103.8	110216.97	21026.65	85283.74	20593.91	61999.83	130165.62	69271.73	198667.0	5441.3	16960.78	84694.64	16727.26	11345.82	31432.17	11424.74	45386.27	46662.28	22072.07	134755.94	114103.8	59887.86	294926.33	51062.33	27174.14	25354.3	133825.1	43840.21	275175.93	41475.31	15934.98	26248.46	44452.21	32540.65	37379.55	23656.34	3443.31	10084.54	25530.66	49322.93	52863.07	32315.87	35.0	6.36	53.19	12.27	2.51	75.64
CLEC3B	39.5	44.25	15.11	19.82	19.82	80.57	28.65	36.53	65.26	591.22	7.57	85.22	27.64	134.3	186.4	118.43	23.76	42.41	120.94	603.67	249.73	45.21	197.09	54.33	21.94	87.03	148.09	85.22	33.54	50.63	255.0	36.79	105.89	158.79	32.13	480.04	133.36	61.25	193.01	536.45	45.53	0.0	0.21	215.77	6561.36	14361.31	11584.24	4575.41	1066.48	31650.8	9215.48	18819.27	2004.85	17927.91	10512.82	5441.3	7749.1	13306.94	8479.89	17681.08	3742.05	647.07	6037.61	3982.99	6207.38	3820.7	15075.35	12244.81	4298.64	2895.31	4066.71	3589.58	11504.21	6516.03	13681.08	7081.29	4095.0	5366.37	10368.08	2591.27	11424.74	16269.83	15075.35	5872.48	5255.91	20881.4	12076.21	10883.59	4298.64	3540.14	3257.52	1111.82	2303.12	3325.99	4328.55	3018.3	13215.02	5872.48	10154.69	17437.64	7749.1	7331.05	6745.86	8305.36	8658.09	8305.36	2739.08	11189.6	9808.75	8840.04	6983.79	5594.3	7130.55	12589.08	4419.52	16843.62	19892.37	7966.99	2193.99	6294.04	3982.99	5831.91	11992.79	12415.75	7803.01	2915.45	10225.32	9474.59	941.27	4481.23	2351.53	6250.56	36357.37	5366.37	8479.89	89.51	47.5	206.94	275.28	49.91	379.04
CNTN6	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.24	1.03	0.0	0.0	0.0	0.0	0.27	2.66	0.0	0.84	0.26	0.24	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.73	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.17	3.72	0.82	0.0	0.0	0.72	283.05	212.78	291.04	232.94	95.34	271.48	166.73	409.15	363.56	325.29	69.03	120.94	165.57	381.68	67.59	346.29	138.1	105.15	169.07	480.04	262.2	150.17	223.41	151.22	295.11	148.09	205.5	64.8	122.64	339.14	56.28	59.55	111.99	66.65	24.63	363.56	289.02	215.77	212.78	239.52	159.9	153.34	180.02	143.01	82.29	214.27	251.48	127.0	36.27	183.82	71.5	67.59	376.41	80.57	120.94	318.57	351.14	239.52	379.04	293.07	211.31	127.89	145.02	204.07	191.67	204.07	130.6	118.43	215.77	293.07	441.64	98.04	267.73	127.0	159.9	162.14	108.9	198.47	305.55	218.79	78.89	525.39	115.97	325.29	267.73	48.87	90.14	156.59	303.44	215.77	133.36	2.23	0.64	4.5	2.48	0.16	4.24
COL6A6	6.21	2.51	0.31	1.87	0.28	0.0	9.78	0.21	0.0	3.17	0.0	2.97	0.23	0.23	3.79	1.08	1.64	0.0	0.0	5.11	13.62	1.99	12.0	0.56	0.92	3.44	47.84	0.58	0.55	0.0	11.47	1.35	31.9	8.25	0.57	1.79	19.39	2.07	49.91	11.3	1.11	0.0	0.16	16.51	66.18	511.0	142.01	194.36	34.51	995.0	269.6	444.72	58.71	63.89	400.71	60.39	77.25	136.19	591.22	72.52	172.65	38.95	78.89	307.69	43.63	262.2	256.78	139.07	202.66	113.56	123.5	109.66	145.02	353.59	323.03	177.53	115.16	75.11	363.56	220.32	518.15	277.2	126.12	93.35	273.37	85.82	111.21	148.09	205.5	70.51	688.78	66.18	171.45	127.0	173.85	13.22	204.07	381.68	82.87	669.92	195.72	62.12	341.51	447.82	713.11	285.03	267.73	185.11	287.01	208.38	525.39	71.5	27.64	291.04	215.77	49.56	579.04	420.68	221.86	229.72	603.67	158.79	151.22	555.41	285.03	108.14	420.68	165.57	115.16	409.15	373.81	283.05	457.25	91.41	454.09	16.15	1.87	129.69	18.16	3.06	33.06
DCC	1.89	0.0	0.3	0.32	0.0	0.32	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.93	0.0	0.64	0.34	0.0	0.0	5.15	5.23	0.0	13.22	0.0	0.0	5.92	2.25	0.0	0.0	0.0	4.78	2.32	2.27	5.23	0.0	2.03	7.11	0.0	4.7	2.76	2.58	0.0	0.0	0.41	53.19	76.71	19.39	3.06	8.71	55.49	12.36	43.94	18.56	25.72	131.51	21.63	7.88	20.56	29.27	7.11	18.97	28.86	7.46	38.4	19.68	7.34	27.84	8.51	7.34	8.71	38.95	8.51	20.71	4.78	12.45	14.14	10.0	20.56	12.27	7.11	145.02	13.93	8.06	7.69	53.57	27.05	38.67	15.45	8.32	9.06	147.06	12.0	22.43	55.49	9.48	34.26	23.93	31.45	53.95	36.27	39.79	9.63	17.51	10.0	18.97	9.2	202.66	10.08	6.06	21.01	35.76	20.56	5.45	2.48	8.51	9.93	76.71	11.47	26.67	60.82	5.68	18.03	36.01	44.89	22.43	7.34	14.35	25.17	26.47	21.63	15.45	25.91	31.22	13.52	24.28	1.71	2.78	4.62	9.13	0.67	7.57
