	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.XBEW.1526.SM.4AT4K	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.11O72.2026.SM.5N9G8	GTEX.11GSP.1726.SM.5A5LI	GTEX.Y111.1726.SM.4SOIQ	GTEX.13G51.1026.SM.5K7YQ	GTEX.RTLS.1226.SM.46MUP	GTEX.ZAB4.1226.SM.5CVN5	GTEX.13OW6.1426.SM.5L3EU	GTEX.13FHO.1826.SM.5K7Y6	GTEX.YECK.1726.SM.5IFI3	GTEX.139TU.1326.SM.5LZXW	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CDK1	1369.04	293.07	1639.59	72.52	343.89	181.28	256.78	988.12	73.54	167.9	305.55	332.14	31.0	24.81	26.1	35.0	30.34	18.43	63.45	49.56	27.44	103.69	19.25	20.71	1008.9	941.27	723.08	684.02	460.44	941.27
CETN3	1397.83	896.64	1583.71	490.14	429.54	217.27	738.29	616.37	764.36	409.15	429.54	486.75	209.84	316.37	379.04	309.83	379.04	423.61	466.88	476.71	348.71	460.44	368.65	265.87	981.29	1066.48	796.86	514.56	521.76	836.53
CKAP2L	129.69	50.27	223.41	23.76	93.35	57.08	111.99	226.54	14.14	27.84	39.5	66.18	2.36	5.36	1.36	1.39	3.76	7.63	6.67	6.11	3.06	9.41	6.78	0.0	187.71	241.19	173.85	151.22	88.88	193.01
CNOT11	1870.53	1001.93	896.64	1167.14	1066.48	813.63	961.07	921.88	1096.5	1143.1	775.05	934.76	669.92	423.61	293.07	332.14	511.0	441.64	423.61	540.19	473.41	463.65	420.68	438.59	1135.2	1119.56	860.08	1216.75	1208.34	1159.07
COIL	231.32	289.02	363.56	236.21	237.86	187.71	283.05	265.87	237.86	237.86	217.27	193.01	144.01	142.01	118.43	141.02	151.22	170.25	141.02	187.71	124.37	211.31	181.28	105.89	295.11	246.28	307.69	334.46	183.82	279.14
COPS2	1304.15	1001.93	1378.57	961.07	1127.35	791.35	1417.35	1250.98	1030.12	848.22	1175.27	921.88	620.67	567.1	902.89	599.49	612.11	536.45	830.75	1081.39	660.68	860.08	583.07	603.67	2163.77	1359.57	1417.35	1467.37	1250.98	1662.49
CRNN	971597.0	706337.4	97965.44	2171106.91	581732.96	565825.41	1221310.69	767601.56	2805836.45	951601.81	338781.54	4107985.47	5.68	24.46	10.16	62.56	149.12	21.16	120.1	1008.9	7.22	52.08	11.91	629.35	3336720.86	4851500.88	834179.46	6183532.28	4558095.38	5534416.31
DDX52	256.78	320.8	409.15	525.39	476.71	314.17	414.87	314.17	406.31	432.53	260.38	426.57	271.48	151.22	173.85	158.79	152.28	180.02	178.77	234.57	234.57	211.31	185.11	120.94	521.76	525.39	361.04	454.09	395.18	540.19
DEPDC1	141.02	39.22	417.77	8.06	105.89	13.32	104.42	185.11	17.25	12.27	55.89	45.53	0.0	3.47	1.95	1.04	2.07	2.18	4.86	7.4	2.84	7.4	1.07	0.0	167.9	166.73	116.78	109.66	58.3	165.57
DLGAP5	209.84	56.68	133.36	14.24	86.43	57.89	162.14	102.25	12.45	21.94	182.55	99.43	1.14	3.63	3.89	0.0	0.0	1.75	5.06	5.41	3.86	29.91	0.0	0.0	293.07	329.84	260.38	234.57	136.19	279.14
DNAJC7	2720.15	2004.85	1819.35	1883.54	1769.57	1529.73	2061.24	1508.65	2004.85	1697.45	1781.89	1540.37	1295.13	1277.29	1304.15	1437.15	1628.26	1662.49	1340.84	1467.37	1447.15	1457.23	1508.65	1159.07	2701.35	2915.45	2104.58	2520.38	2178.83	3280.18
DPM1	1104.13	981.29	1844.76	1208.34	1605.83	1508.65	1378.57	1313.23	1096.5	1167.14	1191.69	656.11	785.88	543.96	780.44	748.61	728.11	567.1	713.11	934.76	813.63	988.12	638.15	460.44	2224.63	1322.37	1104.13	1322.37	1088.92	1508.65
EIF2S2	1617.0	1277.29	2119.22	1498.22	1857.6	1487.87	1733.13	1407.55	1225.22	1674.06	1529.73	1151.06	921.88	796.86	785.88	813.63	620.67	642.59	728.11	890.44	796.86	866.07	624.99	884.29	2609.3	1709.26	1605.83	1832.01	2090.03	2502.97
ELP4	339.14	293.07	293.07	249.73	334.46	209.84	329.84	217.27	241.19	258.57	185.11	228.13	167.9	217.27	144.01	145.02	162.14	144.01	187.71	140.04	164.42	193.01	167.9	128.79	480.04	460.44	336.79	303.44	323.03	406.31
FBXO22	543.96	301.33	651.58	334.46	441.64	379.04	351.14	532.74	312.0	389.72	323.03	318.57	201.25	279.14	195.72	172.65	140.04	191.67	299.25	303.44	301.33	267.73	249.73	182.55	759.08	514.56	463.65	420.68	480.04	521.76
FOPNL	842.36	796.86	1073.91	703.28	679.29	563.18	1037.29	866.07	866.07	575.03	660.68	802.41	384.34	293.07	414.87	343.89	409.15	309.83	361.04	555.41	318.57	406.31	275.28	332.14	1572.76	1216.75	941.27	1030.12	961.07	1605.83
GABRA3	150.17	9.85	40.36	5.82	59.13	39.79	81.71	24.28	25.35	19.39	2.97	12.93	0.09	0.0	0.0	0.0	0.0	0.0	0.82	0.08	0.0	0.08	0.45	0.0	52.45	267.73	52.45	90.77	249.73	43.94
GINS1	283.05	82.29	1369.04	44.57	99.43	31.22	98.73	171.45	31.0	90.77	97.36	61.25	9.13	11.82	5.28	8.0	7.46	7.94	19.25	14.89	8.0	18.03	7.46	8.06	211.31	293.07	137.14	178.77	131.51	212.78
GLE1	599.49	414.87	514.56	450.94	559.28	389.72	511.0	432.53	460.44	500.46	387.02	384.34	289.02	248.0	193.01	182.55	256.78	305.55	267.73	303.44	241.19	318.57	273.37	193.01	703.28	830.75	571.05	638.15	403.5	713.11
GNRHR	17.13	11.13	14.78	7.34	27.44	3.92	9.7	14.78	19.39	6.89	4.98	8.25	1.27	3.72	0.0	2.43	3.82	3.17	1.68	2.84	5.02	5.32	2.97	0.83	28.86	29.7	7.63	19.11	18.03	13.22
HBS1L	769.69	612.11	961.07	642.59	669.92	579.04	713.11	988.12	669.92	583.07	624.99	633.73	493.56	500.46	397.93	316.37	341.51	275.28	426.57	486.75	483.38	397.93	295.11	320.8	1674.06	1008.9	733.19	825.0	743.43	848.22
HERPUD2	397.93	444.72	444.72	514.56	583.07	376.41	616.37	435.55	414.87	414.87	381.68	567.1	329.84	287.01	358.54	301.33	323.03	327.56	379.04	403.5	312.0	353.59	351.14	301.33	607.87	583.07	447.82	674.59	387.02	575.03
HMMR	221.86	63.45	728.11	14.67	85.22	16.39	50.63	112.77	10.31	26.86	41.81	50.63	4.74	2.2	6.26	3.17	5.28	2.36	7.57	3.66	1.62	39.22	2.25	1.68	267.73	197.09	164.42	161.02	89.51	226.54
HSPD1	4123.49	2915.45	8901.53	2956.17	4010.71	2935.74	4575.41	6745.86	2209.26	3103.19	3018.3	2090.03	2434.5	2777.33	3146.52	2895.31	2018.8	1950.0	2417.67	2451.44	3081.75	2537.92	2018.8	2502.97	5255.91	3235.01	4181.07	3212.66	3349.13	3928.15
HSPE1	2816.11	2384.37	7081.29	3280.18	4210.15	3982.99	4512.4	4639.29	2451.44	3235.01	3665.02	2417.67	1936.53	3190.46	2148.82	1936.53	2047.0	1896.65	2004.85	2240.11	2664.15	2032.85	1662.49	2061.24	7032.37	3955.48	4239.45	3018.3	3467.27	4802.93
IARS2	1250.98	1073.91	1685.71	1096.5	1457.23	825.0	1340.84	1340.84	1151.06	1001.93	1151.06	988.12	665.29	583.07	532.74	612.11	563.18	525.39	599.49	723.08	620.67	616.37	674.59	532.74	1651.0	2148.82	1529.73	1781.89	1437.15	1769.57
IK	2758.13	2502.97	2855.44	2193.99	2319.15	1794.29	2367.9	1977.24	2434.5	2032.85	1769.57	2485.67	2104.58	1369.04	1051.79	1295.13	1594.73	1322.37	1639.59	1844.76	1583.71	1639.59	1697.45	1427.22	2875.3	3235.01	2895.31	2591.27	2645.74	3212.66
KIAA0101	1127.35	139.07	988.12	28.86	316.37	142.01	95.34	769.69	40.64	146.03	277.2	409.15	13.83	14.14	9.06	19.82	5.82	15.34	36.53	30.34	16.15	145.02	4.66	14.03	1225.22	1250.98	647.07	532.74	684.02	860.08
KIAA1715	279.14	260.38	368.65	231.32	251.48	108.14	241.19	251.48	269.6	187.71	172.65	255.0	104.42	157.68	158.79	144.01	108.14	198.47	173.85	193.01	139.07	201.25	183.82	96.01	500.46	420.68	325.29	403.5	387.02	301.33
KIF11	647.07	170.25	642.59	47.5	251.48	28.45	186.4	529.06	47.84	37.05	142.01	218.79	10.47	10.71	5.41	4.17	10.55	11.73	9.06	13.62	8.85	32.13	10.08	6.11	420.68	483.38	351.14	361.04	229.72	463.65
KPNB1	3982.99	2319.15	3257.52	2777.33	2451.44	2335.28	2758.13	2875.3	2485.67	2627.46	2997.45	2796.65	1551.09	1233.75	1183.45	1617.0	928.3	1350.18	1233.75	1487.87	1685.71	1594.73	1350.18	1199.98	4181.07	4181.07	2816.11	3874.05	3103.19	2573.36
LIN54	563.18	115.97	281.09	215.77	287.01	70.51	271.48	281.09	256.78	307.69	102.97	285.03	50.63	57.49	59.97	61.25	57.08	63.45	75.11	95.34	69.52	96.01	62.56	46.84	287.01	583.07	214.27	220.32	309.83	323.03
MAPRE1	1769.57	1397.83	2720.15	1551.09	1963.57	1617.0	1467.37	1662.49	941.27	1519.15	1167.14	947.83	1225.22	1242.34	921.88	1059.11	954.43	947.83	1216.75	1037.29	1378.57	1111.82	928.3	1081.39	2816.11	2119.22	1832.01	1819.35	1639.59	1427.22
MOB1A	1697.45	961.07	1477.58	1081.39	1369.04	909.17	1259.69	1572.76	1159.07	1167.14	988.12	974.5	599.49	620.67	674.59	629.35	493.56	567.1	660.68	748.61	587.13	769.69	567.1	518.15	2573.36	1806.78	1427.22	1529.73	1350.18	1572.76
MOB4	1066.48	753.83	988.12	738.29	947.83	579.04	974.5	961.07	902.89	808.0	723.08	595.34	460.44	358.54	339.14	470.14	366.09	403.5	353.59	497.0	381.68	521.76	429.54	361.04	2163.77	2209.26	1015.93	1369.04	1199.98	2163.77
NCKAP1	1936.53	1794.29	1769.57	1844.76	2351.53	1378.57	2434.5	2119.22	2384.37	1651.0	1781.89	2047.0	1498.22	1277.29	1697.45	1295.13	954.43	1127.35	1427.22	1583.71	1397.83	1498.22	1096.5	902.89	3212.66	2956.17	2855.44	2935.74	2591.27	3190.46
NXT2	361.04	400.71	432.53	76.17	141.02	52.45	186.4	403.5	84.04	64.8	111.21	85.82	48.18	41.52	58.3	46.5	49.21	46.5	63.45	57.49	55.1	70.01	39.5	42.11	571.05	232.94	299.25	223.41	198.47	226.54
PAIP2	3372.43	1896.65	3395.89	1674.06	1551.09	1191.69	1498.22	2367.9	1909.85	1378.57	1674.06	1540.37	1487.87	1304.15	1340.84	1286.18	1225.22	1088.92	1594.73	1721.16	1477.58	1583.71	1268.46	1417.35	3589.58	2555.58	1819.35	1883.54	1551.09	3081.75
PARS2	82.87	76.17	132.44	78.89	69.52	82.29	80.57	84.63	59.97	55.1	62.56	66.18	56.68	73.54	51.71	31.9	54.33	63.89	33.3	52.82	37.05	45.21	50.63	33.78	112.77	118.43	127.0	108.14	102.97	99.43
PBK	353.59	81.71	447.82	13.03	95.34	31.0	226.54	107.38	17.38	61.25	170.25	129.69	0.0	7.57	3.82	2.56	0.0	7.75	13.62	3.5	2.46	24.46	0.0	1.58	417.77	403.5	271.48	297.17	187.71	409.15
PPP1R3D	217.27	163.28	214.27	199.85	208.38	178.77	191.67	293.07	237.86	186.4	148.09	223.41	74.06	61.25	44.89	42.71	87.03	65.26	77.79	112.77	53.57	94.67	66.18	69.03	195.72	163.28	217.27	150.17	220.32	262.2
PRR11	595.34	58.3	571.05	59.55	163.28	55.49	242.88	305.55	43.02	83.45	85.82	92.05	8.85	8.25	14.89	14.67	8.92	13.83	11.13	16.88	12.36	29.27	11.73	5.45	409.15	381.68	269.6	214.27	99.43	275.28
PSPH	514.56	256.78	507.46	255.0	211.31	229.72	232.94	454.09	318.57	232.94	169.07	239.52	115.16	158.79	127.89	68.55	135.24	127.0	99.43	158.79	96.68	74.58	95.34	122.64	854.13	669.92	463.65	629.35	518.15	514.56
RFC2	1477.58	490.14	1044.52	511.0	444.72	518.15	813.63	769.69	423.61	825.0	444.72	441.64	199.85	289.02	249.73	221.86	236.21	204.07	283.05	295.11	320.8	373.81	221.86	336.79	1111.82	1268.46	693.58	819.3	941.27	665.29
SGOL2	147.06	25.72	223.41	29.06	113.56	21.16	96.01	125.24	30.12	46.18	27.05	21.32	12.36	8.25	7.82	6.52	8.06	6.36	11.13	13.52	9.56	16.27	9.27	8.19	153.34	134.3	105.89	65.72	41.52	88.26
SLC9A6	229.72	122.64	209.84	169.07	195.72	122.64	198.47	209.84	182.55	148.09	162.14	150.17	112.77	135.24	127.89	145.02	109.66	121.79	152.28	127.0	102.97	136.19	153.34	91.41	241.19	295.11	194.36	209.84	209.84	334.46
SLMO2	2468.49	1030.12	1529.73	723.08	1233.75	896.64	995.0	1023.0	802.41	1030.12	947.83	872.1	363.56	379.04	480.04	500.46	371.22	348.71	454.09	480.04	395.18	575.03	341.51	417.77	2209.26	2032.85	1457.23	1721.16	1378.57	2956.17
SMARCC1	825.0	775.05	660.68	591.22	708.18	507.46	638.15	825.0	547.75	460.44	497.0	575.03	287.01	277.2	303.44	267.73	256.78	316.37	348.71	384.34	299.25	376.41	295.11	358.54	753.83	595.34	743.43	813.63	607.87	684.02
SMC2	373.81	124.37	241.19	94.01	249.73	85.22	234.57	208.38	95.34	128.79	73.54	64.8	50.98	57.49	40.07	71.0	62.56	63.45	66.18	77.79	82.87	57.08	56.28	43.02	361.04	429.54	251.48	180.02	204.07	305.55
SPAST	215.77	158.79	258.57	158.79	187.71	112.77	180.02	232.94	140.04	152.28	96.68	110.43	77.25	65.26	78.34	89.51	91.41	87.65	106.63	108.14	87.65	115.97	78.34	73.54	334.46	165.57	163.28	198.47	279.14	336.79
SSX2IP	217.27	111.99	366.09	112.77	155.5	108.9	193.01	194.36	92.7	82.87	127.89	66.18	97.36	100.83	39.5	87.03	82.87	97.36	78.89	105.89	82.29	98.73	71.0	65.26	256.78	361.04	177.53	224.97	190.34	281.09
STAU1	1781.89	1104.13	2303.12	1175.27	1437.15	1151.06	1135.2	1437.15	995.0	1151.06	1037.29	961.07	890.44	848.22	915.51	1073.91	718.08	785.88	1066.48	988.12	974.5	1081.39	830.75	1151.06	1378.57	1015.93	1259.69	1208.34	1295.13	1369.04
SYNCRIP	1819.35	1572.76	2004.85	1487.87	1963.57	1447.15	1883.54	2468.49	1183.45	1175.27	1721.16	1331.57	836.53	660.68	656.11	738.29	620.67	624.99	656.11	780.44	796.86	872.1	591.22	603.67	3491.39	3124.78	2255.7	2193.99	1991.0	1936.53
TAF1B	518.15	389.72	429.54	172.65	251.48	152.28	221.86	182.55	185.11	201.25	182.55	201.25	62.56	94.67	105.89	90.77	90.77	76.17	101.54	100.83	119.26	118.43	79.45	66.18	543.96	251.48	221.86	339.14	242.88	293.07
TARS	2384.37	1225.22	1709.26	1651.0	2255.7	1806.78	3303.0	1936.53	1639.59	1457.23	1709.26	1498.22	1015.93	1104.13	1088.92	1250.98	1199.98	1208.34	1088.92	1304.15	1268.46	1044.52	1008.9	1135.2	3639.7	3372.43	2855.44	3395.89	3190.46	3212.66
TDP1	358.54	187.71	186.4	260.38	267.73	275.28	191.67	204.07	181.28	228.13	202.66	281.09	60.82	98.73	81.14	49.56	95.34	56.68	122.64	94.01	82.87	84.04	95.34	75.64	305.55	327.56	303.44	193.01	251.48	267.73
TIPIN	307.69	100.83	299.25	115.16	206.94	194.36	159.9	229.72	96.68	152.28	128.79	82.29	100.83	64.8	75.64	85.82	93.35	104.42	66.18	102.97	69.52	144.01	101.54	67.59	420.68	198.47	197.09	153.34	376.41	178.77
TMEM68	543.96	329.84	587.13	204.07	267.73	173.85	384.34	392.44	214.27	242.88	211.31	173.85	145.02	128.79	145.02	131.51	141.02	201.25	190.34	182.55	195.72	214.27	172.65	90.14	262.2	291.04	248.0	246.28	217.27	267.73
TNPO3	511.0	368.65	529.06	493.56	466.88	392.44	497.0	603.67	460.44	435.55	406.31	486.75	320.8	269.6	181.28	193.01	194.36	201.25	275.28	264.03	255.0	249.73	251.48	221.86	842.36	825.0	651.58	595.34	669.92	525.39
TRIM24	176.29	305.55	275.28	193.01	209.84	128.79	214.27	217.27	221.86	186.4	137.14	197.09	127.89	105.89	100.13	98.73	139.07	118.43	122.64	156.59	90.77	127.89	122.64	127.0	283.05	500.46	220.32	441.64	373.81	279.14
TTK	208.38	59.55	406.31	20.71	86.43	19.25	70.01	161.02	13.62	21.47	43.02	36.79	9.56	3.47	1.28	2.92	5.11	2.58	5.59	3.44	1.79	14.45	5.15	2.39	271.48	267.73	194.36	239.52	134.3	258.57
TYMS	1628.26	336.79	1628.26	373.81	718.08	842.36	351.14	878.17	368.65	624.99	480.04	283.05	128.79	114.36	63.0	75.11	74.58	88.88	106.63	113.56	104.42	246.28	110.43	108.9	1304.15	1857.6	616.37	890.44	660.68	860.08
UBE2V2	1936.53	1359.57	1397.83	1225.22	1216.75	1096.5	1662.49	1551.09	1340.84	1350.18	1167.14	995.0	633.73	723.08	679.29	540.19	551.56	521.76	890.44	872.1	624.99	775.05	540.19	543.96	2915.45	2468.49	1417.35	2591.27	1832.01	2451.44
UCHL5	1313.23	595.34	759.08	480.04	555.41	351.14	713.11	583.07	698.41	395.18	616.37	647.07	211.31	260.38	228.13	221.86	195.72	214.27	295.11	312.0	224.97	305.55	220.32	176.29	1369.04	1572.76	872.1	703.28	934.76	1119.56
UNG	1697.45	1059.11	813.63	674.59	423.61	507.46	738.29	1001.93	511.0	447.82	457.25	559.28	264.03	305.55	343.89	285.03	301.33	356.05	301.33	305.55	221.86	312.0	334.46	395.18	1233.75	1674.06	1208.34	1159.07	1277.29	1208.34
VRK1	432.53	146.03	224.97	148.09	211.31	177.53	239.52	206.94	114.36	193.01	144.01	104.42	96.01	101.54	59.55	87.65	122.64	135.24	143.01	141.02	106.63	170.25	183.82	105.15	460.44	429.54	417.77	273.37	447.82	348.71
XRCC5	3794.3	3081.75	4038.61	3280.18	3124.78	2319.15	3443.31	3419.52	2816.11	2627.46	2739.08	2451.44	1685.71	1477.58	1304.15	1427.22	1111.82	1199.98	1551.09	1651.0	1594.73	1709.26	1331.57	1427.22	5112.16	3716.2	3395.89	4066.71	4210.15	4095.0
ZBTB33	397.93	327.56	529.06	161.02	295.11	82.29	267.73	329.84	199.85	106.63	180.02	166.73	81.14	65.72	116.78	90.14	85.22	74.58	80.01	94.67	60.39	105.89	67.12	80.01	329.84	194.36	186.4	189.02	177.53	265.87
