	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4769.01A.01R.1289.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.UZ.A9PR.01A.11R.A42S.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.SX.A71W.01A.12R.A355.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.BQ.7049.01A.11R.1965.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.13FH7.0126.SM.5KLZ1	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV
AVPR1B	0.0	3.17	6.36	13.22	9.7	30.56	0.74	81.71	62.12	0.39	25.54	12.64	12.64	11.91	35.5	28.86	11.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	3.82	6.21	4.13	1.64
BCL7A	400.71	289.02	191.67	503.95	211.31	713.11	490.14	403.5	738.29	152.28	397.93	603.67	301.33	529.06	753.83	346.29	417.77	98.73	42.71	94.67	100.13	46.84	56.28	78.34	47.84	111.99	100.13	82.29	75.64	366.09	343.89	211.31	341.51	186.4
BCL7B	1135.2	928.3	1437.15	2645.74	1242.34	1369.04	1295.13	2537.92	1819.35	1498.22	2178.83	1721.16	1794.29	1819.35	2148.82	2384.37	1304.15	728.11	660.68	802.41	660.68	583.07	738.29	603.67	698.41	825.0	775.05	819.3	665.29	1183.45	1088.92	1397.83	1073.91	1167.14
BX088651.1	1.64	20.56	7.75	11.13	9.13	16.63	7.28	4.7	28.65	9.27	11.13	17.64	1.66	8.71	18.97	18.7	25.17	0.0	0.0	2.81	3.47	0.79	0.0	0.0	1.58	0.0	0.0	0.0	3.35	4.1	13.83	12.45	9.56	14.03
C11orf63	17.64	603.67	113.56	249.73	83.45	231.32	82.87	170.25	244.57	65.72	167.9	244.57	86.43	221.86	176.29	132.44	125.24	1.68	13.52	0.96	15.0	2.76	4.98	3.59	1.33	21.01	5.82	5.68	3.38	46.18	63.89	85.82	111.99	100.83
C14orf37	22.92	14.24	59.55	232.94	102.25	193.01	127.89	93.35	212.78	102.97	147.06	145.02	100.13	145.02	176.29	87.65	87.65	21.01	4.82	7.63	5.73	21.47	52.45	30.34	121.79	41.52	25.17	19.82	6.36	21.47	32.82	64.34	68.07	69.52
C17orf100	18.29	53.57	18.97	87.03	29.06	62.56	52.45	53.57	96.01	23.76	57.89	124.37	53.19	113.56	100.83	63.89	37.59	0.0	27.64	18.84	13.83	8.32	10.31	10.08	0.0	28.86	12.0	19.11	37.85	53.19	51.71	52.82	26.86	68.07
C17orf70	156.59	497.0	287.01	723.08	384.34	525.39	503.95	633.73	775.05	389.72	703.28	785.88	669.92	703.28	890.44	819.3	500.46	348.71	226.54	447.82	236.21	258.57	289.02	258.57	323.03	258.57	358.54	185.11	264.03	525.39	665.29	332.14	228.13	397.93
C17orf97	53.57	563.18	161.02	1051.79	217.27	909.17	432.53	1066.48	1051.79	358.54	988.12	878.17	988.12	579.04	813.63	1088.92	327.56	206.94	65.72	84.04	202.66	18.97	95.34	98.04	190.34	20.56	32.13	40.64	30.78	244.57	232.94	351.14	384.34	289.02
C1orf186	20.11	290865.98	738.29	2384.37	1191.69	5479.15	426.57	4671.57	10959.3	915.51	3716.2	2739.08	7485.11	4152.18	5913.33	6792.79	2434.5	17.64	114.36	258.57	15.0	53.95	44.57	53.57	32.36	49.21	102.97	26.1	18.84	161.02	194.36	141.02	215.77	122.64
C22orf24	0.33	4.24	3.38	18.03	5.45	11.91	2.92	15.91	11.47	5.59	14.78	15.11	5.92	11.04	5.87	10.39	3.63	1.97	1.48	0.0	0.0	0.0	0.0	1.11	1.55	0.0	5.23	0.0	0.0	1.58	3.08	3.53	1.33	0.78
CAMSAP1	90.77	129.69	180.02	466.88	158.79	555.41	161.02	403.5	532.74	170.25	381.68	529.06	208.38	507.46	406.31	327.56	351.14	49.91	65.26	69.52	61.68	65.26	59.13	63.0	64.34	114.36	48.18	37.05	61.68	143.01	157.68	147.06	92.7	77.79
CASC4	1477.58	1697.45	1674.06	2796.65	1313.23	2591.27	1111.82	2148.82	2835.7	1119.56	2104.58	2537.92	1529.73	2520.38	2075.59	1896.65	1909.85	429.54	753.83	728.11	1088.92	1030.12	1119.56	785.88	759.08	1001.93	525.39	536.45	1015.93	1561.89	1498.22	1757.34	1304.15	1685.71
CDC42BPG	201.25	283.05	106.63	1001.93	403.5	503.95	246.28	470.14	1015.93	206.94	583.07	599.49	426.57	665.29	860.08	575.03	295.11	13.62	33.3	1.57	12.09	51.35	139.07	14.78	27.25	70.01	16.27	1.79	3.82	316.37	334.46	106.63	136.19	159.9
CDHR1	1.36	1417.35	6.94	71.0	7.11	159.9	107.38	115.97	373.81	74.58	29.48	79.45	76.17	154.42	309.83	82.29	22.26	9.06	7.63	3.5	5.23	4.7	4.62	3.76	7.57	4.43	3.0	1.27	5.15	4.58	4.28	4.94	1.25	2.1
CDKL1	38.67	466.88	262.2	346.29	229.72	616.37	171.45	567.1	624.99	123.5	285.03	529.06	201.25	457.25	444.72	536.45	368.65	23.42	82.87	17.9	45.53	12.45	27.05	33.54	46.84	85.22	27.64	7.94	29.7	48.87	78.89	221.86	124.37	251.48
CEP89	301.33	293.07	242.88	483.38	275.28	444.72	316.37	363.56	543.96	246.28	409.15	532.74	336.79	463.65	470.14	371.22	384.34	41.52	82.87	51.35	55.1	54.72	36.53	46.18	56.68	118.43	34.26	56.28	55.49	224.97	289.02	231.32	226.54	309.83
CLDN7	2895.31	8247.98	2255.7	7331.05	5711.87	7857.29	1685.71	9088.59	9474.59	4066.71	8134.41	8718.32	5255.91	7966.99	9740.98	8963.45	4607.24	511.0	2319.15	1167.14	540.19	1233.75	426.57	647.07	934.76	4836.35	1037.29	1832.01	457.25	3982.99	4181.07	3235.01	1594.73	2502.97
CLU	1472666.19	2729110.67	677564.08	322736.12	1085552.95	309589.14	614902.29	408505.64	263966.36	894051.48	450134.56	129266.49	554180.87	256748.15	184082.4	489177.0	496005.67	672883.8	659036.03	402881.61	1171559.48	817012.28	614902.29	1383603.33	1171559.48	731246.37	619179.28	456418.21	958220.73	938500.81	736332.6	736332.6	682276.92	1131651.83
CNP	961.07	1487.87	1794.29	3794.3	3235.01	3491.39	1594.73	2224.63	4239.45	1407.55	4388.98	2835.7	4268.94	3820.7	3847.29	2335.28	2367.9	995.0	1104.13	612.11	1467.37	854.13	1268.46	954.43	1044.52	842.36	684.02	941.27	796.86	1628.26	1119.56	974.5	1030.12	1119.56
CPNE7	5.02	583.07	5.68	34.26	127.89	599.49	43.63	563.18	759.08	6.26	17.0	202.66	151.22	189.02	193.01	802.41	181.28	18.84	11.38	0.8	1.83	15.91	20.56	6.89	6.06	45.53	7.11	1.16	6.11	7.51	20.41	9.63	25.17	8.25
CTSC	1059.11	2351.53	1322.37	30999.42	4298.64	13968.57	17681.08	10084.54	19892.37	1529.73	21617.82	17681.08	21919.61	16843.62	30785.28	19082.0	7857.29	708.18	3303.0	387.02	2047.0	813.63	981.29	1295.13	1407.55	3639.7	669.92	244.57	1733.13	4358.66	3589.58	2384.37	4123.49	18304.63
DYNC2LI1	417.77	836.53	819.3	3874.05	1378.57	2591.27	2485.67	3280.18	2835.7	633.73	3018.3	2758.13	3742.05	2319.15	3564.78	2935.74	813.63	141.02	172.65	283.05	291.04	285.03	239.52	262.2	253.23	303.44	138.1	110.43	264.03	748.61	748.61	688.78	733.19	769.69
ELOVL7	150.17	57.89	208.38	1023.0	211.31	785.88	647.07	463.65	909.17	195.72	660.68	665.29	587.13	629.35	698.41	521.76	220.32	1.68	21.32	4.54	0.68	12.09	2.12	6.73	26.47	42.11	23.59	2.51	2.07	209.84	182.55	293.07	148.09	242.88
ERBB2	1721.16	3820.7	1769.57	4972.34	2835.7	3794.3	1594.73	4607.24	5255.91	2367.9	4010.71	4639.29	2627.46	5555.65	5183.54	3742.05	3212.66	738.29	473.41	1487.87	387.02	283.05	603.67	466.88	802.41	1378.57	1167.14	248.0	150.17	3794.3	3349.13	1583.71	1605.83	1857.6
EVC	32.36	126.12	616.37	4152.18	356.05	4181.07	1183.45	3124.78	3928.15	307.69	2485.67	3280.18	3349.13	3325.99	2367.9	1044.52	3103.19	3.38	206.94	41.22	15.68	112.77	45.53	57.08	52.08	187.71	325.29	186.4	20.86	136.19	242.88	143.01	285.03	205.5
FAIM	934.76	967.76	915.51	1096.5	753.83	1721.16	521.76	1697.45	1794.29	967.76	1447.15	1359.57	791.35	934.76	1721.16	1685.71	559.28	158.79	201.25	136.19	226.54	182.55	182.55	239.52	199.85	334.46	112.77	119.26	110.43	409.15	470.14	579.04	679.29	638.15
FAM211B	400.71	961.07	1159.07	1540.37	432.53	1651.0	1870.53	1950.0	2119.22	909.17	1081.39	1745.2	1572.76	1963.57	2485.67	2061.24	470.14	791.35	466.88	518.15	417.77	473.41	423.61	414.87	842.36	318.57	961.07	559.28	450.94	1066.48	1437.15	684.02	860.08	738.29
FBXW9	164.42	316.37	142.01	279.14	339.14	426.57	511.0	258.57	329.84	209.84	507.46	356.05	400.71	403.5	361.04	281.09	363.56	151.22	94.67	143.01	70.51	94.01	103.69	104.42	98.73	92.7	149.12	105.89	106.63	285.03	242.88	193.01	206.94	198.47
FLOT2	860.08	2720.15	1794.29	4512.4	2758.13	5147.73	3325.99	5831.91	4769.75	2555.58	5255.91	5183.54	3982.99	5711.87	4869.99	5479.15	3639.7	1477.58	1127.35	884.29	1295.13	2075.59	1991.0	1313.23	1199.98	2047.0	860.08	1806.78	1135.2	1781.89	1572.76	1397.83	2148.82	1427.22
FOXC1	104.42	158.79	232.94	2178.83	125.24	961.07	229.72	1870.53	2555.58	142.01	1781.89	1721.16	1167.14	1950.0	2319.15	1143.1	529.06	3.06	32.13	2.81	22.43	22.26	9.06	8.06	22.1	30.12	34.51	16.03	5.92	74.58	80.01	94.67	109.66	55.89
GALNT5	15.0	525.39	4.98	195.72	132.44	126.12	37.85	143.01	170.25	24.63	269.6	253.23	81.71	31.9	98.73	187.71	57.08	0.0	26.1	0.0	2.61	0.88	0.0	0.0	2.78	0.72	0.0	0.0	0.64	4.43	15.34	0.0	0.0	0.45
GLIS2	194.36	1111.82	764.36	2004.85	796.86	1639.59	791.35	2075.59	2193.99	460.44	1417.35	1104.13	1806.78	1487.87	2061.24	1685.71	1277.29	50.63	96.68	17.9	27.25	34.75	38.4	67.12	34.26	616.37	15.22	5.06	23.25	620.67	444.72	417.77	514.56	447.82
GLOD4	1044.52	1369.04	1477.58	4066.71	1662.49	1551.09	2573.36	4152.18	4869.99	1551.09	3982.99	3716.2	3589.58	2573.36	3639.7	4543.8	1572.76	1757.34	1806.78	1304.15	1417.35	1388.16	1127.35	1487.87	1477.58	1561.89	1268.46	1519.15	1397.83	1369.04	1359.57	1529.73	1199.98	1313.23
GNAI1	96.68	381.68	848.22	1936.53	785.88	718.08	934.76	3280.18	2240.11	830.75	1359.57	2609.3	995.0	1721.16	2032.85	2875.3	1175.27	346.29	674.59	205.5	493.56	500.46	363.56	373.81	674.59	579.04	463.65	356.05	371.22	131.51	167.9	346.29	251.48	417.77
GNAQ	460.44	420.68	708.18	941.27	497.0	728.11	435.55	669.92	819.3	555.41	642.59	836.53	567.1	728.11	698.41	651.58	743.43	164.42	318.57	172.65	323.03	301.33	175.07	231.32	325.29	371.22	218.79	162.14	373.81	476.71	521.76	543.96	387.02	432.53
GNB5	231.32	808.0	688.78	1023.0	728.11	988.12	543.96	842.36	1135.2	579.04	1208.34	1199.98	679.29	921.88	1023.0	848.22	884.29	199.85	400.71	237.86	258.57	624.99	332.14	242.88	172.65	543.96	279.14	642.59	532.74	764.36	854.13	638.15	620.67	518.15
HDAC11	669.92	791.35	500.46	866.07	470.14	848.22	896.64	1081.39	866.07	426.57	848.22	819.3	669.92	748.61	860.08	718.08	450.94	82.87	197.09	115.16	82.87	145.02	59.55	111.99	98.04	228.13	73.03	103.69	81.71	412.0	414.87	426.57	713.11	693.58
IFT122	514.56	733.19	371.22	1059.11	633.73	1709.26	674.59	1008.9	1199.98	423.61	1008.9	854.13	921.88	1096.5	1191.69	1008.9	802.41	299.25	273.37	208.38	166.73	156.59	144.01	194.36	226.54	224.97	273.37	118.43	205.5	616.37	713.11	457.25	283.05	500.46
IGF1R	599.49	791.35	454.09	684.02	162.14	785.88	371.22	575.03	909.17	307.69	438.59	571.05	334.46	660.68	703.28	500.46	575.03	17.13	34.26	2.81	21.16	75.11	21.47	16.63	34.75	74.06	27.25	4.78	8.65	432.53	450.94	332.14	493.56	248.0
IQCE	228.13	237.86	208.38	941.27	305.55	381.68	178.77	595.34	497.0	193.01	536.45	540.19	384.34	688.78	551.56	629.35	305.55	33.78	34.26	36.01	40.93	19.82	61.68	33.54	44.57	57.08	58.71	30.34	22.92	239.52	265.87	273.37	275.28	271.48
ITGB8	7.17	674.59	540.19	7081.29	1175.27	3874.05	426.57	5594.3	5076.84	1030.12	6121.9	3540.14	4298.64	4038.61	4066.71	3303.0	1857.6	0.09	104.42	1.55	2.34	11.64	1.85	5.45	2.61	94.67	35.25	1.64	1.93	156.59	164.42	193.01	164.42	57.49
KAZN	183.82	525.39	647.07	988.12	450.94	1268.46	536.45	909.17	1295.13	348.71	830.75	1044.52	802.41	785.88	921.88	665.29	624.99	78.89	113.56	53.57	165.57	110.43	66.65	86.43	260.38	52.08	148.09	12.93	96.01	301.33	307.69	303.44	493.56	199.85
KIF24	33.54	24.46	14.03	55.1	34.75	57.89	24.99	32.36	46.18	19.82	48.52	41.81	43.02	51.35	30.56	17.51	42.11	4.7	5.28	6.89	7.69	7.06	3.92	8.19	6.21	3.59	1.83	3.17	1.97	24.28	20.56	32.82	14.78	25.72
KLF8	218.79	94.01	147.06	555.41	199.85	463.65	218.79	387.02	460.44	111.21	305.55	325.29	392.44	256.78	457.25	373.81	239.52	3.99	33.78	6.11	13.12	12.55	14.24	13.93	19.25	26.86	15.91	6.46	13.42	251.48	255.0	93.35	151.22	102.25
LLGL2	1015.93	6037.61	954.43	2855.44	1639.59	2976.74	2351.53	2935.74	2816.11	1001.93	2816.11	2956.17	2303.12	3716.2	3589.58	4010.71	1662.49	1322.37	860.08	941.27	988.12	684.02	842.36	896.64	1331.57	1059.11	1242.34	796.86	1001.93	1127.35	1111.82	665.29	1477.58	967.76
LRRC36	3.63	89.51	32.36	61.25	16.63	82.29	69.52	66.65	101.54	22.59	85.22	43.94	64.34	22.75	101.54	37.59	8.65	0.0	6.41	3.03	1.22	0.11	0.16	6.36	0.0	0.0	6.67	4.74	2.14	7.4	11.21	1.45	5.5	5.68
MARCH9	159.9	708.18	536.45	728.11	547.75	890.44	753.83	1073.91	954.43	486.75	947.83	713.11	1427.22	684.02	1015.93	1175.27	842.36	127.89	67.12	80.01	59.55	54.72	73.54	82.87	125.24	82.87	81.14	74.06	116.78	555.41	473.41	426.57	476.71	543.96
MIEF2	164.42	417.77	348.71	660.68	381.68	587.13	591.22	665.29	909.17	293.07	764.36	785.88	703.28	743.43	878.17	688.78	406.31	249.73	176.29	127.0	195.72	176.29	175.07	186.4	217.27	161.02	186.4	71.5	167.9	629.35	521.76	435.55	351.14	409.15
MIER1	312.0	389.72	441.64	497.0	376.41	483.38	260.38	403.5	540.19	358.54	397.93	503.95	323.03	435.55	417.77	466.88	493.56	151.22	244.57	173.85	229.72	281.09	199.85	178.77	217.27	221.86	237.86	161.02	269.6	283.05	289.02	285.03	358.54	264.03
MITF	27.44	915.51	607.87	1617.0	336.79	1313.23	642.59	620.67	1304.15	457.25	830.75	1242.34	718.08	1437.15	842.36	470.14	848.22	14.78	113.56	12.0	15.8	50.27	72.01	27.84	27.05	70.01	77.25	6.52	56.28	130.6	180.02	152.28	149.12	134.3
MYEF2	11.04	169.07	180.02	921.88	379.04	555.41	447.82	1066.48	1051.79	172.65	543.96	674.59	511.0	547.75	1304.15	1015.93	423.61	4.24	25.91	0.69	1.99	45.85	12.0	3.72	15.22	65.72	23.08	11.73	9.34	476.71	403.5	143.01	189.02	136.19
MYO9A	148.09	121.79	351.14	954.43	206.94	669.92	166.73	543.96	679.29	255.0	361.04	693.58	211.31	909.17	723.08	460.44	336.79	22.92	45.53	8.92	89.51	89.51	68.07	40.93	56.28	27.05	37.05	14.56	28.45	105.89	198.47	323.03	281.09	204.07
NLRX1	232.94	246.28	314.17	497.0	316.37	454.09	412.0	358.54	447.82	353.59	624.99	460.44	587.13	507.46	460.44	373.81	309.83	373.81	178.77	258.57	291.04	251.48	255.0	289.02	234.57	193.01	166.73	181.28	180.02	341.51	309.83	246.28	267.73	297.17
NME9	4.54	1923.14	27.44	71.0	59.97	118.43	36.79	86.43	85.82	27.64	105.15	115.97	90.14	158.79	125.24	76.71	59.97	1.89	2.01	0.0	4.13	7.82	4.21	1.99	3.08	3.17	1.36	1.41	3.72	35.0	38.4	27.84	84.04	35.76
OXR1	921.88	902.89	612.11	2417.67	587.13	2520.38	587.13	2133.97	4937.99	420.68	1369.04	2777.33	1143.1	1757.34	3212.66	1639.59	884.29	336.79	457.25	301.33	738.29	371.22	351.14	435.55	466.88	273.37	376.41	376.41	490.14	420.68	470.14	400.71	363.56	320.8
PAFAH1B1	775.05	836.53	1268.46	2287.2	1044.52	1096.5	890.44	1529.73	1936.53	1191.69	1639.59	1991.0	1487.87	1757.34	1697.45	1313.23	1216.75	450.94	684.02	466.88	521.76	567.1	325.29	486.75	473.41	854.13	540.19	529.06	500.46	878.17	1259.69	1322.37	1037.29	1167.14
PAPLN	65.72	684.02	1721.16	2895.31	264.03	3235.01	2875.3	2555.58	2609.3	1447.15	1350.18	1857.6	1551.09	2061.24	2047.0	1304.15	3081.75	26.28	100.13	34.02	9.27	25.91	48.87	29.7	28.24	301.33	141.02	14.78	1.62	1407.55	1304.15	409.15	267.73	159.9
PARD3B	12.83	115.16	154.42	231.32	59.55	131.51	60.82	244.57	262.2	59.55	129.69	224.97	97.36	153.34	178.77	155.5	128.79	22.92	59.55	37.85	78.89	57.49	31.9	74.06	85.82	83.45	94.67	55.49	82.29	96.01	133.36	121.79	62.12	63.0
PKD2	85.82	529.06	1407.55	3614.55	988.12	1709.26	595.34	2163.77	3303.0	842.36	2133.97	2627.46	1199.98	1639.59	1963.57	1487.87	1685.71	79.45	224.97	98.73	195.72	119.26	59.97	116.78	171.45	158.79	64.34	18.97	158.79	229.72	363.56	457.25	303.44	323.03
PLCD3	113.56	947.83	599.49	5403.7	633.73	1857.6	947.83	3982.99	7280.4	890.44	6121.9	3768.09	4869.99	3303.0	4152.18	3491.39	2367.9	85.22	128.79	37.32	9.78	68.07	14.89	47.5	64.34	100.13	44.57	8.0	35.25	4481.23	2682.69	323.03	341.51	154.42
PLEKHA7	392.44	612.11	277.2	1909.85	392.44	1313.23	620.67	1331.57	1745.2	234.57	1044.52	1066.48	1066.48	1331.57	1313.23	830.75	728.11	283.05	206.94	167.9	209.84	133.36	140.04	173.85	119.26	104.42	206.94	181.28	172.65	132.44	320.8	267.73	214.27	172.65
PLEKHH2	10.0	172.65	154.42	1674.06	232.94	718.08	397.93	1143.1	1769.57	78.34	529.06	1508.65	854.13	967.76	1685.71	1073.91	161.02	5.06	38.95	14.24	7.57	8.71	2.03	6.31	17.0	25.72	19.53	10.79	9.93	68.07	74.06	52.08	61.25	21.94
PMS2	264.03	208.38	256.78	708.18	232.94	356.05	291.04	441.64	403.5	159.9	521.76	476.71	329.84	543.96	353.59	454.09	258.57	39.5	75.64	53.57	74.06	96.01	61.25	109.66	131.51	65.72	49.91	28.45	80.57	145.02	150.17	163.28	217.27	141.02
PPP1R26	86.43	698.41	215.77	599.49	217.27	571.05	507.46	633.73	698.41	195.72	486.75	454.09	389.72	518.15	629.35	728.11	325.29	92.7	136.19	191.67	89.51	96.01	142.01	75.64	159.9	205.5	84.63	111.21	130.6	346.29	307.69	189.02	271.48	228.13
PRKAB1	583.07	6164.49	1350.18	2555.58	2255.7	2976.74	1350.18	2997.45	3081.75	571.05	2520.38	3349.13	1457.23	2664.15	3768.09	3168.41	2777.33	289.02	293.07	511.0	256.78	293.07	320.8	356.05	409.15	490.14	438.59	199.85	295.11	825.0	878.17	536.45	624.99	532.74
PTPRO	20.56	19.97	19.53	674.59	75.11	165.57	108.14	341.51	376.41	16.63	346.29	551.56	60.39	583.07	403.5	525.39	72.52	32.13	57.08	1.14	31.9	21.16	38.12	40.36	46.5	44.25	9.34	1.28	17.25	8.0	31.67	24.99	30.12	4.94
QRFPR	0.92	59.97	9.2	836.53	127.0	237.86	234.57	507.46	860.08	35.0	642.59	802.41	514.56	497.0	567.1	591.22	40.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73	0.0	0.0	0.0	24.28	4.54	2.86	3.59	10.08
RAP1GAP2	34.02	583.07	152.28	1417.35	130.6	429.54	591.22	698.41	1073.91	197.09	651.58	902.89	417.77	791.35	1030.12	802.41	316.37	17.64	14.78	3.03	26.28	13.22	23.93	10.71	11.04	24.81	49.21	11.47	6.78	214.27	265.87	126.12	130.6	79.45
RBM43	39.5	262.2	205.5	275.28	127.89	255.0	217.27	229.72	320.8	135.24	269.6	226.54	228.13	185.11	202.66	214.27	178.77	102.25	96.01	96.68	135.24	72.52	65.72	111.21	106.63	66.18	66.65	35.76	80.01	221.86	242.88	187.71	166.73	133.36
RBPMS	2609.3	5041.77	4450.27	6935.54	3820.7	7695.57	6607.01	6840.04	6983.79	6121.9	6745.86	5913.33	7230.1	6840.04	10733.74	6561.36	5555.65	1030.12	1369.04	896.64	1037.29	1407.55	1199.98	647.07	1268.46	2816.11	1685.71	2796.65	928.3	5479.15	4903.87	3419.52	4268.94	3794.3
RGS12	320.8	1594.73	334.46	1674.06	890.44	2032.85	1073.91	2434.5	1909.85	343.89	2240.11	1883.54	1407.55	1745.2	1617.0	1991.0	1617.0	460.44	373.81	211.31	297.17	409.15	226.54	336.79	356.05	780.44	312.0	325.29	348.71	665.29	708.18	379.04	518.15	285.03
SBF2	262.2	518.15	441.64	551.56	366.09	476.71	470.14	444.72	708.18	269.6	414.87	547.75	361.04	511.0	571.05	490.14	376.41	199.85	231.32	149.12	217.27	180.02	193.01	199.85	361.04	208.38	215.77	164.42	205.5	543.96	426.57	387.02	265.87	289.02
