	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.X3Y1.0626.SM.3P5YS	GTEX.145ME.1626.SM.5RQI3	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.8590.01A.11R.2402.13	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.FP.8210.01A.11R.2343.13	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.BR.A4J2.01A.21R.A251.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.FP.8209.01A.11R.2343.13
CD300LB	4.9	0.77	1.99	6.21	1.73	3.5	7.22	1.93	11.38	15.68	4.28	0.0	0.14	15.91	27.05	17.13	6.26	4.13	4.5	16.39	21.78	31.9	13.32	16.27	14.45	21.47
CHGA	32.36	36.27	0.0	0.77	0.0	0.0	0.0	0.0	22.26	25.17	0.0	0.0	0.13	40.36	50.27	10.55	0.18	1.1	6.57	371.22	61.25	109.66	54.72	7.28	819.3	58.3
CP	56.28	25.91	27.44	194.36	26.28	85.82	157.68	25.54	20.86	242.88	111.21	0.0	0.37	2976.74	4038.61	12.64	88.88	51.71	149.12	155.5	130.6	211.31	497.0	114.36	115.16	329.84
CSF1R	114.36	255.0	72.52	267.73	49.21	45.85	172.65	112.77	151.22	109.66	138.1	0.0	0.46	4268.94	1437.15	269.6	289.02	156.59	133.36	836.53	961.07	1023.0	669.92	441.64	813.63	1340.84
CSMD2	1.43	4.82	2.92	1.66	4.03	6.36	5.73	2.14	5.19	2.71	1.95	0.0	0.09	8.51	21.63	0.72	1.07	0.87	0.0	70.51	64.34	45.53	33.78	34.26	28.86	19.39
CYP2U1	6.46	31.0	8.32	59.97	3.69	5.06	55.89	31.45	20.56	36.79	34.26	0.0	0.12	279.14	95.34	13.72	13.42	24.11	21.63	143.01	189.02	191.67	189.02	113.56	208.38	191.67
CYSLTR2	28.86	3.5	0.45	4.98	1.66	1.07	5.63	3.03	1.91	2.81	2.53	0.0	0.0	99.43	10.79	29.91	1.58	5.32	2.84	11.47	14.24	13.12	19.39	9.34	12.09	19.68
DPPA4	0.17	0.53	0.0	1.08	0.0	7.69	2.2	0.0	0.0	0.69	0.0	0.0	0.0	2.36	3.69	0.0	0.42	0.0	0.0	4.98	1.33	6.36	19.68	2.81	5.28	14.35
ENAM	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.78	8.58	0.39	12.0	1.03	0.0	5.68	28.65	8.45	13.62	6.11	10.55	13.83
F2RL2	10.47	2.2	9.34	28.24	11.13	9.06	34.51	11.47	87.03	73.03	2.84	0.0	0.3	29.06	289.02	4.82	2.68	3.66	3.0	785.88	595.34	262.2	67.12	271.48	400.71	480.04
FAM13A	21.32	199.85	35.5	96.68	74.06	55.1	140.04	64.34	81.71	89.51	90.14	0.0	0.62	1216.75	409.15	59.97	80.57	66.65	51.35	389.72	595.34	444.72	540.19	351.14	647.07	543.96
FAM149A	22.75	18.56	12.09	78.34	6.11	16.63	83.45	103.69	90.14	78.89	153.34	0.0	0.47	470.14	156.59	35.5	114.36	24.28	8.92	289.02	204.07	329.84	69.52	156.59	348.71	483.38
FAM78A	11.91	37.59	16.39	55.89	17.38	22.1	38.67	26.86	51.71	43.32	39.5	0.0	0.39	1111.82	201.25	9.7	18.84	18.43	14.78	137.14	269.6	312.0	403.5	206.94	140.04	297.17
FBXW8	57.49	78.89	45.21	108.14	87.65	53.19	125.24	64.8	75.64	80.01	96.01	0.0	0.37	159.9	146.03	61.68	64.8	60.82	35.5	205.5	197.09	281.09	249.73	215.77	191.67	241.19
FKBP5	325.29	981.29	277.2	3349.13	665.29	403.5	961.07	743.43	228.13	334.46	460.44	0.0	0.12	2915.45	2240.11	381.68	241.19	1023.0	1199.98	1340.84	2271.4	723.08	1216.75	878.17	3716.2	4671.57
FOXJ2	70.01	71.5	182.55	265.87	229.72	356.05	287.01	208.38	201.25	226.54	201.25	172.65	376.41	343.89	432.53	241.19	229.72	169.07	140.04	269.6	414.87	371.22	450.94	389.72	438.59	536.45
GAB3	1.39	24.28	22.1	56.28	9.34	26.1	57.89	32.13	45.53	43.02	57.08	34.75	110.43	928.3	63.0	18.7	17.25	3.59	9.48	96.01	147.06	155.5	183.82	112.77	114.36	218.79
GAPT	4.46	23.59	1.0	18.56	1.07	8.99	18.16	10.0	15.34	21.47	38.95	0.0	0.05	232.94	191.67	3.63	13.93	6.36	3.69	132.44	236.21	346.29	400.71	144.01	146.03	341.51
GIMAP7	71.0	297.17	35.76	221.86	48.87	62.56	215.77	135.24	164.42	209.84	140.04	0.0	0.42	2573.36	483.38	109.66	88.88	142.01	258.57	381.68	555.41	981.29	1583.71	848.22	728.11	780.44
GPR173	0.0	6.73	8.92	20.41	5.19	8.0	15.56	10.47	12.09	13.62	9.34	0.0	0.64	61.68	19.97	13.32	2.86	0.88	1.68	31.67	57.49	47.84	45.53	47.84	58.3	66.18
GPR65	5.19	30.12	8.13	31.22	10.96	20.26	38.12	21.32	29.91	40.93	38.4	0.0	0.27	224.97	97.36	11.38	16.03	8.45	18.7	131.51	153.34	171.45	242.88	129.69	104.42	138.1
JSRP1	17.77	256.78	4.31	14.45	14.56	27.84	8.45	15.22	10.47	21.78	14.35	0.0	0.52	444.72	397.93	3.79	166.73	57.49	7.63	301.33	137.14	77.79	115.97	201.25	139.07	6.06
KDM4B	514.56	514.56	204.07	480.04	438.59	379.04	348.71	466.88	414.87	287.01	642.59	237.86	82.87	463.65	500.46	173.85	518.15	297.17	177.53	299.25	466.88	450.94	525.39	395.18	450.94	551.56
KMT2D	273.37	273.37	283.05	642.59	384.34	503.95	514.56	587.13	591.22	412.0	728.11	0.0	0.93	1378.57	728.11	591.22	420.68	329.84	214.27	1073.91	1350.18	967.76	1242.34	890.44	1037.29	1216.75
LINGO3	0.37	4.43	2.86	16.51	4.66	1.64	8.92	4.9	3.79	6.26	18.84	0.0	0.35	29.06	17.51	0.18	0.53	2.76	0.89	39.5	258.57	162.14	177.53	98.73	94.67	228.13
LRMP	50.63	961.07	6.01	140.04	15.22	28.24	96.01	55.89	273.37	172.65	295.11	0.0	0.66	285.03	866.07	85.82	76.17	21.47	15.0	104.42	249.73	267.73	785.88	599.49	175.07	220.32
MED12	214.27	136.19	255.0	503.95	387.02	387.02	435.55	463.65	441.64	384.34	532.74	189.02	193.01	454.09	543.96	198.47	195.72	305.55	155.5	703.28	961.07	934.76	1268.46	860.08	733.19	974.5
MS4A6A	234.57	684.02	211.31	1059.11	182.55	299.25	559.28	432.53	466.88	708.18	348.71	0.0	0.35	9025.81	3190.46	293.07	325.29	287.01	473.41	1709.26	1709.26	1936.53	1397.83	967.76	1674.06	2240.11
NBPF12	20.71	133.36	44.57	48.87	20.41	31.22	38.12	35.25	32.36	26.67	43.63	0.0	0.47	320.8	154.42	30.78	19.53	27.44	24.46	145.02	497.0	193.01	656.11	206.94	208.38	450.94
NFRKB	242.88	251.48	281.09	363.56	366.09	371.22	325.29	325.29	356.05	273.37	348.71	0.0	0.82	612.11	463.65	256.78	275.28	206.94	136.19	414.87	441.64	429.54	444.72	373.81	460.44	373.81
NLRP6	0.67	6.52	1.68	5.92	2.61	1.13	3.59	1.3	3.03	2.53	2.16	0.0	0.33	18.56	9.93	1.13	0.04	1.28	0.0	27.84	16.03	5.02	28.45	3.72	82.87	25.54
NR3C2	2.32	60.82	2.97	16.63	1.95	5.02	15.22	8.78	21.63	18.43	35.0	0.0	0.23	122.64	48.52	10.0	6.73	24.63	1.48	102.97	201.25	131.51	208.38	63.0	181.28	220.32
NRXN2	1.33	9.2	3.92	26.1	7.69	3.5	9.78	4.13	9.41	19.11	16.75	0.0	0.23	81.14	41.52	23.59	11.55	15.68	5.92	361.04	167.9	718.08	376.41	271.48	343.89	490.14
NUAK1	18.16	269.6	50.27	53.95	41.22	22.1	102.25	37.05	60.82	54.33	45.53	39.79	120.94	363.56	122.64	23.93	27.84	24.81	14.45	162.14	343.89	224.97	153.34	204.07	147.06	237.86
PCBP3	1.13	47.17	14.67	61.68	10.24	28.86	60.39	32.36	18.43	30.78	27.64	0.0	0.38	119.26	180.02	7.4	9.93	7.51	36.27	52.45	129.69	289.02	119.26	314.17	181.28	187.71
PIK3R5	6.01	46.18	23.08	93.35	21.47	23.42	55.89	42.41	57.08	69.52	77.79	0.0	0.79	1096.5	265.87	28.04	27.44	34.02	24.63	264.03	397.93	327.56	532.74	166.73	197.09	466.88
PLEKHA2	85.22	205.5	201.25	295.11	189.02	239.52	277.2	297.17	387.02	318.57	329.84	703.28	1159.07	825.0	450.94	293.07	242.88	218.79	155.5	540.19	890.44	1073.91	974.5	813.63	674.59	1259.69
POLR2B	698.41	1143.1	819.3	941.27	921.88	866.07	1104.13	1001.93	1066.48	1044.52	842.36	0.0	1.07	981.29	1605.83	890.44	941.27	830.75	738.29	1331.57	1572.76	1233.75	1674.06	1104.13	1340.84	1331.57
PRSS33	0.0	0.0	0.0	1.79	0.0	0.89	0.68	0.0	2.14	3.38	0.0	0.0	0.0	1.69	4.28	0.0	0.21	1.03	0.11	15.91	1.41	14.14	3.0	11.82	0.0	3.96
PTPRO	5.15	1.25	10.16	8.0	4.54	8.65	9.27	8.78	9.7	11.04	5.5	0.0	0.11	120.1	59.55	6.67	19.97	4.62	6.26	77.79	88.88	82.87	83.45	42.71	82.87	59.13
RGAG4	0.17	6.11	2.48	54.33	4.21	9.93	31.67	27.84	22.26	36.27	21.16	0.0	0.48	201.25	59.13	7.51	7.88	5.77	3.29	102.25	120.94	134.3	108.9	90.77	224.97	239.52
S100A9	4.94682652E7	1.689390977E7	3551506.25	6490957.04	9372482.82	4165330.83	3576208.94	9503317.82	7353500.77	3178687.03	1.047175463E7	0.0	1.48	389.72	343510.77	6956835.58	6956835.58	5972898.43	8805660.77	915.51	2119.22	1397.83	186.4	1208.34	563.18	866.07
SALL2	3.92	11.73	10.16	93.35	7.4	13.32	66.18	71.0	25.72	29.7	109.66	0.0	0.31	297.17	108.14	12.0	54.33	20.71	12.64	89.51	177.53	187.71	106.63	125.24	301.33	473.41
SCHIP1	3.08	90.77	40.93	12.64	0.0	17.38	74.58	19.82	84.04	59.13	117.6	0.0	0.21	90.77	140.04	17.25	82.87	31.9	44.25	106.63	82.87	85.22	28.24	165.57	320.8	379.04
SCIMP	14.78	6.52	6.21	32.59	2.43	6.01	20.86	15.45	19.39	33.78	38.67	0.0	0.03	836.53	131.51	2.16	10.63	2.56	3.92	234.57	500.46	454.09	473.41	316.37	204.07	309.83
SH3RF3	52.82	414.87	40.93	167.9	61.68	163.28	105.89	61.25	115.16	145.02	95.34	0.0	0.57	205.5	351.14	113.56	37.05	76.71	116.78	353.59	559.28	400.71	287.01	450.94	629.35	620.67
SIGLEC10	12.83	26.1	16.15	157.68	12.18	20.56	85.22	72.52	85.82	82.87	84.63	381.68	264.03	483.38	368.65	8.99	16.63	17.38	43.32	249.73	647.07	500.46	387.02	320.8	403.5	612.11
SLC7A14	0.11	0.0	0.0	0.0	0.0	0.27	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.93	1.04	0.65	3.96	0.0	4.17	0.38	12.0	0.34	1.87	25.91	17.0
SLCO2B1	23.59	146.03	111.99	878.17	71.0	78.34	379.04	647.07	336.79	314.17	693.58	0.0	0.55	5112.16	743.43	301.33	142.01	299.25	332.14	1508.65	1467.37	1561.89	1295.13	684.02	1111.82	2163.77
SNTG2	0.97	9.78	0.0	13.32	0.0	9.48	5.45	13.42	14.24	25.54	14.56	0.0	0.21	38.4	51.71	4.98	3.47	3.69	17.25	18.16	34.02	36.27	13.83	38.12	16.75	18.84
SPIB	7.82	3.0	1.03	9.85	0.54	1.87	2.23	3.79	4.82	22.43	53.57	0.0	0.0	988.12	121.79	10.24	208.38	2.73	0.77	59.13	260.38	363.56	2335.28	414.87	122.64	368.65
SSTR3	0.0	0.0	0.0	0.3	0.0	0.25	0.06	0.09	0.26	0.25	0.83	0.0	0.05	5.54	4.86	0.0	2.23	0.27	0.0	4.46	6.52	7.4	54.72	4.78	3.14	14.45
TAF1	195.72	198.47	195.72	314.17	161.02	307.69	305.55	248.0	244.57	248.0	264.03	231.32	58.3	679.29	444.72	246.28	199.85	124.37	76.17	373.81	547.75	412.0	785.88	432.53	599.49	607.87
TAS2R50	0.0	0.0	0.0	0.0	0.0	0.39	1.75	0.56	0.42	0.0	0.27	0.0	0.09	1.69	2.07	0.95	0.0	0.85	0.46	3.08	3.0	2.46	7.75	2.92	1.85	3.5
TBC1D8	241.19	1806.78	82.29	348.71	616.37	460.44	387.02	283.05	323.03	329.84	271.48	0.0	0.51	426.57	995.0	444.72	403.5	265.87	234.57	612.11	555.41	525.39	830.75	414.87	470.14	429.54
TCF7	1331.57	343.89	75.11	62.12	39.5	134.3	73.54	42.71	74.06	134.3	101.54	264.03	483.38	1023.0	651.58	56.68	102.97	49.21	30.78	497.0	759.08	1191.69	4419.52	1015.93	529.06	1183.45
TMEM220	15.0	237.86	14.35	69.03	15.91	19.11	87.03	76.71	81.71	55.1	141.02	0.0	0.37	356.05	258.57	21.94	260.38	224.97	86.43	150.17	133.36	226.54	136.19	125.24	178.77	180.02
TNFRSF17	0.0	74.58	0.05	3.79	0.0	2.03	4.06	2.86	0.51	3.56	3.44	0.0	0.0	743.43	131.51	0.0	54.72	11.82	0.2	70.01	88.88	77.79	102.97	78.89	99.43	13.93
TREML2	0.0	1.28	0.28	6.57	0.33	14.45	4.58	0.38	1.36	1.66	5.68	0.0	0.16	21.16	16.03	0.88	7.4	3.06	0.2	9.7	33.06	31.0	106.63	24.11	11.47	42.41
TRH	53.57	579.04	0.0	0.0	0.0	0.53	0.0	0.0	1.66	0.53	0.0	0.0	0.09	0.35	4.98	0.0	0.0	0.0	1.06	0.29	0.71	2.43	0.29	1.75	0.37	0.73
TSPEAR	0.0	4.28	1.3	2.14	0.0	1.11	6.36	1.25	1.45	0.0	0.78	0.0	0.17	12.0	5.15	3.47	0.31	0.99	0.0	3.99	17.0	2.43	18.43	7.22	12.45	5.82
TTC28	3.35	13.42	6.67	87.03	8.51	22.1	57.08	74.06	65.26	45.53	98.73	0.0	0.43	183.82	65.26	30.12	8.65	16.03	6.31	214.27	536.45	400.71	273.37	281.09	348.71	500.46
TXNDC5	738.29	1359.57	909.17	1242.34	995.0	934.76	1208.34	974.5	1242.34	1350.18	1295.13	0.0	0.46	8840.04	5006.93	500.46	2682.69	1487.87	842.36	3847.29	4704.07	3039.3	2032.85	3372.43	3564.78	1662.49
WDR81	131.51	503.95	139.07	444.72	387.02	157.68	368.65	307.69	285.03	205.5	301.33	189.02	60.82	1001.93	743.43	158.79	237.86	229.72	236.21	591.22	825.0	607.87	764.36	525.39	536.45	603.67
ZBTB34	54.33	47.5	47.17	76.71	55.1	64.34	85.82	77.25	58.3	109.66	68.07	0.0	0.41	101.54	105.89	31.22	29.7	35.5	32.36	87.65	135.24	113.56	140.04	92.7	116.78	120.1
ZC3H12D	2.03	16.75	8.51	47.84	6.26	11.82	24.81	18.84	57.49	35.25	36.53	0.0	0.45	674.59	54.33	6.46	14.89	3.76	4.98	65.26	379.04	297.17	518.15	299.25	138.1	289.02
ZFYVE20	93.35	136.19	62.12	199.85	101.54	107.38	167.9	177.53	167.9	191.67	205.5	0.0	0.57	389.72	215.77	211.31	181.28	127.89	141.02	325.29	381.68	320.8	307.69	293.07	435.55	525.39
ZKSCAN8	28.45	92.05	74.06	102.25	57.08	59.13	172.65	83.45	56.68	122.64	70.01	0.0	0.49	255.0	126.12	33.06	38.95	35.76	29.91	275.28	395.18	376.41	400.71	273.37	429.54	454.09
ZNF175	7.69	102.25	34.51	63.45	34.51	48.52	64.34	53.95	59.97	63.89	71.5	0.0	0.47	177.53	111.99	8.85	34.75	26.67	24.28	103.69	122.64	162.14	187.71	114.36	128.79	130.6
ZNF808	40.93	64.34	36.53	69.52	15.68	63.89	47.17	70.51	62.56	70.01	89.51	0.0	0.39	202.66	130.6	47.84	19.97	35.0	14.14	241.19	273.37	244.57	303.44	241.19	191.67	237.86
ZNF880	6.36	32.59	13.62	112.77	32.82	46.18	89.51	71.0	94.01	111.21	111.99	0.0	0.72	312.0	143.01	76.71	50.63	63.45	14.78	258.57	155.5	195.72	327.56	223.41	214.27	435.55
