	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.S341.1526.SM.4AD6K	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.AX.A3G3.01A.11R.A213.07	TCGA.DF.A2KZ.01A.11R.A213.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N5.A4RF.01A.11R.A28V.07
C16orf70	161.02	220.32	229.72	638.15	329.84	353.59	289.02	381.68	376.41	356.05	1104.13	571.05	665.29	260.38	571.05	620.67	460.44	293.07	429.54	343.89	368.65	454.09	346.29	234.57	473.41	341.51	262.2	397.93	460.44	473.41	409.15	397.93	493.56	624.99	258.57	432.53	728.11	420.68	698.41	642.59	279.14	334.46	273.37	503.95	356.05	420.68	241.19	265.87	194.36	214.27	229.72	180.02	157.68	228.13
C18orf25	94.01	127.0	102.25	346.29	152.28	249.73	204.07	426.57	255.0	141.02	194.36	194.36	162.14	142.01	144.01	242.88	98.73	186.4	198.47	125.24	242.88	129.69	381.68	119.26	325.29	127.0	260.38	214.27	269.6	323.03	242.88	209.84	309.83	279.14	363.56	320.8	312.0	279.14	258.57	343.89	339.14	379.04	162.14	387.02	178.77	334.46	110.43	89.51	84.04	202.66	88.88	178.77	70.01	171.45
CCP110	75.11	108.14	52.45	543.96	231.32	262.2	361.04	301.33	343.89	258.57	356.05	366.09	137.14	166.73	212.78	320.8	141.02	133.36	228.13	130.6	341.51	88.88	139.07	138.1	426.57	109.66	172.65	260.38	348.71	220.32	271.48	161.02	358.54	583.07	460.44	275.28	403.5	473.41	417.77	341.51	221.86	314.17	120.1	400.71	148.09	358.54	72.52	43.63	75.64	85.22	55.89	61.25	87.03	62.56
CIR1	579.04	429.54	587.13	1037.29	921.88	769.69	738.29	679.29	1081.39	878.17	1417.35	1037.29	733.19	698.41	748.61	915.51	1119.56	470.14	860.08	1143.1	1030.12	791.35	748.61	775.05	1030.12	651.58	693.58	1104.13	934.76	1167.14	941.27	1191.69	1088.92	1417.35	1259.69	1037.29	1304.15	1059.11	988.12	995.0	842.36	1127.35	796.86	1295.13	854.13	1119.56	591.22	571.05	703.28	748.61	607.87	656.11	579.04	567.1
CLASP2	127.0	80.01	90.77	718.08	351.14	339.14	371.22	567.1	603.67	334.46	320.8	237.86	246.28	239.52	371.22	529.06	186.4	130.6	441.64	211.31	476.71	134.3	318.57	239.52	718.08	211.31	426.57	612.11	555.41	848.22	591.22	363.56	642.59	909.17	607.87	624.99	1295.13	967.76	785.88	796.86	279.14	728.11	253.23	591.22	293.07	813.63	133.36	89.51	113.56	86.43	88.26	50.98	88.88	85.22
CPD	307.69	220.32	176.29	988.12	295.11	708.18	1417.35	435.55	1096.5	674.59	551.56	325.29	329.84	1059.11	947.83	612.11	500.46	171.45	511.0	249.73	836.53	358.54	1225.22	551.56	915.51	334.46	454.09	693.58	591.22	884.29	612.11	414.87	1051.79	497.0	679.29	669.92	995.0	363.56	503.95	575.03	518.15	1001.93	267.73	1322.37	713.11	1191.69	123.5	150.17	122.64	80.01	320.8	228.13	139.07	208.38
CSNK1G1	102.97	84.63	74.06	339.14	70.01	146.03	262.2	237.86	269.6	124.37	187.71	123.5	94.01	234.57	109.66	162.14	137.14	52.82	154.42	105.15	234.57	110.43	102.25	105.15	183.82	97.36	119.26	182.55	167.9	175.07	150.17	115.16	223.41	248.0	117.6	217.27	287.01	153.34	185.11	138.1	104.42	166.73	113.56	312.0	56.28	190.34	59.55	110.43	107.38	92.05	89.51	111.21	65.72	98.04
CSNK2A1	500.46	603.67	543.96	1662.49	698.41	967.76	1909.85	1540.37	1313.23	1088.92	1594.73	872.1	785.88	1378.57	1551.09	1159.07	599.49	1030.12	1073.91	1259.69	1208.34	1322.37	1073.91	718.08	1350.18	921.88	872.1	1295.13	1199.98	1233.75	1119.56	743.43	1268.46	1369.04	1001.93	1674.06	1437.15	1135.2	967.76	825.0	679.29	1685.71	327.56	1183.45	463.65	1721.16	921.88	470.14	536.45	412.0	599.49	647.07	728.11	995.0
CSNK2A3	3.11	2.1	1.68	38.12	7.63	18.29	26.47	24.46	19.82	12.83	31.9	7.69	10.55	22.26	15.91	15.0	6.41	12.83	17.25	7.46	23.25	8.85	16.63	8.06	20.71	8.65	18.97	28.04	23.59	35.76	16.75	15.34	22.75	18.03	32.13	42.11	26.47	22.26	14.78	10.88	41.52	27.64	4.9	16.27	22.26	68.55	7.34	9.34	3.59	3.2	8.45	2.68	5.28	5.63
DENND4A	318.57	79.45	104.42	373.81	90.77	146.03	163.28	220.32	329.84	217.27	158.79	113.56	135.24	169.07	119.26	224.97	183.82	51.35	198.47	119.26	208.38	123.5	269.6	223.41	384.34	105.15	176.29	275.28	262.2	231.32	234.57	164.42	293.07	253.23	353.59	287.01	228.13	384.34	295.11	316.37	341.51	305.55	95.34	269.6	97.36	239.52	95.34	132.44	41.52	76.71	120.94	59.97	81.14	45.21
DET1	60.82	51.71	50.63	156.59	120.94	129.69	112.77	144.01	115.16	77.25	47.84	148.09	81.71	104.42	66.65	153.34	95.34	121.79	127.0	88.26	131.51	77.79	72.52	73.54	195.72	107.38	92.05	189.02	150.17	148.09	162.14	117.6	181.28	307.69	161.02	167.9	309.83	221.86	180.02	269.6	95.34	229.72	133.36	167.9	69.52	156.59	63.45	13.22	29.48	32.82	62.56	57.49	68.07	63.89
DIS3L	134.3	84.04	97.36	753.83	316.37	417.77	444.72	381.68	638.15	244.57	353.59	358.54	318.57	260.38	231.32	470.14	273.37	368.65	426.57	249.73	432.53	232.94	327.56	490.14	536.45	329.84	412.0	669.92	547.75	507.46	353.59	460.44	693.58	638.15	325.29	928.3	941.27	543.96	928.3	651.58	211.31	825.0	212.78	409.15	457.25	429.54	166.73	109.66	186.4	100.83	220.32	142.01	121.79	110.43
DPP8	77.79	71.0	76.71	571.05	170.25	232.94	353.59	400.71	368.65	198.47	248.0	202.66	212.78	239.52	178.77	287.01	262.2	80.01	325.29	181.28	305.55	115.97	341.51	127.89	493.56	145.02	215.77	334.46	389.72	381.68	281.09	204.07	466.88	400.71	733.19	493.56	583.07	599.49	503.95	447.82	279.14	332.14	107.38	595.34	202.66	651.58	98.73	112.77	56.68	74.06	62.12	70.51	84.63	60.82
DYRK1A	318.57	260.38	246.28	1066.48	463.65	466.88	723.08	738.29	825.0	633.73	764.36	536.45	447.82	536.45	567.1	830.75	473.41	454.09	684.02	438.59	785.88	358.54	708.18	454.09	988.12	444.72	599.49	802.41	967.76	954.43	802.41	493.56	961.07	1030.12	848.22	1397.83	1044.52	909.17	1208.34	674.59	432.53	1073.91	327.56	476.71	473.41	1037.29	170.25	226.54	201.25	334.46	275.28	189.02	157.68	432.53
EPB41L5	46.84	136.19	53.95	412.0	346.29	723.08	775.05	303.44	848.22	397.93	1350.18	426.57	507.46	241.19	674.59	429.54	275.28	126.12	559.28	316.37	500.46	131.51	368.65	248.0	412.0	323.03	363.56	353.59	414.87	665.29	511.0	406.31	514.56	620.67	842.36	441.64	708.18	679.29	733.19	753.83	269.6	525.39	248.0	543.96	314.17	417.77	265.87	157.68	239.52	191.67	202.66	291.04	104.42	127.89
EPM2AIP1	74.58	21.63	63.45	476.71	182.55	232.94	211.31	275.28	450.94	228.13	248.0	198.47	150.17	106.63	301.33	301.33	113.56	93.35	253.23	113.56	307.69	102.97	140.04	143.01	420.68	171.45	199.85	381.68	361.04	309.83	353.59	251.48	356.05	536.45	275.28	293.07	423.61	540.19	363.56	353.59	193.01	444.72	141.02	366.09	164.42	303.44	67.59	39.5	60.82	98.73	16.03	55.49	28.45	80.57
FAM149B1	336.79	358.54	307.69	403.5	559.28	371.22	325.29	470.14	486.75	420.68	237.86	403.5	384.34	371.22	497.0	607.87	325.29	149.12	429.54	483.38	441.64	351.14	334.46	273.37	460.44	327.56	366.09	567.1	395.18	412.0	511.0	444.72	540.19	665.29	587.13	521.76	785.88	470.14	466.88	620.67	258.57	514.56	351.14	612.11	229.72	629.35	309.83	209.84	271.48	236.21	299.25	231.32	223.41	389.72
FAM179B	80.57	26.47	44.57	371.22	193.01	226.54	145.02	327.56	417.77	236.21	341.51	236.21	163.28	136.19	217.27	346.29	107.38	67.59	255.0	123.5	267.73	69.03	164.42	253.23	307.69	136.19	148.09	299.25	295.11	244.57	295.11	176.29	323.03	457.25	620.67	273.37	426.57	283.05	309.83	218.79	167.9	490.14	90.14	403.5	147.06	507.46	22.26	62.56	13.12	70.01	28.24	31.22	48.18	93.35
FASTKD2	432.53	178.77	187.71	651.58	281.09	356.05	400.71	532.74	435.55	389.72	579.04	473.41	435.55	503.95	426.57	507.46	336.79	212.78	420.68	353.59	480.04	297.17	336.79	248.0	603.67	389.72	409.15	536.45	500.46	417.77	454.09	379.04	441.64	967.76	414.87	540.19	575.03	612.11	629.35	651.58	638.15	633.73	366.09	651.58	432.53	624.99	441.64	444.72	384.34	218.79	289.02	285.03	356.05	249.73
FECH	191.67	214.27	181.28	476.71	215.77	303.44	521.76	356.05	529.06	279.14	348.71	329.84	400.71	490.14	176.29	483.38	194.36	314.17	285.03	256.78	316.37	237.86	379.04	414.87	417.77	334.46	432.53	409.15	392.44	536.45	392.44	307.69	536.45	607.87	271.48	620.67	1008.9	525.39	629.35	325.29	234.57	603.67	297.17	376.41	406.31	575.03	110.43	127.89	244.57	141.02	193.01	215.77	214.27	267.73
FEM1B	269.6	121.79	130.6	813.63	363.56	599.49	432.53	529.06	684.02	358.54	343.89	441.64	343.89	470.14	267.73	830.75	387.02	353.59	693.58	358.54	1008.9	242.88	454.09	226.54	941.27	438.59	616.37	860.08	830.75	1111.82	860.08	529.06	866.07	1008.9	1268.46	988.12	753.83	860.08	656.11	860.08	642.59	988.12	303.44	1322.37	543.96	934.76	164.42	379.04	96.01	124.37	148.09	178.77	155.5	221.86
GCC2	155.5	142.01	94.01	693.58	265.87	271.48	466.88	392.44	457.25	366.09	603.67	258.57	281.09	279.14	353.59	435.55	214.27	109.66	389.72	173.85	532.74	98.73	567.1	215.77	764.36	211.31	363.56	536.45	599.49	603.67	435.55	341.51	830.75	921.88	1044.52	896.64	909.17	733.19	703.28	684.02	373.81	595.34	234.57	616.37	343.89	616.37	205.5	86.43	137.14	147.06	152.28	66.65	134.3	92.7
GOSR1	406.31	454.09	373.81	842.36	389.72	954.43	848.22	748.61	954.43	688.78	591.22	583.07	536.45	1001.93	872.1	708.18	532.74	438.59	723.08	395.18	780.44	555.41	599.49	540.19	909.17	417.77	642.59	764.36	819.3	796.86	775.05	507.46	915.51	1037.29	665.29	1037.29	1127.35	688.78	785.88	974.5	454.09	947.83	412.0	738.29	392.44	928.3	265.87	420.68	323.03	316.37	400.71	688.78	417.77	514.56
GTF2H2C	189.02	69.03	121.79	518.15	447.82	155.5	595.34	291.04	591.22	497.0	429.54	373.81	507.46	624.99	429.54	780.44	343.89	190.34	791.35	368.65	638.15	283.05	368.65	1037.29	723.08	441.64	423.61	595.34	684.02	775.05	540.19	384.34	642.59	896.64	441.64	941.27	525.39	366.09	1594.73	921.88	297.17	674.59	409.15	476.71	429.54	830.75	307.69	153.34	211.31	323.03	193.01	320.8	392.44	229.72
HDHD2	269.6	242.88	217.27	748.61	473.41	825.0	629.35	356.05	974.5	463.65	507.46	836.53	723.08	507.46	651.58	842.36	209.84	587.13	825.0	551.56	698.41	423.61	651.58	708.18	802.41	708.18	656.11	802.41	813.63	967.76	961.07	785.88	1051.79	1081.39	902.89	967.76	1277.29	1015.93	947.83	819.3	497.0	884.29	941.27	2104.58	775.05	1250.98	309.83	193.01	226.54	171.45	395.18	320.8	236.21	551.56
HEATR5B	68.55	68.07	59.55	438.59	244.57	215.77	283.05	239.52	392.44	260.38	320.8	224.97	228.13	218.79	226.54	303.44	231.32	223.41	248.0	139.07	341.51	111.99	295.11	214.27	441.64	181.28	206.94	318.57	358.54	323.03	320.8	199.85	438.59	669.92	341.51	543.96	656.11	536.45	334.46	283.05	143.01	343.89	111.99	379.04	226.54	547.75	57.08	74.06	68.55	82.87	76.71	77.79	53.95	55.49
HERC1	373.81	157.68	283.05	1572.76	607.87	616.37	555.41	1111.82	1540.37	733.19	748.61	656.11	665.29	1088.92	941.27	1167.14	450.94	406.31	954.43	603.67	848.22	381.68	1023.0	450.94	1268.46	1008.9	1111.82	1127.35	1143.1	1233.75	1127.35	878.17	934.76	1259.69	1183.45	1529.73	1059.11	1605.83	967.76	825.0	392.44	1477.58	381.68	759.08	490.14	669.92	215.77	264.03	198.47	275.28	211.31	202.66	147.06	195.72
IGF1R	138.1	85.22	97.36	1135.2	769.69	591.22	703.28	78.34	825.0	376.41	624.99	379.04	358.54	348.71	620.67	638.15	275.28	341.51	780.44	180.02	1073.91	129.69	348.71	363.56	775.05	423.61	490.14	460.44	713.11	1119.56	748.61	529.06	1051.79	890.44	878.17	1250.98	2739.08	909.17	802.41	902.89	189.02	1685.71	141.02	679.29	529.06	1001.93	70.01	239.52	59.97	120.1	246.28	9.27	267.73	10.71
IKZF5	85.22	44.25	53.95	432.53	226.54	297.17	236.21	251.48	381.68	269.6	194.36	201.25	187.71	149.12	262.2	371.22	142.01	117.6	339.14	163.28	476.71	124.37	242.88	214.27	555.41	133.36	199.85	363.56	406.31	371.22	389.72	198.47	500.46	559.28	457.25	366.09	525.39	521.76	406.31	323.03	358.54	392.44	136.19	536.45	271.48	500.46	90.77	92.7	59.55	67.59	67.59	59.55	64.8	57.49
IQCH	8.13	18.29	10.63	100.83	44.25	66.65	60.39	54.33	52.82	28.45	45.53	58.3	67.59	34.75	20.41	51.35	36.27	24.99	40.64	19.82	73.54	10.71	18.7	41.22	71.0	27.84	39.79	57.89	72.01	94.01	109.66	47.5	78.89	80.57	83.45	46.5	114.36	57.49	36.53	117.6	50.63	75.64	33.3	126.12	56.28	107.38	10.08	14.89	11.91	10.47	20.86	4.5	14.45	2.36
IREB2	151.22	86.43	90.77	629.35	185.11	267.73	353.59	426.57	438.59	226.54	253.23	239.52	236.21	318.57	208.38	426.57	256.78	265.87	269.6	226.54	417.77	166.73	366.09	170.25	532.74	241.19	267.73	563.18	460.44	409.15	358.54	255.0	507.46	698.41	463.65	775.05	532.74	583.07	591.22	373.81	271.48	473.41	102.97	438.59	223.41	503.95	161.02	149.12	111.99	85.82	189.02	164.42	142.01	145.02
ITIH6	0.0	0.89	0.0	51.35	31.0	20.56	13.52	47.5	24.28	14.14	31.0	15.56	50.98	8.99	24.63	81.71	185.11	31.0	43.63	30.34	91.41	13.72	1.85	4.74	16.75	26.28	27.84	11.73	34.02	83.45	62.12	25.54	84.04	57.08	57.89	49.56	125.24	38.4	109.66	202.66	36.01	71.5	22.59	40.64	57.08	13.62	1.25	1.93	0.0	0.0	0.35	1.38	0.0	0.0
KAT6B	37.05	23.59	42.71	591.22	209.84	191.67	264.03	132.44	351.14	358.54	470.14	189.02	180.02	175.07	202.66	251.48	114.36	60.39	260.38	120.94	381.68	82.29	170.25	242.88	366.09	161.02	234.57	301.33	305.55	460.44	264.03	163.28	432.53	928.3	400.71	733.19	1233.75	432.53	376.41	559.28	110.43	438.59	78.34	438.59	109.66	525.39	40.64	32.82	53.57	58.3	52.45	25.91	35.25	72.52
KDSR	947.83	902.89	616.37	1639.59	708.18	1059.11	836.53	579.04	748.61	884.29	629.35	587.13	612.11	684.02	518.15	1447.15	591.22	775.05	1242.34	603.67	1216.75	995.0	1639.59	679.29	1697.45	872.1	1350.18	1685.71	1605.83	1697.45	1477.58	1030.12	1233.75	1397.83	1250.98	1769.57	1268.46	1350.18	1617.0	1208.34	1819.35	1721.16	1268.46	2032.85	854.13	1143.1	703.28	733.19	400.71	332.14	497.0	366.09	497.0	532.74
KIAA1109	212.78	117.6	108.14	1104.13	595.34	371.22	819.3	718.08	842.36	532.74	525.39	470.14	381.68	507.46	525.39	878.17	463.65	318.57	854.13	363.56	902.89	187.71	785.88	258.57	1477.58	412.0	708.18	1104.13	995.0	934.76	830.75	647.07	1151.06	1697.45	1167.14	1225.22	1757.34	1135.2	954.43	813.63	325.29	1304.15	327.56	1340.84	426.57	1572.76	178.77	136.19	137.14	301.33	147.06	162.14	87.65	103.69
KIAA1841	198.47	220.32	239.52	555.41	287.01	414.87	244.57	223.41	217.27	303.44	642.59	221.86	100.13	117.6	228.13	493.56	454.09	389.72	334.46	291.04	332.14	217.27	208.38	384.34	412.0	178.77	476.71	591.22	356.05	620.67	551.56	532.74	406.31	684.02	327.56	470.14	723.08	412.0	567.1	633.73	152.28	563.18	297.17	808.0	198.47	373.81	138.1	220.32	130.6	187.71	111.21	112.77	277.2	133.36
KIDINS220	195.72	105.15	116.78	759.08	351.14	273.37	603.67	555.41	599.49	450.94	540.19	361.04	249.73	389.72	341.51	665.29	493.56	395.18	612.11	303.44	674.59	381.68	490.14	226.54	1044.52	356.05	633.73	698.41	769.69	808.0	674.59	457.25	872.1	1359.57	995.0	1119.56	1151.06	785.88	947.83	825.0	460.44	890.44	269.6	753.83	363.56	1151.06	96.01	241.19	182.55	153.34	197.09	139.07	59.55	204.07
KLHL28	54.72	17.9	40.07	295.11	68.07	114.36	89.51	190.34	116.78	123.5	170.25	85.22	64.8	85.82	83.45	156.59	90.77	46.84	82.29	52.82	176.29	45.85	95.34	56.28	232.94	74.06	92.7	145.02	157.68	141.02	159.9	80.01	204.07	231.32	1322.37	262.2	236.21	170.25	136.19	118.43	63.89	165.57	70.51	190.34	115.16	186.4	45.21	60.82	27.44	27.84	33.54	29.06	15.34	40.07
KMT2E	191.67	84.63	126.12	1051.79	435.55	301.33	583.07	665.29	967.76	540.19	444.72	417.77	480.04	507.46	460.44	642.59	511.0	329.84	674.59	275.28	728.11	256.78	559.28	444.72	1199.98	271.48	473.41	928.3	896.64	995.0	733.19	334.46	1051.79	1088.92	1104.13	934.76	1111.82	988.12	981.29	813.63	599.49	981.29	329.84	1233.75	368.65	1073.91	175.07	156.59	152.28	226.54	175.07	90.77	115.16	187.71
LANCL1	167.9	135.24	151.22	1340.84	444.72	651.58	791.35	595.34	934.76	583.07	928.3	518.15	543.96	647.07	674.59	808.0	511.0	255.0	759.08	409.15	813.63	249.73	435.55	603.67	1111.82	503.95	624.99	1119.56	941.27	830.75	988.12	571.05	988.12	1151.06	1259.69	1233.75	1388.16	1397.83	743.43	728.11	444.72	1769.57	417.77	1242.34	769.69	1467.37	262.2	236.21	150.17	107.38	143.01	173.85	226.54	183.82
