	TCGA.38.4625.01A.01R.1206.07	GTEX.147F4.0926.SM.5Q5EO	GTEX.145LS.1226.SM.5Q5D9	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
C12orf57	0.0	7485.11	1508.65	7485.11	7081.29	16843.62	7749.1	7485.11	9151.82	14971.21	4671.57	9808.75	6607.01	14461.21	8022.41	7331.05	7857.29	11345.82	6294.04	13306.94	11664.82	10225.32	8778.97	11345.82	12502.12	14867.79	9279.58	6699.25	5672.41	9474.59	10225.32	8305.36	9215.48	13968.57	7749.1	6294.04	2796.65	8363.13	11745.96	12329.98	4937.99	8022.41	16157.44	3901.01	29531.18	9474.59	10808.41	6426.31	13033.07	9876.98	9876.98	6745.86	6699.25	7537.18	11112.3	8598.28	6745.86	8963.45	10585.95	6426.31	6381.92	9344.14	5329.3	7331.05	12329.98	11909.94	6840.04	8658.09	5219.6	9474.59	8022.41	10512.82	7485.11	11112.3	10154.69	7280.4	7857.29	9025.81	9215.48	9808.75	9474.59	10585.95	11267.44	13123.73	9409.14	8022.41	13776.25	13399.51
C19orf53	0.0	2335.28	860.08	2682.69	3419.52	4268.94	3847.29	2163.77	3146.52	5219.6	2451.44	3257.52	2609.3	4769.75	2816.11	2485.67	2835.7	4736.79	2468.49	4268.94	4869.99	3515.68	3419.52	4419.52	4388.98	5995.9	2956.17	2915.45	2193.99	4450.27	3665.02	3303.0	3742.05	3928.15	2720.15	3874.05	2935.74	2976.74	4607.24	5076.84	2104.58	2758.13	5791.62	2335.28	4543.8	4802.93	3639.7	4736.79	4152.18	2935.74	4181.07	2777.33	2875.3	3039.3	3982.99	2997.45	2720.15	2956.17	4152.18	2645.74	2485.67	3874.05	2537.92	2485.67	4903.87	3742.05	2351.53	3690.52	2976.74	5041.77	3395.89	4298.64	2739.08	3665.02	4639.29	2796.65	4512.4	4769.75	3419.52	4512.4	3349.13	3665.02	4450.27	4937.99	3103.19	2701.35	4937.99	4937.99
C19orf70	0.0	532.74	559.28	1331.57	1331.57	3540.14	2032.85	848.22	1991.0	2133.97	796.86	2178.83	1313.23	2090.03	1857.6	1250.98	1457.23	2895.31	1183.45	2224.63	2520.38	2133.97	1909.85	2367.9	2367.9	2591.27	1745.2	1111.82	1135.2	2796.65	2148.82	1697.45	2627.46	2061.24	1583.71	2193.99	1662.49	1498.22	2573.36	3190.46	1151.06	1685.71	3349.13	1081.39	1896.65	2384.37	2075.59	2739.08	2468.49	1909.85	2224.63	1340.84	1651.0	1819.35	2573.36	1674.06	1111.82	1529.73	2271.4	1104.13	1088.92	1909.85	1066.48	1199.98	3303.0	2004.85	1191.69	2739.08	1540.37	3190.46	2119.22	2367.9	1457.23	2255.7	2627.46	1561.89	2976.74	2875.3	1909.85	2701.35	2193.99	1519.15	2075.59	2271.4	1583.71	1572.76	2004.85	2520.38
CCDC167	0.0	206.94	183.82	764.36	928.3	2004.85	1159.07	518.15	1135.2	1397.83	579.04	1467.37	974.5	1417.35	1322.37	967.76	769.69	2061.24	638.15	1487.87	1819.35	1617.0	1378.57	1498.22	1487.87	1605.83	1295.13	743.43	500.46	1963.57	1369.04	1259.69	1832.01	1605.83	854.13	872.1	915.51	1216.75	1909.85	1883.54	947.83	1037.29	2400.97	759.08	3146.52	1277.29	1369.04	896.64	1674.06	1030.12	1561.89	764.36	656.11	1044.52	1151.06	890.44	536.45	738.29	1508.65	1066.48	915.51	974.5	525.39	669.92	2240.11	1286.18	753.83	1208.34	995.0	1936.53	785.88	1096.5	1015.93	1350.18	1819.35	860.08	1844.76	2047.0	1457.23	2451.44	1268.46	1417.35	1529.73	1437.15	1127.35	830.75	2163.77	1639.59
CHCHD1	0.0	351.14	642.59	1313.23	1388.16	2777.33	1561.89	1268.46	2075.59	1991.0	1477.58	1923.14	1233.75	1883.54	1977.24	1745.2	813.63	2451.44	1447.15	1819.35	2591.27	1651.0	1857.6	2287.2	1685.71	2319.15	1651.0	1259.69	1127.35	2240.11	1709.26	1923.14	2591.27	2520.38	1508.65	1417.35	759.08	1794.29	2400.97	2645.74	1175.27	1769.57	3103.19	1457.23	2537.92	1674.06	1844.76	2061.24	2271.4	1870.53	2287.2	1081.39	1617.0	1417.35	2090.03	1844.76	1216.75	1594.73	2400.97	1540.37	1322.37	1883.54	1151.06	1167.14	2976.74	1991.0	1498.22	2075.59	1096.5	2609.3	1651.0	2335.28	1794.29	1819.35	2451.44	1175.27	2855.44	2319.15	1819.35	2209.26	1844.76	1757.34	1651.0	1832.01	1437.15	1059.11	2193.99	2319.15
CHCHD5	0.0	264.03	329.84	884.29	981.29	2104.58	1199.98	483.38	1437.15	1487.87	591.22	1304.15	764.36	1498.22	1167.14	909.17	866.07	1639.59	669.92	1477.58	1806.78	1583.71	1427.22	1477.58	1378.57	1757.34	1111.82	769.69	656.11	1551.09	1175.27	1277.29	1508.65	1437.15	974.5	1268.46	1088.92	1023.0	1781.89	2047.0	921.88	1135.2	1844.76	738.29	2209.26	1583.71	1369.04	1594.73	1628.26	1199.98	1639.59	1023.0	819.3	988.12	1437.15	1066.48	679.29	1119.56	1498.22	688.78	723.08	1277.29	713.11	872.1	1883.54	1378.57	665.29	1359.57	759.08	1242.34	1143.1	1359.57	1151.06	1685.71	1721.16	954.43	1674.06	1417.35	1183.45	1111.82	1268.46	1175.27	1037.29	1350.18	1015.93	802.41	1216.75	1508.65
CINP	0.0	211.31	435.55	791.35	775.05	1143.1	860.08	753.83	934.76	1286.18	785.88	915.51	791.35	934.76	890.44	808.0	842.36	1051.79	802.41	947.83	1216.75	909.17	848.22	1037.29	836.53	1322.37	884.29	693.58	647.07	954.43	947.83	872.1	1001.93	954.43	389.72	748.61	684.02	785.88	1242.34	1015.93	684.02	915.51	1359.57	764.36	1437.15	995.0	1001.93	915.51	1111.82	854.13	988.12	688.78	808.0	848.22	896.64	708.18	854.13	872.1	1225.22	878.17	738.29	825.0	656.11	748.61	1191.69	866.07	748.61	947.83	813.63	1359.57	866.07	813.63	769.69	909.17	1030.12	660.68	1104.13	1051.79	733.19	1350.18	941.27	1066.48	909.17	1111.82	819.3	620.67	1104.13	1073.91
CNPY3	1167.14	547.75	575.03	1697.45	1870.53	2976.74	1457.23	1001.93	2351.53	2555.58	808.0	2018.8	1427.22	2895.31	1745.2	2032.85	1340.84	2915.45	1216.75	2627.46	2178.83	1819.35	1794.29	2627.46	2591.27	3103.19	1487.87	1304.15	1059.11	2976.74	2133.97	1397.83	3325.99	3419.52	1519.15	1340.84	1605.83	2047.0	2417.67	2645.74	1388.16	1857.6	4358.66	1119.56	1936.53	2335.28	1806.78	2104.58	2209.26	2104.58	2816.11	1923.14	1066.48	1286.18	2855.44	2032.85	1159.07	1304.15	3124.78	1519.15	1369.04	2303.12	1159.07	1225.22	4095.0	1651.0	1233.75	1819.35	2591.27	2434.5	1769.57	2148.82	1844.76	2468.49	2193.99	1540.37	2976.74	2915.45	2796.65	2520.38	2193.99	1950.0	2591.27	2451.44	1388.16	1407.55	2119.22	2645.74
COA3	0.0	356.05	915.51	2287.2	3212.66	5219.6	4038.61	2287.2	3212.66	5076.84	2609.3	3874.05	2193.99	5147.73	3467.27	2758.13	2434.5	4836.35	2739.08	3955.48	4836.35	4095.0	3955.48	4903.87	5441.3	6935.54	3874.05	2720.15	1909.85	3190.46	3742.05	3395.89	4123.49	4972.34	2956.17	3168.41	3467.27	3257.52	4869.99	2915.45	1844.76	3742.05	6079.61	1498.22	6037.61	4937.99	3325.99	3614.55	4639.29	3018.3	3768.09	2777.33	2682.69	2645.74	4066.71	2855.44	2303.12	2573.36	5329.3	3349.13	2468.49	3443.31	2104.58	2520.38	5872.48	3395.89	2537.92	4419.52	1259.69	4836.35	2148.82	3515.68	2915.45	3820.7	4704.07	2739.08	3955.48	4152.18	3081.75	4328.55	3716.2	4328.55	4239.45	5112.16	2875.3	2777.33	5219.6	6079.61
DGCR6L	0.0	320.8	371.22	1427.22	1498.22	2701.35	1819.35	1037.29	1963.57	2555.58	1088.92	1936.53	1286.18	2956.17	1617.0	1340.84	1467.37	2520.38	1183.45	2537.92	2627.46	2119.22	2004.85	2645.74	2835.7	2816.11	1745.2	1277.29	587.13	2319.15	2193.99	1844.76	2209.26	2627.46	1529.73	2178.83	1697.45	1487.87	2758.13	3103.19	1313.23	1870.53	2816.11	1059.11	3257.52	2609.3	1870.53	2075.59	2645.74	1844.76	2018.8	1286.18	1417.35	1721.16	2351.53	1709.26	1143.1	1529.73	2875.3	1340.84	1259.69	1697.45	1208.34	1487.87	3349.13	1950.0	1216.75	2417.67	1388.16	3124.78	2133.97	2148.82	1467.37	2018.8	2739.08	1467.37	2485.67	2664.15	2451.44	3039.3	1870.53	2032.85	2434.5	2758.13	1806.78	1437.15	2682.69	2956.17
DPY30	0.0	511.0	1127.35	2178.83	2133.97	3372.43	2777.33	2319.15	2758.13	2895.31	1594.73	2627.46	1896.65	2609.3	2451.44	2384.37	1883.54	3168.41	2468.49	2451.44	2591.27	2451.44	2468.49	2895.31	2287.2	3325.99	2591.27	2047.0	1745.2	3190.46	2351.53	2537.92	3168.41	3190.46	2148.82	2004.85	1977.24	3103.19	4038.61	3257.52	2303.12	2400.97	3372.43	2303.12	3190.46	2502.97	2351.53	2796.65	2701.35	2367.9	2855.44	1697.45	2209.26	2255.7	2451.44	2075.59	1991.0	1191.69	2573.36	2573.36	2178.83	2645.74	1923.14	1832.01	2997.45	2701.35	2240.11	2520.38	1757.34	2682.69	2193.99	2682.69	2502.97	2451.44	3212.66	1832.01	3443.31	2816.11	1594.73	2555.58	2591.27	2855.44	2537.92	2796.65	2384.37	1844.76	3235.01	3018.3
DUSP28	0.0	37.32	38.12	195.72	181.28	297.17	176.29	145.02	215.77	180.02	147.06	218.79	129.69	204.07	167.9	164.42	150.17	260.38	127.0	239.52	244.57	236.21	198.47	206.94	242.88	220.32	165.57	161.02	197.09	218.79	170.25	161.02	202.66	244.57	112.77	195.72	185.11	204.07	231.32	194.36	159.9	239.52	275.28	164.42	293.07	221.86	189.02	314.17	170.25	228.13	253.23	145.02	182.55	176.29	217.27	198.47	161.02	178.77	217.27	226.54	185.11	205.5	89.51	153.34	289.02	218.79	153.34	169.07	171.45	332.14	173.85	291.04	186.4	226.54	229.72	150.17	255.0	223.41	379.04	226.54	241.19	177.53	236.21	211.31	186.4	154.42	255.0	221.86
ENDOG	0.0	88.26	189.02	358.54	400.71	1104.13	490.14	189.02	718.08	660.68	201.25	540.19	334.46	713.11	341.51	195.72	253.23	540.19	281.09	669.92	669.92	647.07	629.35	599.49	624.99	591.22	698.41	178.77	194.36	559.28	480.04	412.0	521.76	555.41	305.55	397.93	473.41	420.68	743.43	785.88	220.32	575.03	748.61	189.02	651.58	796.86	343.89	470.14	819.3	426.57	476.71	486.75	414.87	403.5	612.11	607.87	323.03	466.88	665.29	358.54	376.41	518.15	194.36	373.81	708.18	303.44	312.0	595.34	289.02	890.44	320.8	450.94	412.0	775.05	660.68	450.94	460.44	563.18	536.45	521.76	559.28	460.44	395.18	802.41	529.06	460.44	265.87	503.95
