	TCGA.GU.A767.01A.11R.A32O.07	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.D8.A27V.01A.12R.A17B.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.A8.A0AD.01A.11R.A056.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A2.A04W.01A.31R.A115.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.C8.A8HQ.01A.11R.A36F.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.3C.AALI.01A.11R.A41B.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.B6.A0IB.01A.11R.A034.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	TCGA.EX.A449.01A.11R.A32Y.07	TCGA.CZ.5986.01A.11R.1672.07
BSG	25887.07	14361.31	4903.87	10808.41	13306.94	13968.57	7485.11	11664.82	7695.57	5292.48	29327.18	6121.9	9279.58	13492.72	11189.6	14361.31	14361.31	8718.32	6471.02	15075.35	8191.0	5633.22	13586.57	9540.5	15075.35	10154.69	10014.87	9945.68	9025.81	17558.94	9025.81	16611.71	11345.82	11345.82	4450.27	4328.55	4736.79	7230.1	3018.3	2739.08	5292.48	2997.45	6561.36	5479.15	6121.9	5292.48	7589.61	13872.08	7857.29
C11orf83	753.83	490.14	198.47	137.14	341.51	124.37	231.32	273.37	307.69	118.43	373.81	159.9	180.02	239.52	197.09	688.78	371.22	253.23	279.14	392.44	191.67	114.36	738.29	253.23	258.57	279.14	314.17	371.22	153.34	389.72	142.01	665.29	265.87	147.06	96.01	63.0	96.68	131.51	63.0	39.5	105.15	36.27	183.82	122.64	78.34	54.33	98.04	543.96	69.03
C19orf24	4268.94	1540.37	660.68	1015.93	1733.13	860.08	1051.79	1819.35	1008.9	1073.91	2367.9	928.3	1242.34	2104.58	1467.37	1733.13	1369.04	1286.18	1242.34	2816.11	1369.04	780.44	1923.14	1757.34	1651.0	1870.53	1963.57	1674.06	796.86	1617.0	813.63	2555.58	2061.24	878.17	647.07	583.07	612.11	1183.45	363.56	476.71	647.07	249.73	656.11	733.19	397.93	289.02	674.59	2451.44	253.23
CDK2AP2	2777.33	1662.49	860.08	848.22	2119.22	1662.49	1437.15	1295.13	547.75	902.89	2104.58	1151.06	1721.16	2417.67	1059.11	2240.11	2855.44	1674.06	1127.35	3901.01	1561.89	967.76	1088.92	2032.85	1594.73	1991.0	1467.37	2133.97	1457.23	2255.7	2032.85	2224.63	3349.13	1191.69	665.29	642.59	518.15	1268.46	532.74	551.56	698.41	253.23	1407.55	759.08	567.1	432.53	902.89	11345.82	1359.57
CLPP	3212.66	1551.09	1066.48	1359.57	1639.59	974.5	1216.75	1883.54	1233.75	878.17	1745.2	1037.29	1487.87	1844.76	1378.57	1909.85	1651.0	1662.49	1135.2	2520.38	1259.69	796.86	2367.9	1111.82	1757.34	2075.59	1350.18	1498.22	791.35	1359.57	1175.27	1857.6	1572.76	1769.57	708.18	780.44	775.05	1096.5	543.96	395.18	1051.79	476.71	974.5	854.13	854.13	518.15	974.5	1883.54	1001.93
CLPTM1	3168.41	1617.0	2209.26	1709.26	2739.08	1417.35	1628.26	2537.92	1583.71	1832.01	4481.23	1583.71	1936.53	2287.2	2384.37	3768.09	2720.15	2417.67	1950.0	2032.85	2224.63	1388.16	5006.93	1806.78	2303.12	1991.0	2090.03	1883.54	2537.92	1896.65	2047.0	2485.67	14461.21	2502.97	1639.59	1268.46	1572.76	2303.12	1350.18	1191.69	1350.18	796.86	1519.15	2224.63	1015.93	785.88	1561.89	2537.92	1397.83
COPE	7433.4	6652.97	2976.74	4512.4	5594.3	3060.45	3103.19	4836.35	2976.74	2400.97	5872.48	2935.74	3325.99	6561.36	3742.05	7382.04	5441.3	4095.0	3928.15	7280.4	3515.68	2148.82	7032.37	5366.37	4481.23	5006.93	4038.61	5219.6	5112.16	3955.48	3515.68	6250.56	4972.34	4328.55	1594.73	1529.73	1685.71	2367.9	981.29	1059.11	1540.37	651.58	2835.7	2468.49	1250.98	1407.55	2468.49	15180.22	1467.37
COPG1	4268.94	4010.71	2178.83	6652.97	5219.6	4239.45	5366.37	8078.22	4388.98	4152.18	9215.48	4704.07	4972.34	6652.97	5329.3	6207.38	6426.31	3491.39	4268.94	6337.83	5711.87	5517.27	5954.47	9606.86	5711.87	3614.55	3928.15	5672.41	10154.69	5041.77	4298.64	6792.79	5791.62	6381.92	2178.83	2240.11	2061.24	2835.7	1457.23	1467.37	2417.67	1340.84	1950.0	3515.68	1477.58	3303.0	1991.0	9876.98	1721.16
COX8A	20451.65	14971.21	6935.54	13872.08	12853.63	6699.25	7537.18	6699.25	9540.5	6471.02	15392.14	7331.05	8421.31	7642.41	10585.95	18950.18	12764.83	11424.74	6935.54	16045.82	9409.14	5479.15	24153.43	16960.78	12589.08	11584.24	9279.58	11112.3	4575.41	9409.14	5594.3	21617.82	13123.73	4972.34	4836.35	4481.23	3928.15	6792.79	4671.57	4358.66	3901.01	2935.74	9876.98	5517.27	4802.93	4010.71	5913.33	15392.14	4123.49
DGCR6L	2997.45	1199.98	866.07	934.76	1936.53	743.43	1127.35	2047.0	995.0	490.14	1991.0	575.03	1104.13	1991.0	1111.82	2004.85	1417.35	1286.18	1030.12	2384.37	1199.98	995.0	1832.01	669.92	1447.15	1870.53	1159.07	866.07	1583.71	1313.23	860.08	2224.63	1819.35	1529.73	728.11	660.68	518.15	872.1	400.71	356.05	529.06	607.87	1369.04	1295.13	633.73	536.45	1199.98	1936.53	591.22
DRAP1	5041.77	5183.54	860.08	1883.54	3018.3	1794.29	1936.53	4328.55	2255.7	1119.56	3639.7	1191.69	2417.67	6337.83	2148.82	4836.35	3742.05	2451.44	1628.26	2915.45	1963.57	1001.93	3589.58	1781.89	2777.33	3039.3	2468.49	3081.75	1950.0	3564.78	1977.24	5672.41	3467.27	3665.02	974.5	753.83	802.41	1250.98	497.0	483.38	1081.39	679.29	2133.97	2061.24	915.51	665.29	1397.83	2119.22	651.58
DTYMK	1551.09	928.3	480.04	438.59	713.11	450.94	500.46	1044.52	583.07	429.54	825.0	395.18	651.58	1378.57	412.0	1199.98	603.67	447.82	532.74	1088.92	633.73	406.31	1242.34	387.02	890.44	981.29	559.28	493.56	511.0	379.04	336.79	1111.82	647.07	540.19	327.56	389.72	293.07	395.18	275.28	209.84	249.73	251.48	277.2	493.56	220.32	229.72	483.38	2119.22	293.07
EBP	5183.54	2193.99	872.1	934.76	1359.57	1008.9	1977.24	2835.7	1477.58	854.13	3820.7	941.27	1119.56	2739.08	1037.29	2075.59	1359.57	1447.15	1199.98	2224.63	1119.56	728.11	4388.98	1216.75	1594.73	1437.15	1250.98	1066.48	1216.75	842.36	866.07	2502.97	2520.38	1721.16	723.08	698.41	780.44	723.08	633.73	647.07	813.63	503.95	638.15	954.43	483.38	1167.14	738.29	11267.44	780.44
ELOF1	2855.44	2400.97	1037.29	1350.18	1963.57	1104.13	1081.39	2573.36	1313.23	1127.35	2319.15	1081.39	1397.83	1628.26	1467.37	2796.65	1674.06	1870.53	1295.13	2255.7	1447.15	1051.79	2468.49	1540.37	1540.37	1617.0	1697.45	1498.22	2148.82	1909.85	1199.98	2209.26	1806.78	1733.13	1023.0	902.89	1073.91	1268.46	884.29	825.0	1331.57	825.0	872.1	1331.57	583.07	775.05	1051.79	2104.58	1081.39
FAM50A	5329.3	2537.92	830.75	1769.57	1757.34	1119.56	1498.22	3146.52	1651.0	884.29	2193.99	753.83	1250.98	2835.7	1081.39	2287.2	1551.09	1819.35	1806.78	2061.24	1104.13	890.44	2682.69	1286.18	1977.24	1991.0	1721.16	1745.2	1322.37	1963.57	1639.59	3515.68	1651.0	2502.97	547.75	525.39	612.11	915.51	194.36	281.09	981.29	616.37	1023.0	836.53	599.49	842.36	493.56	5006.93	1037.29
GADD45GIP1	4704.07	2417.67	872.1	1769.57	2075.59	1119.56	1313.23	2555.58	1733.13	603.67	1757.34	595.34	1250.98	2367.9	1407.55	2835.7	1794.29	2018.8	1529.73	2997.45	961.07	738.29	3303.0	947.83	1819.35	2193.99	1781.89	1923.14	1447.15	1857.6	1199.98	2163.77	1674.06	1583.71	500.46	420.68	738.29	791.35	183.82	180.02	595.34	293.07	1498.22	656.11	669.92	264.03	665.29	3146.52	981.29
GMPPA	743.43	1508.65	703.28	1066.48	1397.83	1427.22	860.08	2090.03	848.22	1030.12	1685.71	1104.13	1001.93	1697.45	928.3	1529.73	1487.87	848.22	1159.07	2018.8	1295.13	1008.9	1662.49	2271.4	1208.34	1340.84	1135.2	1709.26	1369.04	1259.69	1073.91	1991.0	1437.15	1605.83	665.29	651.58	633.73	733.19	633.73	708.18	647.07	353.59	583.07	1001.93	483.38	620.67	753.83	4512.4	728.11
GPR137	1286.18	1151.06	486.75	884.29	947.83	775.05	438.59	981.29	599.49	651.58	947.83	698.41	748.61	967.76	842.36	2119.22	1407.55	890.44	743.43	848.22	825.0	620.67	1059.11	813.63	825.0	1175.27	995.0	813.63	713.11	780.44	612.11	1896.65	1066.48	575.03	447.82	339.14	392.44	595.34	368.65	348.71	395.18	197.09	262.2	587.13	371.22	289.02	435.55	1104.13	454.09
HDLBP	7537.18	8840.04	7485.11	9151.82	8134.41	8191.0	7081.29	15285.81	7749.1	7081.29	12160.22	8078.22	7803.01	12676.65	6294.04	15392.14	15934.98	6561.36	9740.98	10512.82	9025.81	7589.61	9088.59	21468.49	11584.24	9344.14	7433.4	10014.87	12076.21	8538.88	7382.04	14561.8	7130.55	11992.79	6294.04	6294.04	6337.83	6699.25	8598.28	5292.48	4095.0	3690.52	5255.91	5329.3	3820.7	5633.22	5441.3	17317.18	3955.48
HSD17B10	6792.79	6337.83	1508.65	2758.13	3257.52	1733.13	2417.67	2720.15	2319.15	1487.87	2956.17	1745.2	2485.67	3982.99	1923.14	3467.27	3395.89	3103.19	2061.24	4639.29	2485.67	1870.53	5831.91	2104.58	2956.17	2875.3	2537.92	1923.14	2468.49	2287.2	1745.2	5479.15	3303.0	2645.74	1551.09	1295.13	1350.18	1781.89	878.17	890.44	1369.04	1159.07	1709.26	1832.01	1119.56	1662.49	1437.15	5147.73	1015.93
LAMTOR1	5292.48	3395.89	1350.18	3614.55	3103.19	1936.53	2351.53	2997.45	2796.65	2351.53	3540.14	2645.74	3901.01	2178.83	2609.3	4358.66	3419.52	3235.01	2351.53	4639.29	2335.28	2148.82	3515.68	4095.0	2796.65	3349.13	3235.01	2417.67	2319.15	2468.49	2701.35	4481.23	9740.98	2758.13	2240.11	2193.99	1950.0	3081.75	1857.6	2090.03	1605.83	2090.03	1709.26	2075.59	1844.76	2104.58	2193.99	2796.65	2591.27
LSM4	8305.36	4328.55	2287.2	2335.28	2895.31	2319.15	3515.68	2875.3	3103.19	1572.76	4328.55	2133.97	2335.28	4575.41	2335.28	5711.87	2319.15	2520.38	2335.28	4543.8	2104.58	1936.53	3690.52	2351.53	3257.52	3515.68	2485.67	2319.15	2682.69	2796.65	2209.26	4066.71	2997.45	2209.26	1199.98	1295.13	1350.18	1457.23	995.0	1059.11	1167.14	665.29	1709.26	1896.65	1250.98	902.89	1721.16	6652.97	988.12
LSR	12943.04	1923.14	1844.76	3847.29	2434.5	1857.6	1427.22	1709.26	1427.22	1639.59	5517.27	1519.15	2047.0	3190.46	2835.7	4358.66	2701.35	2090.03	2417.67	2816.11	2591.27	1378.57	3146.52	1870.53	3540.14	2255.7	1923.14	2573.36	5403.7	2645.74	2047.0	2485.67	2875.3	4450.27	1001.93	1015.93	1250.98	1037.29	679.29	629.35	1844.76	353.59	679.29	1794.29	802.41	902.89	1388.16	3768.09	629.35
MAP4K2	819.3	381.68	172.65	194.36	303.44	293.07	239.52	417.77	146.03	316.37	305.55	177.53	414.87	241.19	262.2	540.19	518.15	309.83	258.57	466.88	318.57	195.72	441.64	223.41	373.81	470.14	273.37	289.02	318.57	336.79	124.37	454.09	507.46	318.57	246.28	197.09	218.79	251.48	140.04	127.89	231.32	194.36	201.25	318.57	223.41	124.37	158.79	457.25	142.01
MEN1	1044.52	624.99	454.09	376.41	693.58	571.05	688.78	769.69	403.5	493.56	698.41	603.67	612.11	480.04	703.28	981.29	1427.22	669.92	688.78	884.29	796.86	463.65	1183.45	759.08	703.28	819.3	620.67	896.64	521.76	540.19	540.19	1051.79	713.11	599.49	470.14	384.34	384.34	457.25	420.68	275.28	463.65	279.14	194.36	607.87	232.94	327.56	447.82	1051.79	332.14
MID1IP1	1313.23	684.02	463.65	733.19	684.02	642.59	575.03	674.59	808.0	251.48	1183.45	194.36	432.53	878.17	379.04	836.53	420.68	318.57	555.41	387.02	185.11	281.09	1135.2	497.0	429.54	813.63	409.15	651.58	283.05	713.11	441.64	1183.45	836.53	1104.13	255.0	260.38	237.86	295.11	173.85	299.25	325.29	142.01	511.0	332.14	318.57	279.14	236.21	1111.82	128.79
MRPL23	1870.53	3257.52	1286.18	3257.52	2591.27	1378.57	2075.59	3060.45	1457.23	1119.56	2163.77	896.64	2119.22	3491.39	1651.0	4639.29	2796.65	1896.65	1529.73	2720.15	1417.35	1167.14	3419.52	2502.97	2485.67	2319.15	1572.76	1923.14	1340.84	1977.24	1427.22	3235.01	1781.89	1991.0	854.13	684.02	775.05	1066.48	483.38	423.61	713.11	532.74	1143.1	988.12	688.78	384.34	890.44	5831.91	1127.35
MRPL52	3491.39	4639.29	1991.0	1697.45	2976.74	1519.15	1175.27	3081.75	1883.54	2255.7	2997.45	1447.15	2485.67	4388.98	2502.97	2468.49	2875.3	1991.0	2018.8	4937.99	2400.97	1594.73	3467.27	3039.3	1745.2	2573.36	2609.3	2739.08	1674.06	2664.15	2018.8	3742.05	1923.14	2119.22	1437.15	1242.34	1313.23	2047.0	1175.27	988.12	1498.22	1066.48	1977.24	2627.46	1111.82	1167.14	1639.59	5594.3	961.07
MRPS12	5954.47	1151.06	723.08	764.36	902.89	595.34	738.29	785.88	656.11	466.88	1397.83	420.68	718.08	1001.93	878.17	1417.35	961.07	921.88	688.78	1250.98	669.92	376.41	1001.93	660.68	830.75	1127.35	890.44	1088.92	808.0	490.14	660.68	1199.98	2895.31	884.29	356.05	325.29	460.44	444.72	327.56	269.6	279.14	189.02	361.04	392.44	269.6	301.33	490.14	1991.0	215.77
MRPS24	3716.2	3419.52	1936.53	2061.24	2537.92	1259.69	2133.97	3146.52	1819.35	2119.22	2758.13	1733.13	1936.53	2855.44	1639.59	2796.65	1844.76	2537.92	3395.89	2835.7	1806.78	1605.83	3564.78	1963.57	2178.83	2451.44	3540.14	2224.63	2148.82	2537.92	1857.6	6381.92	2271.4	1991.0	1628.26	1583.71	1721.16	1794.29	1936.53	1721.16	1487.87	1519.15	1844.76	1583.71	1104.13	1457.23	1977.24	3325.99	1487.87
MRPS26	2976.74	2061.24	785.88	1286.18	1487.87	780.44	1167.14	2417.67	1037.29	571.05	1781.89	878.17	934.76	1407.55	1242.34	2193.99	1685.71	1477.58	1208.34	2061.24	967.76	629.35	2758.13	1378.57	759.08	1806.78	902.89	1044.52	733.19	1378.57	981.29	2591.27	1286.18	1359.57	629.35	540.19	708.18	660.68	507.46	339.14	503.95	444.72	603.67	802.41	470.14	579.04	723.08	3395.89	387.02
NUBP2	1950.0	1936.53	775.05	1051.79	1437.15	961.07	1135.2	872.1	1135.2	612.11	1583.71	802.41	842.36	1991.0	872.1	2777.33	1268.46	1127.35	1081.39	1651.0	669.92	470.14	2485.67	954.43	995.0	2224.63	1896.65	1233.75	718.08	1388.16	813.63	2271.4	1407.55	1447.15	470.14	406.31	500.46	575.03	297.17	202.66	403.5	248.0	400.71	769.69	341.51	208.38	791.35	2720.15	159.9
NUDT1	1806.78	1111.82	249.73	583.07	454.09	381.68	718.08	1216.75	511.0	423.61	1051.79	202.66	490.14	1794.29	426.57	1617.0	409.15	647.07	1051.79	493.56	293.07	460.44	1369.04	228.13	599.49	854.13	928.3	559.28	854.13	387.02	703.28	1407.55	780.44	620.67	287.01	305.55	234.57	318.57	223.41	173.85	397.93	248.0	518.15	591.22	208.38	253.23	503.95	2032.85	223.41
NUDT22	2224.63	1769.57	490.14	872.1	1088.92	688.78	536.45	988.12	819.3	679.29	981.29	743.43	866.07	743.43	1066.48	2004.85	1963.57	860.08	836.53	2061.24	878.17	607.87	1819.35	1286.18	934.76	1697.45	1001.93	1208.34	813.63	1340.84	808.0	2061.24	934.76	723.08	497.0	400.71	454.09	559.28	214.27	185.11	476.71	204.07	305.55	674.59	392.44	318.57	587.13	2271.4	583.07
PEX16	884.29	1037.29	334.46	961.07	651.58	447.82	457.25	769.69	400.71	358.54	703.28	356.05	441.64	934.76	665.29	1250.98	738.29	1015.93	665.29	988.12	575.03	339.14	947.83	529.06	563.18	934.76	759.08	830.75	400.71	728.11	423.61	1388.16	860.08	1008.9	318.57	285.03	291.04	423.61	169.07	157.68	291.04	211.31	255.0	476.71	309.83	246.28	312.0	842.36	285.03
PIN1	2796.65	2163.77	521.76	1286.18	1487.87	941.27	718.08	1015.93	1268.46	490.14	1259.69	470.14	967.76	2047.0	878.17	2163.77	1313.23	1030.12	988.12	1572.76	780.44	612.11	2701.35	660.68	1397.83	1896.65	1233.75	1674.06	1111.82	1295.13	915.51	1662.49	1498.22	1313.23	384.34	361.04	567.1	660.68	154.42	141.02	493.56	258.57	866.07	791.35	493.56	232.94	848.22	1977.24	575.03
POLR2J	4095.0	2502.97	1551.09	1991.0	1417.35	1540.37	1697.45	1883.54	1594.73	1167.14	3515.68	1832.01	1806.78	1857.6	1769.57	4512.4	1662.49	2047.0	1651.0	3146.52	2018.8	1844.76	4066.71	2915.45	2133.97	2148.82	2209.26	1781.89	1286.18	2682.69	1322.37	6079.61	2303.12	2400.97	1594.73	1417.35	1151.06	1819.35	1199.98	1259.69	1151.06	1104.13	2133.97	2004.85	961.07	1340.84	1295.13	2720.15	698.41
POP7	1909.85	934.76	587.13	748.61	698.41	629.35	738.29	723.08	808.0	381.68	2573.36	583.07	775.05	947.83	890.44	1617.0	1001.93	796.86	733.19	1529.73	669.92	500.46	1529.73	1277.29	866.07	1167.14	961.07	1059.11	764.36	759.08	571.05	2835.7	1081.39	1051.79	486.75	466.88	466.88	543.96	395.18	373.81	500.46	371.22	764.36	624.99	397.93	476.71	775.05	2664.15	267.73
PRDX5	23820.89	8078.22	2701.35	7589.61	6207.38	4450.27	4512.4	6983.79	4358.66	2555.58	14461.21	3303.0	3847.29	5183.54	4152.18	8134.41	5872.48	5872.48	4836.35	9409.14	3768.09	3349.13	7695.57	3081.75	7589.61	6652.97	6164.49	5555.65	3820.7	7695.57	4268.94	12329.98	7537.18	4802.93	3081.75	2875.3	2271.4	3665.02	2004.85	2032.85	3928.15	1857.6	4358.66	5366.37	2609.3	2895.31	4123.49	8658.09	3690.52
PSMC4	10959.3	2956.17	1467.37	2004.85	2178.83	1583.71	1697.45	3124.78	1651.0	1674.06	1709.26	1417.35	1909.85	2520.38	1923.14	2417.67	2287.2	2075.59	1844.76	2591.27	1757.34	1242.34	4010.71	1250.98	2032.85	1936.53	1617.0	1909.85	1733.13	1733.13	1447.15	2104.58	6516.03	2434.5	1127.35	988.12	1143.1	1437.15	638.15	780.44	961.07	718.08	1769.57	1304.15	842.36	1331.57	1277.29	2835.7	1242.34
