	TCGA.E9.A226.01A.21R.A157.07	TCGA.AC.A2QH.01A.11R.A18M.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.AC.A3QQ.01B.06R.A22O.07	GTEX.12WSJ.0826.SM.5PNWV	GTEX.13O61.1226.SM.5KM21	GTEX.R55G.0826.SM.2TC5U	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.VQ.A8PC.01A.11R.A39E.31	TCGA.BR.8682.01A.11R.2402.13	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.VQ.A927.01A.12R.A414.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.8683.01A.11R.2402.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.CG.4460.01A.01R.1157.13	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.VQ.A928.01A.11R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
DDT	954.43	981.29	836.53	698.41	9215.48	3515.68	4095.0	4704.07	1572.76	2520.38	2468.49	2537.92	3146.52	2555.58	4736.79	2351.53	2701.35	1685.71	3874.05	1733.13	4123.49	1111.82	2485.67	1844.76	1407.55	2609.3	2855.44	4512.4	2367.9	4298.64	2032.85	2777.33	5147.73	5872.48	4607.24	4419.52	9474.59	5711.87	5594.3
DRAP1	981.29	738.29	1487.87	1340.84	5555.65	2758.13	1963.57	2255.7	1286.18	1295.13	599.49	1781.89	1594.73	1051.79	3257.52	2255.7	2119.22	1561.89	2319.15	1250.98	2664.15	1508.65	1844.76	848.22	830.75	961.07	1819.35	2303.12	2255.7	2047.0	2335.28	1378.57	1794.29	3515.68	2895.31	2163.77	2485.67	2520.38	4010.71
EIF3K	2351.53	3124.78	2835.7	2758.13	24832.5	6699.25	12764.83	9279.58	4575.41	4268.94	3690.52	6164.49	6337.83	4736.79	9151.82	6887.62	6745.86	6381.92	7966.99	5112.16	17078.76	3325.99	4450.27	5329.3	3257.52	5076.84	4869.99	8598.28	7485.11	11112.3	6652.97	5995.9	8078.22	10659.59	10154.69	7695.57	16843.62	13681.08	15180.22
ELOF1	830.75	567.1	497.0	567.1	2240.11	1540.37	1605.83	1923.14	1233.75	866.07	684.02	825.0	961.07	825.0	2061.24	1286.18	2224.63	1216.75	2148.82	909.17	1662.49	819.3	1001.93	583.07	825.0	974.5	1008.9	1540.37	1508.65	1936.53	1407.55	1388.16	1583.71	2018.8	2209.26	1757.34	1870.53	1963.57	2319.15
FAHD2A	147.06	318.57	189.02	327.56	743.43	599.49	753.83	660.68	366.09	493.56	409.15	307.69	373.81	480.04	503.95	366.09	400.71	215.77	371.22	242.88	733.19	214.27	358.54	395.18	262.2	334.46	323.03	612.11	429.54	647.07	387.02	403.5	693.58	547.75	384.34	514.56	583.07	518.15	595.34
FAU	3928.15	7803.01	10368.08	5672.41	71219.26	24321.43	20737.16	27174.14	9474.59	9344.14	4481.23	9945.68	16269.83	9088.59	19082.0	15285.81	21172.91	20593.91	14561.8	14361.31	17558.94	7081.29	11424.74	13872.08	7433.4	9025.81	9215.48	18560.17	21026.65	20737.16	17558.94	17927.91	18431.96	39237.98	25005.23	29327.18	61571.56	31432.17	44761.41
FKBP2	371.22	423.61	698.41	563.18	4152.18	2417.67	3280.18	3280.18	2777.33	1594.73	1757.34	2915.45	4639.29	3491.39	4903.87	2163.77	4419.52	2255.7	4095.0	1369.04	3982.99	1639.59	3690.52	1883.54	1508.65	3794.3	3018.3	3467.27	4066.71	4010.71	3716.2	3820.7	3690.52	5006.93	7966.99	4972.34	5292.48	6935.54	4639.29
GABARAP	7857.29	7180.15	3716.2	7331.05	42641.37	20593.91	21172.91	26067.14	11189.6	8778.97	10296.45	11112.3	17681.08	12415.75	20170.07	13033.07	15392.14	9540.5	16611.71	12076.21	16960.78	7280.4	9606.86	14971.21	7749.1	11035.54	12160.22	20170.07	20593.91	22072.07	19754.96	21768.19	23009.42	28328.16	29531.18	20310.37	35118.87	31215.04	30999.42
H2AFJ	379.04	54.72	1388.16	389.72	3690.52	2351.53	2400.97	1508.65	1397.83	665.29	830.75	656.11	1457.23	1295.13	2303.12	759.08	1388.16	1143.1	2573.36	435.55	1359.57	607.87	1295.13	860.08	1519.15	409.15	1030.12	1487.87	1697.45	2451.44	2090.03	1487.87	1721.16	2047.0	2537.92	2468.49	3716.2	2816.11	2451.44
HIGD2A	1697.45	684.02	860.08	1417.35	13306.94	5517.27	5183.54	4607.24	2997.45	2485.67	2664.15	3349.13	5006.93	3690.52	8191.0	3589.58	3349.13	3665.02	5329.3	3212.66	4704.07	2061.24	3257.52	2835.7	3039.3	4512.4	4038.61	5403.7	5255.91	6207.38	4358.66	4239.45	4769.75	7081.29	8134.41	5633.22	12076.21	8658.09	7230.1
IMP3	642.59	1001.93	842.36	651.58	1322.37	718.08	1096.5	1551.09	1081.39	830.75	896.64	1175.27	1119.56	954.43	1674.06	1119.56	2209.26	884.29	1143.1	713.11	1277.29	669.92	1447.15	703.28	890.44	381.68	1242.34	1487.87	1551.09	2209.26	1832.01	1508.65	1662.49	2104.58	2255.7	2351.53	3349.13	2148.82	2384.37
LSM3	156.59	221.86	220.32	293.07	718.08	253.23	366.09	341.51	234.57	189.02	180.02	334.46	406.31	291.04	417.77	297.17	381.68	271.48	332.14	309.83	728.11	167.9	332.14	323.03	323.03	239.52	220.32	376.41	339.14	409.15	224.97	356.05	307.69	674.59	490.14	389.72	1015.93	703.28	595.34
NDUFA11	1628.26	3039.3	3146.52	1662.49	29124.6	7331.05	4937.99	7749.1	3395.89	2591.27	2451.44	2835.7	3639.7	2915.45	8191.0	4298.64	5441.3	4239.45	4869.99	2739.08	5479.15	2591.27	2271.4	2224.63	3212.66	3212.66	3146.52	6792.79	6652.97	8598.28	6471.02	5076.84	6294.04	9151.82	9215.48	9088.59	22225.61	13123.73	13776.25
NDUFA13	1242.34	3614.55	4268.94	1388.16	19348.38	5872.48	5594.3	8078.22	3928.15	2701.35	2956.17	3018.3	4802.93	4181.07	6792.79	4010.71	5329.3	4937.99	4450.27	3146.52	4736.79	2400.97	3614.55	4358.66	3212.66	4512.4	4268.94	5441.3	5112.16	6561.36	4704.07	4704.07	5329.3	8078.22	7485.11	7180.15	16960.78	10659.59	9279.58
NDUFA3	1143.1	414.87	884.29	1963.57	14461.21	5076.84	6294.04	6037.61	4123.49	2319.15	3928.15	3124.78	4481.23	4903.87	13492.72	3325.99	6164.49	2047.0	8963.45	1991.0	4937.99	2032.85	3955.48	3280.18	3874.05	3589.58	2537.92	6471.02	5366.37	9606.86	5366.37	5831.91	6337.83	12415.75	11504.21	7280.4	19892.37	18560.17	10959.3
NDUFB7	466.88	1697.45	2451.44	830.75	16269.83	5147.73	4575.41	7433.4	3491.39	2739.08	2240.11	3168.41	4328.55	3443.31	8479.89	4095.0	5791.62	4038.61	8247.98	1963.57	5517.27	2468.49	2956.17	2875.3	2720.15	3614.55	3540.14	5872.48	5791.62	7803.01	5633.22	4972.34	5112.16	8901.53	8191.0	7695.57	19618.49	11745.96	9808.75
NDUFB8	1769.57	2104.58	1870.53	743.43	15180.22	6561.36	7382.04	6516.03	2520.38	3372.43	1709.26	2816.11	4419.52	3168.41	4607.24	3280.18	4481.23	3742.05	3874.05	3212.66	3982.99	1844.76	3665.02	2895.31	2468.49	3146.52	3349.13	4704.07	4481.23	6164.49	4010.71	3955.48	4328.55	5791.62	5183.54	5954.47	10659.59	7130.55	6935.54
NDUFS7	220.32	743.43	1096.5	356.05	6983.79	2133.97	2018.8	3372.43	1950.0	1427.22	1870.53	1191.69	2032.85	2075.59	4481.23	2875.3	2537.92	2193.99	2451.44	703.28	2758.13	954.43	2061.24	1030.12	1806.78	1819.35	1540.37	3372.43	3081.75	4388.98	2835.7	2224.63	3303.0	4010.71	3820.7	3690.52	4210.15	5041.77	4010.71
NOL12	248.0	265.87	271.48	209.84	583.07	348.71	460.44	368.65	258.57	279.14	209.84	389.72	312.0	269.6	753.83	441.64	547.75	297.17	412.0	334.46	435.55	146.03	381.68	246.28	202.66	376.41	297.17	426.57	518.15	674.59	414.87	403.5	371.22	728.11	559.28	679.29	638.15	708.18	713.11
NUDT22	409.15	226.54	579.04	423.61	2224.63	1044.52	884.29	1199.98	791.35	791.35	612.11	728.11	1015.93	1119.56	1977.24	1286.18	2047.0	1175.27	1378.57	728.11	1378.57	854.13	1427.22	656.11	511.0	1407.55	1023.0	1457.23	1447.15	2271.4	1651.0	1295.13	1561.89	2119.22	2163.77	2224.63	2351.53	2303.12	1991.0
OCEL1	497.0	57.49	293.07	616.37	1350.18	540.19	884.29	1268.46	616.37	583.07	414.87	559.28	543.96	909.17	1151.06	551.56	525.39	514.56	665.29	500.46	647.07	395.18	559.28	559.28	314.17	457.25	470.14	988.12	1051.79	1304.15	1427.22	1268.46	909.17	1183.45	1844.76	1044.52	1605.83	1104.13	1208.34
PARVB	323.03	343.89	126.12	106.63	1781.89	543.96	1397.83	669.92	366.09	287.01	182.55	536.45	480.04	447.82	769.69	336.79	748.61	138.1	669.92	283.05	860.08	341.51	332.14	303.44	111.21	334.46	447.82	529.06	540.19	607.87	693.58	412.0	607.87	791.35	651.58	819.3	473.41	733.19	665.29
PGC	0.0	0.0	12.55	0.0	6.46	8046889.67	2511293.86	2729110.67	716197.51	46019.85	400098.69	434801.29	2310861.52	778316.89	1255646.43	2310861.52	2310861.52	3200796.55	1916442.45	1393227.06	1.011504819E7	866.07	1131651.83	1600397.78	805764.22	932018.1	5128124.01	672883.8	1851161.35	1956711.0	2068278.89	5690009.96	2025714.3	2025714.3	2126426.15	851707.37	1634025.56	4885245.74	2654482.97
PIN1	336.79	738.29	842.36	457.25	4010.71	2303.12	1870.53	1769.57	1088.92	1044.52	1001.93	860.08	1191.69	1008.9	1977.24	1313.23	1745.2	1167.14	1378.57	733.19	1447.15	1037.29	941.27	607.87	1073.91	1088.92	1175.27	1662.49	2075.59	1870.53	2047.0	1457.23	1617.0	2591.27	2119.22	2075.59	3280.18	2502.97	3146.52
POLR2F	457.25	830.75	480.04	229.72	6250.56	1963.57	1950.0	1991.0	1250.98	842.36	988.12	1508.65	1508.65	1277.29	2777.33	1487.87	1662.49	1001.93	1628.26	1008.9	1709.26	555.41	1199.98	1096.5	1233.75	1175.27	1191.69	1594.73	1628.26	2061.24	1757.34	1199.98	1498.22	2351.53	2434.5	2485.67	5872.48	2816.11	2555.58
PPP1R7	1030.12	460.44	947.83	796.86	3349.13	1617.0	2209.26	1991.0	1340.84	1199.98	1015.93	1191.69	1540.37	1487.87	1923.14	1104.13	1651.0	1225.22	1295.13	1721.16	1583.71	1143.1	860.08	1059.11	947.83	1159.07	1594.73	1551.09	1923.14	1457.23	1923.14	1870.53	1508.65	2224.63	1883.54	1745.2	1991.0	1991.0	2047.0
PRDX5	2645.74	1936.53	2047.0	1037.29	7589.61	3874.05	14163.58	21026.65	3820.7	2895.31	3168.41	4123.49	3847.29	5183.54	8963.45	4671.57	7911.95	4481.23	4836.35	3280.18	6471.02	2520.38	6745.86	3419.52	2555.58	4736.79	5913.33	5112.16	7280.4	7331.05	9673.69	6745.86	7230.1	8778.97	10959.3	9540.5	20310.37	15824.9	7749.1
RANGRF	248.0	297.17	236.21	239.52	2075.59	1199.98	1127.35	1151.06	476.71	444.72	603.67	493.56	607.87	376.41	830.75	361.04	723.08	387.02	902.89	376.41	733.19	312.0	351.14	698.41	120.1	318.57	500.46	684.02	633.73	854.13	679.29	363.56	579.04	1277.29	878.17	1015.93	1322.37	1037.29	1467.37
RILP	37.32	73.03	38.4	41.22	599.49	417.77	1225.22	1498.22	271.48	241.19	579.04	171.45	409.15	493.56	743.43	384.34	679.29	195.72	490.14	189.02	642.59	239.52	400.71	381.68	138.1	120.94	279.14	802.41	802.41	928.3	764.36	665.29	753.83	624.99	733.19	642.59	748.61	785.88	674.59
RNASEH2C	258.57	525.39	395.18	346.29	3443.31	1819.35	1340.84	872.1	511.0	543.96	444.72	679.29	1030.12	457.25	1662.49	616.37	1044.52	981.29	1477.58	409.15	854.13	387.02	507.46	470.14	267.73	397.93	603.67	1051.79	1037.29	1199.98	1250.98	1037.29	1066.48	2163.77	1844.76	1617.0	4450.27	2133.97	2061.24
RPL36AL	4210.15	1883.54	2502.97	3716.2	12764.83	9215.48	9025.81	8778.97	5751.61	3564.78	4328.55	4575.41	11745.96	7966.99	8901.53	5751.61	9606.86	9945.68	8078.22	9088.59	4607.24	3349.13	3874.05	7911.95	6164.49	4802.93	6121.9	8598.28	9344.14	9540.5	7032.37	8363.13	8305.36	15824.9	13492.72	10585.95	18950.18	13776.25	15607.02
RPS19BP1	612.11	1199.98	802.41	417.77	7966.99	2434.5	1844.76	1819.35	1359.57	1250.98	1001.93	1304.15	1832.01	1388.16	2520.38	1617.0	2777.33	1151.06	1950.0	1304.15	1991.0	674.59	1551.09	1051.79	1183.45	1259.69	1605.83	1781.89	1977.24	2193.99	1781.89	1674.06	1794.29	3081.75	2835.7	2520.38	3614.55	2997.45	2796.65
SLC12A5	0.0	13.83	0.68	19.25	14.35	1.25	14.45	17.0	21.16	12.36	7.34	17.0	24.81	3.66	127.89	17.77	45.85	32.36	35.5	30.56	14.56	6.73	11.3	74.58	12.27	11.64	40.64	39.22	44.25	53.95	48.52	50.98	23.93	115.97	115.16	49.21	159.9	162.14	106.63
SLC9A3R2	1388.16	242.88	1135.2	825.0	4298.64	2701.35	3874.05	5872.48	2367.9	1487.87	1697.45	1977.24	2417.67	2875.3	4328.55	2209.26	3349.13	1883.54	3874.05	1639.59	7642.41	2075.59	1674.06	1950.0	1498.22	2193.99	3018.3	2855.44	5076.84	2502.97	5441.3	3103.19	2104.58	2956.17	4123.49	4152.18	2573.36	4575.41	2609.3
TRPT1	521.76	301.33	688.78	780.44	2591.27	1001.93	595.34	854.13	791.35	791.35	633.73	995.0	1322.37	928.3	1781.89	854.13	1359.57	1259.69	1259.69	1151.06	1268.46	703.28	1322.37	1073.91	476.71	1639.59	1119.56	1015.93	1268.46	1551.09	1477.58	1199.98	1015.93	1662.49	1572.76	1605.83	2720.15	1651.0	1639.59
TXN2	1242.34	587.13	571.05	688.78	4010.71	1551.09	2701.35	1991.0	1081.39	1023.0	934.76	1286.18	1519.15	1487.87	2835.7	1883.54	2591.27	954.43	1388.16	1051.79	2018.8	559.28	1870.53	1008.9	884.29	1477.58	1277.29	2627.46	2224.63	3847.29	2609.3	2417.67	2976.74	3018.3	3018.3	2875.3	4268.94	4095.0	3419.52
UQCR10	1651.0	1617.0	1551.09	1159.07	7966.99	2178.83	6250.56	4869.99	2090.03	1167.14	1883.54	1991.0	3280.18	2956.17	6381.92	2875.3	4704.07	1605.83	2287.2	2451.44	3491.39	915.51	3303.0	2163.77	1757.34	2119.22	2400.97	4607.24	3847.29	6652.97	3639.7	4095.0	4671.57	6516.03	6037.61	6164.49	16496.96	11504.21	5831.91
USE1	248.0	285.03	381.68	258.57	1572.76	769.69	684.02	642.59	503.95	435.55	323.03	454.09	656.11	500.46	890.44	426.57	825.0	450.94	785.88	595.34	1059.11	368.65	511.0	555.41	392.44	368.65	447.82	688.78	842.36	1023.0	713.11	753.83	718.08	1151.06	1167.14	928.3	1794.29	1135.2	1388.16
