	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.ED.A5KG.01A.11R.A27V.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.S7SE.0926.SM.2XCD6	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WVJS.0826.SM.4MVNR	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07	TCGA.85.7710.11A.01R.2125.07
ARHGAP1	1175.27	2061.24	2271.4	2384.37	493.56	981.29	1127.35	1111.82	674.59	728.11	540.19	764.36	802.41	954.43	769.69	1159.07	872.1	819.3	791.35	921.88	583.07	753.83	323.03	575.03	532.74	642.59	334.46	1250.98	896.64	1950.0	1467.37	1111.82	1857.6	1407.55	1709.26	1340.84	1498.22	2061.24	1225.22	1135.2	1225.22	1044.52	1143.1
ARHGAP9	4607.24	791.35	1088.92	343.89	31.22	341.51	187.71	162.14	89.51	70.01	176.29	23.25	43.63	94.01	72.52	2032.85	77.79	59.13	57.49	137.14	161.02	122.64	92.7	555.41	303.44	193.01	97.36	947.83	698.41	2018.8	1781.89	759.08	2417.67	1096.5	802.41	2271.4	915.51	1378.57	2400.97	483.38	1331.57	1059.11	2739.08
ARRDC5	87.65	14.03	12.64	6.31	0.96	2.12	1.79	1.39	0.61	1.66	2.18	0.0	0.53	0.99	0.99	12.64	0.61	0.55	0.0	0.53	0.0	1.03	1.6	3.47	1.2	0.0	0.24	16.03	7.22	11.13	12.93	12.93	20.11	14.67	5.87	68.07	9.78	10.24	12.83	18.16	10.88	13.03	29.06
ASPHD2	75.11	24.99	53.19	31.22	4.98	15.91	5.11	11.64	1.11	9.06	6.06	1.11	2.73	2.97	2.2	62.12	8.0	2.81	3.23	5.11	2.36	8.99	7.34	3.96	3.29	14.24	9.85	31.22	21.78	71.5	75.11	66.65	55.89	32.82	33.78	68.55	43.63	37.85	38.95	29.7	21.16	29.06	67.59
ATG16L2	1733.13	1127.35	551.56	175.07	285.03	444.72	256.78	113.56	144.01	169.07	198.47	56.28	532.74	249.73	144.01	713.11	183.82	152.28	144.01	256.78	327.56	279.14	191.67	309.83	373.81	285.03	241.19	2209.26	267.73	642.59	819.3	718.08	1259.69	1191.69	571.05	1081.39	688.78	878.17	2163.77	620.67	1286.18	693.58	1721.16
C1orf228	1757.34	135.24	54.33	48.87	18.03	255.0	366.09	62.12	46.84	76.17	53.19	205.5	137.14	175.07	18.16	633.73	35.25	15.45	83.45	30.56	170.25	47.84	265.87	327.56	62.12	138.1	120.1	221.86	118.43	76.17	1037.29	191.67	1350.18	738.29	244.57	941.27	157.68	297.17	293.07	191.67	397.93	208.38	529.06
C1orf63	3928.15	1350.18	470.14	136.19	1001.93	1369.04	1407.55	220.32	314.17	511.0	698.41	480.04	1359.57	819.3	454.09	2271.4	540.19	1250.98	693.58	591.22	587.13	336.79	444.72	698.41	473.41	339.14	426.57	3303.0	476.71	753.83	2758.13	1277.29	1572.76	1001.93	819.3	1417.35	684.02	607.87	1233.75	1733.13	1111.82	1709.26	3349.13
CCL4L1	353.59	1313.23	1350.18	854.13	14.45	61.25	17.25	167.9	55.1	40.07	50.27	9.56	15.11	11.55	9.7	493.56	36.01	77.25	28.65	232.94	0.0	201.25	226.54	0.0	66.65	109.66	202.66	271.48	392.44	366.09	293.07	231.32	599.49	728.11	186.4	312.0	212.78	273.37	212.78	314.17	106.63	363.56	70.51
CCL5	9945.68	1322.37	2502.97	1096.5	283.05	540.19	152.28	624.99	295.11	182.55	587.13	24.46	58.71	189.02	107.38	5913.33	115.97	71.0	94.01	103.69	332.14	215.77	1044.52	947.83	209.84	373.81	151.22	1066.48	2004.85	2645.74	14765.09	1242.34	3639.7	921.88	7911.95	16383.0	3639.7	764.36	4575.41	1519.15	603.67	1628.26	1437.15
CD244	95.34	81.71	76.17	18.97	2.34	45.21	6.01	9.48	4.31	7.22	11.73	2.68	1.89	7.51	3.17	69.52	8.65	9.13	2.78	7.88	7.82	43.94	30.78	78.34	46.5	46.5	23.93	65.26	82.29	53.95	218.79	120.1	236.21	74.58	34.02	211.31	69.03	15.8	107.38	33.54	115.16	80.01	92.05
CD274	167.9	105.89	110.43	232.94	14.14	52.45	45.53	44.89	12.74	7.17	9.34	7.57	20.41	12.36	13.52	131.51	19.39	18.84	10.63	5.59	9.85	53.19	18.03	53.57	19.82	38.4	43.63	170.25	532.74	159.9	193.01	116.78	170.25	177.53	142.01	303.44	532.74	77.79	169.07	406.31	197.09	279.14	228.13
CD8A	2573.36	297.17	389.72	239.52	18.03	21.94	11.13	90.77	44.57	17.77	105.89	1.5	9.78	40.36	19.97	1151.06	14.24	14.24	13.12	13.22	17.0	17.38	171.45	156.59	33.78	65.72	76.17	156.59	493.56	152.28	1167.14	269.6	1268.46	258.57	1745.2	1605.83	2485.67	698.41	698.41	688.78	88.26	358.54	507.46
CD8B	1487.87	99.43	198.47	106.63	5.19	12.36	16.15	39.79	15.91	5.19	34.75	0.0	15.34	25.91	10.0	587.13	12.36	4.78	6.84	6.16	12.83	7.4	108.9	59.55	34.75	13.32	23.59	63.89	172.65	41.52	1066.48	178.77	872.1	123.5	1313.23	656.11	373.81	285.03	318.57	97.36	17.13	183.82	269.6
CDC42SE2	2645.74	1015.93	728.11	525.39	518.15	447.82	616.37	368.65	301.33	351.14	353.59	152.28	450.94	351.14	234.57	1551.09	314.17	356.05	503.95	483.38	363.56	301.33	215.77	271.48	187.71	289.02	251.48	559.28	967.76	363.56	1529.73	785.88	607.87	603.67	890.44	2796.65	1304.15	277.2	521.76	1340.84	392.44	802.41	1407.55
CELA1	10.88	8.0	5.82	6.21	0.0	2.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.26	0.0	0.0	0.0	0.0	0.0	3.26	0.0	0.0	0.0	1.08	1.64	0.0	1.46	7.94	4.66	2.01	3.53	2.39	0.0	5.11	2.66	3.0	1.45	1.66	3.72	5.15	4.78
CENPC	400.71	82.87	77.79	10.0	76.17	71.5	40.93	54.33	58.3	47.17	55.49	76.71	90.77	73.03	47.17	239.52	92.7	88.26	25.54	50.63	70.01	63.0	75.64	43.02	87.65	84.63	39.22	164.42	105.15	138.1	299.25	187.71	201.25	128.79	267.73	307.69	212.78	76.17	170.25	220.32	206.94	137.14	234.57
CIITA	1594.73	361.04	567.1	251.48	29.48	171.45	110.43	79.45	34.02	40.07	135.24	14.89	33.54	19.68	19.25	555.41	90.77	24.63	33.06	80.01	46.84	141.02	24.28	116.78	36.27	96.01	36.79	1096.5	426.57	1388.16	2502.97	368.65	2701.35	376.41	1322.37	3060.45	1883.54	2664.15	1745.2	633.73	1369.04	728.11	1487.87
CTLA4	665.29	18.16	43.63	15.91	3.99	27.05	14.56	23.25	6.89	9.93	13.32	0.0	0.43	10.39	3.44	126.12	5.68	5.28	8.65	5.41	4.94	9.13	39.79	39.22	0.75	3.96	0.0	89.51	55.49	30.12	264.03	143.01	17.77	12.93	177.53	934.76	86.43	110.43	38.4	395.18	32.59	78.34	187.71
CXCL9	13123.73	20.86	397.93	19.82	50.27	287.01	48.87	718.08	170.25	181.28	124.37	7.46	232.94	66.65	20.71	3515.68	412.0	68.07	8.51	80.57	23.76	64.34	529.06	128.79	49.56	70.01	37.05	460.44	738.29	1662.49	2417.67	170.25	1059.11	108.9	607.87	11504.21	5672.41	68.55	2075.59	2417.67	463.65	1119.56	348.71
CXXC11	44.89	1.13	3.0	2.63	0.0	0.6	0.0	0.53	0.58	0.0	0.92	0.0	0.0	0.0	0.54	9.48	0.0	0.51	0.43	0.0	0.62	0.25	1.79	2.36	0.0	0.87	0.32	3.53	1.85	0.0	8.51	4.7	4.98	5.82	3.44	9.34	13.42	5.68	4.43	13.32	0.84	3.35	10.88
CXorf65	476.71	12.36	24.63	1.89	3.38	21.16	28.86	9.27	0.0	19.25	10.71	0.0	3.99	6.46	5.19	109.66	0.0	6.11	0.0	2.46	2.51	12.36	0.0	9.48	1.35	5.5	0.0	75.64	4.9	7.06	96.01	9.13	50.98	34.02	7.75	518.15	90.14	11.3	12.18	93.35	8.71	25.35	162.14
CYLD	1417.35	379.04	417.77	191.67	201.25	281.09	180.02	267.73	214.27	100.13	194.36	143.01	127.0	127.89	176.29	854.13	206.94	289.02	113.56	175.07	281.09	121.79	152.28	234.57	215.77	234.57	239.52	426.57	470.14	457.25	791.35	400.71	409.15	318.57	500.46	1191.69	836.53	248.0	457.25	703.28	403.5	571.05	909.17
CYTH1	2739.08	1044.52	1359.57	890.44	974.5	583.07	532.74	660.68	525.39	563.18	518.15	432.53	1030.12	1066.48	563.18	1551.09	947.83	954.43	642.59	896.64	629.35	420.68	775.05	1073.91	395.18	563.18	536.45	2075.59	995.0	1127.35	1977.24	1216.75	1477.58	1909.85	1378.57	2591.27	3257.52	1081.39	1286.18	2777.33	1119.56	1104.13	2485.67
DEF6	2209.26	547.75	718.08	256.78	49.91	226.54	124.37	130.6	73.03	71.5	122.64	9.48	29.91	37.32	48.52	1457.23	39.22	31.67	63.45	55.49	102.97	127.89	70.01	234.57	61.68	92.05	32.59	551.56	329.84	507.46	1225.22	703.28	1208.34	583.07	656.11	2777.33	454.09	536.45	551.56	567.1	376.41	463.65	1397.83
DGKZ	1963.57	679.29	1015.93	684.02	454.09	607.87	587.13	693.58	457.25	493.56	490.14	281.09	480.04	529.06	551.56	1322.37	348.71	389.72	718.08	607.87	358.54	500.46	195.72	371.22	366.09	239.52	265.87	1250.98	603.67	1015.93	1350.18	1023.0	2133.97	1001.93	830.75	2133.97	620.67	769.69	1477.58	660.68	1447.15	915.51	1304.15
DNAH8	6.36	0.37	0.83	0.37	0.0	0.0	0.0	0.0	0.0	0.48	0.4	1.22	0.0	0.77	0.0	6.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.58	0.91	1.48	4.06	3.59	1.04	1.48	2.07	2.29	1.07	0.0	1.01	3.17	1.43	0.55	4.54
DUSP2	1340.84	447.82	395.18	237.86	19.39	59.13	25.54	95.34	16.27	55.1	63.45	1.99	7.0	59.13	10.96	392.44	19.39	11.38	42.41	34.51	223.41	20.56	808.0	376.41	31.45	38.12	30.12	457.25	273.37	253.23	967.76	447.82	299.25	110.43	713.11	3639.7	961.07	277.2	591.22	1081.39	231.32	361.04	363.56
EHBP1L1	1340.84	1088.92	1104.13	612.11	187.71	529.06	723.08	412.0	224.97	358.54	234.57	215.77	473.41	363.56	312.0	995.0	361.04	246.28	348.71	470.14	172.65	486.75	195.72	239.52	285.03	175.07	94.01	1950.0	599.49	1088.92	1066.48	1407.55	2255.7	974.5	1066.48	1721.16	1628.26	1572.76	1369.04	540.19	1508.65	1037.29	1844.76
EID3	120.1	36.27	35.25	13.72	14.45	25.54	83.45	21.94	11.73	2.27	26.1	8.45	14.56	10.63	12.83	117.6	2.58	27.64	38.95	26.28	51.71	8.65	15.45	9.63	10.0	7.69	5.19	38.67	34.75	85.22	79.45	107.38	139.07	40.36	68.55	106.63	108.14	32.13	117.6	63.89	110.43	48.87	78.89
EIF2AK2	334.46	143.01	198.47	44.25	115.97	120.1	171.45	199.85	80.57	186.4	92.7	138.1	76.17	92.05	154.42	616.37	137.14	295.11	85.82	111.99	105.89	144.01	83.45	301.33	107.38	145.02	187.71	209.84	309.83	547.75	406.31	260.38	267.73	231.32	264.03	182.55	299.25	198.47	432.53	167.9	403.5	265.87	343.89
EML3	1477.58	688.78	830.75	723.08	540.19	679.29	728.11	567.1	447.82	412.0	438.59	417.77	1781.89	463.65	915.51	1159.07	536.45	460.44	490.14	551.56	629.35	470.14	392.44	540.19	547.75	409.15	339.14	1427.22	540.19	647.07	1023.0	1369.04	1457.23	1151.06	830.75	2287.2	723.08	1388.16	1233.75	1096.5	1199.98	941.27	1331.57
ERMN	139.07	12.74	8.51	0.39	0.0	6.57	2.07	1.17	0.78	9.85	1.6	0.0	1.11	0.0	2.1	18.29	8.13	0.0	3.79	2.36	4.21	2.92	3.59	5.96	5.77	6.89	0.0	34.26	21.78	15.56	17.25	14.78	19.97	16.39	14.24	147.06	161.02	10.96	1.48	98.73	12.0	31.9	49.91
FAM92B	7.11	2.2	52.82	12.55	0.0	0.0	0.0	0.39	0.0	0.0	0.39	0.0	0.0	0.0	0.4	7.51	0.0	0.0	0.0	0.0	0.0	0.33	2.16	0.79	0.0	1.48	0.0	0.95	56.68	16.39	473.41	52.82	503.95	73.03	100.13	59.55	217.27	229.72	25.17	19.82	190.34	72.52	139.07
FASLG	87.03	20.86	38.95	5.87	4.43	5.36	6.67	10.31	9.13	2.81	11.47	1.35	1.46	3.47	4.62	158.79	5.45	5.41	1.55	3.2	5.11	5.15	18.03	35.76	3.92	5.96	13.93	36.53	47.5	59.97	86.43	32.13	72.52	18.84	27.64	101.54	59.13	8.65	92.7	12.27	23.59	27.25	56.68
FBXW7	536.45	228.13	287.01	78.89	186.4	140.04	185.11	95.34	91.41	95.34	115.16	105.89	67.59	129.69	63.45	281.09	195.72	94.01	84.04	94.01	140.04	190.34	132.44	105.89	108.9	163.28	84.63	258.57	173.85	346.29	476.71	507.46	236.21	136.19	463.65	591.22	376.41	166.73	206.94	507.46	246.28	224.97	371.22
FGD3	1208.34	249.73	309.83	275.28	29.06	84.63	84.04	59.55	34.51	37.05	58.3	9.34	11.47	17.9	29.48	769.69	24.99	17.51	55.1	27.44	98.04	46.84	32.13	171.45	30.56	72.52	16.39	373.81	246.28	426.57	884.29	412.0	848.22	529.06	414.87	1388.16	397.93	543.96	830.75	271.48	607.87	299.25	769.69
FHL5	23.59	14.56	87.03	5.92	5.41	6.06	4.31	2.71	2.56	0.72	1.85	9.78	5.92	10.47	0.0	28.04	10.16	2.61	0.87	1.77	0.39	2.14	1.89	1.75	0.13	2.29	5.5	128.79	93.35	135.24	373.81	269.6	169.07	115.97	218.79	297.17	511.0	46.84	368.65	209.84	183.82	132.44	185.11
FLT3LG	1369.04	299.25	532.74	232.94	293.07	231.32	218.79	255.0	121.79	132.44	205.5	63.45	221.86	159.9	135.24	1073.91	101.54	40.93	71.5	139.07	262.2	68.55	135.24	353.59	141.02	115.97	120.94	269.6	339.14	400.71	1561.89	890.44	753.83	497.0	414.87	1685.71	397.93	267.73	848.22	379.04	543.96	514.56	769.69
FTL	77934.88	1422501.74	1355129.16	1422501.74	757033.75	1123834.93	2111737.85	1327240.99	1452391.55	1393227.06	1055868.42	706337.4	1514068.5	1100706.72	958220.73	155870.75	822695.06	1147449.11	1493223.86	992012.34	2294899.22	1327240.99	1147449.11	1374046.07	1055868.42	1131651.83	2326934.84	998912.34	1204496.53	1336472.68	143430.26	945028.61	614902.29	971597.0	875652.15	193234.41	932018.1	1327240.99	741454.2	1179708.33	762299.34	971597.0	244588.0
GABRR2	13.83	3.79	3.47	1.17	1.75	3.47	1.77	1.17	1.93	2.05	0.0	0.0	1.69	2.41	0.0	9.06	0.0	1.14	2.48	3.41	1.95	1.13	0.37	1.79	4.03	1.71	2.94	17.77	7.28	6.36	22.92	20.56	8.13	3.5	4.13	4.82	2.29	11.21	7.69	3.56	9.27	11.04	30.12
GNG2	1250.98	303.44	336.79	93.35	36.27	90.14	46.18	90.77	34.51	41.52	65.26	22.59	8.71	42.11	31.45	842.36	39.79	47.84	42.11	55.1	41.52	85.22	61.68	136.19	69.03	85.82	56.28	271.48	353.59	476.71	1331.57	575.03	753.83	148.09	647.07	1191.69	819.3	273.37	733.19	178.77	780.44	497.0	796.86
GNLY	974.5	277.2	194.36	91.41	37.05	94.67	325.29	170.25	60.39	142.01	69.03	33.78	61.68	56.28	27.25	1135.2	155.5	96.68	79.45	371.22	303.44	95.34	194.36	212.78	70.51	125.24	61.68	595.34	1096.5	743.43	3614.55	738.29	2148.82	733.19	2163.77	3467.27	1909.85	212.78	921.88	269.6	764.36	1617.0	514.56
GOLGA8A	1757.34	351.14	56.68	8.78	115.16	674.59	651.58	59.97	27.64	88.26	63.45	7.88	64.34	248.0	31.22	902.89	40.64	258.57	28.86	53.95	198.47	144.01	165.57	37.85	53.57	16.51	15.68	1008.9	63.89	73.54	466.88	289.02	429.54	212.78	412.0	2303.12	49.91	1001.93	291.04	503.95	303.44	551.56	1388.16
HLA-DOB	2855.44	122.64	389.72	327.56	39.5	72.52	229.72	80.57	7.4	23.08	28.24	1.31	17.51	9.2	5.5	1044.52	10.47	12.83	7.57	16.39	22.92	3.23	17.51	68.55	9.63	20.26	3.11	211.31	275.28	100.13	1008.9	595.34	162.14	169.07	169.07	3103.19	248.0	224.97	112.77	941.27	728.11	454.09	1268.46
HSH2D	1167.14	106.63	204.07	94.01	11.13	42.11	65.26	136.19	17.64	30.12	175.07	1.48	7.11	11.13	116.78	866.07	11.21	8.51	46.18	7.88	32.82	8.65	74.06	141.02	14.89	21.63	3.17	224.97	217.27	134.3	1519.15	878.17	269.6	255.0	312.0	1572.76	878.17	138.1	466.88	435.55	218.79	180.02	830.75
IFNL1	3.72	1.1	2.1	0.0	0.66	0.0	0.0	0.0	0.0	0.0	1.71	0.0	0.0	0.0	0.0	3.23	0.0	0.0	0.0	0.0	2.12	0.0	0.0	0.0	1.69	0.0	0.0	2.36	0.0	15.45	18.97	4.43	7.4	0.0	0.0	15.68	3.26	4.28	3.69	0.0	0.0	1.89	2.2
IL12RB1	450.94	93.35	198.47	167.9	12.55	57.08	62.12	57.89	32.82	23.08	35.25	3.47	7.06	11.73	11.73	262.2	12.83	14.24	9.2	26.67	19.68	66.65	71.5	42.11	34.51	49.21	12.83	140.04	180.02	400.71	532.74	507.46	713.11	514.56	293.07	1268.46	262.2	255.0	341.51	285.03	231.32	142.01	318.57
IL15	269.6	141.02	115.16	35.0	145.02	84.63	113.56	74.06	48.87	11.47	40.36	21.63	94.67	15.34	29.27	353.59	24.99	12.93	69.03	39.79	24.11	48.52	49.21	13.32	26.28	66.65	25.35	180.02	241.19	61.25	1225.22	204.07	242.88	285.03	125.24	450.94	183.82	92.7	536.45	236.21	223.41	301.33	339.14
IL21R	518.15	29.91	102.25	43.32	1.57	41.22	5.77	34.51	4.17	3.23	5.68	2.2	1.85	2.36	2.01	287.01	4.54	2.92	2.16	3.47	9.63	8.58	11.91	23.93	6.78	16.15	19.25	68.55	71.0	151.22	129.69	47.17	140.04	70.01	57.89	547.75	177.53	38.67	55.89	51.71	54.33	114.36	403.5
IL2RG	10440.2	1216.75	1909.85	934.76	118.43	669.92	1023.0	743.43	201.25	205.5	346.29	25.72	33.78	127.0	85.22	5366.37	156.59	66.65	106.63	248.0	256.78	173.85	258.57	753.83	122.64	318.57	114.36	1119.56	1081.39	842.36	7280.4	1781.89	3794.3	1806.78	2104.58	15180.22	3212.66	1250.98	2895.31	2061.24	1340.84	1216.75	3768.09
INPP5B	438.59	211.31	167.9	99.43	84.04	121.79	128.79	74.58	87.03	58.71	47.84	134.3	177.53	100.13	62.12	264.03	221.86	191.67	95.34	66.18	205.5	170.25	202.66	172.65	181.28	147.06	199.85	480.04	220.32	397.93	595.34	371.22	318.57	595.34	339.14	490.14	277.2	363.56	435.55	567.1	193.01	447.82	693.58
IRAK4	633.73	224.97	147.06	47.5	76.71	159.9	199.85	96.01	67.12	96.01	66.65	108.14	117.6	81.71	108.9	444.72	113.56	170.25	65.26	90.77	95.34	95.34	115.97	99.43	94.01	78.89	99.43	371.22	320.8	271.48	412.0	346.29	384.34	314.17	389.72	521.76	193.01	234.57	152.28	262.2	241.19	353.59	665.29
KIR2DL4	17.9	11.73	2.94	14.24	0.83	0.0	4.24	4.24	3.5	0.0	5.28	0.0	0.42	1.25	1.25	13.03	0.0	1.19	0.68	2.56	5.54	4.7	0.0	1.0	4.9	0.78	0.0	12.64	20.11	5.87	17.9	26.28	3.53	30.78	4.7	14.45	19.97	10.16	9.06	9.27	3.0	26.67	7.17
KIR3DL2	7.88	2.56	7.06	7.28	0.0	0.41	0.0	1.48	0.39	1.81	0.0	0.0	0.32	2.27	0.74	8.99	0.0	3.96	0.27	0.0	1.48	1.39	4.66	4.43	1.53	1.28	0.0	5.45	13.72	1.57	25.91	3.06	13.03	6.16	3.29	16.15	32.82	1.13	21.32	19.39	14.89	20.71	6.01
KIR3DX1	8.32	0.74	0.0	0.0	0.0	0.0	1.41	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99	1.06	1.36	0.0	0.0	0.21	1.46	0.0	0.73	0.0	0.0	0.22	1.07	6.57	2.68	3.69	2.56	1.27	1.31	6.62	2.23	23.08	0.92	7.51	0.55	3.0	5.45	3.23
