	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.145MH.0626.SM.5NQAK	GTEX.13NZ9.0926.SM.5KM12	GTEX.12WSD.0826.SM.5GCNE	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.X4XX.1026.SM.4QARO	GTEX.12WSE.0826.SM.5S2VL	GTEX.111FC.1126.SM.5GZWU	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.U3ZH.0526.SM.3DB75	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.12ZZW.0926.SM.5LZUD	GTEX.ZE7O.0826.SM.57WCP	GTEX.RTLS.0926.SM.2TF5X	GTEX.YJ8O.1826.SM.5HL82	GTEX.ZYVF.1726.SM.5E443	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.11WQK.2926.SM.5EQKT
JAM2	28.65	214.27	236.21	165.57	113.56	88.26	35.0	146.03	24.46	29.27	0.0	0.1	1313.23	2777.33	1447.15	620.67	1923.14	748.61	500.46	1417.35	1721.16	3419.52	2855.44	3665.02	1870.53	1175.27	1008.9	2384.37	2664.15	1322.37	409.15	35.76	180.02	231.32	61.68	64.8	53.95	23.76	68.55	13.72
KANK2	253.23	1733.13	1498.22	1167.14	708.18	638.15	191.67	1350.18	279.14	108.9	854.13	153.34	3190.46	5954.47	7911.95	3212.66	3168.41	4358.66	3589.58	10440.2	7857.29	9279.58	7433.4	9088.59	6935.54	3039.3	10733.74	7749.1	8598.28	9876.98	4671.57	633.73	336.79	256.78	153.34	339.14	267.73	221.86	232.94	234.57
KATNAL1	17.25	84.63	189.02	143.01	55.89	52.45	22.59	66.65	11.91	26.86	56.68	50.98	215.77	173.85	120.94	150.17	157.68	214.27	121.79	226.54	253.23	165.57	226.54	163.28	111.21	111.21	108.14	205.5	204.07	218.79	131.51	71.0	32.59	48.52	32.13	74.58	19.53	35.25	48.87	6.78
KIAA1257	8.58	6.31	23.93	23.08	5.19	6.78	10.71	2.71	10.0	2.89	0.0	0.19	26.1	232.94	51.71	52.08	41.22	60.39	6.62	118.43	246.28	87.65	60.39	21.94	80.01	31.22	34.26	149.12	80.57	41.52	69.52	13.52	31.0	26.47	3.0	5.28	3.29	7.82	3.82	0.0
KIAA1328	62.12	70.01	100.13	102.25	71.0	72.52	61.25	85.22	41.22	40.93	0.0	0.2	153.34	212.78	232.94	279.14	256.78	277.2	75.64	309.83	312.0	392.44	371.22	283.05	346.29	104.42	237.86	332.14	273.37	285.03	166.73	43.32	44.89	80.57	41.52	77.25	62.56	53.95	48.18	31.67
KIDINS220	379.04	460.44	476.71	559.28	547.75	379.04	316.37	420.68	262.2	281.09	205.5	113.56	733.19	733.19	674.59	490.14	819.3	616.37	412.0	1051.79	902.89	1259.69	1119.56	1044.52	1037.29	575.03	563.18	624.99	947.83	1208.34	669.92	253.23	299.25	255.0	318.57	429.54	232.94	287.01	177.53	226.54
KLHDC1	22.1	26.67	31.45	42.41	29.27	9.34	21.78	24.81	13.72	12.45	0.0	0.3	111.99	121.79	114.36	81.71	127.0	142.01	71.0	214.27	162.14	147.06	181.28	237.86	102.25	55.1	143.01	189.02	122.64	186.4	55.1	11.3	43.02	8.06	10.71	18.84	8.85	8.38	10.47	2.81
KLHL33	2.56	3.99	3.32	1.43	0.0	2.43	0.0	2.94	0.87	1.64	0.0	0.0	2.32	20.26	13.42	5.28	6.57	3.53	4.17	22.75	12.55	18.7	23.08	15.56	2.73	5.68	5.45	13.93	11.21	22.26	4.06	3.26	8.13	8.13	6.16	8.13	3.79	0.0	1.81	0.0
KRT4	3.697379928E7	1.810644424E7	2263304.65	6140819.49	2.276004283E7	3359929.59	2654482.97	3.109113511E7	111.21	254974.66	0.0	0.0	2591.27	2502.97	5366.37	2335.28	1561.89	1674.06	224.97	660.68	2682.69	1806.78	2193.99	224.97	1081.39	27.05	98.73	2303.12	170.25	703.28	1073.91	1.236706555E7	2053992.24	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	9151.82
LIMCH1	1322.37	234.57	103.69	209.84	214.27	150.17	117.6	334.46	69.52	161.02	0.0	0.57	2935.74	2816.11	3168.41	4038.61	2777.33	5831.91	921.88	17558.94	19348.38	30785.28	15499.21	4704.07	8363.13	1572.76	12244.81	5913.33	8305.36	10154.69	3639.7	127.0	420.68	97.36	96.68	314.17	67.59	220.32	26.1	2502.97
LMAN2L	170.25	281.09	236.21	295.11	262.2	279.14	303.44	248.0	167.9	115.97	0.0	0.28	629.35	718.08	503.95	327.56	540.19	351.14	651.58	656.11	713.11	612.11	688.78	651.58	395.18	379.04	497.0	884.29	633.73	693.58	532.74	211.31	201.25	113.56	229.72	295.11	118.43	218.79	113.56	105.15
LMBRD1	1073.91	567.1	612.11	587.13	660.68	429.54	423.61	775.05	633.73	432.53	775.05	176.29	1277.29	2075.59	1340.84	1030.12	1745.2	1857.6	1119.56	2537.92	3372.43	4010.71	2777.33	2018.8	1870.53	1143.1	1909.85	2193.99	2287.2	2240.11	1397.83	1135.2	974.5	591.22	624.99	909.17	813.63	941.27	1044.52	514.56
LOH12CR2	1.38	8.19	6.84	13.83	5.54	11.47	4.17	0.48	3.41	1.01	0.0	0.0	21.32	48.87	41.22	25.17	22.1	37.85	8.65	90.14	77.79	66.65	81.14	31.67	26.47	17.9	42.71	106.63	53.19	67.12	27.64	5.92	6.73	1.81	2.97	4.9	4.7	5.41	0.83	0.45
LRP5	130.6	753.83	1008.9	583.07	466.88	738.29	791.35	423.61	334.46	444.72	0.0	0.61	1397.83	2209.26	1096.5	808.0	1923.14	1819.35	497.0	1923.14	1111.82	902.89	1963.57	1088.92	1733.13	511.0	1407.55	3325.99	1322.37	1639.59	1167.14	127.0	733.19	209.84	346.29	559.28	236.21	389.72	211.31	379.04
LRRC3	19.82	39.5	56.28	25.35	23.42	24.63	12.93	16.03	32.82	28.65	0.0	0.21	137.14	89.51	85.82	37.59	70.51	49.56	29.7	85.82	58.71	62.56	77.79	84.63	75.64	17.9	62.56	111.21	74.06	85.22	20.86	12.36	17.13	13.03	33.3	15.56	14.14	8.45	6.31	12.36
LRRC3DN	17.64	44.89	78.34	27.84	25.35	34.51	15.11	19.25	66.65	30.56	0.0	0.27	297.17	115.16	96.68	55.89	52.82	101.54	42.11	53.95	27.44	55.89	146.03	113.56	102.25	13.72	78.89	241.19	105.15	55.49	35.0	13.93	14.24	11.91	28.45	18.84	8.58	11.38	14.67	10.47
LTBP3	262.2	1551.09	1167.14	2777.33	941.27	780.44	1135.2	1191.69	221.86	392.44	0.0	0.82	3212.66	4607.24	4066.71	2468.49	3039.3	4450.27	1844.76	6164.49	3124.78	3847.29	3665.02	3235.01	5292.48	2240.11	3124.78	5219.6	2777.33	6840.04	2104.58	63.89	884.29	353.59	493.56	599.49	454.09	236.21	208.38	555.41
MAP10	7.06	9.41	23.42	13.62	10.71	9.78	11.73	7.69	0.59	2.76	0.0	0.0	12.93	32.59	30.56	10.96	26.28	5.73	8.13	13.83	27.25	60.39	28.04	24.81	30.12	9.27	22.92	31.22	11.38	35.5	6.57	17.38	17.9	0.24	0.04	20.71	3.89	5.82	2.32	2.86
MROH8	13.52	21.63	23.76	14.78	18.29	15.22	14.03	22.1	2.92	14.67	0.0	0.17	66.18	60.82	89.51	42.71	63.45	50.27	36.53	82.87	32.59	105.15	84.04	20.11	59.55	25.54	55.89	68.55	77.79	82.29	77.25	29.48	36.53	9.7	32.36	92.7	7.63	7.88	21.94	10.79
MTERFD3	71.5	100.83	204.07	136.19	72.52	100.83	223.41	82.87	63.0	64.8	152.28	135.24	293.07	381.68	381.68	397.93	343.89	470.14	256.78	463.65	476.71	351.14	660.68	796.86	679.29	180.02	476.71	591.22	373.81	387.02	353.59	57.49	199.85	27.25	61.68	108.9	82.29	77.25	65.26	69.52
MYH7B	4.66	27.25	32.82	17.51	21.16	28.86	16.51	10.79	1.43	1.38	0.0	0.39	38.4	84.63	24.99	10.55	15.11	38.95	20.86	57.89	62.12	34.02	81.14	46.5	42.71	9.34	14.45	94.67	34.51	63.89	26.67	2.94	15.11	18.56	20.11	14.45	2.94	14.56	9.7	4.7
NEIL1	167.9	460.44	713.11	450.94	414.87	493.56	500.46	571.05	72.01	63.45	0.0	1.1	1304.15	1685.71	1088.92	780.44	796.86	1639.59	392.44	1059.11	947.83	575.03	563.18	884.29	665.29	395.18	738.29	1909.85	1183.45	753.83	587.13	6.52	212.78	22.26	49.21	124.37	64.8	53.19	29.7	27.44
NFATC3	115.16	256.78	301.33	373.81	204.07	231.32	356.05	267.73	96.68	189.02	0.0	0.33	447.82	438.59	579.04	376.41	660.68	181.28	423.61	571.05	507.46	493.56	532.74	493.56	246.28	397.93	400.71	728.11	381.68	423.61	253.23	242.88	432.53	197.09	271.48	221.86	177.53	204.07	204.07	185.11
NINJ2	212.78	351.14	226.54	358.54	214.27	157.68	218.79	242.88	33.06	60.82	0.0	0.21	1191.69	2451.44	1697.45	579.04	878.17	392.44	921.88	480.04	1923.14	6471.02	2018.8	842.36	279.14	264.03	521.76	1806.78	1199.98	665.29	239.52	616.37	148.09	31.67	33.06	143.01	124.37	299.25	260.38	3.96
NME3	571.05	1159.07	1233.75	1437.15	1023.0	1388.16	1936.53	1159.07	743.43	753.83	0.0	0.99	3639.7	3018.3	3168.41	1015.93	2047.0	4123.49	1437.15	2855.44	1870.53	1322.37	1883.54	2555.58	2018.8	1457.23	2664.15	4010.71	961.07	2935.74	2090.03	339.14	1008.9	343.89	693.58	521.76	454.09	521.76	470.14	343.89
NMT2	63.89	175.07	228.13	236.21	154.42	143.01	159.9	151.22	191.67	120.94	165.57	136.19	334.46	295.11	295.11	291.04	426.57	180.02	246.28	358.54	241.19	400.71	299.25	473.41	251.48	161.02	417.77	483.38	199.85	353.59	253.23	164.42	155.5	137.14	131.51	105.89	107.38	89.51	110.43	74.06
NMUR1	3.66	23.42	13.12	4.78	9.56	4.5	1.35	14.56	0.52	0.0	0.0	0.04	56.28	336.79	154.42	154.42	190.34	30.78	36.79	206.94	198.47	332.14	205.5	127.89	78.34	56.28	98.73	212.78	154.42	204.07	23.25	0.04	3.69	0.69	1.93	0.75	1.5	0.0	0.0	0.92
NPNT	202.66	435.55	532.74	1127.35	316.37	555.41	967.76	242.88	312.0	463.65	878.17	629.35	4419.52	2061.24	6426.31	4239.45	2855.44	4268.94	1059.11	12853.63	10808.41	10014.87	11992.79	11035.54	7911.95	836.53	6792.79	7382.04	7537.18	7803.01	1923.14	78.34	158.79	796.86	698.41	232.94	473.41	186.4	215.77	178.77
NR3C2	2.32	16.63	59.55	15.22	8.78	21.63	8.19	35.0	0.68	5.96	0.0	0.23	387.02	555.41	327.56	163.28	195.72	124.37	89.51	669.92	1135.2	2417.67	848.22	603.67	381.68	287.01	432.53	486.75	490.14	473.41	102.25	5.54	57.89	10.0	6.52	27.84	6.73	24.63	1.48	21.01
NSUN6	166.73	100.13	120.1	144.01	92.7	111.99	105.89	88.88	85.82	100.83	0.0	0.29	156.59	204.07	183.82	94.01	155.5	205.5	159.9	231.32	215.77	190.34	162.14	231.32	145.02	124.37	148.09	323.03	159.9	180.02	140.04	52.45	131.51	70.51	113.56	91.41	49.56	82.87	55.49	32.13
NUMA1	3349.13	4328.55	3742.05	3639.7	4298.64	3955.48	2895.31	5076.84	2855.44	1819.35	0.0	0.95	5633.22	5255.91	6426.31	2997.45	5555.65	5441.3	2468.49	6250.56	5219.6	5366.37	7331.05	9409.14	6561.36	3060.45	6121.9	7589.61	4639.29	6516.03	3690.52	830.75	2047.0	1697.45	1331.57	2777.33	2255.7	2004.85	1674.06	603.67
NXNL2	0.95	7.63	3.44	37.05	0.0	16.39	8.51	8.0	0.0	1.46	0.0	0.06	19.97	36.53	24.63	3.38	17.9	14.03	18.7	8.51	18.43	18.84	23.93	9.13	10.79	9.41	39.22	45.53	14.67	39.22	6.01	0.0	2.51	0.22	2.36	1.71	1.95	0.56	0.0	0.0
NXPH3	7.63	70.01	46.18	46.5	24.81	7.46	5.11	44.57	0.0	1.11	0.0	0.03	403.5	500.46	384.34	190.34	366.09	356.05	175.07	466.88	454.09	559.28	536.45	305.55	299.25	312.0	232.94	647.07	447.82	1304.15	115.16	4.54	23.42	21.32	6.11	17.13	40.64	7.94	1.79	40.64
OCEL1	503.95	267.73	660.68	265.87	293.07	493.56	454.09	232.94	189.02	165.57	0.0	0.43	896.64	2609.3	2351.53	665.29	1427.22	1225.22	921.88	1572.76	1832.01	941.27	1037.29	1605.83	1561.89	656.11	1350.18	2468.49	866.07	915.51	1286.18	258.57	599.49	136.19	295.11	218.79	269.6	293.07	217.27	301.33
OLFML2A	334.46	387.02	217.27	483.38	256.78	346.29	241.19	297.17	98.04	108.9	0.0	0.05	106.63	825.0	738.29	454.09	376.41	583.07	130.6	947.83	1437.15	1745.2	743.43	460.44	1073.91	83.45	599.49	842.36	1268.46	1015.93	854.13	202.66	301.33	723.08	127.0	137.14	341.51	166.73	135.24	15.8
ORC4	665.29	500.46	532.74	660.68	500.46	435.55	633.73	447.82	384.34	470.14	0.0	0.41	1151.06	583.07	1023.0	547.75	679.29	571.05	536.45	1001.93	1088.92	1051.79	947.83	860.08	571.05	669.92	591.22	753.83	785.88	921.88	872.1	423.61	638.15	473.41	567.1	555.41	679.29	450.94	587.13	460.44
PARD3B	12.55	40.36	64.34	34.26	19.25	25.91	25.17	31.67	11.91	28.04	0.0	0.31	202.66	409.15	221.86	158.79	366.09	239.52	138.1	392.44	503.95	718.08	444.72	172.65	264.03	150.17	318.57	339.14	307.69	387.02	123.5	54.72	67.12	58.3	19.39	64.8	18.03	22.75	31.45	0.91
PCDHA3	0.0	3.82	0.89	0.31	1.14	0.0	0.27	1.69	0.0	0.91	0.0	0.1	71.5	57.08	11.13	15.91	27.64	28.24	11.04	50.63	85.82	70.51	59.55	26.86	27.25	19.39	24.46	54.33	44.57	33.06	15.68	0.88	1.0	0.0	1.46	2.68	1.75	0.25	1.71	1.25
PDE2A	46.5	293.07	175.07	206.94	111.21	135.24	40.93	262.2	28.45	52.82	0.0	0.4	775.05	981.29	420.68	241.19	660.68	830.75	571.05	197.09	228.13	470.14	703.28	559.28	743.43	242.88	723.08	775.05	540.19	389.72	305.55	46.18	45.53	165.57	123.5	115.16	18.97	73.54	111.99	59.13
PDZD2	1135.2	165.57	83.45	309.83	339.14	244.57	131.51	454.09	73.03	72.01	0.0	0.3	246.28	507.46	1369.04	194.36	361.04	684.02	265.87	1250.98	1498.22	2468.49	1437.15	1651.0	595.34	237.86	825.0	791.35	1059.11	616.37	267.73	351.14	164.42	718.08	112.77	220.32	202.66	194.36	318.57	73.03
PEX11A	120.94	150.17	206.94	109.66	169.07	231.32	125.24	169.07	108.14	46.5	0.0	0.0	161.02	237.86	147.06	114.36	142.01	194.36	159.9	190.34	223.41	287.01	220.32	285.03	127.0	153.34	273.37	379.04	226.54	170.25	143.01	134.3	62.56	141.02	95.34	183.82	134.3	119.26	84.04	134.3
PHYHIPL	1.55	5.32	3.92	8.99	7.88	3.59	2.73	2.68	2.66	2.03	0.0	0.21	23.25	18.84	16.88	4.5	14.89	32.36	1.62	19.82	18.84	6.94	8.78	21.32	8.65	1.66	15.22	25.72	12.83	96.01	16.39	0.0	8.65	0.0	0.61	0.0	0.0	0.91	0.95	0.0
PIGZ	169.07	122.64	125.24	98.04	144.01	112.77	164.42	127.89	7.94	45.85	0.0	0.43	307.69	271.48	281.09	157.68	129.69	221.86	72.01	146.03	113.56	214.27	334.46	463.65	320.8	59.97	153.34	414.87	267.73	123.5	165.57	22.1	117.6	32.82	12.18	42.41	92.7	41.81	57.08	31.67
PLA2G5	0.89	273.37	111.21	153.34	171.45	14.14	27.44	139.07	6.52	0.0	0.0	0.28	423.61	532.74	366.09	486.75	108.9	303.44	215.77	1081.39	587.13	221.86	389.72	299.25	176.29	132.44	309.83	265.87	273.37	981.29	361.04	28.04	15.34	1.48	37.32	5.23	2.89	8.58	0.84	0.0
PLD6	29.06	80.57	50.63	69.03	14.45	18.43	175.07	6.78	14.24	21.94	0.0	0.25	279.14	119.26	118.43	68.07	81.71	46.18	67.59	133.36	157.68	79.45	116.78	209.84	55.1	59.13	74.58	157.68	76.17	117.6	140.04	10.55	90.14	12.55	12.45	17.51	23.76	16.63	7.34	12.93
PMF1-BGLAP	118.43	122.64	136.19	102.97	108.14	99.43	199.85	186.4	49.91	159.9	0.0	0.14	256.78	229.72	212.78	115.16	149.12	122.64	204.07	165.57	244.57	158.79	217.27	157.68	98.73	84.63	147.06	271.48	115.97	262.2	190.34	103.69	130.6	95.34	155.5	172.65	128.79	50.98	100.83	74.58
PNMAL1	6.52	29.06	10.08	85.22	5.36	2.46	1.23	0.0	2.23	1.14	0.0	0.16	191.67	295.11	22.1	161.02	55.89	105.89	246.28	348.71	305.55	64.34	44.57	32.59	299.25	41.22	246.28	232.94	131.51	1651.0	262.2	3.86	58.71	0.0	53.57	17.51	7.0	0.95	0.0	2.76
POGZ	414.87	813.63	947.83	802.41	819.3	723.08	748.61	656.11	297.17	249.73	366.09	226.54	988.12	1096.5	1216.75	842.36	1044.52	748.61	684.02	1697.45	1437.15	866.07	1977.24	2061.24	1037.29	579.04	587.13	1331.57	1023.0	1350.18	759.08	80.01	339.14	209.84	164.42	267.73	191.67	214.27	85.82	186.4
PRIMPOL	253.23	214.27	351.14	299.25	293.07	323.03	325.29	231.32	84.04	83.45	0.0	0.0	373.81	432.53	457.25	329.84	348.71	269.6	373.81	414.87	309.83	334.46	521.76	500.46	220.32	193.01	329.84	620.67	295.11	466.88	392.44	182.55	129.69	109.66	147.06	98.04	121.79	133.36	122.64	29.06
PRRG3	25.91	7.22	3.26	4.9	7.63	2.58	10.0	13.32	0.0	2.07	0.0	0.0	50.27	55.1	18.97	17.51	39.5	130.6	15.56	96.01	32.82	64.34	40.64	49.56	49.56	3.06	33.3	93.35	37.85	96.68	13.62	2.07	39.22	24.99	10.31	2.41	7.0	6.06	2.34	5.41
PRRT1	81.71	194.36	172.65	125.24	171.45	93.35	165.57	218.79	21.94	37.59	0.0	0.53	303.44	476.71	273.37	40.36	70.51	248.0	107.38	325.29	490.14	104.42	157.68	327.56	329.84	130.6	187.71	325.29	177.53	343.89	90.14	30.12	60.39	101.54	92.7	51.35	59.55	42.11	71.5	26.1
PRSS12	1216.75	70.01	88.26	98.04	42.11	142.01	29.7	18.97	76.71	91.41	0.0	0.13	346.29	3039.3	414.87	1119.56	1304.15	1709.26	262.2	1883.54	2739.08	1350.18	981.29	759.08	1304.15	426.57	896.64	2645.74	1295.13	1529.73	1397.83	82.29	88.26	454.09	500.46	223.41	303.44	176.29	244.57	55.49
PRTFDC1	5.82	46.84	189.02	107.38	20.26	47.5	16.75	16.63	15.56	41.22	0.0	0.25	169.07	195.72	165.57	119.26	165.57	228.13	98.73	293.07	255.0	281.09	211.31	204.07	167.9	39.5	113.56	255.0	66.65	320.8	69.52	127.0	57.89	68.55	35.25	32.59	32.59	39.79	7.82	12.45
PYROXD2	75.11	71.0	170.25	96.01	47.84	40.07	62.56	59.97	12.74	20.11	0.0	0.57	1225.22	688.78	420.68	293.07	327.56	423.61	387.02	674.59	336.79	329.84	575.03	616.37	423.61	152.28	307.69	669.92	358.54	454.09	466.88	2.58	51.71	25.72	33.06	51.35	16.15	38.4	6.84	10.31
RAB33B	90.14	73.54	64.8	79.45	66.18	54.72	57.49	52.82	65.72	50.98	102.97	490.14	204.07	173.85	182.55	186.4	221.86	181.28	162.14	325.29	303.44	152.28	339.14	191.67	187.71	121.79	147.06	297.17	120.1	194.36	220.32	86.43	45.53	37.85	37.32	115.97	62.56	41.22	53.19	62.12
RAVER2	177.53	183.82	356.05	199.85	181.28	129.69	165.57	176.29	75.64	116.78	0.0	0.24	400.71	536.45	447.82	351.14	277.2	221.86	142.01	575.03	426.57	651.58	656.11	607.87	260.38	172.65	470.14	363.56	417.77	669.92	202.66	61.68	195.72	89.51	65.26	152.28	61.68	124.37	81.14	75.64
RDX	406.31	500.46	403.5	587.13	559.28	426.57	420.68	540.19	624.99	493.56	583.07	1467.37	1331.57	2178.83	3372.43	1331.57	1757.34	1508.65	1781.89	1819.35	2047.0	4066.71	2976.74	2193.99	1350.18	1175.27	1769.57	2178.83	1487.87	1628.26	791.35	813.63	836.53	624.99	381.68	669.92	543.96	480.04	551.56	1088.92
RGS11	24.63	130.6	51.71	122.64	187.71	75.64	9.7	176.29	4.54	17.0	0.0	0.83	248.0	255.0	217.27	237.86	220.32	314.17	166.73	316.37	532.74	223.41	460.44	178.77	381.68	68.55	79.45	423.61	211.31	497.0	209.84	10.55	37.85	36.79	87.65	24.63	12.83	7.63	12.09	12.55
RNF150	0.0	57.08	37.32	47.84	24.81	4.98	25.54	62.12	1.14	34.51	0.0	0.26	55.89	50.98	53.19	87.65	84.63	45.21	34.51	65.72	112.77	143.01	90.14	161.02	84.63	38.12	39.22	129.69	58.3	249.73	32.36	2.51	22.75	11.91	41.52	57.08	14.24	12.45	8.19	8.51
RNF180	0.09	19.39	7.57	24.81	14.35	4.58	10.63	44.25	3.14	12.18	0.0	0.26	80.57	90.77	167.9	126.12	218.79	48.52	99.43	400.71	197.09	718.08	204.07	182.55	115.16	85.22	123.5	198.47	181.28	381.68	27.44	19.25	51.71	11.38	3.63	21.63	4.7	13.83	4.9	11.73
RP11-795F19.5	0.0	13.32	35.76	34.51	8.85	7.63	15.0	25.17	0.64	4.21	0.0	0.31	28.24	31.22	13.83	12.27	13.72	22.1	26.47	18.43	41.52	26.28	74.06	49.21	9.78	5.5	22.59	34.51	10.31	38.4	38.95	0.0	10.31	4.06	5.15	1.73	0.21	0.87	3.03	5.41
RSPO2	3.29	32.59	20.86	28.45	6.31	1.69	8.65	59.13	0.0	0.0	0.0	0.12	205.5	212.78	514.56	444.72	432.53	299.25	59.13	1709.26	1088.92	836.53	1857.6	2875.3	503.95	49.56	830.75	559.28	281.09	500.46	239.52	0.0	1.57	0.83	5.54	0.0	0.0	13.42	0.0	0.0
RTKN2	289.02	346.29	255.0	728.11	299.25	743.43	150.17	1104.13	69.52	80.57	0.0	0.0	182.55	2178.83	6607.01	2004.85	2148.82	1313.23	389.72	2148.82	4836.35	8538.88	6561.36	5555.65	915.51	426.57	2915.45	7537.18	1806.78	1909.85	616.37	536.45	99.43	961.07	275.28	483.38	599.49	476.71	607.87	22.1
SCD5	231.32	52.82	89.51	133.36	46.5	33.06	41.52	62.56	76.71	44.25	0.0	0.26	493.56	1572.76	1191.69	688.78	921.88	1081.39	414.87	426.57	638.15	1427.22	2255.7	660.68	1498.22	120.1	703.28	2701.35	314.17	447.82	277.2	119.26	133.36	55.49	67.59	144.01	72.01	51.35	64.8	114.36
SERHL2	53.19	48.87	27.05	40.07	46.5	50.98	52.08	52.08	8.71	28.24	0.0	0.28	212.78	126.12	105.15	57.89	72.01	58.71	64.8	170.25	127.89	94.01	171.45	110.43	113.56	33.78	103.69	122.64	158.79	173.85	45.53	15.8	70.51	26.86	28.86	59.97	31.67	49.21	9.85	83.45
SERPINI1	123.5	47.84	42.41	65.26	34.75	26.28	53.95	23.93	12.45	33.06	0.0	0.31	239.52	329.84	348.71	121.79	633.73	660.68	151.22	348.71	409.15	543.96	848.22	447.82	551.56	48.18	65.26	693.58	173.85	1268.46	100.13	53.57	126.12	77.25	70.51	37.05	17.0	13.52	48.87	6.01
SHISA2	0.0	2.1	3.26	7.06	1.5	25.72	3.11	1.04	3.59	5.96	26.67	88.88	38.4	191.67	83.45	23.08	12.36	43.94	42.41	241.19	150.17	208.38	172.65	368.65	25.54	5.41	145.02	237.86	61.68	73.03	42.41	14.24	44.89	12.93	17.9	10.47	5.54	1.77	19.11	15.22
SLC27A1	171.45	215.77	228.13	187.71	180.02	151.22	241.19	186.4	46.84	102.25	223.41	665.29	607.87	1111.82	860.08	406.31	665.29	490.14	387.02	808.0	599.49	435.55	967.76	928.3	507.46	307.69	536.45	1340.84	476.71	733.19	511.0	50.27	346.29	63.89	130.6	194.36	115.16	96.68	61.68	158.79
SP4	13.72	23.25	55.89	41.22	12.64	15.8	22.92	14.67	8.58	15.56	0.0	0.15	90.14	102.97	143.01	78.89	181.28	45.85	85.22	176.29	170.25	194.36	189.02	163.28	66.65	68.07	101.54	140.04	127.89	120.94	76.71	16.63	19.97	8.58	14.89	29.7	15.22	18.03	30.56	17.77
SPATA6	26.1	52.82	93.35	63.0	41.81	49.56	25.54	63.89	5.19	22.75	0.0	0.37	392.44	748.61	221.86	255.0	339.14	395.18	170.25	540.19	493.56	299.25	358.54	447.82	591.22	256.78	403.5	660.68	547.75	409.15	466.88	22.75	80.01	52.08	16.15	37.32	11.04	10.63	28.45	36.01
SSBP2	361.04	902.89	642.59	921.88	802.41	656.11	738.29	1225.22	191.67	480.04	0.0	0.68	2591.27	1191.69	1259.69	607.87	1259.69	1151.06	638.15	1304.15	1794.29	1397.83	1359.57	1950.0	1233.75	470.14	860.08	1936.53	1023.0	1605.83	1001.93	656.11	476.71	368.65	679.29	830.75	476.71	417.77	470.14	141.02
ST8SIA6	47.84	8.65	7.88	12.93	23.59	13.32	7.4	24.46	11.91	4.62	0.0	0.0	159.9	638.15	79.45	50.98	397.93	130.6	52.82	218.79	361.04	579.04	884.29	432.53	320.8	131.51	57.08	256.78	412.0	189.02	15.34	9.27	33.3	7.69	7.94	6.67	0.87	14.14	0.0	8.25
STAB2	0.46	15.45	11.64	6.73	5.36	5.19	28.65	7.22	0.0	1.93	0.0	0.0	17.13	34.51	63.45	39.5	45.21	43.32	10.79	38.95	6.52	68.55	19.39	72.52	52.45	12.09	23.08	83.45	16.15	37.32	14.67	0.02	1.81	4.58	0.13	7.94	6.31	0.92	0.0	9.34
SULT1A2	10.0	9.7	41.81	1.99	0.0	3.08	7.57	2.01	2.58	0.0	0.0	0.27	80.57	842.36	1388.16	307.69	262.2	283.05	60.39	2335.28	713.11	3467.27	1388.16	92.7	232.94	49.56	72.01	1199.98	297.17	1037.29	158.79	7.0	25.54	5.54	10.0	16.15	6.16	9.41	7.63	5.73
SWT1	36.01	29.7	34.51	39.5	36.01	30.34	30.34	33.78	34.02	21.63	0.0	0.2	100.83	113.56	120.1	61.68	102.25	64.8	64.34	94.67	107.38	135.24	125.24	115.97	72.01	41.22	75.64	117.6	98.73	107.38	67.59	36.53	37.32	21.47	15.91	28.24	19.53	26.67	30.78	23.59
SYDE2	2.34	26.1	27.44	28.24	8.06	12.27	18.97	13.93	0.0	18.56	0.0	0.01	74.06	73.54	173.85	36.79	102.25	58.71	42.11	392.44	177.53	406.31	208.38	143.01	114.36	29.48	121.79	106.63	89.51	126.12	98.73	7.4	19.25	4.06	1.79	13.83	7.46	13.83	1.97	5.5
