	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.FY.A2QD.01A.11R.A19O.07	TCGA.DJ.A4V0.01A.11R.A250.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.EL.A3ZK.11A.11R.A23N.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.EM.A1CV.11A.11R.A13Y.07	TCGA.BJ.A2N9.11A.11R.A18C.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
BST2	3419.52	253.23	3168.41	2777.33	2485.67	4328.55	2417.67	3564.78	2682.69	2537.92	559.28	2777.33	2434.5	1498.22	426.57	4239.45	941.27	2090.03	854.13	698.41	1397.83	185.11	356.05	624.99	1104.13	420.68	698.41	1977.24	665.29	1909.85	1639.59	2163.77	2682.69	1870.53	591.22	733.19	808.0	457.25	1583.71	356.05	660.68	320.8	314.17	748.61	713.11	249.73	665.29	323.03	1674.06	381.68	575.03	518.15	1037.29	708.18
BTN2A2	327.56	101.54	339.14	420.68	295.11	483.38	403.5	651.58	361.04	258.57	82.87	336.79	444.72	307.69	116.78	432.53	275.28	490.14	164.42	178.77	198.47	158.79	232.94	152.28	137.14	159.9	149.12	232.94	194.36	264.03	532.74	197.09	265.87	155.5	154.42	107.38	126.12	166.73	289.02	123.5	166.73	176.29	143.01	217.27	164.42	135.24	150.17	197.09	193.01	138.1	132.44	244.57	190.34	149.12
CARD11	111.21	2.73	118.43	214.27	132.44	255.0	91.41	329.84	127.0	116.78	5.73	183.82	147.06	108.14	6.36	163.28	63.45	1051.79	21.01	27.25	18.29	15.34	3.92	3.96	36.27	7.82	20.71	76.71	15.34	94.67	693.58	43.02	80.57	117.6	37.32	14.78	3.38	20.71	57.89	2.32	15.45	34.51	3.99	30.56	45.85	1.43	4.06	4.54	49.21	14.78	10.47	48.52	52.08	11.73
CASP1	466.88	28.24	674.59	620.67	473.41	651.58	444.72	1044.52	551.56	429.54	121.79	518.15	493.56	320.8	69.03	583.07	183.82	447.82	117.6	137.14	224.97	34.26	60.82	100.13	117.6	43.32	84.04	312.0	110.43	159.9	503.95	232.94	239.52	253.23	111.21	148.09	148.09	77.25	417.77	98.73	126.12	108.14	55.1	122.64	145.02	33.3	60.39	66.65	275.28	100.83	120.1	138.1	209.84	76.17
CD247	176.29	6.73	229.72	336.79	224.97	620.67	224.97	693.58	329.84	264.03	21.94	493.56	323.03	197.09	15.0	559.28	164.42	595.34	24.11	26.47	91.41	17.0	34.02	20.11	55.49	66.65	30.34	163.28	24.81	190.34	647.07	144.01	211.31	102.25	74.58	31.67	15.34	38.4	167.9	10.79	64.34	52.08	30.56	113.56	88.26	3.5	15.91	16.27	73.03	19.97	25.17	197.09	93.35	35.76
CD37	1001.93	23.08	1096.5	1674.06	1572.76	3820.7	1119.56	3768.09	1639.59	1605.83	85.22	2351.53	1963.57	1199.98	38.67	2895.31	733.19	9215.48	154.42	165.57	180.02	62.56	93.35	74.58	228.13	229.72	126.12	307.69	122.64	688.78	6887.62	181.28	703.28	878.17	180.02	265.87	57.89	241.19	753.83	45.53	248.0	239.52	163.28	314.17	728.11	28.04	32.82	98.73	1242.34	136.19	183.82	301.33	265.87	104.42
CD3E	642.59	12.36	633.73	902.89	647.07	1674.06	575.03	1963.57	981.29	796.86	54.33	1350.18	780.44	511.0	47.17	1639.59	387.02	1977.24	151.22	164.42	122.64	13.32	45.21	24.63	146.03	69.03	127.0	226.54	51.35	563.18	3235.01	111.21	353.59	775.05	199.85	151.22	56.68	80.01	718.08	51.71	143.01	161.02	60.82	224.97	435.55	18.56	62.12	68.07	316.37	115.16	85.22	209.84	363.56	51.71
CD48	447.82	20.56	583.07	836.53	651.58	1498.22	435.55	1745.2	915.51	775.05	49.56	1359.57	743.43	503.95	33.06	1304.15	486.75	1819.35	83.45	77.25	181.28	25.17	64.34	12.09	76.17	78.89	52.45	205.5	31.0	463.65	2119.22	120.1	289.02	603.67	101.54	111.99	42.41	81.71	723.08	22.26	170.25	127.89	33.78	180.02	417.77	14.03	16.39	34.75	363.56	33.06	95.34	135.24	226.54	52.45
CD53	1059.11	58.3	1407.55	2119.22	1331.57	3491.39	1167.14	3060.45	1437.15	1143.1	76.71	2915.45	1487.87	1127.35	48.87	1844.76	444.72	4298.64	264.03	356.05	239.52	85.22	98.04	95.34	314.17	336.79	162.14	258.57	156.59	318.57	2178.83	241.19	514.56	638.15	150.17	591.22	101.54	218.79	473.41	87.65	320.8	450.94	167.9	239.52	1044.52	58.3	82.87	126.12	1111.82	122.64	329.84	397.93	215.77	81.71
CD6	170.25	4.54	241.19	291.04	195.72	463.65	205.5	579.04	209.84	183.82	12.0	351.14	265.87	145.02	6.36	392.44	78.34	642.59	22.26	23.59	28.04	10.47	5.63	13.83	28.65	23.59	29.27	91.41	28.24	111.99	836.53	29.91	68.55	103.69	41.52	25.91	12.74	21.32	161.02	6.89	49.91	35.25	21.94	76.17	67.59	3.03	6.94	11.3	35.76	10.0	11.47	51.35	59.97	17.13
CERKL	71.5	4.28	97.36	118.43	73.54	150.17	50.63	185.11	103.69	77.25	8.25	100.13	89.51	57.89	7.17	121.79	111.21	212.78	14.67	19.53	50.27	3.35	6.73	5.92	18.29	9.63	15.0	49.91	5.63	65.72	182.55	11.73	52.82	47.84	27.05	17.0	12.36	12.0	102.97	7.11	10.55	15.68	4.7	35.76	35.0	4.5	11.04	7.06	30.56	9.34	7.34	29.48	38.12	15.34
CFP	103.69	12.18	88.88	150.17	123.5	226.54	113.56	514.56	95.34	105.89	16.15	237.86	161.02	67.59	14.45	260.38	40.93	90.77	85.82	50.98	31.22	34.75	23.59	44.25	46.5	17.64	33.78	49.21	66.65	95.34	164.42	31.22	75.11	70.01	44.89	108.9	41.81	55.89	42.41	16.03	51.71	57.08	17.77	43.94	36.01	12.0	29.91	28.86	129.69	49.91	52.08	28.24	52.08	8.06
CIITA	384.34	16.27	480.04	441.64	336.79	819.3	466.88	1037.29	466.88	269.6	59.13	493.56	551.56	397.93	18.97	483.38	127.0	974.5	111.99	63.0	152.28	8.99	20.11	21.63	68.07	65.26	49.56	291.04	39.5	265.87	967.76	166.73	265.87	152.28	73.03	68.07	18.97	58.3	312.0	10.63	41.22	92.7	44.57	150.17	137.14	24.81	20.71	45.21	97.36	62.12	27.05	85.82	163.28	68.07
CORO1A	1733.13	42.71	1950.0	3372.43	2335.28	5006.93	1561.89	5479.15	2287.2	2287.2	132.44	2997.45	3060.45	1529.73	94.01	3847.29	603.67	5791.62	412.0	470.14	172.65	57.89	131.51	105.89	483.38	351.14	301.33	525.39	265.87	995.0	8363.13	309.83	607.87	1437.15	204.07	967.76	271.48	373.81	1159.07	234.57	260.38	551.56	127.89	258.57	915.51	99.43	159.9	142.01	1457.23	248.0	403.5	400.71	693.58	108.9
CSK	1340.84	450.94	1313.23	2018.8	1583.71	2555.58	1081.39	2255.7	1359.57	1447.15	679.29	1540.37	1477.58	1023.0	563.18	1819.35	775.05	1909.85	595.34	764.36	503.95	514.56	444.72	567.1	723.08	848.22	791.35	860.08	703.28	961.07	1519.15	463.65	660.68	1096.5	743.43	647.07	928.3	579.04	974.5	764.36	1044.52	616.37	507.46	669.92	825.0	651.58	575.03	583.07	988.12	551.56	738.29	633.73	836.53	642.59
CTSS	3303.0	660.68	2758.13	2739.08	2384.37	3395.89	2609.3	3190.46	2119.22	1242.34	251.48	3212.66	1561.89	1781.89	180.02	2104.58	1096.5	1216.75	540.19	703.28	483.38	237.86	336.79	218.79	723.08	780.44	312.0	656.11	358.54	579.04	1870.53	1008.9	941.27	1250.98	954.43	988.12	463.65	575.03	2224.63	126.12	909.17	813.63	299.25	529.06	1733.13	194.36	289.02	239.52	2573.36	748.61	708.18	371.22	293.07	208.38
CYTH4	211.31	21.16	316.37	435.55	293.07	463.65	226.54	669.92	264.03	241.19	22.26	323.03	295.11	209.84	14.35	351.14	41.81	329.84	105.15	101.54	29.06	44.89	10.71	24.11	60.82	76.71	38.95	85.22	29.48	92.05	341.51	82.29	110.43	169.07	38.12	137.14	31.45	33.06	96.01	16.03	105.89	63.89	44.57	35.76	108.14	9.78	14.35	18.29	142.01	42.71	146.03	33.78	71.0	17.25
DAPP1	72.01	2.27	83.45	105.89	66.65	218.79	64.8	234.57	93.35	87.03	3.82	159.9	144.01	81.14	1.5	92.7	74.58	400.71	8.38	14.78	9.2	3.32	2.56	2.18	20.11	13.32	3.23	22.92	5.36	28.45	403.5	11.55	22.26	55.49	11.64	12.27	2.43	11.82	46.18	2.14	16.39	10.88	5.77	12.0	111.21	1.01	1.25	1.11	49.21	24.99	10.55	7.69	19.53	2.03
DOCK10	293.07	18.43	389.72	305.55	224.97	379.04	204.07	599.49	299.25	191.67	48.52	379.04	291.04	183.82	15.0	256.78	129.69	242.88	108.14	77.25	45.85	29.91	49.91	58.3	67.59	58.71	103.69	128.79	112.77	97.36	339.14	63.0	113.56	194.36	172.65	62.56	32.13	37.32	139.07	5.77	129.69	52.82	25.54	80.01	164.42	49.21	20.26	20.26	88.88	30.34	42.11	70.01	49.91	51.35
DOCK2	234.57	40.64	291.04	389.72	277.2	642.59	237.86	688.78	323.03	228.13	21.32	426.57	341.51	244.57	15.34	403.5	88.26	802.41	46.18	76.17	59.97	8.45	18.56	27.44	100.83	63.45	50.63	94.01	31.22	105.15	571.05	69.03	170.25	128.79	77.25	115.97	15.8	38.12	120.94	9.85	53.57	70.01	30.78	86.43	151.22	10.96	11.21	19.53	150.17	40.64	100.83	85.22	60.82	29.06
EPSTI1	329.84	27.05	379.04	291.04	221.86	571.05	312.0	444.72	309.83	204.07	42.71	392.44	381.68	246.28	65.72	314.17	181.28	476.71	113.56	182.55	141.02	49.21	49.21	66.18	50.63	79.45	82.29	136.19	145.02	133.36	253.23	457.25	283.05	94.67	129.69	169.07	78.34	124.37	289.02	65.72	118.43	85.22	124.37	92.7	208.38	112.77	234.57	70.01	109.66	131.51	152.28	94.67	91.41	71.0
EVI2A	190.34	3.56	281.09	371.22	237.86	454.09	224.97	486.75	301.33	169.07	16.75	463.65	327.56	199.85	10.31	353.59	85.82	490.14	55.49	38.67	63.45	29.48	24.46	31.9	71.5	64.34	27.44	71.5	49.91	72.52	353.59	72.52	90.14	153.34	34.02	78.34	24.11	36.53	163.28	17.25	30.56	69.52	22.59	76.71	105.15	21.01	4.94	31.22	312.0	29.48	37.59	66.18	43.32	30.12
EVI2B	356.05	21.94	583.07	738.29	454.09	947.83	353.59	1175.27	660.68	435.55	29.7	878.17	587.13	400.71	18.97	603.67	236.21	1447.15	76.71	123.5	115.16	22.1	31.0	26.47	88.26	144.01	33.3	82.87	73.03	173.85	1183.45	73.54	167.9	343.89	55.1	118.43	35.25	58.3	301.33	20.86	108.14	112.77	38.67	67.59	291.04	23.59	33.3	43.02	748.61	47.17	86.43	166.73	113.56	18.7
FYB	178.77	5.87	165.57	163.28	119.26	470.14	171.45	463.65	234.57	151.22	14.56	348.71	218.79	211.31	7.57	234.57	71.5	387.02	42.41	33.54	75.11	2.81	12.83	8.38	42.41	22.1	16.03	65.72	22.26	132.44	426.57	32.59	77.79	140.04	41.52	53.19	9.34	28.45	78.89	3.92	37.32	34.51	13.62	65.72	136.19	4.58	3.89	10.16	73.03	20.41	40.93	73.03	34.02	15.91
GPR65	56.68	3.06	84.63	120.94	91.41	141.02	69.52	172.65	129.69	67.59	10.0	117.6	111.99	63.89	2.39	106.63	36.79	126.12	7.11	10.79	25.35	3.89	3.2	5.23	11.13	13.83	13.12	21.78	12.18	23.93	87.03	34.75	36.01	25.91	18.16	43.94	3.96	11.21	52.45	2.41	25.72	9.13	8.78	17.64	35.25	2.01	2.56	3.35	64.34	3.96	19.39	17.13	26.47	10.39
GPSM3	599.49	49.56	688.78	1191.69	842.36	1540.37	563.18	1819.35	854.13	769.69	77.25	1104.13	769.69	583.07	63.45	1369.04	215.77	1119.56	135.24	187.71	163.28	84.04	62.12	178.77	214.27	214.27	140.04	195.72	108.14	260.38	1286.18	212.78	287.01	423.61	197.09	287.01	145.02	129.69	255.0	86.43	289.02	181.28	98.04	193.01	395.18	42.41	105.89	71.5	563.18	86.43	241.19	181.28	140.04	88.88
GRAP2	53.19	0.79	70.51	98.73	76.17	147.06	75.11	198.47	87.65	92.7	6.11	120.94	87.65	52.45	14.14	131.51	48.87	214.27	14.35	18.97	25.35	5.32	9.34	8.38	14.89	7.17	8.38	41.52	10.31	59.13	132.44	31.0	97.36	49.21	47.5	21.01	8.0	20.41	60.82	3.96	21.01	19.97	13.83	45.53	25.17	0.84	8.25	6.57	29.7	22.75	10.31	29.91	40.36	19.68
HCST	642.59	28.24	848.22	1268.46	954.43	1498.22	660.68	1135.2	1104.13	780.44	73.54	1183.45	629.35	629.35	100.83	1551.09	232.94	1104.13	223.41	273.37	159.9	105.89	58.3	69.52	241.19	199.85	237.86	314.17	103.69	438.59	1950.0	255.0	346.29	518.15	183.82	438.59	127.0	125.24	638.15	96.68	201.25	220.32	51.35	239.52	384.34	18.29	135.24	120.94	607.87	138.1	105.89	138.1	454.09	134.3
HVCN1	198.47	19.39	199.85	363.56	348.71	532.74	218.79	660.68	226.54	262.2	43.94	361.04	339.14	194.36	46.18	341.51	187.71	346.29	106.63	87.65	83.45	16.63	36.01	62.12	86.43	105.15	55.1	141.02	102.97	170.25	301.33	84.04	80.57	191.67	116.78	90.77	100.83	77.79	110.43	143.01	36.53	69.52	30.78	98.04	102.25	28.45	75.11	94.01	226.54	106.63	71.5	50.63	141.02	149.12
IFIT3	371.22	40.93	454.09	379.04	363.56	414.87	529.06	432.53	426.57	307.69	128.79	366.09	366.09	346.29	82.87	379.04	281.09	251.48	199.85	218.79	198.47	87.65	81.71	108.9	139.07	153.34	127.89	392.44	150.17	297.17	301.33	450.94	271.48	309.83	169.07	127.89	111.99	107.38	316.37	143.01	177.53	111.21	94.67	120.94	234.57	120.94	195.72	111.99	228.13	162.14	201.25	59.55	244.57	94.01
IKZF1	127.89	5.92	148.09	205.5	140.04	457.25	127.0	432.53	249.73	181.28	11.04	366.09	234.57	176.29	10.39	217.27	75.11	444.72	30.34	35.0	24.81	2.12	13.03	9.06	34.51	25.72	29.91	57.89	20.86	79.45	403.5	26.86	80.57	76.17	32.36	30.56	12.55	27.84	80.57	13.32	43.63	47.5	25.54	62.56	122.64	5.5	15.68	7.69	55.89	24.99	37.32	44.57	48.87	8.51
IL12RB1	67.12	2.41	88.88	124.37	81.14	169.07	52.08	157.68	80.57	53.57	4.31	85.22	92.05	58.71	3.44	120.1	22.75	177.53	14.67	27.25	12.83	0.74	0.48	7.94	12.83	4.28	9.34	39.79	4.1	25.72	147.06	17.25	44.25	38.67	17.64	19.39	9.7	8.71	36.27	4.35	19.68	10.71	1.22	10.71	54.72	2.68	5.59	1.27	40.07	6.06	13.83	16.75	24.11	5.02
IL24	45.85	3.99	48.87	85.22	67.12	177.53	42.11	195.72	82.87	69.03	7.34	140.04	95.34	59.13	4.35	140.04	26.47	135.24	14.45	6.78	9.48	7.75	9.93	14.45	18.29	4.82	15.11	12.74	5.82	16.88	125.24	10.39	10.71	18.7	16.15	13.03	6.21	23.08	28.86	1.03	11.73	14.45	29.91	6.06	25.72	6.62	10.96	15.0	18.43	9.48	3.53	10.79	14.24	5.41
IL2RG	921.88	29.27	1008.9	1340.84	791.35	2004.85	660.68	2287.2	1066.48	884.29	49.21	1259.69	947.83	599.49	40.93	1457.23	728.11	3190.46	57.08	144.01	177.53	45.53	52.82	31.45	277.2	100.13	74.06	283.05	79.45	403.5	4328.55	180.02	361.04	555.41	159.9	99.43	63.45	81.14	825.0	39.5	199.85	159.9	48.87	283.05	974.5	8.19	31.22	36.27	454.09	148.09	64.8	201.25	301.33	59.13
ITGAL	353.59	13.93	507.46	551.56	332.14	860.08	346.29	1001.93	432.53	351.14	18.97	435.55	420.68	339.14	32.36	633.73	309.83	1350.18	28.65	54.33	176.29	23.42	35.0	17.51	119.26	105.89	57.08	271.48	30.56	444.72	1277.29	104.42	305.55	202.66	137.14	28.45	27.44	48.18	267.73	10.88	127.0	69.03	17.64	110.43	198.47	9.41	14.67	26.86	99.43	59.55	27.25	105.89	186.4	40.07
JAK3	295.11	14.35	341.51	616.37	279.14	607.87	242.88	808.0	309.83	255.0	43.94	400.71	336.79	221.86	12.55	480.04	36.79	583.07	32.13	50.98	26.67	14.78	28.04	49.56	28.24	44.25	39.5	34.26	40.64	63.45	373.81	98.04	39.79	134.3	33.3	33.3	41.52	28.45	65.72	17.9	117.6	31.22	27.44	30.12	132.44	11.55	22.26	24.11	51.71	23.59	49.91	72.52	26.28	8.19
KIAA1551	660.68	265.87	890.44	1023.0	878.17	1359.57	703.28	1662.49	1127.35	872.1	379.04	1250.98	896.64	759.08	389.72	967.76	665.29	1191.69	343.89	363.56	567.1	271.48	438.59	444.72	466.88	397.93	237.86	607.87	392.44	651.58	921.88	575.03	490.14	579.04	412.0	287.01	438.59	371.22	830.75	511.0	463.65	351.14	318.57	417.77	450.94	371.22	423.61	379.04	438.59	483.38	366.09	466.88	629.35	444.72
LAT	665.29	55.89	679.29	1143.1	748.61	1359.57	753.83	1991.0	665.29	656.11	91.41	928.3	896.64	543.96	101.54	1304.15	267.73	1936.53	139.07	262.2	271.48	149.12	206.94	182.55	339.14	173.85	89.51	314.17	185.11	679.29	1066.48	387.02	334.46	297.17	244.57	107.38	201.25	181.28	414.87	228.13	211.31	265.87	123.5	246.28	104.42	111.99	137.14	185.11	139.07	181.28	112.77	271.48	514.56	185.11
LCK	395.18	6.84	414.87	563.18	392.44	1119.56	366.09	1191.69	575.03	397.93	27.05	656.11	529.06	334.46	19.68	830.75	175.07	1119.56	45.21	73.54	84.04	13.52	23.42	19.11	57.08	39.79	73.03	110.43	24.11	231.32	1259.69	63.45	183.82	251.48	95.34	25.35	23.25	33.06	379.04	10.96	126.12	75.11	32.59	101.54	104.42	11.64	39.22	22.43	78.89	30.12	49.21	137.14	178.77	50.98
LCP1	1104.13	51.71	1191.69	1477.58	1127.35	2855.44	878.17	2502.97	1397.83	1059.11	96.01	1745.2	1295.13	995.0	49.21	1572.76	351.14	1008.9	141.02	242.88	229.72	53.57	90.14	45.85	165.57	218.79	117.6	297.17	111.21	208.38	1662.49	262.2	381.68	1066.48	163.28	567.1	70.01	185.11	651.58	51.71	256.78	381.68	68.55	285.03	1151.06	43.63	50.63	63.0	1111.82	87.03	309.83	215.77	220.32	46.18
