	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EL.A3ZT.11A.13R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.ZYFC.0926.SM.5GZWW	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.NFK9.0726.SM.2HMJW	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.11P7K.0226.SM.5986Z	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.X5EB.0726.SM.46MVR	GTEX.ZGAY.1026.SM.4WWBR	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.YF7O.0726.SM.4W213	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.RTLS.0626.SM.5SI7Z	GTEX.13D11.0226.SM.5LZXL	GTEX.13OVI.0826.SM.5KLZ8	GTEX.11TT1.1126.SM.5P9GV	GTEX.1211K.0726.SM.5FQUW	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.14A6H.2426.SM.5Q5BO	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
CYB561	267.73	1794.29	1359.57	3060.45	1832.01	1733.13	703.28	1519.15	1697.45	3146.52	1350.18	1397.83	1781.89	1437.15	1225.22	536.45	2018.8	928.3	1594.73	1697.45	1167.14	2855.44	2240.11	2627.46	1923.14	2032.85	1417.35	1487.87	902.89	2502.97	2468.49	1628.26	1250.98	1923.14	928.3	1175.27	934.76	1909.85	1583.71	1175.27	1104.13	2701.35	2520.38	3081.75	1572.76	1551.09	2485.67	3039.3	1909.85	3168.41	603.67	2591.27	703.28	2209.26	713.11	780.44	2075.59	1963.57	1540.37	1628.26	995.0	2777.33	1896.65
DAD1	0.99	11112.3	5831.91	10014.87	10154.69	8598.28	5041.77	8247.98	6607.01	7537.18	7230.1	9344.14	5517.27	8658.09	4736.79	5076.84	7331.05	6079.61	7911.95	7032.37	5479.15	11424.74	8078.22	10512.82	8479.89	9808.75	6607.01	6887.62	6983.79	8479.89	10368.08	8421.31	7382.04	9945.68	7537.18	5672.41	5441.3	8305.36	9151.82	6037.61	7230.1	9740.98	12502.12	10512.82	6887.62	8078.22	11827.67	13399.51	7695.57	10014.87	4802.93	12076.21	5995.9	10440.2	5672.41	6426.31	8022.41	8718.32	6699.25	9606.86	6207.38	10440.2	8778.97
DERL2	98.73	2664.15	1487.87	2573.36	2047.0	2351.53	1167.14	1781.89	1697.45	2047.0	1674.06	1832.01	1832.01	1769.57	1167.14	954.43	2032.85	1407.55	1733.13	1806.78	1447.15	3419.52	1757.34	2720.15	1950.0	2119.22	1617.0	1519.15	1519.15	2384.37	2163.77	2047.0	1709.26	2032.85	1208.34	1304.15	1447.15	2609.3	1617.0	1551.09	1340.84	3168.41	3372.43	3847.29	1721.16	1617.0	3303.0	3372.43	2148.82	3168.41	1286.18	2816.11	1225.22	2520.38	1628.26	1250.98	1819.35	1844.76	1794.29	2104.58	1583.71	3280.18	2240.11
DNAJB11	255.0	4972.34	2287.2	5219.6	3443.31	2758.13	1963.57	2875.3	2351.53	3901.01	3303.0	3325.99	2537.92	3190.46	2104.58	1572.76	3794.3	2090.03	2520.38	2573.36	1832.01	6207.38	3395.89	4869.99	2796.65	3768.09	2224.63	2367.9	2271.4	4239.45	4123.49	2997.45	1896.65	3874.05	1991.0	2287.2	1135.2	4671.57	2701.35	1819.35	1685.71	6294.04	5633.22	7589.61	2915.45	2555.58	5292.48	5711.87	3716.2	6294.04	1388.16	4239.45	1909.85	6121.9	1757.34	2209.26	3665.02	3257.52	2178.83	3372.43	1487.87	5479.15	2895.31
DTYMK	0.21	356.05	265.87	447.82	460.44	376.41	167.9	228.13	327.56	356.05	346.29	438.59	293.07	346.29	151.22	195.72	358.54	256.78	426.57	346.29	258.57	466.88	334.46	389.72	447.82	356.05	363.56	438.59	267.73	392.44	332.14	395.18	426.57	376.41	307.69	307.69	271.48	457.25	403.5	262.2	325.29	395.18	551.56	432.53	255.0	251.48	426.57	470.14	316.37	435.55	283.05	429.54	208.38	395.18	275.28	218.79	351.14	356.05	379.04	339.14	346.29	327.56	432.53
ERP44	84.04	679.29	466.88	854.13	688.78	647.07	423.61	583.07	532.74	836.53	529.06	703.28	463.65	703.28	426.57	435.55	595.34	473.41	460.44	575.03	348.71	1143.1	629.35	813.63	633.73	753.83	412.0	480.04	429.54	738.29	647.07	587.13	483.38	688.78	395.18	444.72	389.72	775.05	486.75	473.41	444.72	872.1	842.36	1135.2	551.56	599.49	753.83	995.0	738.29	961.07	403.5	878.17	417.77	836.53	493.56	441.64	629.35	616.37	463.65	629.35	423.61	934.76	532.74
FKBP2	0.87	12329.98	5479.15	13492.72	8598.28	5441.3	4210.15	8598.28	5403.7	11745.96	7382.04	8840.04	6561.36	5183.54	5954.47	2720.15	8479.89	5112.16	6935.54	8134.41	3716.2	12943.04	8479.89	14663.09	10154.69	10368.08	5633.22	7130.55	5751.61	11664.82	10154.69	7803.01	4575.41	13681.08	4450.27	5711.87	3614.55	19214.73	6250.56	4152.18	4937.99	11992.79	17317.18	15934.98	7180.15	7966.99	13492.72	16960.78	10959.3	14262.1	3419.52	11664.82	3349.13	13033.07	3349.13	4512.4	9540.5	9151.82	6381.92	7589.61	4095.0	11584.24	7331.05
GOT2	0.77	2400.97	1208.34	2417.67	1745.2	1857.6	884.29	1844.76	1225.22	1733.13	1427.22	1628.26	1268.46	1407.55	915.51	651.58	1359.57	1008.9	1359.57	1250.98	1167.14	1709.26	1662.49	2367.9	1529.73	1651.0	988.12	1135.2	796.86	1697.45	2104.58	1378.57	1397.83	1844.76	941.27	1159.07	1088.92	2133.97	1378.57	1119.56	1216.75	2163.77	2148.82	2163.77	1277.29	1417.35	2351.53	1806.78	1757.34	2004.85	769.69	1806.78	830.75	1594.73	1059.11	1023.0	1857.6	1378.57	1350.18	1857.6	988.12	1844.76	1340.84
HM13	0.42	4972.34	2573.36	4704.07	3794.3	3325.99	2018.8	3716.2	2935.74	3564.78	3103.19	3103.19	2816.11	3103.19	2645.74	1870.53	3212.66	2090.03	2895.31	2645.74	2271.4	5076.84	3395.89	5329.3	3901.01	3491.39	2895.31	3235.01	2224.63	3768.09	4268.94	2835.7	2777.33	3665.02	2303.12	2537.92	2178.83	4358.66	3018.3	2573.36	2351.53	5479.15	4388.98	5219.6	2777.33	3168.41	4358.66	4450.27	3564.78	5517.27	1923.14	4607.24	2104.58	4639.29	2758.13	2468.49	3639.7	3794.3	2895.31	3665.02	2075.59	4210.15	2997.45
HSP90B1	4704.07	44145.15	26067.14	67377.47	35363.15	32315.87	14262.1	24832.5	24153.43	48643.87	31215.04	43537.38	40621.74	39785.74	36357.37	14262.1	52135.28	23169.48	32767.0	28525.2	13586.57	88291.3	41763.8	57448.23	47642.77	56657.31	27174.14	24660.96	21172.91	56265.94	37639.55	41763.8	19348.38	48982.22	19482.97	18178.19	12943.04	41763.8	25354.3	12589.08	13399.51	65535.0	71714.63	68318.04	27363.16	37901.36	50709.61	74760.09	60304.42	65082.31	14262.1	57051.4	16727.26	72213.45	11992.79	16611.71	49322.93	33688.23	23986.58	40062.48	12589.08	61571.56	43537.38
HSPA5	59.97	20451.65	9215.48	27553.49	19754.96	13968.57	4543.8	9215.48	10883.59	18052.61	14765.09	16269.83	20170.07	15499.21	11584.24	3467.27	26067.14	4575.41	9540.5	10585.95	3690.52	36864.92	16611.71	25530.66	12415.75	17558.94	10296.45	8778.97	6887.62	22225.61	15824.9	13968.57	7537.18	15824.9	7081.29	4869.99	5006.93	14663.09	11827.67	4239.45	4123.49	35856.82	22072.07	34635.37	11189.6	13306.94	20737.16	23330.64	16843.62	26248.46	3168.41	21468.49	4419.52	25530.66	4210.15	6381.92	16269.83	12160.22	7485.11	22380.2	3235.01	29531.18	14765.09
HSPE1	0.0	4152.18	2018.8	2777.33	3349.13	2997.45	2004.85	2777.33	2400.97	2287.2	3190.46	2796.65	2271.4	4010.71	1936.53	1721.16	3039.3	1639.59	2915.45	1883.54	1697.45	2956.17	2502.97	3690.52	2104.58	2367.9	2090.03	2148.82	2573.36	2303.12	3395.89	2400.97	2573.36	3372.43	2434.5	1794.29	3124.78	3103.19	2502.97	1721.16	2061.24	3395.89	2758.13	4066.71	2075.59	1950.0	3303.0	2997.45	2591.27	4010.71	1477.58	3325.99	2104.58	3955.48	2163.77	2148.82	2739.08	3768.09	2271.4	2895.31	2163.77	3103.19	3060.45
HYOU1	0.13	4181.07	2004.85	8022.41	3081.75	2573.36	1242.34	2104.58	1936.53	4038.61	2555.58	3103.19	1963.57	2451.44	2417.67	708.18	3467.27	1183.45	1685.71	2682.69	1594.73	8134.41	4210.15	5954.47	2664.15	3874.05	1950.0	2018.8	1313.23	6840.04	4419.52	2701.35	1551.09	3190.46	1350.18	1313.23	1023.0	2777.33	2061.24	1242.34	1037.29	10225.32	3540.14	9025.81	2777.33	3168.41	4481.23	3874.05	2895.31	8247.98	775.05	4328.55	988.12	5219.6	1331.57	1417.35	3491.39	2400.97	1594.73	3443.31	819.3	6745.86	3168.41
ISOC2	0.34	2835.7	961.07	3060.45	2104.58	1277.29	708.18	1183.45	1191.69	2335.28	1159.07	1617.0	884.29	1437.15	1059.11	603.67	1662.49	536.45	1397.83	1286.18	866.07	3039.3	1397.83	3325.99	995.0	2335.28	1015.93	1350.18	1104.13	1819.35	2451.44	1832.01	1268.46	2178.83	1340.84	1151.06	728.11	2287.2	1487.87	909.17	866.07	2609.3	2645.74	2816.11	1167.14	1143.1	3742.05	3742.05	1427.22	4869.99	791.35	2997.45	748.61	2573.36	988.12	759.08	2032.85	1662.49	1183.45	2004.85	836.53	2104.58	1977.24
KDELR2	190.34	4066.71	1936.53	3928.15	3146.52	2956.17	2209.26	2915.45	2193.99	3103.19	2537.92	2720.15	2148.82	2591.27	2758.13	1519.15	2796.65	2133.97	2061.24	2163.77	1832.01	4010.71	2976.74	3639.7	2777.33	2835.7	1923.14	1857.6	1605.83	3257.52	4328.55	2835.7	2520.38	3515.68	1832.01	1991.0	1896.65	2816.11	2434.5	1950.0	2351.53	3639.7	3742.05	4038.61	2287.2	2816.11	5147.73	4298.64	2835.7	4869.99	1857.6	3060.45	1757.34	3540.14	1950.0	2148.82	3419.52	2451.44	2367.9	3540.14	1733.13	3768.09	2573.36
MANF	389.72	12853.63	3665.02	16045.82	6983.79	6037.61	2303.12	5517.27	4869.99	11992.79	4736.79	5403.7	5913.33	5403.7	4836.35	1674.06	9151.82	2193.99	4512.4	6935.54	2591.27	18178.19	7485.11	16269.83	6079.61	11992.79	3820.7	4010.71	3540.14	12589.08	11267.44	6337.83	3235.01	8305.36	3146.52	3039.3	1551.09	10959.3	3515.68	2451.44	2816.11	20170.07	15607.02	22535.88	5831.91	6207.38	16496.96	16496.96	10014.87	17558.94	2133.97	11745.96	2351.53	15075.35	1721.16	2537.92	11035.54	7280.4	3901.01	6887.62	1794.29	16727.26	8134.41
MRPL24	0.43	2645.74	1628.26	2645.74	2758.13	1769.57	1111.82	1977.24	1697.45	1605.83	1857.6	2319.15	1529.73	1709.26	1268.46	974.5	1806.78	1304.15	1909.85	2032.85	1477.58	2047.0	2018.8	3589.58	2178.83	2178.83	1794.29	1572.76	1594.73	2287.2	2335.28	2104.58	1857.6	2777.33	1628.26	1437.15	1769.57	3081.75	1844.76	1639.59	1594.73	2915.45	2520.38	2682.69	1844.76	1709.26	2701.35	2224.63	1757.34	2997.45	1216.75	2434.5	1151.06	3491.39	1572.76	1437.15	2148.82	1832.01	1909.85	1806.78	1427.22	2319.15	1977.24
MRPS15	215.77	2485.67	1037.29	1529.73	1819.35	1233.75	860.08	1242.34	981.29	1233.75	1286.18	1286.18	902.89	1487.87	1023.0	1104.13	1540.37	1030.12	1467.37	1159.07	1191.69	1477.58	1350.18	2090.03	1359.57	1340.84	1277.29	1199.98	1437.15	1295.13	1923.14	1388.16	1037.29	1369.04	1407.55	1073.91	1119.56	3018.3	1572.76	1225.22	1051.79	1628.26	1709.26	2133.97	909.17	988.12	1883.54	1857.6	1378.57	2664.15	860.08	1594.73	819.3	1733.13	872.1	1286.18	1378.57	1685.71	1277.29	1331.57	1331.57	1529.73	1769.57
NANS	0.49	2032.85	536.45	1487.87	1104.13	934.76	563.18	830.75	753.83	1096.5	842.36	1104.13	679.29	915.51	728.11	571.05	884.29	575.03	860.08	860.08	665.29	1617.0	1216.75	1844.76	860.08	1081.39	769.69	909.17	703.28	1313.23	1467.37	836.53	679.29	1143.1	813.63	713.11	595.34	1331.57	738.29	674.59	587.13	2209.26	1268.46	1605.83	753.83	842.36	1551.09	1313.23	988.12	2240.11	595.34	1427.22	567.1	1208.34	624.99	540.19	1167.14	1119.56	738.29	954.43	620.67	1551.09	753.83
NDUFB2	0.64	27363.16	9808.75	20170.07	25179.16	15824.9	8078.22	18304.63	11992.79	16843.62	14663.09	16611.71	9215.48	14361.31	11112.3	5076.84	16727.26	7433.4	20593.91	13215.02	9540.5	25887.07	14561.8	25887.07	18431.96	18819.27	9945.68	12943.04	14461.21	16157.44	23820.89	19348.38	12502.12	21320.18	10225.32	11664.82	7280.4	38430.46	17927.91	11424.74	10014.87	19618.49	32540.65	26248.46	12160.22	13306.94	24832.5	23656.34	22225.61	28923.41	4937.99	22380.2	5555.65	20451.65	7537.18	9474.59	18178.19	23492.92	12589.08	16611.71	7642.41	17927.91	17437.64
OSTC	0.36	3540.14	1498.22	2682.69	2835.7	2485.67	1127.35	1721.16	1651.0	2004.85	1870.53	2303.12	1407.55	2271.4	1397.83	1388.16	2537.92	1417.35	1896.65	1529.73	1151.06	3690.52	1721.16	2627.46	2163.77	2224.63	1757.34	1674.06	1397.83	2451.44	2240.11	2178.83	1991.0	2004.85	1794.29	1304.15	1639.59	2047.0	2061.24	1617.0	1407.55	3419.52	2758.13	3018.3	1605.83	1819.35	3190.46	2855.44	1883.54	3103.19	1322.37	2875.3	1259.69	2645.74	1437.15	1340.84	2032.85	2133.97	1519.15	2555.58	1697.45	3103.19	2163.77
PDIA3	226.54	25354.3	14163.58	31650.8	24832.5	22692.63	10296.45	24660.96	14867.79	28525.2	19482.97	28525.2	14163.58	24660.96	19214.73	8247.98	22380.2	12329.98	16727.26	15824.9	6652.97	36610.26	18689.27	32767.0	22535.88	29124.6	13215.02	13306.94	14065.74	25708.25	20310.37	24490.61	14361.31	33224.42	12943.04	14765.09	8479.89	25887.07	18689.27	9673.69	8658.09	26431.04	33688.23	37639.55	18052.61	25708.25	25005.23	37121.34	30999.42	35363.15	6516.03	28723.62	9279.58	37901.36	7589.61	13399.51	26431.04	22850.48	14163.58	23820.89	7130.55	28328.16	21468.49
PDIA6	0.14	14561.8	5594.3	14065.74	9673.69	8658.09	3467.27	6983.79	5183.54	10585.95	7032.37	9740.98	4869.99	8078.22	6121.9	2915.45	7803.01	4704.07	6426.31	5555.65	2758.13	15075.35	8598.28	12764.83	9673.69	10440.2	5366.37	3235.01	5006.93	11345.82	8022.41	9025.81	5441.3	11745.96	4639.29	4607.24	3564.78	8538.88	6935.54	3901.01	3742.05	12943.04	12764.83	12764.83	6792.79	9151.82	10659.59	13306.94	9088.59	15392.14	2485.67	10512.82	2855.44	13872.08	3124.78	4543.8	8963.45	8363.13	5006.93	8479.89	3349.13	11827.67	8134.41
PPIB	0.68	28525.2	14262.1	31650.8	23492.92	20170.07	11112.3	20310.37	15075.35	24153.43	19754.96	26248.46	13872.08	18304.63	21919.61	9606.86	22535.88	13123.73	16843.62	16727.26	7537.18	34396.12	22850.48	39785.74	27745.15	27553.49	15285.81	14765.09	16045.82	25887.07	25708.25	26248.46	12415.75	31215.04	13681.08	14262.1	8598.28	33688.23	19082.0	10585.95	11112.3	30785.28	36864.92	37121.34	20310.37	22692.63	31870.96	46986.85	25354.3	39510.91	8022.41	32540.65	10883.59	39510.91	9409.14	14765.09	27553.49	24832.5	14561.8	22380.2	8963.45	28525.2	19618.49
PPIL1	0.0	1111.82	412.0	1369.04	1216.75	872.1	211.31	872.1	540.19	981.29	684.02	860.08	460.44	775.05	291.04	295.11	995.0	368.65	660.68	575.03	514.56	1487.87	698.41	1127.35	693.58	1059.11	406.31	551.56	423.61	1159.07	1467.37	595.34	638.15	928.3	473.41	438.59	389.72	1081.39	890.44	454.09	463.65	1388.16	1331.57	1457.23	547.75	514.56	1617.0	1437.15	802.41	1340.84	249.73	1059.11	339.14	934.76	447.82	486.75	928.3	674.59	532.74	928.3	432.53	1159.07	961.07
PREB	0.34	1467.37	791.35	1191.69	1233.75	941.27	693.58	759.08	743.43	813.63	679.29	890.44	603.67	738.29	403.5	674.59	1081.39	555.41	915.51	947.83	890.44	1111.82	872.1	1096.5	860.08	1081.39	1030.12	1096.5	656.11	1044.52	1216.75	775.05	961.07	769.69	909.17	743.43	791.35	1023.0	981.29	961.07	733.19	1477.58	947.83	1498.22	743.43	616.37	1167.14	842.36	860.08	1216.75	813.63	1111.82	540.19	1066.48	819.3	547.75	854.13	1044.52	872.1	981.29	775.05	1066.48	981.29
