	TCGA.FE.A238.01A.11R.A16R.07	TCGA.EL.A3GX.01A.11R.A206.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A233.01A.11R.A14Y.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.DJ.A3UX.01A.11R.A22L.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.KS.A4I3.01A.11R.A250.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.J8.A3YD.01A.11R.A22U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.EM.A2OZ.01A.11R.A206.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A2PN.01A.21R.A19O.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.EL.A3T8.01A.21R.A22L.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
BHLHE41	3540.14	3235.01	2555.58	2502.97	2758.13	4802.93	3124.78	2319.15	2816.11	3955.48	5479.15	2224.63	2682.69	2303.12	3540.14	2816.11	2351.53	4095.0	4481.23	3060.45	4358.66	2384.37	2351.53	3564.78	3039.3	1151.06	2075.59	1378.57	2555.58	1081.39	3280.18	1417.35	738.29	432.53	1119.56	532.74	791.35	1685.71	1388.16	909.17	1111.82	1378.57	1340.84	896.64	854.13	1096.5	1104.13	988.12	743.43	2701.35	1896.65	1605.83	693.58	579.04	1104.13	1369.04	1331.57	2018.8	480.04	1519.15	1225.22	1001.93	1286.18
BICD1	406.31	414.87	447.82	591.22	343.89	454.09	260.38	285.03	244.57	403.5	444.72	309.83	305.55	414.87	363.56	161.02	224.97	339.14	450.94	353.59	559.28	441.64	312.0	470.14	450.94	224.97	165.57	204.07	248.0	189.02	199.85	194.36	208.38	87.65	143.01	281.09	138.1	241.19	248.0	157.68	119.26	217.27	163.28	165.57	162.14	201.25	148.09	170.25	212.78	151.22	214.27	217.27	183.82	223.41	92.05	189.02	189.02	176.29	129.69	129.69	267.73	223.41	109.66
C10orf115	11.73	11.47	14.78	7.94	14.24	23.25	18.7	13.12	12.18	5.63	23.42	15.0	19.82	22.43	25.72	16.39	5.82	15.56	22.1	15.8	23.76	7.88	15.68	23.42	11.55	0.0	8.06	4.78	2.81	2.86	0.0	0.0	0.0	4.66	5.54	0.0	2.78	0.0	2.97	6.16	6.21	0.0	0.0	2.05	2.18	0.0	4.21	1.99	2.84	0.0	5.96	6.52	2.25	10.16	0.0	9.63	0.0	0.0	3.89	0.0	2.34	3.41	2.73
C10orf67	10.08	24.99	24.63	18.43	23.76	28.86	20.11	24.99	13.52	10.79	27.84	13.72	14.56	19.82	25.91	14.35	8.06	34.26	31.22	23.59	27.44	18.29	10.47	27.44	15.68	5.54	12.09	4.94	3.86	4.9	8.13	3.76	3.69	2.05	20.86	2.48	7.17	3.5	6.57	6.41	7.46	0.38	13.62	5.54	2.78	10.88	9.41	13.83	18.7	8.58	7.22	10.88	1.91	11.04	6.84	2.53	5.02	1.13	6.73	14.14	12.27	0.79	4.66
C17orf107	141.02	127.0	191.67	157.68	136.19	206.94	133.36	114.36	77.79	108.14	146.03	127.0	139.07	127.0	84.63	23.93	97.36	176.29	109.66	104.42	102.25	172.65	156.59	126.12	130.6	68.07	52.82	10.24	30.78	13.12	42.11	38.12	33.3	33.06	30.34	156.59	39.22	55.49	28.45	96.68	31.0	43.32	33.54	57.08	22.59	90.77	20.86	17.13	49.91	31.0	95.34	20.56	29.48	12.27	49.21	53.57	19.39	23.59	48.87	17.13	125.24	48.18	10.16
C1orf116	356.05	587.13	406.31	571.05	769.69	470.14	316.37	339.14	567.1	642.59	591.22	412.0	289.02	447.82	336.79	170.25	429.54	961.07	490.14	379.04	409.15	547.75	796.86	490.14	529.06	73.54	55.49	169.07	80.01	102.25	271.48	156.59	38.95	154.42	265.87	323.03	84.04	511.0	214.27	106.63	84.04	128.79	159.9	351.14	150.17	51.35	281.09	151.22	221.86	543.96	171.45	198.47	414.87	348.71	122.64	1529.73	242.88	30.78	123.5	88.88	133.36	156.59	32.82
C2CD4A	52.08	234.57	138.1	61.68	10.31	64.34	25.91	23.59	102.25	63.45	125.24	42.71	172.65	88.88	115.97	6.41	8.51	3.23	93.35	96.01	119.26	44.89	24.63	44.89	38.95	2.76	0.49	0.0	0.0	0.51	1.71	0.0	0.0	0.0	6.57	0.48	1.75	0.0	0.01	1.83	2.39	0.0	0.49	3.66	0.04	0.43	0.0	0.0	13.62	3.63	8.65	1.08	0.0	0.0	0.0	0.0	8.32	0.0	0.0	0.0	0.0	2.71	0.0
CDC42BPG	384.34	463.65	583.07	591.22	497.0	525.39	392.44	301.33	480.04	457.25	426.57	339.14	403.5	476.71	423.61	226.54	366.09	318.57	540.19	432.53	507.46	497.0	525.39	447.82	384.34	121.79	171.45	136.19	127.89	177.53	202.66	194.36	190.34	178.77	202.66	231.32	208.38	237.86	159.9	224.97	102.25	226.54	249.73	130.6	281.09	220.32	190.34	94.01	253.23	157.68	110.43	277.2	111.99	220.32	116.78	180.02	241.19	147.06	275.28	199.85	291.04	181.28	320.8
CDH3	1685.71	1127.35	1151.06	848.22	1388.16	1639.59	830.75	583.07	1242.34	1519.15	1175.27	866.07	791.35	1242.34	947.83	532.74	543.96	1030.12	1225.22	713.11	1088.92	759.08	780.44	1359.57	2018.8	24.11	69.03	16.63	43.63	14.14	138.1	27.25	44.25	11.38	108.14	15.11	80.57	91.41	112.77	40.64	45.53	13.03	59.13	92.05	126.12	19.68	65.72	52.82	159.9	104.42	307.69	44.25	23.59	61.25	81.14	43.02	120.94	29.91	35.76	24.28	13.83	25.91	10.0
CDSN	1135.2	466.88	50.98	603.67	79.45	12.18	37.32	29.7	320.8	29.91	63.89	143.01	35.76	400.71	351.14	4.35	122.64	72.52	285.03	109.66	50.63	320.8	82.29	43.94	237.86	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.97	44.25	0.0	0.0	33.78	0.0	3.56	57.49	3.63	31.0	0.67	0.0	2.29	0.0	0.78	0.36	0.0	0.0	12.0	1.73	0.0	0.0	40.93	0.26	0.0	0.0	142.01	13.12
CELF4	158.79	136.19	156.59	170.25	220.32	176.29	122.64	122.64	144.01	145.02	127.0	112.77	66.65	165.57	150.17	49.56	78.34	283.05	109.66	220.32	211.31	140.04	98.04	161.02	189.02	12.55	1.5	5.77	27.25	2.25	156.59	1.19	6.67	7.57	19.97	8.92	9.48	4.5	5.92	8.06	2.94	8.58	15.45	3.14	4.13	2.43	20.41	9.85	7.51	9.78	10.24	8.92	1.93	24.81	3.79	19.11	9.48	18.29	0.88	12.09	0.27	14.03	1.58
CHPT1	1733.13	3690.52	2956.17	2240.11	5954.47	3491.39	2224.63	2609.3	3146.52	2485.67	3564.78	3372.43	2645.74	3768.09	2573.36	1923.14	2816.11	5791.62	2240.11	4671.57	3515.68	2664.15	1923.14	3928.15	3081.75	813.63	2240.11	1295.13	1417.35	1250.98	1340.84	2875.3	1437.15	1127.35	1233.75	1225.22	1250.98	1697.45	954.43	1295.13	1417.35	688.78	1295.13	1242.34	1437.15	1709.26	1709.26	1909.85	1605.83	1477.58	896.64	1467.37	1561.89	1745.2	1594.73	1059.11	1268.46	1119.56	2739.08	1175.27	2400.97	1870.53	1350.18
CLDN7	5441.3	5329.3	5594.3	5366.37	6294.04	5633.22	5995.9	3982.99	5403.7	7433.4	5633.22	5147.73	5403.7	6745.86	6699.25	4836.35	4607.24	7966.99	5831.91	5872.48	5147.73	5831.91	4095.0	4607.24	4358.66	2573.36	2976.74	2434.5	5292.48	5219.6	3589.58	3039.3	2351.53	3018.3	5076.84	3060.45	4268.94	3768.09	2935.74	2209.26	4419.52	2855.44	4836.35	2758.13	5517.27	3768.09	3515.68	4066.71	4903.87	4543.8	5006.93	4123.49	4543.8	4802.93	3060.45	2384.37	1832.01	2351.53	4298.64	3081.75	4239.45	3325.99	2224.63
CLRN3	5.32	10.39	8.99	6.01	5.5	10.24	4.06	3.5	6.26	14.24	17.77	4.1	3.69	8.38	5.92	0.0	5.02	12.27	4.98	2.56	5.87	7.75	1.48	8.51	4.58	8.06	1.87	0.0	2.63	1.89	0.0	0.0	0.0	1.87	4.43	0.0	0.0	0.0	10.55	3.56	0.0	1.93	0.0	1.19	0.0	0.0	3.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	0.0	2.78	0.0	0.0	0.0	0.0	0.0	0.0
CREB5	161.02	279.14	476.71	121.79	124.37	223.41	143.01	52.08	164.42	309.83	226.54	116.78	71.5	363.56	128.79	22.75	50.27	186.4	271.48	67.12	329.84	251.48	127.89	279.14	327.56	30.78	58.3	14.45	15.91	23.59	24.81	80.01	23.25	111.21	6.57	31.9	37.85	22.1	68.07	147.06	45.53	11.82	45.21	100.83	6.41	39.79	53.19	7.34	16.27	28.65	27.44	3.08	36.79	5.19	65.72	17.25	35.76	94.67	63.0	19.39	52.45	63.0	18.7
CTSH	19214.73	24490.61	17681.08	23169.48	27363.16	20170.07	16045.82	11584.24	23009.42	32315.87	17804.06	23820.89	25708.25	23330.64	25005.23	5006.93	7382.04	24832.5	15824.9	23169.48	17437.64	15499.21	6887.62	19214.73	15499.21	3768.09	2335.28	3280.18	1781.89	753.83	1313.23	6426.31	3564.78	1015.93	1733.13	2351.53	2133.97	2224.63	836.53	6840.04	2335.28	2895.31	2004.85	3540.14	1733.13	909.17	2193.99	5633.22	1457.23	1250.98	2047.0	934.76	2875.3	1259.69	1697.45	1477.58	2701.35	4210.15	3039.3	3874.05	1519.15	3467.27	3639.7
CUL7	674.59	674.59	693.58	780.44	555.41	713.11	532.74	551.56	571.05	679.29	728.11	540.19	579.04	693.58	599.49	497.0	486.75	642.59	738.29	567.1	748.61	638.15	638.15	665.29	665.29	493.56	387.02	483.38	392.44	587.13	450.94	336.79	493.56	543.96	463.65	665.29	660.68	551.56	507.46	473.41	406.31	490.14	525.39	397.93	441.64	426.57	447.82	368.65	457.25	503.95	371.22	607.87	356.05	412.0	403.5	497.0	511.0	466.88	507.46	503.95	470.14	426.57	441.64
DCBLD2	1487.87	872.1	669.92	688.78	647.07	638.15	529.06	486.75	1135.2	1151.06	928.3	684.02	567.1	1008.9	708.18	457.25	547.75	633.73	748.61	595.34	802.41	769.69	616.37	688.78	567.1	406.31	529.06	373.81	303.44	363.56	438.59	435.55	438.59	309.83	318.57	346.29	309.83	629.35	269.6	253.23	260.38	450.94	314.17	305.55	255.0	248.0	348.71	281.09	309.83	373.81	343.89	607.87	239.52	363.56	183.82	336.79	336.79	395.18	199.85	426.57	547.75	343.89	318.57
DCSTAMP	4450.27	6337.83	4736.79	2777.33	2384.37	4066.71	3716.2	1295.13	3690.52	5517.27	5147.73	2502.97	1674.06	5329.3	3190.46	29.27	3018.3	2664.15	3820.7	2777.33	4869.99	2271.4	1313.23	2664.15	2163.77	0.0	1.03	0.0	9.2	0.0	0.99	0.0	0.0	0.0	27.84	0.0	7.51	9.63	0.0	0.0	0.0	6.57	1407.55	13.42	53.57	17.13	0.34	0.0	6.31	32.36	96.01	27.84	0.0	81.71	0.0	0.0	9.78	0.0	0.0	7.28	0.0	0.0	0.0
DERA	1015.93	1242.34	1037.29	909.17	860.08	890.44	967.76	813.63	1088.92	1286.18	1111.82	1104.13	1001.93	909.17	988.12	703.28	1037.29	1015.93	1015.93	890.44	1015.93	878.17	934.76	1059.11	921.88	665.29	915.51	921.88	785.88	785.88	902.89	1066.48	723.08	753.83	909.17	825.0	633.73	723.08	728.11	688.78	802.41	693.58	915.51	775.05	660.68	738.29	723.08	866.07	780.44	1015.93	842.36	753.83	902.89	909.17	909.17	967.76	693.58	563.18	1059.11	633.73	753.83	802.41	656.11
DHDH	49.91	80.57	42.41	44.25	42.71	37.32	18.03	38.12	45.21	77.25	50.63	85.22	18.97	71.5	59.13	14.14	55.49	36.27	93.35	72.52	25.35	65.26	21.01	59.97	16.39	2.56	2.46	4.46	3.35	4.43	1.51	1.08	3.66	3.38	2.43	0.0	2.86	19.53	6.16	3.44	5.06	2.51	12.45	1.6	2.23	0.0	1.55	2.01	0.0	2.53	0.0	0.0	3.59	2.61	3.89	0.0	2.53	3.2	2.68	10.24	5.73	3.0	0.0
DLG4	616.37	629.35	679.29	703.28	967.76	1001.93	764.36	693.58	693.58	872.1	890.44	791.35	620.67	1023.0	693.58	860.08	559.28	785.88	785.88	759.08	954.43	500.46	500.46	947.83	947.83	329.84	348.71	175.07	178.77	131.51	389.72	236.21	158.79	551.56	220.32	262.2	543.96	358.54	231.32	318.57	223.41	297.17	144.01	209.84	151.22	149.12	275.28	144.01	255.0	143.01	180.02	198.47	291.04	158.79	356.05	110.43	143.01	256.78	204.07	251.48	194.36	161.02	249.73
DMBX1	59.97	16.75	67.59	102.97	3.29	39.5	73.03	16.03	9.41	14.78	40.93	17.9	128.79	30.12	70.01	1.45	45.53	2.2	55.1	27.84	63.89	21.47	74.06	33.78	5.77	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0	0.0	2.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.71	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0
DSC2	198.47	271.48	237.86	269.6	181.28	186.4	148.09	102.97	256.78	253.23	224.97	173.85	159.9	224.97	204.07	37.59	124.37	108.9	208.38	161.02	244.57	255.0	185.11	289.02	121.79	59.55	130.6	90.77	53.95	49.21	102.97	80.01	44.25	32.82	102.97	23.59	33.78	88.88	51.71	68.55	40.64	72.52	87.03	88.26	152.28	94.67	29.48	45.53	106.63	172.65	99.43	139.07	37.05	88.88	77.79	104.42	50.98	29.48	88.88	39.79	94.67	31.67	25.72
ECE1	6607.01	4671.57	4972.34	5791.62	5711.87	5555.65	3235.01	3103.19	4769.75	5219.6	5633.22	3955.48	4152.18	4769.75	4268.94	3372.43	2573.36	5517.27	5555.65	3325.99	4869.99	4937.99	4268.94	5292.48	4575.41	1388.16	1135.2	1088.92	2451.44	1674.06	1427.22	1225.22	1437.15	2400.97	1628.26	1628.26	2061.24	1540.37	1662.49	1295.13	1081.39	1277.29	1322.37	2645.74	1883.54	1437.15	1936.53	780.44	866.07	2104.58	2609.3	1617.0	1529.73	1594.73	2075.59	1008.9	1457.23	934.76	1819.35	1059.11	1030.12	1883.54	981.29
EIF2S2	1832.01	1233.75	1119.56	1594.73	1183.45	1151.06	1331.57	1199.98	1259.69	1417.35	1081.39	1437.15	1572.76	1359.57	1397.83	836.53	1096.5	1183.45	981.29	1883.54	947.83	1583.71	1216.75	1208.34	1037.29	848.22	961.07	896.64	1250.98	921.88	974.5	1037.29	819.3	1023.0	1073.91	759.08	1051.79	872.1	961.07	764.36	848.22	830.75	813.63	1233.75	928.3	842.36	1119.56	981.29	1216.75	1015.93	1167.14	698.41	1023.0	934.76	1015.93	988.12	1059.11	748.61	836.53	819.3	915.51	928.3	830.75
EIF4EBP1	1286.18	460.44	358.54	872.1	289.02	325.29	460.44	444.72	532.74	432.53	258.57	698.41	759.08	429.54	830.75	159.9	295.11	379.04	307.69	902.89	205.5	518.15	543.96	341.51	423.61	241.19	122.64	206.94	351.14	172.65	141.02	102.25	123.5	473.41	267.73	287.01	389.72	186.4	299.25	204.07	153.34	242.88	201.25	348.71	366.09	133.36	229.72	373.81	212.78	173.85	242.88	124.37	239.52	115.16	341.51	320.8	283.05	100.13	175.07	96.68	108.14	244.57	199.85
ENDOD1	890.44	1685.71	1417.35	1233.75	1183.45	1051.79	1030.12	698.41	1369.04	1397.83	1572.76	1295.13	872.1	1119.56	830.75	490.14	521.76	995.0	1167.14	1037.29	1963.57	1437.15	1183.45	1487.87	884.29	236.21	395.18	297.17	271.48	237.86	507.46	447.82	205.5	318.57	356.05	211.31	180.02	387.02	269.6	336.79	211.31	329.84	309.83	366.09	312.0	218.79	339.14	119.26	156.59	412.0	447.82	146.03	111.21	187.71	334.46	329.84	318.57	447.82	260.38	217.27	211.31	307.69	223.41
EPHA10	103.69	220.32	146.03	57.08	78.89	183.82	140.04	34.02	129.69	121.79	87.03	53.95	110.43	133.36	85.22	13.12	40.93	40.36	111.21	66.65	130.6	96.01	39.22	85.22	67.12	3.47	7.57	0.72	0.37	0.39	9.93	3.53	6.52	1.0	0.09	35.25	0.09	2.53	3.92	18.16	5.59	0.72	18.43	4.35	6.94	7.46	2.07	4.17	0.0	0.41	1.11	6.41	0.05	10.47	0.68	0.11	0.13	4.7	2.18	0.92	5.32	0.13	2.29
EPRS	2178.83	1397.83	1322.37	1896.65	1350.18	1359.57	1331.57	1437.15	1709.26	1617.0	1208.34	1769.57	1662.49	1519.15	1697.45	1175.27	1151.06	1519.15	1467.37	2163.77	1457.23	1721.16	1697.45	1498.22	1322.37	1487.87	961.07	995.0	1551.09	1111.82	1030.12	1023.0	890.44	1457.23	1233.75	1096.5	1378.57	1447.15	1023.0	1081.39	842.36	1304.15	1151.06	1295.13	1216.75	813.63	1242.34	1359.57	1561.89	884.29	1551.09	902.89	1135.2	1111.82	1037.29	1331.57	1350.18	988.12	1044.52	1051.79	1151.06	1208.34	995.0
