	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.BH.A0B6.01A.11R.A19W.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.PE.A5DE.01A.11R.A27Q.07	TCGA.D8.A27V.01A.12R.A17B.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.B6.A0I8.01A.11R.A034.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.E9.A227.01A.11R.A157.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.AC.A2FE.01A.11R.A19W.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.BH.A1FJ.01A.11R.A13Q.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73U.01A.11R.A33J.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.A2.A0T1.01A.21R.A084.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.T6MO.1426.SM.4DM73	TCGA.86.8671.01A.11R.2403.07	GTEX.X4EO.0926.SM.3P5Z2	TCGA.FC.A5OB.01A.11R.A29R.07
SCML4	11.73	103.69	2.23	88.26	10.88	137.14	12.55	55.49	3.96	27.25	13.72	87.03	2.01	31.22	11.82	49.21	13.32	33.3	92.05	12.36	1.23	1.39	7.75	3.26	3.32	1.48	47.17	7.94	8.92	1.43	176.29	51.71	13.62	28.04	6.41	1.23	46.5	23.76	3.17	16.63	21.47	0.0	50.98	9.13	3.79	3.35	18.7	26.1	161.02	1059.11	0.8
SIT1	31.22	279.14	12.36	571.05	44.57	441.64	37.32	166.73	14.67	114.36	55.1	314.17	5.23	126.12	51.71	108.14	22.59	97.36	269.6	25.91	4.43	9.85	29.48	12.18	6.84	6.26	145.02	16.63	49.91	4.13	466.88	217.27	61.25	144.01	27.64	7.75	149.12	108.14	8.92	59.55	116.78	0.0	265.87	29.27	22.43	7.11	10.79	114.36	651.58	954.43	2.03
SNX20	99.43	348.71	20.11	381.68	52.08	293.07	43.63	212.78	35.5	104.42	98.73	295.11	16.75	144.01	71.0	109.66	64.34	98.73	244.57	66.65	14.45	41.22	44.89	19.68	28.04	12.55	163.28	51.71	50.63	25.91	426.57	135.24	88.26	183.82	85.82	16.39	166.73	132.44	17.0	77.25	155.5	11.55	256.78	62.12	29.27	13.52	13.22	148.09	563.18	1529.73	2.34
SOWAHD	23.93	9.13	7.82	91.41	16.27	50.27	6.73	40.36	6.67	13.72	20.86	11.3	6.36	19.39	21.63	10.24	9.2	19.53	36.53	10.24	4.62	14.03	16.51	4.86	12.64	9.34	17.64	8.71	8.71	7.63	195.72	17.25	36.53	36.79	20.41	8.71	19.39	32.59	4.43	26.86	27.84	15.34	39.22	27.25	14.14	8.78	1.04	17.38	145.02	81.14	3.5
SPATC1	1.91	4.17	0.97	3.92	2.01	7.51	0.73	4.62	0.37	2.14	1.51	7.11	1.01	4.17	1.91	0.75	1.06	7.63	3.06	1.73	0.64	0.71	1.11	0.0	2.66	0.33	3.96	1.38	1.33	0.39	14.56	4.21	2.41	6.73	5.41	0.0	2.86	6.11	1.08	1.97	9.34	0.0	7.0	2.36	1.07	0.77	1.64	0.35	16.27	7.94	0.0
SPN	137.14	417.77	33.3	507.46	95.34	387.02	75.11	232.94	37.85	152.28	97.36	493.56	22.59	163.28	86.43	138.1	120.1	162.14	332.14	83.45	18.84	22.75	42.41	22.26	65.72	19.53	177.53	79.45	53.57	25.17	660.68	161.02	111.21	229.72	63.89	31.45	201.25	205.5	30.12	99.43	156.59	17.38	275.28	76.17	57.89	25.54	34.51	69.03	603.67	2090.03	11.73
SPOCK2	102.25	896.64	31.67	1199.98	158.79	872.1	94.01	406.31	41.81	329.84	171.45	866.07	30.78	466.88	166.73	260.38	71.0	224.97	759.08	102.25	19.53	27.25	113.56	71.0	21.94	34.02	414.87	67.12	64.34	37.85	947.83	521.76	231.32	389.72	90.77	27.64	607.87	264.03	40.07	100.83	251.48	22.75	764.36	88.88	102.97	87.03	85.82	629.35	1477.58	8022.41	44.89
TBC1D10C	125.24	305.55	36.53	819.3	63.45	866.07	45.53	236.21	29.7	181.28	88.88	518.15	39.5	205.5	94.01	129.69	61.68	327.56	603.67	76.17	17.13	50.63	68.55	43.63	50.27	19.39	283.05	59.97	76.71	17.64	1208.34	583.07	113.56	281.09	106.63	33.3	215.77	277.2	31.67	143.01	118.43	24.81	441.64	64.34	26.28	15.91	88.88	208.38	1498.22	7485.11	14.89
TIFAB	2.29	47.17	0.27	59.13	0.0	24.46	4.1	33.78	1.2	10.55	2.36	38.12	0.29	17.13	2.41	14.14	2.78	9.7	21.47	4.66	0.27	0.3	2.94	0.32	1.5	0.52	23.25	1.23	1.19	0.31	36.27	10.71	5.54	13.42	0.93	0.36	9.78	10.08	0.64	0.72	15.0	0.97	41.52	1.22	1.57	7.57	1.58	2.01	70.51	133.36	0.0
TMC8	109.66	417.77	28.24	429.54	85.22	547.75	55.89	231.32	55.89	139.07	90.77	591.22	71.5	173.85	77.25	144.01	67.59	400.71	384.34	67.59	19.68	36.01	72.52	24.81	47.5	16.75	275.28	62.56	98.73	28.65	961.07	395.18	113.56	229.72	115.16	35.76	169.07	229.72	34.51	127.89	101.54	27.25	267.73	69.03	76.17	38.95	93.35	153.34	1127.35	5041.77	5.45
TNFRSF4	136.19	138.1	19.11	447.82	152.28	287.01	40.36	115.97	50.98	166.73	63.89	183.82	29.7	128.79	82.29	48.18	31.22	112.77	341.51	57.49	29.06	77.79	72.01	108.9	69.52	25.35	161.02	42.41	26.28	51.35	264.03	197.09	129.69	165.57	316.37	22.75	159.9	182.55	105.15	65.26	95.34	37.59	470.14	82.87	75.64	126.12	23.59	138.1	642.59	368.65	21.32
TOR4A	56.28	62.12	18.56	149.12	53.95	87.03	14.89	59.97	31.0	77.25	53.57	77.25	25.35	35.76	56.68	31.0	22.43	73.03	115.16	28.45	13.83	48.87	38.12	69.52	35.76	16.51	67.12	18.7	21.16	29.48	178.77	50.98	47.17	101.54	100.13	20.71	70.01	109.66	65.26	36.53	60.39	48.18	115.97	44.25	31.0	18.43	22.1	540.19	361.04	117.6	10.63
WDFY4	82.87	343.89	17.25	307.69	90.77	309.83	46.5	169.07	48.18	140.04	63.89	314.17	24.11	124.37	76.71	122.64	70.51	142.01	172.65	40.36	20.11	33.3	84.04	16.03	63.45	10.16	208.38	73.03	36.79	429.54	368.65	171.45	82.87	127.0	88.88	29.91	146.03	189.02	21.47	92.05	113.56	8.45	214.27	54.33	60.82	31.0	18.97	145.02	595.34	1583.71	7.94
ZAP70	66.65	228.13	5.15	403.5	35.76	543.96	26.28	171.45	9.93	111.99	46.18	323.03	4.74	189.02	33.06	130.6	29.91	223.41	327.56	39.5	6.46	9.41	40.07	21.78	18.84	5.06	149.12	28.86	49.91	8.92	848.22	332.14	67.59	100.13	49.21	5.63	212.78	146.03	16.39	71.0	99.43	13.72	285.03	29.91	17.77	36.27	98.04	124.37	1304.15	3212.66	2.05
ZNF683	71.0	119.26	4.13	954.43	110.43	981.29	26.47	85.22	4.39	116.78	120.1	106.63	4.66	177.53	55.49	32.36	49.21	125.24	454.09	43.32	2.07	15.0	15.8	13.52	7.06	7.94	114.36	8.13	51.71	6.41	1277.29	60.39	85.22	117.6	49.21	0.29	217.27	177.53	13.52	87.65	92.05	5.11	255.0	33.78	15.34	50.27	96.01	173.85	381.68	915.51	1.97
