	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.GD.A3OP.11A.11R.A220.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.E2.A15M.11A.22R.A12D.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11DXX.1526.SM.5H115
C1orf21	435.55	1498.22	599.49	283.05	2224.63	2468.49	2319.15	1896.65	2061.24	2032.85	1794.29	2319.15	1081.39	463.65	1143.1	158.79	981.29
C4orf32	33.06	33.78	34.26	7.4	76.17	275.28	329.84	209.84	490.14	406.31	265.87	343.89	27.44	23.59	0.0	0.3	53.95
C5orf38	1.28	0.0	0.0	0.0	12.45	450.94	429.54	295.11	275.28	172.65	275.28	412.0	24.99	7.94	0.0	0.43	2.84
C8orf56	3.06	32.36	0.0	4.43	8.65	13.52	20.26	11.55	11.91	10.39	6.89	16.39	10.16	0.0	0.0	0.0	0.0
CALN1	0.0	0.0	0.0	0.0	0.0	4.9	10.71	7.34	22.43	11.55	7.63	12.93	39.79	16.51	0.0	0.0	0.59
CCDC178	20.71	1.22	1.73	1.3	20.11	138.1	264.03	80.01	351.14	346.29	237.86	346.29	212.78	87.03	0.0	0.0	45.53
CCDC38	0.0	0.6	1.14	0.65	1.99	0.73	6.31	5.02	8.71	6.62	6.94	5.77	1.69	1.19	0.0	0.04	0.39
CD34	287.01	447.82	177.53	343.89	1175.27	2627.46	3419.52	3235.01	4607.24	6121.9	3874.05	6840.04	2915.45	2032.85	0.0	0.0	2193.99
CEP112	57.08	24.63	27.05	37.85	86.43	244.57	368.65	309.83	358.54	429.54	285.03	406.31	307.69	277.2	0.0	0.49	149.12
CHKA	295.11	139.07	318.57	246.28	802.41	723.08	934.76	1023.0	896.64	540.19	860.08	435.55	1806.78	1286.18	0.0	0.75	241.19
CHRDL1	0.0	0.33	0.32	0.67	713.11	3212.66	4575.41	3768.09	3303.0	5183.54	2855.44	2701.35	22.59	35.25	1923.14	4543.8	1870.53
CNOT8	802.41	759.08	540.19	656.11	769.69	1088.92	1340.84	1242.34	1359.57	1167.14	1111.82	1167.14	1119.56	1340.84	0.0	0.69	1059.11
CRYZL1	679.29	624.99	587.13	476.71	547.75	988.12	764.36	915.51	967.76	915.51	836.53	802.41	723.08	785.88	0.0	0.53	693.58
CTBS	228.13	242.88	176.29	153.34	204.07	454.09	429.54	387.02	483.38	575.03	343.89	406.31	361.04	463.65	447.82	237.86	186.4
CUL3	1781.89	1477.58	1199.98	1369.04	1572.76	1674.06	1617.0	1407.55	1594.73	1561.89	1529.73	1477.58	1359.57	1183.45	728.11	928.3	872.1
DNAJB4	78.34	127.89	87.65	81.14	336.79	947.83	1159.07	684.02	1477.58	1216.75	1127.35	1794.29	281.09	248.0	0.0	0.21	258.57
DOCK9	426.57	718.08	303.44	536.45	836.53	1857.6	2075.59	2485.67	2855.44	1674.06	1883.54	1844.76	595.34	567.1	0.0	0.55	866.07
ELF1	587.13	796.86	525.39	559.28	909.17	1498.22	1199.98	1135.2	1457.23	1388.16	1268.46	1322.37	890.44	1119.56	450.94	119.26	525.39
ELK3	176.29	397.93	232.94	297.17	450.94	909.17	1191.69	1073.91	1551.09	1508.65	1340.84	1427.22	684.02	808.0	988.12	414.87	713.11
ELMO1	31.0	64.8	56.28	92.05	197.09	438.59	514.56	351.14	624.99	674.59	379.04	665.29	723.08	251.48	0.0	0.59	197.09
EPS15	351.14	327.56	397.93	285.03	454.09	967.76	848.22	884.29	995.0	1119.56	848.22	830.75	473.41	536.45	406.31	187.71	406.31
ERG	36.01	55.49	27.25	41.81	92.05	438.59	591.22	460.44	836.53	633.73	555.41	733.19	312.0	178.77	0.0	0.35	291.04
ETS1	307.69	224.97	332.14	218.79	486.75	1233.75	1350.18	1447.15	2335.28	1605.83	1583.71	1745.2	961.07	748.61	583.07	176.29	718.08
FAM124B	5.87	3.59	2.03	3.53	24.99	53.19	59.13	46.5	131.51	94.67	100.13	136.19	36.53	12.0	0.0	0.0	30.56
FAM175A	61.68	63.45	37.85	26.28	64.34	329.84	277.2	343.89	336.79	275.28	329.84	258.57	297.17	703.28	0.0	0.14	190.34
FAM8A1	120.94	205.5	170.25	117.6	215.77	728.11	620.67	728.11	743.43	743.43	665.29	616.37	486.75	525.39	0.0	0.48	291.04
FEM1C	96.68	101.54	89.51	59.13	178.77	332.14	339.14	343.89	397.93	435.55	295.11	373.81	289.02	246.28	110.43	129.69	132.44
FGD4	21.63	23.42	24.99	12.83	50.98	273.37	208.38	208.38	293.07	301.33	195.72	204.07	150.17	109.66	96.01	157.68	37.32
FGF2	4.03	2.73	2.63	3.86	28.86	529.06	470.14	397.93	397.93	633.73	389.72	351.14	135.24	82.87	0.0	0.32	246.28
FMO4	65.26	177.53	21.01	49.91	109.66	189.02	260.38	208.38	183.82	314.17	265.87	228.13	166.73	212.78	0.0	0.08	34.26
FOXN3	111.99	267.73	132.44	165.57	366.09	1008.9	902.89	1225.22	1159.07	1313.23	1044.52	1030.12	616.37	909.17	309.83	248.0	343.89
FRY	131.51	214.27	483.38	295.11	271.48	733.19	780.44	540.19	728.11	674.59	713.11	928.3	204.07	140.04	0.0	0.38	387.02
FSTL1	348.71	547.75	279.14	420.68	1572.76	7130.55	5633.22	4972.34	5147.73	10585.95	5076.84	9025.81	2148.82	2915.45	2319.15	88.88	5076.84
GEMIN5	115.16	116.78	102.25	74.06	109.66	271.48	241.19	295.11	287.01	248.0	253.23	242.88	186.4	148.09	0.0	0.0	249.73
GFOD1	10.63	24.99	19.39	7.46	66.65	116.78	242.88	134.3	343.89	202.66	130.6	199.85	92.05	42.71	46.18	96.01	101.54
GID4	80.57	53.95	100.13	38.67	79.45	246.28	228.13	246.28	253.23	251.48	191.67	241.19	202.66	183.82	0.0	0.38	102.97
GJC3	21.01	12.18	3.17	13.62	8.38	301.33	381.68	215.77	229.72	112.77	155.5	177.53	26.1	19.82	0.0	0.03	14.03
HAO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	1.87	0.71	0.38	0.0	0.0	0.0	0.0	0.0
HECA	239.52	273.37	197.09	301.33	429.54	555.41	529.06	493.56	583.07	521.76	551.56	563.18	265.87	279.14	171.45	279.14	117.6
HERPUD2	387.02	400.71	232.94	332.14	361.04	532.74	536.45	599.49	669.92	629.35	638.15	603.67	376.41	493.56	423.61	127.89	366.09
HIP1	94.01	67.59	115.16	88.88	102.25	409.15	480.04	432.53	693.58	521.76	563.18	595.34	409.15	392.44	0.0	0.66	303.44
HMBOX1	176.29	181.28	161.02	228.13	180.02	521.76	371.22	571.05	540.19	476.71	447.82	341.51	529.06	343.89	0.0	0.56	320.8
IFT46	384.34	343.89	239.52	229.72	406.31	743.43	612.11	733.19	836.53	808.0	854.13	802.41	713.11	1617.0	0.0	0.07	603.67
INHBB	32.82	204.07	17.25	129.69	122.64	638.15	866.07	808.0	836.53	769.69	629.35	1073.91	358.54	1104.13	0.0	0.22	62.56
KAT2B	181.28	144.01	226.54	74.06	285.03	301.33	336.79	403.5	463.65	575.03	329.84	336.79	318.57	323.03	0.0	0.38	327.56
KBTBD2	381.68	521.76	432.53	409.15	348.71	748.61	785.88	665.29	954.43	1044.52	813.63	921.88	536.45	497.0	0.0	0.59	395.18
KBTBD3	78.34	57.49	80.01	54.33	100.83	206.94	199.85	176.29	186.4	197.09	175.07	178.77	117.6	92.05	0.0	0.25	51.71
KCTD18	142.01	171.45	127.89	102.25	171.45	429.54	395.18	414.87	353.59	371.22	371.22	329.84	323.03	387.02	0.0	0.0	318.57
KIAA0040	151.22	312.0	92.05	128.79	299.25	808.0	656.11	764.36	819.3	896.64	728.11	1088.92	775.05	896.64	329.84	1208.34	371.22
KIAA0226	76.71	108.14	194.36	117.6	132.44	232.94	186.4	253.23	287.01	237.86	256.78	241.19	232.94	144.01	185.11	218.79	146.03
KIAA0355	77.79	103.69	100.13	127.0	116.78	423.61	395.18	389.72	775.05	669.92	483.38	486.75	316.37	248.0	0.0	0.45	178.77
KIAA1217	325.29	291.04	389.72	379.04	559.28	1697.45	1111.82	1407.55	1662.49	1417.35	1651.0	1313.23	1519.15	2133.97	156.59	329.84	176.29
KLF11	58.71	82.87	31.22	43.94	189.02	708.18	684.02	785.88	902.89	819.3	802.41	791.35	309.83	447.82	0.0	0.36	229.72
LEPROT	679.29	928.3	567.1	656.11	785.88	2720.15	2119.22	2209.26	2319.15	3124.78	2240.11	2119.22	1745.2	2119.22	1359.57	1104.13	1191.69
LHX6	14.24	15.0	40.64	20.71	50.63	153.34	193.01	190.34	514.56	323.03	202.66	332.14	92.7	31.45	0.0	0.16	62.12
LRRC70	28.04	26.67	12.83	9.56	98.04	104.42	334.46	287.01	529.06	392.44	262.2	607.87	121.79	118.43	0.0	0.2	72.52
LRRC8C	34.75	35.5	41.22	45.85	50.98	220.32	316.37	221.86	351.14	525.39	232.94	329.84	54.72	54.72	0.0	0.32	232.94
LRRN3	1.55	0.91	3.44	0.65	22.92	186.4	149.12	78.89	91.41	212.78	66.65	56.28	7.22	151.22	0.0	0.0	35.25
LYST	52.45	102.25	172.65	42.41	283.05	540.19	420.68	507.46	616.37	518.15	400.71	497.0	256.78	226.54	0.0	0.68	198.47
MAB21L1	2.48	1.51	6.31	0.66	8.71	251.48	70.51	255.0	105.15	82.29	100.83	60.39	3.89	1.5	0.0	0.0	4.31
MAPT	2.2	3.35	8.65	1.95	9.2	384.34	287.01	571.05	607.87	289.02	314.17	529.06	30.56	57.89	0.0	0.13	13.03
MCF2L	329.84	229.72	543.96	320.8	258.57	454.09	599.49	616.37	915.51	363.56	555.41	595.34	796.86	223.41	0.0	0.97	136.19
MINPP1	211.31	205.5	118.43	181.28	211.31	318.57	303.44	223.41	314.17	325.29	223.41	329.84	299.25	316.37	0.0	0.42	159.9
MKL2	68.07	68.55	52.82	52.45	120.1	947.83	454.09	703.28	1242.34	1127.35	878.17	698.41	287.01	237.86	0.0	0.11	173.85
MMRN1	49.56	3.92	2.34	38.4	201.25	967.76	1216.75	1096.5	2075.59	1151.06	1037.29	769.69	480.04	295.11	0.0	0.27	447.82
MUC5B	0.0	2.97	0.0	0.0	0.68	28.65	68.55	36.79	18.16	78.89	52.45	24.28	5.923719433E7	3.066309426E7	0.0	0.0	15.22
MXRA8	264.03	212.78	223.41	346.29	1183.45	3665.02	3614.55	3564.78	3467.27	3257.52	3982.99	5954.47	20030.74	6983.79	0.0	1.01	1498.22
MYCT1	21.63	53.57	21.16	30.56	146.03	346.29	698.41	429.54	928.3	796.86	518.15	915.51	229.72	131.51	45.21	283.05	348.71
NAV3	0.65	0.93	1.46	0.67	26.86	159.9	127.0	135.24	201.25	147.06	124.37	104.42	5.68	5.02	0.0	0.51	28.45
NDST1	115.16	178.77	173.85	151.22	271.48	1135.2	1015.93	1572.76	1508.65	1059.11	1250.98	1096.5	351.14	253.23	0.0	0.4	728.11
NEK7	275.28	503.95	312.0	164.42	307.69	1167.14	1191.69	995.0	1259.69	1923.14	961.07	981.29	417.77	503.95	0.0	0.33	346.29
NMNAT2	0.34	1.83	3.47	0.67	4.74	86.43	142.01	124.37	204.07	144.01	101.54	194.36	71.0	32.59	116.78	325.29	16.15
NUB1	684.02	988.12	698.41	830.75	1378.57	1498.22	1844.76	1819.35	1896.65	1561.89	2018.8	1437.15	1467.37	1551.09	1437.15	511.0	624.99
OPHN1	13.62	26.47	13.22	11.55	40.07	181.28	89.51	161.02	154.42	151.22	124.37	96.68	206.94	148.09	0.0	0.33	76.17
OR1L8	0.0	0.6	0.58	2.53	0.68	5.02	4.21	6.36	2.97	3.2	4.86	5.5	3.66	4.78	0.0	0.0	1.17
PARN	579.04	563.18	379.04	656.11	616.37	684.02	612.11	642.59	665.29	753.83	674.59	688.78	669.92	775.05	656.11	723.08	579.04
PDGFB	23.08	116.78	62.56	84.63	117.6	353.59	547.75	432.53	624.99	543.96	358.54	607.87	193.01	316.37	0.0	0.13	189.02
PDGFD	40.93	71.5	33.3	42.71	97.36	1268.46	1015.93	1001.93	995.0	1508.65	1135.2	1561.89	1286.18	915.51	0.0	0.15	118.43
PEAR1	32.13	29.06	57.08	36.53	59.97	242.88	260.38	332.14	511.0	303.44	253.23	312.0	332.14	269.6	0.0	0.67	132.44
PICALM	1286.18	1447.15	1369.04	884.29	1697.45	4095.0	3564.78	3419.52	4239.45	6207.38	3349.13	4268.94	1594.73	1819.35	0.0	0.52	1617.0
PIK3CA	62.12	138.1	138.1	71.0	141.02	647.07	460.44	620.67	642.59	688.78	525.39	660.68	163.28	126.12	159.9	90.77	119.26
PMP22	59.13	131.51	185.11	120.1	1628.26	5913.33	4704.07	5329.3	4869.99	7966.99	4802.93	8022.41	6121.9	4869.99	902.89	281.09	4066.71
PPM1D	52.08	150.17	120.1	56.28	94.67	291.04	309.83	251.48	450.94	366.09	316.37	540.19	267.73	273.37	0.0	0.06	175.07
PPP3CC	164.42	169.07	85.22	72.52	309.83	327.56	409.15	397.93	507.46	460.44	361.04	426.57	231.32	242.88	0.0	0.57	258.57
PROKR1	0.0	0.3	0.85	0.96	1.0	8.71	18.29	7.11	26.67	6.01	4.21	6.31	2.76	3.2	0.0	0.0	2.76
PTPRB	68.07	45.21	72.01	45.21	59.55	435.55	579.04	363.56	1151.06	941.27	438.59	775.05	209.84	98.73	0.0	0.35	214.27
RBMS2	81.71	94.67	82.29	77.79	130.6	521.76	356.05	518.15	579.04	660.68	493.56	490.14	358.54	248.0	0.0	0.57	129.69
RELN	0.0	0.0	1.45	0.0	31.9	199.85	202.66	255.0	358.54	155.5	194.36	152.28	166.73	232.94	0.0	0.22	52.45
RNF125	6.52	6.31	4.35	4.82	34.51	166.73	186.4	218.79	236.21	215.77	178.77	215.77	96.68	110.43	0.0	0.12	81.71
RNF13	684.02	775.05	836.53	674.59	842.36	2148.82	1923.14	1883.54	1991.0	2434.5	1745.2	1857.6	1159.07	1457.23	0.0	0.6	934.76
RP11-366L20.2	0.0	0.62	0.88	0.66	0.68	13.32	10.79	24.63	31.0	10.47	18.7	14.35	18.16	16.75	0.0	0.22	0.38
RP11-872D17.8	3.06	12.45	10.79	9.78	3.35	65.72	105.15	24.11	64.8	35.0	53.95	40.93	17.38	10.55	0.0	0.18	15.8
SASH1	108.9	180.02	96.68	130.6	312.0	764.36	808.0	872.1	988.12	981.29	848.22	961.07	309.83	379.04	67.12	148.09	148.09
SBF2	236.21	260.38	176.29	193.01	309.83	679.29	540.19	679.29	693.58	693.58	567.1	532.74	518.15	595.34	0.0	0.64	392.44
SCN3B	0.32	0.61	0.3	0.0	10.08	58.71	94.67	68.55	107.38	57.08	56.28	54.33	32.82	14.03	0.0	0.36	23.93
SDCCAG8	414.87	368.65	314.17	511.0	753.83	941.27	1104.13	967.76	1127.35	988.12	1051.79	1151.06	1605.83	1551.09	607.87	842.36	269.6
SEC14L1	208.38	256.78	368.65	295.11	358.54	1143.1	1417.35	1268.46	1909.85	1508.65	967.76	1407.55	1008.9	1277.29	0.0	0.51	764.36
SEPP1	392.44	1135.2	470.14	289.02	6699.25	14765.09	13492.72	17437.64	14461.21	19754.96	14765.09	14765.09	26614.89	18560.17	3372.43	241.19	1331.57
SEPT4	54.33	38.67	57.89	84.04	111.99	532.74	1199.98	753.83	915.51	642.59	947.83	848.22	269.6	198.47	0.0	0.42	327.56
SERPINA12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	2.61	2.78	3.69	1.99	0.17	0.0	0.0	0.0	2.39
SETD7	111.99	194.36	142.01	108.9	293.07	1119.56	866.07	995.0	1066.48	1477.58	1030.12	1088.92	599.49	928.3	356.05	110.43	206.94
SGK223	112.77	64.34	81.14	60.39	130.6	269.6	275.28	283.05	358.54	229.72	217.27	327.56	251.48	395.18	31.45	73.03	59.97
SHE	21.32	19.11	4.35	20.41	123.5	348.71	447.82	295.11	624.99	511.0	414.87	490.14	246.28	68.55	0.0	0.53	176.29
SHOC2	381.68	346.29	202.66	339.14	426.57	890.44	733.19	660.68	928.3	1023.0	728.11	718.08	409.15	612.11	0.0	0.47	624.99
SHROOM4	11.73	19.68	12.36	21.63	60.82	127.0	126.12	129.69	264.03	221.86	120.94	177.53	85.82	32.82	0.0	0.45	61.68
SLC5A4	0.32	1.5	0.87	2.23	5.02	8.13	21.16	22.43	44.25	36.01	30.78	11.04	5.28	6.57	0.0	0.13	7.17
SMAD5	218.79	224.97	163.28	157.68	229.72	718.08	473.41	738.29	860.08	785.88	759.08	624.99	368.65	460.44	0.0	0.4	299.25
SNRK	159.9	169.07	128.79	149.12	486.75	563.18	679.29	587.13	941.27	928.3	791.35	759.08	423.61	447.82	0.0	0.15	426.57
SNX29	76.17	66.65	34.26	45.85	74.58	297.17	242.88	346.29	269.6	379.04	264.03	262.2	159.9	341.51	0.0	0.4	171.45
SNX4	312.0	595.34	426.57	279.14	381.68	830.75	728.11	708.18	743.43	703.28	624.99	669.92	423.61	684.02	0.0	0.35	493.56
SOS2	155.5	133.36	108.9	125.24	241.19	733.19	540.19	579.04	669.92	651.58	555.41	563.18	277.2	363.56	0.0	0.53	226.54
SPINK8	0.0	0.0	0.0	4.1	9.93	151.22	56.28	237.86	42.41	93.35	80.57	68.55	0.0	0.0	0.0	0.0	0.0
SV2B	0.0	0.31	0.3	0.0	7.34	45.85	64.34	65.72	84.04	80.01	57.89	60.39	2.41	4.78	0.0	0.12	10.31
SWT1	38.12	75.11	67.12	61.68	43.94	137.14	97.36	127.89	152.28	117.6	99.43	119.26	116.78	101.54	0.0	0.2	58.71
SYT7	4.13	69.03	1.22	22.26	41.22	305.55	275.28	454.09	450.94	199.85	327.56	371.22	36.01	202.66	0.0	0.57	98.04
TAL1	2.2	11.04	4.35	16.27	33.54	131.51	175.07	131.51	262.2	134.3	105.15	120.94	93.35	37.85	0.0	0.47	104.42
TBC1D15	208.38	429.54	229.72	332.14	423.61	1127.35	1143.1	1119.56	1304.15	1208.34	1216.75	1037.29	743.43	733.19	769.69	130.6	371.22
TBC1D23	299.25	361.04	209.84	251.48	332.14	616.37	563.18	543.96	612.11	669.92	532.74	463.65	334.46	316.37	0.0	0.62	251.48
TBC1D9	264.03	198.47	237.86	162.14	629.35	1769.57	1963.57	1832.01	2758.13	1199.98	2133.97	1519.15	902.89	988.12	0.0	0.48	208.38
TBX22	0.0	0.0	0.57	0.0	0.34	8.99	3.35	10.79	3.26	3.89	1.46	0.0	2.41	0.0	0.0	0.0	0.0
THRAP3	674.59	947.83	638.15	607.87	1127.35	1467.37	1551.09	1909.85	1923.14	1685.71	1769.57	1447.15	1015.93	1313.23	866.07	1923.14	1350.18
THSD1	81.14	43.63	19.68	53.19	92.7	142.01	214.27	244.57	351.14	205.5	265.87	356.05	387.02	92.05	0.0	0.38	94.01
TLL1	3.72	1.53	0.89	2.27	24.11	59.97	98.73	78.89	145.02	167.9	107.38	135.24	38.12	17.13	0.0	0.05	26.86
TM6SF1	40.93	29.91	25.54	12.55	82.87	242.88	226.54	133.36	400.71	316.37	191.67	295.11	218.79	120.94	0.0	0.39	97.36
TOPORS	74.58	108.14	134.3	70.51	195.72	420.68	417.77	403.5	514.56	420.68	500.46	470.14	251.48	277.2	0.0	0.38	185.11
TRIB3	38.4	177.53	108.9	32.36	141.02	194.36	241.19	273.37	248.0	163.28	301.33	218.79	75.11	56.68	0.0	0.0	53.19
TRIM23	40.64	72.52	59.55	23.76	62.12	325.29	204.07	314.17	332.14	237.86	232.94	246.28	136.19	173.85	0.0	0.18	92.05
TRMT5	98.04	70.51	135.24	58.71	161.02	273.37	309.83	387.02	320.8	353.59	336.79	309.83	105.89	159.9	232.94	61.25	163.28
UACA	244.57	295.11	454.09	305.55	435.55	1277.29	1159.07	1508.65	1819.35	1437.15	1331.57	1151.06	2895.31	1883.54	0.0	0.21	559.28
UBE2R2	327.56	457.25	543.96	414.87	624.99	743.43	813.63	738.29	785.88	813.63	693.58	785.88	842.36	836.53	599.49	591.22	579.04
ULK2	76.17	73.03	97.36	59.13	111.21	426.57	246.28	392.44	343.89	514.56	358.54	256.78	547.75	432.53	0.0	0.37	96.68
USP32	190.34	255.0	361.04	228.13	220.32	579.04	420.68	514.56	713.11	563.18	536.45	454.09	314.17	316.37	0.0	0.55	281.09
USP53	142.01	141.02	126.12	72.01	325.29	2061.24	1143.1	775.05	934.76	1183.45	1175.27	995.0	656.11	432.53	447.82	1467.37	329.84
VGLL3	64.34	43.32	63.89	57.08	53.57	366.09	248.0	172.65	171.45	551.56	277.2	316.37	22.26	9.85	34.02	78.89	48.18
VIPAS39	181.28	361.04	178.77	249.73	195.72	389.72	339.14	403.5	389.72	373.81	356.05	353.59	348.71	426.57	0.0	0.12	249.73
WDR26	450.94	480.04	713.11	591.22	866.07	1167.14	981.29	1167.14	1233.75	1397.83	1066.48	1066.48	802.41	802.41	808.0	379.04	587.13
WIPI1	457.25	579.04	271.48	412.0	551.56	1119.56	1242.34	1030.12	909.17	995.0	669.92	1242.34	1208.34	791.35	0.0	0.96	236.21
ZCCHC17	607.87	629.35	447.82	660.68	693.58	902.89	981.29	848.22	981.29	718.08	848.22	796.86	860.08	780.44	1096.5	457.25	647.07
ZFAND1	529.06	748.61	961.07	403.5	674.59	1350.18	1268.46	1286.18	1286.18	1167.14	1304.15	1208.34	902.89	1127.35	0.0	0.71	733.19
ZNF28	178.77	197.09	432.53	209.84	177.53	271.48	236.21	281.09	307.69	260.38	205.5	221.86	77.25	351.14	137.14	77.25	90.14
ZNF366	3.41	5.11	2.61	2.25	7.4	61.68	82.87	61.25	155.5	54.72	47.17	60.82	32.82	24.11	0.0	0.09	24.63
ZNF429	153.34	96.68	140.04	90.14	157.68	291.04	258.57	339.14	343.89	303.44	285.03	281.09	480.04	1104.13	0.0	0.28	191.67
ZNF676	0.0	0.32	19.97	0.0	3.03	45.21	26.1	40.93	40.36	35.5	17.0	25.54	15.56	23.59	0.0	0.19	28.45
ZNF729	0.0	0.0	0.29	0.0	0.0	3.53	2.1	2.89	3.72	1.46	0.34	0.0	0.53	1.28	0.0	0.01	0.0
ZNF792	80.57	58.71	52.82	69.52	24.46	96.01	105.89	109.66	183.82	84.63	88.88	111.99	153.34	131.51	0.0	0.39	43.63
