	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.VP.A87C.01A.11R.A352.07	TCGA.CH.5792.01A.11R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7821.01A.12R.2118.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.KC.A4BV.01A.31R.A26U.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
ITGA4	100.13	6.21	6.73	7.28	25.91	66.18	43.94	48.18	89.51	50.98	16.39	32.36	59.13	49.21	20.71	19.11	35.76	40.93	80.57	14.24	12.0	7.28	71.0	146.03	44.25	15.0	98.73	17.38	30.34	59.55	71.0	21.63	24.46	52.82	2.81	4.74	236.21	97.36	11.13	18.43	7.57	82.29	13.93	25.91	32.13	10.31	72.01	55.89	229.72	15.34	43.32	19.39	18.56	23.76	71.5	19.82	27.25	30.78	9.85	77.79	121.79	84.63	26.1	21.32	8.58	7.17	11.13	45.85	5.96	16.63	13.83	10.88	14.03	29.91	10.0	15.34	12.93	24.63	139.07	17.64	11.21	90.14	13.42	10.96	9.93	90.14	44.25	115.16	87.65	23.76	92.05
ITGAM	81.14	18.29	5.77	9.06	25.72	68.55	34.51	43.63	74.06	92.05	34.75	35.25	53.95	72.01	16.51	61.25	37.32	63.45	73.54	37.32	31.0	13.12	122.64	151.22	66.65	29.7	75.11	37.85	27.25	92.05	100.83	31.0	32.82	59.55	4.35	30.56	151.22	118.43	24.81	16.03	8.45	115.16	15.45	37.85	137.14	29.27	66.18	63.45	142.01	22.75	38.12	9.93	40.36	44.57	64.34	14.89	24.11	45.85	22.59	141.02	127.89	92.7	27.44	18.16	23.93	11.47	9.63	33.54	15.91	54.72	24.63	14.35	16.27	36.01	10.88	30.56	33.06	24.46	95.34	35.0	11.82	50.27	15.11	24.99	19.39	80.57	56.68	66.65	57.89	35.76	119.26
KIF21B	9.06	2.03	1.99	4.17	4.98	17.38	23.42	22.1	25.54	10.55	6.11	11.64	8.32	15.11	7.4	7.0	7.17	8.85	25.17	5.92	3.99	2.86	27.64	26.1	11.3	2.86	19.97	2.16	20.26	13.12	27.05	6.36	6.78	14.56	0.93	4.24	93.35	24.11	4.13	4.74	6.41	20.86	2.41	5.54	5.5	11.04	16.75	9.27	44.89	5.73	10.16	6.67	9.06	16.03	10.08	9.56	5.5	8.65	2.84	22.26	21.32	12.55	6.01	8.25	2.86	3.92	10.47	13.52	4.82	12.74	3.82	4.62	5.19	16.75	4.78	4.58	7.82	12.36	16.03	9.06	5.87	16.63	5.15	8.06	6.52	13.93	29.06	18.56	24.11	5.96	9.34
KLK2	246289.25	520665.48	391864.76	244588.0	288856.81	234624.45	242898.5	329517.51	225066.78	273275.14	284880.02	353168.2	292889.12	258533.99	324980.94	309589.14	350728.68	378516.38	241220.67	353168.2	334117.42	341137.96	198667.0	273275.14	236256.4	378516.38	318292.9	383800.28	263966.36	253213.41	244588.0	280957.98	386469.83	360589.03	341137.96	443937.41	181548.07	171754.88	292889.12	338781.54	279017.26	294926.33	201440.3	311742.51	363097.14	324980.94	299043.36	294926.33	153724.82	329517.51	320506.81	373305.21	316094.29	303217.87	320506.81	301123.38	419990.32	345900.08	334117.42	169390.27	193234.41	228208.61	331809.5	324980.94	279017.26	355624.68	437825.58	290865.98	204252.32	265802.39	217400.14	256748.15	260332.24	331809.5	251464.33	375901.76	389157.95	299043.36	260332.24	365622.68	299043.36	214407.12	239554.43	383800.28	402881.61	241220.67	241220.67	200048.85	263966.36	370726.6	223512.12
KYNU	30.78	8.32	1.16	3.38	16.63	32.13	16.27	18.03	28.04	24.28	11.73	15.34	25.72	17.51	8.71	10.55	10.71	16.51	29.06	6.52	8.0	4.86	29.27	93.35	33.06	9.06	43.32	12.27	11.55	45.85	54.72	12.09	76.17	28.45	3.5	16.03	77.25	62.56	10.47	18.7	6.78	25.35	11.55	5.63	8.92	11.3	22.92	15.22	71.0	9.06	26.47	4.58	14.45	10.39	29.06	10.0	9.2	21.32	17.77	55.1	55.89	18.7	9.56	7.11	9.7	11.91	12.09	24.99	6.46	13.12	8.38	3.17	9.93	22.59	3.96	26.1	10.63	12.64	31.67	5.82	5.92	33.54	5.41	4.62	6.94	33.78	58.3	96.68	22.75	12.0	23.08
LCP2	334.46	78.34	20.86	57.89	217.27	260.38	220.32	239.52	283.05	223.41	191.67	178.77	208.38	281.09	129.69	114.36	144.01	221.86	339.14	68.07	159.9	91.41	346.29	748.61	224.97	111.21	426.57	75.64	165.57	361.04	339.14	183.82	209.84	262.2	55.1	113.56	1059.11	463.65	92.05	135.24	65.26	281.09	109.66	155.5	279.14	107.38	353.59	183.82	934.76	105.89	231.32	48.52	113.56	165.57	244.57	76.71	154.42	204.07	44.25	579.04	483.38	264.03	132.44	131.51	77.25	45.53	40.64	209.84	51.35	167.9	76.71	80.57	112.77	155.5	35.25	167.9	127.89	120.1	400.71	190.34	80.57	376.41	38.95	105.89	70.51	244.57	291.04	305.55	351.14	138.1	483.38
LILRA1	23.42	3.38	1.01	1.73	19.68	24.11	8.38	5.54	14.89	13.83	6.73	9.41	8.19	10.39	3.29	6.52	5.32	12.18	13.03	2.41	6.78	3.2	30.34	17.64	12.27	4.24	25.72	5.41	11.04	16.03	11.73	5.19	6.67	11.91	0.68	9.7	18.03	34.02	2.05	6.26	1.14	17.38	2.76	8.65	2.89	5.28	5.41	9.93	26.1	4.94	10.71	3.11	8.19	2.58	34.02	3.29	4.24	9.2	2.46	27.84	23.76	16.51	3.82	5.28	3.53	2.46	1.41	8.99	0.72	10.08	2.39	4.21	4.39	7.69	3.11	4.54	6.31	10.47	18.16	7.46	2.18	15.56	3.47	4.74	1.17	21.94	17.38	16.03	9.48	6.89	31.9
LRMP	77.79	32.82	3.41	22.1	27.25	87.65	59.97	49.21	52.45	58.71	16.88	18.97	44.57	42.41	37.32	26.47	31.67	36.53	106.63	13.03	22.92	22.75	60.39	115.97	41.52	38.95	63.89	10.31	33.3	48.18	62.12	22.26	29.06	53.57	11.38	23.59	547.75	85.22	27.44	71.5	14.24	49.21	9.41	36.79	47.17	19.97	54.33	34.02	187.71	19.25	39.22	14.78	26.67	21.32	35.25	20.11	24.46	25.17	8.99	125.24	94.67	74.06	21.16	16.27	25.72	34.75	11.21	39.5	18.43	54.72	18.16	43.94	28.86	72.01	8.58	25.72	17.38	38.4	71.5	48.18	17.64	54.72	9.56	25.35	16.63	104.42	185.11	191.67	122.64	54.72	77.79
LY75	60.82	4.03	8.85	9.78	16.03	26.1	35.0	30.78	36.27	49.91	12.18	9.78	29.27	31.67	15.91	13.22	21.78	17.0	38.95	8.65	7.11	10.24	40.93	88.88	29.48	6.62	41.22	7.4	18.84	42.41	40.36	10.0	17.77	25.72	1.66	14.89	136.19	48.18	14.45	9.93	6.01	43.94	6.41	14.35	13.32	16.27	33.3	31.67	84.63	14.45	31.9	4.98	14.67	18.97	22.92	14.35	14.56	18.43	9.78	38.4	61.25	38.4	14.56	19.11	9.27	7.11	7.4	24.99	1.75	25.72	8.65	9.48	4.9	36.27	3.72	15.8	9.78	15.68	35.25	21.78	14.56	24.11	6.16	9.56	12.18	56.28	84.04	96.68	46.84	19.97	74.58
MNDA	157.68	12.55	3.29	6.57	52.08	95.34	65.72	45.53	127.89	68.07	40.93	38.4	49.91	87.03	20.86	43.94	31.9	140.04	75.11	18.56	29.48	17.77	130.6	189.02	72.01	27.05	120.1	38.67	59.55	90.77	105.89	34.26	31.67	60.39	5.15	38.12	332.14	138.1	26.1	29.27	6.94	74.58	23.76	29.7	21.47	29.06	40.36	39.5	217.27	24.99	57.89	14.78	44.89	41.81	119.26	38.4	26.28	88.88	16.63	185.11	115.97	80.57	37.32	18.7	23.42	16.39	12.64	87.03	14.89	44.89	32.59	17.77	20.11	29.48	8.71	33.78	21.78	40.64	165.57	28.04	19.68	77.79	8.78	27.84	29.27	118.43	85.82	182.55	91.41	77.79	204.07
MPEG1	269.6	57.08	4.31	33.54	96.68	293.07	178.77	115.16	239.52	180.02	85.82	88.88	133.36	178.77	53.95	105.89	83.45	127.89	228.13	52.45	35.25	41.52	417.77	363.56	176.29	57.49	403.5	36.01	143.01	244.57	234.57	44.57	55.1	163.28	18.97	83.45	638.15	423.61	64.8	40.07	18.43	269.6	37.59	147.06	67.59	47.5	100.83	176.29	490.14	57.89	134.3	26.1	76.17	91.41	208.38	71.5	78.34	88.26	21.16	373.81	376.41	205.5	80.01	55.89	36.79	44.25	25.17	197.09	27.44	92.7	31.0	34.51	50.63	101.54	20.71	63.89	53.95	133.36	173.85	64.8	30.34	180.02	35.0	78.34	40.64	223.41	159.9	273.37	232.94	99.43	287.01
NCKAP1L	146.03	31.45	6.26	20.71	50.63	114.36	98.73	121.79	148.09	102.97	84.04	62.56	96.01	98.04	35.76	46.5	65.72	71.5	146.03	26.86	31.0	31.22	220.32	260.38	92.05	26.67	139.07	27.05	63.45	206.94	149.12	40.64	60.39	83.45	10.39	60.82	529.06	281.09	33.06	34.75	38.95	131.51	16.27	69.52	68.55	29.91	70.01	140.04	379.04	40.36	81.14	14.89	55.89	56.28	102.97	34.51	56.28	77.79	13.42	264.03	195.72	123.5	44.25	55.89	29.91	36.01	11.55	61.68	12.64	82.87	30.12	24.81	30.78	63.0	17.64	37.85	41.22	72.52	218.79	78.89	29.48	85.22	19.11	43.32	35.0	115.97	109.66	151.22	105.89	49.91	166.73
NLRP3	26.67	2.76	0.61	7.06	10.0	36.79	29.48	23.59	32.13	25.91	10.47	20.26	15.0	33.54	8.85	9.34	10.16	30.34	33.06	5.23	33.54	2.92	50.63	50.27	26.86	6.06	29.91	11.38	33.54	31.45	66.65	5.02	15.8	15.45	3.79	11.21	109.66	48.18	8.78	4.98	9.06	37.05	5.28	12.36	17.25	17.0	51.35	19.53	51.35	9.78	13.12	6.31	9.34	8.25	58.71	10.71	12.09	27.64	4.78	37.32	59.13	27.05	12.09	25.35	20.11	14.67	10.88	40.07	7.94	19.39	13.03	10.96	9.7	22.43	2.84	9.2	10.96	23.08	33.78	19.25	32.13	63.89	3.44	20.86	4.82	26.86	34.51	38.4	70.51	15.68	29.48
NRROS	49.56	25.91	6.57	13.22	22.75	88.26	65.26	49.56	61.68	53.95	40.64	31.45	38.12	46.5	29.27	38.67	19.68	48.52	78.34	19.25	18.97	28.04	105.15	63.45	71.0	19.25	49.21	15.45	56.28	56.28	61.68	15.91	24.28	74.58	10.96	28.86	155.5	104.42	19.39	36.53	19.53	98.04	11.55	41.22	78.89	32.59	42.71	44.57	99.43	19.97	30.12	12.36	34.26	37.59	34.26	19.82	40.07	15.22	19.39	136.19	105.89	69.52	30.12	17.64	16.15	28.45	42.11	63.89	10.47	39.79	22.26	19.11	29.48	30.78	13.62	28.86	32.36	52.82	48.18	34.02	20.11	35.5	21.47	32.36	34.75	57.49	66.65	65.72	47.17	32.82	81.71
P2RY13	27.44	5.41	0.88	3.06	13.52	57.49	52.82	14.67	37.85	28.65	11.82	11.3	23.59	30.34	8.45	16.75	13.22	24.28	38.95	9.27	3.92	7.4	53.95	82.87	19.97	9.06	46.18	10.96	9.78	46.84	20.71	4.5	9.48	25.91	1.36	10.55	110.43	57.49	9.41	15.0	3.66	23.25	5.5	20.41	5.82	17.9	14.56	35.25	111.99	6.52	23.93	1.99	17.0	12.83	20.41	17.0	13.52	36.27	5.36	41.52	70.01	41.81	8.85	14.03	3.76	7.57	2.32	23.42	4.66	34.51	8.65	7.82	6.26	26.86	8.19	10.88	8.13	27.84	58.71	17.25	7.22	32.13	5.77	9.56	10.0	52.82	24.99	52.08	30.34	25.17	48.52
P2RY14	12.45	4.21	1.73	1.81	4.35	11.13	8.99	8.32	13.52	7.46	3.17	10.47	4.17	6.78	2.92	3.08	3.17	11.04	24.99	1.81	5.02	1.57	9.06	30.78	10.16	7.28	16.88	2.25	3.53	15.91	31.45	7.17	8.19	4.46	1.41	5.32	65.72	15.8	5.15	4.94	2.97	16.15	1.5	7.51	28.04	2.84	20.71	6.57	35.0	3.47	7.4	2.07	3.86	3.29	6.73	3.89	2.76	5.45	2.48	8.99	18.03	15.68	3.72	6.01	1.87	3.11	0.91	13.12	2.41	4.39	7.34	4.06	1.5	10.08	0.24	3.03	5.36	3.14	10.88	7.4	1.27	8.92	2.23	3.56	2.36	33.3	8.92	52.08	35.0	9.48	33.3
PIK3CD	83.45	15.45	12.64	11.55	49.21	112.77	91.41	107.38	94.67	93.35	57.08	54.72	69.52	81.71	34.75	33.3	41.52	63.45	143.01	24.99	15.56	24.63	176.29	154.42	78.34	22.59	83.45	26.1	53.95	83.45	120.1	42.41	35.76	73.54	4.54	48.87	392.44	151.22	32.13	27.44	28.65	107.38	16.03	44.89	44.89	55.49	55.1	68.07	249.73	22.59	46.18	10.08	42.41	73.54	60.39	38.95	78.34	56.28	10.31	144.01	137.14	98.73	35.5	36.53	31.0	23.76	11.38	59.97	17.38	74.06	22.1	26.67	29.06	76.71	24.63	36.53	48.87	58.3	75.64	83.45	38.4	83.45	13.83	35.0	34.75	81.14	151.22	114.36	140.04	57.08	119.26
PIK3CG	28.65	3.23	0.89	2.41	7.17	20.86	15.68	11.47	30.34	12.0	3.41	5.63	11.21	11.82	5.36	6.57	8.13	10.0	17.13	3.0	2.48	5.5	24.63	33.78	13.22	3.69	24.63	2.56	6.46	24.28	18.43	2.46	5.45	16.03	1.73	3.06	68.55	33.78	2.68	6.73	1.35	20.26	1.53	5.63	5.32	2.2	10.96	18.16	50.27	6.67	13.22	3.06	8.25	4.17	21.16	5.02	6.31	8.78	2.18	28.65	33.54	25.91	4.54	4.62	0.96	4.86	2.16	11.38	1.22	4.9	3.86	2.78	3.82	10.96	2.2	5.23	4.58	9.85	31.0	6.11	2.25	21.78	4.1	2.58	1.36	25.72	14.89	39.22	25.35	8.85	31.9
PLBD1	172.65	34.02	11.55	27.64	52.08	98.73	109.66	68.07	155.5	129.69	57.49	87.03	88.26	139.07	92.05	59.13	54.72	143.01	105.15	26.86	46.5	30.34	165.57	120.1	120.1	58.71	176.29	52.08	49.91	132.44	137.14	48.52	60.82	84.63	7.94	43.94	209.84	147.06	44.89	44.25	29.91	94.01	24.11	73.54	53.95	43.63	94.01	107.38	154.42	29.91	85.82	20.26	49.56	46.5	89.51	38.4	57.08	57.89	25.91	201.25	232.94	163.28	26.86	48.18	34.02	25.91	17.38	57.49	20.11	105.15	35.0	29.91	28.65	118.43	18.84	87.03	33.3	62.12	185.11	87.03	35.5	102.97	33.78	38.95	24.63	224.97	165.57	305.55	209.84	136.19	178.77
PLEK	135.24	32.82	8.58	21.94	68.55	115.16	108.9	147.06	152.28	105.89	105.15	69.03	96.01	98.73	28.24	70.01	95.34	86.43	187.71	23.25	42.41	37.32	214.27	441.64	146.03	35.5	190.34	38.4	88.88	198.47	186.4	61.68	59.97	105.89	21.47	39.22	769.69	279.14	43.63	42.41	17.38	157.68	36.79	31.9	61.68	44.89	89.51	63.89	409.15	43.63	65.72	15.56	68.55	71.0	139.07	37.85	59.97	61.68	35.76	265.87	202.66	115.16	38.12	27.44	20.86	34.26	27.64	92.7	18.97	63.89	27.84	18.97	38.95	55.1	18.97	71.0	52.82	78.89	175.07	37.32	22.92	111.99	22.43	46.18	47.5	119.26	125.24	336.79	97.36	61.25	141.02
PLXNC1	76.71	9.56	9.06	17.64	23.25	68.55	45.85	29.48	85.22	48.52	29.27	32.59	58.71	59.13	32.13	43.02	23.76	40.93	48.52	12.64	13.93	12.83	82.29	118.43	47.5	17.77	85.22	10.63	21.32	96.68	75.64	23.25	36.27	42.11	5.19	20.71	172.65	102.97	21.63	16.27	16.51	59.97	12.0	30.34	40.93	15.11	45.21	43.94	137.14	26.86	33.06	9.56	26.67	33.3	51.71	23.25	12.83	47.5	12.64	96.01	84.04	79.45	21.01	24.28	12.09	15.91	19.97	57.08	8.06	27.25	20.56	12.93	18.84	31.9	7.11	22.1	25.72	36.79	104.42	36.79	17.38	70.51	16.39	20.26	19.68	63.45	50.27	96.68	58.3	23.25	68.07
PPP1R16B	19.25	4.17	3.11	5.19	6.67	82.29	31.9	47.84	54.72	13.72	10.55	21.01	9.27	17.9	14.35	18.29	11.55	19.68	49.91	8.51	6.84	4.74	90.14	60.39	26.67	3.69	31.9	7.28	26.28	53.95	118.43	11.64	12.45	31.45	2.73	5.68	187.71	62.12	9.41	12.36	7.11	43.94	6.57	13.52	7.63	18.84	17.51	48.52	91.41	5.73	24.46	7.4	20.86	30.34	19.39	23.76	16.27	7.51	3.63	24.11	27.84	43.63	8.32	11.21	5.73	3.29	6.31	21.16	2.86	16.15	11.38	7.69	8.45	31.67	2.94	7.94	12.09	39.5	24.99	10.79	11.04	16.63	2.97	9.78	6.89	66.65	50.27	100.83	47.84	11.64	18.84
PRR5L	53.95	35.5	13.22	41.81	49.56	151.22	73.03	42.11	90.14	88.26	51.71	39.22	55.1	71.0	53.19	41.81	37.05	71.0	81.71	12.36	23.59	32.36	91.41	89.51	76.71	48.18	78.34	26.86	35.25	57.49	104.42	31.45	59.13	105.89	26.86	37.32	262.2	146.03	28.86	51.35	34.26	77.79	29.91	71.0	111.99	40.64	50.98	67.12	209.84	29.06	31.0	21.78	26.67	72.52	29.91	24.81	35.76	56.68	41.22	155.5	121.79	88.88	46.84	40.07	32.59	27.44	35.76	60.39	23.08	62.12	28.65	26.28	23.76	40.07	11.3	41.81	45.21	90.77	108.9	49.91	30.56	80.57	22.75	30.34	25.54	85.82	92.05	104.42	63.0	48.52	84.04
PTAFR	51.71	21.32	6.31	9.27	27.05	77.79	42.41	40.93	81.71	45.53	24.11	25.91	47.84	42.71	20.26	36.53	26.28	37.32	52.08	11.73	6.57	17.0	110.43	122.64	45.21	17.13	57.89	13.72	36.53	82.87	87.65	22.43	34.51	43.02	7.06	30.56	165.57	124.37	17.0	15.22	13.83	68.07	9.06	31.0	52.45	25.54	38.4	40.07	162.14	13.72	36.27	8.51	33.78	28.04	68.07	18.29	16.39	44.57	16.75	105.89	78.89	59.13	20.86	20.56	10.63	15.45	8.85	35.25	9.85	34.75	15.34	12.93	13.12	69.52	9.63	24.99	24.46	49.21	99.43	23.42	8.58	34.26	11.64	13.12	13.72	64.8	63.89	66.65	47.5	32.59	69.52
PTPRC	361.04	27.64	15.0	22.59	95.34	183.82	195.72	281.09	309.83	169.07	70.01	92.05	135.24	189.02	87.03	60.39	137.14	161.02	309.83	49.91	48.52	43.02	244.57	743.43	178.77	48.18	334.46	38.95	94.01	226.54	307.69	90.14	92.05	171.45	5.54	46.18	1259.69	373.81	45.53	81.14	45.85	212.78	38.95	52.08	125.24	51.71	293.07	117.6	1088.92	54.33	136.19	14.89	73.03	101.54	197.09	64.34	82.87	118.43	35.0	392.44	444.72	212.78	59.55	75.64	29.06	33.78	26.86	173.85	24.63	87.03	41.52	41.22	47.84	105.15	27.25	75.64	41.22	100.83	320.8	87.03	32.13	226.54	42.71	53.95	30.34	249.73	189.02	571.05	226.54	126.12	346.29
RASGRP3	47.84	12.18	10.47	17.13	35.5	120.94	37.32	34.02	63.45	43.02	28.24	33.3	64.34	44.57	25.72	27.44	34.75	40.64	77.25	41.22	31.45	25.72	49.91	68.07	78.34	29.91	87.65	25.17	33.78	67.12	94.01	28.45	16.63	54.33	21.78	36.79	158.79	94.01	24.11	55.89	16.88	80.57	7.11	122.64	86.43	17.13	48.52	36.79	87.03	21.78	47.84	12.45	29.27	32.59	48.87	24.46	26.47	22.59	45.53	122.64	81.14	98.73	39.5	20.71	21.78	17.25	23.76	67.12	7.4	40.64	16.75	44.57	22.92	43.63	15.68	35.5	38.67	55.89	74.06	30.34	20.41	72.52	22.1	15.68	19.82	72.52	45.21	94.01	53.95	82.87	54.33
RASSF5	176.29	70.01	33.78	37.05	84.04	165.57	190.34	217.27	172.65	232.94	115.97	85.82	112.77	206.94	76.17	48.87	75.11	107.38	183.82	73.03	59.55	63.0	258.57	279.14	111.21	41.22	176.29	44.89	104.42	180.02	221.86	82.87	79.45	108.9	13.32	81.14	555.41	267.73	63.89	71.5	40.64	180.02	33.54	107.38	157.68	103.69	158.79	180.02	435.55	61.25	107.38	39.5	96.01	124.37	214.27	67.59	53.95	80.01	30.12	287.01	198.47	224.97	133.36	76.71	76.17	35.76	28.24	148.09	57.89	193.01	44.89	63.89	105.15	214.27	47.17	94.67	100.13	142.01	127.0	131.51	87.03	118.43	44.89	71.5	47.84	293.07	480.04	329.84	301.33	143.01	249.73
RCSD1	144.01	38.95	8.45	41.52	31.45	119.26	75.64	144.01	105.89	68.55	40.93	68.55	84.04	73.54	41.52	49.56	57.49	123.5	164.42	23.08	25.54	35.5	143.01	198.47	133.36	31.22	140.04	35.5	48.18	139.07	145.02	52.82	65.26	104.42	9.48	44.89	403.5	162.14	32.82	71.0	28.24	77.79	16.88	75.11	52.45	40.93	154.42	75.64	351.14	32.13	71.0	14.35	36.01	43.63	59.55	35.5	54.33	51.35	10.0	234.57	214.27	105.15	40.07	40.64	24.28	21.78	17.77	63.45	18.84	51.71	38.67	35.5	29.48	44.89	10.39	65.26	35.0	58.71	185.11	59.13	25.17	88.88	22.26	29.06	25.35	88.88	122.64	151.22	94.67	125.24	194.36
SAMSN1	106.63	19.53	11.38	14.56	46.18	92.05	63.45	73.54	56.68	48.87	57.49	44.25	81.71	66.65	29.48	32.82	37.05	94.01	70.01	23.08	48.87	17.51	111.99	228.13	105.89	18.03	142.01	33.78	62.56	78.89	208.38	56.68	46.84	73.03	7.22	48.87	297.17	127.89	34.02	43.94	17.13	103.69	23.42	49.91	277.2	25.35	112.77	46.18	172.65	25.72	46.5	13.83	31.9	40.64	98.73	24.46	26.47	49.21	22.59	198.47	123.5	69.52	23.76	23.59	17.38	20.11	13.83	92.7	15.22	45.53	22.26	24.99	52.08	31.22	7.63	49.21	34.51	43.02	100.83	21.01	13.32	97.36	19.97	41.81	18.56	80.01	90.77	341.51	76.17	52.45	121.79
SASH3	114.36	46.5	8.45	17.0	47.5	145.02	124.37	204.07	127.89	106.63	75.11	70.51	99.43	125.24	52.45	74.06	70.01	85.82	218.79	32.36	26.86	38.12	239.52	307.69	151.22	37.05	155.5	27.25	77.25	190.34	177.53	60.39	56.68	128.79	13.93	75.64	802.41	285.03	38.67	54.33	22.43	143.01	23.08	47.17	75.11	63.89	140.04	77.79	441.64	27.64	65.26	12.74	60.82	105.15	102.25	36.79	76.17	87.65	16.51	353.59	221.86	131.51	53.95	38.12	41.81	35.5	19.53	88.88	20.71	129.69	32.82	37.85	32.36	94.01	31.45	53.57	60.82	105.15	186.4	60.82	20.71	135.24	22.75	42.11	42.71	115.97	146.03	312.0	137.14	57.89	214.27
SELPLG	144.01	71.0	7.82	39.5	76.17	142.01	147.06	171.45	172.65	121.79	110.43	104.42	129.69	135.24	61.68	88.88	97.36	138.1	246.28	41.81	48.18	80.57	329.84	312.0	138.1	48.18	165.57	39.5	94.01	204.07	246.28	83.45	66.65	127.89	11.47	108.14	642.59	293.07	42.71	87.65	37.32	141.02	27.25	65.26	70.51	72.01	151.22	107.38	521.76	37.05	92.05	20.56	70.01	87.65	85.82	62.56	83.45	157.68	26.1	356.05	275.28	164.42	51.71	75.64	55.89	35.5	28.04	94.67	38.95	122.64	44.57	61.25	58.3	116.78	29.7	84.63	54.72	115.97	543.96	103.69	32.82	202.66	28.04	49.56	43.94	127.0	154.42	197.09	141.02	86.43	215.77
