	TCGA.EM.A22L.01A.11R.A180.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EL.A3H2.01A.11R.A20F.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.DJ.A3V2.01A.11R.A22U.07	TCGA.EL.A3MY.11A.12R.A21D.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.ET.A3DW.11A.11R.A19O.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.EL.A3TB.11A.11R.A22L.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3ZM.11A.12R.A23N.07	TCGA.EM.A1CS.11A.21R.A13Y.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.ET.A2N5.11B.11R.A18C.07	TCGA.ET.A3DP.11A.22R.A21D.07	TCGA.BJ.A290.11A.11R.A180.07	TCGA.EM.A1CU.11A.11R.A13Y.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.YJ89.0726.SM.5P9F7	GTEX.113JC.0126.SM.5EGJW	GTEX.ZV6S.0226.SM.59HJT	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.1192X.1126.SM.5EGGU	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.13FHP.0926.SM.5L3EC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.N7MS.2326.SM.2HMLD	GTEX.13N1W.0826.SM.5MR5J	GTEX.Y5LM.0626.SM.4V6G4	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.11DXY.0426.SM.5H12R	GTEX.12WSK.0926.SM.5CVNQ	GTEX.117XS.0526.SM.5987Q	GTEX.11EQ9.0626.SM.5A5K1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13FH7.0126.SM.5KLZ1	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.11I78.0526.SM.5986A	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.P4QT.2626.SM.2I3FM	GTEX.11NSD.0126.SM.5987F	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.SE5C.0726.SM.4BRWY	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.Y3IK.0526.SM.4WWE3	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.144GM.0226.SM.5Q5CB	GTEX.11P7K.0226.SM.5986Z	GTEX.XUW1.1026.SM.4BONY	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.139TS.0126.SM.5K7XJ	GTEX.139T6.0326.SM.5J2LY	GTEX.144GO.0126.SM.5LUAO	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.13OW5.0626.SM.5J2N2	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.U8T8.2326.SM.3DB96	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.XGQ4.0426.SM.4AT4I	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.11TT1.1126.SM.5P9GV	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.13112.0326.SM.5P9IW	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13RTK.0326.SM.5RQHS	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.12696.0326.SM.5EGL4	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX	GTEX.13FTW.0626.SM.5IFEX
GTF2H2C	780.44	412.0	163.28	486.75	392.44	441.64	285.03	237.86	403.5	339.14	503.95	866.07	420.68	373.81	389.72	255.0	638.15	279.14	301.33	780.44	486.75	447.82	493.56	463.65	624.99	293.07	543.96	346.29	293.07	490.14	397.93	525.39	629.35	571.05	486.75	371.22	500.46	275.28	483.38	555.41	603.67	429.54	381.68	493.56	665.29	579.04	457.25	791.35	647.07	842.36	599.49	665.29	624.99	954.43	674.59	493.56	575.03	748.61	583.07	733.19	395.18	780.44	1216.75	607.87	435.55	493.56	348.71	595.34	616.37	555.41	429.54	575.03	693.58	921.88	521.76	629.35	490.14	967.76	718.08	629.35	713.11	376.41	444.72	651.58	555.41	547.75	412.0	579.04	540.19	473.41	392.44	629.35	813.63	688.78	884.29	909.17	860.08	764.36	559.28	785.88	688.78	748.61	759.08	616.37	414.87	728.11	651.58	591.22	486.75	785.88	647.07	543.96	307.69	684.02	728.11	842.36	540.19	454.09	813.63	688.78	483.38	934.76	536.45	579.04	1066.48	334.46	466.88	368.65	813.63	825.0	563.18	599.49	656.11	842.36	521.76	708.18	647.07	525.39	1378.57	698.41	941.27	447.82	769.69	848.22	547.75	1119.56	551.56	403.5	599.49	909.17	738.29	651.58	679.29	1143.1	518.15	753.83	429.54	872.1	454.09	633.73	563.18	551.56	759.08	713.11	1350.18	698.41	595.34	872.1	346.29	738.29	483.38	525.39	607.87	674.59	718.08	988.12	476.71	775.05	620.67
HAUS3	123.5	156.59	59.13	139.07	161.02	100.83	77.79	110.43	151.22	111.99	152.28	156.59	68.07	151.22	131.51	94.01	156.59	97.36	78.34	187.71	69.03	105.15	140.04	102.97	94.01	117.6	142.01	77.25	112.77	129.69	134.3	153.34	130.6	194.36	93.35	146.03	129.69	119.26	96.01	169.07	120.94	68.55	137.14	190.34	187.71	123.5	119.26	173.85	182.55	161.02	136.19	149.12	156.59	113.56	187.71	120.1	111.99	125.24	220.32	253.23	229.72	119.26	309.83	241.19	148.09	169.07	121.79	190.34	214.27	144.01	151.22	111.99	187.71	156.59	113.56	142.01	161.02	156.59	164.42	170.25	157.68	162.14	135.24	176.29	98.04	130.6	177.53	150.17	149.12	244.57	148.09	150.17	141.02	169.07	164.42	178.77	156.59	144.01	140.04	116.78	121.79	120.1	163.28	154.42	143.01	177.53	111.99	149.12	187.71	201.25	191.67	191.67	166.73	237.86	156.59	122.64	137.14	161.02	147.06	190.34	127.89	158.79	226.54	172.65	204.07	162.14	172.65	148.09	164.42	152.28	220.32	154.42	142.01	142.01	120.1	182.55	159.9	102.25	195.72	218.79	140.04	125.24	171.45	155.5	204.07	127.89	145.02	141.02	152.28	141.02	135.24	147.06	147.06	119.26	147.06	163.28	267.73	122.64	125.24	130.6	190.34	164.42	143.01	162.14	162.14	163.28	208.38	165.57	149.12	161.02	231.32	161.02	199.85	137.14	151.22	133.36	173.85	208.38	127.0
HEATR6	163.28	98.73	98.73	138.1	153.34	167.9	185.11	105.15	155.5	180.02	152.28	105.15	125.24	151.22	144.01	133.36	170.25	164.42	69.52	180.02	61.25	120.94	162.14	212.78	120.94	150.17	130.6	94.01	122.64	186.4	214.27	101.54	154.42	194.36	128.79	96.68	223.41	103.69	109.66	170.25	81.71	70.01	212.78	154.42	144.01	158.79	158.79	256.78	193.01	226.54	169.07	126.12	109.66	148.09	224.97	181.28	101.54	189.02	186.4	214.27	218.79	164.42	194.36	162.14	80.57	136.19	96.68	171.45	119.26	190.34	150.17	120.94	149.12	166.73	108.14	134.3	141.02	175.07	158.79	195.72	151.22	148.09	120.94	143.01	96.01	155.5	140.04	131.51	162.14	165.57	151.22	159.9	102.25	135.24	142.01	140.04	146.03	111.21	150.17	142.01	120.1	149.12	156.59	129.69	123.5	134.3	122.64	155.5	186.4	173.85	209.84	143.01	142.01	110.43	158.79	143.01	150.17	204.07	120.1	167.9	133.36	128.79	255.0	206.94	171.45	144.01	102.97	115.16	140.04	141.02	189.02	136.19	149.12	150.17	121.79	176.29	150.17	187.71	151.22	165.57	119.26	186.4	175.07	162.14	170.25	135.24	122.64	123.5	155.5	124.37	145.02	129.69	209.84	183.82	125.24	161.02	195.72	159.9	169.07	152.28	412.0	153.34	132.44	173.85	143.01	177.53	167.9	180.02	124.37	158.79	120.1	187.71	151.22	143.01	163.28	133.36	139.07	152.28	132.44
HKR1	909.17	825.0	624.99	988.12	1259.69	934.76	769.69	928.3	1119.56	753.83	1023.0	981.29	507.46	981.29	915.51	669.92	1008.9	733.19	738.29	1457.23	693.58	1015.93	974.5	967.76	785.88	775.05	1015.93	748.61	796.86	825.0	866.07	1208.34	1183.45	1051.79	941.27	995.0	878.17	813.63	995.0	890.44	947.83	813.63	819.3	1127.35	988.12	974.5	988.12	1081.39	1498.22	1023.0	1322.37	1242.34	947.83	1081.39	1286.18	1143.1	802.41	1225.22	1199.98	1369.04	1397.83	915.51	1359.57	1143.1	902.89	909.17	890.44	1183.45	1008.9	1250.98	995.0	890.44	1259.69	1001.93	1151.06	1015.93	780.44	1350.18	1023.0	1096.5	1388.16	1030.12	1159.07	947.83	954.43	1037.29	1359.57	718.08	915.51	1159.07	1073.91	1037.29	1111.82	988.12	921.88	1617.0	872.1	981.29	1023.0	854.13	703.28	698.41	915.51	848.22	1175.27	884.29	718.08	902.89	1331.57	1175.27	1208.34	1037.29	1143.1	974.5	1104.13	967.76	934.76	802.41	941.27	1233.75	693.58	1286.18	1037.29	1167.14	1159.07	1135.2	915.51	785.88	1191.69	1066.48	1397.83	1001.93	802.41	915.51	848.22	1001.93	1167.14	813.63	1216.75	981.29	928.3	1051.79	1331.57	954.43	1397.83	825.0	780.44	1037.29	703.28	1233.75	934.76	819.3	961.07	954.43	961.07	1015.93	1467.37	1051.79	748.61	743.43	1551.09	954.43	921.88	1369.04	759.08	995.0	1167.14	1167.14	842.36	1001.93	1088.92	1059.11	1286.18	860.08	1081.39	854.13	1088.92	1073.91	796.86
IFT74	373.81	312.0	237.86	334.46	423.61	275.28	269.6	258.57	395.18	271.48	305.55	454.09	316.37	348.71	285.03	253.23	343.89	249.73	229.72	463.65	279.14	269.6	307.69	285.03	279.14	273.37	289.02	373.81	314.17	406.31	334.46	389.72	351.14	511.0	314.17	343.89	395.18	237.86	368.65	379.04	323.03	255.0	309.83	441.64	497.0	412.0	358.54	476.71	503.95	417.77	392.44	387.02	423.61	384.34	454.09	414.87	473.41	470.14	633.73	629.35	497.0	406.31	890.44	540.19	209.84	368.65	293.07	389.72	397.93	444.72	373.81	295.11	454.09	327.56	559.28	389.72	314.17	583.07	532.74	483.38	366.09	540.19	303.44	397.93	361.04	563.18	363.56	307.69	376.41	503.95	392.44	228.13	358.54	483.38	521.76	529.06	420.68	356.05	346.29	397.93	320.8	329.84	379.04	249.73	521.76	384.34	320.8	295.11	389.72	353.59	503.95	397.93	379.04	343.89	403.5	314.17	529.06	371.22	435.55	486.75	351.14	447.82	363.56	555.41	698.41	718.08	260.38	260.38	397.93	271.48	493.56	346.29	361.04	379.04	525.39	490.14	264.03	275.28	438.59	612.11	327.56	400.71	395.18	353.59	423.61	371.22	373.81	454.09	314.17	384.34	279.14	497.0	389.72	361.04	348.71	429.54	536.45	327.56	293.07	366.09	529.06	507.46	400.71	493.56	373.81	363.56	444.72	412.0	389.72	389.72	435.55	341.51	450.94	379.04	334.46	500.46	444.72	486.75	341.51
IFT81	379.04	363.56	183.82	348.71	395.18	265.87	236.21	297.17	361.04	260.38	438.59	316.37	248.0	343.89	183.82	242.88	320.8	194.36	232.94	371.22	177.53	191.67	358.54	232.94	269.6	265.87	381.68	149.12	318.57	269.6	267.73	376.41	387.02	518.15	149.12	384.34	264.03	351.14	318.57	346.29	309.83	194.36	249.73	426.57	420.68	356.05	262.2	368.65	441.64	379.04	289.02	271.48	283.05	316.37	366.09	336.79	318.57	363.56	460.44	518.15	426.57	244.57	457.25	309.83	237.86	395.18	277.2	368.65	361.04	353.59	220.32	316.37	435.55	373.81	381.68	291.04	297.17	423.61	400.71	346.29	316.37	234.57	301.33	318.57	237.86	397.93	185.11	283.05	295.11	511.0	409.15	279.14	392.44	327.56	384.34	336.79	339.14	320.8	366.09	277.2	381.68	309.83	403.5	336.79	291.04	343.89	281.09	314.17	432.53	351.14	423.61	381.68	332.14	384.34	237.86	255.0	301.33	341.51	379.04	267.73	299.25	389.72	351.14	392.44	575.03	343.89	275.28	269.6	389.72	265.87	379.04	248.0	420.68	366.09	346.29	441.64	323.03	209.84	420.68	447.82	314.17	309.83	363.56	299.25	500.46	387.02	379.04	305.55	293.07	303.44	249.73	271.48	379.04	389.72	285.03	389.72	397.93	271.48	258.57	343.89	412.0	373.81	412.0	447.82	297.17	287.01	379.04	381.68	325.29	341.51	305.55	262.2	403.5	314.17	336.79	309.83	273.37	356.05	293.07
INTS8	571.05	518.15	299.25	616.37	703.28	423.61	473.41	460.44	511.0	397.93	583.07	476.71	426.57	409.15	417.77	358.54	723.08	423.61	269.6	791.35	351.14	397.93	599.49	429.54	450.94	463.65	633.73	325.29	497.0	507.46	493.56	848.22	599.49	674.59	507.46	551.56	555.41	473.41	389.72	651.58	540.19	316.37	536.45	647.07	607.87	483.38	551.56	647.07	647.07	603.67	432.53	514.56	555.41	503.95	575.03	463.65	511.0	447.82	579.04	947.83	575.03	624.99	775.05	748.61	205.5	540.19	406.31	607.87	718.08	493.56	532.74	376.41	547.75	483.38	420.68	579.04	423.61	551.56	536.45	684.02	454.09	473.41	420.68	536.45	441.64	460.44	896.64	348.71	373.81	571.05	759.08	460.44	559.28	470.14	547.75	607.87	647.07	624.99	503.95	429.54	473.41	371.22	723.08	500.46	532.74	587.13	353.59	376.41	775.05	688.78	698.41	703.28	389.72	507.46	587.13	441.64	420.68	607.87	441.64	769.69	473.41	629.35	559.28	587.13	780.44	503.95	543.96	316.37	543.96	583.07	802.41	457.25	620.67	392.44	571.05	540.19	500.46	521.76	693.58	579.04	503.95	536.45	688.78	599.49	679.29	493.56	423.61	529.06	441.64	753.83	371.22	473.41	624.99	638.15	429.54	480.04	723.08	532.74	612.11	497.0	802.41	466.88	423.61	647.07	341.51	454.09	575.03	507.46	476.71	532.74	802.41	571.05	775.05	567.1	587.13	480.04	616.37	642.59	371.22
IRAK4	363.56	314.17	150.17	279.14	358.54	206.94	212.78	267.73	379.04	244.57	275.28	329.84	138.1	228.13	236.21	189.02	320.8	231.32	193.01	447.82	170.25	185.11	256.78	289.02	199.85	186.4	239.52	180.02	279.14	236.21	271.48	244.57	297.17	351.14	271.48	248.0	336.79	248.0	285.03	277.2	253.23	244.57	287.01	312.0	341.51	339.14	279.14	373.81	400.71	341.51	332.14	269.6	275.28	312.0	420.68	299.25	325.29	339.14	426.57	392.44	312.0	277.2	543.96	312.0	228.13	417.77	244.57	420.68	336.79	343.89	258.57	303.44	323.03	339.14	256.78	260.38	384.34	341.51	397.93	264.03	438.59	264.03	316.37	320.8	309.83	258.57	237.86	363.56	273.37	460.44	283.05	334.46	363.56	339.14	379.04	346.29	332.14	325.29	305.55	295.11	334.46	295.11	358.54	368.65	249.73	341.51	287.01	336.79	379.04	444.72	358.54	483.38	373.81	320.8	314.17	334.46	262.2	305.55	343.89	295.11	265.87	316.37	470.14	341.51	463.65	332.14	332.14	336.79	289.02	307.69	329.84	255.0	255.0	329.84	312.0	392.44	389.72	269.6	454.09	366.09	242.88	269.6	325.29	267.73	329.84	327.56	397.93	283.05	269.6	339.14	339.14	373.81	460.44	332.14	242.88	376.41	325.29	297.17	260.38	258.57	463.65	358.54	343.89	327.56	441.64	303.44	368.65	389.72	251.48	336.79	260.38	271.48	303.44	348.71	277.2	351.14	267.73	314.17	246.28
IRF2	514.56	460.44	540.19	579.04	665.29	441.64	403.5	412.0	503.95	395.18	486.75	525.39	320.8	599.49	363.56	381.68	728.11	543.96	363.56	607.87	466.88	460.44	529.06	595.34	414.87	500.46	559.28	571.05	490.14	651.58	688.78	507.46	612.11	486.75	435.55	532.74	547.75	540.19	454.09	616.37	500.46	412.0	698.41	483.38	579.04	503.95	591.22	674.59	595.34	480.04	540.19	555.41	339.14	521.76	703.28	473.41	353.59	559.28	540.19	743.43	642.59	551.56	616.37	693.58	283.05	559.28	397.93	543.96	612.11	669.92	563.18	379.04	551.56	454.09	353.59	435.55	612.11	591.22	555.41	470.14	363.56	470.14	299.25	624.99	463.65	480.04	642.59	412.0	514.56	587.13	532.74	463.65	387.02	423.61	525.39	656.11	543.96	414.87	444.72	423.61	616.37	429.54	599.49	511.0	438.59	503.95	480.04	555.41	665.29	575.03	775.05	571.05	395.18	466.88	703.28	457.25	403.5	769.69	403.5	525.39	460.44	503.95	563.18	620.67	529.06	503.95	555.41	599.49	532.74	486.75	521.76	368.65	769.69	540.19	514.56	486.75	460.44	563.18	551.56	775.05	514.56	620.67	607.87	518.15	555.41	486.75	483.38	620.67	575.03	480.04	518.15	490.14	532.74	450.94	348.71	579.04	624.99	363.56	708.18	567.1	543.96	507.46	555.41	599.49	429.54	376.41	476.71	543.96	435.55	373.81	603.67	575.03	563.18	595.34	595.34	463.65	547.75	547.75	470.14
JRKL	173.85	164.42	77.79	161.02	205.5	127.0	124.37	106.63	147.06	146.03	129.69	146.03	137.14	137.14	130.6	94.67	177.53	126.12	81.71	198.47	88.26	92.7	175.07	173.85	105.15	110.43	185.11	78.89	143.01	161.02	147.06	166.73	189.02	220.32	150.17	194.36	120.94	99.43	155.5	181.28	133.36	57.89	136.19	223.41	246.28	221.86	185.11	269.6	260.38	202.66	226.54	191.67	178.77	195.72	236.21	211.31	152.28	218.79	318.57	295.11	253.23	199.85	283.05	273.37	139.07	185.11	149.12	214.27	211.31	229.72	181.28	231.32	220.32	199.85	137.14	197.09	199.85	206.94	198.47	187.71	209.84	111.21	170.25	217.27	122.64	253.23	236.21	141.02	217.27	178.77	220.32	186.4	189.02	141.02	229.72	246.28	248.0	152.28	172.65	197.09	193.01	180.02	214.27	163.28	133.36	193.01	183.82	183.82	281.09	236.21	197.09	189.02	176.29	218.79	236.21	232.94	177.53	289.02	169.07	229.72	155.5	244.57	215.77	202.66	307.69	239.52	111.99	144.01	163.28	180.02	271.48	140.04	229.72	143.01	157.68	155.5	166.73	164.42	226.54	275.28	236.21	214.27	186.4	224.97	241.19	181.28	198.47	194.36	228.13	173.85	159.9	206.94	226.54	189.02	127.89	226.54	205.5	183.82	201.25	197.09	343.89	206.94	181.28	224.97	137.14	190.34	199.85	180.02	163.28	129.69	226.54	197.09	223.41	183.82	193.01	175.07	183.82	269.6	167.9
KDM4C	454.09	376.41	199.85	432.53	500.46	289.02	237.86	381.68	454.09	327.56	287.01	316.37	305.55	351.14	283.05	239.52	395.18	297.17	249.73	536.45	244.57	248.0	353.59	301.33	312.0	256.78	353.59	182.55	312.0	353.59	379.04	291.04	366.09	624.99	265.87	397.93	420.68	256.78	384.34	435.55	246.28	186.4	348.71	356.05	389.72	249.73	303.44	358.54	379.04	412.0	348.71	379.04	316.37	318.57	376.41	314.17	325.29	373.81	444.72	457.25	450.94	368.65	748.61	379.04	267.73	412.0	226.54	432.53	334.46	429.54	237.86	361.04	483.38	486.75	346.29	358.54	346.29	466.88	511.0	409.15	414.87	267.73	320.8	381.68	277.2	339.14	463.65	518.15	339.14	629.35	441.64	336.79	497.0	366.09	438.59	334.46	444.72	403.5	536.45	329.84	387.02	376.41	387.02	307.69	287.01	447.82	361.04	305.55	490.14	543.96	435.55	540.19	255.0	457.25	353.59	409.15	351.14	420.68	363.56	412.0	346.29	463.65	493.56	381.68	435.55	291.04	346.29	228.13	392.44	339.14	320.8	325.29	368.65	447.82	237.86	387.02	420.68	336.79	555.41	376.41	206.94	305.55	429.54	384.34	423.61	463.65	429.54	395.18	293.07	417.77	343.89	361.04	346.29	444.72	231.32	490.14	417.77	432.53	358.54	379.04	387.02	339.14	348.71	480.04	470.14	507.46	438.59	463.65	212.78	305.55	301.33	212.78	426.57	438.59	417.77	329.84	414.87	409.15	438.59
KIAA1467	149.12	73.03	32.13	104.42	63.0	123.5	43.02	51.71	115.16	241.19	80.01	182.55	59.97	48.18	137.14	59.13	112.77	73.03	137.14	121.79	117.6	140.04	47.5	171.45	48.52	99.43	165.57	100.13	98.73	111.99	84.63	63.45	152.28	163.28	193.01	117.6	234.57	53.57	105.89	131.51	144.01	239.52	49.21	223.41	206.94	126.12	183.82	248.0	189.02	211.31	194.36	205.5	181.28	202.66	194.36	271.48	258.57	234.57	232.94	283.05	193.01	511.0	638.15	74.06	215.77	151.22	137.14	226.54	186.4	148.09	191.67	134.3	172.65	199.85	166.73	144.01	223.41	316.37	312.0	236.21	285.03	231.32	198.47	111.21	74.58	409.15	185.11	106.63	181.28	248.0	158.79	185.11	88.88	140.04	105.89	420.68	164.42	153.34	249.73	231.32	119.26	131.51	102.25	171.45	172.65	271.48	154.42	215.77	269.6	208.38	279.14	120.94	138.1	78.89	400.71	450.94	231.32	162.14	149.12	166.73	147.06	218.79	220.32	202.66	273.37	142.01	156.59	70.51	191.67	150.17	156.59	190.34	167.9	190.34	169.07	138.1	242.88	460.44	134.3	316.37	231.32	246.28	177.53	163.28	87.03	226.54	126.12	138.1	161.02	348.71	255.0	303.44	316.37	127.0	171.45	108.14	130.6	309.83	185.11	145.02	267.73	264.03	145.02	264.03	163.28	285.03	194.36	170.25	146.03	223.41	175.07	80.01	199.85	289.02	208.38	176.29	249.73	214.27	181.28
KRBA2	51.71	40.07	23.76	38.67	43.94	32.36	16.75	28.24	35.76	44.89	23.93	46.18	7.4	31.0	55.89	12.93	45.85	27.44	18.84	44.89	26.86	24.11	26.28	66.18	15.68	11.91	23.93	16.51	28.45	33.06	23.59	17.0	38.95	55.89	41.52	37.32	29.7	24.11	61.68	60.82	24.11	19.39	23.59	67.12	54.72	44.25	40.64	76.71	93.35	61.25	74.58	64.34	41.52	37.59	77.79	65.26	44.57	71.0	52.08	67.12	77.79	58.71	70.51	54.33	21.63	52.45	16.39	91.41	44.25	74.06	22.75	51.35	82.87	53.19	50.98	40.93	48.52	44.89	72.52	70.01	62.12	37.59	29.06	81.14	36.79	38.4	18.84	28.65	54.72	28.24	44.25	45.53	23.42	58.3	91.41	78.34	49.56	34.51	53.19	67.12	48.52	36.53	43.02	48.18	35.5	59.97	36.53	51.35	82.29	88.88	94.01	78.34	27.25	33.06	64.34	47.17	47.17	75.11	48.52	79.45	37.85	80.01	51.71	88.88	71.0	36.01	33.54	22.1	57.49	25.91	53.19	41.22	48.18	38.95	38.12	37.05	62.56	33.54	81.14	39.79	38.4	51.71	58.71	61.25	78.89	73.03	57.49	41.81	54.33	35.76	33.3	28.45	80.01	81.71	15.8	52.08	60.82	60.82	52.82	52.08	87.03	74.06	55.49	85.22	38.4	36.79	53.19	49.91	29.91	45.21	25.17	61.25	35.5	44.25	70.51	57.89	48.52	76.17	33.06
