	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.97.8172.01A.11R.2287.07	TCGA.55.7573.01A.11R.2039.07	GTEX.12WSE.0826.SM.5S2VL	TCGA.BR.8592.01A.11R.2402.13	TCGA.BK.A6W4.01A.12R.A34R.07
BUD13	466.88	417.77	423.61	379.04	95.34	226.54	156.59	187.71	267.73	312.0	318.57	271.48	283.05	189.02	500.46	208.38	220.32	206.94	244.57	193.01	234.57	368.65	242.88	256.78	158.79	150.17	191.67	231.32	185.11	221.86	229.72	217.27	239.52	591.22	170.25	269.6	231.32	325.29	309.83	223.41	195.72	299.25	262.2	277.2	470.14	189.02	275.28	215.77	220.32	332.14	155.5	144.01	131.51	150.17	143.01	98.73	113.56	113.56	138.1	158.79	91.41	137.14	356.05	327.56	373.81	309.83	470.14
C11orf57	629.35	493.56	575.03	587.13	118.43	231.32	144.01	137.14	208.38	307.69	271.48	228.13	287.01	150.17	387.02	248.0	198.47	265.87	228.13	249.73	183.82	339.14	108.9	277.2	166.73	199.85	153.34	228.13	249.73	171.45	159.9	251.48	191.67	450.94	158.79	241.19	198.47	293.07	285.03	190.34	186.4	211.31	201.25	320.8	473.41	223.41	251.48	256.78	209.84	414.87	211.31	72.01	140.04	381.68	118.43	157.68	163.28	158.79	264.03	159.9	120.1	267.73	356.05	420.68	373.81	389.72	507.46
C5orf28	363.56	414.87	412.0	351.14	236.21	84.04	59.55	97.36	138.1	215.77	87.03	117.6	162.14	228.13	356.05	314.17	199.85	147.06	148.09	209.84	140.04	329.84	123.5	175.07	351.14	127.89	187.71	211.31	305.55	127.0	139.07	303.44	104.42	249.73	295.11	146.03	115.97	215.77	432.53	249.73	94.01	226.54	82.29	202.66	244.57	178.77	258.57	260.38	193.01	323.03	181.28	58.71	95.34	170.25	88.26	61.25	148.09	56.28	68.55	92.05	44.57	99.43	373.81	387.02	297.17	242.88	289.02
CACUL1	620.67	463.65	571.05	575.03	189.02	197.09	148.09	211.31	195.72	224.97	153.34	171.45	224.97	248.0	262.2	108.14	151.22	118.43	205.5	339.14	211.31	409.15	170.25	246.28	126.12	137.14	199.85	400.71	260.38	194.36	144.01	164.42	106.63	312.0	164.42	149.12	314.17	264.03	457.25	170.25	80.57	316.37	115.16	197.09	260.38	309.83	78.89	253.23	303.44	287.01	142.01	100.13	100.13	231.32	170.25	154.42	195.72	102.97	148.09	223.41	146.03	151.22	389.72	444.72	366.09	409.15	381.68
CCDC14	733.19	1008.9	928.3	967.76	191.67	293.07	166.73	127.89	258.57	536.45	277.2	253.23	457.25	346.29	1417.35	255.0	417.77	251.48	267.73	228.13	221.86	470.14	289.02	195.72	246.28	256.78	246.28	343.89	397.93	116.78	143.01	343.89	164.42	785.88	293.07	195.72	521.76	249.73	909.17	198.47	162.14	389.72	132.44	381.68	848.22	785.88	356.05	341.51	624.99	384.34	358.54	48.52	146.03	127.0	149.12	190.34	108.14	138.1	101.54	414.87	59.55	93.35	723.08	764.36	387.02	723.08	848.22
CCNJ	118.43	124.37	112.77	108.14	77.25	5.5	17.77	3.89	29.48	31.9	5.23	22.59	40.64	31.9	137.14	27.44	11.47	25.35	18.03	15.22	8.06	149.12	50.63	49.56	17.38	13.12	22.43	45.85	65.72	14.14	18.29	25.91	9.56	144.01	3.99	9.56	33.78	102.97	70.01	33.3	5.63	56.28	10.96	16.51	11.64	88.88	8.38	23.42	19.68	32.82	63.0	8.0	19.11	80.57	14.35	6.94	9.27	32.13	36.79	26.47	4.21	51.35	135.24	97.36	91.41	143.01	189.02
CDC14A	444.72	420.68	490.14	206.94	5.73	28.24	15.11	18.29	15.45	33.54	7.06	27.64	48.18	26.47	90.14	8.13	20.11	18.43	13.12	30.56	7.46	52.45	90.77	17.13	14.67	8.45	10.71	61.25	30.12	9.78	9.41	26.47	11.3	12.27	14.14	20.11	31.67	20.71	20.11	11.38	10.88	32.36	14.14	18.03	65.72	69.03	3.89	36.27	27.25	14.89	9.7	8.25	17.13	18.29	9.2	17.25	20.71	43.94	28.04	22.26	10.55	35.76	111.21	177.53	218.79	144.01	120.1
CEP170	543.96	409.15	507.46	486.75	187.71	124.37	129.69	98.73	191.67	105.89	164.42	205.5	314.17	228.13	444.72	193.01	131.51	176.29	267.73	269.6	198.47	470.14	206.94	110.43	195.72	108.9	215.77	536.45	363.56	91.41	97.36	285.03	110.43	406.31	126.12	120.1	248.0	236.21	463.65	185.11	104.42	165.57	114.36	166.73	444.72	341.51	92.05	239.52	287.01	555.41	189.02	48.52	121.79	134.3	189.02	84.63	115.97	107.38	59.13	150.17	44.89	77.79	532.74	624.99	642.59	521.76	343.89
CEP192	334.46	353.59	343.89	262.2	231.32	122.64	94.01	90.14	147.06	141.02	146.03	150.17	226.54	150.17	457.25	116.78	127.89	127.0	102.97	133.36	175.07	291.04	194.36	63.89	149.12	52.82	92.05	156.59	169.07	82.29	86.43	218.79	112.77	279.14	63.45	114.36	124.37	214.27	334.46	91.41	77.79	193.01	138.1	183.82	363.56	275.28	95.34	223.41	169.07	248.0	275.28	49.21	78.89	78.89	79.45	50.63	96.68	119.26	127.89	72.52	52.45	84.63	279.14	318.57	493.56	409.15	343.89
CIC	915.51	1242.34	1151.06	854.13	429.54	708.18	808.0	457.25	595.34	688.78	629.35	698.41	1051.79	1135.2	1259.69	890.44	429.54	503.95	915.51	733.19	642.59	1159.07	395.18	723.08	624.99	529.06	1127.35	1037.29	575.03	723.08	381.68	1037.29	536.45	1397.83	656.11	688.78	583.07	961.07	1001.93	612.11	511.0	656.11	543.96	642.59	1685.71	1167.14	753.83	500.46	764.36	896.64	813.63	466.88	599.49	255.0	591.22	293.07	387.02	293.07	262.2	249.73	409.15	339.14	1388.16	1159.07	1159.07	1369.04	1437.15
CREBZF	1037.29	854.13	1066.48	759.08	444.72	381.68	109.66	265.87	239.52	353.59	291.04	353.59	629.35	334.46	1015.93	323.03	318.57	325.29	346.29	447.82	323.03	540.19	438.59	187.71	297.17	142.01	221.86	529.06	507.46	133.36	218.79	521.76	148.09	1051.79	316.37	202.66	323.03	497.0	688.78	267.73	201.25	583.07	155.5	426.57	890.44	511.0	301.33	591.22	514.56	400.71	441.64	148.09	186.4	334.46	320.8	256.78	211.31	166.73	170.25	273.37	120.1	223.41	1259.69	896.64	624.99	915.51	854.13
CTD-2330K9.3	5.45	10.31	7.57	2.61	0.0	0.0	1.79	0.0	1.93	6.57	0.0	3.2	4.58	0.0	5.54	0.0	8.58	0.0	2.89	6.06	2.32	3.35	0.0	0.0	9.93	0.0	0.0	2.46	4.17	1.85	1.25	0.0	2.36	10.47	0.0	0.0	1.69	4.46	8.0	3.08	1.35	3.69	0.0	0.0	4.06	5.45	1.48	2.56	1.33	4.58	0.0	0.0	2.2	4.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99	7.51	9.13	4.86	16.15	1.99
CTDSPL2	595.34	507.46	563.18	379.04	115.16	108.14	63.0	66.18	76.17	127.89	84.63	101.54	173.85	150.17	147.06	95.34	85.22	96.68	169.07	135.24	106.63	295.11	156.59	80.57	220.32	54.33	77.79	156.59	121.79	40.93	58.71	113.56	68.07	299.25	88.26	66.65	141.02	158.79	191.67	88.88	49.91	327.56	68.55	138.1	205.5	163.28	78.89	172.65	211.31	305.55	164.42	37.59	49.91	152.28	61.68	60.39	34.26	82.87	28.86	88.88	49.21	52.82	251.48	392.44	480.04	466.88	366.09
DCUN1D5	397.93	457.25	444.72	473.41	226.54	195.72	94.01	293.07	343.89	289.02	279.14	371.22	299.25	185.11	703.28	279.14	273.37	223.41	232.94	339.14	285.03	392.44	190.34	397.93	253.23	185.11	221.86	366.09	346.29	246.28	234.57	361.04	176.29	612.11	289.02	246.28	303.44	389.72	559.28	283.05	248.0	486.75	211.31	316.37	432.53	234.57	209.84	403.5	221.86	490.14	414.87	113.56	244.57	429.54	406.31	204.07	234.57	249.73	212.78	223.41	164.42	381.68	438.59	379.04	334.46	423.61	825.0
DGKD	457.25	591.22	579.04	314.17	112.77	105.89	139.07	130.6	104.42	255.0	92.05	305.55	231.32	126.12	514.56	131.51	186.4	146.03	72.01	138.1	269.6	234.57	102.97	98.04	109.66	158.79	81.14	256.78	138.1	112.77	87.03	212.78	99.43	320.8	99.43	155.5	305.55	215.77	197.09	113.56	150.17	193.01	117.6	131.51	389.72	287.01	107.38	279.14	209.84	141.02	150.17	73.03	136.19	41.22	80.57	96.01	72.52	136.19	77.25	56.28	51.35	53.19	791.35	860.08	145.02	759.08	191.67
DGKH	121.79	101.54	102.97	80.01	8.32	7.11	4.43	5.36	9.48	20.86	6.57	21.01	36.53	15.11	39.22	16.39	12.27	21.78	13.22	18.97	12.27	47.17	6.52	10.96	14.56	4.17	8.0	34.75	22.43	6.41	5.32	24.28	5.68	36.01	13.83	9.85	16.75	21.63	33.3	9.63	3.08	32.82	5.54	10.0	24.46	54.72	6.26	31.9	10.31	44.57	10.79	1.99	3.82	8.32	12.93	4.21	5.82	2.58	3.99	5.23	3.0	1.57	36.79	37.05	125.24	146.03	95.34
DMTF1	1457.23	1388.16	1467.37	1233.75	368.65	218.79	187.71	208.38	236.21	470.14	353.59	376.41	780.44	387.02	1051.79	435.55	309.83	265.87	327.56	361.04	262.2	563.18	260.38	262.2	426.57	346.29	277.2	624.99	473.41	145.02	231.32	607.87	148.09	733.19	348.71	279.14	346.29	507.46	769.69	271.48	177.53	633.73	159.9	339.14	1044.52	669.92	246.28	540.19	555.41	500.46	583.07	31.22	114.36	271.48	169.07	223.41	135.24	62.12	110.43	195.72	49.56	150.17	1467.37	909.17	1242.34	1340.84	1066.48
DOT1L	214.27	316.37	199.85	198.47	224.97	114.36	139.07	181.28	132.44	208.38	146.03	275.28	269.6	224.97	587.13	202.66	127.0	131.51	127.0	197.09	159.9	616.37	209.84	88.26	117.6	97.36	172.65	273.37	157.68	141.02	87.03	218.79	119.26	476.71	198.47	120.1	209.84	366.09	307.69	9.48	94.01	320.8	91.41	112.77	384.34	351.14	173.85	231.32	239.52	279.14	255.0	82.29	82.29	47.5	215.77	89.51	69.03	249.73	58.71	45.53	69.03	86.43	299.25	249.73	224.97	291.04	246.28
DPP8	559.28	450.94	463.65	444.72	139.07	104.42	59.55	65.26	92.7	140.04	94.01	89.51	215.77	201.25	154.42	132.44	85.22	109.66	183.82	127.0	85.22	231.32	80.01	127.89	180.02	75.11	79.45	206.94	122.64	51.71	72.01	201.25	78.34	271.48	133.36	96.68	151.22	150.17	211.31	124.37	45.21	248.0	78.34	133.36	147.06	256.78	94.67	181.28	224.97	314.17	111.21	29.7	46.18	98.73	91.41	58.71	41.52	92.7	62.56	53.57	34.26	81.14	256.78	384.34	283.05	480.04	269.6
DYNC1LI2	2255.7	2061.24	1991.0	1963.57	543.96	384.34	201.25	256.78	325.29	273.37	303.44	205.5	708.18	669.92	728.11	438.59	363.56	432.53	420.68	332.14	194.36	733.19	136.19	242.88	595.34	202.66	339.14	769.69	583.07	131.51	246.28	450.94	186.4	559.28	361.04	167.9	909.17	387.02	507.46	371.22	242.88	323.03	204.07	638.15	928.3	674.59	215.77	514.56	819.3	460.44	579.04	187.71	307.69	387.02	195.72	275.28	142.01	156.59	293.07	285.03	104.42	314.17	1844.76	1467.37	1369.04	2777.33	1216.75
DYRK1A	1159.07	988.12	1135.2	860.08	348.71	358.54	162.14	189.02	193.01	205.5	241.19	271.48	414.87	400.71	532.74	316.37	244.57	185.11	264.03	334.46	241.19	713.11	281.09	127.0	232.94	159.9	177.53	285.03	299.25	145.02	151.22	334.46	190.34	579.04	273.37	215.77	392.44	325.29	336.79	215.77	183.82	373.81	214.27	275.28	429.54	432.53	190.34	389.72	395.18	514.56	332.14	106.63	185.11	420.68	122.64	190.34	139.07	195.72	275.28	159.9	120.94	463.65	785.88	688.78	934.76	1250.98	718.08
DYRK1B	356.05	395.18	312.0	309.83	204.07	148.09	191.67	76.17	283.05	438.59	224.97	171.45	293.07	85.22	612.11	140.04	40.64	246.28	150.17	128.79	93.35	156.59	82.29	277.2	239.52	127.0	195.72	195.72	127.89	89.51	130.6	212.78	161.02	351.14	180.02	146.03	126.12	178.77	248.0	81.14	89.51	102.25	190.34	152.28	612.11	283.05	182.55	144.01	65.26	507.46	183.82	146.03	320.8	23.42	119.26	125.24	131.51	329.84	161.02	320.8	159.9	171.45	532.74	327.56	748.61	490.14	587.13
E2F3	136.19	113.56	120.1	167.9	63.89	44.25	19.25	84.04	102.25	172.65	43.63	61.25	89.51	108.14	256.78	49.56	82.29	37.05	170.25	150.17	239.52	262.2	144.01	89.51	41.81	114.36	117.6	152.28	169.07	85.22	58.3	90.77	13.72	412.0	36.27	109.66	42.11	127.0	361.04	208.38	50.27	271.48	51.35	37.05	125.24	104.42	35.25	141.02	105.15	279.14	44.57	21.94	47.17	65.26	129.69	33.06	63.89	23.59	54.72	80.01	26.47	29.27	221.86	201.25	33.78	129.69	165.57
