	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11NUK.1726.SM.5A5L2	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.11OF3.2326.SM.5GU73	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.P78B.1126.SM.3P615	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.WZTO.1526.SM.4PQYQ	TCGA.38.4625.01A.01R.1206.07	GTEX.14C5O.2826.SM.5RQI6	GTEX.OOBK.2025.SM.3LK5S	GTEX.WK11.2626.SM.4OOSK	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.A453.01A.11R.A24K.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.P4QT.1526.SM.3NMCT	GTEX.WH7G.1526.SM.4LVMX
ADAM33	708.18	743.43	796.86	591.22	902.89	819.3	1111.82	674.59	1844.76	384.34	1467.37	3419.52	2224.63	3901.01	5711.87	1769.57	4152.18	2956.17	4419.52	6983.79	7911.95	6121.9	3982.99	7130.55	6294.04	2720.15	7966.99	5517.27	3395.89	1498.22	5292.48	3742.05	5831.91	5219.6	6745.86	4704.07	7180.15	6652.97	5913.33	1883.54	5954.47	4704.07	4210.15	0.0	713.11	241.19	1151.06	228.13	954.43	1295.13	1340.84	1295.13	718.08	785.88	1447.15	1304.15
ADAMTS13	25.54	31.0	24.81	26.86	20.41	46.5	40.07	33.78	45.21	53.19	27.05	39.5	36.79	101.54	275.28	130.6	228.13	70.01	115.16	262.2	195.72	325.29	214.27	180.02	182.55	110.43	241.19	167.9	164.42	57.49	202.66	92.7	189.02	198.47	258.57	220.32	135.24	148.09	283.05	99.43	173.85	148.09	314.17	0.0	38.4	26.86	59.97	12.74	54.33	59.97	65.26	48.18	52.82	49.91	22.1	13.72
AGAP5	29.91	38.4	46.18	21.16	51.35	90.14	79.45	47.5	123.5	125.24	108.14	116.78	58.71	165.57	201.25	191.67	301.33	139.07	205.5	336.79	281.09	348.71	134.3	251.48	363.56	176.29	387.02	251.48	262.2	90.77	287.01	131.51	204.07	236.21	271.48	305.55	267.73	208.38	285.03	175.07	269.6	208.38	285.03	0.0	31.0	21.63	54.33	37.05	68.07	64.8	71.0	147.06	59.55	65.26	17.51	16.51
AGAP6	55.1	76.71	77.25	80.01	79.45	220.32	256.78	133.36	217.27	327.56	329.84	423.61	190.34	397.93	698.41	575.03	1066.48	356.05	674.59	733.19	708.18	1313.23	525.39	703.28	753.83	486.75	1119.56	1051.79	785.88	201.25	866.07	389.72	780.44	536.45	1127.35	698.41	607.87	860.08	738.29	432.53	743.43	723.08	723.08	0.0	64.34	70.01	72.01	53.95	182.55	177.53	172.65	329.84	140.04	128.79	77.79	56.68
AKAP17A	140.04	215.77	172.65	136.19	190.34	211.31	323.03	232.94	287.01	281.09	325.29	373.81	356.05	406.31	642.59	514.56	780.44	356.05	525.39	703.28	764.36	890.44	624.99	447.82	674.59	551.56	713.11	703.28	518.15	460.44	616.37	450.94	748.61	651.58	633.73	679.29	532.74	540.19	813.63	583.07	536.45	525.39	723.08	0.0	217.27	178.77	175.07	181.28	287.01	307.69	291.04	289.02	253.23	293.07	125.24	139.07
AKNAD1	16.63	5.77	28.86	9.63	4.43	24.11	21.47	13.42	31.67	22.59	40.64	32.36	79.45	30.34	32.59	39.79	57.49	22.43	17.77	69.52	76.71	63.0	39.79	31.0	68.55	36.79	45.53	90.14	44.25	24.63	20.56	53.57	55.1	94.67	52.82	49.91	23.76	44.25	49.21	19.68	81.71	49.21	36.01	0.0	13.93	4.9	17.0	13.62	32.36	10.88	33.3	20.41	13.52	34.02	14.03	28.04
AL049840.1	3.56	12.0	8.71	15.8	19.82	13.62	17.0	38.67	10.96	25.91	31.45	57.89	26.1	49.21	71.0	28.45	143.01	40.36	31.67	50.63	58.71	164.42	30.56	35.0	94.01	69.03	99.43	75.64	98.73	8.92	97.36	22.59	43.94	63.89	18.7	65.72	35.25	26.86	95.34	23.08	88.26	58.3	74.06	0.0	2.58	11.55	18.97	6.36	21.78	37.32	7.22	21.32	13.12	21.63	12.93	43.94
AL161915.1	71.5	56.68	78.34	20.11	63.0	38.67	55.49	25.35	63.45	42.11	43.02	52.45	71.0	40.36	53.95	67.12	84.63	52.82	71.5	80.57	120.94	94.01	51.35	86.43	81.14	66.65	127.89	109.66	78.89	43.02	61.25	57.49	57.08	64.8	80.57	80.01	47.17	67.12	61.25	73.54	90.14	48.18	98.04	0.0	27.64	26.28	26.47	19.82	43.63	34.02	74.58	52.45	54.72	49.21	15.0	16.51
AL162407.1	234.57	215.77	262.2	155.5	201.25	305.55	170.25	187.71	265.87	193.01	146.03	299.25	334.46	314.17	583.07	629.35	616.37	409.15	607.87	713.11	503.95	624.99	329.84	409.15	679.29	480.04	836.53	547.75	567.1	244.57	463.65	339.14	483.38	633.73	647.07	563.18	728.11	633.73	579.04	551.56	575.03	450.94	616.37	0.0	285.03	194.36	199.85	214.27	260.38	171.45	299.25	273.37	255.0	201.25	38.67	74.06
AL358813.2	43.02	45.53	53.57	28.45	35.76	111.21	72.52	82.29	100.83	127.89	92.05	212.78	116.78	118.43	237.86	205.5	314.17	178.77	269.6	339.14	88.26	299.25	173.85	242.88	267.73	124.37	299.25	249.73	249.73	143.01	178.77	156.59	173.85	197.09	115.97	218.79	201.25	256.78	260.38	138.1	256.78	173.85	309.83	0.0	33.06	28.04	64.34	47.84	63.89	62.56	96.01	100.83	73.03	102.97	23.76	60.39
AMY2B	61.25	67.12	118.43	47.84	114.36	130.6	226.54	177.53	260.38	264.03	275.28	536.45	234.57	476.71	1051.79	1127.35	2163.77	587.13	909.17	1628.26	1208.34	2915.45	1081.39	1350.18	1662.49	1015.93	2163.77	1709.26	1388.16	217.27	1896.65	813.63	1447.15	1233.75	1628.26	2367.9	1540.37	1340.84	2004.85	607.87	1662.49	1111.82	1427.22	0.0	151.22	70.51	161.02	67.59	309.83	242.88	138.1	325.29	122.64	169.07	34.75	44.57
ANAPC2	387.02	438.59	392.44	356.05	432.53	599.49	723.08	551.56	651.58	836.53	575.03	791.35	624.99	902.89	1286.18	1096.5	1639.59	718.08	1151.06	1674.06	1594.73	1870.53	1183.45	808.0	1639.59	1059.11	1561.89	1508.65	1295.13	540.19	1286.18	796.86	1322.37	1417.35	1322.37	1199.98	1233.75	1340.84	1819.35	974.5	1225.22	1015.93	1447.15	0.0	361.04	543.96	490.14	450.94	563.18	684.02	624.99	713.11	599.49	633.73	323.03	301.33
ANKS3	161.02	221.86	277.2	209.84	303.44	429.54	381.68	248.0	423.61	358.54	358.54	480.04	409.15	480.04	713.11	808.0	921.88	454.09	872.1	860.08	1143.1	1175.27	679.29	748.61	954.43	595.34	921.88	974.5	842.36	339.14	718.08	521.76	791.35	753.83	848.22	713.11	688.78	866.07	708.18	563.18	780.44	647.07	665.29	0.0	281.09	277.2	414.87	221.86	406.31	312.0	323.03	353.59	435.55	384.34	176.29	242.88
AP001055.1	18.56	18.56	52.08	38.4	57.49	57.89	59.55	57.08	73.03	72.01	144.01	111.21	255.0	105.89	191.67	127.0	205.5	50.63	175.07	279.14	420.68	237.86	186.4	220.32	293.07	155.5	271.48	212.78	182.55	40.93	183.82	73.03	183.82	152.28	185.11	212.78	190.34	190.34	212.78	180.02	275.28	144.01	127.89	0.0	50.27	8.99	22.75	26.1	35.76	40.07	91.41	74.06	45.85	40.93	21.94	27.25
AP006621.5	133.36	68.55	108.9	55.89	97.36	159.9	87.03	167.9	307.69	242.88	206.94	157.68	165.57	242.88	525.39	454.09	387.02	209.84	400.71	555.41	441.64	379.04	373.81	325.29	323.03	283.05	651.58	583.07	500.46	130.6	483.38	351.14	587.13	503.95	476.71	551.56	371.22	417.77	651.58	170.25	387.02	356.05	256.78	0.0	146.03	64.34	197.09	108.14	124.37	114.36	148.09	159.9	194.36	167.9	71.0	47.84
APBB3	120.94	237.86	226.54	194.36	208.38	356.05	351.14	389.72	493.56	447.82	379.04	665.29	293.07	802.41	842.36	698.41	1457.23	718.08	819.3	1066.48	1015.93	1378.57	854.13	1233.75	1183.45	743.43	1437.15	1467.37	830.75	403.5	1369.04	842.36	1111.82	1008.9	872.1	1457.23	961.07	954.43	1388.16	536.45	1127.35	708.18	1286.18	0.0	145.02	214.27	271.48	132.44	417.77	429.54	366.09	476.71	476.71	403.5	180.02	109.66
ARMC12	3.56	2.68	10.79	9.63	16.63	10.88	12.18	0.0	19.11	16.39	28.24	26.86	23.76	28.86	41.22	30.78	38.12	13.42	38.4	38.4	77.25	69.52	28.24	48.18	32.59	36.01	63.0	39.22	49.56	8.99	57.89	21.16	41.22	33.78	70.01	28.65	34.02	43.94	48.18	12.83	21.32	17.64	54.33	0.0	9.27	11.47	4.78	6.78	17.9	8.19	22.43	18.56	34.02	20.71	7.46	2.1
ARMCX4	166.73	239.52	208.38	258.57	169.07	167.9	201.25	256.78	366.09	154.42	301.33	521.76	406.31	450.94	836.53	490.14	733.19	429.54	612.11	988.12	954.43	890.44	514.56	620.67	738.29	493.56	928.3	854.13	591.22	356.05	638.15	438.59	743.43	642.59	791.35	896.64	813.63	674.59	902.89	486.75	591.22	629.35	713.11	0.0	358.54	92.05	108.9	169.07	318.57	264.03	269.6	285.03	232.94	291.04	137.14	92.7
ASIC3	7.11	26.1	13.52	23.25	18.16	104.42	35.5	58.3	51.71	158.79	53.57	111.21	109.66	112.77	379.04	185.11	688.78	127.0	293.07	480.04	764.36	769.69	420.68	414.87	514.56	204.07	441.64	400.71	381.68	52.45	412.0	218.79	325.29	229.72	334.46	341.51	241.19	368.65	316.37	155.5	373.81	212.78	414.87	0.0	32.82	12.36	23.76	8.19	60.39	47.5	65.26	79.45	87.03	52.82	79.45	21.78
ASPRV1	24.46	22.43	22.43	17.13	32.36	44.25	27.05	30.12	33.54	12.0	18.97	32.13	26.28	25.72	92.7	48.18	171.45	48.18	72.01	115.16	138.1	199.85	76.71	106.63	125.24	71.0	145.02	103.69	94.67	51.71	76.17	44.25	81.14	127.0	59.97	93.35	65.26	115.16	114.36	94.01	154.42	63.45	96.68	0.0	19.25	27.05	31.67	24.28	31.22	19.39	21.94	22.75	24.99	21.94	12.18	16.03
ATG16L2	100.83	220.32	191.67	154.42	205.5	341.51	297.17	348.71	417.77	454.09	624.99	603.67	371.22	728.11	1073.91	813.63	1030.12	780.44	974.5	878.17	1378.57	1183.45	579.04	647.07	813.63	567.1	1008.9	1081.39	1081.39	343.89	813.63	612.11	1023.0	791.35	1135.2	1088.92	620.67	878.17	1023.0	603.67	981.29	718.08	1059.11	0.0	186.4	105.89	205.5	44.57	387.02	420.68	285.03	536.45	363.56	389.72	111.99	107.38
BCO2	194.36	155.5	201.25	89.51	145.02	139.07	70.01	71.0	100.83	132.44	103.69	144.01	118.43	122.64	320.8	242.88	409.15	223.41	297.17	275.28	334.46	412.0	186.4	170.25	223.41	204.07	400.71	332.14	226.54	116.78	217.27	106.63	334.46	283.05	237.86	318.57	96.68	181.28	293.07	236.21	209.84	180.02	371.22	0.0	30.12	34.75	88.26	33.06	108.14	62.12	61.25	119.26	281.09	117.6	43.02	24.99
BZRAP1	221.86	264.03	256.78	363.56	312.0	435.55	384.34	285.03	476.71	277.2	316.37	759.08	599.49	967.76	1447.15	1369.04	2609.3	1322.37	1662.49	2434.5	2090.03	3639.7	1883.54	3212.66	2104.58	995.0	2796.65	2701.35	1819.35	409.15	2032.85	1477.58	1617.0	1806.78	1561.89	2133.97	2758.13	2255.7	2485.67	728.11	2255.7	1540.37	2351.53	0.0	555.41	447.82	476.71	167.9	420.68	444.72	343.89	764.36	547.75	587.13	105.89	72.52
C21orf2	363.56	432.53	289.02	366.09	460.44	551.56	638.15	703.28	575.03	351.14	320.8	591.22	473.41	551.56	1175.27	1167.14	1088.92	728.11	921.88	1096.5	1457.23	1437.15	967.76	872.1	988.12	780.44	1001.93	1417.35	988.12	583.07	1259.69	587.13	1151.06	1135.2	1175.27	723.08	703.28	848.22	1159.07	878.17	1030.12	967.76	981.29	0.0	435.55	753.83	624.99	629.35	406.31	647.07	665.29	529.06	842.36	447.82	651.58	525.39
C3orf62	76.17	70.01	87.03	56.68	129.69	141.02	123.5	102.97	141.02	253.23	140.04	189.02	224.97	152.28	325.29	358.54	409.15	127.0	241.19	466.88	323.03	540.19	246.28	381.68	314.17	309.83	400.71	403.5	507.46	78.89	389.72	248.0	303.44	327.56	358.54	260.38	228.13	293.07	323.03	299.25	376.41	275.28	341.51	0.0	106.63	108.9	105.15	81.14	138.1	111.99	139.07	143.01	106.63	113.56	97.36	55.49
C6ORF50	6.21	2.25	8.71	2.23	7.06	16.51	4.06	33.06	31.22	83.45	21.47	34.02	7.11	25.17	85.82	125.24	121.79	39.22	73.54	111.21	117.6	109.66	50.98	100.83	163.28	66.65	167.9	134.3	101.54	20.71	97.36	35.5	62.12	98.73	123.5	161.02	119.26	92.7	114.36	62.12	85.82	46.84	114.36	0.0	10.08	2.84	8.25	9.27	26.47	3.96	12.45	42.71	5.45	14.89	0.39	3.72
C9orf37	161.02	119.26	127.89	84.04	150.17	199.85	223.41	223.41	249.73	283.05	162.14	190.34	135.24	237.86	371.22	457.25	587.13	325.29	483.38	633.73	819.3	674.59	444.72	507.46	457.25	368.65	532.74	587.13	536.45	291.04	503.95	358.54	480.04	591.22	555.41	414.87	325.29	490.14	486.75	376.41	441.64	423.61	480.04	0.0	206.94	271.48	339.14	307.69	195.72	193.01	299.25	205.5	267.73	234.57	108.14	171.45
CAMKV	0.0	0.0	0.0	0.0	0.0	2.41	0.95	2.16	2.56	2.27	4.35	4.39	5.45	1.55	13.22	19.11	14.78	5.87	23.25	13.12	30.56	41.81	6.21	8.19	14.24	3.66	25.54	5.23	22.26	6.78	7.4	5.41	4.78	32.82	21.78	6.21	13.52	26.67	6.16	13.32	11.82	20.41	9.48	0.0	0.0	5.41	0.0	0.0	3.03	1.77	2.43	3.03	3.29	4.21	0.85	0.45
CAPN3	25.91	65.26	90.14	72.01	75.64	93.35	104.42	115.16	127.89	269.6	191.67	409.15	195.72	366.09	836.53	432.53	921.88	368.65	638.15	728.11	629.35	1001.93	497.0	409.15	559.28	392.44	796.86	808.0	723.08	106.63	808.0	299.25	660.68	764.36	651.58	723.08	571.05	587.13	848.22	291.04	703.28	483.38	1008.9	0.0	77.79	45.21	105.15	46.18	159.9	131.51	91.41	173.85	85.82	82.29	43.94	35.0
CCDC130	277.2	329.84	389.72	231.32	395.18	669.92	684.02	693.58	698.41	1175.27	1037.29	954.43	775.05	1073.91	1350.18	1331.57	1963.57	1008.9	1191.69	1745.2	1769.57	2133.97	1369.04	1059.11	1757.34	1135.2	1529.73	1639.59	1268.46	785.88	1832.01	842.36	1437.15	1628.26	1709.26	1832.01	1183.45	1304.15	1870.53	1119.56	1242.34	1340.84	1322.37	0.0	379.04	457.25	493.56	486.75	599.49	547.75	703.28	961.07	753.83	674.59	511.0	476.71
CCDC159	563.18	493.56	507.46	551.56	599.49	674.59	743.43	934.76	688.78	624.99	547.75	769.69	633.73	1044.52	2163.77	1540.37	2133.97	1427.22	1896.65	1977.24	3060.45	2367.9	1594.73	1572.76	2209.26	1388.16	2004.85	2485.67	1936.53	738.29	1977.24	1340.84	1794.29	2004.85	2485.67	1936.53	1950.0	2240.11	2319.15	902.89	2255.7	1457.23	2451.44	0.0	1447.15	1066.48	1159.07	490.14	796.86	743.43	866.07	780.44	1023.0	713.11	493.56	368.65
CCDC17	11.47	15.45	13.42	11.82	10.63	12.18	16.27	22.1	25.91	52.08	21.16	41.81	24.46	24.81	62.12	57.89	114.36	31.22	32.36	75.11	90.77	102.25	56.68	44.89	88.26	39.22	75.64	120.94	51.71	17.64	81.71	44.25	64.34	96.68	73.03	87.03	57.08	52.82	87.03	35.5	70.51	42.41	100.83	0.0	7.94	4.31	13.93	1.51	19.53	14.78	36.01	23.42	28.86	48.87	4.86	4.39
CCDC180	18.97	20.41	51.35	21.16	41.81	69.52	70.01	39.79	120.1	107.38	96.01	172.65	74.58	141.02	285.03	178.77	273.37	132.44	157.68	325.29	361.04	299.25	186.4	155.5	748.61	159.9	397.93	432.53	262.2	115.16	237.86	153.34	361.04	241.19	246.28	287.01	305.55	242.88	363.56	201.25	223.41	161.02	305.55	0.0	37.32	13.32	41.22	21.63	88.88	77.25	82.87	116.78	117.6	49.56	44.25	34.51
CCDC84	172.65	175.07	221.86	154.42	214.27	483.38	334.46	336.79	460.44	616.37	571.05	884.29	470.14	954.43	1467.37	1529.73	1757.34	490.14	941.27	1757.34	1685.71	2303.12	1051.79	842.36	1467.37	909.17	1909.85	1322.37	1350.18	381.68	1437.15	718.08	1437.15	1697.45	2255.7	1674.06	1313.23	1135.2	1583.71	981.29	1208.34	1233.75	1233.75	0.0	156.59	140.04	262.2	256.78	356.05	305.55	373.81	934.76	466.88	356.05	303.44	205.5
CCS	928.3	878.17	1001.93	848.22	1015.93	1143.1	1119.56	1417.35	1857.6	1350.18	1286.18	1159.07	1051.79	1143.1	2319.15	2271.4	2520.38	1359.57	1923.14	2537.92	2956.17	2555.58	2255.7	2104.58	2133.97	1709.26	2664.15	2645.74	2178.83	1096.5	2351.53	1397.83	2224.63	2047.0	2133.97	2335.28	1819.35	1991.0	2271.4	1697.45	2240.11	1923.14	2485.67	0.0	808.0	934.76	1183.45	551.56	1015.93	1127.35	1388.16	1551.09	1477.58	981.29	708.18	624.99
CDK9	954.43	934.76	1023.0	723.08	813.63	1388.16	1233.75	1175.27	1175.27	1977.24	2133.97	1794.29	1487.87	1697.45	1909.85	1757.34	2451.44	1397.83	2178.83	2384.37	2835.7	2956.17	2163.77	1896.65	2303.12	1639.59	2287.2	2915.45	2417.67	1233.75	2701.35	1709.26	2104.58	2240.11	2555.58	2485.67	1857.6	2193.99	2777.33	1313.23	2224.63	1950.0	2485.67	0.0	1340.84	1304.15	1369.04	1151.06	1111.82	1066.48	1242.34	1135.2	1519.15	1561.89	1617.0	1295.13
CENPT	540.19	457.25	503.95	450.94	540.19	921.88	890.44	796.86	1151.06	1857.6	819.3	1167.14	638.15	1167.14	2061.24	1819.35	2855.44	1388.16	2367.9	2591.27	2855.44	3235.01	2255.7	2032.85	2400.97	1639.59	2627.46	2645.74	2090.03	802.41	2271.4	1467.37	2224.63	2004.85	2591.27	2047.0	2075.59	2434.5	2645.74	1359.57	2193.99	1963.57	2468.49	0.0	563.18	351.14	595.34	395.18	753.83	813.63	808.0	848.22	1051.79	988.12	587.13	476.71
